Sang ^vbd+++xvbn+=Sang
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brightness ^nns+nom+++=brightness
of ^in++++=of
her ^pp$+pp3+++=her
long ^rb++++=long
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
sparkled ^jj+++xvbn+=sparkled
under ^in++++=under
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
brows ^nns++++=brows
as ^ql++++=as
daintily ^jj++++=daintily
curved ^jj++++=curved
as ^in++++=as
the ^ati++++=the
wings ^nns++++=wings
of ^in++++=of
the ^ati++++=the
silkworm ^nn+++??+=silkworm
butterfly ^nn++++=butterfly
outspread ^nn+++??+=outspread.
. ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
proceeded ^j+++xvbn+=proceeded
on ^in++++=on
his ^pp$+pp3+++=his
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
so ^ql++++=so
much ^ap++++=much
embarrassed ^jj+++xvbn+=embarrassed
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
feel ^vb+vprv+++=feel
at ^in++++=at
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
those ^dt+dem+++=those
charming ^jj+atrb++xvbg+=charming
eyes ^nns++++=eyes
peeping ^vwbg+++xvbg+=peeping
at ^rb++++=at
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
suffered ^vbd+++xvbnx+=suffered
the ^ati++++=the
money ^nn++++=money
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
carrying ^vbg+++xvbgx+=carrying
in ^in++++=in
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
to ^to++++=to
fall ^vbi++++=fall,
, ^zz++++=EXTRAWORD
without ^in++++=without
being ^xvbg+++xvbg+=being
aware ^jj++++=aware
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
moments ^nns+nom+++=moments
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
patter ^nn++++=patter
of ^in++++=of
light ^nn++++=light
feet ^nns++++=feet
running ^vwbg+++xvbg+=running
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
calling ^vwbg+++xvbg+=calling
him ^pp3o+pp3+++=him
by ^in++++=by
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
great ^jj+atrb+++=great
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
comely ^jj+atrb+++=comely
servant ^nn+nom+++=servant-maid,
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir,
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mistress ^nns+nom+++=mistress
bade ^vbd+++xvbn+=bade
me ^pp1o+pp1+++=me
pick ^vb++++=pick
up ^rp++++=up
and ^cc++++=and
return ^nn++++=return
you ^pp2+pp2+++=you
this ^dt+dem+++=this
silver ^nn++++=silver
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
dropped ^vbd+++xvbn+=dropped
upon ^in++++=upon
the ^ati++++=the
road ^nn++++=road."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
thanked ^vbd+++xvbn+=thanked
the ^ati++++=the
girl ^nn++++=girl
gracefully ^rb+cnj+++=gracefully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
requested ^vbd+vsua++xvbn+=requested
her ^pp$+pp3+++=her
to ^to++++=to
convey ^vbi++++=convey
his ^pp$+pp3+++=his
compliments ^nns+nom+++=compliments
to ^in++++=to
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
proceeded ^vbd+++xvbnx+=proceeded
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
perfumed ^nn++++=perfumed
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
athwart ^nn+++??+=athwart
the ^ati++++=the
shadows ^nps++++=shadows
that ^tht+rel+subj++=that
dreamed ^vbd+vprv++xvbn+=dreamed
along ^in++++=along
the ^ati++++=the
forgotten ^jj+atrb++xvbn+=forgotten
path ^nn++++=path,
, ^zz++++=EXTRAWORD
dreaming ^vbg+++xvbg+=dreaming
himself ^ppl+pp3+++=himself
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feeling ^nvbg+++xvbg+=feeling
his ^pp$+pp3+++=his
heart ^nn++++=heart
beating ^vwbg+++xvbg+=beating
with ^in++++=with
strange ^jj+atrb+++=strange
quickness ^nns+nom+++=quickness
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
beautiful ^nn++++=beautiful
being ^vb+be++xvbg+=being
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
such ^abl++++=such
another ^ppls++++=another
day ^np++++=day
when ^wrb+who+++=when
Ming ^np+++??+=Ming-Y,
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
path ^nn++++=path,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused
once ^rb+tm+++=once
more ^rbr++++=more
at ^in++++=at
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
the ^ati++++=the
gracious ^jj+atrb+++=gracious
figure ^nn++++=figure
had ^vb+hv+aux++=had
momentarily ^rb+tm+splt++=momentarily
appeared ^vprf+++xvbnx+=appeared
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
perceive ^vbi+vprv+++=perceive,
, ^zz++++=EXTRAWORD
through ^in++++=through
a ^at++++=a
long ^rb++++=long
vista ^nn++++=vista
of ^in++++=of
immense ^jj+atrb+++=immense
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
a ^at++++=a
dwelling ^jj+++xvbg+=dwelling
that ^dt+pdem+++=that
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
escaped ^vprf+++xvbnx+=escaped
his ^pp$+pp3+++=his
notice ^nn++++=notice,
, ^zz++++=EXTRAWORD
a ^at++++=a
country ^nn++++=country
residence ^nn+nom+++=residence,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
large ^jj++++=large,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
elegant ^jj++++=elegant
to ^in++++=to
an ^at++++=an
unusual ^jj+atrb+++=unusual
degree ^nn++++=degree.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bright ^jj+atrb+++=bright
blue ^nn++++=blue
tiles ^nns++++=tiles
of ^in++++=of
its ^pp$+it+++=its
curved ^jj++++=curved
and ^cc+phrs+++=and
serrated ^jj+atrb+++=serrated
double ^jj+atrb+++=double
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
rising ^jj+++xvbg+=rising
above ^jjb++++=above
the ^ati++++=the
foliage ^nn+nom+++=foliage,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
blend ^vbi++++=blend
their ^pp$+pp3+++=their
color ^nn++++=color
with ^in++++=with
the ^ati++++=the
luminous ^jj+atrb+++=luminous
azure ^nn+++??+=azure
of ^in++++=of
the ^ati++++=the
day ^nn++++=day;
; ^zz++++=EXTRAWORD
the ^ati++++=the
green ^jj++++=green-and-gold
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
designs ^nns++++=designs
of ^in++++=of
its ^pp$+it+++=its
carven ^vb+++xvbn+=carven
porticos ^nns+++??+=porticos
were ^vbd+bed+vrb++=were
exquisite ^nn++++=exquisite
artistic ^jj+atrb+++=artistic
mockeries ^nns+nom+++=mockeries
of ^in++++=of
leaves ^nns++++=leaves
and ^cc++++=and
flowers ^nns+nom+++=flowers
bathed ^vbd+++xvbn+=bathed
in ^in++++=in
sunshine ^nn++++=sunshine.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^in++++=at
the ^ati++++=the
summit ^nn++++=summit
of ^in++++=of
terrace ^nn++++=terrace-steps
- ^zz++++=EXTRAWORD
steps ^nns++++=EXTRAWORD
before ^in++++=before
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
guarded ^xvbn+++xvbn+=guarded
by ^in++++=by
great ^jj+atrb+++=great
porcelain ^nn++++=porcelain
tortoises ^vbz++++=tortoises,
, ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
standing ^vbg+++xvbg+=standing
the ^ati++++=the
mistress ^nns+nom+++=mistress
of ^in++++=of
the ^ati++++=the
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idol ^nn++++=idol
of ^in++++=of
his ^pp$+pp3+++=his
passionate ^jj+atrb+++=passionate
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
the ^ati++++=the
same ^ap++++=same
waiting ^jj+++xvbg+=waiting-maid
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
to ^in++++=to
her ^pp$+pp3+++=her
his ^pp$+pp3+++=his
message ^nn+nom+++=message
of ^in++++=of
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
looked ^vbd+++xvbn+=looked,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
perceived ^vbd+vprv++xvbnx+=perceived
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
upon ^in++++=upon
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
smiled ^vbd+++xvbnx+=smiled
and ^cc+phrs+++=and
conversed ^vbd+++xvbn+=conversed
together ^nn+nom+++=together
as ^cs+sub+++=as
if ^cs+cnd+++=if
speaking ^vbg+++xvbg+=speaking
about ^rb++++=about
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
shy ^jj++++=shy
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
youth ^nn++++=youth
found ^vbd+vprv++xvbn+=found
courage ^nn+nom+++=courage
to ^to++++=to
salute ^vbi++++=salute
the ^ati++++=the
fair ^jj+atrb+++=fair
one ^pn++++=one
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
To ^in++++=To
his ^pp$+pp3+++=his
astonishment ^nn+nom+++=astonishment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
servant ^nn+nom+++=servant
beckoned ^vbd+++xvbn+=beckoned
him ^pp3o+pp3+++=him
to ^in++++=to
approach ^nn++++=approach;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opening ^nvbg+++xvbg+=opening
a ^at++++=a
rustic ^jj+atrb+++=rustic
gate ^nn++++=gate
half ^abn++++=half
veiled ^vpsv++by+xvbn+=veiled
by ^in++++=by
trailing ^xvbg+++xvbg+=trailing
plants ^nns++++=plants
bearing ^vwbg+++xvbg+=bearing
crimson ^nn+++??+=crimson
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
advanced ^vbd+vsua++xvbn+=advanced
along ^in++++=along
the ^ati++++=the
verdant ^nn+nom+++=verdant
alley ^npl++++=alley
leading ^vwbg+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
terrace ^nn++++=terrace,
, ^zz++++=EXTRAWORD
with ^in++++=with
mingled ^xvbn+++xvbn+=mingled
feelings ^nns+nom+++=feelings
of ^in++++=of
surprise ^nn++++=surprise
and ^cc++++=and
timid ^jj+atrb+++=timid
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
lady ^nn++++=lady
withdrew ^vbd+++xvbn+=withdrew
from ^in++++=from
sight ^nn++++=sight;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
maid ^np++++=maid
waited ^vbd+++xvbn+=waited
at ^rb++++=at
the ^ati++++=the
broad ^jj+atrb+++=broad
steps ^nns++++=steps
to ^to++++=to
receive ^vbi++++=receive
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
as ^ql++++=as
he ^pp3a+pp3+++=he
ascended ^vbd+++xvbnx+=ascended:
: ^zz++++=EXTRAWORD
" ^zz++++="Sir,
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mistress ^nns+nom+++=mistress
understands ^vbz++++=understands
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
thank ^vbi++++=thank
her ^pp$+pp3+++=her
for ^in++++=for
the ^ati++++=the
trifling ^jj+atrb+++=trifling
service ^nn++++=service
she ^pp3a+pp3+++=she
recently ^rb+tm+++=recently
bade ^vbd+++xvbn+=bade
me ^pp1o+pp1+++=me
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
requests ^nns++++=requests
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
will ^md+prd+++=will
enter ^vb++++=enter
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
knows ^vbz+vprv+tht0++=knows
you ^pp2+pp2+++=you
already ^rb++++=already
by ^in++++=by
repute ^nn++++=repute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
desires ^vb++++=desires
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
bidding ^xvbg+++xvbg+=bidding
you ^pp2+pp2+++=you
good ^jj++++=good-day."
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
entered ^vbd+++xvbn+=entered
bashfully ^rb+cnj+++=bashfully,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
feet ^nns++++=feet
making ^vwbg+++xvbg+=making
no ^at++++=no
sound ^nn++++=sound
upon ^in++++=upon
a ^at++++=a
matting ^nn++++=matting
elastically ^rb++++=elastically
soft ^jj++++=soft
as ^ql++++=as
forest ^npl++++=forest
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
reception ^nn+nom+++=reception-chamber
- ^zz++++=EXTRAWORD
chamber ^nn++++=EXTRAWORD
vast ^jj++++=vast,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fragrant ^jj++++=fragrant
with ^in++++=with
scent ^nn++++=scent
of ^in++++=of
blossoms ^nns+++??+=blossoms
freshly ^rb++++=freshly
gathered ^vbd+++xvbn+=gathered.
. ^zz++++=EXTRAWORD
A ^at++++=A
delicious ^jj++++=delicious
quiet ^jj++++=quiet
pervaded ^jj+++xvbn+=pervaded
the ^ati++++=the
mansion ^nn++++=mansion;
; ^zz++++=EXTRAWORD
shadows ^nps++++=shadows
of ^in++++=of
flying ^xvbg+++xvbg+=flying
birds ^nns++++=birds
passed ^vbd+++xvbn+=passed
over ^rb+phrv+++=over
the ^ati++++=the
bands ^nns++++=bands
of ^in++++=of
light ^jj++++=light
that ^dt+pdem+++=that
fell ^vbd+++xvbn+=fell
through ^in++++=through
the ^ati++++=the
half ^abn++++=half-blinds
- ^zz++++=EXTRAWORD
blinds ^nns++++=EXTRAWORD
of ^in++++=of
bamboo ^nn+++??+=bamboo;
; ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
butterflies ^nns++++=butterflies,
, ^zz++++=EXTRAWORD
with ^in++++=with
pinions ^nns+++??+=pinions
of ^in++++=of
fiery ^jj+atrb+++=fiery
color ^nn++++=color,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
their ^pp$+pp3+++=their
way ^nn++++=way
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
to ^in++++=to
hover ^jjr++++=hover
a ^at++++=a
moment ^nn++++=moment
about ^in++++=about
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
vases ^nns++++=vases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pass ^vb++++=pass
out ^rp+pl+++=out
again ^rb+tm+++=again
into ^in++++=into
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
noiselessly ^rb++++=noiselessly
as ^ql++++=as
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
the ^ati++++=the
young ^jj+atrb+++=young
mistress ^nns+nom+++=mistress
of ^in++++=of
the ^ati++++=the
mansion ^nn++++=mansion
entered ^vwbn+++xvbn+=entered
by ^in++++=by
another ^dt++++=another
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kindly ^rb++++=kindly
greeted ^vbd+++xvbn+=greeted
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
hands ^nns++++=hands
to ^in++++=to
his ^pp$+pp3+++=his
breast ^nn++++=breast
and ^cc++++=and
bowed ^jj+++xvbn+=bowed
low ^jj++++=low
in ^in++++=in
salutation ^nn+nom+++=salutation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
taller ^jjr+pred+++=taller
than ^in++++=than
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
deemed ^vprf+++xvbnx+=deemed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
supplely ^jj++++=supplely-slender
- ^zz++++=EXTRAWORD
slender ^jj++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
beauteous ^jj+atrb+++=beauteous
lily ^np++++=lily;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
black ^jj+atrb+++=black
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
interwoven ^vpsv++agls+xvbnx+=interwoven
with ^in++++=with
the ^ati++++=the
creamy ^jj+atrb+++=creamy
blossoms ^nns+++??+=blossoms
of ^in++++=of
the ^ati++++=the
chu ^nn+++??+=chu-sha-kih;
- ^zz++++=EXTRAWORD
sha ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
kih ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
robes ^nns++++=robes
of ^in++++=of
pale ^jj+atrb+++=pale
silk ^nn++++=silk
took ^vbd+++xvbn+=took
shifting ^jj+atrb++xvbg+=shifting
tints ^nns++++=tints
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved,
, ^zz++++=EXTRAWORD
as ^ql++++=as
vapors ^nns++++=vapors
change ^nn++++=change
hue ^nn++++=hue
with ^in++++=with
the ^ati++++=the
changing ^nn++++=changing
of ^in++++=of
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
not ^xnot++not++=not
mistaken ^jj+++xvbn+=mistaken,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
both ^abx++++=both
had ^vbd+hvd+aux++=had
seated ^vprf+++xvbnx+=seated
themselves ^ppls+pp3+++=themselves
after ^cs+sub+++=after
having ^nn+nn+aux++=having
exchanged ^vbd+++xvbn+=exchanged
the ^ati++++=the
customary ^jj+atrb+++=customary
formalities ^nns+nom+++=formalities
of ^in++++=of
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
honored ^jj+atrb++xvbn+=honored
visitor ^nn++++=visitor
is ^vbz+bez+vrb++=is
none ^pn++++=none
other ^ap++++=other
than ^in++++=than
Tien ^np+++??+=Tien-chou,
- ^zz++++=EXTRAWORD
chou ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
surnamed ^j+++xvbn+=surnamed
Ming ^np+++??+=Ming-Y,
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
educator ^nn++++=educator
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
my ^pp$+pp1+++=my
respected ^vbd+++xvbn+=respected
relative ^jj++++=relative,
, ^zz++++=EXTRAWORD
the ^ati++++=the
High ^jj+atrb+++=High
Commissioner ^nn+nom+++=Commissioner
Tchang ^np+++??+=Tchang.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
family ^nn++++=family
of ^in++++=of
Lord ^npt++++=Lord
Tchang ^np+++??+=Tchang
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
family ^nn++++=family
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
but ^cc++++=but
consider ^nn+nom+++=consider
the ^ati++++=the
teacher ^nn++++=teacher
of ^in++++=of
his ^pp$+pp3+++=his
children ^nns++++=children
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
kin ^nns++++=kin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lady,"
lady ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Ming ^np+++??+=Ming-Y,
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
astonished ^jj+++xvbn+=astonished,
, ^zz++++=EXTRAWORD
" ^zz++++="may
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
dare ^vb++++=dare
to ^to+vcmp+++=to
inquire ^vbi++++=inquire
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
your ^pp$+pp2+++=your
honored ^jj+atrb++xvbn+=honored
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
ask ^vbi++++=ask
the ^ati++++=the
relation ^nn+nom+++=relation
which ^wdt+who+whcl++=which
you ^pp2+pp2+++=you
hold ^vb+vprv+++=hold
to ^in++++=to
my ^pp$+pp1+++=my
noble ^jj+atrb+++=noble
patron ^nn++++=patron?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
family ^nn++++=family,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
responded ^vbd+++xvbn+=responded
the ^ati++++=the
comely ^jj+atrb+++=comely
lady ^npt++++=lady,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
Ping ^np+++??+=Ping,
, ^zz++++=EXTRAWORD
an ^at++++=an
ancient ^jj+atrb+++=ancient
family ^nn++++=family
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Tching ^np+++??+=Tching-tou.
- ^zz++++=EXTRAWORD
tou ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
a ^at++++=a
certain ^jj++++=certain
Si ^&fw++++=Si
of ^in++++=of
Moun ^np+++??+=Moun-hao;
- ^zz++++=EXTRAWORD
hao ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
Si ^&fw++++=Si
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
name ^nn++++=name,
, ^zz++++=EXTRAWORD
likewise ^rb+cnj+++=likewise;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
to ^in++++=to
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
Ping ^np+++??+=Ping
family ^nn++++=family,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Khang ^np+++??+=Khang.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
marriage ^nn+nom+++=marriage
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
related ^vbd+++xvbn+=related
to ^in++++=to
your ^pp$+pp2+++=your
excellent ^jj+atrb+++=excellent
