General ^jj+atrb+++=General
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
that ^tht+vcmp+++=that
every ^at++++=every
one ^cd1++++=one
should ^md+nec+++=should
keep ^vb++++=keep
the ^ati++++=the
Sabbath ^nn++++=Sabbath
by ^in++++=by
going ^xvbg+++xvbg+=going
to ^in++++=to
church ^nn++++=church,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
men ^nns++++=men
between ^in++++=between
eighteen ^cd++++=eighteen
and ^cc++++=and
forty ^cd++++=forty
should ^md+nec+++=should
do ^vb+do+vrb++=do
four ^cd++++=four
days ^nns++++=days
of ^in++++=of
military ^jj+atrb+++=military
duty ^nn++++=duty
every ^at++++=every
year ^nn++++=year,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
" ^zz++++="entertain
entertain ^vb++++=EXTRAWORD
emigrants ^nns+nom+++=emigrants,
, ^zz++++=EXTRAWORD
visit ^vb++++=visit
the ^ati++++=the
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
clothe ^nn+++??+=clothe
the ^ati++++=the
naked ^jj++++=naked,
, ^zz++++=EXTRAWORD
feed ^nn++++=feed
the ^ati++++=the
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
attend ^vb++++=attend
funerals ^nns+nom+++=funerals,
, ^zz++++=EXTRAWORD
cabin ^nn++++=cabin
raisings ^nns+++??+=raisings,
, ^zz++++=EXTRAWORD
log ^&fo++++=log
rollings ^nns+nom+++=rollings,
, ^zz++++=EXTRAWORD
huskings ^nns+++??+=huskings;
; ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
latchstrings ^nns+++??+=latchstrings
always ^rb++++=always
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
reader ^nn++++=reader
has ^vbz+hvz+aux++=has
heard ^vprf+++xvbnx+=heard
before ^cs+sub+++=before
this ^dt+dem+++=this
of ^in++++=of
having ^xvbg+++xvbg+=having
the ^ati++++=the
latchstring ^jj+++xvbg+=latchstring
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
known ^vbd+vprv++xvbn+=known
just ^rb+emph+++=just
what ^wdt+who+++=what
the ^ati++++=the
phrase ^nn++++=phrase
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
log ^&fo++++=log
cabin ^nn++++=cabin
door ^nn++++=door
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
was ^vbd+bedz+aux++=was
fastened ^vpsv++agls+xvbnx+=fastened
with ^in++++=with
a ^at++++=a
wooden ^jj+atrb+++=wooden
latch ^nn++++=latch
on ^in++++=on
the ^ati++++=the
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
lifted ^vpsv++agls+xvbnx+=lifted
on ^in++++=on
the ^ati++++=the
outside ^nn++++=outside
by ^in++++=by
a ^at++++=a
leathern ^jj+atrb++xvbn+=leathern
string ^nn++++=string
passed ^vbd+++xvbn+=passed
through ^in++++=through
a ^at++++=a
small ^jj+atrb+++=small
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
door ^nn++++=door
above ^jjb++++=above
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
string ^nn++++=string
was ^vbd+bedz+aux++=was
pulled ^vpsv++agls+xvbnx+=pulled
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+aux++=was
locked ^vpsv++agls+xvbnx+=locked;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
free ^jj++++=free-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
always ^rb++++=always
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
latchstring ^nvbg+++xvbg+=latchstring
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
every ^at++++=every
comer ^nn++++=comer
could ^md+pos+++=could
enter ^vb++++=enter
and ^cc+phrs+++=and
share ^vb++++=share
his ^pp$+pp3+++=his
fireside ^nn++++=fireside
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
people ^nns++++=people
of ^in++++=of
Marietta ^np+++??+=Marietta
had ^vb+hv+vrb++=had
soon ^rb+tm+++=soon
occasion ^nn++++=occasion
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
kindness ^nns+nom+++=kindness
enjoined ^vwbn+vsua++xvbn+=enjoined
by ^in++++=by
their ^pp$+pp3+++=their
laws ^nns++++=laws
in ^in++++=in
befriending ^xvbg+++xvbg+=befriending
a ^at++++=a
hapless ^jj+atrb+++=hapless
colony ^nn++++=colony
of ^in++++=of
Frenchmen ^np+++??+=Frenchmen,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
certain ^jj+atrb+++=certain
speculators ^nns++++=speculators
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Scioto ^np+++??+=Scioto
Company ^nn++++=Company
had ^vbd+hvd+aux++=had
lured ^vprf+++xvbnx+=lured
from ^in++++=from
their ^pp$+pp3+++=their
homes ^nrs++++=homes
in ^in++++=in
the ^ati++++=the
Old ^jj+atrb+++=Old
World ^nn++++=World,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
abandoned ^vbd+++xvbn+=abandoned
to ^in++++=to
their ^pp$+pp3+++=their
fate ^nn++++=fate
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
Western ^jj+atrb+++=Western
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
promised ^vpsv++agls+xvbnx+=promised
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
to ^to++++=to
find ^vbi+vprv+++=find
" ^zz++++="a
a ^at++++=EXTRAWORD
climate ^nn+nom+++=climate
wholesome ^jj++++=wholesome
and ^cc+phrs+++=and
delightful ^jj++++=delightful,
, ^zz++++=EXTRAWORD
frost ^np++++=frost
even ^rb++++=even
in ^in++++=in
winter ^nn++++=winter
almost ^rb+hdg+++=almost
entirely ^rb+amp+++=entirely
unknown ^jj++++=unknown,
, ^zz++++=EXTRAWORD
a ^at++++=a
river ^npl++++=river
called ^vbd+++xvbn+=called,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
eminence ^nn+nom+++=eminence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
_beautiful_ ^nn+++??+=_beautiful_
and ^cc++++=and
abounding ^jj++++=abounding
in ^in++++=in
excellent ^jj+atrb+++=excellent
fish ^nn++++=fish
of ^in++++=of
a ^at++++=a
vast ^jj+atrb+++=vast
size ^nn++++=size;
; ^zz++++=EXTRAWORD
noble ^jj+atrb+++=noble
forests ^nns++++=forests
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
trees ^nns++++=trees
that ^tht+rel+subj++=that
spontaneously ^rb++++=spontaneously
produce ^vb++++=produce
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
plant ^nn++++=plant
that ^tht+rel+obj++=that
yields ^nns++++=yields
ready ^jj++++=ready-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
candles ^nns++++=candles;
; ^zz++++=EXTRAWORD
venison ^nn++++=venison
in ^in++++=in
plenty ^nn++++=plenty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pursuit ^nn++++=pursuit
of ^in++++=of
which ^whp+rel+pied++=which
is ^vbz+bez+vrb++=is
uninterrupted ^jj+pred+++=uninterrupted
by ^in++++=by
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
foxes ^nns++++=foxes,
, ^zz++++=EXTRAWORD
lions ^nns++++=lions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tigers ^nn++++=tigers;
; ^zz++++=EXTRAWORD
no ^at++++=no
taxes ^nns++++=taxes
to ^to++++=to
pay ^vbi++++=pay,
, ^zz++++=EXTRAWORD
no ^at++++=no
military ^jj+atrb+++=military
services ^nns++++=services
to ^to++++=to
be ^vbi+vbi+aux++=be
performed ^vpsv++agls+xvbnx+=performed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
adventurers ^nns+nom+++=adventurers
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
to ^in++++=to
Ohio ^np+++??+=Ohio
on ^in++++=on
these ^dt+dem+++=these
flattering ^jj+atrb+++=flattering
terms ^nns++++=terms
were ^vbd+bed+vrb++=were
destitute ^jj+atrb+++=destitute
people ^nns++++=people
who ^whp+rel+subj++=who
agreed ^vbd+vpub++xvbn+=agreed
to ^in++++=to
work ^nn++++=work
three ^cd++++=three
years ^nns++++=years
for ^in++++=for
the ^ati++++=the
company ^nn++++=company
and ^cc++++=and
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
each ^dt++++=each
to ^to++++=to
receive ^vbi++++=receive
from ^in++++=from
it ^pp3+it+++=it
in ^in++++=in
reward ^nn++++=reward
for ^in++++=for
their ^pp$+pp3+++=their
labors ^nns++++=labors
fifty ^cd++++=fifty
acres ^nns++++=acres
of ^in++++=of
land ^nn++++=land,
, ^zz++++=EXTRAWORD
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
others ^aps++++=others
were ^vbd+bed+vrb++=were
people ^nns++++=people
of ^in++++=of
means ^nn++++=means,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
joyfully ^rb++++=joyfully
sold ^vbd+++xvbn+=sold
their ^pp$+pp3+++=their
property ^nn++++=property
in ^in++++=in
the ^ati++++=the
French ^jj+atrb+++=French
cities ^nns++++=cities
and ^cc++++=and
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
to ^to++++=to
found ^vbn+vprv++xvbn+=found
new ^jj+atrb+++=new
homes ^nrs++++=homes
in ^in++++=in
the ^ati++++=the
Western ^jj+atrb+++=Western
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
with ^in++++=with
money ^nn++++=money
in ^in++++=in
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
no ^at++++=no
knowledge ^nn++++=knowledge
of ^in++++=of
woodcraft ^nn+++??+=woodcraft,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
farming ^nvbg+++xvbg+=farming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
able ^jj++++=able
neither ^rb++neg++=neither
to ^to++++=to
hunt ^vbi++++=hunt,
, ^zz++++=EXTRAWORD
chop ^vb++++=chop,
, ^zz++++=EXTRAWORD
plow ^nn+++??+=plow,
, ^zz++++=EXTRAWORD
sow ^vb++++=sow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
reap ^vb++++=reap
for ^in++++=for
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
often ^rb++++=often
artisans ^nns+nom+++=artisans,
, ^zz++++=EXTRAWORD
masters ^nns+nom+++=masters
of ^in++++=of
trades ^nns++++=trades
utterly ^rb+amp+++=utterly
useless ^jj++++=useless
in ^cs+sub+++=in
that ^cs"++++=that
wild ^jj+atrb+++=wild
country ^nn++++=country,
, ^zz++++=EXTRAWORD
for ^in++++=for
what ^wdt+who+whq++=what
were ^vbd+bed+aux++=were
carvers ^nns+nom+++=carvers
and ^cc++++=and
gilders ^nns+nom+++=gilders,
, ^zz++++=EXTRAWORD
cloak ^nn++++=cloak-makers,
- ^zz++++=EXTRAWORD
makers ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wigmakers ^nns+nom+++=wigmakers
and ^cc++++=and
hairdressers ^nns+nom+++=hairdressers
to ^to++++=to
do ^vbi++++=do
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
Ohio ^np+++??+=Ohio
in ^in++++=in
1790 ^cd+date+++=1790?
? ^zz++++=EXTRAWORD
Some ^dti++++=Some
ten ^cd++++=ten
or ^cc++++=or
twelve ^cd++++=twelve
peasants ^nns+nom+++=peasants
came ^vbd+++xvbn+=came
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
helpless ^jj+pred+++=helpless
too ^rb++++=too
in ^in++++=in
the ^ati++++=the
strange ^jj+atrb+++=strange
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
the ^ati++++=the
settlers ^nns+nom+++=settlers
at ^in++++=at
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
all ^rb++++=all
have ^vb+hv+aux++=have
fared ^vprf+++xvbnx+=fared
miserably ^rb++++=miserably
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Scioto ^np+++??+=Scioto
Company ^nn++++=Company
had ^vb+hv+aux++=had
so ^ql++++=so
far ^rb+pl+++=far
provided ^vbd+vsua++xvbn+=provided
for ^in+ppvb+++=for
them ^pp3o+pp3+++=them
as ^in++++=as
to ^in"++++=to
agree ^vb+vpub+++=agree
with ^in++++=with
the ^ati++++=the
Ohio ^np+++??+=Ohio
Company ^nn++++=Company
for ^in++++=for
the ^ati++++=the
erection ^nn+nom+++=erection
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
town ^nn++++=town
or ^cc++++=or
village ^nn+nom+++=village
where ^wrb+who+++=where
Gallipolis ^np+++??+=Gallipolis
now ^rn+tm+++=now
stands ^vbz++++=stands;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
first ^od++++=first
boats ^nns++++=boats
arrived ^vbd+++xvbn+=arrived
with ^in++++=with
the ^ati++++=the
strangely ^rb++++=strangely
assorted ^jj+atrb+++=assorted
company ^nn++++=company,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
a ^at++++=a
space ^nn++++=space
cut ^vbd+++xvbn+=cut
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
clearing ^jj+++xvbg+=clearing
eighty ^cd++++=eighty
log ^&fo++++=log
cabins ^nns++++=cabins
standing ^vwbg+++xvbg+=standing
upon ^in++++=upon
four ^cd++++=four
streets ^nns++++=streets
fronting ^vwbg+++xvbg+=fronting
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
square ^npl++++=square
inclosed ^vwbn+++xvbn+=inclosed
by ^in++++=by
a ^at++++=a
high ^jj+atrb+++=high
stockade ^nn++++=stockade
and ^cc++++=and
fortified ^vpsv++agls+xvbn+=fortified
with ^in++++=with
blockhouses ^nns+++??+=blockhouses,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
might ^md+pos+++=might
take ^vb++++=take
shelter ^nn++++=shelter
from ^in++++=from
the ^ati++++=the
Indians ^nn++++=Indians.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabins ^nns++++=cabins
forming ^vwbg+++xvbg+=forming
this ^dt+dem+++=this
square ^nn++++=square
were ^vbd+bed+vrb++=were
of ^in++++=of
a ^at++++=a
better ^jjr+atrb+++=better
sort ^nn++++=sort
than ^in++++=than
those ^dt+dem+++=those
on ^in++++=on
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
one ^cd1++++=one
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
serve ^vbi++++=serve
for ^in++++=for
a ^at++++=a
council ^nn++++=council
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
newcomers ^nns+nom+++=newcomers
promptly ^rb++++=promptly
began ^vbd+++xvbn+=began
to ^to++++=to
give ^vbi++++=give
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
arrived ^vbd+++xvbnx+=arrived
late ^jj++++=late
in ^in++++=in
October ^nr++++=October,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
wait ^vbi++++=wait
for ^in++++=for
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
how ^wrb+who+whcl++=how
to ^in++++=to
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
meanwhile ^rb++++=meanwhile
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
as ^ql++++=as
good ^jj++++=good
a ^at++++=a
time ^nn++++=time
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
yet ^rb++++=yet
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
Scioto ^np+++??+=Scioto
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
failed ^vprf+++xvbn+=failed
to ^to+vcmp+++=to
pay ^vbi++++=pay
the ^ati++++=the
Marietta ^np+++??+=Marietta
people ^nns++++=people
for ^in++++=for
building ^xvbg+++xvbg+=building
their ^pp$+pp3+++=their
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
power ^nn++++=power
to ^to+ncmp+++=to
give ^vbi++++=give
them ^pp3o+pp3+++=them
titles ^nns++++=titles
to ^in++++=to
their ^pp$+pp3+++=their
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
hopefully ^rb++++=hopefully
spent ^vbd+++xvbn+=spent
their ^pp$+pp3+++=their
money ^nn++++=money
in ^in++++=in
hiring ^xvbg+++xvbg+=hiring
American ^jj+atrb+++=American
hunters ^nns+nom+++=hunters
to ^to++++=to
supply ^vbi++++=supply
them ^pp3o+pp3+++=them
with ^in++++=with
game ^nn++++=game.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
rather ^rb++++=rather
a ^at++++=a
light ^nn++++=light-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
their ^pp$+pp3+++=their
misfortunes ^nns++++=misfortunes
and ^cc++++=and
sufferings ^nns++++=sufferings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
not ^xnot++not++=not
only ^rb+down+++=only
amused ^vbd+++xvbn+=amused
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
amused ^vbd+++xvbnx+=amused
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors
by ^in++++=by
their ^pp$+pp3+++=their
gay ^jj+atrb+++=gay
unfitness ^nns+nom+++=unfitness
for ^in++++=for
the ^ati++++=the
backwoods ^nns++++=backwoods.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
to ^to++++=to
fell ^vbi++++=fell
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
half ^abn++++=half
a ^at++++=a
dozen ^cd++++=dozen
of ^in++++=of
them ^pp3o+pp3+++=them
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
work ^vb++++=work
on ^in++++=on
it ^pp3+it+++=it
with ^in++++=with
their ^pp$+pp3+++=their
axes ^nns++++=axes
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
chopped ^vprf+++xvbnx+=chopped
it ^pp3+it+++=it
all ^abn++++=all
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
pulled ^vbd+++xvbnx+=pulled
it ^pp3+it+++=it
down ^rp++++=down
with ^in++++=with
a ^at++++=a
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
danger ^nn++++=danger
of ^in++++=of
their ^pp$+pp3+++=their
lives ^nns++++=lives
and ^cc++++=and
limbs ^nns++++=limbs.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
make ^vbi++++=make
gardens ^nns++++=gardens
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
they ^pp3a+pp3+++=they
followed ^vbd+vprv+tht0+xvbnx+=followed
the ^ati++++=the
rules ^nns++++=rules
laid ^vbd+++xvbn+=laid
down ^rb+phrv+++=down
in ^in++++=in
some ^dti++++=some
books ^nns++++=books
on ^in++++=on
gardening ^xvbg+++xvbg+=gardening
which ^whp+who+++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
with ^in++++=with
them ^pp3o+pp3+++=them
from ^in++++=from
France ^np++++=France,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
planted ^vbd+++xvbnx+=planted
the ^ati++++=the
seeds ^nns++++=seeds
of ^in++++=of
such ^abl++++=such
vegetables ^nns++++=vegetables
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
at ^rb++++=at
home ^vb++++=home.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
climate ^nn+nom+++=climate
where ^wrb+who+++=where
" ^zz++++="frost
frost ^np++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
winter ^nn++++=winter
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
unknown ^jj+pred+++=unknown,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
Ohio ^np+++??+=Ohio
River ^nn++++=River
froze ^vbd+++xvbn+=froze
solidly ^rb++++=solidly
over ^in++++=over
the ^ati++++=the
year ^nn++++=year
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hunters ^nns+nom+++=hunters
brought ^vbd+++xvbn+=brought
in ^rb+phrv+++=in
little ^jj++++=little
or ^cc++++=or
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
promised ^jj+atrb++xvbn+=promised
venison ^nn++++=venison,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
certainly ^rb++++=certainly
not ^xnot++not++=not
molested ^vbd+++xvbn+=molested
in ^in++++=in
the ^ati++++=the
chase ^nn++++=chase
" ^zz++++="by
by ^in++++=EXTRAWORD
tigers ^nn++++=tigers,
, ^zz++++=EXTRAWORD
lions ^nns++++=lions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
foxes ^nns++++=foxes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
colonists ^nns+nom+++=colonists
were ^vbd+bed+vrb++=were
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
starving ^xvbg+++xvbg+=starving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
already ^rb++++=already
sick ^jj+pred+++=sick
of ^in++++=of
the ^ati++++=the
fevers ^nn++++=fevers
bred ^jj++++=bred
by ^in++++=by
the ^ati++++=the
past ^jjb+atrb+++=past
summer ^nn++++=summer's
's ^$++++=EXTRAWORD
sun ^nn++++=sun
on ^in++++=on
the ^ati++++=the
swamp ^nn++++=swamp
lands ^nns++++=lands
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
few ^ap++++=few
advantages ^nns+nom+++=advantages
that ^tht+rel+obj++=that
the ^ati++++=the
Indians ^nn++++=Indians
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
trouble ^nn++++=trouble
them ^pp3o+pp3+++=them
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^in++++=after
killing ^xvbg+++xvbg+=killing
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
mistake ^nn++++=mistake
for ^in++++=for
an ^at++++=an
American ^jj++++=American,
, ^zz++++=EXTRAWORD
contented ^jj++++=contented
themselves ^ppls+pp3+++=themselves
with ^in++++=with
stealing ^xvbg+++xvbg+=stealing
the ^ati++++=the
Frenchmen ^np++++=Frenchmen's
's ^$++++=EXTRAWORD
cattle ^nns++++=cattle.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
colonists ^nns+nom+++=colonists
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
Scioto ^np+++??+=Scioto
Company ^nn++++=Company
could ^md+pos+++=could
not ^xnot++not++=not
give ^vb++++=give
them ^pp3o+pp3+++=them
titles ^nns++++=titles
to ^in++++=to
the ^ati++++=the
farms ^nns++++=farms
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
with ^in++++=with
their ^pp$+pp3+++=their
money ^nn++++=money
or ^cc++++=or
their ^pp$+pp3+++=their
toil ^nn++++=toil,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
stray ^vbi++++=stray
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
