Sitting ^vbg+++xvbg+=Sitting
wistaria ^nn++++=wistaria-vine.
- ^zz++++=EXTRAWORD
vine ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
spirit ^nn++++=spirit
quailed ^vbd+++xvbn+=quailed
and ^cc++++=and
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
blanched ^jj++++=blanched
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
naked ^jj+atrb+++=naked
blade ^nn++++=blade
of ^in++++=of
a ^at++++=a
dagger ^nn++++=dagger
held ^vbd+vprv++xvbn+=held
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
understood ^vbd+vprv+tht0+xvbnx+=understood
his ^pp$+pp3+++=his
mission ^nn++++=mission--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
life ^nn++++=life
and ^cc++++=and
the ^ati++++=the
gold ^nn++++=gold;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
glittering ^jj+atrb+++=glittering
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
robber ^nn++++=robber
she ^pp3a+pp3+++=she
recognized ^vbd+vprv++xvbnx+=recognized
as ^ql++++=as
those ^dt+dem+++=those
of ^in++++=of
Basilio ^np++++=Basilio
Velasco ^np+++??+=Velasco.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
nerveless ^jj+atrb+++=nerveless
terror ^nn++++=terror
the ^ati++++=the
ancient ^nn++++=ancient
resisting ^vwbg+++xvbg+=resisting
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
Ovandos ^np+++??+=Ovandos
sprang ^vbd+++xvbn+=sprang
into ^in++++=into
alert ^jj+atrb+++=alert
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
gentlest ^jjt++++=gentlest
and ^cc+phrs+++=and
sweetest ^jjt++++=sweetest
of ^in++++=of
young ^jj+atrb+++=young
women ^nns++++=women
armed ^vbd+++xvbn+=armed
her ^pp3o+pp3+++=her
soul ^nn++++=soul
to ^to++++=to
meet ^vbi++++=meet
Death ^nn++++=Death
on ^in++++=on
his ^pp$+pp3+++=his
own ^ap++++=own
ground ^nn++++=ground
and ^cc++++=and
his ^pp$+pp3+++=his
own ^ap++++=own
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
try ^vb++++=try
the ^ati++++=the
issue ^nn++++=issue
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
no ^at++++=no
alarm ^vb++++=alarm,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
none ^pn++++=none
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
except ^in++++=except
herself ^ppl+pp3+++=herself
and ^cc++++=and
Alice ^np++++=Alice.
. ^zz++++=EXTRAWORD
To ^in++++=To
have ^vbi+vbi+aux++=have
given ^vprf+++xvbnx+=given
way ^nn++++=way
to ^to++++=to
fear ^vbi++++=fear
would ^md+prd+++=would
have ^vb+hv+aux++=have
destroyed ^vprf+++xvbnx+=destroyed
her ^pp$+pp3+++=her
only ^rb+down+++=only
hope ^nn++++=hope
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Quietly ^rb+cnj+++=Quietly,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said, ^nn+++??+=said,-"Alice,
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
alice ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=do
not ^xnot++not++=not
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
impressiveness ^nns+nom+++=impressiveness
in ^in++++=in
her ^pp$+pp3+++=her
manner ^nn++++=manner
that ^tht+rel+subj++=that
startled ^vbd+++xvbn+=startled
the ^ati++++=the
nervous ^jj+atrb+++=nervous,
, ^zz++++=EXTRAWORD
timid ^jj+atrb+++=timid
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
also ^rb++++=also
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
strength ^nn++++=strength
and ^cc++++=and
a ^at++++=a
self ^nn++++=self-reliance
- ^zz++++=EXTRAWORD
reliance ^nn+nom+++=EXTRAWORD
that ^tht+rel+++=that
reassured ^jj+++xvbn+=reassured
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dropped ^vbd+++xvbnx+=dropped
her ^pp$+pp3+++=her
work ^nn++++=work
and ^cc++++=and
regarded ^vbd+++xvbn+=regarded
her ^pp$+pp3+++=her
mistress ^nns+nom+++=mistress
with ^in++++=with
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
second ^od++++=second
drawer ^nn++++=drawer
of ^in++++=of
the ^ati++++=the
bureau ^nn++++=bureau.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
find ^vb+vprv+++=find
a ^at++++=a
pistol ^nn++++=pistol
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Bring ^vb++++=Bring
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+vrb++=is
clambering ^nn++++=clambering
up ^rp++++=up
the ^ati++++=the
vine ^nn++++=vine
under ^in++++=under
my ^pp$+pp1+++=my
window ^nn++++=window
to ^to++++=to
rob ^vbi++++=rob
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
make ^vb++++=make
any ^dti++++=any
outcry ^nn++++=outcry
or ^cc++++=or
lose ^vb++++=lose
our ^pp$+pp1+++=our
heads ^nns++++=heads
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Place ^nn++++=Place
full ^jj+atrb+++=full
confidence ^nn+nom+++=confidence
in ^in++++=in
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alice ^np++++=Alice,
, ^zz++++=EXTRAWORD
numb ^jj++++=numb
and ^cc+phrs+++=and
nervous ^jj++++=nervous
with ^in++++=with
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
the ^ati++++=the
pistol ^nn++++=pistol
and ^cc++++=and
brought ^vbd+++xvbn+=brought
it ^pp3+it+++=it
to ^in++++=to
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
sit ^vb++++=sit
down ^rb+phrv+++=down
and ^cc++++=and
keep ^vb++++=keep
quiet ^jj++++=quiet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
the ^ati++++=the
weapon ^nn++++=weapon
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded,
, ^zz++++=EXTRAWORD
cocked ^j+++xvbn+=cocked
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glanced ^vbd+++xvbn+=glanced
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio
was ^vbd+bedz+aux++=was
climbing ^vbg+++xvbgx+=climbing
very ^ql+amp+++=very
slowly ^rb++++=slowly
and ^cc+phrs+++=and
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=fearing
that ^tht+vcmp+++=that
the ^ati++++=the
least ^rbt++++=least
disturbance ^nn+nom+++=disturbance
of ^in++++=of
the ^ati++++=the
vine ^nn++++=vine
would ^md+prd+++=would
alarm ^vb++++=alarm
the ^ati++++=the
senora ^nn+++??+=senora.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
sufficiently ^rb++++=sufficiently
near ^jj++++=near
to ^to++++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
aim ^nn++++=aim
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
Violante ^np+++??+=Violante
suddenly ^rb++++=suddenly
thrust ^vbd+++xvbn+=thrust
aside ^rp++++=aside
the ^ati++++=the
curtain ^nn++++=curtain,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
the ^ati++++=the
barrel ^nn++++=barrel
of ^in++++=of
the ^ati++++=the
weapon ^nn++++=weapon
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
Velasco ^np++++=Velasco's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Hearing ^vbg+vprv++xvbg+=Hearing
the ^ati++++=the
musical ^jj+atrb+++=musical
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spaniard ^np+++??+=Spaniard
quickly ^rb++++=quickly
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
the ^ati++++=the
bullet ^nn++++=bullet
then ^rn+tm+++=then
imprisoned ^vbd+++xvbn+=imprisoned
in ^in++++=in
the ^ati++++=the
weapon ^nn++++=weapon
been ^vprf+ben+aux+xvbn+=been
sent ^vpsv++agls+xvbnx+=sent
crashing ^vbg+++xvbg+=crashing
through ^in++++=through
his ^pp$+pp3+++=his
vitals ^nns++++=vitals,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
hardly ^rb+down+++=hardly
a ^at++++=a
greater ^jjr+atrb+++=greater
shock ^nn++++=shock
than ^in++++=than
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
quivered ^vwbn+++xvbn+=quivered
through ^in++++=through
his ^pp$+pp3+++=his
nerves ^nns++++=nerves
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
black ^jj+atrb+++=black
barrel ^nn++++=barrel
of ^in++++=of
the ^ati++++=the
pistol ^nn++++=pistol,
, ^zz++++=EXTRAWORD
the ^ati++++=the
small ^jj+atrb+++=small
but ^cc+phrs+++=but
steady ^jj+atrb+++=steady
hand ^nn++++=hand
which ^whp+rel+subj++=which
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pale ^nn++++=pale
and ^cc++++=and
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face
above ^jjb++++=above
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
holding ^vbg+vprv++xvbg+=holding
the ^ati++++=the
robber ^nn++++=robber
at ^rb++++=at
her ^pp3o+pp3+++=her
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
firmly ^rb++++=firmly
to ^in++++=to
the ^ati++++=the
girl, ^nn+++??+=girl,-"Alice,
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
alice ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
to ^to++++=to
fear ^vbi++++=fear
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Run ^j+++xvbn+=Run
as ^ql++++=as
fast ^jj++++=fast
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
about ^in++++=about
a ^at++++=a
hundred ^cd++++=hundred
yards ^nns++++=yards
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
horse ^nn++++=horse
tied ^vbd+++xvbn+=tied
there ^rn+pl+++=there
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
shrubbery ^nn+nom+++=shrubbery.
. ^zz++++=EXTRAWORD
Mount ^nn++++=Mount
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ride ^vb++++=ride
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
God ^np++++=God
will ^md+prd+++=will
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Find ^vb+vprv+++=Find
my ^pp$+pp1+++=my
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
robber ^nn++++=robber
as ^in++++=as
prisoner ^nn+nom+++=prisoner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
fainting ^jj+++xvbg+=fainting,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
galloped ^vbd+++xvbn+=galloped
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
these ^dt+dem+++=these
two ^cd++++=two
mortal ^jj+atrb+++=mortal
enemies ^nns++++=enemies
facing ^vwbg+++xvbg+=facing
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Velasco ^np+++??+=Velasco
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
horse ^nn++++=horse
clattering ^vwbg+++xvbg+=clattering
up ^rp++++=up
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
range ^nn++++=range
beyond ^in++++=beyond
the ^ati++++=the
hills ^nns++++=hills
of ^in++++=of
Gabilan ^np+++??+=Gabilan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
picture ^nn++++=picture
of ^in++++=of
a ^at++++=a
fierce ^jj++++=fierce
and ^cc+phrs+++=and
angry ^jj+atrb+++=angry
young ^jj+atrb+++=young
Scotchman ^np+nom++??+=Scotchman
dashing ^vwbg+++xvbg+=dashing
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
slaying ^nn++++=slaying
him ^pp3o+pp3+++=him
without ^in++++=without
a ^at++++=a
parley ^nn++++=parley
needed ^vwbn+++xvbn+=needed
no ^at++++=no
elaboration ^nn+nom+++=elaboration
in ^in++++=in
his ^pp$+pp3+++=his
dazed ^jj+atrb++xvbn+=dazed
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gazed ^vbd+++xvbnx+=gazed
steadily ^rb++++=steadily
at ^in++++=at
the ^ati++++=the
senora ^nn+++??+=senora
and ^cc++++=and
she ^pp3a+pp3+++=she
at ^rb++++=at
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
strange ^jj+atrb+++=strange
pity ^nn++++=pity
and ^cc++++=and
a ^at++++=a
sorrow ^nn++++=sorrow
in ^in++++=in
her ^pp$+pp3+++=her
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
also ^rb++++=also
an ^at++++=an
unyielding ^jj+atrb+++=unyielding
determination ^nn+nom+++=determination.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
knife ^nn++++=knife
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nn++++=teeth
held ^vbd+vprv++xvbn+=held
his ^pp$+pp3+++=his
tongue ^nn++++=tongue
a ^at++++=a
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
he ^pp3a+pp3+++=he
could ^md+pos+++=could
plead ^vb+vsua+++=plead
with ^in++++=with
her ^pp$+pp3+++=her
and ^cc++++=and
beg ^vb++++=beg
for ^in++++=for
his ^pp$+pp3+++=his
life ^nn++++=life!
! ^zz++++=EXTRAWORD
" ^zz++++="Basilio,"
basilio ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
quietly ^rb++++=quietly
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
preparing ^vbg+++xvbgx+=preparing
to ^to+vcmp+++=to
release ^vb++++=release
one ^cd1++++=one
hand ^nn++++=hand
by ^in++++=by
finding ^xvbg+++xvbg+=finding
a ^at++++=a
firmer ^jjr+atrb+++=firmer
hold ^nn++++=hold
for ^in++++=for
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
take ^vb++++=take
either ^dtx++++=either
of ^in++++=of
your ^pp$+pp2+++=your
hands ^nns++++=hands
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
vine ^nn++++=vine
I ^pp1a+pp1+++=I
will ^md+prd+++=will
shoot ^vb++++=shoot
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
perfectly ^rb+amp+++=perfectly
still ^rb++++=still.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
make ^vb++++=make
the ^ati++++=the
least ^rbt++++=least
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
shoot ^vb++++=shoot.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
seen ^vprf++tht0+xvbnx+=seen
me ^pp1o+pp1+++=me
throw ^vb++++=throw
apples ^nns++++=apples
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
send ^vb++++=send
a ^at++++=a
bullet ^nn++++=bullet
through ^in++++=through
every ^at++++=every
one ^pn++++=one
with ^in++++=with
this ^dt+dem+++=this
pistol ^nn++++=pistol."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
boastfulness ^nns+nom+++=boastfulness
in ^in++++=in
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Velasco ^np+++??+=Velasco
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
you ^pp2+pp2+++=you
money ^nn++++=money,
, ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
me ^pp1o+pp1+++=me
for ^in++++=for
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
come ^vbi++++=come
thus ^rb+cnj+++=thus
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Basilio ^np++++=Basilio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
unkind ^jj++++=unkind
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
could ^md+pos+++=could
only ^rb+down+++=only
remove ^nn++++=remove
the ^ati++++=the
dagger ^nn++++=dagger
from ^in++++=from
his ^pp$+pp3+++=his
mouth ^nn++++=mouth!
! ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
one ^cd1++++=one
so ^rb++++=so
kind ^nn++++=kind
and ^cc++++=and
gentle ^jj++++=gentle
as ^ql++++=as
she ^pp3a+pp3+++=she
would ^md+prd+++=would
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
go ^vb++++=go
in ^in++++=in
peace ^nn++++=peace
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
only ^rb+down+splt++=only
plead ^vb+vsua+++=plead
with ^in++++=with
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^to++++=to
let ^vbi++++=let
the ^ati++++=the
dagger ^nn++++=dagger
fall ^nn++++=fall
from ^in++++=from
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
disarm ^vbi++++=disarm
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
hardly ^rb+down+++=hardly
ready ^jj+pred+++=ready
for ^in++++=for
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
much ^ap++++=much
thinking ^jj+++xvbg+=thinking
and ^cc+phrs+++=and
planning ^vb+++xvbg+=planning
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
within ^in++++=within
a ^at++++=a
very ^ql+amp+++=very
few ^ap++++=few
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Velasco ^np+++??+=Velasco,
, ^zz++++=EXTRAWORD
still ^rb++++=still
with ^in++++=with
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
on ^in++++=on
the ^ati++++=the
black ^jj+atrb+++=black
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
pistol ^nn++++=pistol-barrel,
- ^zz++++=EXTRAWORD
barrel ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
made ^vbd+++xvbn+=made
a ^at++++=a
discouraging ^jj+atrb+++=discouraging
discovery ^nn+nom+++=discovery;
; ^zz++++=EXTRAWORD
the ^ati++++=the
position ^nn+nom+++=position
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
arrested ^vpsv++agls+xvbnx+=arrested
was ^vbd+bedz+vrb++=was
insecure ^jj+pred+++=insecure
and ^cc+phrs+++=and
uncomfortable ^jj++++=uncomfortable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
unusual ^jj+atrb+++=unusual
strain ^nn++++=strain
that ^tht+rel+obj++=that
it ^pp3+it+++=it
brought ^vbd+++xvbn+=brought
upon ^in++++=upon
his ^pp$+pp3+++=his
muscles ^nns++++=muscles
became ^vbd+++xvbn+=became
painful ^jj++++=painful
and ^cc+phrs+++=and
exhausting ^jj+++xvbg+=exhausting.
. ^zz++++=EXTRAWORD
To ^to++++=To
shift ^vbi++++=shift
his ^pp$+pp3+++=his
position ^nn+nom+++=position
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
way ^nn++++=way
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
invite ^vbi++++=invite
the ^ati++++=the
bullet ^nn++++=bullet.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
moments ^nns+nom+++=moments
flew ^vbd+++xvbn+=flew
the ^ati++++=the
strain ^nn++++=strain
upon ^in++++=upon
particular ^nn++++=particular
sets ^vbz++++=sets
of ^in++++=of
muscles ^nns++++=muscles
increased ^vbd+++xvbn+=increased
his ^pp$+pp3+++=his
pain ^nn++++=pain
with ^in++++=with
alarming ^xvbg+++xvbg+=alarming
rapidity ^nn+nom+++=rapidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
