Apollo ^np++++=Apollo
home ^nr++++=home
from ^in++++=from
work ^nn++++=work.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
houseboys ^nns+++??+=houseboys
treated ^vwbn+++xvbn+=treated
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
contemptuous ^jj+atrb+++=contemptuous
care ^nn++++=care
of ^in++++=of
people ^nns++++=people
who ^whp+rel+subj++=who
disliked ^vbd+++xvbn+=disliked
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
come ^vb++++=come
and ^cc+phrs+++=and
eat ^vb++++=eat
your ^pp$+pp2+++=your
food ^nn++++=food,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
trouble ^nn++++=trouble
from ^in++++=from
Madam ^npt++++=Madam.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
regularly ^rb++++=regularly
shouted ^vbd+vpub++xvbn+=shouted
at ^in++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
being ^xvbg+++xvbg+=being
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
stupid ^jj++++=stupid,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard
of ^in++++=of
hearing ^xvbg+++xvbg+=hearing;
; ^zz++++=EXTRAWORD
even ^rb++++=even
her ^pp3o+pp3+++=her
bell ^nn++++=bell-ringing,
- ^zz++++=EXTRAWORD
ringing ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
thumb ^nn++++=thumb
resting ^vwbg+++xvbg+=resting
on ^in++++=on
the ^ati++++=the
red ^jj+atrb+++=red
knob ^nn++++=knob,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shrillness ^nns+nom+++=shrillness
searing ^jj++++=searing
through ^in++++=through
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
sounded ^j+++xvbn+=sounded
like ^in++++=like
shouting ^nn++++=shouting.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
difficult ^jj++++=difficult
could ^md+pos+++=could
it ^pp3+it+++=it
be ^vb+be+aux++=be
to ^to++++=to
remember ^nn+nom+++=remember
to ^to+vcmp+++=to
fry ^vb++++=fry
the ^ati++++=the
eggs ^nns++++=eggs
differently ^rb+cnj+++=differently,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
plain ^jj++++=plain
and ^cc++++=and
hers ^pp$$++++=hers
with ^in++++=with
onions ^nns++++=onions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
put ^vbi++++=put
the ^ati++++=the
Russian ^jj+atrb+++=Russian
dolls ^nns++++=dolls
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
shelf ^nn++++=shelf
after ^in++++=after
dusting ^xvbg+++xvbg+=dusting,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
iron ^nn++++=iron
my ^pp$+pp1+++=my
school ^nn++++=school
uniform ^nn++++=uniform
properly ^rb++++=properly?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
only ^rb+down+++=only
child ^nn++++=child,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
late ^jj++++=late
in ^in++++=in
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
pregnant ^jj++++=pregnant,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
menopause ^nn+++??+=menopause,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
around ^rp++++=around
eight ^cd++++=eight
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
" ^zz++++="menopause"
menopause ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
brusque ^jj+atrb+++=brusque
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
as ^ql++++=as
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
father ^nn++++=father;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
about ^rb++++=about
them ^pp3o+pp3+++=them
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
people ^nns++++=people
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
quick ^jj+pred+++=quick
to ^to+jcmp+++=to
dismiss ^vbi++++=dismiss
others ^aps++++=others.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
at ^rb++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Ibadan ^np+++??+=Ibadan,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married
against ^in++++=against
their ^pp$+pp3+++=their
families ^nns++++=families'
' ^zz++++=EXTRAWORD
wishes ^nns++++=wishes
his ^pp$+pp3+++=his
thought ^nn+++xvbn+=thought
her ^pp3o+pp3+++=her
too ^ql++++=too
educated ^jj+++xvbn+=educated,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
hers ^pp$$++++=hers
preferred ^vbd+++xvbn+=preferred
a ^at++++=a
wealthier ^jjr+atrb+++=wealthier
suitor ^nn++++=suitor
and ^cc++++=and
spent ^vbd+++xvbn+=spent
their ^pp$+pp3+++=their
lives ^nns++++=lives
in ^in++++=in
an ^at++++=an
intense ^jj+atrb+++=intense
and ^cc+phrs+++=and
intimate ^jj+atrb+++=intimate
competition ^nn+nom+++=competition
over ^in++++=over
who ^whp+rel+pied++=who
published ^vbd+++xvbn+=published
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
won ^vbd+++xvbn+=won
at ^rb++++=at
badminton ^np++++=badminton,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
last ^jj+atrb+++=last
word ^nn++++=word
in ^in++++=in
an ^at++++=an
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
often ^rb++++=often
read ^vb+vprv++xvbn+=read
aloud ^rb++++=aloud
to ^in++++=to
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
from ^in++++=from
journals ^nns+nom+++=journals
or ^cc++++=or
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
rather ^rb++++=rather
than ^in++++=than
sitting ^nn++++=sitting
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
pacing ^nvbg+++xvbg+=pacing,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
about ^rb++++=about
to ^in++++=to
spring ^nn++++=spring
at ^in++++=at
a ^at++++=a
new ^jj+atrb+++=new
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drank ^vbd+++xvbnx+=drank
Mateus ^np+++??+=Mateus
ros ^nns+++??+=ros
that ^tht+rel+++=that
dark ^jj+atrb+++=dark,
, ^zz++++=EXTRAWORD
shapely ^jj+atrb+++=shapely
bottle ^nn++++=bottle
always ^rb++++=always
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
resting ^vbg+++xvbgx+=resting
on ^in++++=on
a ^at++++=a
table ^nn++++=table
near ^in+pl+++=near
them ^pp3o+pp3+++=them
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
behind ^rb+phrv+++=behind
glasses ^nns++++=glasses
faint ^jj++++=faint
with ^in++++=with
reddish ^jj+atrb+++=reddish
dregs ^nns+++??+=dregs.
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
my ^pp$+pp1+++=my
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
worried ^vbd+vprv++xvbnx+=worried
about ^in++++=about
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
quick ^jj++++=quick
enough ^qlp++++=enough
to ^to++++=to
respond ^vbi++++=respond
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
worried ^vbd+vprv++xvbnx+=worried,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
for ^in++++=for
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Reading ^vbg+++xvbg+=Reading
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do
to ^in++++=to
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
to ^in++++=to
my ^pp$+pp1+++=my
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
agitating ^jj+++xvbg+=agitating
them ^pp3o+pp3+++=them
or ^cc++++=or
turning ^nvbg+++xvbg+=turning
them ^pp3o+pp3+++=them
into ^in++++=into
vague ^jj+atrb+++=vague
beings ^nns++++=beings
lost ^vbd+++xvbn+=lost
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quite ^rb++++=quite
notice ^vb+vprv+++=notice
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
books ^nns++++=books
only ^ap+down+++=only
enough ^qlp++++=enough
to ^to++++=to
satisfy ^vbi++++=satisfy
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
answer ^nn++++=answer
the ^ati++++=the
kinds ^nns++++=kinds
of ^in++++=of
unexpected ^jj+atrb+++=unexpected
questions ^nns+nom+++=questions
that ^tht+rel+subj++=that
might ^md+pos+++=might
come ^vb++++=come
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
a ^at++++=a
meal ^nn++++=meal
What ^wdt+who+++=What
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
of ^in++++=of
Pip ^np+++??+=Pip?
? ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
Ezeulu ^np+++??+=Ezeulu
done ^vwbn+++xvbn+=done
the ^ati++++=the
right ^jj+atrb+++=right
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
felt ^vbd+vprv++xvbn+=felt
like ^in++++=like
an ^at++++=an
interloper ^nn++++=interloper
in ^in++++=in
our ^pp$+pp1+++=our
house ^nn++++=house.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
bedroom ^nn++++=bedroom
had ^vbd+hvd+aux++=had
bookshelves ^vbz+++??+=bookshelves,
, ^zz++++=EXTRAWORD
stacked ^j+++xvbn+=stacked
with ^in++++=with
the ^ati++++=the
overflow ^nn++++=overflow
books ^nns++++=books
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fit ^vb++++=fit
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
the ^ati++++=the
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
my ^pp$+pp1+++=my
stay ^nn++++=stay
feel ^vb+vprv+++=feel
transient ^nn++++=transient,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
quite ^abl++++=quite
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sensed ^vbd+vprv+tht0+xvbnx+=sensed
my ^pp$+pp1+++=my
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
disappointment ^nn+nom+++=disappointment
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
they ^pp3a+pp3+++=they
glanced ^vbd+++xvbnx+=glanced
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
about ^in++++=about
a ^at++++=a
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
incorrect ^jj++++=incorrect
but ^cc++++=but
merely ^rb+down+++=merely
ordinary ^jj++++=ordinary,
, ^zz++++=EXTRAWORD
uncharged ^jj++++=uncharged
with ^in++++=with
their ^pp$+pp3+++=their
brand ^nn++++=brand
of ^in++++=of
originality ^nn+nom+++=originality.
. ^zz++++=EXTRAWORD
Going ^vbg+++xvbg+=Going
to ^in++++=to
the ^ati++++=the
staff ^nn++++=staff
club ^nn++++=club
with ^in++++=with
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
an ^at++++=an
ordeal ^nn++++=ordeal:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
badminton ^np++++=badminton
boring ^jj++++=boring,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shuttlecock ^nn+++??+=shuttlecock
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
an ^at++++=an
unfinished ^jj+atrb+++=unfinished
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
whoever ^whp+who+++=whoever
had ^vbd+hvd+aux++=had
invented ^vprf+++xvbnx+=invented
the ^ati++++=the
game ^nn++++=game
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
halfway ^rb++++=halfway.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
was ^vbd+bedz+vrb++=was
kung ^nn+++??+=kung
fu ^nn+++??+=fu.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
" ^zz++++="Enter
enter ^vb++++=EXTRAWORD
the ^ati++++=the
Dragon ^nn++++=Dragon"
" ^zz++++=EXTRAWORD
so ^ql++++=so
often ^rb++++=often
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
all ^rb++++=all
the ^ati++++=the
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
to ^to+vcmp+++=to
wake ^vbi++++=wake
up ^rp++++=up
and ^cc++++=and
be ^vb+be+vrb++=be
Bruce ^np++++=Bruce
Lee ^nn++++=Lee.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
kick ^vb++++=kick
and ^cc++++=and
strike ^nn++++=strike
at ^rb++++=at
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
at ^rb++++=at
imaginary ^jj+atrb+++=imaginary
enemies ^nns++++=enemies
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
my ^pp$+pp1+++=my
imaginary ^jj+atrb+++=imaginary
family ^nn++++=family.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
pull ^vb++++=pull
my ^pp$+pp1+++=my
mattress ^nns+nom+++=mattress
onto ^in++++=onto
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
stand ^vb++++=stand
on ^in++++=on
two ^cd++++=two
thick ^jj+atrb+++=thick
books ^nns++++=books
usually ^rb+down+++=usually
hardcover ^jjr+atrb+++=hardcover
copies ^nns++++=copies
of ^in++++=of
" ^zz++++="Black
black ^jj+atrb+++=EXTRAWORD
Beauty ^nn++++=Beauty"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="The
the ^ati++++=EXTRAWORD
Water ^nn++++=Water-Babies"
- ^zz++++=EXTRAWORD
babies ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
leap ^nn++++=leap
onto ^in++++=onto
the ^ati++++=the
mattress ^nns+nom+++=mattress,
, ^zz++++=EXTRAWORD
screaming ^vbg+++xvbg+=screaming
" ^zz++++="Haaa!"
haaa ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
like ^in++++=like
Bruce ^np++++=Bruce
Lee ^nn++++=Lee.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
my ^pp$+pp1+++=my
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
to ^to++++=to
see ^vbi+vprv+++=see
Raphael ^np++++=Raphael
standing ^vwbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
watching ^jj+++xvbg+=watching
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expected ^vbd+vprv++xvbnx+=expected
a ^at++++=a
mild ^jj+atrb+++=mild
reprimand ^nn+++??+=reprimand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
my ^pp$+pp1+++=my
bed ^nn++++=bed
that ^tht+rel+++=that
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
in ^in++++=in
disarray ^nn++++=disarray.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
his ^pp$+pp3+++=his
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
finger ^nn++++=finger
to ^in++++=to
his ^pp$+pp3+++=his
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
tasting ^nvbg+++xvbg+=tasting
his ^pp$+pp3+++=his
own ^ap++++=own
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
favorite ^jj+atrb+++=favorite
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
Raphael ^np++++=Raphael
with ^in++++=with
the ^ati++++=the
pure ^jj+atrb+++=pure
thrill ^nn++++=thrill
of ^in++++=of
unexpected ^jj+atrb+++=unexpected
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
film ^nn++++=film
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
house ^nn++++=house
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
worked ^vbd+++xvbnx+=worked,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pivoted ^vbd+++xvbnx+=pivoted
slightly ^rb+cnj+++=slightly,
, ^zz++++=EXTRAWORD
leaped ^j+++xvbn+=leaped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kicked ^vbd+++xvbn+=kicked,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
leg ^nn++++=leg
straight ^jj++++=straight
and ^cc+phrs+++=and
high ^jj++++=high,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
all ^rb++++=all
taut ^jj+atrb+++=taut
grace ^nn++++=grace.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
twelve ^cd++++=twelve
years ^nns++++=years
old ^jj++++=old
and ^cc++++=and
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
until ^in++++=until
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
never ^rb++++=never
felt ^vprf+++xvbn+=felt
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
recognized ^vbd+vprv+tht0+xvbnx+=recognized
myself ^ppl+pp1+++=myself
in ^in++++=in
another ^dt++++=another
person ^nn++++=person.
. ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
and ^cc++++=and
I ^pp1a+pp1+++=I
practiced ^vbd+++xvbnx+=practiced
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping
from ^in++++=from
the ^ati++++=the
raised ^jj+atrb++xvbn+=raised
concrete ^jj+atrb+++=concrete
soakaway ^nn+++??+=soakaway
and ^cc++++=and
landing ^nvbg+++xvbg+=landing
on ^in++++=on
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
to ^to++++=to
suck ^vbi++++=suck
in ^in++++=in
my ^pp$+pp1+++=my
belly ^nn++++=belly,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
my ^pp$+pp1+++=my
legs ^nns++++=legs
straight ^jj++++=straight
and ^cc++++=and
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
precise ^jj++++=precise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
taught ^vbd+vsua++xvbnx+=taught
me ^pp1o+pp1+++=me
to ^to++++=to
breathe ^vbi++++=breathe.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
previous ^jj+atrb+++=previous
attempts ^nns++++=attempts,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
enclosure ^nn++++=enclosure
of ^in++++=of
my ^pp$+pp1+++=my
room ^nn++++=room,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
stillborn ^vbd+++xvbn+=stillborn.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
outside ^jjb++++=outside
with ^in++++=with
Raphael ^np++++=Raphael,
, ^zz++++=EXTRAWORD
slicing ^vbg+++xvbg+=slicing
the ^ati++++=the
air ^nn++++=air
with ^in++++=with
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
feel ^vb+vprv+tht0++=feel
my ^pp$+pp1+++=my
practice ^nn++++=practice
become ^vb++++=become
real ^jj++++=real,
, ^zz++++=EXTRAWORD
with ^in++++=with
soft ^jj+atrb+++=soft
grass ^nn++++=grass
below ^in+pl+++=below
and ^cc++++=and
high ^jj+atrb+++=high
sky ^nn++++=sky
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
endless ^jj+atrb+++=endless
space ^nn++++=space
mine ^nn++++=mine
to ^to++++=to
conquer ^vbi++++=conquer.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
truly ^rb++splt++=truly
happening ^vbg+++xvbgx+=happening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
become ^vb++++=become
a ^at++++=a
black ^jj+atrb+++=black
belt ^nn++++=belt
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj+atrb+++=high
open ^jj+atrb+++=open
veranda ^nn++++=veranda,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
jump ^vbi++++=jump
off ^in+pl+++=off
its ^pp$+it+++=its
flight ^nn++++=flight
of ^in++++=of
six ^cd++++=six
steps ^nns++++=steps
and ^cc++++=and
try ^vb++++=try
a ^at++++=a
flying ^nn++++=flying
kick ^vb++++=kick.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
veranda ^nn++++=veranda
is ^vbz+bez+vrb++=is
too ^ql++++=too
high ^np++++=high."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
weekends ^nns++++=weekends,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
parents ^nns++++=parents
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
staff ^nn++++=staff
club ^nn++++=club
without ^in++++=without
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
