We ^pp1a+pp1+++=We,
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
funny ^jj++++=funny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
aquatinting ^vbg+++xvbg+=aquatinting
and ^cc++++=and
the ^ati++++=the
gay ^jj++++=gay-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
plates ^nns++++=plates
very ^ql+amp+++=very
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
witness ^nns+nom+++=witness;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read
the ^ati++++=the
poem ^nn++++=poem
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
we ^pp1a+pp1+++=we
digest ^vb++++=digest
it ^pp3+it+++=it
in ^in++++=in
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
apart ^in++++=apart
from ^in"++++=from
the ^ati++++=the
text ^nn++++=text
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
could ^md+pos+++=could
not ^xnot++not++=not
master ^nn++++=master,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
remember ^nn+nom+++=remember
Doctor ^nn++++=Doctor
Syntax ^nn++++=Syntax
pleasantly ^rb+cnj+++=pleasantly,
, ^zz++++=EXTRAWORD
like ^in++++=like
those ^dt+dem+++=those
cheerful ^jj+atrb+++=cheerful
painted ^jj+atrb++xvbn+=painted
hieroglyphics ^nns++++=hieroglyphics
in ^in++++=in
the ^ati++++=the
Nineveh ^np+++??+=Nineveh
Court ^nn++++=Court
at ^rb++++=at
Sydenham ^np+++??+=Sydenham.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
matter ^nn++++=matter
for ^in++++=for
the ^ati++++=the
arrow ^nn++++=arrow-head,
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
illegible ^jj+atrb+++=illegible
stuff ^nn++++=stuff?
? ^zz++++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
the ^ati++++=the
placid ^nn++++=placid
grinning ^vwbg+++xvbg+=grinning
kings ^nns++++=kings,
, ^zz++++=EXTRAWORD
twanging ^jj+++xvbg+=twanging
their ^pp$+pp3+++=their
jolly ^jj+atrb+++=jolly
bows ^nns++++=bows
over ^in++++=over
their ^pp$+pp3+++=their
rident ^jj+atrb+++=rident
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
wounding ^jj++++=wounding
those ^dt+dem+++=those
good ^jj++++=good-humored
- ^zz++++=EXTRAWORD
humored ^jj+atrb++xvbn+=EXTRAWORD
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
tumble ^nn++++=tumble
gayly ^jj++++=gayly
off ^in+pl+++=off
the ^ati++++=the
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
drown ^vb++++=drown,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
dimpling ^nn+nom+++=dimpling
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
amidst ^in++++=amidst
the ^ati++++=the
anerithmon ^nn+++??+=anerithmon
gelasma ^nn+++??+=gelasma
of ^in++++=of
the ^ati++++=the
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
After ^in++++=After
Doctor ^nn++++=Doctor
Syntax ^nn++++=Syntax,
, ^zz++++=EXTRAWORD
the ^ati++++=the
apparition ^nn+nom+++=apparition
of ^in++++=of
Corinthian ^np+++??+=Corinthian
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
Hawthorn ^nn++++=Hawthorn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
facetious ^jj+atrb+++=facetious
Bob ^np++++=Bob
Logic ^nn++++=Logic
must ^md+nec+++=must
be ^vb+be+aux++=be
recorded ^vpsv++agls+xvbnx+=recorded--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
wondrous ^jj+atrb+++=wondrous
history ^nn++++=history
indeed ^qlp++++=indeed
theirs ^pp$$++++=theirs
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
future ^jjb+atrb+++=future
student ^nn++++=student
of ^in++++=of
our ^pp$+pp1+++=our
manners ^nns+nom+++=manners
comes ^vbz++++=comes
to ^to++++=to
look ^vbi++++=look
over ^in++++=over
the ^ati++++=the
pictures ^nns++++=pictures
and ^cc++++=and
the ^ati++++=the
writing ^jj+++xvbg+=writing
of ^in++++=of
these ^dt+dem+++=these
queer ^jj+atrb+++=queer
volumes ^nns++++=volumes,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
will ^md+prd+++=will
he ^pp3a+pp3+++=he
think ^vb+vprv+++=think
of ^in++++=of
our ^pp$+pp1+++=our
society ^nn++++=society,
, ^zz++++=EXTRAWORD
customs ^nns++++=customs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
language ^nn+nom+++=language
in ^in++++=in
the ^ati++++=the
consulship ^nn+nom+++=consulship
of ^in++++=of
Plancus ^np+++??+=Plancus?
? ^zz++++=EXTRAWORD
" ^zz++++="Corinthian,"
corinthian ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
phrase ^nn++++=phrase
applied ^vwbn+++xvbn+=applied
to ^in++++=to
men ^nns++++=men
of ^in++++=of
fashion ^nn++++=fashion
and ^cc++++=and
ton ^&fw++++=ton
in ^in++++=in
Plancus ^np++++=Plancus's
's ^$++++=EXTRAWORD
time ^nn++++=time:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
the ^ati++++=the
brilliant ^jj+atrb+++=brilliant
predecessors ^nns++++=predecessors
of ^in++++=of
the ^ati++++=the
" ^zz++++="swell"
swell ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
period ^nn++++=period--brilliant,
-- ^--+clp+++=EXTRAWORD
brilliant ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
somewhat ^rb+down+++=somewhat
barbarous ^jj++++=barbarous,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
confessed ^vpsv++agls+xvbnx+=confessed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Corinthians ^np+++??+=Corinthians
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
drinking ^xvbg+++xvbg+=drinking
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
too ^ql++++=too
much ^ap++++=much
in ^in++++=in
Tom ^np++++=Tom
Cribb ^np++++=Cribb's
's ^$++++=EXTRAWORD
parlor ^nn++++=parlor:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
go ^vb++++=go
and ^cc+phrs+++=and
see ^vb+vprv+++=see
" ^zz++++="life"
life ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
gin ^nn++++=gin-shops;
- ^zz++++=EXTRAWORD
shops ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
of ^in++++=of
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
home ^nr++++=home
( ^zz++++=(as
as ^cc++++=EXTRAWORD
well ^rb++++=well
as ^cc"++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
knock ^vb++++=knock
down ^rb+phrv+++=down
" ^zz++++="Charleys,"
charleys ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
poor ^jj++++=poor
harmless ^jj++++=harmless
old ^jj++++=old
watchmen ^jj+++xvbn+=watchmen
with ^in++++=with
lanterns ^nns++++=lanterns,
, ^zz++++=EXTRAWORD
guardians ^nns++++=guardians
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
Planco ^np+++??+=Planco
Consule ^np+++??+=Consule.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
perpetrated ^vwbn+++xvbn+=perpetrated
a ^at++++=a
vast ^jj+atrb+++=vast
deal ^nn++++=deal
of ^in++++=of
boxing ^xvbg+++xvbg+=boxing;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
the ^ati++++=the
" ^zz++++="mufflers"
mufflers ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
Jackson ^np++++=Jackson's
's ^$++++=EXTRAWORD
rooms ^nns++++=rooms;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
" ^zz++++="sported
sported ^vbd+++xvbn+=EXTRAWORD
their ^pp$+pp3+++=their
prads ^nns+++??+=prads"
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Ring ^nn++++=Ring
in ^in++++=in
the ^ati++++=the
Park ^nn++++=Park;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
attended ^vbd+++xvbnx+=attended
cock ^nn++++=cock-fights,
- ^zz++++=EXTRAWORD
fights ^vbz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
enlightened ^jj+atrb+++=enlightened
patrons ^nns++++=patrons
of ^in++++=of
dogs ^nns++++=dogs
and ^cc++++=and
destroyers ^nns+nom+++=destroyers
of ^in++++=of
rats ^nns++++=rats.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
these ^dt+dem+++=these
sports ^nns++++=sports,
, ^zz++++=EXTRAWORD
the ^ati++++=the
delassemens ^nns+++??+=delassemens
of ^in++++=of
gentlemen ^nns++++=gentlemen
mixing ^vwbg+++xvbg+=mixing
with ^in++++=with
the ^ati++++=the
people ^nn++++=people,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
patricians ^nns++++=patricians,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
enjoyed ^vbd+++xvbn+=enjoyed
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
class ^nn++++=class.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
picture ^nn++++=picture
that ^tht+rel+subj++=that
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
Corinthian ^np+++??+=Corinthian
Tom ^np++++=Tom
dancing ^vwbg+++xvbg+=dancing
with ^in++++=with
Corinthian ^np+++??+=Corinthian
Kate ^np++++=Kate
at ^in++++=at
Almack ^np+++??+=Almack's!
's! ^nn+++??+=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
prodigious ^jj+atrb+++=prodigious
dress ^nn++++=dress
Kate ^np++++=Kate
wore ^vbd+++xvbn+=wore!
! ^zz++++=EXTRAWORD
With ^in++++=With
what ^wdt+who+++=what
graceful ^jj++++=graceful
Abandon ^vb++++=ABANDON
the ^ati++++=the
pair ^nn++++=pair
flung ^vbd+++xvbn+=flung
their ^pp$+pp3+++=their
arms ^nns++++=arms
about ^in++++=about
as ^ql++++=as
they ^pp3a+pp3+++=they
swept ^vbd+++xvbnx+=swept
through ^in++++=through
the ^ati++++=the
mazy ^nn+++??+=mazy
quadrille ^nn+++??+=quadrille,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
noblemen ^nns++++=noblemen
standing ^vwbg+++xvbg+=standing
round ^in++++=round
in ^in++++=in
their ^pp$+pp3+++=their
stars ^nns++++=stars
and ^cc++++=and
uniforms ^nns++++=uniforms!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
doubtless ^rb+cnj+++=doubtless,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
the ^ati++++=the
pictures ^nns++++=pictures
at ^in++++=at
the ^ati++++=the
British ^jj+atrb+++=British
Museum ^nn++++=Museum,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
find ^vb+vprv+++=find
the ^ati++++=the
volumes ^nns++++=volumes
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
some ^dti++++=some
old ^jj+atrb+++=old
country ^nn++++=country-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
library ^npl+nom+++=library.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
led ^vpsv++agls+xvbnx+=led
to ^to++++=to
suppose ^vbi+vprv+++=suppose
that ^tht+vcmp+++=that
the ^ati++++=the
English ^jj+atrb+++=English
aristocracy ^nn+nom+++=aristocracy
of ^in++++=of
1820 ^cd+date+++=1820
Did ^vbd+dod+vrb++=DID
dance ^nn++++=dance
and ^cc++++=and
caper ^nn++++=caper
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
box ^nn++++=box
and ^cc++++=and
drink ^vb++++=drink
at ^rb++++=at
Tom ^np++++=Tom
Cribb ^np+++??+=Cribb's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
knock ^vb++++=knock
down ^rb+phrv+++=down
watchmen ^vprf+++xvbn+=watchmen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
their ^pp$+pp3+++=their
elders ^nns++++=elders,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
say ^vb+vpub+++=say
" ^zz++++="Grandmamma,
grandmamma ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
wear ^vb++++=wear
such ^abl++++=such
a ^at++++=a
dress ^nn++++=dress
as ^ql++++=as
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
danced ^vbd+++xvbn+=danced
at ^rb++++=at
Almack ^np+++??+=Almack's?
's? ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
little ^ap++++=little
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
grandmamma ^nn+++??+=grandmamma.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
grandpapa ^nn+++??+=grandpapa
kill ^vb++++=kill
many ^ap++++=many
watchmen ^jj+++xvbn+=watchmen
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
frequent ^jj+atrb+++=frequent
thieves ^nns++++=thieves'
' ^zz++++=EXTRAWORD
gin ^nn++++=gin-shops,
- ^zz++++=EXTRAWORD
shops ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cock ^nn++++=cock-fights,
- ^zz++++=EXTRAWORD
fights ^vbz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ring ^nn++++=ring,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
you ^pp2+pp2+++=you
married ^vbd+++xvbn+=married
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+vrb++=Did
he ^pp3a+pp3+++=he
use ^nn++++=use
to ^to++++=to
talk ^vbi++++=talk
the ^ati++++=the
extraordinary ^jj+atrb+++=extraordinary
slang ^nn++++=slang
and ^cc++++=and
jargon ^nn++++=jargon
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
printed ^vpsv++agls+xvbnx+=printed
in ^in++++=in
this ^dt+dem+++=this
book ^nn++++=book?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
much ^ap++++=much
changed ^jj+++xvbn+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seems ^vbz+seem+++=seems
a ^at++++=a
gentlemanly ^jj+atrb+++=gentlemanly
old ^jj+atrb+++=old
boy ^nn++++=boy
enough ^qlp++++=enough
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
above ^in+pl+++=above-named
- ^zz++++=EXTRAWORD
named ^jj+atrb++xvbn+=EXTRAWORD
consulate ^nn+nom+++=consulate,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
We ^pp1a+pp1+++=WE
had ^vb+hv+vrb++=had
grandfathers ^nns+nom+++=grandfathers
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman's
's ^$++++=EXTRAWORD
library ^nn+nom+++=library
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
old ^jj+atrb+++=old
mottled ^jj+atrb+++=mottled
portfolios ^nns+++??+=portfolios,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
great ^jj+atrb+++=great
swollen ^jj+atrb+++=swollen
scrap ^nn++++=scrap-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
of ^in++++=of
blue ^jj+atrb+++=blue
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
the ^ati++++=the
comic ^jj+atrb+++=comic
prints ^nns++++=prints
of ^in++++=of
grandpapa ^nn+++??+=grandpapa's
's ^$++++=EXTRAWORD
time ^nn++++=time,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
Plancus ^np+++??+=Plancus
ever ^rb++++=ever
had ^vb+hv+vrb++=had
the ^ati++++=the
fasces ^nn++++=fasces
borne ^vwbn+++xvbn+=borne
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
prints ^nns++++=prints
were ^vbd+bed+aux++=were
signed ^vpsv++agls+xvbnx+=signed
Gilray ^np+++??+=Gilray,
, ^zz++++=EXTRAWORD
Bunbury ^np++++=Bunbury,
, ^zz++++=EXTRAWORD
Rowlandson ^np++++=Rowlandson,
, ^zz++++=EXTRAWORD
Woodward ^np++++=Woodward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
actually ^rb+amp+++=actually
George ^np++++=George
Cruikshank ^np+++??+=Cruikshank--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
George ^np++++=George
is ^vbz+bez+vrb++=is
a ^at++++=a
veteran ^nn++++=veteran
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
etching ^nn++++=etching
needle ^nn++++=needle
in ^in++++=in
hand ^nn++++=hand
as ^in++++=as
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caricatured ^vbd+++xvbnx+=caricatured
" ^zz++++="Boney,"
boney ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
borrowing ^nvbg+++xvbg+=borrowing
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
from ^in++++=from
Gilray ^np+++??+=Gilray
in ^in++++=in
his ^pp$+pp3+++=his
first ^od++++=first
puerile ^vb+++??+=puerile
efforts ^nns++++=efforts.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drew ^vbd+++xvbnx+=drew
Louis ^np++++=Louis
Xviii ^np+++??+=XVIII.
. ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
on ^in++++=on
Boney ^np++++=Boney's
's ^$++++=EXTRAWORD
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
century ^nn++++=century
was ^vbd+bedz+vrb++=was
actually ^rb+amp+++=actually
in ^in++++=in
its ^pp$+it+++=its
teens ^nns++++=teens
we ^pp1a+pp1+++=we
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
George ^np++++=George
Cruikshank ^np+++??+=Cruikshank
was ^vbd+bedz+vrb++=was
amusing ^jj+pred+++=amusing
the ^ati++++=the
public ^nn++++=public.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
great ^jj+atrb+++=great
colored ^jj+atrb++xvbn+=colored
prints ^nns++++=prints
in ^in++++=in
our ^pp$+pp1+++=our
grandfathers ^nns+nom+++=grandfathers'
' ^zz++++=EXTRAWORD
portfolios ^nns+++??+=portfolios
in ^in++++=in
the ^ati++++=the
library ^nn+nom+++=library,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
some ^dti++++=some
other ^ap++++=other
apartments ^nns+nom+++=apartments
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
caricatures ^nn++++=caricatures
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi+vbi+aux++=be
pasted ^xvbn+++xvbn+=pasted
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
things ^nns++++=things
quite ^rb++++=quite
beyond ^in++++=beyond
our ^pp$+pp1+++=our
comprehension ^nn++++=comprehension.
. ^zz++++=EXTRAWORD
Boney ^jj++++=Boney
was ^vbd+bedz+aux++=was
represented ^vpsv++agls+xvbnx+=represented
as ^ql++++=as
a ^at++++=a
fierce ^jj+atrb+++=fierce
dwarf ^nn++++=dwarf,
, ^zz++++=EXTRAWORD
with ^in++++=with
goggle ^vb++++=goggle
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
a ^at++++=a
huge ^nn++++=huge
laced ^vprf+++xvbn+=laced
hat ^nn++++=hat
and ^cc++++=and
tricolored ^jj+atrb++xvbn+=tricolored
plume ^nn++++=plume,
, ^zz++++=EXTRAWORD
a ^at++++=a
crooked ^jj+atrb+++=crooked
sabre ^nn++++=sabre,
, ^zz++++=EXTRAWORD
reeking ^jj++++=reeking
with ^in++++=with
blood ^nn++++=blood:
: ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
demon ^nn++++=demon
revelling ^vwbg+++xvbg+=revelling
in ^in++++=in
lust ^nn++++=lust,
, ^zz++++=EXTRAWORD
murder ^nn++++=murder,
, ^zz++++=EXTRAWORD
massacre ^nn++++=massacre.
. ^zz++++=EXTRAWORD
John ^np++++=John
Bull ^nn++++=Bull
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
kicking ^vbg+++xvbg+=kicking
him ^pp3o+pp3+++=him
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal:
: ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
prodigiously ^rb++splt++=prodigiously
kicked ^vpsv++agls+xvbnx+=kicked
all ^abn++++=all
through ^in++++=through
that ^dt+dem+++=that
series ^nn++++=series
of ^in++++=of
pictures ^nns++++=pictures;
; ^zz++++=EXTRAWORD
by ^in++++=by
Sidney ^np++++=Sidney
Smith ^np++++=Smith
and ^cc++++=and
our ^pp$+pp1+++=our
brave ^jj+atrb+++=brave
allies ^nns++++=allies
the ^ati++++=the
gallant ^jj+atrb+++=gallant
Turks ^nn++++=Turks;
; ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
excellent ^jj+atrb+++=excellent
and ^cc+phrs+++=and
patriotic ^jj+atrb+++=patriotic
Spaniards ^nn++++=Spaniards;
; ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
amiable ^jj+atrb+++=amiable
and ^cc+phrs+++=and
indignant ^jj+atrb+++=indignant
Russians, ^np+++??+=Russians,--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
nations ^nns+nom+++=nations
had ^vb+hv+vrb++=had
boots ^nns++++=boots
at ^in++++=at
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
poor ^jj+atrb+++=poor
Master ^nn++++=Master
Boney ^jj++++=Boney.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
Pitt ^np++++=Pitt
used ^md"++pmd"++=used
to ^to++++=to
defy ^vb++++=defy
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
good ^jj+atrb+++=good
old ^jj+atrb+++=old
George ^np++++=George,
, ^zz++++=EXTRAWORD
King ^npt++++=King
of ^in++++=of
Brobdingnag ^np+++??+=Brobdingnag,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
at ^in++++=at
Gulliver ^np+nom+++=Gulliver-Boney,
- ^zz++++=EXTRAWORD
boney ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sailing ^nvbg+++xvbg+=sailing
about ^in++++=about
in ^in++++=in
his ^pp$+pp3+++=his
tank ^nn++++=tank
to ^to++++=to
make ^vbi++++=make
sport ^nn++++=sport
for ^in++++=for
their ^pp$+pp3+++=their
Majesties ^np+++??+=Majesties!
! ^zz++++=EXTRAWORD
This ^dt+dem+++=This
little ^jj+atrb+++=little
fiend ^nn++++=fiend,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
beggar ^nn++++=beggar's
's ^$++++=EXTRAWORD
brat ^nn+++??+=brat,
, ^zz++++=EXTRAWORD
cowardly ^jj++++=cowardly,
, ^zz++++=EXTRAWORD
murderous ^jj++++=murderous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
atheistic ^jj++++=atheistic
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
( ^zz++++=(we
we ^pp1a+pp1+++=EXTRAWORD
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
old ^jj+atrb+++=old
portfolios ^nns+++??+=portfolios,
, ^zz++++=EXTRAWORD
pictures ^nns++++=pictures
representing ^vwbg+++xvbg+=representing
Boney ^jj++++=Boney
and ^cc++++=and
his ^pp$+pp3+++=his
family ^nn++++=family
in ^in++++=in
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
gnawing ^jj+atrb+++=gnawing
