Translation ^nn+nom+++=Translation
crate ^nn++++=crate,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
crate ^nn++++=crate
constituted ^vbd+++xvbn+=constituted
the ^ati++++=the
fourth ^od++++=fourth
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
too ^ql++++=too
low ^jj++++=low
to ^to++++=to
stand ^vbi++++=stand
upright ^jj++++=upright
and ^cc++++=and
too ^ql++++=too
narrow ^vb++++=narrow
for ^in++++=for
sitting ^xvbg+++xvbg+=sitting
down ^rp++++=down.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
crouched ^vbd+++xvbnx+=crouched
with ^in++++=with
bent ^xvbn+++xvbn+=bent
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
shook ^vbd+++xvbn+=shook
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
at ^rb++++=at
first ^rb"++++=first
I ^pp1a+pp1+++=I
probably ^rb++++=probably
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
anyone ^pn++++=anyone
and ^cc++++=and
to ^to++++=to
remain ^vbi++++=remain
constantly ^rb++++=constantly
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
towards ^in++++=towards
the ^ati++++=the
crate ^nn++++=crate,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
bars ^nns++++=bars
of ^in++++=of
the ^ati++++=the
cage ^nn++++=cage
cut ^vbd+++xvbn+=cut
into ^in++++=into
the ^ati++++=the
flesh ^nn++++=flesh
on ^in++++=on
my ^pp$+pp1+++=my
back ^nn++++=back.
. ^zz++++=EXTRAWORD
People ^nns++++=People
consider ^nn+nom+++=consider
such ^abl++++=such
confinement ^nn+nom+++=confinement
of ^in++++=of
wild ^jj+atrb+++=wild
animals ^nns+nom+++=animals
beneficial ^jj++++=beneficial
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
first ^rb++++=first
period ^nn++++=period
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
today ^nr+tm+++=today
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
deny ^vb+vpub+++=deny,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
a ^at++++=a
human ^jj+atrb+++=human
sense ^nn++++=sense
that ^tht+ncmp+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
case ^nn++++=case.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
without ^in++++=without
a ^at++++=a
way ^nn++++=way
out ^rp+pl+++=out
at ^rb++++=at
least ^rb"++++=least
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
direct ^jj+atrb+++=direct
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
the ^ati++++=the
crate ^nn++++=crate,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
boards ^nns++++=boards
fitted ^vwbn+++xvbn+=fitted
closely ^rb++++=closely
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
hole ^nn++++=hole
running ^vwbg+++xvbg+=running
right ^jj++++=right
through ^in++++=through
the ^ati++++=the
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
first ^od++++=first
discovered ^vprf+++xvbn+=discovered
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
welcomed ^vbd+++xvbnx+=welcomed
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
blissfully ^rb++++=blissfully
happy ^jj+atrb+++=happy
howl ^nn++++=howl
of ^in++++=of
ignorance ^nn+nom+++=ignorance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
hole ^nn++++=hole
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
nearly ^rb+down+++=nearly
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
stick ^vbi++++=stick
my ^pp$+pp1+++=my
tail ^nn++++=tail
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
an ^at++++=an
ape ^nn++++=ape
could ^md+pos+++=could
not ^xnot++not++=not
make ^vb++++=make
it ^pp3+it+++=it
any ^dti++++=any
bigger ^jjr++++=bigger.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
have ^vbi+vbi+aux++=have
made ^vprf+++xvbn+=made
remarkably ^rb++++=remarkably
little ^jj+atrb+++=little
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+pdem+++=that
people ^vbz++++=people
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
either ^dtx++++=either
I ^pp1a+pp1+++=I
must ^md+nec+++=must
soon ^rb+tm+splt++=soon
die ^vb++++=die
or ^cc++++=or,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
succeeded ^vbd+++xvbnx+=succeeded
in ^in++++=in
surviving ^xvbg+++xvbg+=surviving
the ^ati++++=the
first ^rb++++=first
critical ^jj+atrb+++=critical
period ^nn++++=period,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
be ^vb+be+vrb++=be
very ^ql+amp+++=very
capable ^jj++++=capable
of ^in++++=of
being ^nn+nn+aux++=being
trained ^vbd+++xvbn+=trained.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
survived ^vbd+++xvbnx+=survived
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Muffled ^jj+atrb+++=Muffled
sobbing ^nvbg+++xvbg+=sobbing,
, ^zz++++=EXTRAWORD
painfully ^rb++++=painfully
searching ^vbg+++xvbg+=searching
out ^rp+pl+++=out
fleas ^nns++++=fleas,
, ^zz++++=EXTRAWORD
wearily ^rb++++=wearily
licking ^vbg+++xvbg+=licking
a ^at++++=a
coconut ^nn++++=coconut,
, ^zz++++=EXTRAWORD
banging ^vbg+++xvbg+=banging
my ^pp$+pp1+++=my
skull ^nn++++=skull
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall
of ^in++++=of
the ^ati++++=the
crate ^nn++++=crate,
, ^zz++++=EXTRAWORD
sticking ^vbg+++xvbg+=sticking
out ^rp+pl+++=out
my ^pp$+pp1+++=my
tongue ^nn++++=tongue
when ^wrb+who+++=when
anyone ^pn++++=anyone
came ^vbd+++xvbn+=came
near ^rb++++=near
me ^pp1o+pp1+++=me
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
the ^ati++++=the
first ^od++++=first
occupations ^nns+nom+++=occupations
in ^in++++=in
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
life ^nn++++=life.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
feeling ^nvbg+++xvbg+=feeling:
: ^zz++++=EXTRAWORD
no ^at++++=no
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Nowadays ^rb+cnj+++=Nowadays,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
portray ^vb++++=portray
those ^dt+dem+++=those
ape ^nn++++=ape-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
feelings ^nns+nom+++=feelings
only ^rb+down+++=only
with ^in++++=with
human ^jj+atrb+++=human
words ^nns++++=words
and ^cc++++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
misrepresent ^jj++++=misrepresent
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^cs+sub+++=even
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can
no ^at++++=no
longer ^rbr++++=longer
attain ^vb++++=attain
the ^ati++++=the
old ^jj+atrb+++=old
truth ^nn++++=truth
of ^in++++=of
the ^ati++++=the
ape ^nn++++=ape,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
it ^pp3+it+++=it
lies ^vbz++++=lies
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
described ^vprf+++xvbnx+=described
of ^in++++=of
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
doubt ^nn++++=doubt.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
until ^in++++=until
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
so ^ql++++=so
many ^ap++++=many
ways ^nns++++=ways
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
no ^at++++=no
longer ^rbr++++=longer
had ^vb+hv+vrb++=had
one ^pn++++=one.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
nailed ^vprf+++xvbnx+=nailed
me ^pp1o+pp1+++=me
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
freedom ^nn+nom+++=freedom
to ^to+ncmp+++=to
move ^vbi++++=move
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
any ^dti++++=any
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+++=why?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
scratch ^vb++++=scratch
raw ^jj++++=raw
the ^ati++++=the
flesh ^nn++++=flesh
between ^in++++=between
your ^pp$+pp2+++=your
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
press ^vb++++=press
your ^pp$+pp2+++=your
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
bars ^nns++++=bars
of ^in++++=of
the ^ati++++=the
cage ^nn++++=cage
until ^in++++=until
it ^pp3+it+++=it
almost ^rb+hdg+++=almost
slices ^nns++++=slices
you ^pp2+pp2+++=you
in ^in++++=in
two ^cd++++=two,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
way ^nn++++=way
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
one ^pn++++=one
for ^in++++=for
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
For ^in++++=For
without ^in++++=without
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
live ^vb++++=live.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
that ^dt+dem+++=that
crate ^nn++++=crate
wall ^nn++++=wall
I ^pp1a+pp1+++=I
would ^md+prd+++=would
inevitably ^rb++++=inevitably
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
a ^at++++=a
miserable ^jj+atrb+++=miserable
death ^nn++++=death.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
according ^in+cmpx+++=according
to ^in++++=to
Hagenbeck ^np+++??+=Hagenbeck,
, ^zz++++=EXTRAWORD
apes ^nns+++??+=apes
belong ^vb++++=belong
at ^in++++=at
the ^ati++++=the
crate ^nn++++=crate
wall ^nn++++=wall
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
meant ^vprf++tht0+xvbn+=meant
I ^pp1a+pp1+++=I
would ^md+prd+++=would
cease ^vb++++=cease
being ^vbg+beg++xvbg+=being
an ^at++++=an
ape ^nn++++=ape.
. ^zz++++=EXTRAWORD
A ^at++++=A
clear ^jj+atrb+++=clear
and ^cc+phrs+++=and
beautiful ^jj+atrb+++=beautiful
train ^nn++++=train
of ^in++++=of
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+aux++=have
planned ^vprf+++xvbnx+=planned
somehow ^rb++++=somehow
with ^in++++=with
my ^pp$+pp1+++=my
belly ^nn++++=belly,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
apes ^vbz+++??+=apes
think ^vb+vprv+++=think
with ^in++++=with
their ^pp$+pp3+++=their
bellies ^nns++++=bellies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
worried ^jj++agls+xvbnx+=worried
that ^tht+jcmp+++=that
people ^nns++++=people
do ^vb+do+aux++=do
not ^xnot++not++=not
understand ^vb+vprv+++=understand
precisely ^rb++++=precisely
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
by ^in++++=by
a ^at++++=a
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
use ^nn++++=use
the ^ati++++=the
word ^nn++++=word
in ^in++++=in
its ^pp$+it+++=its
most ^ql+emph+++=most
common ^jj+atrb+++=common
and ^cc+phrs+++=and
fullest ^jjt+atrb+++=fullest
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
deliberately ^rb++++=deliberately
not ^xnot++not++=not
saying ^nvbg+++xvbg+=saying
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
mean ^vb+vprv+++=mean
this ^dt+dem+++=this
great ^jj++++=great
feeling ^jj+++xvbg+=feeling
of ^in++++=of
freedom ^nn+nom+++=freedom
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
ape ^nn++++=ape,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
perhaps ^rb++++=perhaps
recognized ^vbd+vprv+tht0+xvbn+=recognized
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
human ^jj+atrb+++=human
beings ^nns++++=beings
who ^whp+rel+obj++=who
yearn ^nn++++=yearn
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
demand ^nn++++=demand
freedom ^nn+nom+++=freedom
either ^dtx++++=either
then ^rn+tm+++=then
or ^cc++++=or
today ^nr+tm+++=today.
. ^zz++++=EXTRAWORD
Incidentally ^rb+cnj+++=Incidentally,
, ^zz++++=EXTRAWORD
among ^in++++=among
human ^jj+atrb+++=human
beings ^nns++++=beings
people ^nns++++=people
all ^abn++++=all
too ^ql++++=too
often ^rb++++=often
are ^vb+ber+aux++=are
deceived ^vpsv++by+xvbnx+=deceived
by ^in++++=by
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
since ^cs+sub+++=since
freedom ^nn+nom+++=freedom
is ^vbz+bez+aux++=is
reckoned ^vpsv++agls+xvbnx+=reckoned
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
sublime ^jj+atrb+++=sublime
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
disappointment ^nn+nom+++=disappointment
is ^vbz+bez+vrb++=is
also ^rb++++=also
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
sublime ^jj++++=sublime.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
variety ^nn++++=variety
shows ^nns++++=shows,
, ^zz++++=EXTRAWORD
before ^in++++=before
my ^pp$+pp1+++=my
entrance ^nn+nom+++=entrance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
watched ^vprf+++xvbnx+=watched
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
artists ^nns+nom+++=artists
busy ^jj++++=busy
on ^in++++=on
trapezes ^nns+++??+=trapezes
high ^jj++++=high
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
swung ^vbd+++xvbnx+=swung
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
rocked ^vbd+++xvbnx+=rocked
back ^jjb++++=back
and ^cc++++=and
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
jumped ^vbd+++xvbnx+=jumped,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
hung ^vbd+++xvbnx+=hung
in ^in++++=in
each ^ppls++++=each
other's ^ppls++++=other's
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
other ^ap++++=other
by ^in++++=by
clenching ^xvbg+++xvbg+=clenching
the ^ati++++=the
hair ^nn++++=hair
with ^in++++=with
his ^pp$+pp3+++=his
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
" ^zz++++="That,
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
human ^jj+atrb+++=human
freedom ^nn+nom+++=freedom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="self-controlled
self ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
movement ^nn+nom+++=movement."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
mockery ^nn+nom+++=mockery
of ^in++++=of
sacred ^jj+atrb+++=sacred
nature ^nn++++=nature!
! ^zz++++=EXTRAWORD
At ^rb++++=At
such ^abl++++=such
a ^at++++=a
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
no ^at++++=no
structure ^nn++++=structure
would ^md+prd+++=would
stand ^vb++++=stand
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
laughter ^nn+nom+++=laughter
of ^in++++=of
the ^ati++++=the
apes ^nns+++??+=apes.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
way ^nn++++=way
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
or ^cc++++=or
left ^nn+++xvbn+=left
or ^cc++++=or
anywhere ^rb++++=anywhere
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
no ^at++++=no
other ^ap++++=other
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
the ^ati++++=the
way ^nn++++=way
out ^rp+pl+++=out
should ^md+nec+++=should
also ^rb++++=also
be ^vb+be+vrb++=be
only ^rb+down+++=only
an ^at++++=an
illusion ^nn++++=illusion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
demand ^nn++++=demand
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small;
; ^zz++++=EXTRAWORD
the ^ati++++=the
disappointment ^nn+nom+++=disappointment
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
any ^dti++++=any
greater ^jjr++++=greater
to ^to++++=to
move ^vbi++++=move
on ^in++++=on
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
to ^to++++=to
move ^vbi++++=move
on ^in++++=on
further ^jjb++++=further!
! ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
not ^xnot++not++=not
to ^to++++=to
stand ^vbi++++=stand
still ^jj+pred+++=still
with ^in++++=with
arms ^nns++++=arms
raised ^vbd+++xvbn+=raised,
, ^zz++++=EXTRAWORD
pressed ^j+++xvbn+=pressed
again ^rb+tm+++=again
a ^at++++=a
crate ^nn++++=crate
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
clearly ^rb++++=clearly
that ^cs+sub+++=that
without ^in++++=without
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
inner ^jjb+atrb+++=inner
calm ^nn++++=calm
I ^pp1a+pp1+++=I
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
get ^vb++++=get
out ^rb+phrv+++=out.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
probably ^rb++++=probably
owe ^vb++++=owe
everything ^pn++++=everything
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
to ^in++++=to
the ^ati++++=the
calmness ^nns+nom+++=calmness
which ^whp+rel+subj++=which
came ^vbd+++xvbn+=came
over ^rp++++=over
me ^pp1o+pp1+++=me
after ^in++++=after
the ^ati++++=the
first ^od++++=first
days ^nns++++=days
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
owe ^vb++++=owe
that ^dt+dem+++=that
calmness ^nns+nom+++=calmness
to ^in++++=to
the ^ati++++=the
people ^nns++++=people
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
good ^jj+atrb+++=good
people ^nns++++=people,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
I ^pp1a+pp1+++=I
still ^rb++++=still
enjoy ^vb++++=enjoy
remembering ^vbg+vprv++xvbg+=remembering
the ^ati++++=the
clang ^nn++++=clang
of ^in++++=of
their ^pp$+pp3+++=their
heavy ^jj+atrb+++=heavy
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
used ^md"++pmd"++=used
to ^to++++=to
echo ^vb++++=echo
then ^rn+tm+++=then
in ^in++++=in
my ^pp$+pp1+++=my
half ^abn++++=half
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
tackling ^xvbg+++xvbg+=tackling
everything ^pn++++=everything
extremely ^rb+amp+++=extremely
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
rub ^vbi++++=rub
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
hand ^nn++++=hand
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
hanging ^jj+atrb++xvbg+=hanging
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
jokes ^nns++++=jokes
were ^vbd+bed+vrb++=were
gross ^jj+pred+++=gross
but ^cc+phrs+++=but
hearty ^jj++++=hearty.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
