So ^ql++++=So
tould ^nn+++??+=tould
' ^zz++++='em;
em ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
by ^in++++=by
this ^dt+pdem+++=this
and ^cc++++0=an'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
wint ^vbd+++xvbnx+=wint
through ^in++++=through
the ^ati++++=the
jungle ^nn++++=jungle
like ^in++++=like
buck ^nn++++=buck-rabbits.
- ^zz++++=EXTRAWORD
rabbits ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
About ^in++++=About
midnight ^nn++++=midnight
we ^pp1a+pp1+++=we
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
shtrame ^nn+++??+=shtrame
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
clane ^nn+++??+=clane
forgot ^vbd+vprv++xvbn+=forgot
to ^to+vcmp+++=to
minshin ^vb+++??+=minshin
to ^in++++=to
my ^pp$+pp1+++=my
orficer ^jjr++++=orficer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
four ^cd++++=four
bhoys ^nns++++=bhoys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
the ^ati++++=the
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
might ^md+pos+++=might
want ^vb++++=want
to ^to+vcmp+++=to
theourise ^vbi++++=theourise.
. ^zz++++=EXTRAWORD
' ^zz++++='Shtrip
shtrip ^nn+++??+=EXTRAWORD
boys ^nns++++=boys!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Shtrip
shtrip ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
buff ^nn++++=buff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
shwim ^nn+++??+=shwim
in ^in++++=in
where ^wrb+who+++=where
glory ^nn++++=glory
waits! ^nn+++??+=waits!'--'But
'--'but ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
_ca ^vb+++??+=_can't_
n't_ ^vbd+++xvbn+0=EXTRAWORD
shwim ^nn+++??+=shwim!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
two ^cd++++=two
av ^nn++++=av
thim ^nn+++??+=thim.
. ^zz++++=EXTRAWORD
' ^zz++++='To
to ^to++++=EXTRAWORD
think ^vbi+vprv+tht0++=think
I ^pp1a+pp1+++=I
should ^md+nec+++=should
live ^vb++++=live
to ^to++++=to
hear ^vbi+vprv+++=hear
that ^tht+vcmp+++=that
from ^in++++=from
a ^at++++=a
bhoy ^nn+++??+=bhoy
wid ^in++++=wid
a ^at++++=a
board ^nn++++=board-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
edukashin ^nn+++??+=edukashin!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Take
take ^vb++++=EXTRAWORD
a ^at++++=a
lump ^nn++++=lump
av ^nn++++=av
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
me ^pp1o+pp1+++=me
and ^cc++++0=an'
Conolly ^np+++??+=Conolly
here ^rn+pl+++=here
will ^md+prd+++=will
ferry ^vb++++=ferry
ye ^pp2+pp2+++=ye
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
young ^jj+atrb+++=young
ladies ^nns++++=ladies!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbn+=got
an ^at++++=an
ould ^np++++=ould
tree ^nn++++=tree-trunk,
- ^zz++++=EXTRAWORD
trunk ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
pushed ^vpsv++agls+xvbn+=pushed
off ^in+pl+++=off
wid ^in++++=wid
the ^ati++++=the
kits ^nns+++??+=kits
and ^cc++++0=an'
the ^ati++++=the
rifles ^nns++++=rifles
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
was ^vbd+bedz+vrb++=was
chokin ^nn+++??+=chokin'
' ^zz++++=EXTRAWORD
dhark ^nn+++??+=dhark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
just ^rb+emph+++=just
as ^ql++++=as
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
fairly ^rb++splt++=fairly
embarked ^vpsv++agls+xvbnx+=embarked,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
the ^ati++++=the
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
behind ^in+pl+++=behind
av ^nn++++=av
me ^pp1o+pp1+++=me
callin ^nn+++??+=callin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
' ^zz++++='There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
av ^nn++++=av
a ^at++++=a
_nullah_ ^nn+++??+=_nullah_
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
sorr ^nn+++??+=sorr,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
feel ^vb+vprv+++=feel
the ^ati++++=the
bottom ^jjb++++=bottom
already ^rb++++=already.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
cud ^nn++++=cud,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
yard ^nn++++=yard
from ^in++++=from
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
" ^zz++++="'Bit
' ^zz++++=EXTRAWORD
bit ^nn++++=EXTRAWORD
av ^nn++++=av
a ^at++++=a
_nullah!_ ^nn+++??+=_nullah!_
Bit ^nn++++=Bit
av ^nn++++=av
an ^at++++=an
eshtuary ^nn+nom+++=eshtuary!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
the ^ati++++=the
Lift ^nn++++=Lift'nint.
'nint. ^nn+++??+=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
mad ^jj+atrb+++=mad
Irishman ^nn+nom+++=Irishman!
! ^zz++++=EXTRAWORD
Shtrip ^np+++??+=Shtrip
bhoys ^nns++++=bhoys!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
laugh ^nn++++=laugh;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
bhoys ^nns++++=bhoys
begun ^vbd+++xvbn+=begun
shtrippin ^nn+++??+=shtrippin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
rollin ^nn+++??+=rollin'
' ^zz++++=EXTRAWORD
a ^at++++=a
log ^&fo++++=log
into ^in++++=into
the ^ati++++=the
wather ^jjr++++=wather
to ^to++++=to
put ^vbi++++=put
their ^pp$+pp3+++=their
kits ^nns+++??+=kits
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
So ^ql++++=So
me ^pp1o+pp1+++=me
and ^cc++++0=an'
Conolly ^np+++??+=Conolly
shtruck ^nn+++??+=shtruck
out ^rp+pl+++=out
through ^in++++=through
the ^ati++++=the
warm ^jj++++=warm
wather ^jjr++++=wather
wid ^in++++=wid
our ^pp$+pp1+++=our
log ^&fo++++=log,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
rest ^nn++++=rest
come ^vprf+++xvbn+=come
on ^in++++=on
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
shtrame ^nn+++??+=shtrame
was ^vbd+bedz+vrb++=was
miles ^nns++++=miles
woide ^nn+++??+=woide!
! ^zz++++=EXTRAWORD
Orth ^np+++??+=Orth'ris,
'ris, ^nn+++??+=EXTRAWORD
on ^in++++=on
the ^ati++++=the
rear ^nn++++=rear-rank
- ^zz++++=EXTRAWORD
rank ^nn++++=EXTRAWORD
log ^&fo++++=log,
, ^zz++++=EXTRAWORD
whispers ^nns+nom+++=whispers
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
into ^in+ppvb+++=into
the ^ati++++=the
Thames ^np++++=Thames
below ^in+pl+++=below
Sheerness ^nns+nom++??+=Sheerness
by ^in++++=by
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
' ^zz++++='Kape
kape ^nn+++??+=EXTRAWORD
on ^in++++=on
shwimmin ^nn+++??+=shwimmin',
', ^nn+++??+=EXTRAWORD
ye ^pp2+pp2+++=ye
little ^ap++++=little
blayguard ^nn+++??+=blayguard,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
pokin ^nn+++??+=pokin'
' ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
dirty ^jj+atrb+++=dirty
jokes ^nns++++=jokes
at ^in++++=at
the ^ati++++=the
Irriwaddy, ^np+++??+=Irriwaddy,'--'Silince,
'--'silince, ^nn+++??+=EXTRAWORD
men ^nns++++=men!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sings ^vbz++++=sings
out ^rp+pl+++=out
the ^ati++++=the
Lift ^nn++++=Lift'nint.
'nint. ^nn+++??+=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
shwum ^nn+++??+=shwum
on ^in++++=on
into ^in++++=into
the ^ati++++=the
black ^jj+atrb+++=black
dhark ^nn+++??+=dhark,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
our ^pp$+pp1+++=our
chests ^nns++++=chests
on ^in++++=on
the ^ati++++=the
logs ^nns++++=logs,
, ^zz++++=EXTRAWORD
trustin ^nn+++??+=trustin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Saints ^nns++++=Saints
and ^cc++++0=an'
the ^ati++++=the
luck ^nn++++=luck
av ^nn++++=av
the ^ati++++=the
British ^jj+atrb+++=British
Army ^nn++++=Army.
. ^zz++++=EXTRAWORD
" ^zz++++="Evenshually,
evenshually ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hit ^vbd+++xvbn+=hit
ground ^nn++++=ground--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
bit ^nn++++=bit
av ^nn++++=av
sand ^nn++++=sand--an'
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++0=EXTRAWORD
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
my ^pp$+pp1+++=my
heel ^nn++++=heel
on ^in++++=on
the ^ati++++=the
back ^jjb+atrb+++=back
av ^nn++++=av
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
skreeched ^vbd+++xvbnx+=skreeched
and ^cc+phrs+++0=an'
ran ^vbd+++xvbn+=ran.
. ^zz++++=EXTRAWORD
" ^zz++++="'_Now_
' ^zz++++=EXTRAWORD
_now_ ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
it ^pp3+it+++=it!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
Lift ^nn++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
Brazenose ^np+++??+=Brazenose.
. ^zz++++=EXTRAWORD
' ^zz++++='Where
where ^wrb+who+++=EXTRAWORD
the ^ati++++=the
Divil ^np+++??+=Divil
_is_ ^nn+++??+=_is_
Lungtungpen ^np+++??+=Lungtungpen?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
minute ^nn++++=minute
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
to ^to++++=to
wait ^vbi++++=wait.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bhoys ^nns++++=bhoys
laid ^vbd+++xvbn+=laid
a ^at++++=a
hould ^nn+++??+=hould
av ^nn++++=av
their ^pp$+pp3+++=their
rifles ^nns++++=rifles
and ^cc++++0=an'
some ^dti++++=some
thried ^jj+++xvbn+=thried
to ^to++++=to
put ^vbi++++=put
their ^pp$+pp3+++=their
belts ^nns++++=belts
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
marchin ^nn+++??+=marchin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
fixed ^xvbn+++xvbn+=fixed
baynits ^nns+++??+=baynits
av ^nn++++=av
coorse ^nn+++??+=coorse.
. ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
where ^wrb+who+whcl++=where
Lungtungpen ^np+++??+=Lungtungpen
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
hit ^vprf+++xvbnx+=hit
the ^ati++++=the
river ^nn++++=river-wall
- ^zz++++=EXTRAWORD
wall ^nn++++=EXTRAWORD
av ^nn++++=av
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
dhark ^nn+++??+=dhark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
whole ^jj+atrb+++=whole
town ^nn++++=town
blazed ^vbd+++xvbn+=blazed
wid ^in++++=wid
thim ^nn+++??+=thim
messin ^nn+++??+=messin'
' ^zz++++=EXTRAWORD
_jingles_ ^nn+++??+=_jingles_
and ^cc++++0=an'
Sniders ^nns+nom++??+=Sniders
like ^in++++=like
a ^at++++=a
cat ^nn++++=cat's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back
on ^in++++=on
a ^at++++=a
frosty ^nn+++??+=frosty
night ^nn++++=night.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+vrb++=was
firin ^nn+++??+=firin'
' ^zz++++=EXTRAWORD
all ^abn++++=all
ways ^nns++++=ways
at ^rb++++=at
wanst ^nn+++??+=wanst,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
over ^in++++=over
our ^pp$+pp1+++=our
hids ^nns+++??+=hids
into ^in++++=into
the ^ati++++=the
shtrame ^nn+++??+=shtrame.
. ^zz++++=EXTRAWORD
" ^zz++++="'Have
' ^zz++++=EXTRAWORD
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
your ^pp$+pp2+++=your
rifles ^nns++++=rifles?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
Brazenose ^np+++??+=Brazenose.
. ^zz++++=EXTRAWORD
' ^zz++++='Got
got ^vbd+++xvbn+=EXTRAWORD
' ^zz++++='em!'
em ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
Orth ^np+++??+=Orth'ris.
'ris. ^nn+++??+=EXTRAWORD
' ^zz++++='I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
that ^dt+dem+++=that
thief ^nn++++=thief
Mulvaney ^np++++=Mulvaney's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
all ^abn++++=all
my ^pp$+pp1+++=my
back ^rp++++=back-pay,
- ^zz++++=EXTRAWORD
pay ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
kick ^vb++++=kick
my ^pp$+pp1+++=my
heart ^nn++++=heart
sick ^jj++++=sick
wid ^in++++=wid
that ^cs+sub+++=that
blunderin ^nn+++??+=blunderin'
' ^zz++++=EXTRAWORD
long ^rb++++=long
shtock ^nn+++??+=shtock
av ^nn++++=av
hers. ^nn+++??+=hers.'--'Go
'--'go ^nn+++??+=EXTRAWORD
on ^in+strn+++=on!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
yells ^nns+++??+=yells
Brazenose ^np+++??+=Brazenose,
, ^zz++++=EXTRAWORD
whippin ^nn+++??+=whippin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sword ^nn++++=sword
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
on ^in++++=on
and ^cc++++0=an'
take ^vb++++=take
the ^ati++++=the
town ^nn++++=town!
! ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
the ^ati++++=the
Lord ^npt++++=Lord
have ^vb+hv+vrb++=have
mercy ^nn++++=mercy
on ^in++++=on
our ^pp$+pp1+++=our
sowls ^nns+++??+=sowls!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Thin
thin ^jj++++=EXTRAWORD
the ^ati++++=the
bhoys ^nns++++=bhoys
gave ^vbd+++xvbn+=gave
wan ^jj+atrb+++=wan
divastatin ^nn+++??+=divastatin'
' ^zz++++=EXTRAWORD
howl ^nn++++=howl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
pranced ^vpsv++agls+xvbn+=pranced
into ^in++++=into
the ^ati++++=the
dhark ^nn+++??+=dhark,
, ^zz++++=EXTRAWORD
feelin ^nn+++??+=feelin'
' ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
blindin ^nn+++??+=blindin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
stiffin ^nn+++??+=stiffin'
' ^zz++++=EXTRAWORD
like ^in++++=like
Cavalry ^nn++++=Cavalry
Ridin ^np+++??+=Ridin'
' ^zz++++=EXTRAWORD
Masters ^nns+nom+++=Masters
whin ^nn+++??+=whin
the ^ati++++=the
grass ^nn++++=grass
pricked ^vbd+++xvbn+=pricked
their ^pp$+pp3+++=their
bare ^jj+atrb+++=bare
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hammered ^vbd+++xvbnx+=hammered
wid ^in++++=wid
the ^ati++++=the
butt ^nn++++=butt
at ^rb++++=at
some ^dti++++=some
bamboo ^nn+++??+=bamboo-thing
- ^zz++++=EXTRAWORD
thing ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
felt ^vprf+++xvbn+=felt
wake ^vb++++=wake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
rest ^nn++++=rest
come ^vprf+++xvbn+=come
and ^cc+phrs+++0=an'
hammered ^vbd+++xvbn+=hammered
contagious ^jj++++=contagious,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
_jingles_ ^nn+++??+=_jingles_
was ^vbd+bedz+aux++=was
jingling ^nvbg+++xvbg+=jingling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
feroshus ^nns+++??+=feroshus
yells ^nns+++??+=yells
from ^in++++=from
inside ^jjb++++=inside
was ^vbd+bedz+vrb++=was
shplittin ^nn+++??+=shplittin'
' ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
was ^vbd+bedz+aux++=was
too ^ql++++=too
close ^vb++++=close
under ^in++++=under
the ^ati++++=the
wall ^nn++++=wall
for ^in++++=for
thim ^nn+++??+=thim
to ^to++++=to
hurt ^vbi++++=hurt
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="Evenshually,
evenshually ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
ut ^&fw++++=ut
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
bruk ^nn+++??+=bruk;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
six ^cd++++=six-and-twinty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twinty ^nn+++??+=EXTRAWORD
av ^nn++++=av
us ^pp1o+pp1+++=us
tumbled ^vbd+++xvbn+=tumbled,
, ^zz++++=EXTRAWORD
wan ^jj++++=wan
after ^in++++=after
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
naked ^jj++++=naked
as ^ql++++=as
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
borrun ^nn+++??+=borrun,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Lungtungpen ^np+++??+=Lungtungpen.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
_melly_ ^nn+++??+=_melly_
av ^nn++++=av
a ^at++++=a
sumpshus ^nns+++??+=sumpshus
kind ^nn++++=kind
for ^in++++=for
a ^at++++=a
whoile ^nn+++??+=whoile;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
tuk ^nn+++??+=tuk
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
all ^abn++++=all
white ^jj++++=white
and ^cc++++0=an'
wet ^nn++++=wet,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
new ^jj+atrb+++=new
breed ^nn++++=breed
av ^nn++++=av
divil ^nn+++??+=divil,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
new ^jj+atrb+++=new
kind ^nn++++=kind
av ^nn++++=av
dacoit ^nn+++??+=dacoit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
ran ^vbd+++xvbnx+=ran
as ^cs+sub+++=as
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
both ^abx++++=both,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we
wint ^vbd+++xvbn+=wint
into ^in++++=into
thim ^nn+++??+=thim,
, ^zz++++=EXTRAWORD
baynit ^nn+++??+=baynit
and ^cc++++0=an'
butt ^nn++++=butt,
, ^zz++++=EXTRAWORD
shriekin ^nn+++??+=shriekin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
laughin ^nn+++??+=laughin'.
'. ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
torches ^nns++++=torches
in ^in++++=in
the ^ati++++=the
shtreets ^nns+++??+=shtreets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
little ^jj+atrb+++=little
Orth ^np+++??+=Orth'ris
'ris ^nns+++??+0=EXTRAWORD
rubbin ^nn+++??+=rubbin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
showlther ^jjr+atrb+++=showlther
ivry ^nn++++=ivry
time ^nn++++=time
he ^pp3a+pp3+++=he
loosed ^vbd+++xvbnx+=loosed
my ^pp$+pp1+++=my
long ^jj++++=long-shtock
- ^zz++++=EXTRAWORD
shtock ^nn+++??+=EXTRAWORD
Martini ^np+++??+=Martini;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Brazenose ^np+++??+=Brazenose
walkin ^nn+++??+=walkin'
' ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
gang ^nn++++=gang
wid ^in++++=wid
his ^pp$+pp3+++=his
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
like ^in++++=like
Diarmid ^np+++??+=Diarmid
av ^nn++++=av
the ^ati++++=the
Gowlden ^np+++??+=Gowlden
Collar ^nn++++=Collar--barring
-- ^--+clp+++=EXTRAWORD
barring ^vbg+++xvbg+=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
stitch ^nn++++=stitch
av ^nn++++=av
clothin ^nn+++??+=clothin'
' ^zz++++=EXTRAWORD
on ^in++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
diskivered ^vbd+++xvbn+=diskivered
elephints ^nns+++??+=elephints
wid ^in++++=wid
dacoits ^nns+++??+=dacoits
under ^in++++=under
their ^pp$+pp3+++=their
bellies ^nns++++=bellies,
, ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
what ^wdt+who+++=what
wid ^in++++=wid
wan ^jj+atrb+++=wan
thing ^nn++++=thing
and ^cc++++0=an'
another ^dt++++=another,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
busy ^jj+pred+++=busy
till ^in++++=till
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
possession ^nn++++=possession
av ^nn++++=av
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Lungtungpen ^np+++??+=Lungtungpen.
. ^zz++++=EXTRAWORD
" ^zz++++="Thin
thin ^jj++++=EXTRAWORD
we ^pp1a+pp1+++=we
halted ^vbd+++xvbn+=halted
and ^cc+phrs+++0=an'
formed ^vbd+++xvbn+=formed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wimmen ^jj+atrb++xvbn+=wimmen
howlin ^nn+++??+=howlin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
houses ^nns++++=houses
and ^cc++++0=an'
Lift ^vb++++=Lift'nint
'nint ^vbd+++xvbn+0=EXTRAWORD
Brazenose ^np+++??+=Brazenose
blushin ^nn+++??+=blushin'
' ^zz++++=EXTRAWORD
pink ^jj++++=pink
in ^in++++=in
the ^ati++++=the
light ^nn++++=light
av ^nn++++=av
