Poor ^jj+atrb+++=POOR
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
gainsay ^vb++++=gainsay
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
ever ^rb++++=ever
eat ^vb++++=eat
of ^in++++=of
a ^at++++=a
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Pudding ^nn++++=Pudding'?"
'?" ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
so ^ql++++=so
much ^ap++++=much
as ^in++++=as
heard ^nn++++=heard
of ^in++++=of
it ^pp3+it+++=it
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indeed!
indeed ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
eat ^vb++++=eat
of ^in++++=of
one ^pn++++=one;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
eat ^vb++++=eat
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
unprompted ^j+++xvbn+=unprompted,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
eat ^vb++++=eat
it ^pp3+it+++=it
at ^in++++=at
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man's
's ^$++++=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man's
's ^$++++=EXTRAWORD
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
after ^in++++=after
this ^dt+dem+++=this
eating ^nvbg+++xvbg+=eating,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
a ^at++++=a
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Pudding ^nn++++=Pudding'
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
as ^ql++++=as
relishable ^jj++++=relishable
as ^in++++=as
a ^at++++=a
rich ^jj+atrb+++=rich
man ^nn++++=man's,
's, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
up ^rb+phrv+++=up
the ^ati++++=the
point ^nn++++=point
altogether ^nn+nom+++=altogether
; ^zz++++=;
which ^whp+who+++=which
briefly ^rb++++=briefly
is ^vbz+bez+vrb++=is
: ^zz++++=:
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
through ^in++++=through
kind ^nn++++=kind
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
very ^ap+amp+++=very
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
extract ^nn++++=extract
comfort ^nn++++=comfort."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
to ^to++++=to
narrate ^nn+nom+++=narrate
any ^dti++++=any
more ^rbr++++=more
of ^in++++=of
our ^pp$+pp1+++=our
conversations ^nns+nom+++=conversations
upon ^in++++=upon
this ^dt+dem+++=this
subject ^nn++++=subject
( ^zz++++=(for
for ^in++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
several ^ap++++=several
I ^pp1a+pp1+++=I
being ^vbg+beg++xvbg+=being
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
guest ^nn++++=guest
of ^in++++=of
Blandmour ^np+++??+=Blandmour
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
my ^pp$+pp1+++=my
health ^nn++++=health),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suffice ^vb++++=suffice
it ^pp3+it+++=it
that ^dt+dem+++=that
acting ^vbg+++xvbg+=acting
upon ^in++++=upon
Blandmour ^np++++=Blandmour's
's ^$++++=EXTRAWORD
hint ^nn++++=hint,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
introduced ^vbd+++xvbnx+=introduced
myself ^ppl+pp1+++=myself
into ^in++++=into
Coulter ^np++++=Coulter's
's ^$++++=EXTRAWORD
house ^npl++++=house
on ^in++++=on
a ^at++++=a
wet ^jj+atrb+++=wet
Monday ^nr++++=Monday
noon ^nn++++=noon
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
had ^vbd+hvd+aux++=had
thawed ^vprf+++xvbnx+=thawed)
) ^zz++++=EXTRAWORD
, ^zz++++=,
under ^in++++=under
the ^ati++++=the
innocent ^jj+atrb+++=innocent
pretense ^nn+++??+=pretense
of ^in++++=of
craving ^nn++++=craving
a ^at++++=a
pedestrian ^nn++++=pedestrian's
's ^$++++=EXTRAWORD
rest ^nn++++=rest
and ^cc++++=and
refreshment ^nn+nom+++=refreshment
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour
or ^cc++++=or
two ^cd++++=two.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
greeted ^vpsv++agls+xvbnx+=greeted,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
without ^in++++=without
much ^ap++++=much
embarrassment ^nn+nom+++=embarrassment
owing ^in+strn+++=owing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
dress ^nn++++=dress
but ^cc++++=but
still ^rb++++=still
with ^in++++=with
unaffected ^jj+atrb+++=unaffected
and ^cc+phrs+++=and
honest ^jj+atrb+++=honest
kindness ^nns+nom+++=kindness.
. ^zz++++=EXTRAWORD
Dame ^np++++=Dame
Coulter ^np+++??+=Coulter
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
leaving ^vbg+++xvbgx+=leaving
the ^ati++++=the
wash ^vb++++=wash-tub
- ^zz++++=EXTRAWORD
tub ^nn++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
ready ^jj++++=ready
her ^pp$+pp3+++=her
one ^cd1++++=one
o'clock ^rb++++=o'clock
meal ^nn++++=meal
against ^in++++=against
her ^pp$+pp3+++=her
good ^jj+atrb+++=good
man ^nn++++=man's
's ^$++++=EXTRAWORD
return ^nn++++=return
from ^in++++=from
a ^at++++=a
deep ^jj+atrb+++=deep
wood ^nn++++=wood
about ^in++++=about
a ^at++++=a
mile ^nn++++=mile
distant ^jj++++=distant
among ^in++++=among
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
chopping ^vbg+++xvbgx+=chopping
by ^in++++=by
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work
seventy ^cd++++=seventy-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
cents ^nns++++=cents
per ^nnu++++=per
day ^nn++++=day
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
washing ^xvbg+++xvbg+=washing
being ^xvbg+++xvbg+=being
done ^vpsv++agls+xvbn+=done
outside ^jjb++++=outside
the ^ati++++=the
main ^jjb+atrb+++=main
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
under ^in++++=under
an ^at++++=an
infirm ^jj++++=infirm-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
old ^jj++++=old
shed ^jj+++xvbn+=shed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dame ^np++++=dame
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
a ^at++++=a
half ^abn++++=half-rotten
- ^zz++++=EXTRAWORD
rotten ^jj+atrb+++=EXTRAWORD
soaked ^jj+atrb++xvbn+=soaked
board ^nn++++=board
to ^to++++=to
protect ^vbi++++=protect
her ^pp$+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
might ^md+pos+++=might
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
penetrating ^jj+atrb++xvbg+=penetrating
damp ^nn++++=damp
of ^in++++=of
the ^ati++++=the
bare ^jj+atrb+++=bare
ground ^nn++++=ground
; ^zz++++=;
hence ^rb+cnj+++=hence
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
pale ^nn++++=pale
and ^cc++++=and
chill ^nn++++=chill.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
her ^pp$+pp3+++=her
paleness ^nns+nom+++=paleness
had ^vb+hv+vrb++=had
still ^rb++++=still
another ^dt++++=another
and ^cc++++=and
more ^rbr++++=more
secret ^jj+atrb+++=secret
cause ^nn++++=cause
the ^ati++++=the
paleness ^nns+nom+++=paleness
of ^in++++=of
a ^at++++=a
mother ^nn++++=mother
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
A ^at++++=A
quiet ^jj+atrb+++=quiet,
, ^zz++++=EXTRAWORD
fathomless ^jj+atrb+++=fathomless
heart ^nn++++=heart-trouble,
- ^zz++++=EXTRAWORD
trouble ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
couched ^j+++xvbn+=couched
beneath ^in+pl+++=beneath
the ^ati++++=the
mild ^jj++++=mild,
, ^zz++++=EXTRAWORD
resigned ^j+++xvbn+=resigned
blue ^jj++++=blue
of ^in++++=of
her ^pp$+pp3+++=her
soft ^jj++++=soft
and ^cc++++=and
wife ^nn++++=wife-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
apologizing ^jj+++xvbg+=apologizing
for ^in++++=for
the ^ati++++=the
unavoidable ^jj+atrb+++=unavoidable
disorder ^nn+nom+++=disorder
of ^in++++=of
a ^at++++=a
Monday ^nr++++=Monday
and ^cc++++=and
a ^at++++=a
washing ^jj+++xvbg+=washing-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
conducting ^nvbg+++xvbg+=conducting
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
me ^pp1o+pp1+++=me
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
seat ^nn++++=seat
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
an ^at++++=an
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
chair ^nn++++=chair
of ^in++++=of
an ^at++++=an
enfeebled ^jj+atrb++xvbn+=enfeebled
constitution ^nn+nom+++=constitution.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thanked ^vbd+++xvbnx+=thanked
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
rubbing ^nvbg+++xvbg+=rubbing
my ^pp$+pp1+++=my
hands ^nns++++=hands
before ^in++++=before
the ^ati++++=the
ineffectual ^jj+atrb+++=ineffectual
low ^jj+atrb+++=low
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unobservantly ^jj++++=unobservantly
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
glancing ^vbg+++xvbg+=glancing
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
about ^in++++=about
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
throwing ^vbg+++xvbg+=throwing
on ^rb+phrv+++=on
more ^ql++++=more
sticks ^nns++++=sticks
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
no ^at++++=no
warmer ^nn++++=warmer.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
more ^ql++++=more
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
too ^ql++++=too
not ^xnot++not++=not
repiningly ^rb+cnj+++=repiningly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
of ^in++++=of
the ^ati++++=the
fuel ^nn++++=fuel,
, ^zz++++=EXTRAWORD
as ^ql++++=as
old ^jj++++=old
and ^cc++++=and
damp ^nn++++=damp;
; ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
sticks ^nns++++=sticks
in ^in++++=in
Squire ^nn++++=Squire
Teamster ^np+nom+++=Teamster's
's ^$++++=EXTRAWORD
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
her ^pp$+pp3+++=her
husband ^nn++++=husband
was ^vbd+bedz+aux++=was
chopping ^vbg+++xvbgx+=chopping
the ^ati++++=the
sappy ^nn+++??+=sappy
logs ^nns++++=logs
of ^in++++=of
the ^ati++++=the
living ^jj+atrb++xvbg+=living
tree ^nn++++=tree
for ^in++++=for
the ^ati++++=the
Squire ^np++++=Squire's
's ^$++++=EXTRAWORD
fires ^nns++++=fires.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
needed ^vbd+++xvbn+=needed
not ^xnot++not++=not
her ^pp$+pp3+++=her
remark ^nn++++=remark,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
to ^to++++=to
convince ^vbi++++=convince
me ^pp1o+pp1+++=me
of ^in++++=of
the ^ati++++=the
inferior ^jj+atrb+++=inferior
quality ^nn+nom+++=quality
of ^in++++=of
the ^ati++++=the
sticks ^nns++++=sticks;
; ^zz++++=EXTRAWORD
some ^dti++++=some
being ^jj+++xvbg+=being
quite ^rb++++=quite
mossy ^jj++++=mossy
and ^cc++++=and
toad ^nn+++??+=toad-stooled
- ^zz++++=EXTRAWORD
stooled ^jj+++xvbn+=EXTRAWORD
with ^in++++=with
long ^rb++++=long
lying ^vbg+++xvbg+=lying
bedded ^jj+++xvbn+=bedded
among ^in++++=among
the ^ati++++=the
accumulated ^jj+atrb++xvbn+=accumulated
dead ^jj+atrb+++=dead
leaves ^nns++++=leaves
of ^in++++=of
many ^ap++++=many
autumns ^nns++++=autumns.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
a ^at++++=a
sad ^jj+atrb+++=sad
hissing ^nn++++=hissing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vain ^jj++++=vain
spluttering ^jj+++xvbg+=spluttering
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
rest ^vb++++=rest
yourself ^ppl+pp2+++=yourself
here ^rn+pl+++=here
till ^cs+sub+++=till
dinnertime ^nn+++??+=dinnertime,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
dame ^np++++=dame;
; ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
heartily ^rb++++=heartily
welcome ^jj+pred+++=welcome
to ^to+jcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thanked ^vbd+++xvbnx+=thanked
her ^pp$+pp3+++=her
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begged ^vbd+++xvbn+=begged
her ^pp$+pp3+++=her
not ^xnot++not++=not
to ^in++++=to
heed ^nn++++=heed
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
go ^vb++++=go
on ^in++++=on
with ^in++++=with
her ^pp$+pp3+++=her
usual ^jj+atrb+++=usual
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
struck ^vpsv++by+xvbnx+=struck
by ^in++++=by
the ^ati++++=the
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
constitutionally ^rb++++=constitutionally
damp ^jj++++=damp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
window ^nn++++=window-sills
- ^zz++++=EXTRAWORD
sills ^nns++++=EXTRAWORD
had ^vb+hv+vrb++=had
beads ^nns++++=beads
of ^in++++=of
exuded ^vbd+++xvbn+=exuded
dampness ^nns+nom+++=dampness
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shriveled ^jj+atrb++xvbn+=shriveled
sashes ^nns+++??+=sashes
shook ^vbd+++xvbn+=shook
in ^in++++=in
their ^pp$+pp3+++=their
frames ^nns++++=frames,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
green ^jj+atrb+++=green
panes ^nns++++=panes
of ^in++++=of
glass ^nn++++=glass
were ^vbd+bed+aux++=were
clouded ^vpsv++agls+xvbnx+=clouded
with ^in++++=with
the ^ati++++=the
long ^rb++++=long
thaw ^vb++++=thaw.
. ^zz++++=EXTRAWORD
On ^in++++=On
some ^dti++++=some
little ^jj+atrb+++=little
errand ^nn++++=errand
the ^ati++++=the
dame ^np++++=dame
passed ^vbd+++xvbn+=passed
into ^in++++=into
an ^at++++=an
adjoining ^jj+atrb++xvbg+=adjoining
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
door ^nn++++=door
partly ^rb+down+++=partly
open ^jj++++=open.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
of ^in++++=of
that ^dt+dem+++=that
room ^nn++++=room
was ^vbd+bedz+vrb++=was
carpetless ^jj+pred+++=carpetless,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
kitchen ^nn++++=kitchen's
's ^$++++=EXTRAWORD
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
but ^cc++++=but
bare ^jj+atrb+++=bare
necessaries ^nns++++=necessaries
were ^vbd+bed+vrb++=were
about ^rb++++=about
me ^pp1o+pp1+++=me
; ^zz++++=;
and ^cc+cls+++=and
those ^dt+dem+++=those
not ^xnot++not++=not
of ^in++++=of
the ^ati++++=the
best ^jjt+atrb+++=best
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
print ^nn++++=print
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
but ^cc++++=but
an ^at++++=an
old ^jj+atrb+++=old
volume ^nn++++=volume
of ^in++++=of
Doddridge ^np+++??+=Doddridge
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
the ^ati++++=the
smoked ^jj+atrb++xvbn+=smoked
chimney ^nn++++=chimney-shelf.
- ^zz++++=EXTRAWORD
shelf ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
walked ^vprf+++xvbnx+=walked
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
sigh ^nn++++=sigh
so ^ql++++=so
with ^in++++=with
weariness ^nns+nom+++=weariness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
nigh ^rb++++=nigh
so ^rb+emph+++=so
weary ^jj++++=weary
as ^ql++++=as
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dare ^vb++++=dare
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^in++++=to
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
her ^pp$+pp3+++=her
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
sad ^jj+atrb+++=sad
blue ^nn++++=blue
eye ^nn++++=eye
ran ^vbd+++xvbn+=ran
over ^rb+phrv+++=over
my ^pp$+pp1+++=my
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
sweep ^vb++++=sweep
these ^dt+dem+++=these
shavings ^nns++++=shavings
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
husband ^nn++++=husband
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
a ^at++++=a
new ^jj+atrb+++=new
ax ^nn+++??+=ax-helve
- ^zz++++=EXTRAWORD
helve ^nn+++??+=EXTRAWORD
this ^dt+dem+++=this
morning ^nn++++=morning
before ^in++++=before
sunrise ^nn++++=sunrise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
busy ^jj+atrb+++=busy
washing ^nvbg+++xvbg+=washing,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
no ^at++++=no
time ^nn++++=time
to ^in++++=to
clear ^jj++++=clear
up ^rp++++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
just ^rb+emph+++=just
the ^ati++++=the
thing ^nn++++=thing
I ^pp1a+pp1+++=I
want ^vb++++=want
for ^in++++=for
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
much ^ap++++=much
better ^jjr++++=better
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
not ^xnot++not++=not
so ^ql++++=so
green ^np++++=green."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now
if ^cs+cnd+++=if
Blandmour ^np+++??+=Blandmour
were ^vbd+bed+vrb++=were
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
I ^pp1a+pp1+++=I
to ^in++++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call
those ^dt+dem+++=those
green ^jj+atrb+++=green
shavings ^nns++++=shavings
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Matches ^vbz++++=Matches,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Tinder ^nn++++=Tinder,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
some ^dti++++=some
pleasant ^jj+atrb+++=pleasant
name ^nn++++=name
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
round ^in++++=round
to ^in++++=to
me ^pp1o+pp1+++=me
again ^rb+tm+++=again
as ^ql++++=as
she ^pp3a+pp3+++=she
stirred ^vbd+++xvbnx+=stirred
among ^in++++=among
her ^pp$+pp3+++=her
pots ^nns++++=pots
on ^in++++=on
the ^ati++++=the
smoky ^jj+atrb+++=smoky
fire ^nn++++=fire
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
