Of ^in++++=Of
, ^zz++++=EXTRAWORD
" ^zz++++="but,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
merely ^rb+down+++=merely
mad ^jj+pred+++=mad.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
pay ^nn++++=pay
too ^ql++++=too
much ^ap++++=much
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
commercial ^jj+atrb+++=commercial
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
some ^dti++++=some
dealer ^nn++++=dealer
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
bid ^nn++++=bid
for ^in++++=for
that ^dt+dem+++=that
hyaena ^nn+++??+=hyaena
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
for ^in++++=for
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
sketches ^nns++++=sketches,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
know ^vb+vprv+++=know
better ^jjr++++=better
how ^wrb+who+++=how
to ^to++++=to
place ^vbi++++=place
the ^ati++++=the
man ^nn++++=man
and ^cc++++=and
his ^pp$+pp3+++=his
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
may ^md+pos+++=may
all ^abn++++=all
be ^vb+be+aux++=be
cursing ^vbg+++xvbgx+=cursing
ourselves ^ppls+pp1+++=ourselves
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
days ^nns++++=days,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones,
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
not ^xnot++not++=not
having ^xvbg+++xvbg+=having
bought ^vprf+++xvbn+=bought
up ^rp++++=up
his ^pp$+pp3+++=his
entire ^jjb+atrb+++=entire
portfolio ^nn++++=portfolio
of ^in++++=of
sketches ^nns++++=sketches.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
so ^ql++++=so
much ^ap++++=much
real ^jj+atrb+++=real
talent ^nn++++=talent
going ^vwbg+++xvbg+=going
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
does ^vbz+doz+aux++=does
not ^xnot++not++=not
feel ^vb+vprv+++=feel
like ^in++++=like
planking ^nn++++=planking
down ^in++++=down
ten ^cd++++=ten
shillings ^nns+nom+++=shillings
for ^in++++=for
what ^wdt+who+++=what
looks ^nns++++=looks
like ^in++++=like
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
whimsical ^jj+atrb+++=whimsical
oddity ^nn++++=oddity.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^dt+dem+++=that
picture ^nn++++=picture
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
last ^jj+atrb+++=last
week ^nn++++=week,
, ^zz++++=EXTRAWORD
' ^zz++++='Sand-grouse
sand ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
grouse ^nns++++=EXTRAWORD
roosting ^vwbg+++xvbg+=roosting
on ^in++++=on
the ^ati++++=the
Albert ^np++++=Albert
Memorial ^nn++++=Memorial,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
impressive ^jj++++=impressive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in+emph+++=of
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
good ^jj+atrb+++=good
workmanship ^nn+nom+++=workmanship
in ^in++++=in
it ^pp3+it+++=it
and ^cc++++=and
breadth ^nn++++=breadth
of ^in++++=of
treatment ^nn+nom+++=treatment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
least ^ql++++=least
convey ^vb++++=convey
the ^ati++++=the
Albert ^np++++=Albert
Memorial ^nn++++=Memorial
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sir ^npt++++=Sir
James ^np++++=James
Beanquest ^np+++??+=Beanquest
tells ^vbz++++=tells
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
sand ^nn++++=sand-grouse
- ^zz++++=EXTRAWORD
grouse ^nns++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
roost ^nn++++=roost,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
sleep ^nn++++=sleep
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
talent ^nn++++=talent
or ^cc++++=or
genius ^nn++++=genius
the ^ati++++=the
Pomeranian ^jj+atrb+++=Pomeranian
artist ^nn++++=artist
might ^md+pos+++=might
possess ^nns+nom+++=possess,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
certainly ^rb++++=certainly
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
receive ^vbi++++=receive
commercial ^jj+atrb+++=commercial
sanction ^nn+nom+++=sanction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
portfolio ^nn++++=portfolio
remained ^vbd+++xvbn+=remained
bulky ^jj++++=bulky
with ^in++++=with
unsold ^nn+++??+=unsold
sketches ^nns++++=sketches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
" ^zz++++="Euston
euston ^nn+++??+=EXTRAWORD
Siesta ^nn++++=Siesta,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
wits ^nns++++=wits
of ^in++++=of
the ^ati++++=the
Nuremberg ^np++++=Nuremberg
nicknamed ^vbd+++xvbn+=nicknamed
the ^ati++++=the
large ^jj+atrb+++=large
canvas ^nn++++=canvas,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
market ^nn++++=market.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outward ^jjb+atrb+++=outward
and ^cc+phrs+++=and
visible ^jj+atrb+++=visible
signs ^nns++++=signs
of ^in++++=of
financial ^jj+atrb+++=financial
embarrassment ^nn+nom+++=embarrassment
began ^vbd+++xvbn+=began
to ^to++++=to
be ^vbi++vrb++=be
noticeable ^jj+pred+++=noticeable;
; ^zz++++=EXTRAWORD
the ^ati++++=the
half ^abn++++=half-bottle
- ^zz++++=EXTRAWORD
bottle ^nn++++=EXTRAWORD
of ^in++++=of
cheap ^jj+atrb+++=cheap
claret ^nn+++??+=claret
at ^rb++++=at
dinner ^nn++++=dinner-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
way ^nn++++=way
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
glass ^nn++++=glass
of ^in++++=of
lager ^nn++++=lager,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
in ^in++++=in
turn ^nn++++=turn
was ^vbd+bedz+aux++=was
displaced ^vpsv++by+xvbnx+=displaced
by ^in++++=by
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oneand ^nn+++??+=oneand-sixpenny
- ^zz++++=EXTRAWORD
sixpenny ^jjb++++=EXTRAWORD
set ^vbd+++xvbn+=set
dinner ^nn++++=dinner
receded ^vbd+++xvbn+=receded
from ^in++++=from
an ^at++++=an
everyday ^jjb+atrb+++=everyday
event ^nn++++=event
to ^in++++=to
a ^at++++=a
Sunday ^nr++++=Sunday
extravagance ^nn+nom+++=extravagance;
; ^zz++++=EXTRAWORD
on ^in++++=on
ordinary ^jj+atrb+++=ordinary
days ^nns++++=days
the ^ati++++=the
artist ^nn++++=artist
contented ^jj++++=contented
himself ^ppl+pp3+++=himself
with ^in++++=with
a ^at++++=a
sevenpenny ^nn+++??+=sevenpenny
omelette ^nn+nom+++=omelette
and ^cc++++=and
some ^dti++++=some
bread ^nn++++=bread
and ^cc++++=and
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
evenings ^nns++++=evenings
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
put ^vb+++xvbn+=put
in ^rb+phrv+++=in
an ^at++++=an
appearance ^nn+nom+++=appearance
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
rare ^jj+atrb+++=rare
occasions ^nns++++=occasions
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
affairs ^nns++++=affairs
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
talk ^vbi++++=talk
more ^rbr++++=more
about ^in++++=about
Pomerania ^np+++??+=Pomerania
and ^cc++++=and
less ^rbr++++=less
about ^in++++=about
the ^ati++++=the
great ^jj+atrb+++=great
world ^nn++++=world
of ^in++++=of
art ^nn++++=art.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
busy ^jj+atrb+++=busy
time ^nn++++=time
there ^rn+pl+++=there
now ^rn+tm+++=now
with ^in++++=with
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
wistfully ^rb++++=wistfully;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
schwines ^nns+++??+=schwines
are ^vb+ber+aux++=are
driven ^vpsv++agls+xvbnx+=driven
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
fields ^nns++++=fields
after ^in++++=after
harvest ^nn++++=harvest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
be ^vb+be+aux++=be
looked ^vpsv++agls+xvbnx+=looked
after ^in+ppvb+++=after.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
be ^vb+be+aux++=be
helping ^vbg+++xvbgx+=helping
to ^to+vcmp+++=to
look ^vbi++++=look
after ^cs+sub+++=after
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
live ^vbi++++=live;
; ^zz++++=EXTRAWORD
art ^nn++++=art
is ^vbz+bez+aux++=is
not ^xnot++not++=not
appreciate ^nn+nom+++=appreciate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
home ^nr++++=home
on ^in++++=on
a ^at++++=a
visit ^nn++++=visit?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
some ^dti++++=some
one ^cd1++++=one
asked ^vbd+vsua++xvbn+=asked
tactfully ^rb++++=tactfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
cost ^nn++++=cost
money ^nn++++=money!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
the ^ati++++=the
ship ^nn++++=ship
passage ^nn+nom+++=passage
to ^in++++=to
Stolpmunde ^np+++??+=Stolpmunde,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
money ^nn++++=money
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
owe ^vb++++=owe
at ^in++++=at
my ^pp$+pp1+++=my
lodgings ^nns++++=lodgings.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
owe ^vb++++=owe
a ^ap++++=a
few ^ap"++++=few
schillings ^nns+nom+++=schillings.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
could ^md+pos+++=could
sell ^vb++++=sell
some ^dti++++=some
of ^in++++=of
my ^pp$+pp1+++=my
sketches ^nns++++=sketches
" ^zz++++="
" ^zz++++="Perhaps,"
perhaps ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
suggested ^vwbn+vpub++xvbn+=suggested
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones,
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
offer ^vb++++=offer
them ^pp3o+pp3+++=them
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
less ^rbr++++=less,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
us ^pp1o+pp1+++=us
would ^md+prd+++=would
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
buy ^vbi++++=buy
a ^ap++++=a
few ^ap"++++=few.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
shillings ^nns+nom+++=shillings
is ^vbz+bez+vrb++=is
always ^rb++++=always
a ^at++++=a
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
to ^in++++=to
people ^nns++++=people
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
over ^rp++++=over
well ^rb++++=well
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
ask ^vbi++++=ask
six ^cd++++=six
or ^cc++++=or
seven ^cd++++=seven
shillings ^nns+nom+++=shillings
" ^zz++++="
Once ^rb+tm+++=Once
a ^at++++=a
peasant ^nn+nom+++=peasant,
, ^zz++++=EXTRAWORD
always ^rb++++=always
a ^at++++=a
peasant ^nn+nom+++=peasant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mere ^jjb+atrb+++=mere
suggestion ^nn+nom+++=suggestion
of ^in++++=of
a ^at++++=a
bargain ^nn++++=bargain
to ^to++++=to
be ^vbi+vbi+aux++=be
struck ^vpsv++agls+xvbnx+=struck
brought ^vprf+++xvbn+=brought
a ^at++++=a
twinkle ^nn++++=twinkle
of ^in++++=of
awakened ^vprf+++xvbn+=awakened
alertness ^nns+nom+++=alertness
into ^in++++=into
the ^ati++++=the
artist ^nn++++=artist's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardened ^vbd+++xvbn+=hardened
the ^ati++++=the
lines ^nns++++=lines
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Nine
nine ^cd++++=EXTRAWORD
schilling ^nn+nom+++=schilling
nine ^cd++++=nine
pence ^nns++++=pence
each ^dt++++=each,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
snapped ^vbd+++xvbnx+=snapped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
disappointed ^jj+++xvbn+=disappointed
that ^tht+jcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
pursue ^vb++++=pursue
the ^ati++++=the
subject ^nn++++=subject
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
expected ^vprf+++xvbnx+=expected
her ^pp3o+pp3+++=her
to ^to++++=to
offer ^vbi++++=offer
seven ^cd++++=seven
and ^cc++++=and
fourpence ^nns+nom+++=fourpence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weeks ^nns++++=weeks
sped ^vwbn+++xvbn+=sped
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Knopfschrank ^np+++??+=Knopfschrank
came ^vbd+++xvbn+=came
more ^rbr++++=more
rarely ^rb++++=rarely
to ^in++++=to
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
in ^in++++=in
Owl ^np+++??+=Owl
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
meals ^nns++++=meals
on ^in++++=on
those ^dt+dem+++=those
occasions ^nns++++=occasions
became ^vbd+++xvbn+=became
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
meagre ^jj++++=meagre.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
a ^at++++=a
triumphal ^jj+atrb+++=triumphal
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
in ^in++++=in
a ^at++++=a
high ^jj+atrb+++=high
state ^nn++++=state
of ^in++++=of
elation ^nn+nom+++=elation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ordered ^vbd+vsua++xvbn+=ordered
an ^at++++=an
elaborate ^jj+atrb+++=elaborate
meal ^nn++++=meal
that ^tht+rel+subj++=that
scarcely ^rb+down+++=scarcely
stopped ^vbd+++xvbn+=stopped
short ^jj++++=short
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
banquet ^nn++++=banquet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ordinary ^jj+atrb+++=ordinary
resources ^nns++++=resources
of ^in++++=of
the ^ati++++=the
kitchen ^nn++++=kitchen
were ^vbd+bed+aux++=were
supplemented ^vpsv++by+xvbnx+=supplemented
by ^in++++=by
an ^at++++=an
imported ^jj+atrb++xvbn+=imported
dish ^nn++++=dish
of ^in++++=of
smoked ^vbd+++xvbn+=smoked
goosebreast ^nn+++??+=goosebreast,
, ^zz++++=EXTRAWORD
a ^at++++=a
Pomeranian ^jj+atrb+++=Pomeranian
delicacy ^nn+nom+++=delicacy
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
luckily ^rb++++=luckily
procurable ^jj+pred+++=procurable
at ^in++++=at
a ^at++++=a
firm ^nn++++=firm
of ^in++++=of
delikatessen ^jj+atrb++xvbn+=delikatessen
merchants ^nns+nom+++=merchants
in ^in++++=in
Coventry ^np++++=Coventry
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
long ^jj++++=long-necked
- ^zz++++=EXTRAWORD
necked ^jj+atrb++xvbn+=EXTRAWORD
bottle ^nn++++=bottle
of ^in++++=of
Rhine ^np++++=Rhine
wine ^nn++++=wine
gave ^vbd+++xvbn+=gave
a ^at++++=a
finishing ^jj+atrb++xvbg+=finishing
touch ^nn++++=touch
of ^in++++=of
festivity ^nn+nom+++=festivity
and ^cc++++=and
good ^jj+atrb+++=good
cheer ^nn++++=cheer
to ^in++++=to
the ^ati++++=the
crowded ^jj+atrb++xvbn+=crowded
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
evidently ^rb++splt++=evidently
sold ^vprf+++xvbnx+=sold
his ^pp$+pp3+++=his
masterpiece ^nn++++=masterpiece,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Sylvia ^np++++=Sylvia
Strubble ^np+++??+=Strubble
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones,
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
late ^nn++++=late.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
bought ^vprf+++xvbnx+=bought
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+++xvbnx+=whispered
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
said ^vprf+++xvbn+=said
anything ^pn++++=anything
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
some ^dti++++=some
American ^nn+nom+++=American.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
got ^vprf+++xvbnx+=got
a ^rb++++=a
little ^rb"++++=little
American ^jj+atrb+++=American
flag ^nn++++=flag
on ^in++++=on
the ^ati++++=the
dessert ^nn++++=dessert
dish ^nn++++=dish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
put ^vprf+++xvbnx+=put
pennies ^nns++++=pennies
in ^in++++=in
the ^ati++++=the
music ^nn++++=music
box ^nn++++=box
three ^cd++++=three
times ^nns++++=times,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
to ^to++++=to
play ^vbi++++=play
the ^ati++++=the
est ^&fw++++0='Starspangled
Banner ^nn++++=Banner,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
Sousa ^np+++??+=Sousa
march ^nn++++=march,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
est ^&fw++++0='Starspangled
Banner ^nn++++=Banner'
' ^zz++++=EXTRAWORD
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+vrb++=be
an ^at++++=an
American ^jj+atrb+++=American
millionaire ^nn++++=millionaire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
evidently ^rb++++=evidently
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
very ^ql+amp+++=very
big ^jj+atrb+++=big
price ^nn++++=price
for ^in++++=for
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
just ^rb+emph+++=just
beaming ^vbg+++xvbgx+=beaming
and ^cc++++=and
chuckling ^nn+nom+++=chuckling
with ^in++++=with
satisfaction ^nn+nom+++=satisfaction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
ask ^vb++++=ask
him ^pp3o+pp3+++=him
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
bought ^vprf+++xvbnx+=bought
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones.
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Hush!
hush ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
buy ^vb++++=buy
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
sketches ^nns++++=sketches,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
famous ^jj++++=famous;
; ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
doubling ^nvbg+++xvbg+=doubling
the ^ati++++=the
prices ^nns++++=prices.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
glad ^jj++++=glad
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
success ^nns+nom+++=success
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
believed ^vbd+vprv++xvbn+=believed
in ^in++++=in
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
