A ^rb++++=A
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
came ^vbd+++xvbn+=came
that ^cs+sub+++=that
cloud ^nn++++=cloud,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
brow ^nn++++=brow
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
cloud ^nn++++=cloud,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
shadow ^nn++++=shadow
had ^vb+hv+aux++=had
already ^rb++splt++=already
exercised ^vprf+++xvbnx+=exercised
so ^pn+emph+++=so
baleful ^jj++++=baleful
an ^at++++=an
influence ^nn+nom+++=influence?
? ^zz++++=EXTRAWORD
The ^ati++++=The
cause ^nn++++=cause
was ^vbd+bedz+vrb++=was
slight ^jj+pred+++=slight,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
slight ^jj++++=slight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+vrb++=do
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
fair ^jj+atrb+++=fair
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
blame ^vb++++=blame
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
too ^rb++++=too
severely ^rb+cnj+++=severely,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
say ^vb+vpub+tht0++=say
this ^dt+dem+++=this
cause ^nn++++=cause
was ^vbd+bedz+vrb++=was
censurably ^jj++++=censurably
inadequate ^jj++++=inadequate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
touch ^nn++++=touch
of ^in++++=of
a ^at++++=a
feather ^nn++++=feather
will ^md+prd+++=will
hurt ^vbd+++xvbn+=hurt
an ^at++++=an
inflamed ^jj+atrb+++=inflamed
part ^nn++++=part.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
your ^pp$+pp2+++=your
own ^ap++++=own
experience ^nn+nom+++=experience
in ^in++++=in
life ^nn++++=life
affirm ^nn+++??+=affirm
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
the ^ati++++=the
cloud ^nn++++=cloud
was ^vbd+bedz+vrb++=was
on ^in++++=on
your ^pp$+pp2+++=your
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ask ^vb++++=ask
yourself ^ppl+pp2+++=yourself
as ^in++++=as
to ^in++++=to
the ^ati++++=the
adequacy ^nn+nom+++=adequacy
of ^in++++=of
the ^ati++++=the
cause ^nn++++=cause.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
the ^ati++++=the
cause ^nn++++=cause?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
inquire ^vb++++=inquire.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
smile ^nn++++=smile:
: ^zz++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
gaiters ^nns+nom+++=gaiters
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
home ^nr++++=home
for ^in++++=for
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie,
, ^zz++++=EXTRAWORD
late ^jj++++=late
on ^in++++=on
the ^ati++++=the
evening ^nn++++=evening
previous ^jj++++=previous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
her ^pp3o+pp3+++=her
first ^od++++=first
acts ^nns++++=acts
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
was ^vbd+bedz+aux++=was
to ^to++++=to
try ^vbi++++=try
them ^pp3o+pp3+++=them
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fit ^vb++++=fit!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
go ^vbi++++=go
out ^rp+pl+++=out
on ^in++++=on
that ^dt+dem+++=that
very ^ql+amp+++=very
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
wear ^vbi++++=wear
these ^dt+dem+++=these
gaiters ^nns+nom+++=gaiters.
. ^zz++++=EXTRAWORD
" ^zz++++="Enough
enough ^qlp++++=EXTRAWORD
to ^to++++=to
fret ^vbi++++=fret
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaims ^vbz++++=exclaims
one ^cd1++++=one
fair ^jj+atrb+++=fair
reader ^nn++++=reader.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
slight ^jj+atrb+++=slight
cause ^nn++++=cause,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
another ^dt++++=another,
, ^zz++++=EXTRAWORD
tossing ^vbg+++xvbg+=tossing
her ^pp$+pp3+++=her
curls ^nns++++=curls;
; ^zz++++=EXTRAWORD
" ^zz++++="men
men ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
great ^jj+atrb+++=great
philosophers ^nns+nom+++=philosophers!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
crave ^vb++++=crave
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
gentle ^jj+atrb+++=gentle
ladies ^nns++++=ladies
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
estimate ^nn+nom+++=estimate
of ^in++++=of
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken
too ^ql++++=too
lightly ^rb++++=lightly
of ^in++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
stated ^j+++xvbn+=stated
the ^ati++++=the
case ^nn++++=case
fairly ^rb++++=fairly.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie's
's ^$++++=EXTRAWORD
brow ^nn++++=brow
was ^vbd+bedz+aux++=was
clouded ^vpsv++agls+xvbnx+=clouded
because ^cs+cos+++=because
the ^ati++++=the
new ^jj+atrb+++=new
gaiters ^nns+nom+++=gaiters
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
fit ^jj++++=fit
her ^pp3o+pp3+++=her
handsome ^jj+atrb+++=handsome
foot ^nn++++=foot--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
member ^nn++++=member,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
a ^rb++++=a
little ^rb"++++=little
vain ^rb++++=vain.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
hour ^nn++++=hour
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
remained ^vbd+++xvbn+=remained
alone ^rb++++=alone
in ^in++++=in
her ^pp$+pp3+++=her
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
very ^ql+amp+++=very
sad ^jj++++=sad;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
reflection ^nn+nom+++=reflection
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
by ^in++++=by
no ^at++++=no
means ^nn++++=means
satisfied ^vbd+++xvbn+=satisfied
with ^in++++=with
the ^ati++++=the
part ^nn++++=part
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
playing ^vbg+++xvbgx+=playing,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
altogether ^nn+nom+++=altogether
unconscious ^jj++++=unconscious
of ^in++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
from ^in++++=from
her ^pp$+pp3+++=her
clouded ^vbd+++xvbn+=clouded
brow ^nn++++=brow
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
the ^ati++++=the
shadows ^nps++++=shadows
now ^rn+tm+++=now
darkening ^vbg+++xvbg+=darkening
over ^in++++=over
her ^pp$+pp3+++=her
household ^nn++++=household.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
gained ^vprf+++xvbnx+=gained
sufficient ^jj+atrb+++=sufficient
control ^nn++++=control
of ^in++++=of
herself ^ppl+pp3+++=herself
to ^in++++=to
act ^nn++++=act
toward ^in++++=toward
her ^pp$+pp3+++=her
children ^nns++++=children
more ^rbr++++=more
wisely ^rb++++=wisely
and ^cc+phrs+++=and
affectionately ^rb+cnj+++=affectionately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mother ^nn++++=mother
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
nursery ^nn+nom+++=nursery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
tenderness ^nns+nom+++=tenderness
of ^in++++=of
manner ^nn++++=manner
that ^tht+rel+subj++=that
acted ^vprf+++xvbn+=acted
like ^in++++=like
a ^at++++=a
charm ^nn++++=charm,
, ^zz++++=EXTRAWORD
attracted ^j+++xvbn+=attracted
her ^pp$+pp3+++=her
little ^ap++++=little
ones ^pn++++=ones
to ^in++++=to
her ^pp$+pp3+++=her
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inspired ^jj+++xvbn+=inspired
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
new ^jj+atrb+++=new
and ^cc+phrs+++=and
better ^jjr+atrb+++=better
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
To ^in++++=To
them ^pp3o+pp3+++=them
sunshine ^nn++++=sunshine
was ^vbd+bedz+aux++=was
restored ^vpsv++agls+xvbnx+=restored
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
few ^ap++++=few
rays ^nns++++=rays
that ^tht+rel+subj++=that
penetrated ^vbd+++xvbn+=penetrated
to ^in++++=to
the ^ati++++=the
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
lighted ^j+++xvbn+=lighted
its ^pp$+it+++=its
dim ^jj+atrb+++=dim
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
touched ^vbd+++xvbn+=touched
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
generous ^jj+atrb+++=generous
warmth ^nn++++=warmth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
shadows ^nps++++=shadows
from ^in++++=from
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie's
's ^$++++=EXTRAWORD
clouded ^jj+atrb++xvbn+=clouded
brow ^nn++++=brow
fell ^vbd+++xvbn+=fell
not ^xnot++not++=not
alone ^rb++++=alone
upon ^in++++=upon
her ^pp$+pp3+++=her
household ^nn++++=household.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spirit ^nn++++=spirit
that ^tht+rel+subj++=that
pervades ^vbz++++=pervades
the ^ati++++=the
home ^nr++++=home-circle
- ^zz++++=EXTRAWORD
circle ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
often ^rb++splt++=often
carried ^vpsv++agls+xvbnx+=carried
forth ^np++++=forth
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
go ^vb++++=go
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^rb++++=so
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie's
's ^$++++=EXTRAWORD
feelings ^nns+nom+++=feelings
were ^vbd+bed+vrb++=were
overcast ^jj+pred+++=overcast
with ^in++++=with
shadows ^nps++++=shadows
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
pressure ^nn++++=pressure,
, ^zz++++=EXTRAWORD
in ^rb++++=in
consequence ^nn+nom+++=consequence,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
his ^pp$+pp3+++=his
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
state ^nn++++=state
of ^in++++=of
irritability ^nn+nom+++=irritability
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
essayed ^vbd+++xvbnx+=essayed,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
feebly ^rb++++=feebly
and ^cc+phrs+++=and
ineffectually ^rb+cnj+++=ineffectually,
, ^zz++++=EXTRAWORD
to ^to++++=to
overcome ^vbi++++=overcome.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Edward ^np++++=Edward?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
after ^in++++=after
his ^pp$+pp3+++=his
arrival ^nn++++=arrival.
. ^zz++++=EXTRAWORD
Edward ^np++++=Edward
was ^vbd+bedz+vrb++=was
a ^at++++=a
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
a ^at++++=a
poor ^jj+atrb+++=poor
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
recently ^rb+tm+splt++=recently
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie's
's ^$++++=EXTRAWORD
store ^nn++++=store.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
answered ^vpsv++agls+xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
come ^vb++++=come
yet ^cc++++=yet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
fretful ^jj+atrb+++=fretful
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
third ^nn++++=third
time ^nn++++=time
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
late ^jj++++=late
within ^in++++=within
the ^ati++++=the
past ^jjb+atrb+++=past
week ^nn++++=week,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
moment ^nn++++=moment
the ^ati++++=the
boy ^nn++++=boy
came ^vbd+++xvbn+=came
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
sternly ^rb++++=sternly
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
said ^vbd+vpub++xvbn+=said-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
suit ^nn++++=suit
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
on ^in++++=on
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
am ^vb+bem+aux++=am
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
go ^vb++++=go
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
lad ^nn++++=lad's
's ^$++++=EXTRAWORD
face ^vb++++=face
crimsoned ^vbd+++xvbn+=crimsoned
instantly ^rb+cnj+++=instantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
something ^pn++++=something
about ^in++++=about
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^vbz+bez+aux++0=EXTRAWORD
being ^vbg+beg++xvbg+=being
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
waved ^vbd+++xvbn+=waved
his ^pp$+pp3+++=his
hand ^nn++++=hand
impatiently ^rb+cnj+++=impatiently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
any ^dti++++=any
excuse ^nn++++=excuse.
. ^zz++++=EXTRAWORD
Scarcely ^rb+down+++=Scarcely
had ^vb+hv+vrb++=had
the ^ati++++=the
boy ^nn++++=boy
left ^vbd+++xvbn+=left
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie,
, ^zz++++=EXTRAWORD
ere ^nn+++??+=ere
this ^dt+dem+++=this
hasty ^jj+atrb+++=hasty
action ^nn++++=action
was ^vbd+bedz+aux++=was
repented ^vpsv++agls+xvbnx+=repented
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
pride ^nn++++=pride
of ^in++++=of
consistency ^nn++++=consistency
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
acknowledge ^vbi+vpub+++=acknowledge
an ^at++++=an
error ^nn++++=error.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
word ^nn++++=word
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
recalled ^vpsv++agls+xvbnx+=recalled.
. ^zz++++=EXTRAWORD
Deeper ^jjr++++=Deeper
were ^vbd+bed+vrb++=were
the ^ati++++=the
shadows ^nps++++=shadows
that ^tht+rel+subj++=that
now ^rn+tm+++=now
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
his ^pp$+pp3+++=his
heart ^nn++++=heart--more
-- ^--+clp+++=EXTRAWORD
more ^ql++++=EXTRAWORD
fretted ^jj+++xvbn+=fretted
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
mind ^vb++++=mind
that ^tht+vcmp+++=that
supervened ^jj+++xvbn+=supervened.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
the ^ati++++=the
shadows ^nps++++=shadows
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
deeper ^jjr++++=deeper
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
he ^pp3a+pp3+++=he
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
that ^tht+vcmp+++=that
unhappy ^jj+atrb+++=unhappy
boy ^nn++++=boy
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
face ^vb++++=face
buried ^vbd+++xvbn+=buried
in ^in++++=in
the ^ati++++=the
pillow ^nn++++=pillow
that ^tht+rel+subj++=that
supported ^vprf+++xvbn+=supported
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
his ^pp$+pp3+++=his
sick ^jj+atrb+++=sick
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sobbed ^vbd+++xvbnx+=sobbed
until ^cs+sub+++=until
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
frame ^nn++++=frame
quivered ^vbd+++xvbn+=quivered.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
only ^ap+down+++=only
asked ^jj+++xvbn+=asked
the ^ati++++=the
reason ^nn++++=reason
why ^wrb+who+++=why
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance
at ^in++++=at
the ^ati++++=the
store ^nn++++=store
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
late ^jj++++=late
on ^in++++=on
this ^dt+dem+++=this
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
that ^tht+vcmp+++=that
the ^ati++++=the
delay ^nn++++=delay
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
solely ^rb++splt++=solely
occasioned ^vpsv++by+xvbn+=occasioned
by ^in++++=by
needful ^jj+atrb+++=needful
attendance ^nn+nom+++=attendance
on ^in++++=on
his ^pp$+pp3+++=his
sick ^jj++++=sick
and ^cc++++=and
almost ^rb+hdg+++=almost
helpless ^jj+atrb+++=helpless
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
a ^rb++++=a
little ^rb"++++=little
further ^jjb+atrb+++=further
ininquiry ^nn++++=ininquiry,
, ^zz++++=EXTRAWORD
humanity ^nn+nom+++=humanity
would ^md+prd+++=would
have ^vb+hv+aux++=have
dictated ^vprf+++xvbnx+=dictated
approval ^nn+nom+++=approval
rather ^rb++++=rather
than ^in++++=than
censure ^nn++++=censure
and ^cc++++=and
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
all ^abn++++=all
this ^dt+dem+++=this
painful ^jj+atrb+++=painful
consequence ^nn+nom+++=consequence
of ^in++++=of
his ^pp$+pp3+++=his
ill ^jj++++=ill-nature,
- ^zz++++=EXTRAWORD
nature ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
merchant ^nn+nom+++=merchant
knew ^vbd+vprv++xvbn+=knew
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
rarely ^rb++++=rarely
do ^vb+do+aux++=do
we ^pp1a+pp1+++=we
become ^vb++++=become
cognizant ^nn+nom+++=cognizant
of ^in++++=of
the ^ati++++=the
evil ^nn++++=evil
wrought ^vbd+++xvbn+=wrought
upon ^in++++=upon
others ^aps++++=others
by ^in++++=by
our ^pp$+pp1+++=our
hasty ^jj++++=hasty
and ^cc+phrs+++=and
ill ^jj++++=ill-judged
- ^zz++++=EXTRAWORD
judged ^vbn+vprv++xvbn+=EXTRAWORD
actions ^nns+nom+++=actions!
! ^zz++++=EXTRAWORD
The ^ati++++=The
shadow ^nn++++=shadow
was ^vbd+bedz+vrb++=was
still ^rb++++=still
