Within ^in++++=Within
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
and ^cc++++=and
bare ^jj++++=bare-armed
- ^zz++++=EXTRAWORD
armed ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
bare ^jj++++=bare-footed,
- ^zz++++=EXTRAWORD
footed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
skirt ^nn++++=skirt
reaching ^vwbg+++xvbg+=reaching
below ^rb++++=below
the ^ati++++=the
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
Stolid ^jj++++=Stolid
and ^cc++++=and
ox ^nn++++=ox-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
stepped ^vbd+++xvbnx+=stepped
from ^in++++=from
their ^pp$+pp3+++=their
doorways ^nns++++=doorways
into ^in++++=into
the ^ati++++=the
narrow ^jj+atrb+++=narrow
paths ^nns++++=paths
or ^cc++++=or
upon ^in++++=upon
the ^ati++++=the
soft ^jj+atrb+++=soft
grass ^nn++++=grass
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
to ^to++++=to
emerge ^vbi++++=emerge
uttered ^vbd+++xvbn+=uttered
ambiguous ^jj+atrb+++=ambiguous
squeals ^nns+nom+++=squeals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
raised ^jj+atrb++xvbn+=raised
one ^cd1++++=one
foot ^nn++++=foot
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
step ^vb++++=step
and ^cc++++=and
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
with ^in++++=with
shrill ^jj+atrb+++=shrill
cries ^nns++++=cries
of ^in++++=of
alarm ^nn++++=alarm,
, ^zz++++=EXTRAWORD
to ^to++++=to
pick ^vbi++++=pick
at ^in+ppvb+++=at
the ^ati++++=the
new ^jj+atrb+++=new
and ^cc+phrs+++=and
painful ^jj+atrb+++=painful
insects ^nns++++=insects
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
stung ^vprf+++xvbnx+=stung
them ^pp3o+pp3+++=them
upon ^in++++=upon
the ^ati++++=the
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
" ^zz++++="
Que ^&fw++++=Que
picadores ^nns+++??+=picadores
diablos ^nns+++??+=diablos!
! ^zz++++=EXTRAWORD
" ^zz++++="
they ^pp3a+pp3+++=they
screeched ^vbd+++xvbnx+=screeched
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another
across ^in+pl+++=across
the ^ati++++=the
narrow ^jj+atrb+++=narrow
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
tried ^jj+++xvbn+=tried
the ^ati++++=the
grass ^nn++++=grass
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
paths ^nns++++=paths,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
also ^rb++splt++=also
stung ^vpsv++agls+xvbnx+=stung
and ^cc+phrs+++=and
bitten ^vpsv++by+xvbn+=bitten
by ^in++++=by
the ^ati++++=the
strange ^jj+atrb+++=strange
little ^jj+atrb+++=little
prickly ^jj+atrb+++=prickly
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
plumped ^vbd+++xvbnx+=plumped
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^vbd+vpub+tht0+xvbn+=added
their ^pp$+pp3+++=their
lamentations ^nns+nom+++=lamentations
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
their ^pp$+pp3+++=their
sisters ^nns+nom+++=sisters
in ^in++++=in
the ^ati++++=the
sandy ^jj+atrb+++=sandy
paths ^nns++++=paths.
. ^zz++++=EXTRAWORD
All ^abn++++=All
through ^in++++=through
the ^ati++++=the
town ^nn++++=town
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
the ^ati++++=the
plaint ^nn++++=plaint
of ^in++++=of
the ^ati++++=the
feminine ^jj++++=feminine
jabber ^jjr++++=jabber.
. ^zz++++=EXTRAWORD
The ^ati++++=The
venders ^nns+nom+++=venders
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
still ^rb++++=still
wondered ^vbd+vprv++xvbn+=wondered
why ^wrb+who+whcl++=why
no ^at++++=no
customers ^nns+nom+++=customers
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
men ^nns++++=men,
, ^zz++++=EXTRAWORD
lords ^npt++++=lords
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
forth ^rp++++=forth.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
hop ^vbi++++=hop,
, ^zz++++=EXTRAWORD
to ^to++++=to
dance ^vbi++++=dance,
, ^zz++++=EXTRAWORD
to ^in++++=to
limp ^nn++++=limp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
curse ^vbi++++=curse.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
stranded ^vprf+++xvbn+=stranded
and ^cc++++=and
foolish ^jj++++=foolish,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stopped ^vpsv++agls+xvbn+=stopped
to ^in++++=to
pluck ^nn+++??+=pluck
at ^rb++++=at
the ^ati++++=the
scourge ^nn++++=scourge
that ^tht+rel+subj++=that
attacked ^vprf+++xvbn+=attacked
their ^pp$+pp3+++=their
feet ^nns++++=feet
and ^cc++++=and
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
loudly ^rb++++=loudly
proclaimed ^vbd+++xvbn+=proclaimed
the ^ati++++=the
pest ^nn++++=pest
to ^to++++=to
be ^vbi++vrb++=be
poisonous ^jj+atrb+++=poisonous
spiders ^nns+nom+++=spiders
of ^in++++=of
an ^at++++=an
unknown ^jj+atrb+++=unknown
species ^nn++++=species.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
children ^nns++++=children
ran ^vbd+++xvbn+=ran
out ^rb+phrv+++=out
for ^in+ppvb+++=for
their ^pp$+pp3+++=their
morning ^nn++++=morning
romp ^vb++++=romp.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
to ^in++++=to
the ^ati++++=the
uproar ^nn++++=uproar
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
the ^ati++++=the
howls ^nns++++=howls
of ^in++++=of
limping ^xvbg+++xvbg+=limping
infants ^nns+nom+++=infants
and ^cc++++=and
cockleburred ^jj+atrb++xvbn+=cockleburred
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
minute ^nn++++=minute
the ^ati++++=the
advancing ^jj+atrb++xvbg+=advancing
day ^nn++++=day
brought ^vbd+++xvbn+=brought
forth ^np++++=forth
fresh ^jj+atrb+++=fresh
victims ^nns++++=victims.
. ^zz++++=EXTRAWORD
Dona ^np+++??+=Dona
Maria ^&fw++++=Maria
Castillas ^np+++??+=Castillas
y ^zz++++=y
Buenventura ^np+++??+=Buenventura
de ^&fw++++=de
las ^np++++=las
Casas ^np+++??+=Casas
stepped ^vbd+++xvbn+=stepped
from ^in++++=from
her ^pp$+pp3+++=her
honored ^vbd+++xvbn+=honored
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
daily ^jj+atrb+++=daily
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
to ^to++++=to
procure ^vbi++++=procure
fresh ^jj+atrb+++=fresh
bread ^nn++++=bread
from ^in++++=from
the ^ati++++=the
panaderia ^nn+++??+=panaderia
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
clad ^jj+pred+++=clad
in ^in++++=in
a ^at++++=a
skirt ^nn++++=skirt
of ^in++++=of
flowered ^jj+atrb+++=flowered,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
satin ^nn++++=satin,
, ^zz++++=EXTRAWORD
a ^at++++=a
chemise ^nn++++=chemise
of ^in++++=of
ruffled ^vbd+++xvbn+=ruffled
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wore ^vbd+++xvbn+=wore
a ^at++++=a
purple ^jj+atrb+++=purple
mantilla ^nn+++??+=mantilla
from ^in++++=from
the ^ati++++=the
looms ^nns++++=looms
of ^in++++=of
Spain ^np++++=Spain.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lemon ^nn++++=lemon-tinted
- ^zz++++=EXTRAWORD
tinted ^jj+atrb+++=EXTRAWORD
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
alas ^uh++++=alas!
! ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
bare ^jj+pred+++=bare.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
progress ^nns+nom+++=progress
was ^vbd+bedz+vrb++=was
majestic ^jj+pred+++=majestic,
, ^zz++++=EXTRAWORD
for ^in++++=for
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
her ^pp$+pp3+++=her
ancestors ^nns++++=ancestors
hidalgos ^nns+++??+=hidalgos
of ^in++++=of
Aragon ^np++++=Aragon?
? ^zz++++=EXTRAWORD
Three ^cd++++=Three
steps ^nns++++=steps
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
across ^in+pl+++=across
the ^ati++++=the
velvety ^jj+atrb+++=velvety
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
her ^pp3o+pp3+++=her
aristocratic ^jj++++=aristocratic
sole ^jjb++++=sole
upon ^in++++=upon
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
burrs ^nns+++??+=burrs.
. ^zz++++=EXTRAWORD
Dona ^np+++??+=Dona
Maria ^&fw++++=Maria
Castillas ^np+++??+=Castillas
y ^zz++++=y
Buenventura ^np+++??+=Buenventura
de ^&fw++++=de
las ^np++++=las
Casas ^np+++??+=Casas
emitted ^vbd+++xvbn+=emitted
a ^at++++=a
yowl ^nn+++??+=yowl
even ^rb++++=even
as ^ql++++=as
a ^at++++=a
wild ^jj++++=wild-cat.
- ^zz++++=EXTRAWORD
cat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
upon ^in++++=upon
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crawled ^vprf+++xvbn+=crawled
-- ^--+clp+++=--ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
beast ^nn++++=beast
of ^in++++=of
the ^ati++++=the
field ^nn++++=field
she ^pp3a+pp3+++=she
crawled ^vprf+++xvbn+=crawled
back ^jjb++++=back
to ^in++++=to
her ^pp$+pp3+++=her
honorable ^jj+atrb+++=honorable
door ^nn++++=door-sill.
- ^zz++++=EXTRAWORD
sill ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
Senor ^np+++??+=Senor
Ildefonso ^np+++??+=Ildefonso
Federico ^np+++??+=Federico
Valdazar ^np+++??+=Valdazar,
, ^zz++++=EXTRAWORD
Juez ^np+++??+=Juez
de ^&fw++++=de
la ^&fw++++=la
Paz ^np+++??+=Paz
, ^zz++++=,
weighing ^nvbg+++xvbg+=weighing
twenty ^cd++++=twenty
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
convey ^vbi++++=convey
his ^pp$+pp3+++=his
bulk ^nn++++=bulk
to ^in++++=to
the ^ati++++=the
pulperia ^nn+++??+=pulperia
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
plaza ^np++++=plaza
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
assuage ^nn+nom+++=assuage
his ^pp$+pp3+++=his
matutinal ^jj+atrb+++=matutinal
thirst ^nn++++=thirst.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
plunge ^vb++++=plunge
of ^in++++=of
his ^pp$+pp3+++=his
unshod ^nn+++??+=unshod
foot ^nn++++=foot
into ^in++++=into
the ^ati++++=the
cool ^jj+atrb+++=cool
grass ^nn++++=grass
struck ^vbd+++xvbn+=struck
a ^at++++=a
concealed ^jj+++xvbn+=concealed
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
Ildefonso ^np+++??+=Ildefonso
fell ^vbd+++xvbn+=fell
like ^in++++=like
a ^at++++=a
crumpled ^jj+++xvbn+=crumpled
cathedral ^npl+nom+++=cathedral,
, ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying
out ^rp+pl+++=out
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fatally ^rb++splt++=fatally
bitten ^vpsv++by+xvbn+=bitten
by ^in++++=by
a ^at++++=a
deadly ^rb++++=deadly
scorpion ^nn+++??+=scorpion.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
were ^vbd+bed+vrb++=were
the ^ati++++=the
shoeless ^jj+atrb+++=shoeless
citizens ^nns++++=citizens
hopping ^vwbg+++xvbg+=hopping,
, ^zz++++=EXTRAWORD
stumbling ^jj++++=stumbling,
, ^zz++++=EXTRAWORD
limping ^jj+++xvbg+=limping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
picking ^vbg+++xvbg+=picking
from ^in++++=from
their ^pp$+pp3+++=their
feet ^nns++++=feet
the ^ati++++=the
venomous ^jj+atrb+++=venomous
insects ^nns++++=insects
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
night ^nn++++=night
to ^in++++=to
harass ^nns+++??+=harass
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
to ^to++++=to
perceive ^vbi+vprv+tht0++=perceive
the ^ati++++=the
remedy ^nn++++=remedy
was ^vbd+bedz+vrb++=was
Esteban ^np+++??+=Esteban
Delgado ^np+++??+=Delgado,
, ^zz++++=EXTRAWORD
the ^ati++++=the
barber ^nn++++=barber,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
travel ^nn++++=travel
and ^cc++++=and
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Sitting ^vbg+++xvbg+=Sitting
upon ^in++++=upon
a ^at++++=a
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
plucked ^vbd+++xvbnx+=plucked
burrs ^nns+++??+=burrs
from ^in++++=from
his ^pp$+pp3+++=his
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
oration ^nn+nom+++=oration:
: ^zz++++=EXTRAWORD
" ^zz++++="Behold,
behold ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
bugs ^nns+++??+=bugs
of ^in++++=of
the ^ati++++=the
devil ^nn++++=devil!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
them ^pp3o+pp3+++=them
well ^rb++++=well.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
soar ^vb++++=soar
through ^in++++=through
the ^ati++++=the
skies ^nns++++=skies
in ^in++++=in
swarms ^nns+++??+=swarms
like ^in++++=like
pigeons ^nns++++=pigeons.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
dead ^jj+pred+++=dead
ones ^cd1s++++=ones
that ^dt+pdem+++=that
fell ^vbd+++xvbn+=fell
during ^in++++=during
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
In ^in++++=In
Yucatan ^np+++??+=Yucatan
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them
as ^in++++=as
large ^jj++++=large
as ^ql++++=as
oranges ^nns++++=oranges.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes!
! ^zz++++=EXTRAWORD
There ^rn+pl+++=There
they ^pp3a+pp3+++=they
hiss ^vb++++=hiss
like ^in++++=like
serpents ^nns++++=serpents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
wings ^nns++++=wings
like ^in++++=like
bats ^nns++++=bats.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
shoes ^nns++++=shoes--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
shoes ^nns++++=shoes
that ^tht+rel+++=that
one ^cd1++++=one
needs ^nns++++=needs!
! ^zz++++=EXTRAWORD
Zapatos ^np+++??+=Zapatos--zapatos
-- ^--+clp+++=EXTRAWORD
zapatos ^nns+++??+=EXTRAWORD
para ^nn++++=para
mi ^nn+++??+=mi!
! ^zz++++=EXTRAWORD
" ^zz++++="
Esteban ^np+++??+=Esteban
hobbled ^vbd+++xvbn+=hobbled
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter's
's ^$++++=EXTRAWORD
store ^nn++++=store,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bought ^vbd+++xvbn+=bought
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
swaggered ^vbd+++xvbnx+=swaggered
down ^rp++++=down
the ^ati++++=the
street ^nn++++=street
with ^in++++=with
impunity ^nn+nom+++=impunity,
, ^zz++++=EXTRAWORD
reviling ^nn+nom+++=reviling
loudly ^rb++++=loudly
the ^ati++++=the
bugs ^nns+++??+=bugs
of ^in++++=of
the ^ati++++=the
devil ^nn++++=devil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
suffering ^jj+atrb++xvbg+=suffering
ones ^cd1s++++=ones
sat ^vbd+++xvbn+=sat
up ^rp++++=up
or ^cc++++=or
stood ^vpsv++agls+xvbn+=stood
upon ^in++++=upon
one ^cd1++++=one
foot ^nn++++=foot
and ^cc++++=and
beheld ^nn+++??+=beheld
the ^ati++++=the
immune ^jj+atrb+++=immune
barber ^nn++++=barber.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men,
, ^zz++++=EXTRAWORD
women ^nns++++=women
and ^cc++++=and
children ^nns++++=children
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
the ^ati++++=the
cry ^nn++++=cry:
: ^zz++++=EXTRAWORD
" ^zz++++="
Zapatos ^np+++??+=Zapatos!
! ^zz++++=EXTRAWORD
zapatos ^nns+++??+=zapatos!
! ^zz++++=EXTRAWORD
" ^zz++++="
The ^ati++++=The
necessity ^nn+nom+++=necessity
for ^in++++=for
the ^ati++++=the
demand ^vb++++=demand
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
created ^vpsv++agls+xvbnx+=created.
. ^zz++++=EXTRAWORD
The ^ati++++=The
demand ^nn++++=demand
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
day ^nn++++=day
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
sold ^vwbn+++xvbn+=sold
three ^cd++++=three
hundred ^cd++++=hundred
pairs ^nns++++=pairs
of ^in++++=of
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
really ^rb+emph+splt++=really
surprising ^vbg+++xvbgx+=surprising,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Johnny ^vb++++=Johnny,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
to ^to++++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
straighten ^vb++++=straighten
out ^rp+pl+++=out
the ^ati++++=the
stock ^nn++++=stock,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
trade ^nn++++=trade
is ^vbz+bez+aux++=is
picking ^vbg+++xvbgx+=picking
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
but ^cc++++=but
three ^cd++++=three
sales ^nns++++=sales."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
whoop ^nn+++??+=whoop
things ^nns++++=things
up ^rp++++=up
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
started ^vbd+++xvbn+=started,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
order ^to++++=order
a ^at++++=a
dozen ^cd++++=dozen
more ^ql++++=more
cases ^nns++++=cases
of ^in++++=of
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
stock ^nn++++=stock
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter,
, ^zz++++=EXTRAWORD
beaming ^vbg+++xvbg+=beaming
through ^in++++=through
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
send ^vb++++=send
in ^in++++=in
any ^dti++++=any
orders ^nns++++=orders
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
advised ^vbd+vpub++xvbn+=advised
Johnny ^np++++=Johnny.
. ^zz++++=EXTRAWORD
" ^zz++++="Wait
wait ^vb++++=EXTRAWORD
till ^cs+sub+++=till
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
the ^ati++++=the
trade ^nn++++=trade
holds ^vbz+vprv+++=holds
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Each ^dt++++=Each
night ^nn++++=night
Johnny ^np++++=Johnny
and ^cc++++=and
Keogh ^np+++??+=Keogh
sowed ^vbd+++xvbn+=sowed
the ^ati++++=the
crop ^nn++++=crop
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
dollars ^nns++++=dollars
by ^in++++=by
day ^nn++++=day.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
ten ^cd++++=ten
days ^nns++++=days
two ^cd++++=two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
stock ^nn++++=stock
of ^in++++=of
shoes ^nns++++=shoes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sold ^vpsv++agls+xvbnx+=sold;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stock ^nn++++=stock
of ^in++++=of
cockleburrs ^nns+++??+=cockleburrs
was ^vbd+bedz+aux++=was
exhausted ^vpsv++agls+xvbnx+=exhausted.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
cabled ^vwbn+++xvbn+=cabled
to ^in++++=to
Pink ^jj+atrb+++=Pink
Dawson ^np++++=Dawson
for ^in++++=for
another ^dt++++=another
500 ^cd++++=500
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
paying ^vbg+++xvbg+=paying
twenty ^cd++++=twenty
cents ^nns++++=cents
per ^nnu++++=per
pound ^nn++++=pound
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter
carefully ^rb++++=carefully
made ^vbd+++xvbn+=made
up ^rp++++=up
an ^at++++=an
order ^nn++++=order
for ^in++++=for
$ ^zz++++=$1500
1500 ^cd++++=EXTRAWORD
worth ^nn++++=worth
of ^in++++=of
shoes ^nns++++=shoes
from ^in++++=from
Northern ^jj+atrb+++=Northern
firms ^nns++++=firms.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
hung ^vbd+++xvbn+=hung
about ^in++++=about
the ^ati++++=the
store ^nn++++=store
until ^cs+sub+++=until
this ^dt+dem+++=this
order ^nn++++=order
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
the ^ati++++=the
mail ^nn++++=mail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
succeeded ^vpsv++agls+xvbn+=succeeded
in ^in++++=in
destroying ^xvbg+++xvbg+=destroying
it ^pp3+it+++=it
before ^cs+sub+++=before
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
postoffice ^nn+++??+=postoffice.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
Rosine ^np+++??+=Rosine
under ^in++++=under
the ^ati++++=the
mango ^nn+++??+=mango
tree ^nn++++=tree
by ^in++++=by
Godwin ^np++++=Godwin's
's ^$++++=EXTRAWORD
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
confessed ^vbd+vpub+tht0+xvbn+=confessed
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
him ^pp3o+pp3+++=him
