Human ^jj+atrb+++=Human
trifle ^nn++++=trifle
fastidious ^jj++++=fastidious
about ^in++++=about
cooking ^xvbg+++xvbg+=cooking;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
upon ^in++++=upon
his ^pp$+pp3+++=his
dignity ^nn+nom+++=dignity;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
grudged ^vwbn+++xvbn+=grudged
reward ^nn++++=reward
for ^in++++=for
service ^nn++++=service
rendered ^vbd+++xvbn+=rendered.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
practice ^nn++++=practice
to ^to++++=to
pay ^vbi++++=pay
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
landlady ^nn++++=landlady
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
shillings ^nns+nom+++=shillings
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
give ^vb++++=give
you ^pp2+pp2+++=you
twenty ^cd++++=twenty-eight.
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
raised ^jj+atrb++xvbn+=raised
forefinger ^nn+nom+++=forefinger
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
catalogue ^nn++++=catalogue
of ^in++++=of
his ^pp$+pp3+++=his
demands ^nns++++=demands.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
must ^md+nec+++=must
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
precisely ^rb++++=precisely
as ^ql++++=as
he ^pp3a+pp3+++=he
directed ^vbd+++xvbnx+=directed;
; ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
laying ^jj+++xvbg+=laying
of ^in++++=of
his ^pp$+pp3+++=his
table ^nn++++=table
he ^pp3a+pp3+++=he
insisted ^vbd+vpub++xvbnx+=insisted
upon ^in++++=upon
certain ^jj+atrb+++=certain
minute ^nn++++=minute
peculiarities ^nns+nom+++=peculiarities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
forget ^vbi+vprv+tht0++=forget
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
to ^to++++=to
earn ^vbi++++=earn
that ^dt+dem+++=that
gaze ^nn++++=gaze
of ^in++++=of
awful ^jj+atrb+++=awful
reprimand ^nn+++??+=reprimand
which ^whp+rel+obj++=which
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
found ^vbd+vprv++xvbn+=found
( ^zz++++=(or
or ^cc++++=EXTRAWORD
thought ^nn+++xvbn+=thought)
) ^zz++++=EXTRAWORD
more ^rbr++++=more
efficacious ^jj++++=efficacious
than ^in++++=than
any ^dti++++=any
spoken ^jj+atrb++xvbn+=spoken
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
this ^dt+dem+++=this
precision ^nn++++=precision
might ^md+pos+++=might
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
his ^pp$+pp3+++=his
strange ^jj+atrb+++=strange
indulgence ^nn+nom+++=indulgence
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
bills ^nns++++=bills;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
merely ^rb+down+++=merely
regarded ^vbd+++xvbn+=regarded
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
dispute ^vb++++=dispute
an ^at++++=an
item ^nn++++=item.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
twice ^rb++++=twice
in ^in++++=in
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
experience ^nn+nom+++=experience
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
quitted ^vprf+++xvbn+=quitted
a ^at++++=a
lodging ^nn++++=lodging
because ^cs+cos+++=because
of ^in"++++=of
exorbitant ^jj+atrb+++=exorbitant
charges ^nns++++=charges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
these ^dt+dem+++=these
occasions ^nns++++=occasions
he ^pp3a+pp3+++=he
sternly ^rb++++=sternly
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
' ^zz++++='Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hawker ^np++++=Hawker,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
paying ^vbg+++xvbgx+=paying
your ^pp$+pp2+++=your
account ^nn++++=account
with ^in++++=with
the ^ati++++=the
addition ^nn+nom+++=addition
of ^in++++=of
one ^cd1++++=one
week ^nn++++=week's
's ^$++++=EXTRAWORD
rent ^nn++++=rent.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
rooms ^nns++++=rooms
will ^md+prd+++=will
be ^vb+be+vrb++=be
vacant ^jj+pred+++=vacant
at ^rb++++=at
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
tomorrow ^nr+tm+++=tomorrow
morning ^nn++++=morning.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
until ^in++++=until
the ^ati++++=the
hour ^nn++++=hour
of ^in++++=of
departure ^nn++++=departure
no ^at++++=no
entreaty ^nn++++=entreaty,
, ^zz++++=EXTRAWORD
no ^at++++=no
prostration ^nn+nom+++=prostration,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
induce ^vb++++=induce
him ^pp3o+pp3+++=him
to ^to++++=to
utter ^vbi++++=utter
a ^at++++=a
syllable ^nn++++=syllable.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
1 ^zz++++=1
st ^npt++++=st
of ^in++++=of
June ^nr++++=June,
, ^zz++++=EXTRAWORD
1889 ^cd+date+++=1889,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
forty ^cd++++=forty-fifth
- ^zz++++=EXTRAWORD
fifth ^od++++=EXTRAWORD
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
removed ^vwbn+++xvbn+=removed
from ^in++++=from
quarters ^nns+nom+++=quarters
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
occupied ^vprf+++xvbnx+=occupied
for ^in++++=for
ten ^cd++++=ten
months ^nns++++=months,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
a ^at++++=a
lodger ^nn++++=lodger
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield,
, ^zz++++=EXTRAWORD
a ^at++++=a
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
three ^cd++++=three-and-thirty,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
casual ^jj++++=casual
resident ^jj++++=resident
in ^in++++=in
Islington ^np+++??+=Islington;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
no ^at++++=no
inquiries ^nns++++=inquiries
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Strongly ^rb+amp+++=Strongly
impressed ^vbd+++xvbn+=impressed,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
woman ^nn++++=woman
must ^md+nec+++=must
needs ^vb++++=needs
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
air ^nn++++=air
and ^cc++++=and
tone ^nn++++=tone
of ^in++++=of
mild ^jj+atrb+++=mild
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
congratulated ^vbd+++xvbnx+=congratulated
herself ^ppl+pp3+++=herself
on ^in++++=on
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
such ^abl++++=such
an ^at++++=an
inmate ^nn++++=inmate;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
subservience ^nn+nom+++=subservience
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
her ^pp$+pp3+++=her
demeanour ^nn++++=demeanour;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
behaved ^vbd+++xvbnx+=behaved
with ^in++++=with
studious ^jj+atrb+++=studious
civility ^nn+nom+++=civility,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
words ^nns++++=words
were ^vbd+bed+vrb++=were
few ^ap++++=few
and ^cc++++=and
well ^rb++++=well
chosen ^vbd+++xvbn+=chosen.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
neatly ^rb++++=neatly
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
always ^rb++++=always
busy ^jj++++=busy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
about ^rb+phrv+++=about
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
quick ^jj+atrb+++=quick,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
step ^nn++++=step,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cleanliness ^nns+nom+++=cleanliness
marked ^vbd+++xvbn+=marked
her ^pp3o+pp3+++=her
path ^nn++++=path.
. ^zz++++=EXTRAWORD
The ^ati++++=The
meals ^nns++++=meals
were ^vbd+bed+aux++=were
well ^rb++++=well
cooked ^vbd+++xvbn+=cooked,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
served ^vbd+++xvbn+=served.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
being ^vwbg+beg++xvbg+=being
her ^pp3o+pp3+++=her
only ^rb+down+++=only
lodger ^jjr++++=lodger,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
devote ^vb++++=devote
to ^in++++=to
him ^pp3o+pp3+++=him
an ^at++++=an
undivided ^jj+atrb++xvbn+=undivided
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
his ^pp$+pp3+++=his
first ^od++++=first
week ^nn++++=week
the ^ati++++=the
critical ^jj+atrb+++=critical
gentleman ^nn+nom+++=gentleman
felt ^vbd+vprv++xvbn+=felt
greater ^jjr+atrb+++=greater
satisfaction ^nn+nom+++=satisfaction
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bill ^nn++++=bill
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
his ^pp$+pp3+++=his
table ^nn++++=table
at ^in++++=at
breakfast ^nn++++=breakfast-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
perused ^vbd+++xvbnx+=perused
the ^ati++++=the
items ^nns++++=items,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
much ^ap++++=much
against ^in++++=against
his ^pp$+pp3+++=his
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
breakfasted ^vbd+++xvbn+=breakfasted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rang ^vbd+++xvbnx+=rang
the ^ati++++=the
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
' ^zz++++='Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^xvbn+++xvbn+=looked
gravely ^np++++=gravely
at ^rb++++=at
the ^ati++++=the
widow ^nn++++=widow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
honest ^jj+atrb+++=honest,
, ^zz++++=EXTRAWORD
healthy ^jj+atrb+++=healthy
face ^nn++++=face,
, ^zz++++=EXTRAWORD
with ^in++++=with
resolute ^jj+atrb+++=resolute
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
eye ^nn++++=eye
that ^tht+rel+subj++=that
brightened ^vbd+++xvbn+=brightened
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
well ^rb++++=well-knit
- ^zz++++=EXTRAWORD
knit ^nn+++??+=EXTRAWORD
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
motionless ^jj++++=motionless
in ^in++++=in
its ^pp$+it+++=its
respectful ^jj+atrb+++=respectful
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
declared ^j+++xvbn+=declared
a ^at++++=a
thoroughly ^rb+amp+++=thoroughly
sound ^jj+atrb+++=sound
condition ^nn+nom+++=condition
of ^in++++=of
the ^ati++++=the
nerves ^nns++++=nerves.
. ^zz++++=EXTRAWORD
' ^zz++++='Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
bill ^nn++++=bill
is ^vbz+bez+vrb++=is
so ^ql++++=so
very ^ql+amp+++=very
moderate ^jj++++=moderate
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
must ^md+nec+++=must
have ^vb+hv+aux++=have
forgotten ^vprf++tht0+xvbnx+=forgotten
something ^pn++++=something.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
it ^pp3+it+++=it
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
trouble ^nn++++=trouble
with ^in++++=with
the ^ati++++=the
details ^nns++++=details.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
examine ^vb++++=examine
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+aux++=is
no ^at++++=no
need ^vb++++=need,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
make ^vb++++=make
a ^at++++=a
mistake ^nn++++=mistake.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield,
, ^zz++++=EXTRAWORD
please ^uh++++=please
examine ^vb++++=examine
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
hesitate ^nn+nom+++=hesitate,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
obeyed ^vbd+++xvbn+=obeyed.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
bill ^nn++++=bill
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
correct ^jj+pred+++=correct,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paid ^vbd+++xvbnx+=paid
it ^pp3+it+++=it
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
said ^vbd+vpub++xvbn+=said
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weeks ^nns++++=weeks
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
To ^in++++=To
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
landlady ^nn++++=landlady's
's ^$++++=EXTRAWORD
zeal ^nn++++=zeal
and ^cc++++=and
efficiency ^nn++++=efficiency
showed ^vbd+vprv++xvbn+=showed
no ^at++++=no
diminution ^nn+nom+++=diminution,
, ^zz++++=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing
unprecedented ^jj++++=unprecedented
in ^in++++=in
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
and ^cc+phrs+++=and
varied ^jj+atrb++xvbn+=varied
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
nothing ^pn++++=nothing
to ^in++++=to
correct ^jj++++=correct;
; ^zz++++=EXTRAWORD
every ^at++++=every
smallest ^jjt+atrb+++=smallest
instruction ^nn+nom+++=instruction
was ^vbd+bedz+aux++=was
faithfully ^rb++splt++=faithfully
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
the ^ati++++=the
comfort ^nn++++=comfort
of ^in++++=of
absolutely ^rb+amp+++=absolutely
clean ^jj+atrb+++=clean
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
best ^nn++++=best
of ^in++++=of
his ^pp$+pp3+++=his
landladies ^nns++++=landladies
hitherto ^rb++++=hitherto
had ^vb+hv+aux++=had
not ^xnot++not++=not
risen ^vprf+++xvbn+=risen
above ^in+ppvb+++=above
that ^dt+dem+++=that
conception ^nn+nom+++=conception
of ^in++++=of
cleanliness ^nns+nom+++=cleanliness
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
relative ^jj+pred+++=relative
to ^in++++=to
London ^np++++=London
soot ^nn++++=soot
and ^cc++++=and
fog ^nn++++=fog.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
palate ^nn++++=palate,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
receiving ^vbg+++xvbgx+=receiving
an ^at++++=an
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
eaten ^vprf+++xvbnx+=eaten
of ^in++++=of
a ^at++++=a
joint ^jjb++++=joint
rightly ^rb++++=rightly
cooked ^vbd+++xvbn+=cooked,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tasted ^vprf+++xvbn+=tasted
a ^at++++=a
potato ^nn++++=potato
boiled ^vbd+++xvbn+=boiled
as ^ql++++=as
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be;
; ^zz++++=EXTRAWORD
more ^rbr++++=more
often ^rb++++=often
than ^in++++=than
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
the ^ati++++=the
food ^nn++++=food
set ^vbd+++xvbn+=set
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
undergone ^vprf+++xvbn+=undergone
a ^at++++=a
process ^nns+nom+++=process
which ^whp+rel+subj++=which
left ^vbd+++xvbn+=left
it ^pp3+it+++=it
masticable ^jj++++=masticable
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
void ^jj++++=void
of ^in++++=of
savour ^vb++++=savour
and ^cc++++=and
nourishment ^nn+nom+++=nourishment.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
little ^jj+atrb+++=little
attentions ^nns+nom+++=attentions
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
dreamed ^vprf+++xvbnx+=dreamed
kept ^vprf+++xvbn+=kept
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
wondering ^jj+atrb++xvbg+=wondering
cheerfulness ^nns+nom+++=cheerfulness.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
length ^rb"++++=length
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself:
: ^zz++++=EXTRAWORD
' ^zz++++='Here
here ^rn+pl+++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
stay ^vb++++=stay.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
his ^pp$+pp3+++=his
constant ^jj+atrb+++=constant
removals ^nns+nom+++=removals
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
solely ^rb++++=solely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
discomfort ^vb++++=discomfort
and ^cc++++=and
a ^at++++=a
hope ^nn++++=hope
of ^in++++=of
better ^jjr+atrb+++=better
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
secret ^jj++++=secret--perhaps
-- ^--+clp+++=EXTRAWORD
perhaps ^rb++++=EXTRAWORD
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
revealed ^vbd+vprv++xvbn+=revealed
even ^rb++++=even
to ^in++++=to
himself ^ppl+pp3+++=himself--lay
-- ^--+clp+++=EXTRAWORD
lay ^j+++xvbn+=EXTRAWORD
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
sense ^nn++++=sense
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
importance ^nn+nom+++=importance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
uneasiness ^nns+nom+++=uneasiness
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
landlady ^nn++++=landlady,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
a ^at++++=a
mere ^jjb+atrb+++=mere
everyday ^jjb+atrb+++=everyday
person ^nn++++=person--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
ordinary ^jj++++=ordinary
lodger ^jjr++++=lodger.
. ^zz++++=EXTRAWORD
No ^at++++=No
sooner ^rbr++++=sooner
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
detect ^vb++++=detect
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
this ^dt+dem+++=this
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
to ^to++++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
keenest ^jjt+atrb+++=keenest
pleasure ^nn++++=pleasure
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
capable ^jj+pred+++=capable
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
on ^in++++=on
abruptly ^rb++++=abruptly
announcing ^vbg+++xvbg+=announcing
his ^pp$+pp3+++=his
immediate ^jj+atrb+++=immediate
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
perceived ^vbd+vprv+tht0+xvbnx+=perceived
the ^ati++++=the
landlady ^nn++++=landlady's
's ^vbz+bez+vrb++0=EXTRAWORD
profound ^jj+atrb+++=profound
mortification ^nn+nom+++=mortification.
. ^zz++++=EXTRAWORD
To ^to++++=To
make ^vbi++++=make
the ^ati++++=the
blow ^nn++++=blow
heavier ^jjr++++=heavier
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
even ^rb++splt++=even
resorted ^vprf+++xvbnx+=resorted
to ^in++++=to
artifice ^nn++++=artifice,
, ^zz++++=EXTRAWORD
seeming ^vbg+seem++xvbg+=seeming
to ^to+vcmp+++=to
express ^nns+nom+++=express
a ^at++++=a
most ^ql+emph+++=most
lively ^jj+atrb+++=lively
contentment ^nn+nom+++=contentment
during ^in++++=during
the ^ati++++=the
very ^ql+amp+++=very
days ^nns++++=days
