Half ^abn++++=Half
intent ^jj+pred+++=intent
on ^in++++=on
the ^ati++++=the
words ^nns++++=words
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
hoped ^vbd+vprv++xvbnx+=hoped
would ^md+prd+++=would
make ^vb++++=make
the ^ati++++=the
prisoner ^nn+nom+++=prisoner
quail ^nns++++=quail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
corporal ^npt+nom+++=corporal
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
eye ^nn++++=eye
on ^in++++=on
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
speaker ^nn++++=speaker,
, ^zz++++=EXTRAWORD
charming ^jj+++xvbg+=charming
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
riveted ^jj+atrb++xvbn+=riveted
gaze ^nn++++=gaze,
, ^zz++++=EXTRAWORD
in ^in++++=in
return ^nn++++=return.
. ^zz++++=EXTRAWORD
Watching ^vbg+++xvbg+=Watching
his ^pp$+pp3+++=his
opportunity ^nn+nom+++=opportunity,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
the ^ati++++=the
tomahawk ^nn+++??+=tomahawk
from ^in++++=from
the ^ati++++=the
Weasel ^np++++=Weasel's
's ^$++++=EXTRAWORD
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
blow ^nn++++=blow,
, ^zz++++=EXTRAWORD
felled ^xvbn+++xvbn+=felled
him ^pp3o+pp3+++=him
dead ^jj++++=dead
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
content ^nn++++=content
with ^in++++=with
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
soldier ^nn++++=soldier
now ^rn+tm+++=now
bounded ^vbd+++xvbn+=bounded
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
right ^jj++++=right
and ^cc++++=and
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
inflicting ^vbg+++xvbg+=inflicting
six ^cd++++=six
or ^cc++++=or
eight ^cd++++=eight
wounds ^nns++++=wounds
on ^in++++=on
others ^aps++++=others,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
be ^vb+be+aux++=be
again ^rb+tm+splt++=again
arrested ^vpsv++agls+xvbnx+=arrested,
, ^zz++++=EXTRAWORD
disarmed ^j+++xvbn+=disarmed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bound ^jj+++xvbn+=bound.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
last ^ap++++=last
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing,
, ^zz++++=EXTRAWORD
Peter ^np++++=Peter
withdrew ^vbd+++xvbn+=withdrew,
, ^zz++++=EXTRAWORD
unobserved ^jj++++=unobserved.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
were ^vbd+bed+vrb++=were
the ^ati++++=the
" ^zz++++="hughs"
hughs ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
exclamations ^nns+nom+++=exclamations
of ^in++++=of
admiration ^nn+nom+++=admiration
that ^tht+rel+subj++=that
succeeded ^vprf+++xvbn+=succeeded
this ^dt+dem+++=this
display ^nn++++=display
of ^in++++=of
desperate ^jj+atrb+++=desperate
manhood ^nn+nom+++=manhood!
! ^zz++++=EXTRAWORD
The ^ati++++=The
body ^nn++++=body
of ^in++++=of
The ^ati++++=The
Weasel ^nn++++=Weasel
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interred ^vwbn+++xvbn+=interred,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
wounded ^nn++++=wounded
withdrew ^vbd+++xvbn+=withdrew
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
their ^pp$+pp3+++=their
hurts ^nns++++=hurts;
; ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
arena ^nn++++=arena
to ^in++++=to
the ^ati++++=the
rest ^nn++++=rest
assembled ^vbd+++xvbn+=assembled
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
pretty ^rb++splt++=pretty
well ^rb++++=well
blown ^vbd+++xvbn+=blown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in"++++=to
being ^vbg+beg++xvbg+=being
now ^rn+tm+++=now
bound ^jj+atrb++xvbn+=bound
hand ^nn++++=hand
and ^cc++++=and
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
recent ^jj+atrb+++=recent
exertions ^nns+nom+++=exertions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
terrific ^jj+pred+++=terrific
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
lasted ^vbd+++xvbnx+=lasted,
, ^zz++++=EXTRAWORD
effectually ^rb++++=effectually
incapacitated ^jj++++=incapacitated
him ^pp3o+pp3+++=him
from ^in++++=from
making ^xvbg+++xvbg+=making
any ^dti++++=any
move ^nn++++=move,
, ^zz++++=EXTRAWORD
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
exhausted ^vpsv++agls+xvbnx+=exhausted
and ^cc++++=and
confined ^jj+++xvbn+=confined.
. ^zz++++=EXTRAWORD
A ^at++++=A
council ^nn++++=council
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
held ^vpsv++by+xvbnx+=held
by ^in++++=by
the ^ati++++=the
principal ^jjb+atrb+++=principal
chiefs ^nns++++=chiefs.
. ^zz++++=EXTRAWORD
Ungque ^np+++??+=Ungque
had ^vb+hv+vrb++=had
few ^ap++++=few
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shared ^vbd+++xvbnx+=shared
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
most ^ql+emph+++=most
demagogues ^nns+++??+=demagogues,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
despised ^vpsv++agls+xvbnx+=despised
even ^rb++++=even
by ^in++++=by
those ^dt+dem+++=those
they ^pp3a+pp3+++=they
lead ^vb++++=lead
and ^cc+phrs+++=and
deceive ^vb++++=deceive.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
regretted ^vprf+++xvbn+=regretted
him ^pp3o+pp3+++=him
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
were ^vbd+bed+vrb++=were
actually ^rb+amp+++=actually
glad ^jj+pred+++=glad
at ^in++++=at
his ^pp$+pp3+++=his
fate ^nn++++=fate.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
conquerors ^nns++++=conquerors
must ^md+nec+++=must
be ^vb+be+vrb++=be
vindicated ^np++++=vindicated.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
never ^rb++++=never
do ^vb+do+aux++=do
to ^to++++=to
allow ^vbi++++=allow
a ^at++++=a
pale ^jj++++=pale-face
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
to ^to++++=to
obtain ^vbi++++=obtain
so ^ql++++=so
great ^np++++=great
an ^at++++=an
advantage ^nn+nom+++=advantage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
take ^vb++++=take
a ^at++++=a
signal ^nn++++=signal
vengeance ^nn+nom+++=vengeance
for ^in++++=for
his ^pp$+pp3+++=his
deeds ^nns++++=deeds.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
long ^jj+atrb+++=long
consultation ^nn+nom+++=consultation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
subject ^vb++++=subject
the ^ati++++=the
captive ^nn++++=captive
to ^in++++=to
the ^ati++++=the
trial ^nn++++=trial
by ^in++++=by
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
see ^vb+vprv+++=see
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
bear ^vb+vprv+++=bear
the ^ati++++=the
torture ^nn++++=torture
without ^in++++=without
complaining ^nn++++=complaining.
. ^zz++++=EXTRAWORD
As ^ql++++=As
some ^dti++++=some
of ^in++++=of
our ^pp$+pp1+++=our
readers ^nns+nom+++=readers
may ^md+pos+++=may
not ^xnot++not++=not
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
this ^dt+dem+++=this
fell ^nn+++xvbn+=fell
mode ^nn++++=mode
of ^in++++=of
tormenting ^xvbg+++xvbg+=tormenting
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
scarcely ^rb+down+++=scarcely
a ^at++++=a
method ^nn++++=method
of ^in++++=of
inflicting ^xvbg+++xvbg+=inflicting
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
comes ^vbz++++=comes
within ^in++++=within
the ^ati++++=the
compass ^nn++++=compass
of ^in++++=of
their ^pp$+pp3+++=their
means ^nn++++=means,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
North ^nr+pl+++=North
American ^jj+atrb+++=American
Indians ^nn++++=Indians
have ^vb+hv+vrb++=have
not ^xnot++not++=not
essayed ^jj+++xvbn+=essayed
on ^in++++=on
their ^pp$+pp3+++=their
enemies ^nns++++=enemies.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
infernal ^jj+atrb+++=infernal
ingenuity ^nn+nom+++=ingenuity
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
exercised ^vpsv++agls+xvbnx+=exercised
on ^in++++=on
these ^dt+dem+++=these
occasions ^nns++++=occasions
fails ^vbz++++=fails
of ^in++++=of
its ^pp$+it+++=its
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captives ^nns++++=captives
themselves ^ppls+pp3+++=themselves
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
to ^to+vcmp+++=to
suggest ^vbi+vpub+++=suggest
other ^ap++++=other
means ^nn++++=means
of ^in++++=of
torturing ^xvbg+++xvbg+=torturing
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
practised ^vbd+++xvbn+=practised
successfully ^rb++++=successfully
by ^in++++=by
their ^pp$+pp3+++=their
own ^ap++++=own
people ^nns++++=people.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
often ^rb++++=often
a ^at++++=a
strange ^jj+atrb+++=strange
strife ^nn++++=strife
between ^in++++=between
the ^ati++++=the
tormentors ^nns++++=tormentors
and ^cc++++=and
the ^ati++++=the
tormented ^jj+++xvbn+=tormented;
; ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
to ^to++++=to
manifest ^vbi++++=manifest
skill ^nn++++=skill
in ^in++++=in
inflicting ^xvbg+++xvbg+=inflicting
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
to ^to++++=to
manifest ^vbi++++=manifest
fortitude ^nn++++=fortitude
in ^in++++=in
enduring ^xvbg+++xvbg+=enduring
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
As ^ql++++=As
has ^vbz+hvz+aux++=has
just ^rb+emph+splt++=just
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
quite ^abl++++=quite
as ^ql++++=as
much ^ap++++=much
renown ^nn++++=renown
is ^vbz+bez+aux++=is
often ^rb++splt++=often
acquired ^vpsv++by+xvbnx+=acquired
by ^in++++=by
the ^ati++++=the
warrior ^nn++++=warrior,
, ^zz++++=EXTRAWORD
in ^in++++=in
setting ^xvbg+++xvbg+=setting
all ^abn++++=all
the ^ati++++=the
devices ^nns++++=devices
of ^in++++=of
his ^pp$+pp3+++=his
conquerors ^nns++++=conquerors
at ^in++++=at
defiance ^nn+nom+++=defiance,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
subject ^nn++++=subject
to ^in++++=to
their ^pp$+pp3+++=their
hellish ^jj+atrb+++=hellish
attempts ^nns++++=attempts,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
deeds ^nns++++=deeds
of ^in++++=of
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
be ^vb+be+vrb++=be
more ^rbr++++=more
true ^jj+pred+++=true
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
such ^abl++++=such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
practice ^nn++++=practice
among ^in++++=among
the ^ati++++=the
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
than ^in++++=than
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
present ^jj+atrb+++=present
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
such ^abl++++=such
is ^vbz+bez+vrb++=is;
; ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certain ^jj+pred+++=certain
that ^tht+jcmp+++=that
civilization ^nn+nom+++=civilization
in ^in++++=in
its ^pp$+it+++=its
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
in ^in++++=in
many ^ap++++=many
particulars ^nns++++=particulars
even ^rb++++=even
degraded ^jj++++=degraded
the ^ati++++=the
red ^jj+atrb+++=red
man ^nn++++=man,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
a ^at++++=a
silent ^jj+atrb+++=silent
effect ^nn++++=effect
in ^in++++=in
changing ^xvbg+++xvbg+=changing
and ^cc++++=and
mitigating ^xvbg+++xvbg+=mitigating
many ^ap++++=many
of ^in++++=of
his ^pp$+pp3+++=his
fiercer ^jjr+atrb+++=fiercer
customs ^nns++++=customs
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
the ^ati++++=the
more ^rbr++++=more
distant ^jj+atrb+++=distant
tribes ^nns++++=tribes
still ^rb+atrb+++=still
resort ^nn++++=resort
to ^in++++=to
all ^abn++++=all
these ^dt+dem+++=these
ancient ^jj+atrb+++=ancient
usages ^nns++++=usages;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
both ^abx++++=both
hoped ^jj+++xvbn+=hoped
and ^cc+phrs+++=and
believed ^vb+++xvbn+=believed
that ^tht+vcmp+++=that
those ^dt+dem+++=those
nearer ^in+cmpx+++=nearer
to ^in"++++=to
the ^ati++++=the
whites ^nns++++=whites
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="torture
torture ^nn++++=EXTRAWORD
by ^in++++=by
saplings ^nns+nom+++=saplings"
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
modes ^nns++++=modes
of ^in++++=of
inflicting ^xvbg+++xvbg+=inflicting
pain ^nn++++=pain
that ^tht+rel+subj++=that
would ^md+prd+++=would
naturally ^rb++splt++=naturally
suggest ^vb+vpub+++=suggest
themselves ^ppls+pp3+++=themselves
to ^in++++=to
savages ^nns+nom+++=savages.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
trees ^nns++++=trees
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
stand ^vb++++=stand
far ^rb+pl+++=far
apart ^in++++=apart
are ^vb+ber+aux++=are
trimmed ^vpsv++agls+xvbnx+=trimmed
of ^in++++=of
their ^pp$+pp3+++=their
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
nearer ^in+cmpx+++=nearer
to ^in"++++=to
each ^dt++++=each
other ^ap++++=other
by ^in++++=by
bending ^xvbg+++xvbg+=bending
their ^pp$+pp3+++=their
bodies ^nns++++=bodies;
; ^zz++++=EXTRAWORD
the ^ati++++=the
victim ^nn++++=victim
is ^vbz+bez+aux++=is
then ^rn+tm+splt++=then
attached ^vpsv++agls+xvbnx+=attached
to ^in++++=to
both ^abx++++=both
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
by ^in++++=by
his ^pp$+pp3+++=his
extended ^jj+atrb++xvbn+=extended
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
at ^rb++++=at
others ^aps++++=others
by ^in++++=by
his ^pp$+pp3+++=his
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
whatever ^nn+nom+++=whatever
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
frame ^nn++++=frame
cruelty ^nn++++=cruelty
can ^md+pos+++=can
suggest ^vb+vpub+++=suggest,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
saplings ^nns+nom+++=saplings
are ^vb+ber+aux++=are
released ^vpsv++agls+xvbnx+=released,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
permitted ^vb+++xvbn+=permitted
to ^to+vcmp+++=to
resume ^vbi++++=resume
their ^pp$+pp3+++=their
upright ^jj+atrb+++=upright
positions ^nns+nom+++=positions.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sufferer ^nn+nom+++=sufferer
is ^vbz+bez+aux++=is
lifted ^vpsv++agls+xvbnx+=lifted
from ^in++++=from
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hangs ^vbz++++=hangs
suspended ^vpsv++by+xvbn+=suspended
by ^in++++=by
his ^pp$+pp3+++=his
limbs ^nns++++=limbs,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strain ^nn++++=strain
on ^in++++=on
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
soon ^rb+tm+++=soon
produces ^vbz++++=produces
the ^ati++++=the
most ^ql+emph+++=most
intense ^jj+atrb+++=intense
anguish ^nn++++=anguish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
celebrated ^jj+atrb++xvbn+=celebrated
punishment ^nn+nom+++=punishment
of ^in++++=of
the ^ati++++=the
" ^zz++++="knout"
knout ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
partakes ^nns+++??+=partakes
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
this ^dt+dem+++=this
same ^ap++++=same
character ^nn+nom+++=character
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
Bough ^nn++++=Bough
of ^in++++=of
the ^ati++++=the
Oak ^nn++++=Oak
now ^rn+tm+++=now
approached ^vbd+++xvbn+=approached
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
to ^to++++=to
let ^vbi++++=let
him ^pp3o+pp3+++=him
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
high ^jj++++=high
an ^at++++=an
honor ^nn++++=honor
was ^vbd+bedz+vrb++=was
in ^in++++=in
reserve ^nn++++=reserve
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,"
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
this ^dt+dem+++=this
ambitious ^jj+atrb+++=ambitious
orator ^nn++++=orator,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
brave ^jj+atrb+++=brave
warrior ^nn++++=warrior.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
killed ^vbd+++xvbn+=killed
one ^pn++++=one
of ^in++++=of
our ^pp$+pp1+++=our
chiefs ^nns++++=chiefs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
wounded ^vprf+++xvbnx+=wounded
several ^ap++++=several
of ^in++++=of
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
men ^nns++++=men.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
but ^cc++++=but
a ^at++++=a
brave ^nn++++=brave
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
forced ^vprf+++xvbnx+=forced
us ^pp1o+pp1+++=us
to ^to++++=to
bind ^vbi++++=bind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
you ^pp2+pp2+++=you
might ^md+pos+++=might
kill ^vb++++=kill
some ^dti++++=some
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
often ^rb++++=often
that ^cs+sub+++=that
captives ^vbz++++=captives
do ^vb+do+vrb++=do
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
courage ^nn+nom+++=courage
has ^vbz+hvz+aux++=has
caused ^vprf+++xvbnx+=caused
us ^pp1o+pp1+++=us
to ^to++++=to
consult ^vbi++++=consult
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
might ^md+pos+++=might
best ^jjt+atrb+++=best
torture ^nn++++=torture
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
way ^nn++++=way
most ^ql+emph+++=most
to ^to++++=to
manifest ^vbi++++=manifest
your ^pp$+pp2+++=your
manhood ^nn+nom+++=manhood.
. ^zz++++=EXTRAWORD
After ^in++++=After
talking ^xvbg+++xvbg+=talking
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chiefs ^nns++++=chiefs
have ^vb+hv+aux++=have
decided ^vprf+++xvbnx+=decided
that ^tht+vcmp+++=that
a ^at++++=a
man ^nn++++=man
of ^in++++=of
your ^pp$+pp2+++=your
firmness ^nns+nom+++=firmness
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
hung ^vbd+++xvbn+=hung
between ^in++++=between
two ^cd++++=two
young ^jj+atrb+++=young
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
cut ^vprf+++xvbnx+=cut
off ^rb+phrv+++=off
their ^pp$+pp3+++=their
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
a ^rb++++=a
little ^rb"++++=little
larger ^jjr++++=larger
their ^pp$+pp3+++=their
force ^nn++++=force
would ^md+prd+++=would
be ^vb+be+vrb++=be
greater ^jjr+pred+++=greater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=would
give ^vb++++=give
you ^pp2+pp2+++=you
more ^rbr++++=more
pain ^nn++++=pain
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
worthy ^jj+pred+++=worthy
of ^in++++=of
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
the ^ati++++=the
largest ^jjt+atrb+++=largest
saplings ^nns+nom+++=saplings
we ^pp1a+pp1+++=we
could ^md+pos+++=could
find ^vb+vprv+++=find.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
there ^ex+pex+++=there
been ^vprf+ben+vrb+xvbn+=been
any ^dti++++=any
larger ^jjr++++=larger,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=would
have ^vb+hv+aux++=have
let ^vprf+++xvbnx+=let
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
do ^vbi++++=do
you ^pp2+pp2+++=you
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
bold ^jj+atrb+++=bold
warrior ^nn++++=warrior,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worthy ^jj++++=worthy
to ^to++++=to
be ^vbi+vbi+aux++=be
well ^rb++++=well
tormented ^vbd+++xvbn+=tormented.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
these ^dt+dem+++=these
saplings ^nns+nom+++=saplings!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
