Than ^in++++=Than
unfortunate ^jj+atrb+++=unfortunate
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
to ^in++++=to
mope ^nn+++??+=mope
and ^cc++++=and
scowl ^nn++++=scowl
through ^in++++=through
a ^at++++=a
whole ^jj+atrb+++=whole
summer ^nn++++=summer's
's ^$++++=EXTRAWORD
day ^nn++++=day,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
laugh ^vbi++++=laugh
as ^ql++++=as
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
better ^jjr+atrb+++=better
reason ^nn++++=reason
than ^in++++=than
the ^ati++++=the
gay ^jj+atrb+++=gay
or ^cc+phrs+++=or
gloomy ^jj+atrb+++=gloomy
crotchets ^nns++++=crotchets
of ^in++++=of
my ^pp$+pp1+++=my
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
joint ^jjb+atrb+++=joint
sufferers ^nns+nom+++=sufferers
of ^in++++=of
a ^at++++=a
three ^cd++++=three
months ^nns++++=months'
' ^zz++++=EXTRAWORD
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
met ^vpsv++agls+xvbn+=met
like ^in++++=like
mutual ^jj+atrb+++=mutual
ghosts ^nns++++=ghosts
in ^in++++=in
the ^ati++++=the
first ^od++++=first
days ^nns++++=days
of ^in++++=of
convalescence ^nn+nom+++=convalescence.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
love ^nn++++=love,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
has ^vbz+hvz+aux++=has
looked ^vprf+++xvbnx+=looked
passionate ^jj++++=passionate
and ^cc+phrs+++=and
tender ^jj++++=tender;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
mistress ^nns+nom+++=mistress
discard ^vb++++=discard
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
too ^rb++++=too
susceptible ^jj+atrb+++=susceptible
gentleman ^nn+nom+++=gentleman
grew ^vbd+++xvbn+=grew
lackadaisical ^jj++++=lackadaisical.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
rises ^vbz++++=rises
to ^in++++=to
blood ^nn++++=blood
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
boiling ^nvbg+++xvbg+=boiling-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
beat ^vbd+++xvbn+=beat,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
measure ^nn++++=measure
of ^in++++=of
any ^dti++++=any
wrong ^jj++++=wrong
which ^whp+who+++=which
might ^md+pos+++=might
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
fallen ^vprf+++xvbn+=fallen
entirely ^rb+amp+++=entirely
on ^in++++=on
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
been ^vprf+ben+aux+xvbnx+=been
calmed ^vpsv++agls+xvbnx+=calmed
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
inordinate ^jj+atrb+++=inordinate
wrath ^nn++++=wrath
depicted ^vwbn+++xvbn+=depicted
on ^in++++=on
his ^pp$+pp3+++=his
frowning ^jj+atrb++xvbg+=frowning
brow ^nn++++=brow.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
prompt ^jj++++=prompt
in ^in++++=in
taking ^xvbg+++xvbg+=taking
up ^rp++++=up
my ^pp$+pp1+++=my
quarrels ^nns++++=quarrels,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
call ^vb++++=call
to ^in++++=to
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
ever ^rb++++=ever
struck ^vbd+++xvbn+=struck
a ^at++++=a
downright ^jjb+atrb+++=downright
blow ^nn++++=blow
in ^in++++=in
my ^pp$+pp1+++=my
behalf ^nn++++=behalf;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
perceive ^vb+vprv+++=perceive
that ^tht+vcmp+++=that
any ^dti++++=any
real ^jj++++=real
and ^cc+phrs+++=and
tangible ^jj++++=tangible
good ^jj++++=good
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
from ^in++++=from
his ^pp$+pp3+++=his
constant ^jj+atrb+++=constant
interference ^nn+nom+++=interference
in ^in++++=in
my ^pp$+pp1+++=my
affairs ^nns++++=affairs;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
distrustful ^jj+atrb+++=distrustful
moods ^nns++++=moods,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
suspect ^vbi+vprv+++=suspect
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np++++=Miroir's
's ^$++++=EXTRAWORD
sympathy ^nn++++=sympathy
to ^to++++=to
be ^vbi++vrb++=be
mere ^jjb++++=mere
outward ^jjb++++=outward
show ^vb+vprv+++=show,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
whit ^nn+++??+=whit
better ^jjr++++=better
nor ^cc+phrs+neg++=nor
worse ^jjr++++=worse
than ^in++++=than
other ^ap++++=other
people ^nns++++=people's
's ^$++++=EXTRAWORD
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
as ^ql++++=as
mortal ^nn++++=mortal
man ^nn++++=man
must ^md+nec+++=must
have ^vb+hv+vrb++=have
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
the ^ati++++=the
true ^jj+atrb+++=true
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
copper ^nn++++=copper-washed,
- ^zz++++=EXTRAWORD
washed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
of ^in++++=of
less ^rbr++++=less
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
choose ^vb++++=choose
rather ^rb++++=rather
to ^in++++=to
content ^nn++++=content
myself ^ppl+pp1+++=myself
with ^in++++=with
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir's,
's, ^nn+++??+=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
than ^in++++=than
to ^to++++=to
seek ^vbi++++=seek
the ^ati++++=the
sterling ^nn+nom+++=sterling
coin ^nn++++=coin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
miss ^npt++++=miss
even ^rb++++=even
the ^ati++++=the
counterfeit ^nn+++??+=counterfeit.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
age ^nn++++=age
of ^in++++=of
vanities ^nns+nom+++=vanities
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
ballroom ^nn++++=ballroom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
again ^rb+tm+++=again
were ^vbd+bed+vrb++=were
I ^pp1a+pp1+++=I
to ^to++++=to
seek ^vbi++++=seek
him ^pp3o+pp3+++=him
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
encountered ^vprf+++xvbnx+=encountered
each ^ppls++++=each
other ^ap++++=other
at ^in++++=at
the ^ati++++=the
Tremont ^np+++??+=Tremont
Theatre ^nn++++=Theatre,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat
neither ^rb++neg++=neither
in ^in++++=in
the ^ati++++=the
dress ^nn++++=dress-circle,
- ^zz++++=EXTRAWORD
circle ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pit ^nn++++=pit,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
upper ^jjb+atrb+++=upper
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
threw ^vbd+++xvbn+=threw
a ^at++++=a
single ^jj+atrb+++=single
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
star ^nn++++=star,
, ^zz++++=EXTRAWORD
even ^rb++++=even
Fanny ^np++++=Fanny
Kemble ^np+++??+=Kemble
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
culminating ^vbg+++xvbgx+=culminating
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
whimsical ^jj+atrb+++=whimsical
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine
chose ^vbd+++xvbn+=chose
to ^to++++=to
linger ^vbi++++=linger
in ^in++++=in
the ^ati++++=the
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
large ^nn++++=large
looking ^vwbg+++xvbg+=looking-glasses
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
which ^whp+rel+subj++=which
throw ^vb++++=throw
back ^jjb++++=back
their ^pp$+pp3+++=their
pictures ^nns++++=pictures
of ^in++++=of
the ^ati++++=the
illuminated ^jj+atrb++xvbn+=illuminated
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
full ^jj++++=full
of ^in++++=of
these ^dt+dem+++=these
unaccountable ^jj+atrb+++=unaccountable
eccentricities ^nns+nom+++=eccentricities
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
never ^rb++++=never
like ^vb++++=like
to ^to+vcmp+++=to
notice ^vbi+vprv+++=notice
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
to ^to++++=to
acknowledge ^vbi+vpub+++=acknowledge
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
connection ^nn+nom+++=connection
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
places ^nns++++=places
of ^in++++=of
public ^jj+atrb+++=public
resort ^nn++++=resort.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
no ^at++++=no
scruple ^nn++++=scruple
about ^in++++=about
claiming ^xvbg+vpub+tht0+xvbg+=claiming
my ^pp$+pp1+++=my
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
his ^pp$+pp3+++=his
common ^jj++++=common-sense,
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
any ^dti++++=any,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
teach ^vb+vsua+++=teach
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
as ^in++++=as
willingly ^rb++++=willingly
exchange ^vb++++=exchange
a ^at++++=a
nod ^nn++++=nod
with ^in++++=with
the ^ati++++=the
Old ^jj+atrb+++=Old
Nick ^np++++=Nick.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
but ^cc++++=but
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
into ^in+ppvb+++=into
a ^at++++=a
large ^jj+atrb+++=large
brass ^nn++++=brass
kettle ^nn++++=kettle
at ^in++++=at
the ^ati++++=the
entrance ^nn+nom+++=entrance
of ^in++++=of
a ^at++++=a
hardware ^nn++++=hardware-store,
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thrust ^nn+++xvbn+=thrust
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
new ^jj++++=new
warming ^jj+++xvbg+=warming-pan,
- ^zz++++=EXTRAWORD
pan ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
most ^ql+emph+++=most
merciless ^jj+atrb+++=merciless
look ^nn++++=look
of ^in++++=of
recognition ^nn+nom+++=recognition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+dem+++=these
childish ^jj+atrb+++=childish
tricks ^nns++++=tricks
make ^vb++++=make
decent ^jj+atrb+++=decent
people ^nns++++=people
rather ^rb++++=rather
shy ^jj++++=shy
of ^in++++=of
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subject ^nn++++=subject
him ^pp3o+pp3+++=him
to ^to++++=to
more ^rbr++++=more
dead ^jj+atrb+++=dead
cuts ^nns++++=cuts
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
gentleman ^nn+nom+++=gentleman
in ^in++++=in
town ^nn++++=town.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
this ^dt+dem+++=this
singular ^jj+atrb+++=singular
person ^nn++++=person's
's ^$++++=EXTRAWORD
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
peculiarities ^nns+nom+++=peculiarities
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
fondness ^nns+nom+++=fondness
for ^in++++=for
water ^nn++++=water,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
he ^pp3a+pp3+++=he
excels ^vbz++++=excels
any ^dti++++=any
temperance ^nn+nom+++=temperance
man ^nn++++=man
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
owned ^vpsv++agls+xvbnx+=owned,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
drink ^vbi++++=drink
it ^pp3+it+++=it
( ^zz++++=(in
in ^in++++=EXTRAWORD
which ^whp+rel+pied++=which
respect ^nn++++=respect
a ^at++++=a
very ^ql+amp+++=very
moderate ^jj+atrb+++=moderate
quantity ^nn+nom+++=quantity
will ^md+prd+++=will
answer ^vb++++=answer
his ^pp$+pp3+++=his
occasions ^nns++++=occasions)
) ^zz++++=EXTRAWORD
as ^in++++=as
to ^in++++=to
souse ^nn+++??+=souse
himself ^ppl+pp3+++=himself
over ^in++++=over
head ^jjb++++=head
and ^cc++++=and
ears ^nns++++=ears
wherever ^nn+nom+++=wherever
he ^pp3a+pp3+++=he
may ^md+pos+++=may
meet ^vb++++=meet
with ^in+ppvb+++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
merman ^nn++++=merman,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
born ^vpsv++agls+xvbn+=born
of ^in++++=of
a ^at++++=a
mermaid ^nn+++??+=mermaid's
's ^$++++=EXTRAWORD
marriage ^nn+nom+++=marriage
with ^in++++=with
a ^at++++=a
mortal ^nn++++=mortal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
amphibious ^jj++++=amphibious
by ^in++++=by
hereditary ^jj+atrb+++=hereditary
right ^nn++++=right,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
children ^nns++++=children
which ^whp+rel+obj++=which
the ^ati++++=the
old ^jj+atrb+++=old
river ^nn++++=river
deities ^nns+nom+++=deities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nymphs ^nns+++??+=nymphs
of ^in++++=of
fountains ^nns++++=fountains,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
to ^in++++=to
earthly ^jj+atrb+++=earthly
love ^nn++++=love.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
no ^at++++=no
cleaner ^jjr++++=cleaner
bathing ^jj+++xvbg+=bathing-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
at ^in++++=at
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
foolish ^jj++++=foolish
fellow ^jjb++++=fellow
in ^in++++=in
a ^at++++=a
horse ^nn++++=horse-pond.
- ^zz++++=EXTRAWORD
pond ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
times ^nns++++=times
he ^pp3a+pp3+++=he
refreshes ^vbz+++??+=refreshes
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
trough ^nn++++=trough
of ^in++++=of
a ^at++++=a
town ^nn++++=town-pump,
- ^zz++++=EXTRAWORD
pump ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
caring ^xvbg+++xvbg+=caring
what ^wdt+who+++=what
the ^ati++++=the
people ^nns++++=people
think ^vb+vprv+++=think
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Often ^rb+cnj+++=Often,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
carefully ^rb++++=carefully
picking ^vbg+++xvbg+=picking
my ^pp$+pp1+++=my
way ^nn++++=way
along ^in++++=along
the ^ati++++=the
street ^nn++++=street
after ^in++++=after
a ^at++++=a
heavy ^jj+atrb+++=heavy
shower ^nn++++=shower,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
scandalized ^jj++++=scandalized
to ^to++++=to
see ^vbi+vprv+++=see
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
in ^in++++=in
full ^jj+atrb+++=full
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
paddling ^nn+nom+++=paddling
from ^in++++=from
one ^cd1++++=one
mud ^nn++++=mud-puddle
- ^zz++++=EXTRAWORD
puddle ^nn+++??+=EXTRAWORD
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plunging ^vbg+++xvbg+=plunging
into ^in++++=into
the ^ati++++=the
filthy ^jj+atrb+++=filthy
depths ^nns++++=depths
of ^in++++=of
each ^dt++++=each.
. ^zz++++=EXTRAWORD
Seldom ^rb++++=Seldom
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
peeped ^vbd+++xvbnx+=peeped
into ^in++++=into
a ^at++++=a
well ^rb++++=well
without ^in++++=without
discerning ^xvbg+++xvbg+=discerning
this ^dt+dem+++=this
ridiculous ^jj+atrb+++=ridiculous
gentleman ^nn+nom+++=gentleman
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
he ^pp3a+pp3+++=he
gazes ^nns+++??+=gazes
up ^rp++++=up,
, ^zz++++=EXTRAWORD
as ^ql++++=as
through ^in++++=through
a ^at++++=a
long ^jj+atrb+++=long
telescopic ^jj+atrb+++=telescopic
tube ^nn++++=tube,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probably ^rb++++=probably
makes ^vbz++++=makes
discoveries ^nns+nom+++=discoveries
among ^in++++=among
the ^ati++++=the
stars ^nns++++=stars
by ^in++++=by
daylight ^nn++++=daylight.
. ^zz++++=EXTRAWORD
Wandering ^vbg+++xvbg+=Wandering
along ^in++++=along
lonesome ^jj+atrb+++=lonesome
paths ^nns++++=paths
or ^cc++++=or
in ^in++++=in
pathless ^jj+atrb+++=pathless
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
virgin ^jjb+atrb+++=virgin
fountains ^nns++++=fountains
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
deem ^vb+++??+=deem
myself ^ppl+pp1+++=myself
the ^ati++++=the
first ^od++++=first
discoverer ^nn+nom+++=discoverer,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
started ^vprf+++xvbnx+=started
to ^to++++=to
find ^vbi+vprv+++=find
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
there ^rn+pl+++=there
before ^in++++=before
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
solitude ^nn++++=solitude
seemed ^vbd+seem++xvbn+=seemed
lonelier ^jjr++++=lonelier
for ^in++++=for
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
leaned ^vprf+++xvbnx+=leaned
from ^in++++=from
a ^at++++=a
precipice ^nn++++=precipice
that ^tht+rel+obj++=that
frowns ^nns+++??+=frowns
over ^rp++++=over
Lake ^npl++++=Lake
George ^np++++=George,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
French ^nn++++=French
call ^vb++++=call
nature ^nn++++=nature's
's ^$++++=EXTRAWORD
font ^vpsv++agls+xvbnx+=font
of ^in++++=of
sacramental ^jj+atrb+++=sacramental
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
used ^vbd+++xvbn+=used
it ^pp3+it+++=it
in ^in++++=in
their ^pp$+pp3+++=their
log ^&fo++++=log-churches
- ^zz++++=EXTRAWORD
churches ^nns++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
their ^pp$+pp3+++=their
cathedrals ^nns+nom+++=cathedrals
beyond ^in++++=beyond
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seen ^vprf+++xvbn+=seen
him ^pp3o+pp3+++=him
far ^rb+pl+++=far
below ^in+pl+++=below
in ^cs+sub+++=in
that ^cs"++++=that
pure ^jj+atrb+++=pure
element ^nn+nom+++=element.
. ^zz++++=EXTRAWORD
At ^in++++=At
Niagara ^np+++??+=Niagara,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
would ^md+prd+++=would
gladly ^rb++++=gladly
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
both ^abx++++=both
myself ^ppl+pp1+++=myself
and ^cc++++=and
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
help ^vb++++=help
observing ^vbg+vprv++xvbg+=observing
my ^pp$+pp1+++=my
companion ^nn++++=companion
in ^in++++=in
the ^ati++++=the
smooth ^jj+atrb+++=smooth
water ^nn++++=water
on ^in++++=on
the ^ati++++=the
very ^ap+amp+++=very
verge ^nn++++=verge
of ^in++++=of
the ^ati++++=the
cataract ^nn++++=cataract
just ^rb+emph+++=just
above ^jjb++++=above
the ^ati++++=the
Table ^nn++++=Table
Rock ^nn++++=Rock.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
I ^pp1a+pp1+++=I
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
sources ^nns++++=sources
of ^in++++=of
the ^ati++++=the
Nile ^np++++=Nile,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
he ^pp3a+pp3+++=he
be ^vb+be+vrb++=be
another ^ppls++++=another
Ladurlad ^np+++??+=Ladurlad,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
garments ^nns+nom+++=garments
the ^ati++++=the
depth ^nn++++=depth
of ^in++++=of
ocean ^nn++++=ocean
could ^md+pos+++=could
not ^xnot++not++=not
moisten ^vb++++=moisten,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
conceive ^vbi+vprv+++=conceive
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
keeps ^vbz++++=keeps
himself ^ppl+pp3+++=himself
