Towards ^in++++=Towards
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Blank ^jj++++=Blank!
! ^zz++++=EXTRAWORD
Blank ^jj+atrb+++=Blank
slopes ^nns++++=slopes
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side,
, ^zz++++=EXTRAWORD
with ^in++++=with
never ^rb++++=never
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
a ^at++++=a
decent ^jj+atrb+++=decent
beast ^nn++++=beast
or ^cc++++=or
tree ^nn++++=tree--much
-- ^--+clp+++=EXTRAWORD
much ^ap++++=EXTRAWORD
less ^rbr++++=less
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
land ^nn++++=land
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
wilderness ^nns+nom+++=wilderness!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
again ^rb+tm+++=again
into ^in++++=into
his ^pp$+pp3+++=his
former ^ap++++=former
pose ^nn++++=pose.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
filled ^vbd+++xvbn+=filled
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
momentary ^jj+atrb+++=momentary
pleasure ^nn++++=pleasure
to ^to++++=to
see ^vbi+vprv+++=see
a ^at++++=a
wry ^jj+atrb+++=wry
stick ^nn++++=stick
of ^in++++=of
purple ^jj+atrb+++=purple
black ^jj+atrb+++=black
flash ^nn++++=flash
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
a ^at++++=a
snake ^nn++++=snake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanish ^vb++++=vanish
amidst ^in++++=amidst
the ^ati++++=the
brown ^nn++++=brown.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
infernal ^jj+atrb+++=infernal
valley ^nn++++=valley
Was ^vbd+bedz+vrb++=WAS
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^to++++=to
rejoice ^vbi++++=rejoice
him ^pp3o+pp3+++=him
still ^rb++++=still
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
a ^rb++++=a
little ^rb"++++=little
breath ^nn++++=breath
across ^in+pl+++=across
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
a ^at++++=a
whisper ^vb+vpub+tht0++=whisper
that ^tht+vcmp+++=that
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
inclination ^nn+nom+++=inclination
of ^in++++=of
a ^at++++=a
stiff ^jj++++=stiff
black ^jj++++=black-antlered
- ^zz++++=EXTRAWORD
antlered ^jj+atrb++xvbn+=EXTRAWORD
bush ^nn++++=bush
upon ^in++++=upon
a ^rb++++=a
little ^rb"++++=little
crest ^nn++++=crest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
intimations ^nns+nom+++=intimations
of ^in++++=of
a ^at++++=a
possible ^jj+atrb+++=possible
breeze ^nn++++=breeze.
. ^zz++++=EXTRAWORD
Idly ^rb++++=Idly
he ^pp3a+pp3+++=he
wetted ^vbd+++xvbnx+=wetted
his ^pp$+pp3+++=his
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pulled ^vbd+++xvbnx+=pulled
up ^rp++++=up
sharply ^rb++++=sharply
to ^to++++=to
avoid ^vbi++++=avoid
a ^at++++=a
collision ^nn++++=collision
with ^in++++=with
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
at ^rb++++=at
fault ^nn++++=fault
upon ^in++++=upon
the ^ati++++=the
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
at ^rb++++=at
that ^dt+dem+++=that
guilty ^jj+atrb+++=guilty
moment ^nn++++=moment
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
looking ^vwbg+++xvbg+=looking
towards ^in++++=towards
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
he ^pp3a+pp3+++=he
forced ^vbd+++xvbnx+=forced
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
tracking ^nn++++=tracking.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
rode ^vbd+++xvbnx+=rode
on ^in++++=on
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
shadow ^nn++++=shadow
and ^cc++++=and
hat ^nn++++=hat
and ^cc++++=and
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
appearing ^vbg+seem++xvbg+=appearing
and ^cc+phrs+++=and
disappearing ^vbg+seem++xvbg+=disappearing
behind ^in+pl+++=behind
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man's
's ^$++++=EXTRAWORD
nearer ^rbr++++=nearer
contours ^nns++++=contours.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
ridden ^vprf+++xvbnx+=ridden
four ^cd++++=four
days ^nns++++=days
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
very ^ql+amp+++=very
limits ^nns++++=limits
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
into ^in++++=into
this ^dt+dem+++=this
desolate ^jj+atrb+++=desolate
place ^nn++++=place,
, ^zz++++=EXTRAWORD
short ^jj++++=short
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
with ^in++++=with
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
dried ^jj+atrb++xvbn+=dried
meat ^nn++++=meat
under ^in++++=under
their ^pp$+pp3+++=their
saddles ^nns++++=saddles,
, ^zz++++=EXTRAWORD
over ^in++++=over
rocks ^nns++++=rocks
and ^cc++++=and
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
surely ^rb++++=surely
none ^rb++++=none
but ^cc++++=but
these ^dt+dem+++=these
fugitives ^nns++++=fugitives
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
before ^in+strn+++=before--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
for ^in++++=for
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb+atrb+++=mere
wilful ^jj+atrb+++=wilful
child ^nn++++=child!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
man ^nn++++=man
had ^vb+hv+vrb++=had
whole ^jj+atrb+++=whole
cityfuls ^nns+nom+++=cityfuls
of ^in++++=of
people ^nns++++=people
to ^to++++=to
do ^vbi++++=do
his ^pp$+pp3+++=his
basest ^jjt+atrb+++=basest
bidding ^nvbg+++xvbg+=bidding--girls,
-- ^--+clp+++=EXTRAWORD
girls ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
women ^nns++++=women!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
passionate ^jj+atrb+++=passionate
folly ^nn++++=folly
this ^dt+dem+++=this
one ^cd1++++=one
in ^rb++++=in
particular ^rb"++++=particular?
? ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scowled ^vpsv++agls+xvbn+=scowled
at ^in++++=at
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
licked ^vbd+++xvbn+=licked
his ^pp$+pp3+++=his
parched ^jj+atrb+++=parched
lips ^nns++++=lips
with ^in++++=with
a ^at++++=a
blackened ^jj+atrb+++=blackened
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
the ^ati++++=the
master ^nn++++=master,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
all ^abn++++=all
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
sought ^vbd+++xvbnx+=sought
to ^to++++=to
evade ^vbi++++=evade
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
His ^pp$+pp3+++=His
eye ^nn++++=eye
caught ^vbd+++xvbn+=caught
a ^at++++=a
whole ^jj+atrb+++=whole
row ^nn++++=row
of ^in++++=of
high ^jj+atrb+++=high
plumed ^jj+atrb+++=plumed
canes ^nns++++=canes
bending ^vwbg+++xvbg+=bending
in ^in++++=in
unison ^nn++++=unison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
tails ^nn++++=tails
of ^in++++=of
silk ^nn++++=silk
that ^tht+rel+subj++=that
hung ^vwbn+++xvbn+=hung
before ^cs+sub+++=before
his ^pp$+pp3+++=his
neck ^nn++++=neck
flapped ^vbd+++xvbn+=flapped
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
breeze ^nn++++=breeze
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
stronger ^jjr++++=stronger.
. ^zz++++=EXTRAWORD
Somehow ^rb++++=Somehow
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
the ^ati++++=the
stiff ^jj+atrb+++=stiff
stillness ^nns+nom+++=stillness
out ^rp+pl+++=out
of ^in++++=of
things ^nns++++=things--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
well ^rb++++=well.
. ^zz++++=EXTRAWORD
" ^zz++++="Hullo!"
hullo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man.
. ^zz++++=EXTRAWORD
All ^abn++++=All
three ^cd++++=three
stopped ^vbd+++xvbn+=stopped
abruptly ^rb++++=abruptly.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
master ^nn++++=master.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Over
over ^in++++=EXTRAWORD
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
up ^rp++++=up
the ^ati++++=the
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Something
something ^pn++++=EXTRAWORD
coming ^jj+++xvbg+=coming
towards ^in++++=towards
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
a ^at++++=a
yellow ^jj+atrb+++=yellow
animal ^nn++++=animal
crested ^jj++++=crested
a ^at++++=a
rise ^nn++++=rise
and ^cc++++=and
came ^vbd+++xvbn+=came
bearing ^vbg+++xvbg+=bearing
down ^rp++++=down
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big
wild ^jj+atrb+++=wild
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
before ^in++++=before
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
tongue ^nn++++=tongue
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
steady ^jj+atrb+++=steady
pace ^nn++++=pace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
running ^nvbg+++xvbg+=running
with ^in++++=with
such ^abl++++=such
an ^at++++=an
intensity ^nn+nom+++=intensity
of ^in++++=of
purpose ^nn++++=purpose
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
horsemen ^nns++++=horsemen
he ^pp3a+pp3+++=he
approached ^vbd+++xvbnx+=approached.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ran ^vbd+++xvbnx+=ran
with ^in++++=with
his ^pp$+pp3+++=his
nose ^nn++++=nose
up ^rp++++=up,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
scent ^nn++++=scent
nor ^cc++neg++=nor
quarry ^nn++++=quarry.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
nearer ^rbr++++=nearer
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
felt ^vbd+vprv++xvbn+=felt
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mad ^jj++++=mad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
rider ^nn++++=rider.
. ^zz++++=EXTRAWORD
" ^zz++++="Shout!"
shout ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shouted ^vbd+vpub++xvbn+=shouted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dog ^nn++++=dog
came ^vbd+++xvbn+=came
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
when ^wrb+who+++=when
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man's
's ^$++++=EXTRAWORD
blade ^nn++++=blade
was ^vbd+bedz+vrb++=was
already ^rb++++=already
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
swerved ^vbd+++xvbn+=swerved
aside ^rp++++=aside
and ^cc++++=and
went ^vbd+++xvbn+=went
panting ^vbg+++xvbg+=panting
by ^in++++=by
them ^pp3o+pp3+++=them
and ^cc++++=and
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
followed ^vbd+vprv++xvbn+=followed
its ^pp$+it+++=its
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
foam ^nn++++=foam,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
space ^nn++++=space
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver-studded
- ^zz++++=EXTRAWORD
studded ^vwbn+++xvbn+=EXTRAWORD
bridle ^nn++++=bridle
stared ^vbd+++xvbn+=stared
up ^rp++++=up
the ^ati++++=the
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
come ^vb++++=come
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
matter ^nn++++=matter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
jerked ^vbd+++xvbn+=jerked
his ^pp$+pp3+++=his
horse ^nn++++=horse
into ^in++++=into
movement ^nn+nom+++=movement
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
man ^nn++++=man
left ^vbd+++xvbn+=left
the ^ati++++=the
insoluble ^jj+atrb+++=insoluble
mystery ^nn+nom+++=mystery
of ^in++++=of
a ^at++++=a
dog ^nn++++=dog
that ^tht+rel+++=that
fled ^jj+++xvbn+=fled
from ^in++++=from
nothing ^pn++++=nothing
but ^cc++++=but
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lapsed ^vpsv++agls+xvbn+=lapsed
into ^in++++=into
profound ^jj+atrb+++=profound
musings ^nns++++=musings
on ^in++++=on
human ^jj+atrb+++=human
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vb++++=EXTRAWORD
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
it ^pp3+it+++=it
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
to ^to++++=to
one ^cd1++++=one
man ^nn++++=man
to ^to++++=to
say ^vbi+vpub+++=say
' ^zz++++='Come
come ^vb++++=EXTRAWORD
on ^in+strn+++=on!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
stupendous ^jj+atrb+++=stupendous
violence ^nn+nom+++=violence
of ^in++++=of
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Always ^rb+cnj+++=Always,
, ^zz++++=EXTRAWORD
all ^abn++++=all
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
saying ^vbg+++xvbgx+=saying
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it--!"
-- ^--+clp+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^vbd+++xvbn+=thought
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
people ^nns++++=people
marvelled ^vbd+++xvbn+=marvelled
when ^wrb+who+++=when
the ^ati++++=the
master ^nn++++=master
was ^vbd+bedz+aux++=was
disobeyed ^vpsv++agls+xvbnx+=disobeyed
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
wildest ^jjt+atrb+++=wildest
things ^nns++++=things.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
half ^abn++++=half-caste
- ^zz++++=EXTRAWORD
caste ^nn++++=EXTRAWORD
girl ^nn++++=girl
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
every ^vbi++++=every
one ^pn++++=one,
, ^zz++++=EXTRAWORD
mad ^jj++++=mad--blasphemous
-- ^--+clp+++=EXTRAWORD
blasphemous ^jj++++=EXTRAWORD
almost ^rb+hdg+++=almost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
on ^in++++=on
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
rider ^nn++++=rider
with ^in++++=with
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
lip ^nn++++=lip,
, ^zz++++=EXTRAWORD
as ^ql++++=as
stalwart ^jj++++=stalwart
as ^ql++++=as
his ^pp$+pp3+++=his
master ^nn++++=master,
, ^zz++++=EXTRAWORD
as ^ql++++=as
brave ^vb++++=brave
and ^cc++++=and,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
braver ^jjr++++=braver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
for ^in++++=for
him ^pp3o+pp3+++=him
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
obedience ^nn+nom+++=obedience,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
to ^to++++=to
give ^vbi++++=give
obedience ^nn+nom+++=obedience
duly ^rb++++=duly
and ^cc+phrs+++=and
stoutly ^rb++++=stoutly.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
Certain ^jj+atrb+++=Certain
sensations ^nns+nom+++=sensations
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees
called ^vbd+++xvbn+=called
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
back ^jjb++++=back
to ^to++++=to
more ^rbr++++=more
immediate ^jj+atrb+++=immediate
things ^nns++++=things.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
aware ^jj++++=aware
of ^in++++=of
something ^pn++++=something.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rode ^vbd+++xvbnx+=rode
up ^rp++++=up
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
gaunt ^np++++=gaunt
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
the ^ati++++=the
horses ^nns++++=horses?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
an ^at++++=an
undertone ^np++++=undertone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gaunt ^np++++=gaunt
face ^nn++++=face
looked ^vbd+++xvbn+=looked
interrogation ^nn+nom+++=interrogation.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
this ^dt+dem+++=this
wind ^nn++++=wind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dropped ^vpsv++agls+xvbn+=dropped
behind ^in+pl+++=behind
as ^ql++++=as
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
gaunt ^np++++=gaunt-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rode ^vbd+++xvbnx+=rode
on ^in++++=on
again ^rb+tm+++=again
for ^in++++=for
a ^at++++=a
space ^nn++++=space
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
foremost ^jj++++=foremost
two ^cd++++=two
rode ^vbd+++xvbn+=rode
downcast ^nn+++??+=downcast
upon ^in++++=upon
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hindmost ^jj+atrb+++=hindmost
man ^nn++++=man
watched ^vbd+++xvbn+=watched
the ^ati++++=the
haze ^nn++++=haze
that ^tht+rel+subj++=that
crept ^vprf+++xvbn+=crept
down ^rp++++=down
the ^ati++++=the
vastness ^nns+nom+++=vastness
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
nearer ^rbr++++=nearer
and ^cc+phrs+++=and
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
noted ^jj+++xvbn+=noted
how ^wrb+who+++=how
the ^ati++++=the
wind ^nn++++=wind
grew ^vbd+++xvbn+=grew
in ^in++++=in
strength ^nn++++=strength
moment ^nn++++=moment
by ^in++++=by
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
away ^rp+pl+++=away
on ^in++++=on
the ^ati++++=the
left ^nn+++xvbn+=left
he ^pp3a+pp3+++=he
