An ^at++++=An
circle ^nn++++=circle
skirmish ^jj++++=skirmish-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
covering ^vwbg+++xvbg+=covering
the ^ati++++=the
width ^nn++++=width
of ^in++++=of
the ^ati++++=the
thicket ^nn++++=thicket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commence ^nn+nom+++=commence
the ^ati++++=the
drive ^nn++++=drive
down ^rp++++=down
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
saddle ^nn++++=saddle
horses ^nns++++=horses
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
cut ^vpsv++agls+xvbnx+=cut
into ^in++++=into
two ^cd++++=two
bunches ^nns++++=bunches
and ^cc++++=and
driven ^vbd+++xvbn+=driven
down ^rp++++=down
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
readiness ^nns+nom+++=readiness
for ^in++++=for
the ^ati++++=the
men ^nns++++=men
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
emerged ^vbd+++xvbnx+=emerged
from ^in++++=from
the ^ati++++=the
chaparral ^nn+nom+++=chaparral,
, ^zz++++=EXTRAWORD
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
men ^nns++++=men
being ^vwbg+beg++xvbg+=being
detailed ^jj++++=detailed
as ^ql++++=as
horse ^np++++=horse
wranglers ^nns+nom+++=wranglers.
. ^zz++++=EXTRAWORD
Reese ^np+++??+=Reese
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
with ^in++++=with
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
men ^nns++++=men
to ^to++++=to
left ^vbi++++=left
flank ^nn++++=flank
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
deploying ^vbg+++xvbg+=deploying
his ^pp$+pp3+++=his
men ^nns++++=men
as ^in++++=as
far ^rb+pl+++=far
back ^jjb++++=back
as ^in++++=as
the ^ati++++=the
second ^od++++=second
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
close ^vb++++=close
his ^pp$+pp3+++=his
line ^nn++++=line
as ^in++++=as
the ^ati++++=the
drive ^nn++++=drive
moved ^vbd+++xvbn+=moved
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
Edwards ^np++++=Edwards
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
with ^in++++=with
twenty ^cd++++=twenty
picked ^jj+atrb++xvbn+=picked
men ^nns++++=men
down ^in++++=down
the ^ati++++=the
river ^nn++++=river
five ^cd++++=five
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
beef ^nn++++=beef
ford ^np++++=ford
at ^in++++=at
the ^ati++++=the
ripples ^nns++++=ripples.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
instructions ^nns+nom+++=instructions
were ^vbd+bed+vrb++=were
to ^in++++=to
cross ^nn++++=cross
and ^cc++++=and
scatter ^vb++++=scatter
his ^pp$+pp3+++=his
men ^nns++++=men
from ^in++++=from
the ^ati++++=the
ending ^jj+++xvbg+=ending
of ^in++++=of
the ^ati++++=the
salt ^jj+atrb+++=salt
plain ^nn++++=plain
to ^in++++=to
the ^ati++++=the
horseshoe ^nn+++??+=horseshoe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
concentrate ^nn+nom+++=concentrate
them ^pp3o+pp3+++=them
around ^in++++=around
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
termination ^nn+nom+++=termination
of ^in++++=of
the ^ati++++=the
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
allowed ^vpsv++agls+xvbnx+=allowed
the ^ati++++=the
best ^jjt+atrb+++=best
ropers ^nn++++=ropers
and ^cc++++=and
a ^at++++=a
number ^nn++++=number
of ^in++++=of
shotguns ^nns+++??+=shotguns,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
stationed ^vpsv++agls+xvbnx+=stationed
at ^rb++++=at
the ^ati++++=the
cattle ^nns++++=cattle
trails ^nns++++=trails
leading ^vwbg+++xvbg+=leading
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
at ^in++++=at
the ^ati++++=the
river ^npl++++=river's
's ^$++++=EXTRAWORD
bend ^nn++++=bend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remainder ^nn+nom+++=remainder,
, ^zz++++=EXTRAWORD
about ^in++++=about
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
men ^nns++++=men
under ^in++++=under
Lynch ^np+++??+=Lynch,
, ^zz++++=EXTRAWORD
formed ^j+++xvbn+=formed
a ^at++++=a
long ^rb++++=long
scattering ^vbg+++xvbg+=scattering
line ^nn++++=line
from ^in++++=from
the ^ati++++=the
left ^jj+atrb++xvbn+=left
entrance ^nn+nom+++=entrance
of ^in++++=of
the ^ati++++=the
horseshoe ^nn+++??+=horseshoe,
, ^zz++++=EXTRAWORD
extending ^vbg+++xvbg+=extending
back ^jjb++++=back
until ^cs+sub+++=until
it ^pp3+it+++=it
met ^vbd+++xvbn+=met
the ^ati++++=the
advancing ^jj+atrb++xvbg+=advancing
line ^nn++++=line
of ^in++++=of
Reese ^np++++=Reese's
's ^$++++=EXTRAWORD
pickets ^nns++++=pickets.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
river ^nn++++=river
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
this ^dt+dem+++=this
cordon ^nn++++=cordon
of ^in++++=of
foot ^nn++++=foot
and ^cc++++=and
horsemen ^nns++++=horsemen
on ^in++++=on
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
could ^md+pos+++=could
possibly ^rb++++=possibly
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
The ^ati++++=The
location ^nn+nom+++=location
of ^in++++=of
the ^ati++++=the
quarry ^nn++++=quarry
was ^vbd+bedz+aux++=was
almost ^rb+hdg+splt++=almost
assured ^vpsv++agls+xvbnx+=assured.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
chaparral ^jj++++=chaparral
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
breeding ^jj+atrb++xvbg+=breeding
refuge ^nn++++=refuge
of ^in++++=of
wolves ^nps++++=wolves
ever ^rb++++=ever
since ^cs+sub+++=since
the ^ati++++=the
Cimarron ^np+++??+=Cimarron
was ^vbd+bedz+vrb++=was
a ^at++++=a
cattle ^nns++++=cattle
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
rider ^nn++++=rider
on ^in++++=on
that ^dt+dem+++=that
range ^nn++++=range
for ^in++++=for
the ^ati++++=the
past ^jjb++++=past
ten ^cd++++=ten
years ^nns++++=years
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
rendezvous ^nn++++=rendezvous
of ^in++++=of
El ^np++++=El
Lobo ^np+++??+=Lobo,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
ravages ^nns+nom+++=ravages
of ^in++++=of
his ^pp$+pp3+++=his
nightly ^jj+atrb+++=nightly
raids ^nns++++=raids
were ^vbd+bed+vrb++=were
in ^in++++=in
evidence ^nn+nom+++=evidence
for ^in++++=for
forty ^cd++++=forty
miles ^nns++++=miles
in ^in++++=in
every ^at++++=every
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
common ^jj+atrb+++=common
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
during ^in++++=during
the ^ati++++=the
winter ^nn++++=winter
months ^nns++++=months,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
twenty ^cd++++=twenty
and ^cc++++=and
upward ^jjb++++=upward
in ^in++++=in
a ^at++++=a
band ^nn++++=band,
, ^zz++++=EXTRAWORD
leisurely ^jj++++=leisurely
returning ^jj+++xvbg+=returning
to ^in++++=to
their ^pp$+pp3+++=their
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
logy ^nn+++??+=logy
and ^cc++++=and
insolent ^jj++++=insolent
after ^in++++=after
a ^at++++=a
night ^nn++++=night's
's ^$++++=EXTRAWORD
raid ^nn++++=raid.
. ^zz++++=EXTRAWORD
To ^to++++=To
make ^vbi++++=make
doubly ^rb++++=doubly
sure ^jj++++=sure
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
at ^rb++++=at
home ^nr++++=home
to ^in++++=to
callers ^nns+nom+++=callers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
promoters ^nns+nom+++=promoters
of ^in++++=of
this ^dt+dem+++=this
drive ^nn++++=drive
gathered ^vbd+++xvbn+=gathered
a ^at++++=a
number ^nn++++=number
of ^in++++=of
worthless ^jj+atrb+++=worthless
lump ^nn++++=lump-jawed
- ^zz++++=EXTRAWORD
jawed ^jj+atrb++xvbn+=EXTRAWORD
cattle ^nns++++=cattle
two ^cd++++=two
days ^nns++++=days
in ^in++++=in
advance ^nn+nom+++=advance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
driving ^nvbg+++xvbg+=driving
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
shot ^jj+atrb++xvbn+=shot
one ^cd1++++=one
occasionally ^rb++++=occasionally
along ^in++++=along
its ^pp$+it+++=its
borders ^nns+nom+++=borders,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
hoped ^vpsv++agls+xvbnx+=hoped,
, ^zz++++=EXTRAWORD
spreading ^vbg+++xvbg+=spreading
the ^ati++++=the
last ^rb++++=last
feast ^nn++++=feast
of ^in++++=of
the ^ati++++=the
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
By ^in++++=By
half ^abn++++=half
past ^jjb++++=past
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
Encampment ^nn+nom+++=Encampment
Butte ^np+++??+=Butte
was ^vbd+bedz+aux++=was
deserted ^vpsv++agls+xvbnx+=deserted
with ^in+cmpx+++=with
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
a ^ap++++=a
few ^ap"++++=few
old ^jj+atrb+++=old
cowmen ^nns++++=cowmen,
, ^zz++++=EXTRAWORD
two ^cd++++=two
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
and ^cc++++=and
sister ^nn++++=sister
of ^in++++=of
a ^at++++=a
popular ^jj+atrb+++=popular
cowman ^nn++++=cowman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
from ^in++++=from
this ^dt+dem+++=this
point ^nn++++=point
of ^in++++=of
vantage ^nn+nom+++=vantage
surveyed ^vwbn+++xvbn+=surveyed
the ^ati++++=the
field ^nn++++=field
with ^in++++=with
a ^at++++=a
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Usually ^rb+down+++=Usually
a ^at++++=a
languid ^jj+atrb+++=languid
and ^cc+phrs+++=and
indifferent ^jj+atrb+++=indifferent
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Miller ^np++++=Miller
had ^vb+hv+aux++=had
so ^ql++++=so
set ^vb+++xvbn+=set
his ^pp$+pp3+++=his
heart ^nn++++=heart
on ^in++++=on
making ^xvbg+++xvbg+=making
this ^dt+dem+++=this
drive ^nn++++=drive
a ^at++++=a
success ^nns+nom+++=success
that ^tht+rel+obj++=that
this ^dt+dem+++=this
morning ^nn++++=morning
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
alert ^nn++++=alert
and ^cc++++=and
aggressive ^jj++++=aggressive
as ^ql++++=as
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
forward ^rb++++=forward
and ^cc++++=and
back ^jjb++++=back
across ^in+pl+++=across
the ^ati++++=the
plateau ^nn++++=plateau
of ^in++++=of
the ^ati++++=the
Butte ^np+++??+=Butte.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dull ^jj+atrb+++=dull,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
reports ^nns++++=reports
of ^in++++=of
several ^ap++++=several
shotguns ^vbz+++??+=shotguns
caused ^vprf+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^in++++=to
wheel ^nn++++=wheel
his ^pp$+pp3+++=his
horse ^nn++++=horse
and ^cc++++=and
cover ^vb++++=cover
the ^ati++++=the
beef ^nn++++=beef
ford ^np++++=ford
with ^in++++=with
his ^pp$+pp3+++=his
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
moment ^nn++++=moment
later ^rbr+tm+++=later
Edwards ^np++++=Edwards
and ^cc++++=and
his ^pp$+pp3+++=his
squad ^nn++++=squad
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen
with ^in++++=with
the ^ati++++=the
naked ^jj+atrb+++=naked
eye ^nn++++=eye
to ^in++++=to
scale ^nn++++=scale
the ^ati++++=the
bank ^nn++++=bank
and ^cc++++=and
strike ^nn++++=strike
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river
at ^rb++++=at
a ^at++++=a
gallop ^nn++++=gallop.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
the ^ati++++=the
ford ^np++++=ford
was ^vbd+bedz+vrb++=was
saddle ^nn++++=saddle-skirt
- ^zz++++=EXTRAWORD
skirt ^nn++++=EXTRAWORD
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
few ^ap++++=few
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
were ^vbd+bed+vrb++=were
strangers ^nns+nom+++=strangers
to ^in++++=to
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
that ^cs+sub+++=that
passed ^vprf+++xvbn+=passed
safely ^rb++++=safely
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
easier ^jjr++++=easier,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
blood ^nn++++=blood
coursed ^vbd+++xvbn+=coursed
quicker ^jjr++++=quicker.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lacked ^vbd+++xvbn+=lacked
but ^cc++++=but
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
to ^to++++=to
eleven ^cd++++=eleven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cave ^nn++++=Cave
and ^cc++++=and
his ^pp$+pp3+++=his
detachment ^nn+nom+++=detachment
of ^in++++=of
beaters ^nns+nom+++=beaters
were ^vbd+bed+vrb++=were
due ^jj+pred+++=due
to ^to+jcmp+++=to
move ^vbi++++=move
on ^in++++=on
the ^ati++++=the
stroke ^nn++++=stroke
of ^in++++=of
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
one ^cd1++++=one
hundred ^cd++++=hundred
rounds ^nns++++=rounds
of ^in++++=of
six ^cd++++=six-shooter
- ^zz++++=EXTRAWORD
shooter ^jjr+atrb+++=EXTRAWORD
ammunition ^nn+nom+++=ammunition
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
and ^cc++++=and
were ^vbd+bed+aux++=were
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
use ^vbi++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Edwards ^np++++=Edwards
and ^cc++++=and
his ^pp$+pp3+++=his
cavalcade ^nn+++??+=cavalcade
were ^vbd+bed+aux++=were
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
horseshoe ^nn+++??+=horseshoe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cordon ^nn++++=cordon
seemed ^vbd+seem++xvbn+=seemed
perfect ^jj++++=perfect,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
scattering ^vbg+++xvbg+=scattering,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
first ^od++++=first
faint ^vb++++=faint
sound ^jj++++=sound
of ^in++++=of
the ^ati++++=the
beaters ^nns+nom+++=beaters
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
moment ^nn++++=moment
the ^ati++++=the
barking ^nn++++=barking
of ^in++++=of
two ^cd++++=two
hundred ^cd++++=hundred
six ^cd++++=six-shooters
- ^zz++++=EXTRAWORD
shooters ^nns+nom+++=EXTRAWORD
was ^vbd+bedz+aux++=was
reechoing ^vbg+++xvbgx+=reechoing
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
valley ^nn++++=valley
of ^in++++=of
the ^ati++++=the
Salt ^jj+atrb+++=Salt
Fork ^nn++++=Fork.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drive ^nn++++=drive-hunt
- ^zz++++=EXTRAWORD
hunt ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
the ^ati++++=the
long ^rb++++=long
yell ^vb++++=yell
passed ^vbd+++xvbn+=passed
from ^in++++=from
the ^ati++++=the
upper ^jjb+atrb+++=upper
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove
to ^in++++=to
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
horseshoe ^nn+++??+=horseshoe
and ^cc++++=and
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
punctuated ^j+++xvbn+=punctuated
with ^in++++=with
an ^at++++=an
occasional ^jj++++=occasional
shot ^vpsv++by+xvbn+=shot
by ^in++++=by
irrepressibles ^nns+++??+=irrepressibles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mounts ^nns++++=mounts
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
were ^vbd+bed+vrb++=were
the ^ati++++=the
pick ^nn++++=pick
of ^in++++=of
over ^in++++=over
five ^cd++++=five
thousand ^cd++++=thousand
cow ^nn++++=cow-horses,
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
corn ^nn++++=corn-fed
- ^zz++++=EXTRAWORD
fed ^vwbn+++xvbn+=EXTRAWORD
for ^in++++=for
winter ^nn++++=winter
use ^nn++++=use,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
pink ^nn++++=pink
of ^in++++=of
condition ^nn+nom+++=condition
and ^cc++++=and
as ^in++++=as
impatient ^nn++++=impatient
for ^in++++=for
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
fray ^nn++++=fray
as ^in++++=as
their ^pp$+pp3+++=their
riders ^nns++++=riders.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
like ^in++++=like
clockwork ^nn++++=clockwork.
. ^zz++++=EXTRAWORD
Miller ^np++++=Miller
forsook ^nn+++??+=forsook
the ^ati++++=the
Butte ^np+++??+=Butte
and ^cc++++=and
rode ^vpsv++agls+xvbn+=rode
to ^in++++=to
the ^ati++++=the
upper ^jjb+atrb+++=upper
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
grove ^np++++=grove;
; ^zz++++=EXTRAWORD
the ^ati++++=the
beaters ^nns+nom+++=beaters
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
slow ^jj+atrb+++=slow
but ^cc+phrs+++=but
steady ^jj+atrb+++=steady
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
saddled ^jj+atrb++xvbn+=saddled
loose ^jj+atrb+++=loose
horses ^nns++++=horses
would ^md+prd+++=would
be ^vb+be+vrb++=be
at ^in++++=at
hand ^nn++++=hand
for ^in++++=for
their ^pp$+pp3+++=their
riders ^nns++++=riders
without ^in++++=without
any ^dti++++=any
loss ^nn++++=loss
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
beaters ^nns+nom+++=beaters
were ^vbd+bed+vrb++=were
one ^cd1++++=one
third ^od++++=third
over ^rp++++=over
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
a ^at++++=a
buck ^nn++++=buck
and ^cc++++=and
doe ^np++++=doe
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
about ^in++++=about
halfway ^rb++++=halfway
down ^in++++=down
the ^ati++++=the
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
sighted ^j+++xvbn+=sighted
the ^ati++++=the
horsemen ^nns++++=horsemen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
back ^rb+phrv+++=back
for ^in++++=for
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^rbr++++=more
the ^ati++++=the
long ^rb++++=long
yell ^vb++++=yell
went ^vbd+++xvbn+=went
down ^in++++=down
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Game ^nn++++=Game
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sighted ^vpsv++agls+xvbnx+=sighted.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
about ^in++++=about
one ^cd1++++=one
half ^nn++++=half
the ^ati++++=the
grove ^np++++=grove
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
beat ^vpsv++agls+xvbnx+=beat,
, ^zz++++=EXTRAWORD
a ^at++++=a
flock ^nn++++=flock
of ^in++++=of
wild ^jj+atrb+++=wild
turkeys ^nns+++??+=turkeys
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
lower ^jjr+atrb+++=lower
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taking ^jj+atrb++xvbg+=taking
flight ^nn++++=flight,
, ^zz++++=EXTRAWORD
sailed ^j+++xvbn+=sailed
over ^in++++=over
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Pandemonium ^np+++??+=Pandemonium
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
resolutions ^nns+nom+++=resolutions
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
existence ^nn+nom+++=existence
were ^vbd+bed+aux++=were
converted ^vpsv++agls+xvbnx+=converted
into ^in++++=into
paving ^xvbg+++xvbg+=paving
material ^nn++++=material
in ^in++++=in
the ^ati++++=the
excitement ^nn+nom+++=excitement
of ^in++++=of
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
carbine ^nn++++=carbine
or ^cc++++=or
six ^cd++++=six-shooter
- ^zz++++=EXTRAWORD
shooter ^jjr++++=EXTRAWORD
in ^in++++=in
or ^cc++++=or
out ^rp+pl+++=out
of ^in++++=of
range ^nn++++=range
rained ^vbd+++xvbn+=rained
its ^pp$+it+++=its
leaden ^jj+atrb++xvbn+=leaden
hail ^nn++++=hail
at ^in++++=at
the ^ati++++=the
flying ^jj+atrb++xvbg+=flying
covey ^nn++++=covey.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
fine ^jj+atrb+++=fine
bird ^nn++++=bird
was ^vbd+bedz+vrb++=was
accidentally ^rb++++=accidentally
winged ^jj+pred+++=winged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
men ^nns++++=men
broke ^vbd+++xvbn+=broke
from ^in++++=from
the ^ati++++=the
line ^nn++++=line
to ^to++++=to
run ^vbi++++=run
it ^pp3+it+++=it
down ^rp++++=down,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
whom ^whp+rel+pied++=whom
was ^vbd+bedz+vrb++=was
Reese ^np+++??+=Reese
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
line ^nn++++=line
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
dangerously ^rb++++=dangerously
broken ^jj+++xvbn+=broken
nor ^cc++neg++=nor
did ^vbd+dod+vrb++=did
harm ^nn++++=harm
result ^nn++++=result,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
their ^pp$+pp3+++=their
return ^vb++++=return
Miller ^np++++=Miller
was ^vbd+bedz+aux++=was
present ^vb++++=present
and ^cc+phrs+++=and
addressed ^vbd+++xvbn+=addressed
this ^dt+dem+++=this
query ^nn++++=query
to ^in++++=to
Reese ^np+++??+=Reese:
: ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
captain ^nn++++=captain
of ^in++++=of
this ^dt+dem+++=this
flank ^nn++++=flank
line ^nn++++=line?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He'll
he ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
weigh ^vb++++=weigh
twenty ^cd++++=twenty
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reese ^np+++??+=Reese,
, ^zz++++=EXTRAWORD
ignoring ^nvbg+++xvbg+=ignoring
the ^ati++++=the
question ^nn+nom+++=question
and ^cc++++=and
holding ^nvbg+++xvbg+=holding
the ^ati++++=the
gobbler ^jjr++++=gobbler
up ^rp++++=up
for ^in++++=for
inspection ^nn+nom+++=inspection.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
vealy ^jj+atrb+++=vealy
tow ^nn++++=tow-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
kid ^nn++++=kid,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+vrb++=have
something ^pn++++=something
