Philo ^np+++??+=Philo
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
of ^in++++=of
these ^dt+pdem+++=these
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
valuable ^jj+atrb+++=valuable
clue ^nn++++=clue.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
next ^rb++++=next
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
chicken ^nn++++=chicken
coop ^nn+++??+=coop.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
preeminently ^jj+pred+++=preeminently
a ^at++++=a
hand ^nn++++=hand-made
- ^zz++++=EXTRAWORD
made ^xvbn+++xvbn+=EXTRAWORD
chicken ^nns++++=chicken
coop ^nn+++??+=coop
of ^in++++=of
the ^ati++++=the
rough ^jj++++=rough-and-ready
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ready ^jj+atrb+++=EXTRAWORD
variety ^nn++++=variety.
. ^zz++++=EXTRAWORD
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
entered ^vbd+++xvbn+=entered
the ^ati++++=the
chicken ^nn++++=chicken-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
and ^cc++++=and
looked ^vbd+++xvbn+=looked
around ^rp++++=around,
, ^zz++++=EXTRAWORD
lighting ^nn++++=lighting
his ^pp$+pp3+++=his
dark ^jj+atrb+++=dark
lantern ^nn++++=lantern
and ^cc++++=and
throwing ^vbg+++xvbg+=throwing
its ^pp$+it+++=its
rays ^nns++++=rays
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
see ^vb+vprv+++=see
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
low ^jj++++=low
of ^in++++=of
roof ^nn++++=roof
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
to ^in++++=to
stoop ^nn+++??+=stoop
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
roosts ^nns+++??+=roosts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tails ^nn++++=tails
of ^in++++=of
the ^ati++++=the
chickens ^nns++++=chickens
brushed ^vbd+++xvbn+=brushed
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
needed ^vbd+++xvbn+=needed
brushing ^vbg+++xvbg+=brushing,
, ^zz++++=EXTRAWORD
so ^ql++++=so
this ^dt+pdem+++=this
did ^vbd+dod+vrb++=did
no ^at++++=no
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hens ^nns++++=hens
and ^cc++++=and
the ^ati++++=the
two ^cd++++=two
roosters ^nns+nom+++=roosters
complained ^vbd+vpub++xvbn+=complained
gently ^rb++++=gently
of ^in++++=of
this ^dt+dem+++=this
interruption ^nn+nom+++=interruption
of ^in++++=of
their ^pp$+pp3+++=their
beauty ^nn++++=beauty
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vpsv++agls+xvbn+=moved
along ^in++++=along
the ^ati++++=the
roosts ^nns+++??+=roosts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
went ^vbd+++xvbn+=went
outside ^jjb++++=outside
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
the ^ati++++=the
thief ^nn++++=thief
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
no ^at++++=no
great ^jj+atrb+++=great
hardships ^nns+nom+++=hardships
to ^to++++=to
undergo ^vbi++++=undergo
in ^in++++=in
robbing ^xvbg+++xvbg+=robbing
that ^dt+dem+++=that
roost ^nn++++=roost.
. ^zz++++=EXTRAWORD
All ^abn++++=All
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
was ^vbd+bedz+aux++=was
to ^to++++=to
enter ^vbi++++=enter
the ^ati++++=the
chicken ^nn++++=chicken-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
choose ^vb++++=choose
a ^at++++=a
chicken ^nn++++=chicken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walk ^nn++++=walk
away ^rp+pl+++=away
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
not ^xnot++not++=not
taken ^vbd+++xvbn+=taken
ten ^cd++++=ten
chickens ^nns++++=chickens?
? ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
the ^ati++++=the
keg ^nn+++??+=keg
hoop ^nn++++=hoop
over ^in++++=over
the ^ati++++=the
end ^nn++++=end
board ^nn++++=board
of ^in++++=of
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
studied ^j+++xvbn+=studied
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
The ^ati++++=The
theory ^nn++++=theory
that ^tht+ncmp+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
adopted ^vbd+++xvbn+=adopted
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
thief ^nn++++=thief,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
for ^in+ppvb+++=for
a ^at++++=a
raid ^nn++++=raid
on ^in++++=on
the ^ati++++=the
coop ^nn+++??+=coop,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
it ^pp3+it+++=it
so ^rb++++=so
poorly ^rb++++=poorly
guarded ^jj+++xvbn+=guarded.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
easy ^jj++++=easy
to ^to+jcmp+++=to
enter ^vbi++++=enter
the ^ati++++=the
coop ^nn+++??+=coop
and ^cc++++=and
steal ^vb++++=steal
the ^ati++++=the
chicken ^nn++++=chicken
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
decided ^vprf++tht0+xvbnx+=decided
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
folly ^nn++++=folly
to ^to++++=to
take ^vbi++++=take
eight ^cd++++=eight
or ^cc++++=or
ten ^cd++++=ten
chickens ^nns++++=chickens
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
arouse ^vb++++=arouse
instant ^jj+atrb+++=instant
suspicion ^nn++++=suspicion
and ^cc++++=and
reprisal ^nn+nom+++=reprisal.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
but ^cc++++=but
one ^pn++++=one,
, ^zz++++=EXTRAWORD
trusting ^vbg+++xvbg+=trusting
that ^tht+vcmp+++=that
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
one ^cd1++++=one
would ^md+prd+++=would
be ^vb+be+vrb++=be
unnoticed ^jj+pred+++=unnoticed
or ^cc++++=or
laid ^vpsv++agls+xvbn+=laid
to ^in++++=to
rats ^nns++++=rats
or ^cc++++=or
cats ^nns++++=cats
or ^cc++++=or
weasels ^nns+++??+=weasels.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
return ^vb++++=return
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
as ^ql++++=as
fowl ^vb+++??+=fowl
meat ^nn++++=meat
was ^vbd+bedz+aux++=was
needed ^vpsv++agls+xvbnx+=needed
or ^cc++++=or
desired ^jj+++xvbn+=desired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chickens ^nns++++=chickens
would ^md+prd+++=would
be ^vb+be+vrb++=be
like ^in++++=like
money ^nn++++=money
in ^in++++=in
the ^ati++++=the
bank ^nn++++=bank--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
fund ^nn++++=fund
on ^in++++=on
which ^whp+rel+pied++=which
to ^to++++=to
draw ^vbi++++=draw.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
theory ^nn++++=theory
was ^vbd+bedz+aux++=was
so ^ql++++=so
sound ^vb++++=sound
that ^dt+dem+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
believed ^vbd+vprv+tht0+xvbn+=believed
it ^pp3+it+++=it
would ^md+prd+++=would
require ^vb+vsua+++=require
nothing ^pn++++=nothing
more ^ql++++=more
than ^cs+sub+++=than
patience ^nn+nom+++=patience
to ^to++++=to
capture ^vbi++++=capture
the ^ati++++=the
criminal ^nn+nom+++=criminal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thief ^nn++++=thief
would ^md+prd+++=would
come ^vb++++=come
back ^jjb++++=back
for ^in++++=for
more ^ql++++=more
chickens ^nns++++=chickens!
! ^zz++++=EXTRAWORD
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
looked ^vbd+++xvbn+=looked
around ^rp++++=around
for ^in++++=for
an ^at++++=an
advantageous ^jj+atrb+++=advantageous
position ^nn+nom+++=position
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
await ^vbi++++=await
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
thief ^nn++++=thief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
unseen ^jj+pred+++=unseen
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
loose ^jj+atrb+++=loose
board ^nn++++=board
roof ^nn++++=roof
of ^in++++=of
the ^ati++++=the
brick ^nn++++=brick-kiln
- ^zz++++=EXTRAWORD
kiln ^nn++++=EXTRAWORD
met ^vbd+++xvbn+=met
his ^pp$+pp3+++=his
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
No ^at++++=No
position ^nn+nom+++=position
could ^md+pos+++=could
be ^vb+be+vrb++=be
better ^jjr+pred+++=better.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
ladder ^nn++++=ladder
inside ^in+pl+++=inside
the ^ati++++=the
kiln ^nn++++=kiln,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
boards ^nns++++=boards
aside ^rp++++=aside
enough ^qlp++++=enough
to ^to++++=to
permit ^vbi++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
squeeze ^vbi++++=squeeze
through ^in++++=through
onto ^in++++=onto
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
creeping ^jj+++xvbg+=creeping
carefully ^rb++++=carefully
over ^in++++=over
the ^ati++++=the
loose ^jj+atrb+++=loose
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
stretched ^vbd+++xvbnx+=stretched
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing--absolutely
-- ^--+clp+++=EXTRAWORD
absolutely ^rb+amp+++=EXTRAWORD
nothing ^pn++++=nothing--happened!
-- ^--+clp+++=EXTRAWORD
happened ^j+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
The ^ati++++=The
mosquitoes ^nns+++??+=mosquitoes,
, ^zz++++=EXTRAWORD
numerous ^jj++++=numerous
indeed ^rb++++=indeed
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
nearness ^nns+nom+++=nearness
of ^in++++=of
the ^ati++++=the
pond ^nn++++=pond,
, ^zz++++=EXTRAWORD
buzzed ^j+++xvbn+=buzzed
around ^rp++++=around
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
stung ^xvbn+++xvbn+=stung
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
neck ^nn++++=neck
and ^cc++++=and
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dare ^vb++++=dare
slap ^nn++++=slap
at ^rb++++=at
them ^pp3o+pp3+++=them
lest ^cs+sub+++=lest
he ^pp3a+pp3+++=he
betray ^vb++++=betray
his ^pp$+pp3+++=his
hiding ^vbg+++xvbg+=hiding-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hour ^nn++++=Hour
followed ^vbd+vprv++xvbn+=followed
hour ^nn++++=hour
and ^cc++++=and
no ^at++++=no
chicken ^nn++++=chicken
thief ^nn++++=thief
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
first ^od++++=first
rays ^nns++++=rays
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
lighted ^vbd+++xvbn+=lighted
the ^ati++++=the
east ^np+pl+++=east
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
down ^rp++++=down
and ^cc++++=and
stalked ^vbd+++xvbn+=stalked
stiffly ^rb++++=stiffly
away ^rp+pl+++=away
to ^in++++=to
a ^at++++=a
short ^jj+atrb+++=short
hour ^nn++++=hour
of ^in++++=of
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
night ^nn++++=night
the ^ati++++=the
Correspondence ^nn+nom+++=Correspondence
School ^nn++++=School
detective ^nn++++=detective
wasted ^vwbn+++xvbn+=wasted
no ^at++++=no
time ^nn++++=time
in ^in++++=in
preliminary ^jj+atrb+++=preliminary
observations ^nns+nom+++=observations
of ^in++++=of
the ^ati++++=the
lay ^nn++++=lay
of ^in++++=of
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
out ^rb+phrv+++=out
of ^in++++=of
sight ^nn++++=sight
until ^cs+sub+++=until
the ^ati++++=the
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
and ^cc++++=and
dusk ^nn++++=dusk
covered ^vbd+++xvbn+=covered
the ^ati++++=the
land ^nn++++=land
with ^in++++=with
shade ^nn++++=shade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
the ^ati++++=the
brick ^nn++++=brick-kiln.
- ^zz++++=EXTRAWORD
kiln ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
disguised ^vpsv++agls+xvbnx+=disguised
in ^in++++=in
a ^at++++=a
red ^jj+atrb+++=red
mustache ^nn+++??+=mustache,
, ^zz++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
flowing ^xvbg+++xvbg+=flowing
white ^jj+atrb+++=white
side ^nn++++=side-whiskers,
- ^zz++++=EXTRAWORD
whiskers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
woolen ^jj+atrb++xvbn+=woolen
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
two ^cd++++=two
revolvers ^nns+nom+++=revolvers--large
-- ^--+clp+++=EXTRAWORD
large ^jj+atrb+++=EXTRAWORD
ones ^pn++++=ones--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
a ^at++++=a
belt ^nn++++=belt
about ^in++++=about
his ^pp$+pp3+++=his
waist ^nn++++=waist.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
still ^rb++++=still
too ^ql++++=too
early ^jj++++=early
for ^in++++=for
brisk ^jj+atrb+++=brisk
business ^nns+nom+++=business
in ^in++++=in
chicken ^nn++++=chicken-stealing
- ^zz++++=EXTRAWORD
stealing ^nvbg+++xvbg+=EXTRAWORD
when ^wrb+who+++=when
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
climbed ^vbd+++xvbn+=climbed
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
the ^ati++++=the
kiln ^nn++++=kiln
and ^cc++++=and
spread ^nn+++xvbn+=spread
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
time ^nn++++=time
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes'
' ^zz++++=EXTRAWORD
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tremendously ^rb++++=tremendously
sleepy ^jj+pred+++=sleepy.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep
fairly ^rb++++=fairly
pushed ^vbd+++xvbn+=pushed
his ^pp$+pp3+++=his
eyelids ^nns++++=eyelids
down ^rp++++=down
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
crooked ^jj++++=crooked
arm ^vb++++=arm
under ^in++++=under
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
thinking ^xvbg+++xvbg+=thinking
fondly ^jj++++=fondly
of ^in++++=of
Syrilla ^np+++??+=Syrilla
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep
so ^ql++++=so
suddenly ^rb++++=suddenly
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
falling ^xvbg+++xvbg+=falling
off ^in+pl+++=off
a ^at++++=a
cliff ^nn++++=cliff
into ^in++++=into
dreamland ^nn++++=dreamland.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dreamed ^vbd+vprv++xvbnx+=dreamed,
, ^zz++++=EXTRAWORD
uneasily ^rb+cnj+++=uneasily,
, ^zz++++=EXTRAWORD
of ^in++++=of
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
captured ^vpsv++by+xvbnx+=captured
by ^in++++=by
an ^at++++=an
array ^nn++++=array
of ^in++++=of
forty ^cd++++=forty
chicken ^nn++++=chicken
thieves ^nns++++=thieves,
, ^zz++++=EXTRAWORD
of ^in++++=of
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
led ^vpsv++agls+xvbnx+=led
in ^in++++=in
triumph ^nn++++=triumph
before ^in++++=before
the ^ati++++=the
Supreme ^jj+atrb+++=Supreme
Court ^nn++++=Court
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
condemned ^vpsv++agls+xvbnx+=condemned
as ^ql++++=as
a ^at++++=a
Detective ^nn++++=Detective
Trust ^vb+vprv+++=Trust
on ^in++++=on
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
acting ^xvbg+++xvbg+=acting
in ^in++++=in
restraint ^nn++++=restraint
of ^in++++=of
trade ^nn++++=trade--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
injuring ^jj+++xvbg+=injuring
the ^ati++++=the
Chicken ^nn++++=Chicken
Stealers ^nns+nom++??+=Stealers'
' ^zz++++=EXTRAWORD
Association ^np+nom+++=Association's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
required ^vb+++xvbn+=required
to ^to+vcmp+++=to
dissolve ^vbi++++=dissolve
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dream ^nn++++=dream
was ^vbd+bedz+vrb++=was
agonizing ^jj+pred+++=agonizing
as ^ql++++=as
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
one ^cd1++++=one
dissolvent ^jj++++=dissolvent
after ^in++++=after
another ^ppls++++=another
without ^in++++=without
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Turpentine ^nn++++=Turpentine
merely ^rb+down+++=merely
dissolved ^vbd+++xvbn+=dissolved
his ^pp$+pp3+++=his
skin ^nn++++=skin;
; ^zz++++=EXTRAWORD
alcohol ^nn++++=alcohol
had ^vb+hv+vrb++=had
no ^at++++=no
effect ^nn++++=effect
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
imagined ^vbd+vprv+tht0+xvbnx+=imagined
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
long ^jj+atrb+++=long
room ^nn++++=room
in ^in++++=in
which ^whp+rel+pied++=which
stood ^vbd+++xvbn+=stood
vast ^jj+atrb+++=vast
rows ^nns++++=rows
of ^in++++=of
vats ^nns+++??+=vats
bearing ^vwbg+++xvbg+=bearing
different ^jj+atrb+++=different
labels ^nns++++=labels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
these ^dt+dem+++=these
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
obey ^vbi++++=obey
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nothing ^pn++++=nothing
seemed ^vbd+seem++xvbn+=seemed
capable ^jj++++=capable
of ^in++++=of
dissolving ^jj++++=dissolving
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
discovered ^vprf+++xvbn+=discovered
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
rubber ^nn++++=rubber.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
rubber ^nn++++=rubber
was ^vbd+bedz+vrb++=was
soluble ^jj+pred+++=soluble
in ^in++++=in
benzine ^nn+++??+=benzine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
on ^in++++=on
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
the ^ati++++=the
vats ^nns+++??+=vats,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
benzine ^nn+++??+=benzine
vat ^nn+++??+=vat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
many ^ap++++=many
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
arose ^vbd+++xvbnx+=arose
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
with ^in++++=with
ease ^nn++++=ease
and ^cc++++=and
grace ^nn++++=grace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flew ^vbd+++xvbn+=flew
a ^ap++++=a
few ^ap"++++=few
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
vat ^nn+++??+=vat
of ^in++++=of
benzine ^nn+++??+=benzine,
, ^zz++++=EXTRAWORD
immersed ^j+++xvbn+=immersed
himself ^ppl+pp3+++=himself
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
dissolve ^vbi++++=dissolve
calmly ^rb++++=calmly
and ^cc++++=and
with ^in++++=with
a ^at++++=a
blessed ^jj+atrb++xvbn+=blessed
sense ^nn++++=sense
of ^in++++=of
having ^nn+nn+aux++=having
done ^vwbn+++xvbn+=done
his ^pp$+pp3+++=his
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb
entered ^vbd+++xvbn+=entered
the ^ati++++=the
dreamless ^jj+atrb+++=dreamless
sleep ^nn++++=sleep
of ^in++++=of
the ^ati++++=the
utterly ^rb+amp+++=utterly
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
two ^cd++++=two
men ^nns++++=men
slunk ^nn+++??+=slunk
under ^in++++=under
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
the ^ati++++=the
brick ^nn++++=brick-kiln
- ^zz++++=EXTRAWORD
kiln ^nn++++=EXTRAWORD
and ^cc++++=and
after ^cs+sub+++=after
looking ^xvbg+++xvbg+=looking
