Heavy ^jj+atrb+++=Heavy
of ^in++++=of
the ^ati++++=the
planks ^nns++++=planks;
; ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
straight ^jj++++=straight
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
at ^in++++=at
any ^dti++++=any
moment ^nn++++=moment
to ^in++++=to
change ^nn++++=change
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
raft ^nn++++=raft.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
look ^vb++++=look
there ^rn+pl+++=there
at ^rb++++=at
your ^pp$+pp2+++=your
father ^nn++++=father
kissing ^vwbg+++xvbg+=kissing
Marka ^np+++??+=Marka!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Aren't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
devils ^nns++++=devils?
? ^zz++++=EXTRAWORD
No ^at++++=No
shame ^vb++++=shame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
away ^rb+phrv+++=away
from ^in"++++=from
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
away ^in+pl+++=away
from ^in"++++=from
these ^dt+dem+++=these
Pagan ^jj+atrb+++=Pagan
pigs ^nns++++=pigs?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Mitia ^np+++??+=Mitia
in ^in++++=in
a ^at++++=a
stifled ^jj+atrb++xvbn+=stifled
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
without ^in++++=without
looking ^nn++++=looking
toward ^in++++=toward
the ^ati++++=the
spot ^nn++++=spot
which ^whp+rel+obj++=which
Sergei ^np+++??+=Sergei
pointed ^vbd+++xvbn+=pointed
to ^in++++=to
through ^in++++=through
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
Mitia ^np++++=Mitia's
's ^$++++=EXTRAWORD
father ^nn++++=father
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
mocked ^vbd+++xvbn+=mocked
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
ironically ^rb++++=ironically.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
poor ^jj++++=poor
half ^abn++++=half-baked
- ^zz++++=EXTRAWORD
baked ^jj+atrb++xvbn+=EXTRAWORD
creature ^nn++++=creature!
! ^zz++++=EXTRAWORD
A ^at++++=A
pleasant ^jj+atrb+++=pleasant
state ^nn++++=state
of ^in++++=of
things ^nns++++=things
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
encouraged ^xvbn+++xvbn+=encouraged
by ^in++++=by
the ^ati++++=the
apathy ^nn++++=apathy
of ^in++++=of
Mitia ^np+++??+=Mitia.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
devil ^nn++++=devil
that ^tht+rel+++=that
old ^jj+atrb+++=old
man ^nn++++=man
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
finds ^vbz+vprv+++=finds
a ^at++++=a
wife ^nn++++=wife
for ^in++++=for
his ^pp$+pp3+++=his
son ^nn++++=son;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
takes ^vbz++++=takes
the ^ati++++=the
son ^nn++++=son's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
away ^in+pl+++=away
from ^in"++++=from
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all's
's ^vbz+bez+vrb++0=EXTRAWORD
well ^jj+pred+++=well!
! ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj++++=old
brute ^jjb++++=brute!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
is ^vbz+bez+vrb++=is
silent ^jj+pred+++=silent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looks ^nns++++=looks
astern ^rb+pl+++=astern
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
another ^ppls++++=another
wall ^np++++=wall
of ^in++++=of
mist ^nn++++=mist
is ^vbz+bez+aux++=is
formed ^vpsv++agls+xvbnx+=formed.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
clouds ^nns++++=clouds
close ^jj++++=close
in ^in++++=in
all ^abn++++=all
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
raft ^nn++++=raft
hardly ^rb+down+++=hardly
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
be ^vbi+vbi+aux++=be
standing ^vbg+++xvbgx+=standing
still ^jj+pred+++=still
in ^in++++=in
the ^ati++++=the
thick ^jj+atrb+++=thick,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
water ^nn++++=water,
, ^zz++++=EXTRAWORD
crushed ^xvbn+++xvbn+=crushed
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
heavy ^jj+atrb+++=heavy
gray ^np++++=gray-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
vaporous ^jj+atrb+++=vaporous
masses ^nns++++=masses,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
drift ^nn++++=drift
across ^in+pl+++=across
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bar ^nn++++=bar
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
river ^nn++++=river
seems ^vbz+seem+++=seems
like ^in++++=like
a ^at++++=a
fathomless ^jj+atrb+++=fathomless,
, ^zz++++=EXTRAWORD
hidden ^jj+atrb++xvbn+=hidden
whirlpool ^nn++++=whirlpool,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
immense ^jj+atrb+++=immense
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
toward ^in++++=toward
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capped ^vpsv++agls+xvbn+=capped
with ^in++++=with
shrouding ^xvbg+++xvbg+=shrouding
mists ^nns++++=mists.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stillness ^nns+nom+++=stillness
suffocates ^nns+nom+++=suffocates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
water ^nn++++=water
seems ^vbz+seem+++=seems
spellbound ^jj++++=spellbound
with ^in++++=with
expectation ^nn+nom+++=expectation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
beats ^vbz++++=beats
softly ^rb++++=softly
against ^in++++=against
the ^ati++++=the
raft ^nn++++=raft.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj+atrb+++=great
sadness ^nns+nom+++=sadness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
timid ^jj+atrb+++=timid
questioning ^nvbg+++xvbg+=questioning
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard
in ^cs+sub+++=in
that ^cs"++++=that
faint ^jj++++=faint
sound ^jj++++=sound
the ^ati++++=the
only ^ap+down+++=only
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
accentuating ^vwbg+++xvbg+=accentuating
still ^rb++++=still
more ^rbr++++=more
the ^ati++++=the
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
a ^rb++++=a
little ^rb"++++=little
wind ^nn++++=wind
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sergei ^np+++??+=Sergei.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
exactly ^rb++++=exactly
wind ^vb++++=wind
we ^pp1a+pp1+++=we
want ^vb++++=want
that ^dt+pdem+++=that
would ^md+prd+++=would
bring ^vb++++=bring
rain ^nn++++=rain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replies ^vbz+vpub+++=replies
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
begins ^vbz++++=begins
to ^to++++=to
fill ^vbi++++=fill
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
A ^at++++=A
match ^nn++++=match
strikes ^vbz++++=strikes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bubbling ^jj+++xvbg+=bubbling
sound ^jj++++=sound
of ^in++++=of
a ^at++++=a
pipe ^nn++++=pipe
being ^xvbg+++xvbg+=being
lighted ^vbd+++xvbn+=lighted
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
A ^at++++=A
red ^jj+atrb+++=red
gleam ^nn++++=gleam
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
throwing ^vbg+++xvbg+=throwing
a ^at++++=a
glow ^nn++++=glow
over ^in++++=over
the ^ati++++=the
big ^jj+atrb+++=big
face ^nn++++=face
of ^in++++=of
Sergei ^np+++??+=Sergei;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
light ^nn++++=light
dies ^vbz++++=dies
down ^in++++=down
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
" ^zz++++="Mitia!"
mitia ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cries ^nns++++=cries.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
less ^rbr++++=less
brutal ^jj++++=brutal
and ^cc++++=and
more ^rbr++++=more
mocking ^jj+++xvbg+=mocking.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replies ^vbz+vpub+++=replies
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
without ^in++++=without
moving ^xvbg+++xvbg+=moving
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
from ^in++++=from
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
be ^vb+be+aux++=be
seems ^vbz+seem+++=seems
with ^in++++=with
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
sad ^jj+atrb+++=sad
eyes ^nns++++=eyes
to ^to++++=to
be ^vbi+vbi+aux++=be
searching ^vbg+++xvbgx+=searching
for ^in++++=for
something ^pn++++=something.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
happen ^vb+++??+=happen,
, ^zz++++=EXTRAWORD
mate ^nn++++=mate?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
happen ^vb+++??+=happen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answers ^nns+nom+++=answers
Mitia ^np+++??+=Mitia,
, ^zz++++=EXTRAWORD
displeased ^jj++++=displeased.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
marry ^vbi++++=marry?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
queer ^jj+atrb+++=queer
set ^nn+++xvbn+=set
out ^rp+pl+++=out!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
brought ^vbd+++xvbn+=brought
your ^pp$+pp2+++=your
wife ^nn++++=wife
home ^nr++++=home!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
Ha ^uh++++=Ha!
! ^zz++++=EXTRAWORD
ha ^uh++++=ha!
! ^zz++++=EXTRAWORD
ha ^uh++++=ha!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
cackling ^nn+nom+++=cackling
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look
out ^rp+pl+++=out
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
threateningly ^rb++++=threateningly
across ^in+pl+++=across
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
" ^zz++++="Damned
damned ^jj+atrb++xvbn+=EXTRAWORD
beast ^nn++++=beast!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ejaculates ^nns+nom+++=ejaculates
with ^in++++=with
delight ^nn++++=delight
Sergei ^np+++??+=Sergei;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returns ^nns++++=returns
to ^in++++=to
the ^ati++++=the
theme ^nn++++=theme
that ^tht+rel+obj++=that
interests ^nns++++=interests
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia;
; ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
at ^rb++++=at
once ^rb"+tm+++=once
why ^wrb+who+++=why
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia
murmurs ^nns++++=murmurs
entreatingly ^rb++++=entreatingly;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
once ^rb+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
knowing ^vbg+vprv++xvbg+=knowing
by ^in++++=by
experience ^nn+nom+++=experience
that ^tht+rel+obj++=that
Sergei ^np+++??+=Sergei
will ^md+prd+++=will
not ^xnot++not++=not
leave ^nn++++=leave
him ^pp3o+pp3+++=him
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
begins ^vbz++++=begins
hurriedly ^rb++++=hurriedly:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
her ^pp$+pp3+++=her
home ^nr++++=home
and ^cc++++=and
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
Marka ^np+++??+=Marka;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
strong ^jj+atrb+++=strong
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
feeble ^jj+atrb+++=feeble,
, ^zz++++=EXTRAWORD
sick ^jj+atrb+++=sick
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
wish ^vb+vprv+++=wish
at ^rb++++=at
all ^abn++++=all
to ^to++++=to
marry ^vbi++++=marry
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
father ^nn++++=father
would ^md+prd+++=would
force ^vb++++=force
me ^pp1o+pp1+++=me
to ^to++++=to
marry ^vbi++++=marry.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
saying ^vbg+++xvbgx+=saying
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
' ^zz++++='Get
get ^vb++++=EXTRAWORD
married ^vwbn+++xvbn+=married!
! ^zz++++=EXTRAWORD
Get ^vb++++=Get
married ^vwbn+++xvbn+=married!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
women ^nns++++=women,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
especially ^rb+cnj+++=especially,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
too ^ql++++=too
bold ^np++++=bold.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
and ^cc++++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand?
? ^zz++++=EXTRAWORD
For ^in++++=For
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
disgusts ^nns+++??+=disgusts
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^in++++=a
sin ^in"++++=sin.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
children ^nns++++=children
one ^cd1++++=one
is ^vbz+bez+vrb++=is
answerable ^jj+pred+++=answerable
to ^in++++=to
God ^np++++=God
for ^in++++=for
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Disgusts,"
disgusts ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
yells ^nns+++??+=yells
Sergei ^np+++??+=Sergei
and ^cc++++=and
laughs ^nns++++=laughs.
. ^zz++++=EXTRAWORD
" ^zz++++="Well!
well ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
Marka ^np+++??+=Marka
reply ^nn++++=reply?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
now ^rn+tm+++=now?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
against ^in++++=against
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
so ^ql++++=so
dreadfully ^rb++++=dreadfully
ugly ^jj++++=ugly?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
shameless ^jj+pred+++=shameless,
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wicked ^jj++++=wicked!
! ^zz++++=EXTRAWORD
' ^zz++++='With
with ^in++++=EXTRAWORD
all ^abn++++=all
this ^dt+dem+++=this
health ^nn++++=health
and ^cc++++=and
strength ^nn++++=strength
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^in++++=to
my ^pp$+pp1+++=my
father ^nn++++=father-in-law?'
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered:
: ^zz++++=EXTRAWORD
' ^zz++++='If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like
go ^vb++++=go
where ^wrb+who+++=where
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
act ^nn++++=act
against ^in++++=against
my ^pp$+pp1+++=my
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
love ^nn++++=love
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
and ^cc++++=and
good ^jj++++=good;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
being ^vbg+beg++xvbg+=being
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
possible ^jj++++=possible?
? ^zz++++=EXTRAWORD
Father ^nn++++=Father
Ivan ^np++++=Ivan
says ^vbz+vpub+tht0++=says
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
deadliest ^jjt+atrb+++=deadliest
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
not ^xnot++not++=not
beasts ^nns++++=beasts,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
on ^in++++=on
crying ^xvbg+++xvbg+=crying:
: ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
ruined ^vprf+++xvbnx+=ruined
my ^pp$+pp1+++=my
chances ^nns+nom+++=chances
in ^in++++=in
life ^nn++++=life!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
pitied ^vbd+++xvbnx+=pitied
her ^pp3o+pp3+++=her
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
' ^zz++++='It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
' ^zz++++='things
things ^nns++++=EXTRAWORD
will ^md+prd+++=will
come ^vprf+++xvbn+=come
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
go ^vb++++=go
into ^in++++=into
a ^at++++=a
convent ^nn++++=convent.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
insult ^vbi++++=insult
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
stupid ^jj++++=stupid
fool ^jjb++++=fool,
, ^zz++++=EXTRAWORD
Mitia ^np+++??+=Mitia!
! ^zz++++=EXTRAWORD
a ^at++++=a
coward! ^nn+++??+=coward!'"
