According ^in+cmpx+++=According
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
believed ^vbd+vprv++xvbnx+=believed.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
evil ^nn++++=evil
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
tormenting ^vbg+++xvbgx+=tormenting
the ^ati++++=the
world ^nn++++=world
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
to ^to++++=to
be ^vbi+vbi+aux++=be
concentrated ^vpsv++agls+xvbnx+=concentrated
in ^in++++=in
a ^at++++=a
" ^zz++++="red
red ^jj+atrb+++=EXTRAWORD
flower ^nn++++=flower,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
red ^jj+atrb+++=red
flower ^nn++++=flower.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
but ^cc++++=but
necessary ^jj++++=necessary
to ^to+jcmp+++=to
tear ^vb++++=tear
it ^pp3+it+++=it
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
incessant ^jj++++=incessant,
, ^zz++++=EXTRAWORD
heart ^nn++++=heart-rending
- ^zz++++=EXTRAWORD
rending ^jj+atrb++xvbg+=EXTRAWORD
cries ^nns++++=cries
and ^cc++++=and
moans ^nns++++=moans
which ^whp+rel+obj++=which
rise ^nn++++=rise
to ^in++++=to
the ^ati++++=the
indifferent ^jj+atrb+++=indifferent
sky ^nn++++=sky
from ^in++++=from
all ^abn++++=all
points ^nns++++=points
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
like ^in++++=like
its ^pp$+it+++=its
natural ^jj+atrb+++=natural
breathing ^nvbg+++xvbg+=breathing,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
silenced ^vpsv++agls+xvbnx+=silenced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evil ^nn++++=evil
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
believed ^vbd+vprv++xvbnx+=believed,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
in ^in++++=in
the ^ati++++=the
evil ^nn++++=evil
will ^md+prd+++=will
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
madness ^nns+nom+++=madness
of ^in++++=of
the ^ati++++=the
people ^nn++++=people.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
themselves ^ppls+pp3+++=themselves
were ^vbd+bed+aux++=were
to ^to++++=to
blame ^vbi++++=blame
for ^in++++=for
being ^xvbg+++xvbg+=being
unhappy ^jj++++=unhappy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=could
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
wished ^vbd+vprv++xvbnx+=wished.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
seemed ^jj+++xvbn+=seemed
so ^ql++++=so
clear ^vb++++=clear
and ^cc++++=and
simple ^jj++++=simple
that ^cs+sub+++=that
Max ^np++++=Max
was ^vbd+bedz+aux++=was
dumfounded ^vpsv++agls+xvbnx+=dumfounded
in ^in++++=in
his ^pp$+pp3+++=his
amazement ^nn+nom+++=amazement
at ^in++++=at
human ^jj+atrb+++=human
stupidity ^nn+nom+++=stupidity.
. ^zz++++=EXTRAWORD
Humanity ^nn+nom+++=Humanity
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him
of ^in++++=of
a ^at++++=a
crowd ^nn++++=crowd
huddled ^vbd+++xvbn+=huddled
together ^nn+nom+++=together
in ^in++++=in
a ^at++++=a
spacious ^jj+atrb+++=spacious
temple ^nn++++=temple
and ^cc++++=and
panic ^nn++++=panic-stricken
- ^zz++++=EXTRAWORD
stricken ^jj++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
cry ^nn++++=cry
of ^in++++=of
" ^zz++++="Fire!"
fire ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
passing ^xvbg+++xvbg+=passing
calmly ^rb++++=calmly
through ^in++++=through
the ^ati++++=the
wide ^jj+atrb+++=wide
doors ^nns++++=doors
and ^cc++++=and
saving ^nvbg+++xvbg+=saving
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maddened ^jj+atrb++xvbn+=maddened
people ^nns++++=people,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
cruelty ^nn++++=cruelty
of ^in++++=of
frenzied ^jj+atrb+++=frenzied
beasts ^nns++++=beasts,
, ^zz++++=EXTRAWORD
cry ^nn++++=cry
and ^cc++++=and
roar ^nn++++=roar,
, ^zz++++=EXTRAWORD
crush ^vb++++=crush
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
perish ^vb++++=perish--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
fire ^nn++++=fire
( ^zz++++=(for
for ^in++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
imaginary ^jj+pred+++=imaginary),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
their ^pp$+pp3+++=their
own ^ap++++=own
madness ^nns+nom+++=madness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
enough ^dt++++=enough
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
one ^cd1++++=one
sensible ^jj+atrb+++=sensible,
, ^zz++++=EXTRAWORD
firm ^jj+atrb+++=firm
word ^nn++++=word
is ^vbz+bez+aux++=is
uttered ^vpsv++agls+xvbnx+=uttered
to ^in++++=to
this ^dt+dem+++=this
crowd ^nn++++=crowd--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
crowd ^nn++++=crowd
calms ^vbz++++=calms
down ^rp++++=down
and ^cc++++=and
imminent ^jj+atrb+++=imminent
death ^nn++++=death
is ^vbz+bez+aux++=is
thus ^rb+cnj+splt++=thus
averted ^vpsv++agls+xvbnx+=averted.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
a ^at++++=a
hundred ^cd++++=hundred
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
rational ^jj+atrb+++=rational
voices ^nns++++=voices
be ^vb+be+aux++=be
raised ^vpsv++agls+xvbnx+=raised
to ^to+vcmp+++=to
mankind ^vb++++=mankind,
, ^zz++++=EXTRAWORD
showing ^nvbg+++xvbg+=showing
them ^pp3o+pp3+++=them
where ^wrb+who+++=where
to ^to++++=to
escape ^vbi++++=escape
and ^cc+cls+++=and
where ^wrb+who+++=where
the ^ati++++=the
danger ^nn++++=danger
lies ^vbz++++=lies--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
heaven ^nn++++=heaven
will ^md+prd+++=will
be ^vb+be+aux++=be
established ^vpsv++agls+xvbnx+=established
on ^in++++=on
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^rb++++=at
least ^rb"++++=least
within ^in++++=within
a ^at++++=a
very ^ql+amp+++=very
brief ^jj+atrb+++=brief
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
began ^vbd+++xvbn+=began
to ^to++++=to
utter ^vbi++++=utter
his ^pp$+pp3+++=his
word ^nn++++=word
of ^in++++=of
wisdom ^nn++++=wisdom.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
he ^pp3a+pp3+++=he
uttered ^vbd+++xvbnx+=uttered
it ^pp3+it+++=it
you ^pp2+pp2+++=you
will ^md+prd+++=will
learn ^vb+vprv+++=learn
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
of ^in++++=of
Max ^np++++=Max
was ^vbd+bedz+aux++=was
mentioned ^vpsv++agls+xvbnx+=mentioned
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
shouted ^j+++xvbn+=shouted
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
places ^nns++++=places,
, ^zz++++=EXTRAWORD
blessed ^j+++xvbn+=blessed
and ^cc+phrs+++=and
cursed ^jj+++xvbn+=cursed;
; ^zz++++=EXTRAWORD
whole ^jj+atrb+++=whole
books ^nns++++=books
were ^vbd+bed+aux++=were
written ^vpsv++agls+xvbnx+=written
on ^in++++=on
what ^wdt+who+++=what
Max ^np++++=Max
N+1 ^np+++??+=N+1
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
appeared ^vbd+seem++xvbnx+=appeared
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
and ^cc++++=and
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
standing ^vbg+++xvbg+=standing
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
commanding ^jj+++xvbg+=commanding
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
chains ^nns++++=chains
and ^cc++++=and
under ^in++++=under
the ^ati++++=the
knife ^nn++++=knife
of ^in++++=of
the ^ati++++=the
guillotine ^nn++++=guillotine.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
respect ^nn++++=respect
Max ^np++++=Max
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
any ^dti++++=any
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
A ^at++++=A
preacher ^nn+nom+++=preacher
of ^in++++=of
humility ^nn+nom+++=humility
and ^cc++++=and
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
a ^at++++=a
stern ^jj+atrb+++=stern
bearer ^nn++++=bearer
of ^in++++=of
fire ^nn++++=fire
and ^cc++++=and
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same
Max ^np++++=Max--Max
-- ^--+clp+++=EXTRAWORD
max ^np++++=EXTRAWORD
the ^ati++++=the
believer ^nn+nom+++=believer.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
time ^nn++++=time
kept ^vbd+++xvbn+=kept
passing ^vbg+++xvbg+=passing
on ^rb+phrv+++=on.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
nerves ^nns++++=nerves
were ^vbd+bed+aux++=were
shattered ^vpsv++agls+xvbnx+=shattered;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wavy ^jj+atrb+++=wavy
locks ^nns++++=locks
became ^vbd+++xvbn+=became
thin ^jj++++=thin
and ^cc++++=and
his ^pp$+pp3+++=his
head ^nn++++=head
began ^vbd+++xvbn+=began
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
Elijah ^np++++=Elijah
the ^ati++++=the
Prophet ^nn++++=Prophet;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
piercing ^jj+atrb++xvbg+=piercing
pain.. ^nn+++??+=pain....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
continued ^vbd+++xvbn+=continued
to ^to++++=to
turn ^vbi++++=turn
light ^nn++++=light-mindedly
- ^zz++++=EXTRAWORD
mindedly ^jj++++=EXTRAWORD
around ^rp++++=around
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
coming ^vbg+++xvbg+=coming
nearer ^in+cmpx+++=nearer
to ^in"++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
retreating ^jj++++=retreating
coquettishly ^jj++++=coquettishly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giving ^vbg+++xvbg+=giving
the ^ati++++=the
impression ^nn++++=impression
that ^tht+ncmp+++=that
it ^pp3+it+++=it
fixed ^vbd+++xvbn+=fixed
all ^abn++++=all
its ^pp$+it+++=its
attention ^nn+nom+++=attention
upon ^in++++=upon
its ^pp$+it+++=its
household ^nn++++=household
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon;
; ^zz++++=EXTRAWORD
the ^ati++++=the
days ^nns++++=days
were ^vbd+bed+aux++=were
replaced ^vpsv++by+xvbnx+=replaced
by ^in++++=by
other ^ap++++=other
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dark ^jj+atrb+++=dark
nights ^nns++++=nights
by ^in++++=by
other ^ap++++=other
dark ^jj+atrb+++=dark
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
pedantic ^jj+atrb+++=pedantic
German ^jj+atrb+++=German
punctuality ^nn+nom+++=punctuality
and ^cc++++=and
correctness ^nns+nom+++=correctness
that ^tht+rel+++=that
all ^abn++++=all
the ^ati++++=the
artistic ^jj+atrb+++=artistic
natures ^nns++++=natures
were ^vbd+bed+aux++=were
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
move ^vbi++++=move
over ^rb++++=over
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
north ^np+pl+++=north
by ^in++++=by
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
devil ^nn++++=devil
himself ^ppl+pp3+++=himself
would ^md+prd+++=would
break ^vb++++=break
his ^pp$+pp3+++=his
head ^jjb++++=head
endeavouring ^jj+++xvbg+=endeavouring
to ^to++++=to
distinguish ^vbi++++=distinguish
between ^in++++=between
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
suddenly ^rb++++=suddenly
something ^pn++++=something
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
Max ^vb++++=Max.
. ^zz++++=EXTRAWORD
Somehow ^rb++++=Somehow
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
Max ^np++++=Max
became ^vbd+++xvbn+=became
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
calmed ^vprf+++xvbnx+=calmed
the ^ati++++=the
crowd ^nn++++=crowd
by ^in++++=by
his ^pp$+pp3+++=his
words ^nns++++=words
of ^in++++=of
wisdom ^nn++++=wisdom
many ^ap++++=many
a ^at++++=a
time ^nn++++=time
before ^cs+sub+++=before
and ^cc++++=and
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved
them ^pp3o+pp3+++=them
from ^in++++=from
mutual ^jj+atrb+++=mutual
destruction ^nn+nom+++=destruction
but ^cc++++=but
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
understood ^vbd+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
shouted ^vprf+++xvbnx+=shouted
" ^zz++++="Fire!"
fire ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
all ^abn++++=all
the ^ati++++=the
eloquence ^nn+nom+++=eloquence
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
capable ^jj+pred+++=capable
he ^pp3a+pp3+++=he
assured ^vbd+++xvbnx+=assured
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
exerting ^vbg+++xvbgx+=exerting
all ^abn++++=all
his ^pp$+pp3+++=his
efforts ^nns++++=efforts
for ^in++++=for
their ^pp$+pp3+++=their
sake ^nn++++=sake
alone ^jj++++=alone;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
needed ^vbd+++xvbn+=needed
absolutely ^rb+amp+++=absolutely
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
childless ^jj++++=childless;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
forget ^vbi+vprv+++=forget
the ^ati++++=the
sad ^jj+atrb+++=sad
misunderstanding ^nn++++=misunderstanding
and ^cc++++=and
serve ^vb++++=serve
them ^pp3o+pp3+++=them
again ^rb+tm+++=again
with ^in++++=with
faith ^nn++++=faith
and ^cc++++=and
truth ^nn++++=truth--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
all ^rb++++=all
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
not ^xnot++not++=not
trust ^nn++++=trust
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
this ^dt+dem+++=this
respect ^nn++++=respect
Max ^np++++=Max
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
any ^dti++++=any
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sad ^jj+atrb+++=sad
incident ^nn++++=incident
ended ^vbd+++xvbn+=ended
for ^in++++=for
Max ^np++++=Max
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
intermission ^nn++++=intermission.
. ^zz++++=EXTRAWORD
Max ^np++++=Max
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+aux++=was
positively ^rb++splt++=positively
established ^vpsv++by+xvbnx+=established
by ^in++++=by
medical ^jj+atrb+++=medical
experts ^nns++++=experts,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
series ^nn++++=series
of ^in++++=of
simple ^jj+atrb+++=simple
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
pricked ^vbd+++xvbnx+=pricked
a ^at++++=a
needle ^nn++++=needle
into ^in++++=into
his ^pp$+pp3+++=his
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
foot ^nn++++=foot
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
remove ^vbi++++=remove
the ^ati++++=the
needle ^nn++++=needle.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
food ^nn++++=food
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
walk ^vb++++=walk
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
for ^in+ppvb+++=for
any ^dti++++=any
loans ^nns++++=loans,
, ^zz++++=EXTRAWORD
which ^wdt+who+whcl++=which
clearly ^rb++++=clearly
testified ^vbd+vpub++xvbn+=testified
to ^in++++=to
the ^ati++++=the
complete ^nn++++=complete
decline ^vb++++=decline
of ^in++++=of
his ^pp$+pp3+++=his
energy ^nn++++=energy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
soul ^nn++++=soul
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
soul ^nn++++=soul
can ^md+pos+++=can
be ^vb+be+vrb++=be
dead ^jj+pred+++=dead
while ^cs+sub+++=while
the ^ati++++=the
body ^nn++++=body
is ^vbz+bez+vrb++=is
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
To ^in++++=To
Max ^np++++=Max
all ^abn++++=all
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
and ^cc+phrs+++=and
believed ^vpsv++agls+xvbn+=believed
in ^in++++=in
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Impenetrable ^jj+atrb+++=Impenetrable
gloom ^nn++++=gloom
wrapped ^vbd+++xvbn+=wrapped
his ^pp$+pp3+++=his
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
neither ^dt++neg++=neither
feelings ^nns+nom+++=feelings
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
desires ^nns++++=desires,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
more ^rbr++++=more
unhappy ^jj+atrb+++=unhappy
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
than ^in++++=than
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
calendar ^nn++++=calendar,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Friday ^nr++++=Friday
or ^cc++++=or
Saturday ^nr++++=Saturday,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Max ^np++++=Max
awakened ^vbd+++xvbn+=awakened
as ^in++++=as
from ^in"++++=from
a ^at++++=a
prolonged ^jj+atrb++xvbn+=prolonged
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
sensation ^nn+nom+++=sensation
of ^in++++=of
an ^at++++=an
owner ^nn++++=owner
to ^to++++=to
whom ^whp+wpor+++=whom
his ^pp$+pp3+++=his
property ^nn++++=property
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
restored ^vpsv++agls+xvbnx+=restored
which ^whp+who+++=which
had ^vb+hv+aux++=had
wrongly ^rb++splt++=wrongly
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Max ^np++++=Max
realised ^vbd+vprv++xvbn+=realised
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
more ^rbr++++=more
in ^in++++=in
possession ^nn++++=possession
of ^in++++=of
all ^abn++++=all
his ^pp$+pp3+++=his
five ^cd++++=five
senses ^nns++++=senses.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sight ^nn++++=sight
reported ^vbd+vpub++xvbn+=reported
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
all ^abn++++=all
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
place ^nn++++=place
which ^whp+rel+subj++=which
might ^md+pos+++=might
in ^in++++=in
justice ^nn++++=justice
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
either ^dtx++++=either
a ^at++++=a
room ^nn++++=room
or ^cc++++=or
a ^at++++=a
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
wall ^np++++=wall
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
metre ^nn++++=metre
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
wide ^jj++++=wide
and ^cc++++=and
about ^in++++=about
ten ^cd++++=ten
metres ^nns++++=metres
high ^jj++++=high.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
straight ^jj+pred+++=straight,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
openings ^nns++++=openings,
, ^zz++++=EXTRAWORD
except ^in++++=except
one ^pn++++=one
through ^in++++=through
which ^whp+rel+pied++=which
food ^nn++++=food
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
to ^in+phrv+++=to
Max ^np++++=Max.
. ^zz++++=EXTRAWORD
An ^at++++=An
electric ^jj+atrb+++=electric
lamp ^nn++++=lamp
was ^vbd+bedz+aux++=was
