Solomon ^np++++=SOLOMON
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
several ^ap++++=several
methods ^nns++++=methods
in ^in++++=in
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
drive ^vb++++=drive
through ^in++++=through
Norway ^np++++=Norway.
. ^zz++++=EXTRAWORD
The ^ati++++=The
government ^nn+nom+++=government
maintains ^vbz+vpub+++=maintains
posting ^vbg+++xvbg+=posting-stations
- ^zz++++=EXTRAWORD
stations ^nns+nom+++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
farms ^nns++++=farms
along ^in++++=along
the ^ati++++=the
main ^nn++++=main
travelled ^vbd+++xvbn+=travelled
highways ^nns++++=highways,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
can ^md+pos+++=can
hire ^vb++++=hire
horses ^nns++++=horses
and ^cc++++=and
carriages ^nns+nom+++=carriages
of ^in++++=of
various ^jj+atrb+++=various
kinds ^nns++++=kinds.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
also ^rb++++=also
English ^jj+atrb+++=English
tourist ^nn+nom+++=tourist
agencies ^nns++++=agencies
which ^whp+rel+subj++=which
make ^vb++++=make
a ^at++++=a
business ^nns+nom+++=business
of ^in++++=of
providing ^xvbg+++xvbg+=providing
travellers ^nns+nom+++=travellers
with ^in++++=with
complete ^jj+atrb+++=complete
transportation ^nn+nom+++=transportation.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
try ^vb++++=try
either ^dtx++++=either
of ^in++++=of
these ^dt+dem+++=these
methods ^nns++++=methods
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
may ^md+pos+++=may
make ^vb++++=make
a ^at++++=a
judicious ^jj+atrb+++=judicious
mixture ^nn++++=mixture.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
by ^in++++=by
an ^at++++=an
application ^nn+nom+++=application
of ^in++++=of
the ^ati++++=the
theory ^nn++++=theory
of ^in++++=of
permutations ^nns+nom+++=permutations
and ^cc++++=and
combinations ^nns+nom+++=combinations,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
your ^pp$+pp2+++=your
choice ^nn++++=choice
among ^in++++=among
four ^cd++++=four
ways ^nns++++=ways
of ^in++++=of
accomplishing ^xvbg+++xvbg+=accomplishing
a ^at++++=a
driving ^jj+++xvbg+=driving-tour.
- ^zz++++=EXTRAWORD
tour ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
engage ^vb++++=engage
a ^at++++=a
carriage ^nn+nom+++=carriage
and ^cc++++=and
pair ^nn++++=pair,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
tourist ^nn+nom+++=tourist
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
roll ^nn++++=roll
through ^in++++=through
your ^pp$+pp2+++=your
journey ^nn++++=journey
in ^in++++=in
sedentary ^nn+nom+++=sedentary
case ^nn++++=case,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
your ^pp$+pp2+++=your
horses ^nns++++=horses
do ^vb+do+aux++=do
not ^xnot++not++=not
go ^vb++++=go
lame ^jj++++=lame
or ^cc++++=or
give ^vb++++=give
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
rely ^vb++++=rely
altogether ^nn+nom+++=altogether
upon ^in++++=upon
the ^ati++++=the
posting ^jj+++xvbg+=posting-stations
- ^zz++++=EXTRAWORD
stations ^nns+nom+++=EXTRAWORD
to ^to++++=to
send ^vbi++++=send
you ^pp2+pp2+++=you
on ^in++++=on
your ^pp$+pp2+++=your
journey ^nn++++=journey;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
pleasant ^jj+atrb+++=pleasant,
, ^zz++++=EXTRAWORD
lively ^jj+atrb+++=lively
way ^nn++++=way,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
crowd ^nn++++=crowd
of ^in++++=of
travellers ^nns+nom+++=travellers
on ^in++++=on
the ^ati++++=the
road ^nn++++=road
before ^in++++=before
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
take ^vb++++=take
up ^rb+phrv+++=up
all ^rb++++=all
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable
conveyances ^nns+nom++??+=conveyances
and ^cc++++=and
leave ^vb++++=leave
you ^pp2+pp2+++=you
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
jolting ^jj+++xvbg+=jolting
cart ^np++++=cart
or ^cc++++=or
a ^at++++=a
ramshackle ^jj+atrb+++=ramshackle
Kariol ^np+++??+=KARIOL
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Olaf ^np+++??+=Olaf.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
rent ^vb++++=rent
an ^at++++=an
easy ^jj++++=easy-riding
- ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=EXTRAWORD
vehicle ^nn++++=vehicle
( ^zz++++=(by
by ^in++++=EXTRAWORD
choice ^nn++++=choice
a ^at++++=a
well ^rb++++=well-hung
- ^zz++++=EXTRAWORD
hung ^vbd+++xvbn+=EXTRAWORD
gig ^nn++++=gig)
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
entire ^jjb+atrb+++=entire
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
change ^nn++++=change
ponies ^nns++++=ponies
at ^in++++=at
the ^ati++++=the
stations ^nns+nom+++=stations
as ^ql++++=as
you ^pp2+pp2+++=you
drive ^nn++++=drive
along ^in+strn+++=along;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
safest ^jjt+atrb+++=safest
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
method ^nn++++=method
is ^vbz+bez+aux++=is
to ^to++++=to
hire ^vbi++++=hire
your ^pp$+pp2+++=your
horseflesh ^nn+++??+=horseflesh
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
for ^in++++=for
the ^ati++++=the
whole ^jj+atrb+++=whole
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pick ^vb++++=pick
up ^rp++++=up
your ^pp$+pp2+++=your
vehicles ^nns++++=vehicles
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
method ^nn++++=method
is ^vbz+bez+vrb++=is
theoretically ^rb++++=theoretically
possible ^jj+pred+++=possible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
any ^dti++++=any
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
tried ^vprf+++xvbnx+=tried
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
gig ^nn++++=gig
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
us ^pp1o+pp1+++=us
at ^in++++=at
Odnaes ^np+++??+=Odnaes.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
brisk ^jj++++=brisk
little ^rb++++=little
mouse ^nn++++=mouse-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
pony ^nn++++=pony
in ^in++++=in
the ^ati++++=the
shafts ^nns++++=shafts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
but ^cc++++=but
a ^at++++=a
moment ^nn++++=moment
to ^in++++=to
strap ^nn++++=strap
our ^pp$+pp1+++=our
leather ^nn++++=leather
portmanteau ^nn+++??+=portmanteau
on ^in++++=on
the ^ati++++=the
board ^nn++++=board
at ^in++++=at
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
perch ^nn++++=perch
the ^ati++++=the
postboy ^nn+++??+=postboy
on ^in++++=on
top ^nn++++=top
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
our ^pp$+pp1+++=our
first ^od++++=first
experience ^nn+nom+++=experience
of ^in++++=of
a ^at++++=a
Norwegian ^nn++++=Norwegian
driving ^vwbg+++xvbg+=driving-tour.
- ^zz++++=EXTRAWORD
tour ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
at ^rb++++=at
first ^rb"++++=first
was ^vbd+bedz+vrb++=was
level ^nn++++=level
and ^cc++++=and
easy ^jj++++=easy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
bowled ^vbd+++xvbn+=bowled
along ^in++++=along
smoothly ^rb++++=smoothly
through ^in++++=through
the ^ati++++=the
valley ^nn++++=valley
of ^in++++=of
the ^ati++++=the
Etnaelv ^np+++??+=Etnaelv,
, ^zz++++=EXTRAWORD
among ^in++++=among
drooping ^jj+atrb+++=drooping
birch ^nn++++=birch-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
and ^cc++++=and
green ^jj+atrb+++=green
fields ^nns++++=fields
where ^wrb+who+++=where
the ^ati++++=the
larks ^nns++++=larks
were ^vbd+bed+aux++=were
singing ^vbg+++xvbgx+=singing.
. ^zz++++=EXTRAWORD
At ^in++++=At
Tomlevolden ^np+++??+=Tomlevolden,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
miles ^nns++++=miles
farther ^rbr++++=farther
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
the ^ati++++=the
first ^od++++=first
station ^npl+nom+++=station,
, ^zz++++=EXTRAWORD
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
old ^jj+atrb+++=old
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
array ^nn++++=array
of ^in++++=of
wooden ^jj+atrb+++=wooden
outbuildings ^nns++++=outbuildings.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
try ^vbi++++=try
our ^pp$+pp1+++=our
luck ^nn++++=luck
with ^in++++=with
the ^ati++++=the
Norwegian ^jj+atrb+++=Norwegian
language ^nn+nom+++=language
in ^in++++=in
demanding ^xvbg+++xvbg+=demanding
" ^zz++++="en
en ^&fw++++=EXTRAWORD
hest ^jjt++++=hest,
, ^zz++++=EXTRAWORD
saa ^nn+++??+=saa
straxt ^nn+++??+=straxt
som ^nn+++??+=som
muligt ^nn+++??+=muligt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
the ^ati++++=the
guide ^nn++++=guide-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
us ^pp1o+pp1+++=us
to ^to++++=to
say ^vbi+vpub+++=say
when ^wrb+who+whcl++=when
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
great ^jj+atrb+++=great
fun ^nn++++=fun
in ^in++++=in
making ^xvbg+++xvbg+=making
a ^at++++=a
random ^rb++++=random
cast ^vb+++xvbn+=cast
on ^in++++=on
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
a ^at++++=a
strange ^jj+atrb+++=strange
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
tell ^vb++++=tell
what ^wdt+who+++=what
will ^md+prd+++=will
come ^vb++++=come
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
like ^in++++=like
an ^at++++=an
experiment ^nn+nom+++=experiment
in ^in++++=in
witchcraft ^nn+++??+=witchcraft.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
all ^abn++++=all
surprised ^jj+++xvbn+=surprised,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
preliminary ^jj+atrb+++=preliminary
incantation ^nn+nom+++=incantation
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
forth ^np++++=forth
a ^at++++=a
cow ^nn++++=cow
or ^cc++++=or
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
good ^jj+atrb+++=good
people ^nns++++=people
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
divine ^vbi++++=divine
our ^pp$+pp1+++=our
intentions ^nns+nom+++=intentions;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
stable ^jj++++=stable-boys
- ^zz++++=EXTRAWORD
boys ^nns++++=EXTRAWORD
to ^to++++=to
catch ^vbi++++=catch
and ^cc+phrs+++=and
harness ^nns+nom+++=harness
the ^ati++++=the
new ^jj+atrb+++=new
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
a ^at++++=a
yellow ^jj++++=yellow-haired
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
maiden ^jjb++++=maiden
inquired ^jj+++xvbn+=inquired,
, ^zz++++=EXTRAWORD
in ^in++++=in
very ^ql+amp+++=very
fair ^jj++++=fair
English ^jj++++=English,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea
and ^cc++++=and
some ^dti++++=some
butter ^nn++++=butter-bread;
- ^zz++++=EXTRAWORD
bread ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
which ^whp+who+++=which
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
with ^in++++=with
great ^jj+atrb+++=great
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Skydsgut ^np+++??+=SKYDSGUT,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
postboy ^nn+++??+=postboy,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
full ^jj++++=full-grown
- ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=EXTRAWORD
man ^nn++++=man
of ^in++++=of
considerable ^jj+atrb+++=considerable
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
to ^in++++=to
his ^pp$+pp3+++=his
perch ^nn++++=perch
on ^in++++=on
our ^pp$+pp1+++=our
portmanteau ^nn+++??+=portmanteau,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lady ^nn++++=lady
Graygown ^np+++??+=Graygown
congratulated ^vwbn+++xvbn+=congratulated
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
prudence ^nn+nom+++=prudence
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
provided ^vprf+++xvbnx+=provided
that ^tht+vcmp+++=that
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
that ^dt+dem+++=that
receptacle ^nn+++??+=receptacle
should ^md+nec+++=should
be ^vb+be+vrb++=be
of ^in++++=of
an ^at++++=an
inflexible ^jj+atrb+++=inflexible
stiffness ^nns+nom+++=stiffness,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
incapable ^jj++++=incapable
of ^in++++=of
being ^nn+nn+aux++=being
crushed ^vwbn+++xvbn+=crushed;
; ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
would ^md+prd+++=would
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
of ^in++++=of
her ^pp$+pp3+++=her
Sunday ^nr++++=Sunday
frock ^nn++++=frock
under ^in++++=under
the ^ati++++=the
pressure ^nn++++=pressure
of ^in++++=of
this ^dt+dem+++=this
stern ^jj+atrb+++=stern
necessity ^nn+nom+++=necessity
of ^in++++=of
a ^at++++=a
postboy ^nn+++??+=postboy?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
cared ^vprf+++xvbnx+=cared
very ^ql+amp+++=very
much ^ap++++=much
if ^cs+cnd+++=if
all ^abn++++=all
our ^pp$+pp1+++=our
luggage ^nn+nom+++=luggage
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
smashed ^vpsv++agls+xvbnx+=smashed
on ^in++++=on
this ^dt+dem+++=this
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
road ^nn++++=road
now ^rn+tm+++=now
began ^vbd+++xvbn+=began
to ^to++++=to
ascend ^vbi+++??+=ascend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
views ^nns++++=views
over ^in++++=over
the ^ati++++=the
Etnadal ^np+++??+=Etnadal,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
winding ^vbg+++xvbg+=winding
river ^npl++++=river,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
of ^in++++=of
a ^at++++=a
breadth ^nn++++=breadth
and ^cc++++=and
sweetness ^nns+nom+++=sweetness
most ^ap+emph+++=most
consoling ^nn+nom+++=consoling.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
and ^cc+phrs+++=and
up ^rp++++=up
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
curving ^jj++++=curving
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
through ^in++++=through
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
wild ^jj+atrb+++=wild
ravines ^nns+++??+=ravines
and ^cc++++=and
shadowy ^jj+atrb+++=shadowy
dells ^nns+++??+=dells,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
back ^jjb++++=back
at ^in++++=at
every ^at++++=every
turn ^nn++++=turn
on ^in++++=on
the ^ati++++=the
wide ^jj+atrb+++=wide
landscape ^nn++++=landscape
bathed ^vbd+++xvbn+=bathed
in ^in++++=in
golden ^jj++++=golden
light ^jj++++=light.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
station ^nn+nom+++=station
of ^in++++=of
Sveen ^np+++??+=Sveen,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
changed ^vbd+++xvbn+=changed
horse ^nn++++=horse
and ^cc++++=and
postboy ^nn+++??+=postboy
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
already ^rb++++=already
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
down ^rp++++=down,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
mystical ^jj+atrb+++=mystical
radiance ^nn+nom+++=radiance
of ^in++++=of
the ^ati++++=the
northern ^jj+atrb+++=northern
twilight ^nn++++=twilight
illumined ^vprf+++xvbn+=illumined
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dark ^jj+atrb+++=dark
fir ^nn++++=fir-woods
- ^zz++++=EXTRAWORD
woods ^npl++++=EXTRAWORD
spread ^vbd+++xvbn+=spread
around ^rp++++=around
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
odourous ^jj+atrb+++=odourous
breath ^nn++++=breath
was ^vbd+bedz+aux++=was
diffused ^vpsv++agls+xvbnx+=diffused
through ^in++++=through
the ^ati++++=the
cool ^jj++++=cool,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
air ^nn++++=air.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
crossing ^vbg+++xvbgx+=crossing
the ^ati++++=the
level ^nn++++=level
summit ^nn++++=summit
of ^in++++=of
the ^ati++++=the
plateau ^nn++++=plateau,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
hundred ^cd++++=hundred
feet ^nns++++=feet
above ^in+pl+++=above
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
tiny ^jj+atrb+++=tiny
woodland ^nn++++=woodland
lakes ^nns++++=lakes
gleamed ^vbd+++xvbn+=gleamed
out ^rp+pl+++=out
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
road ^nn++++=road
began ^vbd+++xvbn+=began
to ^to++++=to
slope ^vbi++++=slope
gently ^rb++++=gently
towards ^in++++=towards
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emerged ^vbd+++xvbn+=emerged
suddenly ^rb++++=suddenly
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
lovely ^jj+atrb+++=lovely
vale ^nn++++=vale
of ^in++++=of
Valders ^nns+nom++??+=Valders,
, ^zz++++=EXTRAWORD
with ^in++++=with
snow ^np++++=snow-touched
- ^zz++++=EXTRAWORD
touched ^xvbn+++xvbn+=EXTRAWORD
mountains ^nns++++=mountains
on ^in++++=on
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
river ^nn++++=river
Baegna ^np+++??+=Baegna
shimmering ^vwbg+++xvbg+=shimmering
along ^in++++=along
its ^pp$+it+++=its
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
a ^at++++=a
thousand ^cd++++=thousand
feet ^nns++++=feet
below ^rb++++=below
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
heart ^nn++++=heart-enlarging
- ^zz++++=EXTRAWORD
enlarging ^vbg+++xvbg+=EXTRAWORD
outlook ^nn++++=outlook!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
keen ^jj+atrb+++=keen
joy ^nn++++=joy
of ^in++++=of
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
wheels ^nns++++=wheels
rolled ^vbd+++xvbn+=rolled
down ^rp++++=down
the ^ati++++=the
long ^jj+atrb+++=long
incline ^nn++++=incline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sure ^jj++++=sure-footed
- ^zz++++=EXTRAWORD
footed ^jj+atrb++xvbn+=EXTRAWORD
pony ^nn++++=pony
swung ^vbd+++xvbn+=swung
between ^in++++=between
the ^ati++++=the
shafts ^nns++++=shafts
and ^cc++++=and
rattled ^vbd+++xvbn+=rattled
his ^pp$+pp3+++=his
hoofs ^nns++++=hoofs
merrily ^rb++++=merrily
on ^in++++=on
the ^ati++++=the
hard ^jj+atrb+++=hard
road ^npl++++=road!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
deep ^jj+atrb+++=deep
breaths ^nns++++=breaths
of ^in++++=of
silent ^jj+atrb+++=silent
pleasure ^nn++++=pleasure
in ^in++++=in
the ^ati++++=the
crisp ^jj+atrb+++=crisp
night ^nn++++=night
air ^nn++++=air!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
wondrous ^jj++++=wondrous
mingling ^jj+++xvbg+=mingling
of ^in++++=of
lights ^nns++++=lights
in ^in++++=in
the ^ati++++=the
afterglow ^nn+++??+=afterglow
of ^in++++=of
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
primrose ^nn++++=primrose
bloom ^nn++++=bloom
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faint ^jj+atrb+++=faint
foregleamings ^nns+++??+=foregleamings
of ^in++++=of
the ^ati++++=the
rising ^jj+++xvbg+=rising
moon ^np++++=moon
creeping ^vwbg+++xvbg+=creeping
over ^in++++=over
the ^ati++++=the
hill ^npl++++=hill
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
perfection ^nn+nom+++=perfection
of ^in++++=of
companionship ^nn+nom+++=companionship
without ^in++++=without
words ^nns++++=words,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode
together ^nn+nom+++=together
through ^in++++=through
a ^at++++=a
