Before ^cs+sub+++=Before
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
build ^vb++++=build
a ^at++++=a
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
a ^at++++=a
cement ^nn++++=cement
walk ^nn++++=walk
all ^abn++++=all
round ^in+strn+++=round."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
hands ^nns++++=hands
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
emphasize ^vb++++=emphasize
his ^pp$+pp3+++=his
remarks ^nns++++=remarks
with ^in++++=with
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
" ^zz++++="Whati's
whati ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
that ^cs+sub+++=that
got ^vprf+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
puts ^vbz++++=puts
in ^rb+phrv+++=in
diamonds ^nns++++=diamonds
for ^in++++=for
windows ^nns++++=windows
and ^cc++++=and
sets ^nns++++=sets
out ^rp+pl+++=out
Italian ^jj+atrb+++=Italian
gardens ^nns++++=gardens
and ^cc++++=and
a ^at++++=a
terrace ^nn++++=terrace
with ^in++++=with
peacocks ^nns++++=peacocks
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
alderman ^nn+nom+++=alderman
of ^in++++=of
this ^dt+dem+++=this
ward ^nn++++=ward,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
up ^in+cmpx+++=up
to ^in"++++=to
you ^pp2+pp2+++=you
to ^to++++=to
keep ^vbi++++=keep
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
block ^nn++++=block!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
have ^vb+hv+aux++=have
fixed ^vprf+++xvbnx+=fixed
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
injunction ^nn+nom+++=injunction
or ^cc++++=or
somethng ^nn+++??+=somethng.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
get ^vb++++=get
up ^rp++++=up
a ^at++++=a
petition--that ^nn+++??+=petition--that's
's ^$++++=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
closed ^vbd+++xvbn+=closed
the ^ati++++=the
furnace ^nn++++=furnace
door ^nn++++=door
with ^in++++=with
a ^at++++=a
bang ^uh++++=bang
that ^cs+sub+++=that
drowned ^vwbn+++xvbn+=drowned
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
threat ^nn++++=threat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
draft ^nn++++=draft
in ^in++++=in
a ^at++++=a
pipe ^nn++++=pipe
overhead ^jjb++++=overhead
and ^cc+phrs+++=and
brushed ^jj+++xvbn+=brushed
his ^pp$+pp3+++=his
sooty ^jj+atrb+++=sooty
palms ^nns++++=palms
briskly ^rb++++=briskly
together ^nn+nom+++=together
like ^in++++=like
one ^cd1++++=one
who ^whp+rel+subj++=who
would ^md+prd+++=would
put ^vb+++xvbn+=put
an ^at++++=an
end ^nn++++=end
to ^in++++=to
a ^at++++=a
profitless ^jj+atrb+++=profitless
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
bought ^vpsv++agls+xvbnx+=bought
the ^ati++++=the
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
mildly ^rb+cnj+++=mildly,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
paid ^vpsv++agls+xvbn+=paid
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
live ^vbi++++=live
in ^in++++=in
this ^dt+dem+++=this
neighborhood ^nn+nom+++=neighborhood
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
she ^pp3a+pp3+++=she
acts ^nns++++=acts
respectable ^jj++++=respectable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
last ^rb++++=last!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
never ^rb++++=never
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
and ^cc++++=and
was ^vbd+bedz+aux++=was
rubbing ^vbg+++xvbgx+=rubbing
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
over ^in++++=over
the ^ati++++=the
smooth ^jj+atrb+++=smooth
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
down ^rp++++=down
at ^rb++++=at
it ^pp3+it+++=it
with ^in++++=with
unseeing ^jj+atrb+++=unseeing
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+vrb++=was
a ^at++++=a
queer ^nn++++=queer
look ^vb++++=look--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
look ^nn++++=look
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
embarrassed ^vpsv++agls+xvbnx+=embarrassed
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
about ^md"++pmd"++=about
to ^md+prd+++=to
say ^vb+vpub+tht0++=say
something ^pn++++=something
honest ^jj++++=honest.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
something ^pn++++=something:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
mayor ^nn++++=mayor's
's ^$++++=EXTRAWORD
office ^nn++++=office
the ^ati++++=the
day ^nn++++=day
Blanche ^np++++=Blanche
signed ^vbd+++xvbn+=signed
for ^in++++=for
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
through ^in++++=through
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
red ^jj+atrb+++=red
tape ^nn++++=tape
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
it ^pp3+it+++=it--had
-- ^--+clp+++=EXTRAWORD
had ^vb+hv+vrb++=EXTRAWORD
quite ^rb++++=quite
a ^at++++=a
time ^nn++++=time
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
kid ^nn++++=kid,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
woman ^nn++++=woman
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
so ^ql++++=so--bad."
-- ^--+clp+++=EXTRAWORD
bad ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
exclaimed ^vbd+++xvbn+=exclaimed
impatiently ^rb++++=impatiently:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
any ^dti++++=any
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Mooney ^np+++??+=Mooney!
! ^zz++++=EXTRAWORD
Blanche ^np++++=Blanche
Devine ^np++++=Devine's
's ^$++++=EXTRAWORD
a ^at++++=a
town ^nn++++=town
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
kids ^nns++++=kids
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
religion ^nn++++=religion
or ^cc++++=or
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wants ^vbz++++=wants
to ^to+vcmp+++=to
quit ^vbi++++=quit
and ^cc++++=and
be ^vb+be+vrb++=be
decent ^jj+pred+++=decent,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
go ^vb++++=go
to ^in++++=to
another ^dt++++=another
town ^nn++++=town-Chicago
- ^zz++++=EXTRAWORD
chicago ^np++++=EXTRAWORD
or ^cc++++=or
someplace ^rb++++=someplace--where
-- ^--+clp+++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
nobody ^pn++++=nobody
knows ^vbz+vprv+tht0++=knows
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
motion ^nn++++=motion
of ^in++++=of
Alderman ^nn+nom+++=Alderman
Mooney ^np++++=Mooney's
's ^$++++=EXTRAWORD
thumb ^nn++++=thumb
against ^in++++=against
the ^ati++++=the
smooth ^jj+atrb+++=smooth
pipe ^nn++++=pipe
bowl ^nn++++=bowl
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
mayor ^npt++++=mayor
too ^ql++++=too.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Blanche ^np++++=Blanche
Devine ^np+++??+=Devine
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
try ^vbi++++=try
it ^pp3+it+++=it
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
home ^nr++++=home
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Funny--ai ^np+++??+=Funny--ain't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Said ^j+++xvbn+=Said
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
fooling ^nvbg+++xvbg+=fooling
anybody ^pn++++=anybody
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+tht0++=know
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0=it'd
'd ^md+prd+vrb++=EXTRAWORD
leak ^nn++++=leak
out ^rp+pl+++=out
some ^dti++++=some
way ^nn++++=way
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=does,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always!
! ^zz++++=EXTRAWORD
Seems ^vbz+seem+tht0++=Seems
she ^pp3a+pp3+++=she
wants ^vbz++++=wants
to ^to+vcmp+++=to
live ^vbi++++=live
like ^in+strn+++=like--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
like ^in++++=like
other ^ap++++=other
women ^nns++++=women.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
different ^jj++++=different
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
ten ^cd++++=ten
years ^nns++++=years
the ^ati++++=the
ambition ^nn+nom+++=ambition
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
go ^vb++++=go
into ^in++++=into
a ^at++++=a
grocery ^nn+nom+++=grocery
store ^nn++++=store
and ^cc++++=and
ask ^vb++++=ask
the ^ati++++=the
price ^nn++++=price
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
celery ^nn++++=celery;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
clerk ^nn++++=clerk
charged ^vbd+vpub++xvbn+=charged
her ^pp$+pp3+++=her
ten ^cd++++=ten
when ^wrb+who+++=when
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
sass ^vb+++??+=sass
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
regular ^jj+atrb+++=regular
piece ^nn++++=piece
of ^in++++=of
her ^pp$+pp3+++=her
mind ^nn++++=mind-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
sail ^vb++++=sail
out ^rp+pl+++=out
and ^cc++++=and
trade ^nn++++=trade
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
stand ^vb++++=stand
anything ^pn++++=anything
from ^in++++=from
storekeepers ^nns+nom+++=storekeepers,
, ^zz++++=EXTRAWORD
any ^dti++++=any
more ^rbr++++=more
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
woman ^nn++++=woman
that ^tht+rel+subj++=that
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
own ^ap++++=own
marketing ^nn++++=marketing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
smart ^jj+atrb+++=smart
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
Blanche ^np++++=Blanche
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
God ^np++++=God
knows ^vbz+vprv+tht0++=knows
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
taking ^jj+++xvbg+=taking
her ^pp3o+pp3+++=her
part ^nn++++=part--exactly;
-- ^--+clp+++=EXTRAWORD
exactly ^rb++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mayor ^nn++++=mayor
and ^cc++++=and
me ^pp1o+pp1+++=me
got ^vbd+++xvbn+=got
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
her ^pp$+pp3+++=her
history ^nn++++=history."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
sneer ^nn++++=sneer
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
known ^vpsv++agls+xvbnx+=known
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
Jen ^np+++??+=Jen
as ^in++++=as
a ^at++++=a
rather ^rb++++=rather
industrious ^jj+atrb+++=industrious
sower ^nn++++=sower
of ^in++++=of
wild ^jj+atrb+++=wild
oats ^nns++++=oats.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
thing ^nn++++=thing
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
youth ^nn++++=youth!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
fussed ^vbd+++xvbn+=fussed
when ^wrb+who+++=when
Jen ^np+++??+=Jen
wore ^vbd+++xvbn+=wore
even ^rb++++=even
a ^at++++=a
V ^zz++++=V-necked
- ^zz++++=EXTRAWORD
necked ^jj+atrb++xvbn+=EXTRAWORD
summer ^nn++++=summer
gown ^nn++++=gown
on ^in++++=on
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
playing ^nvbg+++xvbg+=playing
for ^in++++=for
sympathy ^nn++++=sympathy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in++++=on
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
in ^in++++=in
answer ^nn++++=answer
to ^in++++=to
the ^ati++++=the
sneer ^nn++++=sneer.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
always ^rb++splt++=always
paid ^vprf+++xvbnx+=paid
her ^pp3o+pp3+++=her
way ^nn++++=way
and ^cc++++=and
always ^rb++++=always
expected ^vbd+vprv++xvbn+=expected
to ^in+vcmp+++=to.
. ^zz++++=EXTRAWORD
Seems ^nns+seem+tht0++=Seems
her ^pp$+pp3+++=her
husband ^nn++++=husband
left ^vbd+++xvbn+=left
her ^pp$+pp3+++=her
without ^in++++=without
a ^at++++=a
cent ^nnu"++++=cent
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
eighteen ^cd++++=eighteen--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
a ^at++++=a
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
worked ^vbd+++xvbnx+=worked
for ^in++++=for
four ^cd++++=four
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week
in ^in++++=in
a ^at++++=a
cheap ^nn++++=cheap
eating ^vwbg+++xvbg+=eating
house ^npl++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++0='em
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
live ^vb++++=live
on ^in++++=on
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
baby ^nn++++=baby----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
night ^nn++++=night!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Very ^ql+amp+++=Very
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+++=suppose
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mooney ^np++++=Mooney's
's ^$++++=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
call ^vb++++=call?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Minnie!
minnie ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
scolding ^jj+++xvbg+=scolding
all ^abn++++=all
through ^in++++=through
supper ^nn++++=supper
that ^tht+rel+subj++=that
drove ^vbd+++xvbn+=drove
me ^pp1o+pp1+++=me
down ^rp++++=down
to ^in++++=to
monkey ^nn++++=monkey
with ^in++++=with
the ^ati++++=the
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+vrb++0=EXTRAWORD
wild ^jj++++=wild--Minnie
-- ^--+clp+++=EXTRAWORD
minnie ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
peeled ^vbd+++xvbnx+=peeled
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
overalls ^nns++++=overalls
and ^cc++++=and
hung ^vwbn+++xvbn+=hung
them ^pp3o+pp3+++=them
on ^in++++=on
a ^at++++=a
nail ^nn++++=nail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Young ^jj+atrb+++=Young
Husband ^nn++++=Husband
started ^vbd+++xvbn+=started
to ^in++++=to
ascend ^nn+++??+=ascend
the ^ati++++=the
cellar ^nn++++=cellar
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Mooney ^np+++??+=Mooney
laid ^vbd+++xvbn+=laid
a ^at++++=a
detaining ^jj+atrb++xvbg+=detaining
finger ^nn++++=finger
on ^in++++=on
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
anything ^pn++++=anything
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
Minnie ^np+++??+=Minnie!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+aux++0=EXTRAWORD
boiling ^nvbg+++xvbg+=boiling!
! ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
and ^cc++++=and
the ^ati++++=the
kids ^nns++++=kids
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
visit ^vb++++=visit
her ^pp$+pp3+++=her
folks ^nns++++=folks
out ^rp+pl+++=out
West ^np+pl+++=West
this ^dt+dem+++=this
summer ^nn++++=summer;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
dare ^vb++++=dare
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
` ^zz++++=`Good
