Along ^in++++=Along
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+dem+++=this
sized ^jj+atrb+++=sized
bunch ^nn++++=bunch
of ^in++++=of
horses ^nns++++=horses
could ^md+pos+++=could
not ^xnot++not++=not
well ^jj+pred+++=well
be ^vb+be+aux++=be
hidden ^vpsv++agls+xvbnx+=hidden,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
any ^dti++++=any
desire ^nn++++=desire
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
Gray ^np++++=Gray
to ^to++++=to
conceal ^vbi++++=conceal
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
under ^rb+phrv+++=under
herd ^nn++++=herd
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night
in ^in++++=in
a ^at++++=a
near ^in+pl+++=near-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
usually ^rb+down+++=usually
herded ^vpsv++by+xvbn+=herded
by ^in++++=by
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
young ^jj+atrb+++=young
men ^nns++++=men,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
herded ^xvbn+++xvbn+=herded
by ^in++++=by
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
went ^vbd+++xvbn+=went
on ^in++++=on
this ^dt+dem+++=this
way ^nn++++=way
for ^in++++=for
a ^at++++=a
month ^nn++++=month.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
mean ^jj+atrb+++=mean
time ^nn++++=time
the ^ati++++=the
deputy ^nn++++=deputy
had ^vbd+hvd+aux++=had
reported ^vprf+++xvbnx+=reported
to ^to+vcmp+++=to
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
on ^in++++=on
to ^to++++=to
personally ^rb++splt++=personally
supervise ^vbi++++=supervise
the ^ati++++=the
undertaking ^nvbg+++xvbg+=undertaking.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
lookout ^nn++++=lookout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
deputy ^nn++++=deputy's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
All ^abn++++=All
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+aux++=do
was ^vbd+bedz+aux++=was
to ^to++++=to
put ^vbi++++=put
an ^at++++=an
extra ^jj+atrb+++=extra
man ^nn++++=man
on ^in++++=on
herd ^nn++++=herd
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
arm ^vb++++=arm
his ^pp$+pp3+++=his
men ^nns++++=men
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
await ^vb++++=await
results ^nns++++=results.
. ^zz++++=EXTRAWORD
The ^ati++++=The
deputy ^nn++++=deputy
secretly ^rb++++=secretly
engaged ^vbd+++xvbn+=engaged
seven ^cd++++=seven
or ^cc++++=or
eight ^cd++++=eight
bad ^jj+atrb+++=bad
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
long ^jj++++=long-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
variety ^nn++++=variety,
, ^zz++++=EXTRAWORD
such ^in++++=such
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
early ^jj+atrb+++=early
days ^nns++++=days
usually ^rb+down+++=usually
graced ^vbd+++xvbn+=graced
the ^ati++++=the
frontier ^nn+nom+++=frontier
towns ^nns++++=towns
with ^in++++=with
their ^pp$+pp3+++=their
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
brand ^nn++++=brand
of ^in++++=of
human ^jj+atrb+++=human
cattle ^nns++++=cattle
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
disturbing ^jj+atrb++xvbg+=disturbing
element ^nn+nom+++=element
on ^in++++=on
the ^ati++++=the
border ^nn++++=border
line ^nn++++=line
of ^in++++=of
civilization ^nn+nom+++=civilization
that ^tht+rel+obj++=that
writers ^nns+nom+++=writers
of ^in++++=of
that ^dt+dem+++=that
period ^nn++++=period
depicted ^vwbn+++xvbn+=depicted,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
authors ^nns++++=authors
of ^in++++=of
the ^ati++++=the
bloodcurdling ^nn+nom+++=bloodcurdling
drama ^nn++++=drama
portrayed ^vbd+++xvbn+=portrayed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
busy ^jj+atrb+++=busy
citizen ^nn++++=citizen
paid ^vbd+++xvbn+=paid
little ^ap++++=little
attention ^nn+nom+++=attention
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
them ^pp3o+pp3+++=them
more ^rbr++++=more
ornamental ^jj++++=ornamental
than ^in++++=than
useful ^nn++++=useful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
stripe ^nn++++=stripe
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
wanted ^vpsv++agls+xvbnx+=wanted
and ^cc++++=and
could ^md+pos+++=could
be ^vb+be+aux++=be
secured ^vpsv++agls+xvbnx+=secured
for ^in++++=for
the ^ati++++=the
work ^nn++++=work
in ^in++++=in
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
A ^at++++=A
good ^jj+atrb+++=good
big ^jj+atrb+++=big
bluff ^nn++++=bluff
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
sufficient ^jj++++=sufficient
for ^in++++=for
the ^ati++++=the
end ^nn++++=end
in ^in++++=in
view ^nn++++=view.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
crowd ^nn++++=crowd
was ^vbd+bedz+aux++=was
mounted ^vpsv++agls+xvbnx+=mounted,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
to ^in++++=to
the ^ati++++=the
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready.
. ^zz++++=EXTRAWORD
Secrecy ^nn++++=Secrecy
was ^vbd+bedz+aux++=was
enjoined ^vpsv++agls+xvbnx+=enjoined
on ^in++++=on
every ^at++++=every
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Led ^xvbn+++xvbn+=Led
by ^in++++=by
the ^ati++++=the
sheriff ^nn++++=sheriff
and ^cc++++=and
his ^pp$+pp3+++=his
deputy ^nn++++=deputy,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
rode ^vbd+++xvbnx+=rode
out ^rp+pl+++=out
about ^in++++=about
midnight ^nn++++=midnight
to ^in++++=to
the ^ati++++=the
pasture ^nn++++=pasture
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
herd ^nn++++=herd
and ^cc++++=and
herders ^nns+nom+++=herders.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
fellows ^nns++++=fellows
want ^vb++++=want
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
young ^jj+atrb+++=young
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Ninde ^np+++??+=Ninde
and ^cc++++=and
his ^pp$+pp3+++=his
posse ^nn++++=posse
rode ^vbd+++xvbn+=rode
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
these ^dt+dem+++=these
horses ^nns++++=horses,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
sheriff ^nn++++=sheriff.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
what ^wdt+who+++=what
authority ^nn+nom+++=authority?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Gray ^np++++=Gray.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
sufficient ^jj+atrb+++=sufficient
authority ^nn+nom+++=authority
for ^in++++=for
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
flashing ^vbg+++xvbg+=flashing
a ^at++++=a
six ^cd++++=six-shooter
- ^zz++++=EXTRAWORD
shooter ^jjr++++=EXTRAWORD
in ^in++++=in
young ^jj+atrb+++=young
Gray ^np++++=Gray's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
heelers ^nns+nom+++=heelers
to ^in++++=to
the ^ati++++=the
play ^nn++++=play
now ^rn+tm+++=now
jumped ^vbd+++xvbn+=jumped
their ^pp$+pp3+++=their
horses ^nns++++=horses
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
their ^pp$+pp3+++=their
six ^cd++++=six-shooters
- ^zz++++=EXTRAWORD
shooters ^nns+nom+++=EXTRAWORD
over ^in++++=over
their ^pp$+pp3+++=their
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
ratcheting ^jj+++xvbg+=ratcheting
the ^ati++++=the
cylinders ^nns+nom+++=cylinders
of ^in++++=of
their ^pp$+pp3+++=their
revolvers ^nns+nom+++=revolvers
by ^in++++=by
cocking ^xvbg+++xvbg+=cocking
and ^cc++++=and
lowering ^xvbg+++xvbg+=lowering
the ^ati++++=the
hammers ^nns+nom+++=hammers,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
fight ^nn++++=fight
would ^md+prd+++=would
satisfy ^vb++++=satisfy
their ^pp$+pp3+++=their
demand ^nn++++=demand
for ^in++++=for
gore ^np++++=gore.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want
these ^dt+dem+++=these
horses ^nns++++=horses
that ^tht+rel+++=that
bad ^jj++++=bad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
young ^jj+atrb+++=young
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckon ^vb+vprv+tht0++=reckon
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
them ^pp3o+pp3+++=them
for ^in++++=for
the ^ati++++=the
present ^jj+atrb+++=present.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
one ^cd1++++=one
thing ^nn++++=thing--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
sixty ^cd++++=sixty
head ^jjb++++=head
of ^in++++=of
horses ^nns++++=horses
here ^rn+pl+++=here
under ^in++++=under
herd ^nn++++=herd
with ^in++++=with
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
outside ^jjb++++=outside
the ^ati++++=the
' ^zz++++='96'
96 ^cd++++=EXTRAWORD
' ^zz++++=EXTRAWORD
brand ^nn++++=brand.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
belong ^vb++++=belong
to ^in++++=to
men ^nns++++=men
in ^in++++=in
town ^nn++++=town.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
take ^vb++++=take
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
pasture ^nn++++=pasture
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
consider ^nn+nom+++=consider
you ^pp2+pp2+++=you
a ^at++++=a
horse ^nn++++=horse-thief
- ^zz++++=EXTRAWORD
thief ^nn++++=EXTRAWORD
and ^cc++++=and
deal ^nn++++=deal
with ^in++++=with
you ^pp2+pp2+++=you
accordingly ^rb++++=accordingly.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
doing ^vbg+++xvbgx+=doing
this ^dt+dem+++=this
by ^in++++=by
force ^nn++++=force
of ^in++++=of
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
no ^at++++=no
more ^rbr++++=more
authority ^nn+nom+++=authority
here ^rn+pl+++=here
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man,
, ^zz++++=EXTRAWORD
except ^in++++=except
what ^wdt+who+++=what
men ^nns++++=men
and ^cc++++=and
guns ^nns++++=guns
give ^vb++++=give
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
by ^in++++=by
daylight ^nn++++=daylight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Calling ^vbg+nom++xvbg+=Calling
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
men ^nns++++=men,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
let ^vbd+++xvbnx+=let
little ^ap++++=little
grass ^nn++++=grass
grow ^vb++++=grow
under ^in++++=under
their ^pp$+pp3+++=their
feet ^nns++++=feet
as ^ql++++=as
they ^pp3a+pp3+++=they
rode ^vbd+++xvbnx+=rode
to ^in++++=to
town ^nn++++=town.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
roused ^vbd+++xvbn+=roused
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
in ^in++++=in
turn ^nn++++=turn
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
and ^cc++++=and
asked ^vbd+vsua+tht0+xvbn+=asked
their ^pp$+pp3+++=their
friends ^nns++++=friends
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
their ^pp$+pp3+++=their
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
with ^in++++=with
the ^ati++++=the
owners ^nns++++=owners
of ^in++++=of
the ^ati++++=the
sixty ^cd++++=sixty
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
by ^in++++=by
daybreak ^nn+++??+=daybreak
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
eighteen ^cd++++=eighteen
mounted ^jj+atrb++xvbn+=mounted
and ^cc+phrs+++=and
armed ^jj+atrb++xvbn+=armed
men ^nns++++=men.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sheriff ^npt++++=sheriff
paid ^vbd+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
advice ^nn++++=advice
of ^in++++=of
young ^jj+atrb+++=young
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
day ^nn++++=day
broke ^vbd+++xvbn+=broke
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
more ^ql++++=more
horses ^nns++++=horses
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
brand ^nn++++=brand
or ^cc++++=or
two ^cd++++=two
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
claim ^nn++++=claim
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
or ^cc++++=or
unjust ^jj++++=unjust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+aux++=be
cut ^vpsv++agls+xvbnx+=cut
out ^rp+pl+++=out
or ^cc++++=or
trouble ^nn++++=trouble
would ^md+prd+++=would
follow ^vb+vprv+++=follow.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
with ^in++++=with
Ninde ^np+++??+=Ninde
knew ^vbd+vprv++xvbn+=knew
of ^in++++=of
a ^at++++=a
corral ^nn++++=corral
where ^wrb+who+++=where
this ^dt+dem+++=this
work ^nn++++=work
could ^md+pos+++=could
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
this ^dt+dem+++=this
corral ^nn++++=corral,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
at ^rb++++=at
least ^rb"++++=least
fifteen ^cd++++=fifteen
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
the ^ati++++=the
rescue ^nn++++=rescue
party ^nn++++=party
of ^in++++=of
Gray ^np++++=Gray
had ^vbd+hvd+aux++=had
departed ^vprf+++xvbnx+=departed
at ^rb++++=at
daybreak ^nn+++??+=daybreak,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
started ^vbd+++xvbnx+=started.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pursuing ^jj+atrb++xvbg+=pursuing
posse ^nn++++=posse
soon ^rb+tm+++=soon
took ^vbd+++xvbn+=took
the ^ati++++=the
trail ^nn++++=trail
of ^in++++=of
the ^ati++++=the
horses ^nns++++=horses
from ^in++++=from
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left
the ^ati++++=the
pasture ^nn++++=pasture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
they ^pp3a+pp3+++=they
headed ^vbd+++xvbnx+=headed
back ^jjb++++=back
toward ^in++++=toward
Texas ^np++++=Texas,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
feared ^vpsv++tht0+xvbnx+=feared
it ^pp3+it+++=it
might ^md+pos+++=might
take ^vb++++=take
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard
ride ^vb++++=ride
to ^to++++=to
overtake ^vbi++++=overtake
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gait ^nn++++=gait
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
increased ^vpsv++agls+xvbnx+=increased
to ^in++++=to
the ^ati++++=the
gallop ^nn++++=gallop,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
covering ^jj+++xvbg+=covering
ten ^cd++++=ten
miles ^nns++++=miles
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
better ^jjr+atrb+++=better
time ^nn++++=time
than ^in++++=than
the ^ati++++=the
herd ^nn++++=herd
could ^md+pos+++=could
make ^vb++++=make
under ^in++++=under
any ^dti++++=any
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
an ^at++++=an
hour ^nn++++=hour's
's ^vbz+bez+vrb++0=EXTRAWORD
hard ^jj+atrb+++=hard
riding ^nvbg+++xvbg+=riding,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
trail ^nn++++=trail
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
far ^rb+pl+++=far
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
carrying ^vbg+++xvbgx+=carrying
off ^rb+phrv+++=off
with ^in++++=with
them ^pp3o+pp3+++=them
horses ^nns++++=horses
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
the ^ati++++=the
private ^jj+atrb+++=private
property ^nn++++=property
of ^in++++=of
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
rescue ^nn++++=rescue
party ^nn++++=party
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tend ^vb++++=tend
to ^to+vcmp+++=to
fortify ^vbi++++=fortify
the ^ati++++=the
sheriff ^nn++++=sheriff
in ^in++++=in
the ^ati++++=the
good ^jj+atrb+++=good
opinion ^nn++++=opinion
of ^in++++=of
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
rescuers ^nns+nom+++=rescuers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
noticed ^vpsv++agls+xvbnx+=noticed
that ^tht+vcmp+++=that
the ^ati++++=the
herd ^nn++++=herd
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
trail ^nn++++=trail
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
there ^rn+pl+++=there
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
ranch ^nn++++=ranch
house ^nn++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corrals ^nns+nom+++=corrals
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
in ^in++++=in
good ^jj+atrb+++=good
repair ^nn++++=repair,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
frequently ^rb++splt++=frequently
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
branding ^nn++++=branding
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
On ^in++++=On
coming ^nn++++=coming
in ^in++++=in
sight ^nn++++=sight
of ^in++++=of
these ^dt+dem+++=these
corrals ^nns+nom+++=corrals,
, ^zz++++=EXTRAWORD
Gray ^np++++=Gray's
's ^$++++=EXTRAWORD
party ^nn++++=party
noticed ^vbd+vprv++xvbn+=noticed
that ^tht+vcmp+++=that
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
work ^nn++++=work
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
carried ^vbd+++xvbn+=carried
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
approached ^vbd+++xvbnx+=approached
it ^pp3+it+++=it
cautiously ^rb++++=cautiously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
came ^vbd+++xvbn+=came
back ^jjb++++=back
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
party ^nn++++=party,
, ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
a ^at++++=a
short ^jj+atrb+++=short
distance ^nn+nom+++=distance
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
open ^vb++++=open
the ^ati++++=the
ball ^nn++++=ball,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
any ^dti++++=any."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
others ^aps++++=others
of ^in++++=of
his ^pp$+pp3+++=his
party ^nn++++=party,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
the ^ati++++=the
supreme ^jj+atrb+++=supreme
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
life ^nn++++=life
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
his ^pp$+pp3+++=his
determined ^jj+atrb++xvbn+=determined
features ^nns++++=features
there ^rn+pl+++=there
spread ^nn+++xvbn+=spread
a ^at++++=a
smile ^nn++++=smile
of ^in++++=of
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
satisfaction ^nn+nom+++=satisfaction,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
great ^jj+atrb+++=great
object ^nn++++=object
in ^in++++=in
life ^nn++++=life
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
accomplished ^vbd+++xvbn+=accomplished.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
in ^cs+sub+++=in
that ^cs"++++=that
determined ^vbd+++xvbn+=determined
look ^vb++++=look
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
rather ^rb++++=rather
be ^vb+be+aux++=be
shot ^vpsv++agls+xvbnx+=shot
down ^rb+phrv+++=down
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog
than ^in++++=than
yield ^vb++++=yield
to ^to++++=to
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
was ^vbd+bedz+vrb++=was
tyranny ^nn++++=tyranny
and ^cc++++=and
