That ^dt+pdem+++=That
allow ^vbi++++=allow
me ^pp1o+pp1+++=me
unmolested ^jj++++=unmolested
to ^to++++=to
attend ^vbi++++=attend
to ^in++++=to
my ^pp$+pp1+++=my
household ^nn++++=household
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
I ^pp1a+pp1+++=I
will ^md+prd+++=will
unhesitatingly ^rb++splt++=unhesitatingly
refer ^vb++++=refer
the ^ati++++=the
matter ^nn++++=matter
to ^in++++=to
my ^pp$+pp1+++=my
lord ^npt++++=lord
and ^cc++++=and
master ^nn++++=master,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
will ^md+prd+++=will
quit ^vb++++=quit
your ^pp$+pp2+++=your
service ^nn++++=service."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
brave ^jj+atrb+++=brave
reply ^nn++++=reply
rendered ^vbd+++xvbn+=rendered
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
brother ^nn++++=brother
more ^rbr++++=more
amorous ^jj++++=amorous
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
endeavoured ^vbd+++xvbnx+=endeavoured
to ^in++++=to
ensnare ^nn+++??+=ensnare
this ^dt+dem+++=this
noble ^jj+atrb+++=noble
woman ^nn++++=woman
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
dead ^jj++++=dead
or ^cc+phrs+++=or
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
never ^rb++++=never
doubted ^vbd+vprv++xvbn+=doubted
a ^at++++=a
bit ^nn++++=bit
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
in ^in++++=in
his ^pp$+pp3+++=his
clutches ^nns++++=clutches,
, ^zz++++=EXTRAWORD
relying ^vbg+++xvbg+=relying
upon ^in++++=upon
his ^pp$+pp3+++=his
dexterity ^nn+nom+++=dexterity
at ^in++++=at
this ^dt+dem+++=this
kind ^rb++++=kind
of ^rb"++++=of
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
joyous ^jj++++=joyous
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
employ ^vbi++++=employ
the ^ati++++=the
weapons ^nns++++=weapons
of ^in++++=of
all ^abn++++=all
other ^ap++++=other
kinds ^nns++++=kinds
of ^in++++=of
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
this ^dt+dem+++=this
sweet ^jj+atrb+++=sweet
game ^nn++++=game
is ^vbz+bez+aux++=is
taken ^vpsv++agls+xvbnx+=taken
running ^jj+++xvbg+=running,
, ^zz++++=EXTRAWORD
by ^in++++=by
taking ^xvbg+++xvbg+=taking
aim ^nn++++=aim,
, ^zz++++=EXTRAWORD
by ^in++++=by
torchlight ^nn++++=torchlight,
, ^zz++++=EXTRAWORD
by ^in++++=by
night ^nn++++=night,
, ^zz++++=EXTRAWORD
by ^in++++=by
day ^nn++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
waterside ^nn++++=waterside,
, ^zz++++=EXTRAWORD
in ^in++++=in
nets ^nns++++=nets,
, ^zz++++=EXTRAWORD
with ^in++++=with
falcons ^nns+++??+=falcons,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lance ^np++++=lance,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
horn ^nn++++=horn,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
decoy ^np++++=decoy
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
in ^in++++=in
snares ^nns++++=snares,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
toils ^nns++++=toils,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
bird ^nn++++=bird
call ^nn++++=call,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
scent ^nn++++=scent,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
cornet ^nn++++=cornet,
, ^zz++++=EXTRAWORD
in ^in++++=in
slime ^nn++++=slime,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
bait ^nn++++=bait,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lime-twig ^nn+++??+=lime-twig--indeed,
-- ^--+clp+++=EXTRAWORD
indeed ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
all ^abn++++=all
the ^ati++++=the
snares ^nns++++=snares
invented ^vbd+++xvbn+=invented
since ^in++++=since
the ^ati++++=the
banishment ^nn+nom+++=banishment
of ^in++++=of
Adam ^np++++=Adam.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
gets ^vbz++++=gets
killed ^vprf+++xvbn+=killed
in ^in++++=in
various ^jj+atrb+++=various
different ^jj+atrb+++=different
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
generally ^rb+down+++=generally
is ^vbz+bez+aux++=is
overridden ^vpsv++agls+xvbnx+=overridden.
. ^zz++++=EXTRAWORD
The ^ati++++=The
artful ^jj++++=artful
fellow ^jjb++++=fellow
ceased ^jj+++xvbn+=ceased
to ^to++++=to
mention ^nn+nom+++=mention
his ^pp$+pp3+++=his
desires ^nns++++=desires,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
a ^at++++=a
post ^nn++++=post
of ^in++++=of
honour ^nn++++=honour
given ^vwbn+++xvbn+=given
to ^in++++=to
the ^ati++++=the
Lady ^nn++++=Lady
of ^in++++=of
Hocquetonville ^np+++??+=Hocquetonville,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
household ^nn++++=household.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day
that ^tht+rel+obj++=that
the ^ati++++=the
said ^vbd+vpub+tht0+xvbn+=said
Isabella ^np+++??+=Isabella
went ^vbd+++xvbn+=went
to ^in++++=to
Vincennes ^np+++??+=Vincennes,
, ^zz++++=EXTRAWORD
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
sick ^jj+atrb+++=sick
King ^nn++++=King,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
him ^pp3o+pp3+++=him
master ^nn++++=master
of ^in++++=of
the ^ati++++=the
Hotel ^npl++++=Hotel
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded
the ^ati++++=the
chef ^nn++++=chef
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
delicate ^jj+atrb+++=delicate
and ^cc+phrs+++=and
royal ^jj+atrb+++=royal
supper ^nn++++=supper
prepared ^vwbn+++xvbn+=prepared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
serve ^vbi++++=serve
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
apartments ^nns+nom+++=apartments.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
for ^in++++=for
his ^pp$+pp3+++=his
obstinate ^jj+atrb+++=obstinate
lady ^nn++++=lady
by ^in++++=by
express ^jjb+atrb+++=express
command ^nn++++=command,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
pages ^nns++++=pages
of ^in++++=of
the ^ati++++=the
household ^nn++++=household.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Countess ^nns+nom+++=Countess
d ^zz++++=d'Hocquetonville,
'hocquetonville, ^nn+++??+=EXTRAWORD
believing ^vb+vprv++xvbg+=believing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
desired ^vpsv++by+xvbnx+=desired
by ^in++++=by
Madame ^npt++++=Madame
Isabella ^np+++??+=Isabella
for ^in++++=for
some ^dti++++=some
service ^nn++++=service
appertaining ^vwbg+++xvbg+=appertaining
to ^in++++=to
her ^pp$+pp3+++=her
post ^nn++++=post,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
invited ^vpsv++agls+xvbn+=invited
to ^in++++=to
some ^dti++++=some
sudden ^jj+atrb+++=sudden
amusement ^nn+nom+++=amusement,
, ^zz++++=EXTRAWORD
hastened ^j+++xvbn+=hastened
to ^in++++=to
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
In ^rb++++=In
consequence ^nn+nom+++=consequence
of ^in++++=of
the ^ati++++=the
precautions ^nns+nom+++=precautions
taken ^vwbn+++xvbn+=taken
by ^in++++=by
the ^ati++++=the
disloyal ^jj+atrb+++=disloyal
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
inform ^vb++++=inform
the ^ati++++=the
noble ^jj+atrb+++=noble
dame ^np++++=dame
of ^in++++=of
the ^ati++++=the
princess ^nns+nom+++=princess's
's ^$++++=EXTRAWORD
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
hastened ^vbd+++xvbnx+=hastened
to ^in++++=to
the ^ati++++=the
splendid ^jj+atrb+++=splendid
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Hotel ^npl++++=Hotel
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul,
, ^zz++++=EXTRAWORD
led ^j+++xvbn+=led
into ^in++++=into
the ^ati++++=the
queen ^nn++++=queen's
's ^vbz+bez+vrb++0=EXTRAWORD
bedchamber ^jjr++++=bedchamber;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
Duc ^np+++??+=Duc
d ^zz++++=d'Orleans
'orleans ^nns+nom+++0=EXTRAWORD
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Suspecting ^vbg+vprv++xvbg+=Suspecting
some ^dti++++=some
treacherous ^jj+atrb+++=treacherous
plot ^nn++++=plot,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
quickly ^rb++++=quickly
into ^in++++=into
the ^ati++++=the
other ^ap++++=other
room ^nn++++=room,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
no ^at++++=no
queen ^npt++++=queen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
heard ^vbd+vprv+tht0+xvbn+=heard
the ^ati++++=the
Prince ^nn++++=Prince
give ^vb++++=give
vent ^nn++++=vent
to ^in++++=to
a ^at++++=a
hearty ^jj+atrb+++=hearty
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
undone ^vpsv++agls+xvbnx+=undone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
endeavoured ^vbd+++xvbnx+=endeavoured
to ^to++++=to
run ^vbi++++=run
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
good ^jj+atrb+++=good
lady ^npt++++=lady-killer
- ^zz++++=EXTRAWORD
killer ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
posted ^vprf+++xvbnx+=posted
about ^in++++=about
devoted ^vbd+++xvbn+=devoted
attendants ^nns+nom+++=attendants,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
closed ^j+++xvbn+=closed
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
barricaded ^xvbn+++xvbn+=barricaded
the ^ati++++=the
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
this ^dt+dem+++=this
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
large ^jj++++=large
that ^cs+sub+++=that
it ^pp3+it+++=it
equalled ^vbd+++xvbn+=equalled
a ^at++++=a
fourth ^od++++=fourth
of ^in++++=of
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lady ^npt++++=Lady
d ^zz++++=d'Hocquetonville
'hocquetonville ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^in++++=as
in ^in"++++=in
a ^at++++=a
desert ^nn++++=desert,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
other ^ap++++=other
aid ^nn++++=aid
than ^in++++=than
that ^dt+dem+++=that
of ^in++++=of
her ^pp$+pp3+++=her
patron ^nn++++=patron
saint ^nn++++=saint
and ^cc++++=and
God ^nn++++=God.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
suspecting ^vbg+vprv++xvbg+=suspecting
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poor ^jj+atrb+++=poor
lady ^npt++++=lady
trembled ^vbd+++xvbn+=trembled
from ^in++++=from
head ^nn++++=head
to ^in++++=to
foot ^nn++++=foot
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
into ^in+ppvb+++=into
a ^at++++=a
chair ^nn++++=chair;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
working ^jj+++xvbg+=working
of ^in++++=of
this ^dt+dem+++=this
snare ^nn++++=snare,
, ^zz++++=EXTRAWORD
so ^ql++++=so
cleverly ^rb++++=cleverly
conceived ^vbd+++xvbn+=conceived,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
with ^in++++=with
many ^ap++++=many
a ^at++++=a
hearty ^jj+atrb+++=hearty
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
revealed ^j+++xvbn+=revealed
to ^in++++=to
her ^pp$+pp3+++=her
by ^in++++=by
her ^pp$+pp3+++=her
lover ^nn++++=lover.
. ^zz++++=EXTRAWORD
Directly ^rb++++=Directly
the ^ati++++=the
duke ^npt++++=duke
made ^vbd+++xvbn+=made
a ^at++++=a
movement ^nn+nom+++=movement
to ^in++++=to
approach ^nn++++=approach
her ^pp$+pp3+++=her
this ^dt+dem+++=this
woman ^nn++++=woman
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
exclaimed ^vbd+++xvbn+=exclaimed,
, ^zz++++=EXTRAWORD
arming ^vbg+++xvbg+=arming
herself ^ppl+pp3+++=herself
first ^rb++++=first
with ^in++++=with
her ^pp$+pp3+++=her
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flashing ^jj+atrb++xvbg+=flashing
one ^cd1++++=one
thousand ^cd++++=thousand
maledictions ^nns+nom+++=maledictions
from ^in++++=from
her ^pp$+pp3+++=her
eyes ^nns++++=eyes-"You
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
possess ^nns+nom+++=possess
me ^pp1o+pp1+++=me--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
dead ^jj++++=dead!
! ^zz++++=EXTRAWORD
Ha ^uh++++=Ha!
! ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
force ^nn++++=force
me ^pp1o+pp1+++=me
to ^in++++=to
a ^at++++=a
struggle ^nn++++=struggle
which ^whp+rel+subj++=which
must ^md+nec+++=must
become ^vb++++=become
known ^vbd+vprv++xvbn+=known
to ^in+vcmp+++=to
certain ^jj+atrb+++=certain
people ^nns++++=people.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
yet ^rb++++=yet
retire ^vb++++=retire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Sire ^np+++??+=Sire
d ^zz++++=d'Hocquetonville
'hocquetonville ^nn+++??+=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
ignorant ^jj+pred+++=ignorant
of ^in++++=of
the ^ati++++=the
sorrow ^nn++++=sorrow
with ^in++++=with
which ^whp+rel+pied++=which
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
forever ^rb++splt++=forever
tinged ^vprf+++xvbnx+=tinged
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Duke ^nn++++=Duke,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
too ^ql++++=too
often ^rb++++=often
in ^in++++=in
the ^ati++++=the
ladies ^nns++++=ladies'
' ^zz++++=EXTRAWORD
faces ^nns++++=faces
to ^to++++=to
find ^vbi+vprv+++=find
time ^nn++++=time
to ^in++++=to
study ^nn++++=study
men ^nns++++=men's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
therefore ^rb+cnj+++=therefore
know ^vb+vprv+++=know
your ^pp$+pp2+++=your
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Sire ^np+++??+=Sire
d ^zz++++=d'Hocquetonville
'hocquetonville ^nn+++??+=EXTRAWORD
would ^md+prd+++=would
let ^vb+++xvbn+=let
himself ^ppl+pp3+++=himself
be ^vb+be+aux++=be
hacked ^vpsv++agls+xvbnx+=hacked
to ^in++++=to
pieces ^nns++++=pieces
in ^in++++=in
your ^pp$+pp2+++=your
service ^nn++++=service,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
devoted ^jj+++xvbn+=devoted
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
memory ^nn++++=memory
of ^in++++=of
your ^pp$+pp2+++=your
kindness ^nns+nom+++=kindness
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
partial ^jj+pred+++=partial
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
he ^pp3a+pp3+++=he
loves ^vbz++++=loves
so ^ql++++=so
does ^vbz+doz+aux++=does
he ^pp3a+pp3+++=he
hate ^vb++++=hate;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
bring ^vbi++++=bring
his ^pp$+pp3+++=his
mace ^nn++++=mace
down ^in++++=down
upon ^in++++=upon
your ^pp$+pp2+++=your
head ^nn++++=head,
, ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
his ^pp$+pp3+++=his
revenge ^nn++++=revenge,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
but ^cc++++=but
compel ^vb++++=compel
me ^pp1o+pp1+++=me
to ^to++++=to
utter ^vbi++++=utter
one ^cd1++++=one
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
desire ^vb++++=desire
both ^abx++++=both
my ^pp$+pp1+++=my
death ^nn++++=death
and ^cc++++=and
your ^pp$+pp2+++=your
own ^ap++++=own?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
be ^vb+be+aux++=be
assured ^vpsv++tht0+xvbnx+=assured
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
honest ^jj+atrb+++=honest
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
good ^jj++++=good
or ^cc++++=or
evil ^nn++++=evil,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
keep ^vb++++=keep
no ^at++++=no
secret ^nn++++=secret.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bad ^jj++++=bad
fellow ^jjb++++=fellow
began ^vbd+++xvbn+=began
to ^to++++=to
whistle ^vbi++++=whistle.
. ^zz++++=EXTRAWORD
Hearing ^vbg+vprv++xvbg+=Hearing
his ^pp$+pp3+++=his
whistling ^jj++++=whistling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
good ^jj+atrb+++=good
woman ^nn++++=woman
went ^vbd+++xvbn+=went
suddenly ^rb++++=suddenly
into ^in++++=into
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vpsv++agls+xvbn+=took
from ^in++++=from
a ^at++++=a
place ^nn++++=place
known ^vbd+++xvbn+=known
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
therein ^rb+cnj+++=therein,
, ^zz++++=EXTRAWORD
a ^at++++=a
sharp ^jj+atrb+++=sharp
stiletto ^nn+++??+=stiletto.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
duke ^npt++++=duke
followed ^vbd+vprv++xvbn+=followed
her ^pp$+pp3+++=her
to ^to++++=to
ascertain ^vbi+vprv+++=ascertain
what ^wdt+who+whcl++=what
this ^dt+dem+++=this
flight ^nn++++=flight
meant ^vbd+vprv++xvbn+=meant,
, ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
pass ^vb++++=pass
that ^dt+dem+++=that
line ^nn++++=line,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
a ^at++++=a
board ^nn++++=board,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
kill ^vb++++=kill
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
without ^in++++=without
being ^nn++++=being
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
terrified ^jj++++=terrified,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
very ^ql+amp+++=very
edge ^np++++=edge
of ^in++++=of
the ^ati++++=the
plank ^nn++++=plank
in ^in++++=in
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commenced ^vbd+++xvbn+=commenced
a ^at++++=a
glowing ^jj+atrb++xvbg+=glowing
description ^nn+nom+++=description
of ^in++++=of
certain ^jj+atrb+++=certain
things ^nns++++=things,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
to ^to+vcmp+++=to
influence ^nn+nom+++=influence
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
this ^dt+dem+++=this
brave ^jj+atrb+++=brave
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
work ^nn++++=work
her ^pp3o+pp3+++=her
to ^in++++=to
that ^dt+dem+++=that
point ^nn++++=point
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
should ^md+nec+++=should
be ^vb+be+vrb++=be
at ^in++++=at
his ^pp$+pp3+++=his
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
commenced ^vbd+++xvbnx+=commenced
to ^to++++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
delicate ^jj+atrb+++=delicate
manner ^nn++++=manner
to ^to++++=to
which ^whp+who+++=which
princes ^nns++++=princes
are ^vb+ber+aux++=are
accustomed ^vpsv++agls+xvbnx+=accustomed,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
virtuous ^jj+atrb+++=virtuous
women ^nns++++=women
pay ^vb++++=pay
dearly ^rb++++=dearly
for ^in++++=for
their ^pp$+pp3+++=their
virtue ^nn++++=virtue,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
gain ^vb++++=gain
the ^ati++++=the
uncertain ^jj+atrb+++=uncertain
blessings ^nns++++=blessings
of ^in++++=of
the ^ati++++=the
future ^jjb++++=future,
