Over ^in++++=Over
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
a ^at++++=a
gross ^jj+atrb+++=gross
and ^cc+phrs+++=and
reckless ^jj+atrb+++=reckless
feeder ^nn++++=feeder,
, ^zz++++=EXTRAWORD
like ^in++++=like
Rulledge ^np+++??+=Rulledge
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
about ^in+ppvb+++=about
like ^in++++=like
ancestral ^jj+atrb+++=ancestral
voices ^nns++++=voices
prophesying ^vwbg+vpub++xvbg+=prophesying
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
dreadful ^jj+atrb+++=dreadful
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
rather ^rb++++=rather
cheap ^jj+atrb+++=cheap
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
even ^rb++++=even
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
presentiments ^nns+nom+++=presentiments
ran ^vbd+++xvbn+=ran
in ^in++++=in
_your_ ^nn+++??+=_your_
family ^nn++++=family?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
my ^pp$+pp1+++=my
theory ^nn++++=theory
fails ^vbz++++=fails.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
continued ^vbd+++xvbn+=continued
soberly ^jj++++=soberly,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
talk ^nn++++=talk
there ^ex+pex+++=there
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
about ^in++++=about
them ^pp3o+pp3+++=them
among ^in++++=among
my ^pp$+pp1+++=my
people ^nns++++=people.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
serious ^jj+atrb+++=serious
people ^nns++++=people
in ^in++++=in
an ^at++++=an
unreligious ^jj+atrb+++=unreligious
way ^nn++++=way,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
an ^at++++=an
unecclesiastical ^jj+atrb+++=unecclesiastical
way ^nn++++=way.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
never ^rb++++=never
spiritualists ^nns+nom+++=spiritualists,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
who ^whp+who+++=who
doubted ^vbd+vprv++xvbn+=doubted
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
live ^vb++++=live
hereafter ^nn+nom+++=hereafter;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
a ^at++++=a
dignity ^nn+nom+++=dignity
to ^in++++=to
their ^pp$+pp3+++=their
conversation ^nn+nom+++=conversation
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
do ^vbi++++=do
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
houses ^nns++++=houses
on ^in++++=on
Sunday ^nr++++=Sunday
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
of ^in++++=of
common ^jj+atrb+++=common
things ^nns++++=things.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
my ^pp$+pp1+++=my
uncles ^nns+++??+=uncles
was ^vbd+bedz+vrb++=was
a ^at++++=a
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
another ^dt++++=another
a ^at++++=a
doctor ^nn++++=doctor;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
portrait ^nn++++=portrait-painter
- ^zz++++=EXTRAWORD
painter ^nn++++=EXTRAWORD
by ^in++++=by
profession ^nn++++=profession,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sign ^nn++++=sign-painter
- ^zz++++=EXTRAWORD
painter ^nn++++=EXTRAWORD
by ^in++++=by
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
that ^tht+vcmp+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
my ^pp$+pp1+++=my
knack ^nn++++=knack,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
The ^ati++++=The
merchant ^nn+nom+++=merchant
was ^vbd+bedz+vrb++=was
an ^at++++=an
invalid ^nn++++=invalid,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
about ^in++++=about
his ^pp$+pp3+++=his
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
people ^nns++++=people
merely ^rb+down+++=merely
recognized ^jj+++xvbn+=recognized
him ^pp3o+pp3+++=him
as ^ql++++=as
being ^jj+++xvbg+=being
out ^rp+pl+++=out
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
could ^md+pos+++=could
call ^vb++++=call,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+dem+++=that
day ^nn++++=day
and ^cc++++=and
region ^nn++++=region--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Middle ^jjb++++=Middle
West ^np+pl+++=West
of ^in++++=of
the ^ati++++=the
early ^jj++++=early
fifties ^cds++++=fifties--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
man ^nn++++=man
of ^in++++=of
unusual ^jj+atrb+++=unusual
refinement ^nn+nom+++=refinement.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
temperamental ^jj+pred+++=temperamental
with ^in++++=with
him ^pp3o+pp3+++=him
largely ^rb++++=largely;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
cultivated ^vprf+++xvbnx+=cultivated
tastes ^nns++++=tastes,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
peculiarly ^rb++++=peculiarly
gentle ^jj+atrb+++=gentle
person ^nn++++=person,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
pensive ^jj+atrb+++=pensive
cast ^nn+++xvbn+=cast
of ^in++++=of
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
accomplishment ^nn+nom+++=accomplishment
of ^in++++=of
playing ^xvbg+++xvbg+=playing
the ^ati++++=the
flute ^nn++++=flute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
why ^wrb+who+++=why
nobody ^pn++++=nobody
plays ^vbz++++=plays
the ^ati++++=the
flute ^nn++++=flute
nowadays ^rb+cnj+++=nowadays,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mused ^vbd+++xvbnx+=mused
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
quite ^rb++++=quite
obsolete ^jj++++=obsolete,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
only ^rb+down+++=only
play ^nn++++=play
the ^ati++++=the
flute ^nn++++=flute
in ^in++++=in
the ^ati++++=the
orchestras ^nns++++=orchestras
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
plays ^vbz++++=plays
it ^pp3+it+++=it
and ^cc++++=and
think ^vb+vprv+++=think
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
nice ^jj++++=nice
to ^to+jcmp+++=to
me ^pp1o+pp1+++=me
as ^in++++=as
a ^at++++=a
child ^nn++++=child;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
filial ^jj+atrb+++=filial
way ^nn++++=way;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
aunt ^nn++++=aunt;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
pretty ^rb++++=pretty
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
as ^ql++++=as
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
at ^in++++=at
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sang ^vbd+++xvbn+=sang
and ^cc+phrs+++=and
played ^vbd+++xvbn+=played
to ^in++++=to
his ^pp$+pp3+++=his
fluting ^nvbg+++xvbg+=fluting.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
forward ^rb++++=forward
at ^rb++++=at
the ^ati++++=the
music ^nn++++=music,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
curls ^nns++++=curls
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
neck ^nn++++=neck;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
wore ^vbd+++xvbnx+=wore
curls ^nns++++=curls
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
grown ^j+++xvbn+=grown-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
women ^nns++++=women;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
curls ^nns++++=curls
are ^vb+ber+vrb++=are
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
beauty ^nn++++=beauty
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
without ^in++++=without
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++=of
her ^pp$+pp3+++=her
without ^in++++=without
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
delicate ^jj+pred+++=delicate,
, ^zz++++=EXTRAWORD
too ^ql++++=too;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
really ^rb+emph+++=really
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
invalids ^nns++++=invalids;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
none ^pn++++=none
of ^in++++=of
his ^pp$+pp3+++=his
melancholy ^nn++++=melancholy.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
several ^ap++++=several
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
after ^in++++=after
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
left ^jj+++xvbn+=left
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
speaking ^vbg+++xvbgx+=speaking
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rather ^rb++++=rather
wonder ^nn++++=wonder,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
those ^dt+dem+++=those
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
ghost ^nn++++=ghost-cousins
- ^zz++++=EXTRAWORD
cousins ^nns++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
me ^pp1o+pp1+++=me
uncomfortable ^jj++++=uncomfortable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
superstitious ^jj+atrb+++=superstitious
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
seem ^vb+seem+++=seem
not ^xnot++not++=not
to ^to++++=to
have ^vbi+vbi+aux++=have
thought ^vprf+++xvbnx+=thought
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
played ^vbd+++xvbnx+=played
with ^in++++=with
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked
going ^vbg+++xvbg+=going
to ^in++++=to
my ^pp$+pp1+++=my
uncle ^nn++++=uncle's
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
anywhere ^rb++++=anywhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
preferred ^vbd+++xvbnx+=preferred
going ^vbg+++xvbg+=going
in ^in++++=in
the ^ati++++=the
daytime ^nn++++=daytime
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
my ^pp$+pp1+++=my
cousin ^nn++++=cousin
and ^cc++++=and
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
in ^in++++=in
a ^at++++=a
nook ^nn++++=nook
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden
and ^cc++++=and
fought ^xvbn+++xvbn+=fought
violets ^nns+nom+++=violets,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
called ^vbd+++xvbn+=called
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
hooked ^j+++xvbn+=hooked
the ^ati++++=the
wry ^jj+atrb+++=wry
necks ^nns++++=necks
of ^in++++=of
the ^ati++++=the
flowers ^nns+nom+++=flowers
together ^nn+nom+++=together
and ^cc++++=and
twitched ^jj+++xvbn+=twitched
to ^to++++=to
see ^vbi+vprv+++=see
which ^wdt+who+whcl++=which
blossom ^vb++++=blossom
would ^md+prd+++=would
come ^vprf+++xvbn+=come
off ^in+pl+++=off
first ^rb++++=first.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
sunny ^jj++++=sunny
little ^ap++++=little
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
like ^in++++=like
her ^pp$+pp3+++=her
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
like ^in++++=like
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
express ^jjb++++=express
the ^ati++++=the
feeling ^jj+++xvbg+=feeling
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
for ^in++++=for
my ^pp$+pp1+++=my
aunt ^nn++++=aunt;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
the ^ati++++=the
embodiment ^nn+nom+++=embodiment
of ^in++++=of
a ^at++++=a
world ^nn++++=world
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
at ^rb++++=at
once ^rb"+tm+++=once
very ^ql+amp+++=very
proud ^jj++++=proud
and ^cc++++=and
very ^ql+amp+++=very
good ^jj++++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
she ^pp3a+pp3+++=she
dressed ^vbd+++xvbnx+=dressed
fashionably ^rb+cnj+++=fashionably,
, ^zz++++=EXTRAWORD
as ^ql++++=as
things ^nns++++=things
went ^vbd+++xvbn+=went
then ^rn+tm+++=then
and ^cc++++=and
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
style ^nn++++=style
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
fascinated ^vwbn+++xvbn+=fascinated
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
anything ^pn++++=anything
to ^to++++=to
please ^uh++++=please
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
more ^ql++++=more
than ^cs+sub+++=than
to ^to++++=to
please ^uh++++=please
my ^pp$+pp1+++=my
cousin ^nn++++=cousin.
. ^zz++++=EXTRAWORD
With ^in++++=With
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
squabble ^vb++++=squabble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
sent ^vwbn+++xvbn+=sent
her ^pp$+pp3+++=her
crying ^nvbg+++xvbg+=crying
to ^in++++=to
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
always ^rb++++=always
ran ^vbd+++xvbn+=ran
off ^rb+phrv+++=off
home ^nr++++=home,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
sneaked ^vbd+++xvbnx+=sneaked
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
for ^in++++=for
to ^to++++=to
come ^vbi++++=come
and ^cc++++=and
play ^nn++++=play
with ^in++++=with
my ^pp$+pp1+++=my
cousin ^nn++++=cousin,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
scolded ^vbd+++xvbn+=scolded
for ^in++++=for
my ^pp$+pp1+++=my
wickedness ^nns+nom+++=wickedness.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
uncle ^nn++++=uncle
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
prosperous ^jj+pred+++=prosperous
than ^in++++=than
his ^pp$+pp3+++=his
brothers ^nns+nom+++=brothers;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
much ^ap++++=much
better ^jjr++++=better
house ^npl++++=house
than ^in++++=than
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
awe ^nn++++=awe-struck
- ^zz++++=EXTRAWORD
struck ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
its ^pp$+it+++=its
magnificence ^nn+nom+++=magnificence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
twice ^rb++++=twice
a ^at++++=a
year ^nn++++=year
to ^to++++=to
buy ^vbi++++=buy
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
things ^nns++++=things
sent ^vbd+++xvbn+=sent
back ^jjb++++=back
for ^in++++=for
his ^pp$+pp3+++=his
house ^npl++++=house
such ^abl++++=such
as ^ql++++=as
we ^pp1a+pp1+++=we
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
elsewhere ^rb++++=elsewhere;
; ^zz++++=EXTRAWORD
those ^dt+dem+++=those
cask ^nn+++??+=cask-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
seats ^nns++++=seats
of ^in++++=of
blue ^jj+atrb+++=blue
china ^np++++=china
for ^in++++=for
the ^ati++++=the
verandas ^nns+++??+=verandas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bamboo ^nn+++??+=bamboo
chairs ^nns++++=chairs.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
cane ^nn++++=cane-bottom
- ^zz++++=EXTRAWORD
bottom ^jjb+atrb+++=EXTRAWORD
chairs ^nns++++=chairs
in ^in++++=in
the ^ati++++=the
sitting ^jj+++xvbg+=sitting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
in ^in++++=in
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
room ^nn++++=room;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor
the ^ati++++=the
large ^jj+atrb+++=large
pieces ^nns++++=pieces
were ^vbd+bed+vrb++=were
of ^in++++=of
mahogany ^nn++++=mahogany
veneer ^nn++++=veneer,
, ^zz++++=EXTRAWORD
upholstered ^jj++++=upholstered
in ^in++++=in
black ^jj+atrb+++=black
hair ^nn++++=hair-cloth;
- ^zz++++=EXTRAWORD
cloth ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
held ^vbd+vprv++xvbnx+=held
me ^pp1o+pp1+++=me
in ^in++++=in
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
piano ^nn++++=piano
filled ^vbd+++xvbn+=filled
half ^abn++++=half
the ^ati++++=the
place ^nn++++=place;
; ^zz++++=EXTRAWORD
the ^ati++++=the
windows ^nns++++=windows
came ^vbd+++xvbn+=came
down ^rb+phrv+++=down
to ^in+ppvb+++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
Venetian ^np+++??+=Venetian
blinds ^nns++++=blinds
and ^cc++++=and
lace ^nn++++=lace
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
all ^rb++++=all
went ^vbd+++xvbn+=went
in ^in++++=in
there ^rn+pl+++=there
after ^in++++=after
the ^ati++++=the
Sunday ^nr++++=Sunday
night ^nn++++=night
supper ^nn++++=supper,
