Possibly ^rb++++=Possibly
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
stiff ^jj+atrb+++=stiff
breeze ^nn++++=breeze
at ^in++++=at
our ^pp$+pp1+++=our
back ^jjb++++=back
drove ^vbd+++xvbn+=drove
us ^pp1o+pp1+++=us
after ^cs+sub+++=after
them ^pp3o+pp3+++=them
far ^rb+pl+++=far
faster ^rbr++++=faster
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
could ^md+pos+++=could
row ^vb++++=row.
. ^zz++++=EXTRAWORD
Closer ^rbr++++=Closer
and ^cc+phrs+++=and
closer ^rbr++++=closer
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
down ^rp++++=down
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
reaching ^vbg+++xvbgx+=reaching
out ^rp+pl+++=out
to ^to++++=to
grasp ^vbi+vprv+++=grasp
the ^ati++++=the
skiff ^nn+++??+=skiff,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
ducked ^vbd+++xvbn+=ducked
under ^in++++=under
the ^ati++++=the
great ^jj++++=great
stern ^jj++++=stern
of ^in++++=of
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chase ^nn++++=chase
was ^vbd+bedz+vrb++=was
virtually ^rb+down+++=virtually
where ^wrb+who+++=where
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Italians ^nn++++=Italians
were ^vbd+bed+aux++=were
rowing ^vbg+++xvbgx+=rowing
up ^rp++++=up
the ^ati++++=the
starboard ^nn++++=starboard
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
hauled ^vpsv++agls+xvbnx+=hauled
close ^jj++++=close
on ^in++++=on
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
slowly ^rb++++=slowly
edging ^vbg+++xvbg+=edging
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
ship ^nn++++=ship
as ^ql++++=as
we ^pp1a+pp1+++=we
worked ^vbd+++xvbn+=worked
to ^in++++=to
windward ^jjb++++=windward.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
darted ^vbd+++xvbnx+=darted
around ^rp++++=around
her ^pp$+pp3+++=her
bow ^nn++++=bow
and ^cc++++=and
began ^vbd+++xvbn+=began
the ^ati++++=the
row ^nn++++=row
down ^rp++++=down
her ^pp3o+pp3+++=her
port ^npl++++=port
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
tacked ^vbd+++xvbn+=tacked
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
her ^pp$+pp3+++=her
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
plunging ^vbg+++xvbg+=plunging
down ^in++++=down
the ^ati++++=the
wind ^nn++++=wind
hot ^jj++++=hot
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
reaching ^vbg+++xvbgx+=reaching
for ^in++++=for
the ^ati++++=the
skiff ^nn+++??+=skiff,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ducked ^vbd+++xvbn+=ducked
under ^in++++=under
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
stern ^nn++++=stern
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
around ^rp++++=around
and ^cc+phrs+++=and
around ^rb+cnj+++=around,
, ^zz++++=EXTRAWORD
the ^ati++++=the
skiff ^nn+++??+=skiff
each ^dt++++=each
time ^nn++++=time
just ^rb+emph+++=just
barely ^rb+down+++=barely
ducking ^jj+++xvbg+=ducking
into ^in++++=into
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
crew ^nn++++=crew
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
aware ^jj++++=aware
of ^in++++=of
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
their ^pp$+pp3+++=their
heads ^nns++++=heads
in ^in++++=in
a ^at++++=a
long ^rb++++=long
row ^nn++++=row
as ^ql++++=as
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
us ^pp1o+pp1+++=us
over ^in++++=over
the ^ati++++=the
bulwarks ^nns+++??+=bulwarks.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
time ^nn++++=time
we ^pp1a+pp1+++=we
missed ^vbd+++xvbn+=missed
the ^ati++++=the
skiff ^nn+++??+=skiff
at ^rb++++=at
the ^ati++++=the
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
set ^vbd+++xvbnx+=set
up ^rb+phrv+++=up
a ^at++++=a
wild ^jj+atrb+++=wild
cheer ^nn++++=cheer
and ^cc++++=and
dashed ^vpsv++agls+xvbn+=dashed
across ^in+pl+++=across
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
chase ^nn++++=chase
to ^in++++=to
wind ^nn++++=wind-ward.
- ^zz++++=EXTRAWORD
ward ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
showered ^vbd+++xvbnx+=showered
us ^pp1o+pp1+++=us
and ^cc++++=and
the ^ati++++=the
Italians ^nn++++=Italians
with ^in++++=with
jokes ^nns++++=jokes
and ^cc++++=and
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
our ^pp$+pp1+++=our
Greek ^jj++++=Greek
so ^ql+emph+++=so
angry ^jj++++=angry
that ^tht+jcmp+++=that
at ^rb++++=at
least ^rb"++++=least
once ^rb+tm+++=once
on ^in++++=on
each ^ppls++++=each
circuit ^np++++=circuit
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
fist ^nn++++=fist
and ^cc++++=and
shook ^vbd+++xvbn+=shook
it ^pp3+it+++=it
at ^rb++++=at
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
each ^dt++++=each
display ^vb++++=display
greeted ^vbd+++xvbn+=greeted
it ^pp3+it+++=it
with ^in++++=with
uproarious ^jj+atrb+++=uproarious
mirth ^nn++++=mirth.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
a ^at++++=a
circus ^nn++++=circus!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Tork
tork ^nn+++??+=EXTRAWORD
about ^in++++=about
yer ^pp$++++=yer
marine ^jj+atrb+++=marine
hippodromes ^nns+++??+=hippodromes,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
this ^dt+dem+++=this
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
affirmed ^vbd+++xvbn+=affirmed
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="Six-days-go-as-yer-please,"
six ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
as ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
yer ^pp$++++=EXTRAWORD
- ^zz++++=EXTRAWORD
please ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
announced ^vbd+vpub++xvbn+=announced
a ^at++++=a
third ^nn++++=third.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
the ^ati++++=the
dagoes ^nns+++??+=dagoes
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
win ^vb++++=win?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
next ^ap++++=next
tack ^nn++++=tack
to ^in++++=to
windward ^jjb++++=windward
the ^ati++++=the
Greek ^nn++++=Greek
offered ^vbd+++xvbn+=offered
to ^in++++=to
change ^nn++++=change
places ^nns++++=places
with ^in++++=with
Charley ^np++++=Charley.
. ^zz++++=EXTRAWORD
" ^zz++++="Let-a
let ^vb+++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
me ^pp1o+pp1+++=me
sail ^vb++++=sail-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
de ^&fw++++=de
boat ^nn++++=boat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
fix ^vb++++=fix-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
catch ^vb++++=catch-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
stroke ^nn++++=stroke
at ^in++++=at
Charley ^np++++=Charley's
's ^$++++=EXTRAWORD
professional ^jj+atrb+++=professional
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
for ^in++++=for
pride ^nn++++=pride
himself ^ppl+pp3+++=himself
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
upon ^in++++=upon
his ^pp$+pp3+++=his
boat ^nn++++=boat-sailing
- ^zz++++=EXTRAWORD
sailing ^nvbg+++xvbg+=EXTRAWORD
abilities ^nns+nom+++=abilities;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
yielded ^vbd+++xvbnx+=yielded
the ^ati++++=the
tiller ^nn++++=tiller
to ^in++++=to
the ^ati++++=the
prisoner ^nn+nom+++=prisoner
and ^cc++++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
place ^nn++++=place
at ^in++++=at
the ^ati++++=the
sheet ^nn++++=sheet.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
times ^nns++++=times
again ^rb+tm+++=again
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
the ^ati++++=the
circuit ^nn++++=circuit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Greek ^nn++++=Greek
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
get ^vb++++=get
no ^at++++=no
more ^rbr++++=more
speed ^nn++++=speed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
than ^in++++=than
Charley ^np++++=Charley
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
" ^zz++++="Better
better ^jjr++++=EXTRAWORD
give ^vb++++=give
it ^pp3+it+++=it
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sailors ^nns++++=sailors
advised ^vwbn+vpub++xvbn+=advised
from ^in++++=from
above ^nn++++=above.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Greek ^nn++++=Greek
scowled ^vbd+++xvbn+=scowled
ferociously ^rb++++=ferociously
and ^cc++++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
fist ^nn++++=fist
in ^in++++=in
his ^pp$+pp3+++=his
customary ^jj+atrb+++=customary
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
meanwhile ^rb++++=meanwhile
my ^pp$+pp1+++=my
mind ^nn++++=mind
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
idle ^jj++++=idle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
finally ^rb++splt++=finally
evolved ^vprf+++xvbnx+=evolved
an ^at++++=an
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
time ^nn++++=time
more ^rbr++++=more,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
we ^pp1a+pp1+++=we
laid ^vbd+++xvbn+=laid
out ^rb+phrv+++=out
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
tack ^nn++++=tack
to ^in++++=to
wind ^nn++++=wind-ward,
- ^zz++++=EXTRAWORD
ward ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bent ^vbd+++xvbnx+=bent
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
line ^nn++++=line
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
grappling ^nn+nom+++=grappling
hook ^nn++++=hook
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
lying ^vbg+++xvbg+=lying
in ^in++++=in
the ^ati++++=the
bail ^nn++++=bail-hole.
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
line ^nn++++=line
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
fast ^rb++++=fast
to ^in++++=to
the ^ati++++=the
ring ^nn++++=ring-bolt
- ^zz++++=EXTRAWORD
bolt ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
hook ^nn++++=hook
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
use ^vbi++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^ql++++=more
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
their ^pp$+pp3+++=their
leeward ^rb++++=leeward
pull ^vb++++=pull
down ^rb+phrv+++=down
the ^ati++++=the
port ^nn++++=port
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
more ^ql++++=more
we ^pp1a+pp1+++=we
churned ^vbd+++xvbn+=churned
down ^rp++++=down
after ^in++++=after
them ^pp3o+pp3+++=them
before ^in++++=before
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Nearer ^rbr++++=Nearer
and ^cc+phrs+++=and
nearer ^rbr++++=nearer
we ^pp1a+pp1+++=we
drew ^vbd+++xvbn+=drew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
believe ^vb+vprv+++=believe
to ^to+vcmp+++=to
reach ^vbi++++=reach
for ^in++++=for
them ^pp3o+pp3+++=them
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stern ^nn++++=stern
of ^in++++=of
the ^ati++++=the
skiff ^nn+++??+=skiff
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
six ^cd++++=six
feet ^nns++++=feet
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
laughing ^vbg+++xvbgx+=laughing
at ^in+ppvb+++=at
me ^pp1o+pp1+++=me
derisively ^rb++++=derisively
as ^ql++++=as
they ^pp3a+pp3+++=they
ducked ^vbd+++xvbnx+=ducked
under ^in++++=under
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
suddenly ^rb++++=suddenly
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
threw ^vbd+++xvbn+=threw
the ^ati++++=the
grappling ^nn+nom+++=grappling
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
caught ^vbd+++xvbn+=caught
fairly ^rb++++=fairly
and ^cc+phrs+++=and
squarely ^rb++++=squarely
on ^in++++=on
the ^ati++++=the
rail ^nn++++=rail
of ^in++++=of
the ^ati++++=the
skiff ^nn+++??+=skiff,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
jerked ^vpsv++agls+xvbnx+=jerked
backward ^jj++++=backward
out ^rp+pl+++=out
of ^in++++=of
safety ^nn++++=safety
as ^in++++=as
the ^ati++++=the
rope ^nn++++=rope
tautened ^vbd+++xvbn+=tautened
and ^cc++++=and
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
ploughed ^vbd+++xvbn+=ploughed
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
A ^at++++=A
groan ^nn++++=groan
went ^vbd+++xvbn+=went
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
row ^nn++++=row
of ^in++++=of
sailors ^nns++++=sailors
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
quickly ^rb++++=quickly
changed ^vbd+++xvbn+=changed
to ^in++++=to
a ^at++++=a
cheer ^vb++++=cheer
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Italians ^nn++++=Italians
whipped ^vbd+++xvbn+=whipped
out ^rp+pl+++=out
a ^at++++=a
long ^jj+atrb+++=long
sheath ^nn++++=sheath-knife
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
and ^cc++++=and
cut ^vb+++xvbn+=cut
the ^ati++++=the
rope ^nn++++=rope.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
of ^in++++=of
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
stern ^jj++++=stern-sheets,
- ^zz++++=EXTRAWORD
sheets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
over ^in++++=over
and ^cc++++=and
clutched ^vbd+++xvbn+=clutched
the ^ati++++=the
stern ^nn++++=stern
of ^in++++=of
the ^ati++++=the
skiff ^nn+++??+=skiff.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened
in ^in++++=in
a ^at++++=a
second ^od++++=second
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^rb++++=first
Italian ^jj++++=Italian
was ^vbd+bedz+aux++=was
cutting ^vbg+++xvbgx+=cutting
the ^ati++++=the
rope ^nn++++=rope
and ^cc++++=and
Charley ^np++++=Charley
was ^vbd+bedz+aux++=was
clutching ^vbg+++xvbgx+=clutching
the ^ati++++=the
skiff ^nn+++??+=skiff
when ^wrb+who+++=when
the ^ati++++=the
second ^od++++=second
Italian ^jj++++=Italian
dealt ^vbd+++xvbn+=dealt
him ^pp3o+pp3+++=him
a ^at++++=a
rap ^nn++++=rap
over ^in++++=over
the ^ati++++=the
head ^nn++++=head
with ^in++++=with
an ^at++++=an
oar ^nn++++=oar,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley
released ^vwbn+++xvbn+=released
his ^pp$+pp3+++=his
hold ^nn++++=hold
and ^cc++++=and
collapsed ^jj+++xvbn+=collapsed,
, ^zz++++=EXTRAWORD
stunned ^j+++xvbn+=stunned,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Italians ^nn++++=Italians
bent ^vbd+++xvbn+=bent
to ^in++++=to
their ^pp$+pp3+++=their
oars ^nns+++??+=oars
and ^cc++++=and
escaped ^vbd+++xvbn+=escaped
back ^jjb++++=back
under ^in++++=under
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Greek ^nn++++=Greek
took ^vbd+++xvbn+=took
both ^abx++++=both
tiller ^nn++++=tiller
and ^cc++++=and
sheet ^nn++++=sheet
and ^cc++++=and
continued ^vbd+++xvbn+=continued
the ^ati++++=the
chase ^nn++++=chase
around ^rp++++=around
the ^ati++++=the
Lancashire ^np++++=Lancashire
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
attended ^vbd+++xvbnx+=attended
to ^in++++=to
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
on ^in++++=on
whose ^whp+rel+pied++=whose
head ^jjb++++=head
a ^at++++=a
nasty ^jj+atrb+++=nasty
lump ^nn++++=lump
was ^vbd+bedz+aux++=was
rapidly ^rb++splt++=rapidly
rising ^vbg+++xvbgx+=rising.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
sailor ^nn++++=sailor
audience ^nn+nom+++=audience
was ^vbd+bedz+vrb++=was
wild ^jj+pred+++=wild
with ^in++++=with
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
a ^at++++=a
man ^nn++++=man
encouraged ^vwbn+++xvbn+=encouraged
the ^ati++++=the
fleeing ^jj+atrb++xvbg+=fleeing
Italians ^nn++++=Italians.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
sat ^vbd+++xvbn+=sat
up ^rp++++=up,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gazed ^vbd+++xvbn+=gazed
about ^rb++++=about
him ^pp3o+pp3+++=him
sheepishly ^rb++++=sheepishly.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
never ^rb++++=never
do ^vb+do+aux++=do
to ^to++++=to
let ^vbi++++=let
them ^pp3o+pp3+++=them
escape ^vb++++=escape
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
drawing ^vwbg+++xvbg+=drawing
his ^pp$+pp3+++=his
revolver ^nn+nom+++=revolver.
. ^zz++++=EXTRAWORD
On ^in++++=On
our ^pp$+pp1+++=our
next ^ap++++=next
circuit ^nn++++=circuit,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
threatened ^vbd+++xvbnx+=threatened
the ^ati++++=the
Italians ^nn++++=Italians
with ^in++++=with
the ^ati++++=the
weapon ^nn++++=weapon;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
rowed ^vbd+++xvbnx+=rowed
on ^in++++=on
stolidly ^jj++++=stolidly,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
splendid ^jj+atrb+++=splendid
stroke ^nn++++=stroke
and ^cc++++=and
utterly ^rb+amp+++=utterly
disregarding ^vbg+++xvbg+=disregarding
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
stop ^vb++++=stop,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
shoot ^vb++++=shoot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Charley ^np++++=Charley
said ^vbd+vpub++xvbn+=said
menacingly ^rb++++=menacingly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
had ^vb+hv+vrb++=had
no ^at++++=no
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
to ^to++++=to
be ^vbi+vbi+aux++=be
frightened ^vpsv++agls+xvbnx+=frightened
into ^in++++=into
surrendering ^xvbg+++xvbg+=surrendering
even ^rb++++=even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
fired ^vbd+++xvbnx+=fired
