Our ^pp$+pp1+++=Our
the ^ati++++=the
hush ^nn++++=hush
of ^in++++=of
midnight ^nn++++=midnight
that ^tht+rel+subj++=that
caused ^vprf+++xvbn+=caused
the ^ati++++=the
superstition ^nn+nom+++=superstition
of ^in++++=of
the ^ati++++=the
times ^nns++++=times
to ^to++++=to
invest ^vbi++++=invest
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
with ^in++++=with
attributes ^nns++++=attributes
of ^in++++=of
awe ^nn++++=awe
and ^cc++++=and
mystery ^nn+nom+++=mystery;
; ^zz++++=EXTRAWORD
fabling ^nn+nom+++=fabling
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
portal ^nn++++=portal
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House,
, ^zz++++=EXTRAWORD
none ^pn++++=none
knew ^vbd+vprv++xvbn+=knew
whence ^wrb+who+++=whence,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
train ^nn++++=train
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
Royal ^jj+atrb+++=Royal
Governor ^nn++++=Governor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
fate ^nn++++=fate
to ^to++++=to
dwell ^vbi++++=dwell
there ^rn+pl+++=there
till ^cs+sub+++=till
the ^ati++++=the
last ^ap++++=last
should ^md+nec+++=should
have ^vb+hv+aux++=have
departed ^vprf+++xvbnx+=departed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
this ^dt+dem+++=this
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Mistress
mistress ^nns+nom+++=EXTRAWORD
Dudley ^np++++=Dudley,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
loitering ^nvbg+++xvbg+=loitering
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
severity ^nn+nom+++=severity
of ^in++++=of
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
pleasure ^nn++++=pleasure
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
last ^ap++++=last
in ^in++++=in
this ^dt+dem+++=this
mansion ^nn++++=mansion
of ^in++++=of
the ^ati++++=the
King ^nn++++=King."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
please ^uh++++=please
your ^pp$+pp2+++=your
Excellency ^nn++++=Excellency,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
time ^nn++++=time-stricken
- ^zz++++=EXTRAWORD
stricken ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
roof ^nn++++=roof
has ^vbz+hvz+aux++=has
sheltered ^vprf+++xvbnx+=sheltered
me ^pp1o+pp1+++=me
long ^rb++++=long.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
pass ^vb++++=pass
from ^in++++=from
it ^pp3+it+++=it
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
bear ^nn++++=bear
me ^pp1o+pp1+++=me
to ^in++++=to
the ^ati++++=the
tomb ^nn++++=tomb
of ^in++++=of
my ^pp$+pp1+++=my
forefathers ^nns+nom+++=forefathers.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
other ^ap++++=other
shelter ^nn++++=shelter
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
for ^in++++=for
old ^jj+atrb+++=old
Esther ^np++++=Esther
Dudley ^np++++=Dudley,
, ^zz++++=EXTRAWORD
save ^vb++++=save
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House
or ^cc++++=or
the ^ati++++=the
grave ^nn++++=grave?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
Heaven ^nn++++=Heaven
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
leave ^vb++++=leave
this ^dt+dem+++=this
wretched ^jj+atrb+++=wretched
old ^jj+atrb+++=old
creature ^nn++++=creature
to ^to++++=to
starve ^vbi++++=starve
or ^cc+phrs+++=or
beg ^vb++++=beg.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
Mistress ^nns+nom+++=Mistress
Dudley ^np++++=Dudley,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
a ^at++++=a
purse ^nn++++=purse
into ^in++++=into
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="King
king ^npt++++=EXTRAWORD
George ^np++++=George's
's ^$++++=EXTRAWORD
head ^jjb++++=head
on ^in++++=on
these ^dt+dem+++=these
golden ^jj+atrb+++=golden
guineas ^nns++++=guineas
is ^vbz+bez+vrb++=is
sterling ^nn+nom+++=sterling
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
continue ^vb++++=continue
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
warrant ^nn+nom+++=warrant
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
even ^rb++++=even
should ^md+nec+++=should
the ^ati++++=the
rebels ^nns++++=rebels
crown ^nn++++=crown
John ^np++++=John
Hancock ^np++++=Hancock
their ^pp$+pp3+++=their
king ^nn++++=king.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
purse ^nn++++=purse
will ^md+prd+++=will
buy ^vb++++=buy
a ^at++++=a
better ^jjr+atrb+++=better
shelter ^nn++++=shelter
than ^in++++=than
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House
can ^md+pos+++=can
now ^rn+tm+splt++=now
afford ^vb++++=afford."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="While
while ^cs+sub+++=EXTRAWORD
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
life ^nn++++=life
remains ^nns++++=remains
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
no ^at++++=no
other ^ap++++=other
shelter ^nn++++=shelter
than ^in++++=than
this ^dt+dem+++=this
roof ^nn++++=roof,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
persisted ^vbd+++xvbn+=persisted
Esther ^np++++=Esther
Dudley ^np++++=Dudley,
, ^zz++++=EXTRAWORD
striking ^jj+++xvbg+=striking
her ^pp3o+pp3+++=her
staff ^nn++++=staff
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
gesture ^nn++++=gesture
that ^tht+rel+subj++=that
expressed ^vprf+++xvbn+=expressed
immovable ^jj+atrb+++=immovable
resolve ^nn++++=resolve.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
your ^pp$+pp2+++=your
Excellency ^nn++++=Excellency
returns ^nns++++=returns
in ^in++++=in
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
totter ^vb++++=totter
into ^in++++=into
the ^ati++++=the
porch ^nn++++=porch
to ^to++++=to
welcome ^vbi++++=welcome
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
friend ^nn++++=friend!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
British ^jj+atrb+++=British
General, ^np+++??+=General,--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
all ^rb++++=all
his ^pp$+pp3+++=his
manly ^jj+atrb+++=manly
and ^cc+phrs+++=and
martial ^jj+atrb+++=martial
pride ^nn++++=pride
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
restrain ^vb++++=restrain
a ^at++++=a
gush ^nn++++=gush
of ^in++++=of
bitter ^jj+atrb+++=bitter
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
an ^at++++=an
evil ^jj+atrb+++=evil
hour ^nn++++=hour
for ^in++++=for
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Province ^nn++++=Province
which ^whp+rel+obj++=which
the ^ati++++=the
King ^npt++++=King
intrusted ^vbd+++xvbn+=intrusted
to ^in++++=to
my ^pp$+pp1+++=my
charge ^nn++++=charge
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
hence ^rb+cnj+++=hence
in ^in++++=in
misfortune ^nn++++=misfortune--perchance
-- ^--+clp+++=EXTRAWORD
perchance ^nn+nom+++=EXTRAWORD
in ^in++++=in
disgrace ^nn+++??+=disgrace--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
return ^vbi++++=return
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
present ^vb++++=present
being ^vbg+beg++xvbg+=being
is ^vbz+bez+aux++=is
incorporated ^vpsv++agls+xvbnx+=incorporated
with ^in++++=with
the ^ati++++=the
past ^nn++++=past--who
-- ^--+clp+++=EXTRAWORD
who ^whp+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
Governor ^npt++++=Governor
after ^in++++=after
Governor ^npt++++=Governor,
, ^zz++++=EXTRAWORD
in ^in++++=in
stately ^jj+atrb+++=stately
pageantry ^nn++++=pageantry,
, ^zz++++=EXTRAWORD
ascend ^nn+++??+=ascend
these ^dt+dem+++=these
steps ^nns++++=steps--whose
-- ^--+clp+++=EXTRAWORD
whose ^whp+who+++=EXTRAWORD
whole ^jj+atrb+++=whole
life ^nn++++=life
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
observance ^nn+nom+++=observance
of ^in++++=of
majestic ^jj+atrb+++=majestic
ceremonies ^nns++++=ceremonies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
worship ^nn+nom+++=worship
of ^in++++=of
the ^ati++++=the
King ^npt++++=King--how
-- ^--+clp+++=EXTRAWORD
how ^wrb+who+whq++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
endure ^vb++++=endure
the ^ati++++=the
change ^nn++++=change?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
with ^in++++=with
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
Bid ^nn++++=Bid
farewell ^nn++++=farewell
to ^in++++=to
a ^at++++=a
land ^nn++++=land
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
shaken ^vprf+++xvbnx+=shaken
off ^rb+phrv+++=off
its ^pp$+it+++=its
allegiance ^nn+nom+++=allegiance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
live ^vb++++=live
still ^jj+pred+++=still
under ^in++++=under
a ^at++++=a
royal ^jj+atrb+++=royal
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
at ^in++++=at
Halifax ^np+++??+=Halifax."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never,
never ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
never ^rb++++=never!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
pertinacious ^jj+atrb+++=pertinacious
old ^jj+atrb+++=old
dame ^np++++=dame.
. ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
will ^md+prd+++=will
I ^pp1a+pp1+++=I
abide ^vb++++=abide;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
King ^npt++++=King
George ^np++++=George
shall ^md+prd+++=shall
still ^rb++++=still
have ^vb+hv+vrb++=have
one ^cd1++++=one
true ^jj+atrb+++=true
subject ^nn++++=subject
in ^in++++=in
his ^pp$+pp3+++=his
disloyal ^jj+atrb+++=disloyal
Province ^nn++++=Province."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Beshrew
beshrew ^nn+++??+=EXTRAWORD
the ^ati++++=the
old ^jj++++=old
fool ^jjb++++=fool!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe,
, ^zz++++=EXTRAWORD
growing ^vbg+++xvbg+=growing
impatient ^jj++++=impatient
of ^in++++=of
her ^pp$+pp3+++=her
obstinacy ^nn+nom+++=obstinacy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ashamed ^jj++++=ashamed
of ^in++++=of
the ^ati++++=the
emotion ^nn+nom+++=emotion
into ^in++++=into
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
betrayed ^vpsv++agls+xvbnx+=betrayed.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
very ^ql+amp+++=very
moral ^jj++++=moral
of ^in++++=of
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
prejudice ^nn++++=prejudice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
exist ^vb++++=exist
nowhere ^rb+pl+++=nowhere
but ^cc++++=but
in ^in++++=in
this ^dt+dem+++=this
musty ^jj+atrb+++=musty
edifice ^nn++++=edifice.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Mistress ^nns+nom+++=Mistress
Dudley ^np++++=Dudley,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
you ^pp2+pp2+++=you
will ^md+prd+++=will
needs ^vb++++=needs
tarry ^nn++++=tarry,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House
in ^in++++=in
charge ^nn++++=charge
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
this ^dt+dem+++=this
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
it ^pp3+it+++=it
safe ^jj++++=safe
until ^in++++=until
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
other ^ap++++=other
Royal ^jj+atrb+++=Royal
Governor ^nn++++=Governor,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
demand ^vb++++=demand
it ^pp3+it+++=it
of ^in++++=of
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Smiling ^jj+++xvbg+=Smiling
bitterly ^rb++++=bitterly
at ^in++++=at
himself ^ppl+pp3+++=himself
and ^cc++++=and
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
heavy ^jj++++=heavy
key ^jjb++++=key
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
delivering ^vbg+++xvbg+=delivering
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
old ^jj+atrb+++=old
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
his ^pp$+pp3+++=his
cloak ^nn++++=cloak
around ^rp++++=around
him ^pp3o+pp3+++=him
for ^in++++=for
departure ^nn++++=departure.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
General ^nn++++=General
glanced ^vbd+++xvbn+=glanced
back ^jjb++++=back
at ^in++++=at
Esther ^np++++=Esther
Dudley ^np++++=Dudley's
's ^$++++=EXTRAWORD
antique ^jj+atrb+++=antique
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
deemed ^vbd+++xvbnx+=deemed
her ^pp$+pp3+++=her
well ^rb++++=well
fitted ^vbd+++xvbn+=fitted
for ^in++++=for
such ^abl++++=such
a ^at++++=a
charge ^nn++++=charge,
, ^zz++++=EXTRAWORD
as ^ql++++=as
being ^jj+++xvbg+=being
so ^ql++++=so
perfect ^vb++++=perfect
a ^at++++=a
representative ^nn++++=representative
of ^in++++=of
the ^ati++++=the
decayed ^jj+atrb++xvbn+=decayed
past ^nn++++=past--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
an ^at++++=an
age ^nn++++=age
gone ^vwbn+++xvbn+=gone
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
faith ^nn++++=faith
and ^cc++++=and
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
all ^abn++++=all
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
oblivion ^nn++++=oblivion
or ^cc++++=or
scorn ^nn++++=scorn--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
what ^wdt+who+whq++=what
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
merely ^rb+down+++=merely
a ^at++++=a
vision ^nn++++=vision
of ^in++++=of
faded ^jj+atrb++xvbn+=faded
magnificence ^nn+nom+++=magnificence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe
strode ^vbd+++xvbn+=strode
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
smiting ^vbg+++xvbg+=smiting
his ^pp$+pp3+++=his
clinched ^vbd+++xvbn+=clinched
hands ^nns++++=hands
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fierce ^jj+atrb+++=fierce
anguish ^nn++++=anguish
of ^in++++=of
his ^pp$+pp3+++=his
spirit ^nn++++=spirit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Esther ^np++++=Esther
Dudley ^np++++=Dudley
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
to ^to++++=to
keep ^vbi++++=keep
watch ^vb++++=watch
in ^in++++=in
the ^ati++++=the
lonely ^jj+atrb+++=lonely
Province ^nn++++=Province
House ^npl++++=House,
, ^zz++++=EXTRAWORD
dwelling ^nvbg+++xvbg+=dwelling
there ^rn+pl+++=there
with ^in++++=with
memory ^nn++++=memory;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
Hope ^nn++++=Hope
ever ^rb++++=ever
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
flit ^vbi+++??+=flit
around ^in++++=around
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
still ^rb++++=still
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
Memory ^nn++++=Memory
in ^in++++=in
disguise ^nn++++=disguise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
change ^nn++++=change
of ^in++++=of
affairs ^nns++++=affairs
that ^tht+rel+subj++=that
ensued ^vbd+++xvbn+=ensued
on ^in++++=on
the ^ati++++=the
departure ^nn++++=departure
of ^in++++=of
the ^ati++++=the
British ^jj+atrb+++=British
troops ^nns++++=troops
did ^vbd+dod+aux++=did
not ^xnot++not++=not
drive ^vb++++=drive
the ^ati++++=the
venerable ^jj+atrb+++=venerable
lady ^nn++++=lady
from ^in++++=from
her ^pp$+pp3+++=her
stronghold ^nn++++=stronghold.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
a ^at++++=a
Governor ^nn++++=Governor
of ^in++++=of
Massachusetts ^np+++??+=Massachusetts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
magistrates ^nns+nom+++=magistrates,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
charge ^nn++++=charge
of ^in++++=of
such ^abl++++=such
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
no ^at++++=no
objection ^nn+nom+++=objection
to ^in++++=to
Esther ^np++++=Esther
Dudley ^np++++=Dudley's
's ^$++++=EXTRAWORD
residence ^nn+nom+++=residence
in ^in++++=in
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
as ^ql++++=as
they ^pp3a+pp3+++=they
must ^md+nec+++=must
otherwise ^rb+cnj+++=otherwise
have ^vb+hv+aux++=have
paid ^vprf+++xvbnx+=paid
a ^at++++=a
hireling ^nn+nom+++=hireling
for ^in++++=for
taking ^xvbg+++xvbg+=taking
care ^nn++++=care
of ^in++++=of
the ^ati++++=the
premises ^nns++++=premises,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
with ^in++++=with
her ^pp$+pp3+++=her
was ^vbd+bedz+vrb++=was
a ^at++++=a
labor ^nn++++=labor
of ^in++++=of
love ^nn++++=love.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left
her ^pp3o+pp3+++=her
the ^ati++++=the
undisturbed ^jj+atrb+++=undisturbed
mistress ^nns+nom+++=mistress
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
historic ^jj+atrb+++=historic
edifice ^nn++++=edifice.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
and ^cc++++=and
strange ^jj++++=strange
were ^vbd+bed+vrb++=were
the ^ati++++=the
fables ^nns++++=fables
which ^whp+rel+obj++=which
the ^ati++++=the
gossips ^nns++++=gossips
whispered ^vbd+vpub++xvbn+=whispered
about ^in++++=about
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
chimney ^nn++++=chimney
corners ^nns+nom+++=corners
of ^in++++=of
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
time ^nn++++=time-worn
- ^zz++++=EXTRAWORD
worn ^xvbn+++xvbn+=EXTRAWORD
articles ^nns++++=articles
of ^in++++=of
furniture ^nn++++=furniture
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
the ^ati++++=the
mansion ^nn++++=mansion
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
antique ^jj+atrb+++=antique
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
well ^rb++++=well
worthy ^jj+pred+++=worthy
of ^in++++=of
a ^at++++=a
tale ^nn++++=tale
by ^in++++=by
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
may ^md+pos+++=may
hereafter ^nn+nom+++=hereafter
be ^vb+be+vrb++=be
the ^ati++++=the
theme ^nn++++=theme
of ^in++++=of
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gold ^nn++++=gold
of ^in++++=of
its ^pp$+it+++=its
heavily ^rb++++=heavily-wrought
- ^zz++++=EXTRAWORD
wrought ^xvbn+++xvbn+=EXTRAWORD
frame ^np++++=frame
was ^vbd+bedz+aux++=was
tarnished ^vpsv++agls+xvbnx+=tarnished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
surface ^nn++++=surface
so ^ql+emph+++=so
blurred ^jj+++xvbn+=blurred,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
paused ^vbd+++xvbnx+=paused
before ^in++++=before
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
looked ^jj+atrb++xvbn+=looked
indistinct ^nn+++??+=indistinct
and ^cc++++=and
ghost ^nn++++=ghost-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
general ^jj+atrb+++=general
belief ^nn++++=belief
