She ^pp3a+pp3+++=She
and ^cc+cls+++=and
sat ^vpsv++agls+xvbn+=sat
on ^in++++=on
his ^pp$+pp3+++=his
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
Pundarik ^np+++??+=Pundarik
stood ^vbd+++xvbn+=stood
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
vast ^jj+atrb+++=vast
hall ^nn++++=hall
became ^vbd+++xvbn+=became
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
head ^jjb++++=head
raised ^jj+++xvbn+=raised
high ^jj++++=high
and ^cc++++=and
chest ^nn++++=chest
expanded ^vbd+++xvbn+=expanded,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
in ^in++++=in
his ^pp$+pp3+++=his
thundering ^jj+atrb+++=thundering
voice ^nn++++=voice
to ^to++++=to
recite ^vbi++++=recite
the ^ati++++=the
praise ^nn++++=praise
of ^in++++=of
King ^nn++++=King
Narayan ^np+++??+=Narayan.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
words ^nns++++=words
burst ^vbd+++xvbn+=burst
upon ^in++++=upon
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
hall ^npl++++=hall
like ^in++++=like
breakers ^nns+nom+++=breakers
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
rattle ^vbi++++=rattle
against ^in++++=against
the ^ati++++=the
ribs ^nns++++=ribs
of ^in++++=of
the ^ati++++=the
listening ^jj+atrb++xvbg+=listening
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skill ^nn++++=skill
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
varied ^jj+atrb++xvbn+=varied
meanings ^nns++++=meanings
to ^in++++=to
the ^ati++++=the
name ^nn++++=name
Narayan ^np+++??+=Narayan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wove ^nn+++??+=wove
each ^dt++++=each
letter ^nn++++=letter
of ^in++++=of
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
web ^nn++++=web
of ^in++++=of
his ^pp$+pp3+++=his
verses ^nns++++=verses
in ^in++++=in
all ^abn++++=all
mariner ^nn++++=mariner
of ^in++++=of
combinations ^nns+nom+++=combinations,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
away ^rp+pl+++=away
the ^ati++++=the
breath ^nn++++=breath
of ^in++++=of
his ^pp$+pp3+++=his
amazed ^vbd+++xvbn+=amazed
hearers ^nns+nom+++=hearers.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
minutes ^nns++++=minutes
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat
his ^pp$+pp3+++=his
voice ^nn++++=voice
continued ^vbd+++xvbn+=continued
to ^to++++=to
vibrate ^nn+nom+++=vibrate
among ^in++++=among
the ^ati++++=the
numberless ^jj+atrb+++=numberless
pillars ^nns++++=pillars
of ^in++++=of
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
court ^nn++++=court
and ^cc++++=and
in ^in++++=in
thousands ^cds++++=thousands
of ^in++++=of
speechless ^jj+atrb+++=speechless
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
learned ^jj+atrb++xvbn+=learned
professors ^nns++++=professors
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
distant ^jj+atrb+++=distant
lands ^nns++++=lands
raised ^vbd+++xvbn+=raised
their ^pp$+pp3+++=their
right ^jj+atrb+++=right
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
Bravo ^np+++??+=Bravo!
! ^zz++++=EXTRAWORD
The ^ati++++=The
king ^nn++++=king
threw ^vbd+++xvbn+=threw
a ^at++++=a
glance ^nn++++=glance
on ^in++++=on
Shekhar ^np++++=Shekhar's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Shekhar ^np+++??+=Shekhar
in ^in++++=in
answer ^nn++++=answer
raised ^vbd+++xvbn+=raised
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
full ^jj++++=full
of ^in++++=of
pain ^nn++++=pain
towards ^in++++=towards
his ^pp$+pp3+++=his
master ^nn++++=master,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
stood ^vbd+++xvbn+=stood
up ^rp++++=up
like ^in++++=like
a ^at++++=a
stricken ^jj+atrb+++=stricken
deer ^nns++++=deer
at ^rb++++=at
bay ^npl++++=bay.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bashfulness ^nns+nom+++=bashfulness
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
that ^cs+sub+++=that
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
slight ^jj+atrb+++=slight
youthful ^jj+atrb+++=youthful
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
delicate ^jj++++=delicate
in ^in++++=in
its ^pp$+it+++=its
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
like ^in++++=like
a ^at++++=a
tensely ^rb++++=tensely
strung ^vwbn+++xvbn+=strung
vina ^nn+++??+=vina
ready ^jj++++=ready
to ^to+jcmp+++=to
break ^vbi++++=break
out ^rp+pl+++=out
in ^in++++=in
music ^nn++++=music
at ^in++++=at
the ^ati++++=the
least ^rbt++++=least
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
few ^ap++++=few
verses ^nns++++=verses
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
inaudible ^jj+pred+++=inaudible.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
slowly ^rb++++=slowly
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
clear ^jj+atrb+++=clear
sweet ^jj+atrb+++=sweet
voice ^nn++++=voice
rose ^vbd+++xvbn+=rose
into ^in++++=into
the ^ati++++=the
sky ^nn++++=sky
like ^in++++=like
a ^at++++=a
quivering ^jj+atrb++xvbg+=quivering
flame ^nn++++=flame
of ^in++++=of
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
with ^in++++=with
the ^ati++++=the
ancient ^jj+atrb+++=ancient
legend ^nn++++=legend
of ^in++++=of
the ^ati++++=the
kingly ^jj+atrb+++=kingly
line ^nn++++=line
lost ^vbd+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
haze ^nn++++=haze
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
it ^pp3+it+++=it
down ^rp++++=down
through ^in++++=through
its ^pp$+it+++=its
long ^rb++++=long
course ^nn++++=course
of ^in++++=of
heroism ^nn+nom+++=heroism
and ^cc++++=and
matchless ^jj+atrb+++=matchless
generosity ^nn+nom+++=generosity
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present
age ^nn++++=age.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fixed ^vbd+++xvbnx+=fixed
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
on ^in++++=on
the ^ati++++=the
king ^nn++++=king's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
vast ^jj+atrb+++=vast
and ^cc+phrs+++=and
unexpressed ^jj+atrb+++=unexpressed
love ^nn++++=love
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
for ^in++++=for
the ^ati++++=the
royal ^jj+atrb+++=royal
house ^npl++++=house
rose ^vbd+++xvbn+=rose
like ^in++++=like
incense ^nn++++=incense
in ^in++++=in
his ^pp$+pp3+++=his
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enwreathed ^vbd+++xvbn+=enwreathed
the ^ati++++=the
throne ^nn++++=throne
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
words ^nns++++=words
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
master ^nn++++=master,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+aux++=be
beaten ^vpsv++agls+xvbnx+=beaten
in ^in++++=in
play ^nn++++=play
of ^in++++=of
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
my ^pp$+pp1+++=my
love ^nn++++=love
for ^in++++=for
thee ^pp2+pp2+++=thee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tears ^nns++++=Tears
filled ^vbd+++xvbn+=filled
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
hearers ^nns+nom+++=hearers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stone ^nn++++=stone
walls ^nns++++=walls
shook ^vbd+++xvbn+=shook
with ^in++++=with
cries ^nns++++=cries
of ^in++++=of
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
Mocking ^jj+++xvbg+=Mocking
this ^dt+dem+++=this
popular ^jj+atrb+++=popular
outburst ^nn++++=outburst
of ^in++++=of
feeling ^xvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
august ^nr++++=august
shake ^nn++++=shake
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
a ^at++++=a
contemptuous ^nn++++=contemptuous
sneer ^vb++++=sneer,
, ^zz++++=EXTRAWORD
Pundarik ^np+++??+=Pundarik
stood ^vbd+++xvbn+=stood
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flung ^vbd+++xvbn+=flung
this ^dt+dem+++=this
question ^nn+nom+++=question
to ^in++++=to
the ^ati++++=the
assembly ^nn++++=assembly;
; ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
there ^rn+pl+++=there
superior ^jj++++=superior
to ^in++++=to
words ^nns++++=words?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
hall ^npl++++=hall
lapsed ^vbd+++xvbn+=lapsed
into ^in++++=into
silence ^nn+nom+++=silence
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
with ^in++++=with
a ^at++++=a
marvellous ^jj+atrb+++=marvellous
display ^nn++++=display
of ^in++++=of
learning ^xvbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
proved ^jj+vprv++xvbnx+=proved
that ^tht+jcmp+++=that
the ^ati++++=the
Word ^nn++++=Word
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Word ^nn++++=Word
was ^vbd+bedz+vrb++=was
God ^np++++=God.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
piled ^vbd+++xvbnx+=piled
up ^rp++++=up
quotations ^nns+nom+++=quotations
from ^in++++=from
scriptures ^nns++++=scriptures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
built ^vbd+++xvbn+=built
a ^at++++=a
high ^jj+atrb+++=high
altar ^nn++++=altar
for ^in++++=for
the ^ati++++=the
Word ^nn++++=Word
to ^to++++=to
be ^vbi+vbi+aux++=be
seated ^vpsv++agls+xvbnx+=seated
above ^jjb++++=above
all ^abn++++=all
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
in ^in++++=in
heaven ^nn++++=heaven
and ^cc++++=and
in ^in++++=in
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
that ^dt+dem+++=that
question ^nn+nom+++=question
in ^in++++=in
his ^pp$+pp3+++=his
mighty ^jj+atrb+++=mighty
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
there ^rn+pl+++=there
superior ^jj++++=superior
to ^in++++=to
words ^nns++++=words?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Proudly ^rb++++=Proudly
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
None ^pn++++=None
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
accept ^vbi+vprv+++=accept
his ^pp$+pp3+++=his
challenge ^nn++++=challenge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
slowly ^rb++++=slowly
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat
like ^in++++=like
a ^at++++=a
lion ^nn++++=lion
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
made ^vprf+++xvbnx+=made
a ^at++++=a
full ^jj+atrb+++=full
meal ^nn++++=meal
of ^in++++=of
its ^pp$+it+++=its
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pandits ^nns+++??+=pandits
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
Bravo ^np+++??+=Bravo!
! ^zz++++=EXTRAWORD
The ^ati++++=The
king ^npt++++=king
remained ^vbd+++xvbn+=remained
silent ^jj++++=silent
with ^in++++=with
wonder ^nn++++=wonder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
poet ^nn++++=poet
Shekhar ^np+++??+=Shekhar
felt ^vbd+vprv++xvbn+=felt
himself ^ppl+pp3+++=himself
of ^in++++=of
no ^at++++=no
account ^nn++++=account
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
this ^dt+dem+++=this
stupendous ^jj+atrb+++=stupendous
learning ^nvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assembly ^nn++++=assembly
broke ^vbd+++xvbn+=broke
up ^rp++++=up
for ^in++++=for
that ^dt+dem+++=that
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
day ^nn++++=day
Shekhar ^np+++??+=Shekhar
began ^vbd+++xvbn+=began
his ^pp$+pp3+++=his
song ^nn++++=song.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
of ^in++++=of
that ^dt+dem+++=that
day ^nn++++=day
when ^wrb+who+++=when
the ^ati++++=the
pipings ^nns+++??+=pipings
of ^in++++=of
love ^nn++++=love's
's ^$++++=EXTRAWORD
flute ^nn++++=flute
startled ^vbd+++xvbn+=startled
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
the ^ati++++=the
hushed ^jj+atrb+++=hushed
air ^nn++++=air
of ^in++++=of
the ^ati++++=the
Vrinda ^np+++??+=Vrinda
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shepherd ^nn++++=shepherd
women ^nns++++=women
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
player ^nn++++=player
or ^cc++++=or
whence ^wrb+who+++=whence
came ^vbd+++xvbn+=came
the ^ati++++=the
music ^nn++++=music.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
come ^vbi++++=come
from ^in+ppvb+++=from
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
south ^np+pl+++=south
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
from ^in++++=from
the ^ati++++=the
straying ^jj+atrb++xvbg+=straying
clouds ^nns++++=clouds
of ^in++++=of
the ^ati++++=the
hilltops ^nns+++??+=hilltops.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
with ^in++++=with
a ^at++++=a
message ^nn+nom+++=message
of ^in++++=of
tryst ^nn++++=tryst
from ^in++++=from
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
the ^ati++++=the
sunrise ^nn++++=sunrise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
floated ^vbd+++xvbn+=floated
from ^in++++=from
the ^ati++++=the
verge ^nn++++=verge
of ^in++++=of
sunset ^nn++++=sunset
with ^in++++=with
its ^pp$+it+++=its
sigh ^nn++++=sigh
of ^in++++=of
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stars ^nn++++=stars
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
stops ^nn++++=stops
of ^in++++=of
the ^ati++++=the
instrument ^nn+nom+++=instrument
that ^tht+rel+++=that
flooded ^jj++++=flooded
the ^ati++++=the
dreams ^nps++++=dreams
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
with ^in++++=with
melody ^nn++++=melody.
. ^zz++++=EXTRAWORD
The ^ati++++=The
music ^nn++++=music
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
burst ^vbi++++=burst
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once
from ^in++++=from
all ^abn++++=all
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
from ^in++++=from
fields ^nns++++=fields
and ^cc++++=and
groves ^np++++=groves,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
shady ^jj+atrb+++=shady
lanes ^nns++++=lanes
and ^cc++++=and
lonely ^jj+atrb+++=lonely
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
melting ^nn++++=melting
blue ^nn++++=blue
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
shimmering ^jj+++xvbg+=shimmering
green ^npl++++=green
of ^in++++=of
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
neither ^rb++neg++=neither
knew ^vbd+vprv+tht0+xvbn+=knew
its ^pp$+it+++=its
meaning ^nvbg+++xvbg+=meaning
nor ^cc++neg++=nor
could ^md+pos+++=could
they ^pp3a+pp3+++=they
find ^vb+vprv+++=find
words ^nns++++=words
to ^to++++=to
give ^vbi++++=give
utterance ^nn+nom+++=utterance
to ^in++++=to
the ^ati++++=the
desire ^nn++++=desire
of ^in++++=of
their ^pp$+pp3+++=their
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
Tears ^nns++++=Tears
filled ^vbd+++xvbn+=filled
their ^pp$+pp3+++=their
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
life ^nn++++=life
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
long ^rb++++=long
for ^in++++=for
a ^at++++=a
death ^nn++++=death
that ^tht+rel+subj++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
its ^pp$+it+++=its
consummation ^nn+nom+++=consummation.
. ^zz++++=EXTRAWORD
Shekhar ^np+++??+=Shekhar
forgot ^vbd+vprv+tht0+xvbn+=forgot
his ^pp$+pp3+++=his
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
forgot ^j+++xvbn+=forgot
the ^ati++++=the
trial ^nn++++=trial
of ^in++++=of
his ^pp$+pp3+++=his
strength ^nn++++=strength
with ^in++++=with
a ^at++++=a
rival ^nn++++=rival.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
alone ^rb++++=alone
amid ^in++++=amid
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
that ^tht+ncmp+subj++=that
rustled ^vbd+++xvbn+=rustled
and ^cc+phrs+++=and
quivered ^vbd+++xvbn+=quivered
round ^rb++++=round
him ^pp3o+pp3+++=him
like ^in++++=like
leaves ^nns++++=leaves
in ^in++++=in
a ^at++++=a
summer ^nn++++=summer
breeze ^nn++++=breeze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sang ^vbd+++xvbn+=sang
the ^ati++++=the
Song ^nn++++=Song
of ^in++++=of
the ^ati++++=the
Flute ^nn++++=Flute.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
the ^ati++++=the
vision ^nn++++=vision
of ^in++++=of
an ^at++++=an
image ^nn++++=image
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
its ^pp$+it+++=its
shape ^nn++++=shape
from ^in++++=from
a ^at++++=a
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
echo ^nn++++=echo
of ^in++++=of
a ^at++++=a
faint ^nn++++=faint
tinkling ^vwbg+++xvbg+=tinkling
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
distant ^jj+atrb+++=distant
footstep ^nn++++=footstep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hearers ^nns+nom+++=hearers
trembled ^vbd+++xvbn+=trembled
with ^in++++=with
the ^ati++++=the
sadness ^nns+nom+++=sadness
of ^in++++=of
an ^at++++=an
indefinable ^jj+atrb+++=indefinable
delight ^nn++++=delight,
, ^zz++++=EXTRAWORD
immense ^jj++++=immense
and ^cc+phrs+++=and
vague ^jj++++=vague,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
applaud ^vbi++++=applaud
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^ql++++=As
this ^dt+dem+++=this
feeling ^xvbg+++xvbg+=feeling
died ^vprf+++xvbn+=died
away ^rp+pl+++=away
Pundarik ^np+++??+=Pundarik
stood ^vbd+++xvbn+=stood
up ^rp++++=up
before ^cs+sub+++=before
the ^ati++++=the
throne ^nn++++=throne
and ^cc++++=and
challenged ^vbd+++xvbn+=challenged
his ^pp$+pp3+++=his
rival ^jjb++++=rival
to ^to++++=to
define ^vbi++++=define
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
Lover ^nn++++=Lover
and ^cc++++=and
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Beloved ^nn++++=Beloved.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
arrogantly ^rb++++=arrogantly
looked ^vbd+++xvbn+=looked
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled
at ^in++++=at
his ^pp$+pp3+++=his
followers ^nns+nom+++=followers
and ^cc++++=and
then ^rn+tm+++=then
put ^vb+++xvbn+=put
the ^ati++++=the
question ^nn+nom+++=question
again ^rb+tm+++=again:
: ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Krishna ^np+++??+=Krishna,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
Radha ^np+++??+=Radha,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beloved ^jj++++=beloved?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
analyse ^vbi++++=analyse
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
those ^dt+dem+++=those
names ^nns++++=names,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
various ^jj+atrb+++=various
interpretations ^nns+nom+++=interpretations
of ^in++++=of
their ^pp$+pp3+++=their
meanings ^nns++++=meanings.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
before ^in++++=before
the ^ati++++=the
bewildered ^jj+atrb++xvbn+=bewildered
audience ^nn+nom+++=audience
all ^rb++++=all
the ^ati++++=the
intricacies ^nns+nom+++=intricacies
of ^in++++=of
the ^ati++++=the
different ^jj+atrb+++=different
schools ^nns++++=schools
of ^in++++=of
metaphysics ^nn++++=metaphysics
with ^in++++=with
consummate ^nn+nom+++=consummate
skill ^nn++++=skill.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
letter ^nn++++=letter
of ^in++++=of
those ^dt+dem+++=those
names ^nns++++=names
he ^pp3a+pp3+++=he
divided ^vbd+++xvbnx+=divided
from ^in++++=from
its ^pp$+it+++=its
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
pursued ^vwbn+++xvbn+=pursued
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
relentless ^jj+atrb+++=relentless
logic ^nn++++=logic
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell
to ^in++++=to
the ^ati++++=the
dust ^nn++++=dust
in ^in++++=in
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
to ^to++++=to
