Tom ^np++++=Tom
good ^jj+atrb+++=EXTRAWORD
day ^nn++++=day,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
lump ^nn++++=lump
in ^in++++=in
his ^pp$+pp3+++=his
throat ^nn++++=throat
and ^cc++++=and
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
refuge ^nn++++=refuge
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
closed ^j+++xvbn+=closed
on ^in++++=on
the ^ati++++=the
half ^nn++++=half
dozen ^cd++++=dozen
coins ^nns++++=coins.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
suddenly ^rb++++=suddenly
and ^cc++++=and
faced ^vbd+++xvbn+=faced
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
doggedly ^rb+cnj+++=doggedly,
, ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
right ^nn++++=right
to ^in+ncmp+++=to
better ^jjr+atrb+++=better
treatment ^nn+nom+++=treatment
than ^in++++=than
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
handed ^vbd+++xvbnx+=handed
you ^pp2+pp2+++=you
a ^at++++=a
letter ^nn++++=letter
of ^in++++=of
introduction ^nn+nom+++=introduction
that ^tht+rel+subj++=that
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
a ^rb++++=a
little ^rb"++++=little
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=hasn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
entitles ^vbz++++=entitles
me ^pp1o+pp1+++=me
to ^in++++=to
common ^jj+atrb+++=common
courtesy ^nn++++=courtesy
from ^in++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
beggar ^nn++++=beggar
asking ^vwbg+vsua++xvbg+=asking
for ^in++++=for
alms ^nns+++??+=alms.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
want ^vb++++=want
is ^vbz+bez+vrb++=is
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
your ^pp$+pp2+++=your
work ^nn++++=work
decently ^rb++++=decently.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
ask ^vb++++=ask
any ^dti++++=any
pay ^nn++++=pay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I--I--"
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
words ^nns++++=words
died ^vbd+++xvbn+=died
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
the ^ati++++=the
use ^nn++++=use?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
answer ^nn++++=answer
and ^cc++++=and
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
benefit ^nn++++=benefit
gained ^vbd+++xvbn+=gained
from ^in++++=from
prolonging ^xvbg+++xvbg+=prolonging
the ^ati++++=the
interview ^nn++++=interview.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him
curiously ^rb++++=curiously
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="Here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
on ^in++++=on
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Tom ^np++++=Tom
again ^rb+tm+++=again
faced ^vbd+++xvbn+=faced
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
brought ^vprf+++xvbnx+=brought
me ^pp1o+pp1+++=me
a ^at++++=a
letter ^nn++++=letter
from ^in++++=from
Queen ^npt++++=Queen
Victoria ^np++++=Victoria
or ^cc++++=or
the ^ati++++=the
Angel ^nn++++=Angel
Gabriel ^np++++=Gabriel
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^vb+hv+aux++=have
gotten ^vprf+++xvbnx+=gotten
the ^ati++++=the
same ^ap++++=same
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
talk ^nn++++=talk
to ^in++++=to
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
ten ^cd++++=ten
men ^nns++++=men
like ^in++++=like
you ^pp2+pp2+++=you
every ^at++++=every
day ^nn++++=day
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life;
; ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
chaps ^nns++++=chaps
who ^whp+rel+subj++=who
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
a ^at++++=a
newspaper ^nn+nom+++=newspaper's
's ^$++++=EXTRAWORD
run ^vbd+++xvbn+=run
for ^in+strn+++=for;
; ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
think ^vb+vprv+++=think
reporting ^jj+++xvbg+=reporting
or ^cc+phrs+++=or
editing ^jj+++xvbg+=editing
is ^vbz+bez+vrb++=is
a ^at++++=a
nice ^jj+atrb+++=nice
easy ^jj+atrb+++=easy
way ^nn++++=way
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
come ^vb++++=come
here ^rn+pl+++=here
expecting ^vbg+vprv++xvbg+=expecting
to ^to+vcmp+++=to
fall ^vbi++++=fall
into ^in+ppvb+++=into
a ^at++++=a
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
a ^at++++=a
fellow ^nn++++=fellow
shows ^vbz+vprv+++=shows
sense ^nn++++=sense
I ^pp1a+pp1+++=I
give ^vb++++=give
him ^pp3o+pp3+++=him
a ^at++++=a
chance ^nn++++=chance.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Hold ^nn++++=Hold
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
as ^ql++++=as
Tom ^np++++=Tom
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
to ^to++++=to
thank ^vbi++++=thank
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
offering ^vbg+++xvbg+=offering
you ^pp2+pp2+++=you
a ^at++++=a
place ^nn++++=place;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
giving ^vbg+++xvbg+=giving
you ^pp2+pp2+++=you
a ^at++++=a
fair ^jj+atrb+++=fair
deal ^nn++++=deal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
took ^vbd+++xvbn+=took
a ^at++++=a
card ^nn++++=card
from ^in++++=from
a ^at++++=a
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
scowling ^vbg+nom++xvbg+=scowling
more ^ql++++=more
than ^cs+sub+++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
name ^nn++++=name
there ^rn+pl+++=there
and ^cc++++=and
send ^vb++++=send
it ^pp3+it+++=it
up ^rp++++=up
to ^in++++=to
Senator ^nn++++=Senator
August ^nr++++=August
at ^in++++=at
the ^ati++++=the
Hotel ^nn++++=Hotel
Torrence ^np+nom++??+=Torrence.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
sees ^vbz+vprv+tht0++=sees
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
interview ^nn++++=interview
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
decision ^nn++++=decision
of ^in++++=of
last ^jj+atrb+++=last
night ^nn++++=night's
's ^$++++=EXTRAWORD
conference ^nn+nom+++=conference;
; ^zz++++=EXTRAWORD
find ^vb+vprv+++=find
out ^rp+pl+++=out
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
agreed ^vbd+vpub++xvbnx+=agreed
on ^in++++=on
a ^at++++=a
nominee ^nn++++=nominee.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
papers ^nns++++=papers?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
bare ^jj+atrb+++=bare
fighting ^jj+atrb++xvbg+=fighting
chance ^nn++++=chance;
; ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
card ^nn++++=card
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
single ^jj+atrb+++=single
line ^nn++++=line
" ^zz++++="For
for ^in++++=EXTRAWORD
The ^ati++++=The
Washington ^np++++=Washington
Evening ^nn++++=Evening
World ^nn++++=World."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
put ^vbd+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
desperate ^jj++++=desperate
the ^ati++++=the
chance ^nn++++=chance
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
the ^ati++++=the
last ^jj+atrb+++=last
edition ^nn+nom+++=edition
goes ^vbz++++=goes
to ^in++++=to
press ^nn++++=press
at ^in++++=at
five ^cd++++=five
o ^zz++++=o'clock,"
'clock," ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
grimly ^rb++++=grimly.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Tom ^np++++=Tom
passed ^vbd+++xvbn+=passed
out ^rp+pl+++=out
the ^ati++++=the
youth ^nn++++=youth
by ^in++++=by
the ^ati++++=the
railing ^nn+nom+++=railing
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
cutting ^nvbg+++xvbg+=cutting
up ^rp++++=up
newspapers ^nns+nom+++=newspapers
and ^cc++++=and
was ^vbd+bedz+aux++=was
writing ^vbg+++xvbgx+=writing
as ^cs+sub+++=as
though ^cs+sub+++=though
his ^pp$+pp3+++=his
very ^ap+amp+++=very
life ^nn++++=life
depended ^vbd+++xvbn+=depended
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
street ^nn++++=street
Tom ^np++++=Tom
remembered ^vwbn+vprv++xvbn+=remembered
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
the ^ati++++=the
elevator ^nn++++=elevator.
. ^zz++++=EXTRAWORD
" ^zz++++="Senator
senator ^npt++++=EXTRAWORD
August ^nr++++=August
left ^vbd+++xvbn+=left
ten ^cd++++=ten
minutes ^nns++++=minutes
ago ^rb+cnj+++=ago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
hotel ^npl++++=hotel
clerk ^nn++++=clerk
affably ^rb++++=affably
as ^ql++++=as
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
inscription ^nn+nom+++=inscription
on ^in++++=on
the ^ati++++=the
card ^nn++++=card
which ^whp+rel+obj++=which
Tom ^np++++=Tom
Collins ^np++++=Collins
held ^vbd+vprv++xvbn+=held.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
new ^jj+atrb+++=new
reporter ^nn+nom+++=reporter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Left?"
left ^jj+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
echoed ^vbd+++xvbn+=echoed
Tom ^np++++=Tom
in ^in++++=in
dismay ^nn++++=dismay.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
has ^vbz+hvz+vrb++=has
he ^pp3a+pp3+++=he
gone ^vbd+++xvbnx+=gone?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="New
new ^jj+atrb+++=EXTRAWORD
York ^np++++=York,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
Went ^j+++xvbn+=Went
to ^in++++=to
the ^ati++++=the
depot ^nn++++=depot
for ^in++++=for
the ^ati++++=the
2.20 ^cd++++=2.20."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
moment ^nn++++=moment
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
boarding ^nn++++=boarding
a ^at++++=a
passing ^jj+atrb++xvbg+=passing
car ^nn++++=car.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
six ^cd++++=six
minutes ^nns++++=minutes
to ^to++++=to
catch ^vbi++++=catch
the ^ati++++=the
2.20 ^cd++++=2.20.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
chances ^nns+nom+++=chances
of ^in++++=of
success ^nns+nom+++=success
were ^vbd+bed+vrb++=were
slim ^jj+pred+++=slim.
. ^zz++++=EXTRAWORD
For ^in++++=For
that ^dt+dem+++=that
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
undertaking ^nvbg+++xvbg+=undertaking
was ^vbd+bedz+vrb++=was
the ^ati++++=the
merest ^jjt+atrb+++=merest
forlorn ^jj+atrb+++=forlorn
hope ^nn++++=hope;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
chance ^nn++++=chance
that ^tht+rel+obj++=that
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
of ^in++++=of
the ^ati++++=the
World ^nn++++=World
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
supposing ^vb+vprv++xvbg+=supposing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
Senator ^npt++++=Senator
August ^nr++++=August
and ^cc++++=and
got ^vbd+++xvbn+=got
speech ^nn++++=speech
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
likely ^jj++++=likely
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
tell ^vb++++=tell
an ^at++++=an
inexperienced ^jj+atrb+++=inexperienced
chap ^nn++++=chap
like ^in++++=like
Tom ^np++++=Tom
what ^wdt+who+++=what
the ^ati++++=the
best ^jjt+atrb+++=best
reporters ^nns+nom+++=reporters
in ^in++++=in
Washington ^np++++=Washington
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
worm ^vbi++++=worm
out ^rp+pl+++=out
of ^in++++=of
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
The ^ati++++=The
Democratic ^jj+atrb+++=Democratic
National ^jj+atrb+++=National
Convention ^nn+nom+++=Convention
to ^to++++=to
nominate ^nn+nom+++=nominate
a ^at++++=a
candidate ^nn+nom+++=candidate
for ^in++++=for
the ^ati++++=the
presidency ^nn++++=presidency
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
month ^nn++++=month
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
Hotel ^nn++++=Hotel
Torrence ^np+nom++??+=Torrence,
, ^zz++++=EXTRAWORD
Senator ^npt++++=Senator
August ^nr++++=August,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
the ^ati++++=the
sentiment ^nn+nom+++=sentiment
of ^in++++=of
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
democracy ^nn+nom+++=democracy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Senator ^npt++++=Senator
Goodman ^np+++??+=Goodman,
, ^zz++++=EXTRAWORD
possessing ^jj+atrb++xvbg+=possessing
full ^jj+atrb+++=full
power ^nn++++=power
to ^to+ncmp+++=to
act ^vb++++=act
for ^in++++=for
his ^pp$+pp3+++=his
party ^nn++++=party
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
to ^to++++=to
decide ^vbi+vprv+++=decide
on ^in++++=on
a ^at++++=a
Democratic ^jj+atrb+++=Democratic
nominee ^nn++++=nominee.
. ^zz++++=EXTRAWORD
Dissension ^np+++??+=Dissension
threatened ^vbd+++xvbn+=threatened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
East ^np+pl+++=East
favored ^vbd+++xvbn+=favored
a ^at++++=a
man ^nn++++=man
of ^in++++=of
moderate ^jj+atrb+++=moderate
views ^nns++++=views
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
currency ^nn++++=currency
reform ^nn++++=reform;
; ^zz++++=EXTRAWORD
the ^ati++++=the
West ^np+pl+++=West
and ^cc++++=and
the ^ati++++=the
greater ^jjr+atrb+++=greater
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
South ^nr+pl+++=South
stood ^vbd+++xvbn+=stood
unanimous ^jj++++=unanimous
for ^in++++=for
a ^at++++=a
politician ^nn++++=politician
whose ^whp+rel+obj++=whose
success ^nns+nom+++=success
in ^in++++=in
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
battle ^nn++++=battle
would ^md+prd+++=would
presage ^nn+nom+++=presage
the ^ati++++=the
most ^ql+emph+++=most
radical ^nn++++=radical
of ^in++++=of
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Final ^jj+atrb+++=Final
disagreement ^nn+nom+++=disagreement
between ^in++++=between
the ^ati++++=the
Democrats ^nns++++=Democrats
of ^in++++=of
East ^np+pl+++=East
and ^cc++++=and
West ^np+pl+++=West
meant ^vbd+vprv++xvbn+=meant
certain ^jj+atrb+++=certain
victory ^nn++++=victory
for ^in++++=for
the ^ati++++=the
Republican ^jj+atrb+++=Republican
Party ^nn++++=Party.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
today ^nr+tm+++=to-day
all ^abn++++=all
the ^ati++++=the
country ^nn++++=country
was ^vbd+bedz+aux++=was
asking ^vbg+vsua++xvbgx+=asking:
: ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
the ^ati++++=the
leaders ^nns+nom+++=leaders
agreed ^vbd+vpub++xvbn+=agreed
on ^in++++=on
a ^at++++=a
nominee ^nn++++=nominee;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
so ^ql++++=so,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
one ^pn++++=one?
? ^zz++++=EXTRAWORD
Senator ^npt++++=Senator
Groodman ^np+nom++??+=Groodman,
, ^zz++++=EXTRAWORD
as ^ql++++=as
uncommunicative ^jj++++=uncommunicative
as ^in++++=as
a ^at++++=a
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
speeding ^vbg+++xvbgx+=speeding
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
West ^np+pl+++=West;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Senator ^nn++++=Senator
August ^nr++++=August,
, ^zz++++=EXTRAWORD
equally ^rb++++=equally
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
home ^nr++++=home.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newspapers ^nns+nom+++=newspapers
were ^vbd+bed+vrb++=were
hysterical ^jj+pred+++=hysterical
in ^in++++=in
their ^pp$+pp3+++=their
demands ^nns++++=demands
for ^in++++=for
information ^nn+nom+++=information;
; ^zz++++=EXTRAWORD
all ^abn++++=all
day ^nn++++=day
the ^ati++++=the
wires ^nns++++=wires
leading ^vwbg+++xvbg+=leading
to ^in++++=to
Washington ^np++++=Washington
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
message ^nn+nom+++=message
after ^in++++=after
message ^nn+nom+++=message
imploring ^vwbg+++xvbg+=imploring
news ^nn++++=news,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
baseless ^jj+atrb+++=baseless
rumors ^nns++++=rumors
had ^vbd+hvd+aux++=had
sped ^vprf+++xvbnx+=sped
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Tom ^np++++=Tom
Collins ^np++++=Collins,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
all ^rb++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
realized ^j+++xvbn+=realized
the ^ati++++=the
hopelessness ^nns+nom+++=hopelessness
of ^in++++=of
his ^pp$+pp3+++=his
task ^nn++++=task.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
depot ^nn++++=depot
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
car ^nn++++=car
at ^in++++=at
a ^at++++=a
jump ^nn++++=jump
and ^cc++++=and
dashed ^vpsv++agls+xvbn+=dashed
into ^in++++=into
the ^ati++++=the
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
A ^at++++=A
train ^nn++++=train
on ^in++++=on
the ^ati++++=the
further ^jjb+atrb+++=further
track ^nn++++=track
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
crawling ^nvbg+++xvbg+=crawling
from ^in++++=from
the ^ati++++=the
shed ^jj+++xvbn+=shed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
time ^nn++++=time
for ^in++++=for
inquiries ^nns++++=inquiries.
. ^zz++++=EXTRAWORD
