John ^np++++=John
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
over ^in++++=over
twenty ^cd++++=twenty
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
thousand ^cd++++=thousand
ever ^rb++++=ever
felt ^vbd+vprv++xvbn+=felt
leather ^nn++++=leather
on ^in++++=on
their ^pp$+pp3+++=their
walking ^jj+atrb++xvbg+=walking
arrangements ^nns+nom+++=arrangements.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes;
; ^zz++++=EXTRAWORD
Coralio ^np+++??+=Coralio
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
the ^ati++++=the
town ^nn++++=town
for ^in++++=for
an ^at++++=an
enterprising ^jj+atrb+++=enterprising
shoe ^nn++++=shoe
store ^nn++++=store--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
part ^vbi++++=part
with ^in+ppvb+++=with
its ^pp$+it+++=its
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
Wonder ^vb++++=Wonder
if ^cs+cnd+++=if
old ^jj+atrb+++=old
Patterson ^np++++=Patterson
is ^vbz+bez+aux++=is
trying ^vbg+++xvbgx+=trying
to ^in+vcmp+++=to
jolly ^jj++++=jolly
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
things ^nns++++=things
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
jokes ^nns++++=jokes.
. ^zz++++=EXTRAWORD
Write ^vb++++=Write
him ^pp3o+pp3+++=him
a ^at++++=a
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
dictate ^nn+nom+++=dictate
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
jolly ^jj++++=jolly
him ^pp3o+pp3+++=him
back ^jjb++++=back
a ^ap++++=a
few ^ap"++++=few."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
dipped ^vbd+++xvbn+=dipped
his ^pp$+pp3+++=his
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wrote ^vpsv++agls+xvbn+=wrote
at ^in++++=at
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
dictation ^nn+nom+++=dictation.
. ^zz++++=EXTRAWORD
With ^in++++=With
many ^ap++++=many
pauses ^nns+++??+=pauses,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
in ^in++++=in
with ^in++++=with
smoke ^nn++++=smoke
and ^cc++++=and
sundry ^jj+atrb+++=sundry
travellings ^nns+nom+++=travellings
of ^in++++=of
the ^ati++++=the
bottle ^nn++++=bottle
and ^cc++++=and
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
reply ^nn++++=reply
to ^in++++=to
the ^ati++++=the
Dalesburg ^np+++??+=Dalesburg
communication ^nn+nom+++=communication
was ^vbd+bedz+aux++=was
perpetrated ^vwbn+++xvbn+=perpetrated:
: ^zz++++=EXTRAWORD
Mr ^npt++++=MR.
. ^zz++++=EXTRAWORD
Obadiah ^np++++=OBADIAH
Patterson ^np++++=PATTERSON,
, ^zz++++=EXTRAWORD
Dalesburg ^np+++??+=Dalesburg,
, ^zz++++=EXTRAWORD
Ala ^np+++??+=Ala.
. ^zz++++=EXTRAWORD
Dear ^jj+atrb+++=Dear
Sir ^npt++++=Sir
: ^zz++++=:
in ^in++++=in
reply ^nn++++=reply
to ^in++++=to
your ^pp$+pp2+++=your
favor ^nn++++=favor
of ^in++++=of
July ^nr++++=July
2 ^zz++++=2
d ^zz++++=d.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
honor ^nn++++=honor
to ^to++++=to
inform ^vbi++++=inform
you ^pp2+pp2+++=you
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
my ^pp$+pp1+++=my
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
place ^nn++++=place
on ^in++++=on
the ^ati++++=the
habitable ^jj+atrb+++=habitable
globe ^nn++++=globe
that ^tht+rel+subj++=that
presents ^vbz++++=presents
to ^in++++=to
the ^ati++++=the
eye ^nn++++=eye
stronger ^jjr+atrb+++=stronger
evidence ^nn+nom+++=evidence
of ^in++++=of
the ^ati++++=the
need ^nn++++=need
of ^in++++=of
a ^at++++=a
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
shoe ^nn++++=shoe
store ^nn++++=store
than ^in++++=than
does ^vbz+doz+vrb++=does
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Coralio ^np+++??+=Coralio.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
3,000 ^cd++++=3,000
inhabitants ^nns+nom+++=inhabitants
in ^in++++=in
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
shoe ^nn++++=shoe
store ^nn++++=store!
! ^zz++++=EXTRAWORD
The ^ati++++=The
situation ^nn+nom+++=situation
speaks ^vbz++++=speaks
for ^in++++=for
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
coast ^nn++++=coast
is ^vbz+bez+aux++=is
rapidly ^rb++splt++=rapidly
becoming ^vbg+++xvbgx+=becoming
the ^ati++++=the
goal ^nn++++=goal
of ^in++++=of
enterprising ^jj+atrb+++=enterprising
business ^nns+nom+++=business
men ^nns++++=men,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
shoe ^nn++++=shoe
business ^nns+nom+++=business
is ^vbz+bez+vrb++=is
one ^cd1++++=one
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
sadly ^rb++splt++=sadly
overlooked ^vpsv++agls+xvbn+=overlooked
or ^cc+phrs+++=or
neglected ^vpsv++agls+xvbn+=neglected.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
considerable ^jj+atrb+++=considerable
number ^nn++++=number
of ^in++++=of
our ^pp$+pp1+++=our
citizens ^nns++++=citizens
actually ^rb+amp+++=actually
without ^in++++=without
shoes ^nns++++=shoes
at ^rb++++=at
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
the ^ati++++=the
want ^vb++++=want
above ^jjb++++=above
mentioned ^jj+++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
crying ^jj+atrb++xvbg+=crying
need ^nn++++=need
for ^in++++=for
a ^at++++=a
brewery ^nn+nom+++=brewery,
, ^zz++++=EXTRAWORD
a ^at++++=a
college ^nn++++=college
of ^in++++=of
higher ^jjr+atrb+++=higher
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
a ^at++++=a
coal ^nn++++=coal
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
clean ^jj+atrb+++=clean
and ^cc+phrs+++=and
intellectual ^jj+atrb+++=intellectual
Punch ^nn++++=Punch
and ^cc++++=and
Judy ^np++++=Judy
show ^nn++++=show.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
honor ^nn++++=honor
to ^to++++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Obt ^np+++??+=Obt.
. ^zz++++=EXTRAWORD
Servant ^nn+nom+++=Servant,
, ^zz++++=EXTRAWORD
John ^np++++=John
De ^&fw++++=De
Graffenreid ^np+++??+=Graffenreid
Atwood ^np+++??+=Atwood
, ^zz++++=,
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
Consul ^np++++=CONSUL
At ^in++++=AT
Coralio ^np+++??+=CORALIO.
. ^zz++++=EXTRAWORD
P.s. ^np+++??+=P.S.--Hello!
-- ^--+clp+++=EXTRAWORD
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Obadiah ^np+++??+=Obadiah.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
burg ^nn+++??+=burg
racking ^vwbg+++xvbg+=racking
along ^in+strn+++=along?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
the ^ati++++=the
government ^nn+nom+++=government
do ^vb+do+vrb++=do
without ^in++++=without
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Look ^vb++++=Look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
a ^at++++=a
green ^jj++++=green-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
parrot ^nn++++=parrot
and ^cc++++=and
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
bananas ^nns+++??+=bananas
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
from ^in++++=from
your ^pp$+pp2+++=your
old ^jj+atrb+++=old
friend ^nn++++=friend
Johnny ^np++++=Johnny
, ^zz++++=,
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
throw ^vb++++=throw
in ^cs+sub+++=in
that ^cs"++++=that
postscript ^nn++++=postscript,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
the ^ati++++=the
consul ^np++++=consul,
, ^zz++++=EXTRAWORD
" ^zz++++="so
so ^ql++++=EXTRAWORD
Uncle ^npt++++=Uncle
Obadiah ^np+++??+=Obadiah
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
offense ^nn+++??+=offense
at ^rb++++=at
the ^ati++++=the
official ^jj+atrb+++=official
tone ^nn++++=tone
of ^in++++=of
the ^ati++++=the
letter ^nn++++=letter!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
that ^dt+dem+++=that
correspondence ^nn+nom+++=correspondence
fixed ^vbd+++xvbn+=fixed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
send ^vb++++=send
Pancho ^np+++??+=Pancho
to ^in++++=to
the ^ati++++=the
postoffice ^nn+++??+=postoffice
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ariadne ^np++++=Ariadne
takes ^vbz++++=takes
the ^ati++++=the
mail ^nn++++=mail
out ^rp+pl+++=out
tomorrow ^nr+tm+++=tomorrow
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
make ^vb++++=make
up ^rp++++=up
that ^dt+dem+++=that
load ^nn++++=load
of ^in++++=of
fruit ^nn++++=fruit
today ^nr+tm+++=today."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
programme ^nn++++=programme
in ^in++++=in
Coralio ^np+++??+=Coralio
never ^rb++++=never
varied ^jj+++xvbn+=varied.
. ^zz++++=EXTRAWORD
The ^ati++++=The
recreations ^nns+nom+++=recreations
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+vrb++=were
soporific ^nn++++=soporific
and ^cc++++=and
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wandered ^vbd+++xvbnx+=wandered
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
barefoot ^jj++++=barefoot
and ^cc+phrs+++=and
aimless ^jj++++=aimless,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking
lowly ^jj+atrb+++=lowly
and ^cc+phrs+++=and
smoking ^jj+atrb++xvbg+=smoking
cigar ^nn++++=cigar
or ^cc++++=or
cigarette ^nn+nom+++=cigarette.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
down ^rb+phrv+++=down
on ^in+ppvb+++=on
the ^ati++++=the
dimly ^rb++++=dimly
lighted ^jj+atrb++xvbn+=lighted
ways ^nns++++=ways
one ^cd1++++=one
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
threading ^jj+atrb++xvbg+=threading
maze ^nn++++=maze
of ^in++++=of
brunette ^jj+atrb+++=brunette
ghosts ^nns++++=ghosts
tangled ^jj++++=tangled
with ^in++++=with
a ^at++++=a
procession ^nn++++=procession
of ^in++++=of
insane ^jj+atrb+++=insane
fireflies ^nns+++??+=fireflies.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
houses ^nns++++=houses
the ^ati++++=the
thrumming ^jj+++xvbg+=thrumming
of ^in++++=of
lugubrious ^nn++++=lugubrious
guitars ^vbz+++??+=guitars
added ^vbd+vpub++xvbn+=added
to ^in++++=to
the ^ati++++=the
depression ^nn++++=depression
of ^in++++=of
the ^ati++++=the
triste ^nn+++??+=triste
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Giant ^nn++++=Giant
tree ^nn++++=tree-frogs
- ^zz++++=EXTRAWORD
frogs ^nns++++=EXTRAWORD
rattled ^vwbn+++xvbn+=rattled
in ^in++++=in
the ^ati++++=the
foliage ^nn+nom+++=foliage
as ^in++++=as
loudly ^rb++++=loudly
as ^in++++=as
the ^ati++++=the
end ^nn++++=end
man ^nn++++=man's
's ^$++++=EXTRAWORD
" ^zz++++="bones"
bones ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
minstrel ^nn++++=minstrel
troupe ^nn+++??+=troupe.
. ^zz++++=EXTRAWORD
By ^in++++=By
nine ^cd++++=nine
o'clock ^rb++++=o'clock
the ^ati++++=the
streets ^nns++++=streets
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
deserted ^vpsv++agls+xvbnx+=deserted.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^in++++=at
the ^ati++++=the
consulate ^nn+nom+++=consulate
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
often ^rb++++=often
a ^at++++=a
change ^nn++++=change
of ^in++++=of
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
come ^vprf+++xvbn+=come
there ^rn+pl+++=there
nightly ^jj++++=nightly,
, ^zz++++=EXTRAWORD
for ^in++++=for
Coralio ^np++++=Coralio's
's ^$++++=EXTRAWORD
one ^cd1++++=one
cool ^jj+atrb+++=cool
place ^nn++++=place
was ^vbd+bedz+vrb++=was
the ^ati++++=the
little ^jj+atrb+++=little
porch ^nn++++=porch
of ^in++++=of
that ^dt+dem+++=that
official ^jj+atrb+++=official
residence ^nn+nom+++=residence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brandy ^nn++++=brandy
would ^md+prd+++=would
be ^vb+be+aux++=be
kept ^vpsv++agls+xvbnx+=kept
moving ^vbg+++xvbg+=moving;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
midnight ^nn++++=midnight
sentiment ^nn+nom+++=sentiment
would ^md+prd+++=would
begin ^vb++++=begin
to ^to++++=to
stir ^vbi++++=stir
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
self ^nn++++=self-exiled
- ^zz++++=EXTRAWORD
exiled ^vbd+++xvbn+=EXTRAWORD
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
relate ^vb++++=relate
to ^in++++=to
Keogh ^np+++??+=Keogh
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
his ^pp$+pp3+++=his
ended ^vbd+++xvbn+=ended
romance ^nn+nom+++=romance.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
night ^nn++++=night
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
listen ^vb++++=listen
patiently ^rb++++=patiently
to ^in++++=to
the ^ati++++=the
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
with ^in++++=with
untiring ^jj+atrb+++=untiring
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
for ^in++++=for
a ^at++++=a
minute" ^nn+++??+=minute"--thus
-- ^--+clp+++=EXTRAWORD
thus ^rb+cnj+++=EXTRAWORD
Johnny ^np++++=Johnny
would ^md+prd+++=would
always ^rb++splt++=always
conclude ^vb+vprv+++=conclude
his ^pp$+pp3+++=his
woeful ^jj+atrb+++=woeful
narrative ^nn++++=narrative--"that
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
grieving ^vbg+++xvbgx+=grieving
about ^in++++=about
that ^dt+dem+++=that
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
enters ^vbz++++=enters
my ^pp$+pp1+++=my
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
to ^to++++=to
enter ^vbi++++=enter
that ^dt+dem+++=that
door ^nn++++=door
right ^nn++++=right
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
pulse ^nn++++=pulse
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
gain ^vb++++=gain
a ^at++++=a
beat ^nn+++xvbn+=beat.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
over ^in++++=over
long ^rb++++=long
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Proper ^jj+atrb+++=Proper
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Wasn't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
0 ^zz++++=0.
. ^zz++++=EXTRAWORD
K ^zz++++=K.
. ^zz++++=EXTRAWORD
of ^in++++=of
her ^pp$+pp3+++=her
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
the ^ati++++=the
knocks ^nns++++=knocks
that ^dt+pdem+++=that--er--Dink
-- ^--+clp+++=EXTRAWORD
er ^&fw++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
dink ^nn+++??+=EXTRAWORD
Pawson ^np+++??+=Pawson
kept ^vbd+++xvbn+=kept
giving ^vbg+++xvbg+=giving
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pink
pink ^jj+atrb+++=EXTRAWORD
Dawson!" ^np+++??+=Dawson!"--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
word ^nn++++=word
of ^in++++=of
contempt ^nn++++=contempt
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
tones ^nns++++=tones--"Poor
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
white ^jj+atrb+++=white
trash ^nn++++=trash!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
five ^cd++++=five
hundred ^cd++++=hundred
acres ^nns++++=acres
of ^in++++=of
farming ^xvbg+++xvbg+=farming
land ^nn++++=land,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
counted ^vbd+++xvbn+=counted.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
get ^vbi++++=get
back ^rb+phrv+++=back
at ^rb++++=at
him ^pp3o+pp3+++=him
some ^dti++++=some
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Dawsons ^np+++??+=Dawsons
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
anybody ^pn++++=anybody.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
in ^in++++=in
Alabama ^np+++??+=Alabama
knows ^vbz+vprv+++=knows
the ^ati++++=the
Atwoods ^np+++??+=Atwoods.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy--did
-- ^--+clp+++=EXTRAWORD
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
my ^pp$+pp1+++=my
mother ^nn++++=mother
was ^vbd+bedz+vrb++=was
a ^at++++=a
De ^&fw++++=De
Graffenreid ^np+++??+=Graffenreid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
that ^cs+sub+++=that
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it
some ^dti++++=some
three ^cd++++=three
hundred ^cd++++=hundred
times ^nns++++=times.
. ^zz++++=EXTRAWORD
" ^zz++++="Fact.
fact ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
De ^&fw++++=De
Graffenreids ^np+++??+=Graffenreids
of ^in++++=of
Hancock ^np++++=Hancock
County ^nn++++=County.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
never ^rb++++=never
think ^vb+vprv+++=think
of ^in++++=of
that ^dt+dem+++=that
girl ^nn++++=girl
any ^dti++++=any
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
for ^in++++=for
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
last ^rb++++=last
sounds ^nns++++=sounds
heard ^vwbn+vprv++xvbn+=heard
by ^in++++=by
the ^ati++++=the
conqueror ^nn++++=conqueror
of ^in++++=of
Cupid ^np+++??+=Cupid.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point
Johnny ^np++++=Johnny
would ^md+prd+++=would
fall ^vb++++=fall
into ^in+ppvb+++=into
a ^at++++=a
gentle ^jj++++=gentle
slumber ^jjr++++=slumber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
saunter ^jjr++++=saunter
out ^rp+pl+++=out
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
shack ^nn++++=shack
under ^in++++=under
the ^ati++++=the
calabash ^nn++++=calabash
tree ^nn++++=tree
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
plaza ^np++++=plaza.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two
the ^ati++++=the
letter ^nn++++=letter
from ^in++++=from
the ^ati++++=the
Dalesburg ^np+++??+=Dalesburg
postmaster ^nn+nom+++=postmaster
and ^cc++++=and
its ^pp$+it+++=its
answer ^nn++++=answer
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forgotten ^vpsv++by+xvbnx+=forgotten
by ^in++++=by
the ^ati++++=the
Coralio ^np+++??+=Coralio
exiles ^nns+++??+=exiles.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
the ^ati++++=the
26 ^cd++++=26
th ^zz++++=th
day ^nn++++=day
of ^in++++=of
July ^nr++++=July
the ^ati++++=the
fruit ^nn++++=fruit
of ^in++++=of
the ^ati++++=the
reply ^nn++++=reply
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
the ^ati++++=the
tree ^nn++++=tree
of ^in++++=of
events ^nns++++=events.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Andador ^np+++??+=Andador
, ^zz++++=,
a ^at++++=a
fruit ^nn++++=fruit
steamer ^np++++=steamer
that ^tht+rel+++=that
visited ^jj+++xvbn+=visited
Coralio ^np+++??+=Coralio
regularly ^rb+cnj+++=regularly,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
into ^in++++=into
the ^ati++++=the
