( ^zz++++=(After
true ^jj+atrb+++=true
faith ^nn++++=faith:
: ^zz++++=EXTRAWORD
that ^dt+dem+++=that
of ^in++++=of
Mohammed ^np+++??+=Mohammed!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
but ^cc++++=but
observe ^vb+vprv+++=observe
how ^wrb+who+whcl++=how
the ^ati++++=the
true ^jj+atrb+++=true
Mohammed ^np+++??+=Mohammed
faith ^nn++++=faith
continues ^vbz++++=continues
to ^to++++=to
spread ^vbi++++=spread
both ^abx++++=both
in ^in++++=in
Europe ^np++++=Europe
and ^cc++++=and
Asia ^np++++=Asia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
enlightened ^jj+atrb+++=enlightened
country ^nn++++=country
of ^in++++=of
China ^np++++=China.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
yourselves ^ppls+pp2+++=yourselves
that ^dt+dem+++=that
God ^np++++=God
has ^vbz+hvz+aux++=has
rejected ^vprf+++xvbnx+=rejected
the ^ati++++=the
Jews ^nn++++=Jews;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
proof ^nn++++=proof,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
quote ^vb++++=quote
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
Jews ^nn++++=Jews
are ^vb+ber+aux++=are
humiliated ^vpsv++agls+xvbnx+=humiliated
and ^cc++++=and
their ^pp$+pp3+++=their
faith ^nn++++=faith
does ^vbz+doz+aux++=does
not ^xnot++not++=not
spread ^vb+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Confess ^nns+nom+++=Confess
then ^rn+tm+++=then
the ^ati++++=the
truth ^nn++++=truth
of ^in++++=of
Mohammedanism ^np+nom++??+=Mohammedanism,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
triumphant ^jj+pred+++=triumphant
and ^cc++++=and
spreads ^vbz++++=spreads
far ^rb+pl+++=far
and ^cc++++=and
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
None ^pn++++=None
will ^md+prd+++=will
be ^vb+be+aux++=be
saved ^vpsv++agls+xvbnx+=saved
but ^cc++++=but
the ^ati++++=the
followers ^nns+nom+++=followers
of ^in++++=of
Mohammed ^np+++??+=Mohammed,
, ^zz++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
latest ^jjt+atrb+++=latest
prophet ^nn++++=prophet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
followers ^nns+nom+++=followers
of ^in++++=of
Omar ^np+++??+=Omar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
of ^in++++=of
Ali ^np++++=Ali,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
latter ^ap++++=latter
are ^vb+ber+vrb++=are
false ^jj+pred+++=false
to ^in++++=to
the ^ati++++=the
faith ^nn++++=faith."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
the ^ati++++=the
Persian ^jj+atrb+++=Persian
theologian ^nn++++=theologian,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
sect ^nn++++=sect
of ^in++++=of
Ali ^np++++=Ali,
, ^zz++++=EXTRAWORD
wished ^vb+++xvbn+=wished
to ^to+vcmp+++=to
reply ^vb++++=reply;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
a ^at++++=a
great ^jj+atrb+++=great
dispute ^nn++++=dispute
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen
among ^in++++=among
all ^abn++++=all
the ^ati++++=the
strangers ^nns+nom+++=strangers
of ^in++++=of
different ^jj+atrb+++=different
faiths ^nns++++=faiths
and ^cc++++=and
creeds ^nns++++=creeds
present ^nn++++=present.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
Abyssinian ^np+++??+=Abyssinian
Christians ^nn++++=Christians,
, ^zz++++=EXTRAWORD
Llamas ^np+++??+=Llamas
from ^in++++=from
Thibet ^np+++??+=Thibet,
, ^zz++++=EXTRAWORD
Ismailians ^np+++??+=Ismailians
and ^cc++++=and
Fireworshippers ^nns+nom++??+=Fireworshippers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
all ^abn++++=all
argued ^jj+++xvbn+=argued
about ^in++++=about
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
He ^pp3a+pp3+++=He
should ^md+nec+++=should
be ^vb+be+aux++=be
worshipped ^vpsv++agls+xvbnx+=worshipped.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
of ^in++++=of
them ^pp3o+pp3+++=them
asserted ^vbd+vpub++xvbn+=asserted
that ^tht+vcmp+++=that
in ^in++++=in
his ^pp$+pp3+++=his
country ^nn++++=country
alone ^rb++++=alone
was ^vbd+bedz+vrb++=was
the ^ati++++=the
true ^jj+atrb+++=true
God ^np++++=God
known ^vbd+vprv++xvbn+=known
and ^cc++++=and
rightly ^rb++++=rightly
worshipped ^vbd+++xvbn+=worshipped.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
argued ^vbd+vpub++xvbn+=argued
and ^cc+phrs+++=and
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
except ^in++++=except
a ^at++++=a
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
a ^at++++=a
student ^nn++++=student
of ^in++++=of
Confucius ^np+++??+=Confucius,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
quietly ^rb++++=quietly
in ^in++++=in
one ^cd1++++=one
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
coffee ^nn++++=coffee-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
joining ^nvbg+++xvbg+=joining
in ^in++++=in
the ^ati++++=the
dispute ^nn++++=dispute.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
drinking ^nvbg+++xvbg+=drinking
tea ^nn++++=tea
and ^cc++++=and
listening ^vbg+++xvbg+=listening
to ^to++++=to
what ^wdt+who+++=what
the ^ati++++=the
others ^aps++++=others
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Turk ^np+++??+=Turk
noticed ^vbd+vprv+tht0+xvbn+=noticed
him ^pp3o+pp3+++=him
sitting ^vbg+++xvbg+=sitting
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appealed ^vpsv++agls+xvbn+=appealed
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
confirm ^vb+vpub+++=confirm
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
Chinaman ^nn+nom+++=Chinaman.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hold ^vb+vprv+tht0++=hold
your ^pp$+pp2+++=your
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
spoke ^vbd+++xvbn+=spoke
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
would ^md+prd+++=would
uphold ^vb++++=uphold
my ^pp$+pp1+++=my
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
Traders ^nns+nom+++=Traders
from ^in++++=from
your ^pp$+pp2+++=your
country ^nn++++=country,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
come ^vb++++=come
to ^in++++=to
me ^pp1o+pp1+++=me
for ^in++++=for
assistance ^nn+nom+++=assistance,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
though ^cs+sub+++=though
many ^ap++++=many
religions ^nns++++=religions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
introduced ^vpsv++agls+xvbnx+=introduced
into ^in++++=into
China ^np++++=China,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
Chinese ^nn+nom+++=Chinese
consider ^nn+nom+++=consider
Mohammedanism ^np+nom++??+=Mohammedanism
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adopt ^vb++++=adopt
it ^pp3+it+++=it
willingly ^rb++++=willingly.
. ^zz++++=EXTRAWORD
Confirm ^vb+vpub+++=Confirm,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
us ^pp1o+pp1+++=us
your ^pp$+pp2+++=your
opinion ^nn++++=opinion
of ^in++++=of
the ^ati++++=the
true ^jj+atrb+++=true
God ^nn++++=God
and ^cc++++=and
of ^in++++=of
His ^pp$+pp3+++=His
prophet ^nn++++=prophet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
the ^ati++++=the
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
" ^zz++++="let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
hear ^vb+vprv+++=hear
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
student ^nn++++=student
of ^in++++=of
Confucius ^np+++??+=Confucius,
, ^zz++++=EXTRAWORD
closed ^j+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
a ^at++++=a
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
them ^pp3o+pp3+++=them
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drawing ^nvbg+++xvbg+=drawing
his ^pp$+pp3+++=his
hands ^nns++++=hands
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
wide ^jj+atrb+++=wide
sleeves ^nns++++=sleeves
of ^in++++=of
his ^pp$+pp3+++=his
garment ^nn+nom+++=garment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
folding ^jj++++=folding
them ^pp3o+pp3+++=them
on ^in++++=on
his ^pp$+pp3+++=his
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
as ^ql++++=as
follows ^vbz+vprv+++=follows,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
calm ^nn++++=calm
and ^cc++++=and
quiet ^jj+atrb+++=quiet
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Sirs ^np+++??+=Sirs,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
chiefly ^rb++++=chiefly
pride ^nn++++=pride
that ^tht+rel+subj++=that
prevents ^vbz++++=prevents
men ^nns++++=men
agreeing ^vwbg+vpub++xvbg+=agreeing
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another
on ^in++++=on
matters ^nns+nom+++=matters
of ^in++++=of
faith ^nn++++=faith.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
care ^vb+vprv+++=care
to ^to+vcmp+++=to
listen ^vbi++++=listen
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
a ^at++++=a
story ^nn++++=story
which ^wdt+who+whcl++=which
will ^md+prd+++=will
explain ^vb+vpub+++=explain
this ^dt+dem+++=this
by ^in++++=by
an ^at++++=an
example ^nn++++=example.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
here ^rn+pl+++=here
from ^in++++=from
China ^np++++=China
on ^in++++=on
an ^at++++=an
English ^jj+atrb+++=English
steamer ^np++++=steamer
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
round ^rb++++=round
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stopped ^vbd+++xvbn+=stopped
for ^in++++=for
fresh ^jj+atrb+++=fresh
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
landed ^vpsv++agls+xvbn+=landed
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
coast ^nn++++=coast
of ^in++++=of
the ^ati++++=the
island ^nn++++=island
of ^in++++=of
Sumatra ^np++++=Sumatra.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
midday ^nn++++=midday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
landed ^vprf+++xvbn+=landed,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
some ^dti++++=some
cocoanut ^nn+++??+=cocoanut
palms ^nns++++=palms
by ^in++++=by
the ^ati++++=the
seashore ^nn+++??+=seashore,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
a ^at++++=a
native ^jj+atrb+++=native
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
a ^at++++=a
party ^nn++++=party
of ^in++++=of
men ^nns++++=men
of ^in++++=of
different ^jj+atrb+++=different
nationalities ^nns+nom+++=nationalities.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
a ^at++++=a
blind ^jj+atrb+++=blind
man ^nn++++=man
approached ^vbd+++xvbn+=approached
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
learned ^vbd+vprv++xvbn+=learned
afterwards ^rb+tm+++=afterwards
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
blind ^jj++++=blind
from ^in++++=from
gazing ^xvbg+++xvbg+=gazing
too ^ql++++=too
long ^rb++++=long
and ^cc+phrs+++=and
too ^rb++++=too
persistently ^rb++++=persistently
at ^in++++=at
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
seize ^vb++++=seize
its ^pp$+it+++=its
light ^nn++++=light.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
strove ^vbd+++xvbnx+=strove
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
to ^to++++=to
accomplish ^vbi++++=accomplish
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
constantly ^rb++++=constantly
looking ^vbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
sun ^nn++++=sun;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
only ^ap+down+++=only
result ^nn++++=result
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
injured ^vpsv++by+xvbnx+=injured
by ^in++++=by
its ^pp$+it+++=its
brightness ^nns+nom+++=brightness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
blind ^jj++++=blind.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
liquid ^nn++++=liquid;
; ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
liquid ^nn++++=liquid
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
pour ^vbi++++=pour
it ^pp3+it+++=it
from ^in++++=from
one ^cd1++++=one
vessel ^nn++++=vessel
into ^in++++=into
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+aux++=be
moved ^vpsv++agls+xvbnx+=moved,
, ^zz++++=EXTRAWORD
like ^in++++=like
water ^nn++++=water,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
water ^nn++++=water
would ^md+prd+++=would
extinguish ^vb++++=extinguish
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
is ^vbz+bez+vrb++=is
light ^jj+pred+++=light
a ^at++++=a
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
the ^ati++++=the
eye ^nn++++=eye;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
moved ^vpsv++agls+xvbnx+=moved.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
neither ^dt++neg++=neither
liquid ^jj++++=liquid,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is--nothing!"
-- ^--+clp+++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
argued ^vbd+vpub++xvbnx+=argued,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
always ^rb++++=always
looking ^vbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
sun ^nn++++=sun
and ^cc++++=and
always ^rb++++=always
thinking ^nvbg+++xvbg+=thinking
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
both ^abx++++=both
his ^pp$+pp3+++=his
sight ^nn++++=sight
and ^cc++++=and
his ^pp$+pp3+++=his
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
quite ^rb++++=quite
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
fully ^rb+amp+++=fully
convinced ^jj+v++xvbn+=convinced
that ^tht+jcmp+++=that
the ^ati++++=the
sun ^nn++++=sun
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
blind ^jj+atrb+++=blind
man ^nn++++=man
came ^vbd+++xvbn+=came
a ^at++++=a
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
after ^in++++=after
placing ^xvbg+++xvbg+=placing
his ^pp$+pp3+++=his
master ^nn++++=master
in ^in++++=in
the ^ati++++=the
shade ^nn++++=shade
of ^in++++=of
a ^at++++=a
cocoanut ^nn+++??+=cocoanut
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked
up ^rp++++=up
a ^at++++=a
cocoanut ^nn+++??+=cocoanut
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
making ^nvbg+++xvbg+=making
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
night ^nn++++=night-light.
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
twisted ^vbd+++xvbnx+=twisted
a ^at++++=a
wick ^np++++=wick
from ^in++++=from
the ^ati++++=the
fibre ^nn++++=fibre
of ^in++++=of
the ^ati++++=the
cocoanut ^nn+++??+=cocoanut:
: ^zz++++=EXTRAWORD
squeezed ^xvbn+++xvbn+=squeezed
oil ^nn++++=oil
from ^in++++=from
the ^ati++++=the
nut ^nn++++=nut
in ^in++++=in
the ^ati++++=the
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soaked ^vbd+++xvbn+=soaked
the ^ati++++=the
wick ^np++++=wick
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
slave ^nn++++=slave
sat ^vbd+++xvbn+=sat
doing ^vbg+++xvbg+=doing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blind ^jj+atrb+++=blind
man ^nn++++=man
sighed ^vbd+++xvbn+=sighed
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
not ^xnot++not++=not
right ^rb++++=right
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
sun ^nn++++=sun?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
not ^xnot++not++=not
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
dark ^jj++++=dark
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is?
? ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
people ^nns++++=people
say ^vb+vpub+tht0++=say
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
But ^cc+cls+++=But
if ^cs+cnd+++=if
so ^ql++++=so,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
business ^nns+nom+++=business
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
light ^nn++++=light
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
made ^vprf+++xvbnx+=made
a ^at++++=a
night ^nn++++=night-light,
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
can ^md+pos+++=can
serve ^vb++++=serve
you ^pp2+pp2+++=you
and ^cc++++=and
find ^vb+vprv+tht0++=find
anything ^pn++++=anything
I ^pp1a+pp1+++=I
want ^vb++++=want
in ^in++++=in
the ^ati++++=the
