Children ^nns++++=Children,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
brought ^vpsv++agls+xvbn+=brought
with ^in++++=with
it ^pp3+it+++=it
few ^ap++++=few
rejoicings ^nns+++??+=rejoicings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hearts ^nns++++=hearts
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+vrb++=were
too ^ql++++=too
sad ^jj++++=sad
to ^to++++=to
be ^vbi+vbi+aux++=be
taken ^vpsv++agls+xvbnx+=taken
up ^rb+phrv+++=up
with ^in+ppvb+++=with
merrymaking ^nn++++=merrymaking,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
Hessian ^np+++??+=Hessian
soldiers ^nns+nom+++=soldiers
in ^in++++=in
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
Germans ^nns+nom+++=Germans,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
only ^ap+down+++=only
fought ^vprf+++xvbn+=fought
the ^ati++++=the
Americans ^nns+nom+++=Americans
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
paid ^vpsv++agls+xvbnx+=paid
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
themselves ^ppls+pp3+++=themselves
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
feasting ^nn++++=feasting
and ^cc++++=and
revelry ^nn++++=revelry.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
we ^pp1a+pp1+++=we
hang ^vb++++=hang
up ^rp++++=up
our ^pp$+pp1+++=our
stockings ^nns++++=stockings?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
in ^in++++=in
rather ^rb++++=rather
a ^at++++=a
doleful ^jj+atrb+++=doleful
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
" ^zz++++="Santa
santa ^&fw++++=EXTRAWORD
Claus ^np+++??+=Claus
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
kept ^vpsv++agls+xvbnx+=kept
pretty ^rb++++=pretty
busy ^jj++++=busy
looking ^jj+++xvbg+=looking
after ^in++++=after
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
this ^dt+dem+++=this
winter ^nn++++=winter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
side ^nn++++=side
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
on ^in+strn+++=on?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Harry ^np++++=Harry.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
right ^jj+atrb+++=right
side ^nn++++=side,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
sensible ^jj+atrb+++=sensible
answer ^nn++++=answer
she ^pp3a+pp3+++=she
could ^md+pos+++=could
possibly ^rb++++=possibly
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given.
. ^zz++++=EXTRAWORD
So ^ql++++=So:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
stockings ^nns++++=stockings
were ^vbd+bed+aux++=were
hung ^vpsv++by+xvbnx+=hung
by ^in++++=by
the ^ati++++=the
chimney ^nn++++=chimney
with ^in++++=with
care ^nn++++=care,
, ^zz++++=EXTRAWORD
In ^in++++=In
hopes ^vb++++=hopes
that ^tht+vcmp+++=that
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
soon ^rb+tm+++=soon
would ^md+prd+++=would
be ^vb+be+vrb++=be
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Two ^cd++++=Two
little ^jj+atrb+++=little
rosy ^jj+atrb+++=rosy
faces ^nns++++=faces
lay ^vbd+++xvbn+=lay
fast ^jj++++=fast
asleep ^jj++++=asleep
upon ^in++++=upon
the ^ati++++=the
pillow ^nn++++=pillow
when ^wrb+who+++=when
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
soul ^nn++++=soul
came ^vbd+++xvbn+=came
dashing ^jj+++xvbg+=dashing
over ^in++++=over
the ^ati++++=the
roof ^nn++++=roof
about ^in++++=about
one ^cd1++++=one
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
and ^cc++++=and
after ^in++++=after
filling ^xvbg+++xvbg+=filling
each ^dt++++=each
stocking ^nn++++=stocking
with ^in++++=with
red ^jj+atrb+++=red
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
cornucopia ^nn++++=cornucopia
of ^in++++=of
sugar ^nn++++=sugar-plums
- ^zz++++=EXTRAWORD
plums ^nns++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
child ^nn++++=child,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
for ^in++++=for
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
has ^vbz+hvz+vrb++=has
a ^at++++=a
tender ^jj+atrb+++=tender
spot ^nn++++=spot
in ^in++++=in
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
big ^jj+atrb+++=big
heart ^nn++++=heart
for ^in++++=for
a ^at++++=a
soldier ^nn++++=soldier's
's ^$++++=EXTRAWORD
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
remembering ^nc+++xvbg+=remembering
many ^ap++++=many
other ^ap++++=other
small ^jj+atrb+++=small
folks ^nns++++=folks
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sprang ^vbd+++xvbnx+=sprang
up ^rp++++=up
the ^ati++++=the
chimney ^nn++++=chimney
and ^cc++++=and
was ^vbd+bedz+vrb++=was
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
trice ^nn++++=trice.
. ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Claus ^np+++??+=Claus,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy's
's ^$++++=EXTRAWORD
farmer ^nn++++=farmer
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
her ^pp$+pp3+++=her
a ^at++++=a
splendid ^jj+atrb+++=splendid
turkey ^nn++++=turkey;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
the ^ati++++=the
Hessians ^nn++++=Hessians
were ^vbd+bed+vrb++=were
uncommonly ^rb++++=uncommonly
fond ^jj+pred+++=fond
of ^in++++=of
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
hidden ^vbd+++xvbn+=hidden
under ^in++++=under
a ^at++++=a
load ^nn++++=load
of ^in++++=of
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Harry ^np++++=Harry
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
of ^in++++=of
all ^abn++++=all
other ^ap++++=other
good ^jj+atrb+++=good
things ^nns++++=things;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
his ^pp$+pp3+++=his
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
a ^at++++=a
fine ^jj+atrb+++=fine
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
too ^rb++++=too
bad ^jj++++=bad
to ^to+jcmp+++=to
eat ^vbi++++=eat
it ^pp3+it+++=it
without ^in++++=without
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Harry ^np++++=Harry
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
it ^pp3+it+++=it
for ^in++++=for
papa ^npt++++=papa!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Kitty ^np++++=Kitty,
, ^zz++++=EXTRAWORD
joining ^vbg+++xvbg+=joining
in ^in++++=in
the ^ati++++=the
chorus ^nn++++=chorus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vote ^nn++++=vote
was ^vbd+bedz+vrb++=was
unanimous ^jj+pred+++=unanimous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
turkey ^nn++++=turkey
was ^vbd+bedz+aux++=was
hung ^vpsv++agls+xvbnx+=hung
away ^rp+pl+++=away
to ^to++++=to
await ^vbi++++=await
the ^ati++++=the
return ^nn++++=return
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Kitty ^np++++=Kitty
told ^vbd+vpub++xvbn+=told
Martha ^np+++??+=Martha
Washington ^np++++=Washington,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^in++++=EXTRAWORD
have ^vbi++vrb++=have
no ^at++++=no
papa ^npt++++=papa
and ^cc++++=and
no ^at++++=no
turkey ^np++++=turkey
on ^in++++=on
Christmas ^np++++=Christmas
Day ^nn++++=Day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
passed ^vbd+++xvbn+=passed
and ^cc++++=and
night ^nn++++=night
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
with ^in++++=with
a ^at++++=a
steady ^jj+atrb+++=steady
fall ^nn++++=fall
of ^in++++=of
rain ^nn++++=rain
and ^cc++++=and
sleet ^nn++++=sleet.
. ^zz++++=EXTRAWORD
Kitty ^np++++=Kitty
prayed ^vbd+vsua++xvbn+=prayed
that ^tht+vcmp+++=that
her ^pp$+pp3+++=her
" ^zz++++="dear
dear ^jj+atrb+++=EXTRAWORD
papa ^npt++++=papa
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
come ^vb++++=come
home ^nr++++=home
and ^cc++++=and
wear ^vb++++=wear
his ^pp$+pp3+++=his
beautiful ^jj+atrb+++=beautiful
blue ^nn++++=blue
stockings ^nns++++=stockings";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
eat ^vb++++=eat
his ^pp$+pp3+++=his
turkey ^nn++++=turkey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Harry ^np++++=Harry's
's ^$++++=EXTRAWORD
sleepy ^jj+atrb+++=sleepy
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
soon ^rb+tm+++=soon
in ^in++++=in
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
morning ^nn++++=morning
the ^ati++++=the
good ^jj+atrb+++=good
people ^nns++++=people
in ^in++++=in
Bordentown ^np+++??+=Bordentown
were ^vbd+bed+aux++=were
suddenly ^rb++splt++=suddenly
aroused ^vpsv++by+xvbnx+=aroused
by ^in++++=by
firing ^xvbg+++xvbg+=firing
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
became ^vbd+++xvbn+=became
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
distinct ^jj++++=distinct
as ^in++++=as
the ^ati++++=the
day ^nn++++=day
wore ^vbd+++xvbn+=wore
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
great ^jj+atrb+++=great
excitement ^nn+nom+++=excitement
in ^in++++=in
the ^ati++++=the
town ^nn++++=town;
; ^zz++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
gathered ^vbd+++xvbn+=gathered
together ^nn+nom+++=together
in ^in++++=in
little ^jj+atrb+++=little
groups ^nns++++=groups
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets
to ^to++++=to
wonder ^vbi++++=wonder
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neighbours ^nns++++=neighbours
came ^vbd+++xvbn+=came
dropping ^vbg+++xvbg+=dropping
into ^in++++=into
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy's
's ^$++++=EXTRAWORD
parlour ^nn++++=parlour,
, ^zz++++=EXTRAWORD
all ^abn++++=all
day ^nn++++=day
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
one ^pn++++=one
after ^in++++=after
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
firing ^nvbg+++xvbg+=firing.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
body ^nn++++=body
of ^in++++=of
Hessians ^nn++++=Hessians
flying ^vwbg+++xvbg+=flying
into ^in++++=into
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
General ^jj+atrb+++=General
Washington ^np++++=Washington
had ^vbd+hvd+aux++=had
surprised ^vprf+++xvbnx+=surprised
the ^ati++++=the
British ^nn++++=British
at ^in++++=at
Trenton ^np+++??+=Trenton,
, ^zz++++=EXTRAWORD
early ^jj++++=early
that ^dt+dem+++=that
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
completely ^rb+amp+++=completely
routed ^vbd+++xvbn+=routed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
so ^ql+emph+++=so
frightened ^jj+++xvbn+=frightened
the ^ati++++=the
Hessians ^nn++++=Hessians
in ^in++++=in
Bordentown ^np+++??+=Bordentown
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left
without ^in++++=without
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
ceremony ^nn++++=ceremony.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
joyful ^jj+atrb+++=joyful
hour ^nn++++=hour
to ^in++++=to
the ^ati++++=the
good ^jj+atrb+++=good
town ^nn++++=town
people ^nns++++=people
when ^wrb+who+++=when
the ^ati++++=the
red ^jj++++=red-jackets
- ^zz++++=EXTRAWORD
jackets ^nns++++=EXTRAWORD
turned ^vbd+++xvbn+=turned
their ^pp$+pp3+++=their
backs ^nns++++=backs
on ^rp++++=on
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
every ^at++++=every
moment ^nn++++=moment
that ^tht+rel+obj++=that
the ^ati++++=the
patriot ^nn+++??+=patriot
army ^nn++++=army
would ^md+prd+++=would
be ^vb+be+vrb++=be
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
wonders ^nns+nom+++=wonders
would ^md+prd+++=would
never ^rb++splt++=never
cease ^vb++++=cease
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
for ^in++++=for
while ^cs+sub+++=while
rejoicings ^nns+++??+=rejoicings
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
loud ^jj+pred+++=loud,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
departure ^nn++++=departure
of ^in++++=of
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
knock ^vb++++=knock
at ^rb++++=at
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy's
's ^$++++=EXTRAWORD
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
wondering ^vbg+++xvbgx+=wondering
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
dared ^vbd+++xvbnx+=dared
open ^jj++++=open
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
pushed ^vpsv++agls+xvbnx+=pushed
ajar ^rb+cnj+++=ajar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tall ^jj+atrb+++=tall
soldier ^nn++++=soldier
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
scream ^nn++++=scream
of ^in++++=of
delight ^nn++++=delight
greeted ^vbd+++xvbn+=greeted
that ^dt+dem+++=that
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
Kitty ^np++++=Kitty
and ^cc++++=and
Harry ^np++++=Harry
danced ^vbd+++xvbn+=danced
about ^rb++++=about
him ^pp3o+pp3+++=him
and ^cc++++=and
clung ^vpsv++agls+xvbn+=clung
to ^in++++=to
his ^pp$+pp3+++=his
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracy ^np++++=Tracy
drew ^vbd+++xvbn+=drew
him ^pp3o+pp3+++=him
toward ^in++++=toward
the ^ati++++=the
warm ^jj+atrb+++=warm
blaze ^nn++++=blaze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
helped ^vbd+++xvbn+=helped
him ^pp3o+pp3+++=him
off ^rp+pl+++=off
with ^in++++=with
his ^pp$+pp3+++=his
damp ^jj+atrb+++=damp
cloak ^nn++++=cloak!
! ^zz++++=EXTRAWORD
Cold ^jj+atrb+++=Cold
and ^cc+phrs+++=and
tired ^jj+++xvbn+=tired
Captain ^npt++++=Captain
Tracy ^np+++??+=Tracy
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
night ^nn++++=night's
's ^$++++=EXTRAWORD
march ^nn++++=march
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets
and ^cc++++=and
a ^at++++=a
day ^nn++++=day's
's ^vbz+bez+aux++0=EXTRAWORD
fighting ^vbg+++xvbgx+=fighting;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
too ^rb++++=too
weary ^jj++++=weary
to ^in++++=to
smile ^nn++++=smile
at ^in++++=at
the ^ati++++=the
dear ^uh++++=dear
faces ^nns++++=faces
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
pat ^np++++=pat
Kitty ^np++++=Kitty's
's ^$++++=EXTRAWORD
head ^nn++++=head
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
brought ^vbd+++xvbnx+=brought
his ^pp$+pp3+++=his
warm ^jj+atrb+++=warm
stockings ^nns++++=stockings
and ^cc++++=and
would ^md+prd+++=would
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
tired ^jj+atrb++xvbn+=tired
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sharp ^jj+atrb+++=sharp,
, ^zz++++=EXTRAWORD
quick ^jj+atrb+++=quick
bark ^nn++++=bark
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Harry ^np++++=Harry.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot.
. ^zz++++=EXTRAWORD
Open ^jj++++=Open
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
Fido ^np+++??+=Fido,
, ^zz++++=EXTRAWORD
Fido ^np+++??+=Fido!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Into ^in++++=Into
the ^ati++++=the
room ^nn++++=room
there ^ex+pex+++=there
sprang ^vbd+++xvbn+=sprang
a ^at++++=a
beautiful ^jj++++=beautiful
little ^ap++++=little
King ^npt++++=King
Charles ^np++++=Charles
spaniel ^nn++++=spaniel,
, ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
with ^in++++=with
tan ^nn++++=tan
spots ^nns++++=spots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ears ^nns++++=ears
of ^in++++=of
the ^ati++++=the
longest ^jjt++++=longest,
, ^zz++++=EXTRAWORD
softest ^jjt++++=softest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silkiest ^jjt++++=silkiest.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
dear ^jj++++=dear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Kitty ^np++++=Kitty;
; ^zz++++=EXTRAWORD
" ^zz++++="where
where ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
come ^vb++++=come
from ^in+ppvb+++=from?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
the ^ati++++=the
battle ^nn++++=battle
of ^in++++=of
Trenton ^np+++??+=Trenton,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
poor ^jj+atrb+++=poor
master ^nn++++=master
was ^vbd+bedz+aux++=was
shot ^vpsv++agls+xvbnx+=shot.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
red ^jj++++=red-coats
- ^zz++++=EXTRAWORD
coats ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
their ^pp$+pp3+++=their
backs ^nns++++=backs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
hurrying ^vbg+++xvbgx+=hurrying
along ^in++++=along
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets
where ^wrb+who+++=where
the ^ati++++=the
fight ^nn++++=fight
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
fiercest ^jjt++++=fiercest,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
low ^jj+atrb+++=low
groan ^nn++++=groan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
a ^at++++=a
British ^jj+atrb+++=British
officer ^nn++++=officer
lying ^vwbg+++xvbg+=lying
among ^in++++=among
a ^at++++=a
number ^nn++++=number
of ^in++++=of
slain ^nn+++??+=slain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
begged ^vbd+++xvbnx+=begged
for ^in++++=for
some ^dti++++=some
water ^nn++++=water,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
