Nikolai ^np+++??+=Nikolai
tomorrow ^nr+tm+++=to-morrow
and ^cc++++=and
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
prove ^vb+vprv+++=prove
to ^to+vcmp+++=to
you ^pp2+pp2+++=you
that ^cs+sub+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
either ^dtx++++=either
done ^vprf+++xvbn+=done
your ^pp$+pp2+++=your
work ^nn++++=work
carelessly ^rb+cnj+++=carelessly,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
copied ^vprf+++xvbnx+=copied
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
three ^cd++++=three
versts ^nns+++??+=versts
to ^in++++=to
the ^ati++++=the
inch ^nn++++=inch
map.... ^nn+++??+=map....'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
so ^rb+emph+++=so
certain ^jj++++=certain
that ^tht+jcmp+++=that
no ^at++++=no
bushes ^nns++++=bushes
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
childish ^jj+atrb+++=childish
questions ^nns+nom+++=questions
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
ask ^vb++++=ask!
! ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
known ^vpsv++agls+xvbnx+=known
this ^dt+dem+++=this
district ^nn++++=district
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knows ^vbz+vprv+tht0++=knows
it ^pp3+it+++=it
better ^jjr++++=better
than ^in++++=than
his ^pp$+pp3+++=his
own ^ap++++=own
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
fearful ^jj+atrb+++=fearful
pedant ^nn++++=pedant
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
German ^jj+atrb+++=German
besides.. ^nn+++??+=besides....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+++=know
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
and ^cc++++=and
so ^ql+emph+++=so
discussed ^jj+++xvbn+=discussed
the ^ati++++=the
point ^nn++++=point
with ^in++++=with
him... ^nn+++??+=him...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
picking ^vbg+++xvbg+=picking
up ^rp++++=up
burnt ^jj+++xvbn+=burnt
matches ^vbz++++=matches
from ^in++++=from
the ^ati++++=the
ash ^nn++++=ash-tray
- ^zz++++=EXTRAWORD
tray ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breaking ^nvbg+++xvbg+=breaking
them ^pp3o+pp3+++=them
to ^in++++=to
little ^jj+atrb+++=little
bits ^nns++++=bits.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
ceased ^vbd+++xvbnx+=ceased
speaking ^vbg+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
the ^ati++++=the
pieces ^nns++++=pieces
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
man ^nn++++=man
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ap+amp+++=very
near ^rb++++=near
weeping ^nn++++=weeping.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
husband ^nn++++=husband
and ^cc++++=and
wife ^nn++++=wife
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
suddenly ^rb++++=suddenly
Verotchka ^np+++??+=Verotchka
jumped ^vbd+++xvbn+=jumped
up ^rp++++=up
from ^in++++=from
her ^pp$+pp3+++=her
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen,
listen ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
this ^dt+dem+++=this
very ^ql+amp+++=very
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
haste ^nn++++=haste
and ^cc++++=and
get ^vb++++=get
ready ^jj++++=ready."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nikolai ^np+++??+=Nikolai
Yevgrafovitch ^np+++??+=Yevgrafovitch
wrinkled ^vwbn+++xvbn+=wrinkled
up ^rp++++=up
his ^pp$+pp3+++=his
face ^nn++++=face
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
suffering ^vbg+++xvbgx+=suffering
some ^dti++++=some
intolerable ^jj+atrb+++=intolerable
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
talk ^nn++++=talk
nonsense ^nn++++=nonsense,
, ^zz++++=EXTRAWORD
Vera ^np++++=Vera,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
go ^vb++++=go
and ^cc+phrs+++=and
put ^vbd+++xvbn+=put
matters ^nns+nom+++=matters
right ^jj++++=right
by ^in++++=by
apologising ^xvbg+++xvbg+=apologising,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+aux++=be
asking ^vbg+vsua++xvbgx+=asking
for ^in+ppvb+++=for
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
foolish ^jj+pred+++=foolish,
, ^zz++++=EXTRAWORD
please ^uh++++=please!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
foolishness ^nns+nom+++=foolishness,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Vera ^np++++=Vera,
, ^zz++++=EXTRAWORD
stamping ^nvbg+++xvbg+=stamping
her ^pp3o+pp3+++=her
toot ^nn+++??+=toot.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody
nobody ^pn++++=EXTRAWORD
wants ^vbz++++=wants
you ^pp2+pp2+++=you
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
apologise ^vb++++=apologise.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
there ^ex+pex+++=there
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
silly ^jj+atrb+++=silly
old ^jj+atrb+++=old
trees ^nns++++=trees
there ^rn+pl+++=there
we ^pp1a+pp1+++=we'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
go ^vb++++=go
and ^cc+phrs+++=and
put ^vb+++xvbn+=put
some ^dti++++=some."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
some ^dti++++=some
trees ^nns++++=trees!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Nikolai ^np+++??+=Nikolai
Yevgrafovitch ^np+++??+=Yevgrafovitch,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
staring ^vwbg+++xvbg+=staring.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
some ^dti++++=some
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
you ^pp2+pp2+++=you
must ^md+nec+++=must
make ^vb++++=make
it ^pp3+it+++=it
true ^jj++++=true.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
get ^vb++++=get
ready ^jj++++=ready.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
hat ^nn++++=hat
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
cupboard.. ^nn+++??+=cupboard....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Umbrella ^nn++++=Umbrella!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc+cls+++=And
while ^cs+sub+++=while
Almazof ^np+++??+=Almazof,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
his ^pp$+pp3+++=his
objections ^nns+nom+++=objections
entirely ^rb+amp+++=entirely
ignored ^vbd+++xvbn+=ignored,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
the ^ati++++=the
hat ^nn++++=hat
and ^cc++++=and
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
Vera ^np++++=Vera
opened ^vbd+++xvbn+=opened
drawers ^nns+nom+++=drawers
and ^cc++++=and
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
various ^jj++++=various
little ^ap++++=little
boxes ^nns++++=boxes
and ^cc++++=and
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
" ^zz++++="Earrings....
earrings.. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
no ^at++++=no
good ^nn++++=good.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shan't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
anything ^pn++++=anything
on ^in++++=on
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here's
's ^vbz+bez+vrb++0=EXTRAWORD
this ^dt+dem+++=this
ring ^nn++++=ring
with ^in++++=with
the ^ati++++=the
valuable ^jj+atrb+++=valuable
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
buy ^vb++++=buy
that ^cs+sub+++=that
back ^jjb++++=back
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
pity ^nn++++=pity
to ^to++++=to
lose ^vbi++++=lose
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Bracelet ^nn+nom+++=Bracelet
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
much ^rb++++=much
for ^in++++=for
that ^cs+sub+++=that
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
old ^jj++++=old
and ^cc++++=and
bent.. ^nn+++??+=bent....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
silver ^nn++++=silver
cigar ^nn++++=cigar-case,
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
five ^cd++++=five
minutes ^nns++++=minutes
all ^rb++++=all
their ^pp$+pp3+++=their
valuables ^nns+++??+=valuables
were ^vbd+bed+vrb++=were
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand-bag,
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vera ^np++++=Vera,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
and ^cc+phrs+++=and
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
round ^in++++=round
for ^in++++=for
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
to ^to++++=to
assure ^vbi++++=assure
herself ^ppl+pp3+++=herself
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
overlooked ^vbn+vprv++xvbn+=overlooked
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
resolutely ^rb++++=resolutely.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Almazof ^np+++??+=Almazof
tried ^vbd+++xvbn+=tried
again ^rb+tm+++=again
to ^in++++=to
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
get ^vbi++++=get
dark ^jj++++=dark
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
place ^nn++++=place
is ^vbz+bez+vrb++=is
ten ^cd++++=ten
versts ^nns+++??+=versts
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stupid!
stupid ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
along ^in+strn+++=along."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
First ^rb++++=First
of ^in++++=of
all ^rb++++=all
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
pawnshop ^nn+++??+=pawnshop.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pawnbroker ^jjr++++=pawnbroker
had ^vb+hv+aux++=had
evidently ^rb++splt++=evidently
got ^vprf+++xvbnx+=got
accustomed ^vbd+++xvbn+=accustomed
long ^rb++++=long
ago ^rb++++=ago
to ^in++++=to
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
people ^nns++++=people
in ^in++++=in
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
touched ^vpsv++by+xvbnx+=touched
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
methodical ^jj++++=methodical
about ^in++++=about
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
so ^ql++++=so
long ^vb++++=long
to ^to+vcmp+++=to
value ^vb++++=value
the ^ati++++=the
things ^nns++++=things,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Vera ^np++++=Vera
felt ^vbd+vprv+tht0+xvbn+=felt
she ^pp3a+pp3+++=she
should ^md+nec+++=should
go ^vb++++=go
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
specially ^rb++++=specially
vexed ^jj+++xvbn+=vexed
her ^pp3o+pp3+++=her
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
should ^md+nec+++=should
test ^vb++++=test
her ^pp3o+pp3+++=her
ring ^nn++++=ring
with ^in++++=with
acid ^nn++++=acid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
after ^in++++=after
weighing ^xvbg+++xvbg+=weighing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
valued ^vbd+++xvbnx+=valued
it ^pp3+it+++=it
at ^in++++=at
three ^cd++++=three
roubles ^nns++++=roubles
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
real ^rb+emph+++=real
brilliant ^jj++++=brilliant,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
poor ^jj+atrb+++=poor
Vera ^np++++=Vera.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
cost ^nn++++=cost
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
roubles ^nns++++=roubles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
bargain ^nn++++=bargain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
pawnbroker ^nn++++=pawnbroker
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
frankly ^rb++splt++=frankly
bored ^vpsv++agls+xvbnx+=bored.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
same ^ap++++=same
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
the ^ati++++=the
next ^ap++++=next
article ^nn++++=article
into ^in++++=into
the ^ati++++=the
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
stones ^nns++++=stones
into ^in++++=into
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
metals ^nns++++=metals."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
Vera ^np++++=Vera's
's ^$++++=EXTRAWORD
astonishment ^nn+nom+++=astonishment,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
and ^cc+phrs+++=and
bent ^jj+atrb++xvbn+=bent
bracelet ^nn+nom+++=bracelet
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
valuable ^jj+pred+++=valuable.
. ^zz++++=EXTRAWORD
Altogether ^rb+cnj+++=Altogether
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
about ^in++++=about
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
roubles ^nns++++=roubles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
necessary ^jj+pred+++=necessary.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
the ^ati++++=the
gardener ^nn+nom+++=gardener's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
Petersburg ^np++++=Petersburg
night ^nn++++=night
had ^vb+hv+aux++=had
already ^rb++splt++=already
spread ^vprf+++xvbnx+=spread
over ^in++++=over
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pearly ^jj++++=pearly
light ^jj++++=light
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gardener ^nn+nom+++=gardener,
, ^zz++++=EXTRAWORD
a ^at++++=a
Tchekh ^np+++??+=Tchekh,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
old ^jj+atrb+++=old
man ^nn++++=man
with ^in++++=with
gold ^nn++++=gold
eyeglasses ^nns+++??+=eyeglasses,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
just ^rb+emph+++=just
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
to ^in++++=to
supper ^nn++++=supper
with ^in++++=with
his ^pp$+pp3+++=his
family ^nn++++=family.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
much ^ap++++=much
surprised ^jj+++xvbn+=surprised
at ^rb++++=at
their ^pp$+pp3+++=their
request ^nn++++=request,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
willing ^jj++++=willing
to ^to+jcmp+++=to
take ^vbi++++=take
such ^abl++++=such
a ^at++++=a
late ^jj++++=late
order ^to++++=order.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
doubtless ^rb++++=doubtless
suspicious ^jj+pred+++=suspicious
of ^in++++=of
a ^at++++=a
practical ^jj+atrb+++=practical
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
answered ^vbd+vpub++xvbn+=answered
dryly ^rb++++=dryly
to ^in++++=to
Vera ^np++++=Vera's
's ^$++++=EXTRAWORD
insistent ^jj+atrb+++=insistent
demands ^nns++++=demands:
: ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
very ^ql+amp+++=very
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
send ^vb++++=send
my ^pp$+pp1+++=my
workmen ^nns++++=workmen
so ^rb++++=so
far ^rb+pl+++=far
at ^in++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
will ^md+prd+++=will
do ^vb+do+vrb++=do
tomorrow ^nr+tm+++=to-morrow
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
quite ^rb++++=quite
at ^rb++++=at
your ^pp$+pp2+++=your
service ^nn++++=service."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
way ^nn++++=way
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
difficulty ^nn++++=difficulty
but ^cc++++=but
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
man ^nn++++=man
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
blot ^nn++++=blot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
Verotchka ^np+++??+=Verotchka
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
