You ^pp2+pp2+++=You're
mocking ^jj+atrb++xvbg+=mocking
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
a ^at++++=a
derisive ^jj+atrb+++=derisive
smile ^nn++++=smile
on ^in++++=on
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
my ^pp$+pp1+++=my
mysterious ^jj++++=mysterious
Somebody ^pn++++=Somebody.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
consider ^nn+nom+++=consider
this ^dt+dem+++=this
tragic ^jj+atrb+++=tragic
biography ^nn++++=biography
thoughtfully ^rb+cnj+++=thoughtfully,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
aside ^rp++++=aside
all ^rb++++=all
the ^ati++++=the
explanations ^nns+nom+++=explanations
of ^in++++=of
learned ^jj+atrb++xvbn+=learned
people ^nns++++=people
they ^pp3a+pp3+++=they
would ^md+prd+++=would
explain ^vb+vpub+tht0++=explain
it ^pp3+it+++=it
all ^rb++++=all
simply ^rb++++=simply
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
law ^nn++++=law
and ^cc++++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
will ^md+prd+++=will
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
you ^vbi++++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
clearly ^rb++++=clearly
existing ^jj+++xvbg+=existing
together ^nn+nom+++=together
this ^dt+dem+++=this
mixture ^nn++++=mixture
of ^in++++=of
absurdity ^nn+nom+++=absurdity
and ^cc++++=and
logicality ^nn+nom+++=logicality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
possibly ^rb++splt++=possibly
explain ^vb+vpub+tht0++=explain
it ^pp3+it+++=it
to ^in++++=to
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
General ^jj+atrb+++=General
Skobelef ^np+++??+=Skobelef.
. ^zz++++=EXTRAWORD
A ^at++++=A
great ^jj++++=great,
, ^zz++++=EXTRAWORD
a ^at++++=a
splendid ^jj+atrb+++=splendid
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
Desperate ^jj+atrb+++=Desperate
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
exaggerated ^jj+atrb++xvbn+=exaggerated
belief ^nn++++=belief
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
destiny ^nn++++=destiny.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
mocked ^vbd+++xvbn+=mocked
at ^in++++=at
death ^nn++++=death,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
into ^in++++=into
a ^at++++=a
murderous ^jj+atrb+++=murderous
fire ^nn++++=fire
of ^in++++=of
the ^ati++++=the
enemy ^nn++++=enemy
with ^in++++=with
bravado ^nn+++??+=bravado,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
courted ^vbd+++xvbn+=courted
endless ^jj+atrb+++=endless
risks ^nns++++=risks
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
unappeasable ^jj+atrb+++=unappeasable
thirst ^nn++++=thirst
for ^in++++=for
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
see ^vb+vprv+tht0++=see
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
on ^in++++=on
a ^at++++=a
common ^jj+atrb+++=common
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hired ^jj+atrb++xvbn+=hired
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
company ^nn++++=company
of ^in++++=of
prostitutes ^nns++++=prostitutes.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
absurd ^jj++++=absurd,
, ^zz++++=EXTRAWORD
cruel ^jj++++=cruel,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
somehow ^rb++++=somehow
logical ^jj++++=logical.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
as ^cs+sub+++=as
if ^cs+cnd+++=if
each ^dt++++=each
of ^in++++=of
these ^dt+dem+++=these
pitiful ^jj+atrb+++=pitiful
deaths ^nns++++=deaths
by ^in++++=by
their ^pp$+pp3+++=their
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
life ^nn++++=life,
, ^zz++++=EXTRAWORD
rounded ^j+++xvbn+=rounded
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
blended ^j+++xvbn+=blended,
, ^zz++++=EXTRAWORD
completed ^j+++xvbn+=completed,
, ^zz++++=EXTRAWORD
two ^cd++++=two
splendid ^jj+atrb+++=splendid
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ancients ^nns++++=ancients
knew ^vbd+vprv++xvbn+=knew
and ^cc+phrs+++=and
feared ^vbd+vprv++xvbn+=feared
this ^dt+dem+++=this
mysterious ^jj++++=mysterious
Someone ^pn++++=Someone
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
the ^ati++++=the
ring ^nn++++=ring
of ^in++++=of
Polycrates ^nns+nom++??+=Polycrates
but ^cc++++=but
they ^pp3a+pp3+++=they
mistook ^vbd+++xvbnx+=mistook
his ^pp$+pp3+++=his
jest ^nn++++=jest
for ^in++++=for
the ^ati++++=the
envy ^nn++++=envy
of ^in++++=of
Fate ^nn++++=Fate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
i.e ^rb++++=i.e.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
assure ^vb++++=assure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
deeply ^rb++splt++=deeply
assured ^vpsv++agls+xvbnx+=assured
of ^in++++=of
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself
that ^cs+sub+++=that
sometime ^rb++++=sometime
or ^cc++++=or
other ^ap++++=other,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
after ^in++++=after
thirty ^cd++++=thirty
thousand ^cd++++=thousand
years ^nns++++=years,
, ^zz++++=EXTRAWORD
life ^nn++++=life
on ^in++++=on
this ^dt+dem+++=this
earth ^nn++++=earth
will ^md+prd+++=will
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
marvellously ^rb++++=marvellously
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
palaces ^nns++++=palaces,
, ^zz++++=EXTRAWORD
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
fountains.. ^nn+++??+=fountains....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
burdens ^nns++++=burdens
now ^rn+tm+++=now
borne ^vpsv++by+xvbn+=borne
by ^in++++=by
mankind ^nn++++=mankind
slavery ^nn+nom+++=slavery,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
ownership ^nn+nom+++=ownership
of ^in++++=of
property ^nn++++=property,
, ^zz++++=EXTRAWORD
lies ^vbz++++=lies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oppression ^nn++++=oppression
will ^md+prd+++=will
cease ^vb++++=cease.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
more ^rbr++++=more
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
death ^nn++++=death;
; ^zz++++=EXTRAWORD
no ^at++++=no
more ^rbr++++=more
envy ^nn++++=envy,
, ^zz++++=EXTRAWORD
no ^at++++=no
vice ^in+strn+++=vice,
, ^zz++++=EXTRAWORD
no ^at++++=no
near ^in+pl+++=near
or ^cc++++=or
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
all ^abn++++=all
will ^md+prd+++=will
have ^vb+hv+aux++=have
become ^vb++++=become
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
He ^pp3a+pp3+++=He
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
even ^rb++++=even
in ^in++++=in
speaking ^xvbg+++xvbg+=speaking
I ^pp1a+pp1+++=I
pronounce ^vb++++=pronounce
the ^ati++++=the
name ^nn++++=name
with ^in++++=with
a ^at++++=a
capital ^nn++++=capital
letter ^nn++++=letter
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
one ^cd1++++=one
day ^nn++++=day
through ^in++++=through
the ^ati++++=the
universe ^nn++++=universe,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
look ^vb++++=look
on ^rp++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
frown ^nn++++=frown
evilly ^rb+cnj+++=evilly,
, ^zz++++=EXTRAWORD
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
breathe ^vb++++=breathe
upon ^in++++=upon
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
Earth ^nn++++=Earth
will ^md+prd+++=will
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
A ^at++++=A
sad ^jj+atrb+++=sad
end ^nn++++=end
for ^in++++=for
this ^dt+dem+++=this
beautiful ^jj+atrb+++=beautiful
planet ^nn++++=planet,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
just ^rb+emph+++=just
think ^vb+vprv+++=think
to ^to++++=to
what ^wdt+who+++=what
a ^at++++=a
terrible ^jj++++=terrible
bloody ^rb++++=bloody
orgiastic ^jj+atrb+++=orgiastic
end ^nn++++=end
universal ^nn+nom+++=universal
virtue ^nn++++=virtue
might ^md+pos+++=might
lead ^vb++++=lead,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
once ^rb+tm+++=once
people ^nns++++=people
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
getting ^xvbg+++xvbg+=getting
thoroughly ^rb+amp+++=thoroughly
surfeited ^vpsv++by+xvbn+=surfeited
by ^in++++=by
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
taking ^xvbg+++xvbg+=taking
such ^abl++++=such
great ^jj+atrb+++=great
examples ^nns++++=examples
as ^in++++=as
our ^pp$+pp1+++=our
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
Napoleon ^np++++=Napoleon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Greeks ^nn++++=Greeks?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
this ^dt+dem+++=this
strange ^jj+atrb+++=strange
and ^cc+phrs+++=and
inscrutable ^jj+atrb+++=inscrutable
law ^nn++++=law
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
ordinary ^jj+atrb+++=ordinary
occurrences ^nns+nom+++=occurrences.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
like ^vb++++=like,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
a ^at++++=a
simple ^jj+atrb+++=simple
incident ^nn++++=incident
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
clearly ^rb++++=clearly
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
mocking ^jj+atrb++xvbg+=mocking
breath ^nn++++=breath
of ^in++++=of
this ^dt+dem+++=this
god ^nn++++=god.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
travelling ^nvbg+++xvbg+=travelling
by ^in++++=by
train ^nn++++=train
from ^in++++=from
Tomsk ^np+++??+=Tomsk
to ^in++++=to
Petersburg ^np++++=Petersburg
in ^in++++=in
an ^at++++=an
ordinary ^jj++++=ordinary
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
compartment ^nn+nom+++=compartment.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
my ^pp$+pp1+++=my
companions ^nns++++=companions
on ^in++++=on
the ^ati++++=the
journey ^nn++++=journey
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
civil ^jj+atrb+++=civil
engineer ^nn+nom+++=engineer,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
short ^jj++++=short,
, ^zz++++=EXTRAWORD
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man:
: ^zz++++=EXTRAWORD
a ^at++++=a
simple ^jj+atrb+++=simple
Russian ^jj+atrb+++=Russian
face ^nn++++=face,
, ^zz++++=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-cared
- ^zz++++=EXTRAWORD
cared ^vprf+++xvbn+=EXTRAWORD
for ^in+ppvb+++=for,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
eyebrows ^nns++++=eyebrows
and ^cc++++=and
eyelashes ^nns++++=eyelashes,
, ^zz++++=EXTRAWORD
sparse ^nn+++??+=sparse
hair ^nn++++=hair
brushed ^vbd+++xvbn+=brushed
up ^rp++++=up
from ^in++++=from
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
red ^jj+atrb+++=red
skin ^nn++++=skin
beneath ^in+strn+++=beneath
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
a ^at++++=a
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
good ^jj++++=good
" ^zz++++="Yorkshireman."
yorkshireman ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
like ^in++++=like
the ^ati++++=the
dull ^jj+atrb+++=dull
blue ^nn++++=blue
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
sucking ^jj+atrb+++=sucking
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
proved ^vbd+vprv++xvbnx+=proved
a ^at++++=a
very ^ql+amp+++=very
pleasant ^jj+atrb+++=pleasant
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
rarely ^rb++splt++=rarely
seen ^vprf+++xvbnx+=seen
anyone ^pn++++=anyone
with ^in++++=with
such ^abl++++=such
engaging ^jj+atrb++xvbg+=engaging
manners ^nns+nom+++=manners.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
at ^rb++++=at
once ^rb"+tm+++=once
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
lower ^jjr++++=lower
sleeping ^jj+++xvbg+=sleeping-place,
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
helped ^j+++xvbn+=helped
me ^pp1o+pp1+++=me
to ^to++++=to
place ^vbi++++=place
my ^pp$+pp1+++=my
trunk ^nn++++=trunk
on ^in++++=on
the ^ati++++=the
rack ^nn++++=rack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
so ^rb++++=so
kind ^nn++++=kind
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
even ^rb++++=even
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
feel ^vb+vprv+++=feel
a ^rb++++=a
little ^rb"++++=little
awkward ^jj++++=awkward.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
stopped ^vbd+++xvbn+=stopped
at ^rb++++=at
a ^at++++=a
station ^nn+nom+++=station
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
wine ^nn++++=wine
and ^cc++++=and
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
evidently ^rb++++=evidently
great ^jj+atrb+++=great
pleasure ^nn++++=pleasure
in ^in++++=in
persuading ^xvbg+++xvbg+=persuading
the ^ati++++=the
company ^nn++++=company
to ^to++++=to
share ^vbi++++=share
them ^pp3o+pp3+++=them
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
at ^rb++++=at
once ^rb"+tm+++=once
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
bubbling ^nvbg+++xvbg+=bubbling
over ^in++++=over
with ^in++++=with
some ^dti++++=some
great ^jj+atrb+++=great
inward ^jjb+atrb+++=inward
happiness ^nns+nom+++=happiness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
desirous ^jj+pred+++=desirous
of ^in++++=of
seeing ^xvbg+++xvbg+=seeing
all ^abn++++=all
around ^rp++++=around
him ^pp3o+pp3+++=him
as ^in++++=as
happy ^jj++++=happy
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
proved ^vb+++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
case ^nn++++=case.
. ^zz++++=EXTRAWORD
In ^in++++=In
ten ^cd++++=ten
minutes ^nns++++=minutes
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
began ^vprf+++xvbnx+=began
to ^to++++=to
open ^vbi++++=open
his ^pp$+pp3+++=his
heart ^nn++++=heart
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
directly ^rb++++=directly
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
himself ^ppl+pp3+++=himself
the ^ati++++=the
other ^ap++++=other
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
carriage ^nn+nom+++=carriage
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
wriggle ^vbi++++=wriggle
in ^in++++=in
their ^pp$+pp3+++=their
seats ^nns++++=seats
and ^cc++++=and
take ^vb++++=take
an ^at++++=an
exaggerated ^jj+atrb++xvbn+=exaggerated
interest ^nn++++=interest
in ^in++++=in
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
realised ^vbd+vprv++xvbnx+=realised
that ^tht+vcmp+++=that
each ^ppls++++=each
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
story ^nn++++=story
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
dozen ^cd++++=dozen
times ^nns++++=times
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
my ^pp$+pp1+++=my
turn ^nn++++=turn
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engineer ^nn+nom+++=engineer
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
the ^ati++++=the
Far ^rb+pl+++=Far
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
living ^vbg+++xvbgx+=living
for ^in+ppvb+++=for
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
his ^pp$+pp3+++=his
family ^nn++++=family
in ^in++++=in
Petersburg ^np++++=Petersburg
for ^in++++=for
five ^cd++++=five
years ^nns++++=years.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
to ^to+vcmp+++=to
dispatch ^vb++++=dispatch
his ^pp$+pp3+++=his
business ^nns+nom+++=business
in ^in++++=in
a ^at++++=a
year ^nn++++=year
at ^in++++=at
the ^ati++++=the
most ^ap+emph+++=most,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
first ^rb"++++=first
official ^jj+atrb+++=official
duties ^nns++++=duties
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
certain ^jj+atrb+++=certain
profitable ^jj+atrb+++=profitable
enterprises ^nns++++=enterprises
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
impossible ^jj++++=impossible
to ^to+jcmp+++=to
leave ^vbi++++=leave
a ^at++++=a
business ^nns+nom+++=business
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
so ^ql++++=so
very ^ql+amp+++=very
large ^jj++++=large
and ^cc+phrs+++=and
remunerative ^jj++++=remunerative.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
everything ^pn++++=everything
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
wound ^vpsv++agls+xvbnx+=wound
up ^rp++++=up
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
returning ^vbg+++xvbgx+=returning
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
could ^md+pos+++=could
blame ^vb++++=blame
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
talkativeness ^nns+nom+++=talkativeness;
; ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
lived ^vprf+++xvbnx+=lived
for ^in+ppvb+++=for
five ^cd++++=five
years ^nns++++=years
far ^rb+pl+++=far
from ^rb"++++=from
a ^at++++=a
beloved ^jj+atrb+++=beloved
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb++++=back
young ^jj++++=young,
, ^zz++++=EXTRAWORD
healthy ^jj++++=healthy,
, ^zz++++=EXTRAWORD
successful ^jj++++=successful,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
heart ^nn++++=heart
full ^jj++++=full
of ^in++++=of
unspent ^jj+atrb+++=unspent
love ^nn++++=love!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
man ^nn++++=man
could ^md+pos+++=could
have ^vb+hv+aux++=have
imposed ^vprf+++xvbnx+=imposed
silence ^nn+nom+++=silence
upon ^in++++=upon
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
overcome ^vb+++xvbn+=overcome
that ^dt+dem+++=that
fearful ^jj+atrb+++=fearful
itch ^nn++++=itch
of ^in++++=of
impatience ^nn+nom+++=impatience,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
with ^in++++=with
every ^at++++=every
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
with ^in++++=with
every ^at++++=every
passing ^jj+++xvbg+=passing
hundred ^cd++++=hundred
versts ^vbz+++??+=versts?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
soon ^rb+tm+++=soon
learnt ^vbd+vprv++xvbn+=learnt
from ^in++++=from
him ^pp3o+pp3+++=him
all ^abn++++=all
about ^in++++=about
his ^pp$+pp3+++=his
family ^nn++++=family.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Susannah ^np++++=Susannah
or ^cc++++=or
Sannochka ^np+++??+=Sannochka,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
bore ^vbd+++xvbn+=bore
the ^ati++++=the
outlandish ^jj+atrb+++=outlandish
name ^nn++++=name
of ^in++++=of
Yurochka ^np+++??+=Yurochka.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
her ^pp$+pp3+++=her
a ^rb++++=a
little ^rb"++++=little
three ^cd++++=three-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
imagine ^vb+vprv+++=imagine!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="now
now ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she
must ^md+nec+++=must
be ^vb+be+aux++=be
quite ^abl++++=quite
grown ^vbd+++xvbn+=grown
up ^rp++++=up,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
ready ^jj++++=ready
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married."
. ^zz++++=EXTRAWORD
