This ^dt+dem+++=This
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
knock ^nn++++=knock.
. ^zz++++=EXTRAWORD
" ^zz++++="Then,"
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
come ^vprf+++xvbn+=come
to ^to++++=to
renew ^vbi++++=renew
our ^pp$+pp1+++=our
old ^jj+atrb+++=old
friendship ^nn+nom+++=friendship
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon
for ^in++++=for
my ^pp$+pp1+++=my
breach ^nn++++=breach
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
women ^nns++++=women."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
mention ^nn+nom+++=mention
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
had ^vb+hv+vrb++=had
an ^at++++=an
uneasy ^jj+atrb+++=uneasy
thought ^nn+++xvbn+=thought
about ^in++++=about
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal.
. ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
prosperity ^nn+nom+++=prosperity
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
you ^pp2+pp2+++=you
forget ^vb+vprv+++=forget
yourself ^ppl+pp2+++=yourself
and ^cc++++=and
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
reminded ^vbd+vsua++xvbn+=reminded
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
of ^in++++=of
the ^ati++++=the
many ^ap++++=many
friendly ^jj+atrb+++=friendly
offices ^nns++++=offices
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
in ^in++++=in
former ^ap++++=former
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
much ^rb++++=much
of ^in++++=of
the ^ati++++=the
conversation ^nn+nom+++=conversation
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
with ^in++++=with
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
times ^nns++++=times
of ^in++++=of
their ^pp$+pp3+++=their
adversity ^nn+nom+++=adversity;
; ^zz++++=EXTRAWORD
what ^wdt+who+++=what
books ^nns++++=books
they ^pp3a+pp3+++=they
read ^vbd+vprv++xvbnx+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
comfort ^nn++++=comfort
in ^rb++++=in
particular ^rb"++++=particular
they ^pp3a+pp3+++=they
received ^vbd+++xvbnx+=received
from ^in++++=from
Drelincourt ^np++++=Drelincourt's
's ^$++++=EXTRAWORD
Book ^nn++++=Book
of ^in++++=of
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
ever ^rb++++=ever
wrote ^vbd+vprv++xvbn+=wrote.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
also ^rb++++=also
mentioned ^vbd+vpub++xvbn+=mentioned
Doctor ^nn++++=Doctor
Sherlock ^np++++=Sherlock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
Dutch ^jj+atrb+++=Dutch
books ^nns++++=books,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
translated ^vpsv++agls+xvbnx+=translated,
, ^zz++++=EXTRAWORD
wrote ^j+++xvbn+=wrote
upon ^in++++=upon
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
others ^aps++++=others.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Drelincourt ^np+++??+=Drelincourt,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
clearest ^jjt+atrb+++=clearest
notions ^nns+nom+++=notions
of ^in++++=of
death ^nn++++=death
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
future ^jjb+atrb+++=future
state ^nn++++=state
of ^in++++=of
any ^dti++++=any
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
handled ^vprf+++xvbnx+=handled
that ^dt+dem+++=that
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
Drelincourt ^np+++??+=Drelincourt.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="Fetch
fetch ^vb++++=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^ql++++=so
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
goes ^vbz++++=goes
up ^rp++++=up-stairs
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
and ^cc++++=and
brings ^vbz++++=brings
it ^pp3+it+++=it
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
our ^pp$+pp1+++=our
faith ^nn++++=faith
were ^vbd+bed+aux++=were
as ^ql++++=as
open ^vb++++=open
as ^ql++++=as
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
our ^pp$+pp1+++=our
body ^nn++++=body,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
see ^vb+vprv+++=see
numbers ^nns+nom+++=numbers
of ^in++++=of
angels ^nns++++=angels
about ^rb++++=about
us ^pp1o+pp1+++=us
for ^in++++=for
our ^pp$+pp1+++=our
guard ^nn++++=guard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
notions ^nns+nom+++=notions
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
of ^in++++=of
Heaven ^nn++++=Heaven
now ^rn+tm+++=now
are ^vb+ber+vrb++=are
nothing ^pn++++=nothing
like ^in++++=like
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Drelincourt ^np+++??+=Drelincourt
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
be ^vb+be+aux++=be
comforted ^vpsv++agls+xvbnx+=comforted
under ^in++++=under
your ^pp$+pp2+++=your
afflictions ^nns+nom+++=afflictions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
Almighty ^jj++++=Almighty
has ^vbz+hvz+vrb++=has
a ^at++++=a
particular ^jj+atrb+++=particular
regard ^nn++++=regard
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
afflictions ^nns+nom+++=afflictions
are ^vb+ber+vrb++=are
marks ^nns++++=marks
of ^in++++=of
God ^np++++=God's
's ^$++++=EXTRAWORD
favor ^nn++++=favor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
the ^ati++++=the
business ^nns+nom+++=business
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
sent ^vpsv++agls+xvbnx+=sent
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
be ^vb+be+aux++=be
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
believe ^vb+vprv+++=believe
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
to ^to+vcmp+++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
minute ^nn++++=minute
of ^in++++=of
future ^jjb+atrb+++=future
happiness ^nns+nom+++=happiness
will ^md+prd+++=will
infinitely ^rb++splt++=infinitely
reward ^vb++++=reward
you ^pp2+pp2+++=you
for ^in++++=for
all ^abn++++=all
your ^pp$+pp2+++=your
sufferings ^nns++++=sufferings.
. ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
can ^md+pos+++=can
never ^rb++splt++=never
believe ^vb+vprv+++=believe"
" ^zz++++=EXTRAWORD
( ^zz++++=(and
and ^cc++++=EXTRAWORD
claps ^nns+++??+=claps
her ^pp3o+pp3+++=her
hand ^nn++++=hand
upon ^in++++=upon
her ^pp$+pp3+++=her
knee ^nn++++=knee
with ^in++++=with
great ^jj+atrb+++=great
earnestness ^nns+nom+++=earnestness,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
through ^in++++=through
most ^ql+emph+++=most
of ^in++++=of
her ^pp$+pp3+++=her
discourse ^nn++++=discourse)
) ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
ever ^rb++++=ever
God ^np++++=God
will ^md+prd+++=will
suffer ^vb++++=suffer
you ^pp2+pp2+++=you
to ^to++++=to
spend ^vbi++++=spend
all ^abn++++=all
your ^pp$+pp2+++=your
days ^nns++++=days
in ^in++++=in
this ^dt+dem+++=this
afflicted ^jj+atrb++xvbn+=afflicted
state ^nn++++=state.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
be ^vb+be+aux++=be
assured ^vpsv++agls+xvbnx+=assured
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
afflictions ^nns+nom+++=afflictions
shall ^md+prd+++=shall
leave ^vb++++=leave
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
spake ^nn+++??+=spake
in ^cs+sub+++=in
that ^cs"++++=that
pathetical ^jj+atrb+++=pathetical
and ^cc+phrs+++=and
heavenly ^jj+atrb+++=heavenly
manner ^nn++++=manner
that ^tht+rel+obj++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
wept ^vbd+++xvbn+=wept
several ^ap++++=several
times ^nns++++=times,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
so ^ql++++=so
deeply ^rb++++=deeply
affected ^vbd+++xvbn+=affected
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
mentioned ^vbd+vpub++xvbn+=mentioned
Doctor ^nn++++=Doctor
Kendrick ^np++++=Kendrick's
's ^$++++=EXTRAWORD
Ascetic ^np+++??+=Ascetic,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
gives ^vbz++++=gives
an ^at++++=an
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
lives ^nns++++=lives
of ^in++++=of
the ^ati++++=the
primitive ^jj+atrb+++=primitive
Christians ^nn++++=Christians.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
pattern ^nn++++=pattern
she ^pp3a+pp3+++=she
recommended ^vbd+vsua++xvbnx+=recommended
to ^in++++=to
our ^pp$+pp1+++=our
imitation ^nn+nom+++=imitation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Their
their ^pp$+pp3+++=EXTRAWORD
conversation ^nn+nom+++=conversation
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
like ^in++++=like
this ^dt+dem+++=this
of ^in++++=of
our ^pp$+pp1+++=our
age ^nn++++=age.
. ^zz++++=EXTRAWORD
For ^in++++=For
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
but ^cc++++=but
vain ^rb+cnj+++=vain,
, ^zz++++=EXTRAWORD
frothy ^nn+++??+=frothy
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
far ^rb+pl+++=far
different ^jj+pred+++=different
from ^in++++=from
theirs ^pp$$++++=theirs.
. ^zz++++=EXTRAWORD
Theirs ^pp$$++++=Theirs
was ^vbd+bedz+vrb++=was
to ^in++++=to
edification ^nn+nom+++=edification,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
build ^vbi++++=build
one ^cd1++++=one
another ^dt++++=another
up ^rp++++=up
in ^in++++=in
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
do ^vb++++=do
as ^ql++++=as
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
hearty ^jj+atrb+++=hearty
friendship ^nn+nom+++=friendship
among ^in++++=among
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
where ^wrb+who+whq++=where
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
now ^rn+tm+++=now
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
indeed ^rb++++=indeed
to ^to++++=to
find ^vbi+vprv+++=find
a ^at++++=a
true ^jj+atrb+++=true
friend ^nn++++=friend
in ^in++++=in
these ^dt+dem+++=these
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Says ^vbz+vpub+++=Says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Norris ^np++++=Norris
has ^vbz+hvz+vrb++=has
a ^at++++=a
fine ^jj+atrb+++=fine
copy ^nn++++=copy
of ^in++++=of
verses ^nns++++=verses,
, ^zz++++=EXTRAWORD
called ^jj+atrb++xvbn+=called
Friendship ^nn+nom+++=Friendship
in ^in++++=in
Perfection ^nn+nom+++=Perfection,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
wonderfully ^rb++++=wonderfully
admire ^vb++++=admire.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
the ^ati++++=the
book ^nn++++=book?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
verses ^nns++++=verses
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
writing ^jj+++xvbg+=writing
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal;
; ^zz++++=EXTRAWORD
" ^zz++++="then
then ^rn+tm+++=EXTRAWORD
fetch ^vb++++=fetch
them ^pp3o+pp3+++=them";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
which ^whp+who+++=which
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
from ^in++++=from
above ^jjb+atrb+++=above
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offered ^vwbn+++xvbn+=offered
them ^pp3o+pp3+++=them
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
to ^to++++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waived ^vbd+++xvbn+=waived
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="holding
holding ^vbg+vprv++xvbg+=EXTRAWORD
down ^rb+phrv+++=down
her ^pp$+pp3+++=her
head ^jjb++++=head
would ^md+prd+++=would
make ^vb++++=make
it ^pp3+it+++=it
ache ^nn++++=ache";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
desiring ^nvbg+++xvbg+=desiring
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
to ^to++++=to
read ^vbn+vprv++xvbn+=read
them ^pp3o+pp3+++=them
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
admiring ^vbg+++xvbgx+=admiring
Friendship ^nn+nom+++=Friendship,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
love ^vb++++=love
you ^pp2+pp2+++=you
forever ^rb++++=forever."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
verses ^nns++++=verses
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
twice ^rb++splt++=twice
used ^vpsv++agls+xvbnx+=used
the ^ati++++=the
word ^nn++++=word
" ^zz++++="Elysian."
elysian ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!"
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="these
these ^dt+dem+++=EXTRAWORD
poets ^nns++++=poets
have ^vb+hv+vrb++=have
such ^abl++++=such
names ^nns++++=names
for ^in++++=for
Heaven ^nn++++=Heaven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
often ^rb++++=often
draw ^nn++++=draw
her ^pp3o+pp3+++=her
hand ^nn++++=hand
across ^rp+pl+++=across
her ^pp3o+pp3+++=her
own ^ap++++=own
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
mightily ^jj+pred+++=mightily
impaired ^vpsv++by+xvbn+=impaired
by ^in++++=by
my ^pp$+pp1+++=my
fits ^vbz++++=fits?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
look ^vb++++=look
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
ever ^rb++++=ever
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
After ^in++++=After
this ^dt+dem+++=this
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
apparition ^nn+nom+++=apparition
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
much ^ap++++=much
finer ^jjr+atrb+++=finer
words ^nns++++=words
than ^in++++=than
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
could ^md+pos+++=could
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
much ^ap++++=much
more ^ql++++=more
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
can ^md+pos+++=can
remember ^nn+nom+++=remember
for ^in++++=for
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
thought ^vpsv++agls+xvbnx+=thought
that ^tht+vcmp+++=that
an ^at++++=an
hour ^nn++++=hour
and ^cc++++=and
three ^cd++++=three
quarters ^nns+nom+++=quarters'
