Behind ^in+pl+++=BEHIND
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
hillmen ^nn++++=hillmen.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now
Bibi ^np+++??+=Bibi
Bear ^nn++++=Bear
has ^vbz+hvz+vrb++=has
a ^at++++=a
grouch ^nn+++??+=grouch
" ^zz++++="
He ^pp3a+pp3+++=He
completed ^vbd+++xvbnx+=completed
the ^ati++++=the
sentence ^nn+nom+++=sentence
just ^rb+emph+++=just
as ^in++++=as
the ^ati++++=the
bear ^nn++++=bear
tore ^vbd+++xvbn+=tore
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
acacia ^nn+++??+=acacia
clump ^nn++++=clump
and ^cc++++=and
made ^vprf+++xvbn+=made
after ^in++++=after
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
huge ^jj++++=huge,
, ^zz++++=EXTRAWORD
plumping ^jj+++xvbg+=plumping,
, ^zz++++=EXTRAWORD
clumsy ^jj++++=clumsy,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
and ^cc++++=and
a ^at++++=a
whickering ^nvbg+++xvbg+=whickering,
, ^zz++++=EXTRAWORD
whinnying ^jj+atrb++xvbg+=whinnying
roar ^nn++++=roar.
. ^zz++++=EXTRAWORD
" ^zz++++="Allah
allah ^np++++=EXTRAWORD
be ^vb+be+aux++=be
thanked ^vpsv++agls+xvbnx+=thanked
because ^cs+cos+++=because
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
nimble ^jj+atrb+++=nimble
feet ^nns++++=feet!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ejaculated ^vbd+++xvbn+=ejaculated
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
praise ^nn++++=praise
to ^in++++=to
Him ^pp3o+pp3+++=Him
furthermore ^rb+cnj+++=furthermore
because ^cs+cos+++=because
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
this ^dt+dem+++=this
tree ^nn++++=tree
and ^cc++++=and
caused ^vbd+++xvbn+=caused
it ^pp3+it+++=it
to ^to++++=to
grow ^vbi++++=grow
thick ^jj++++=thick!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
finished ^vbd+++xvbnx+=finished
his ^pp$+pp3+++=his
impromptu ^jj+atrb+++=impromptu
prayer ^nn++++=prayer
as ^ql++++=as
he ^pp3a+pp3+++=he
slid ^vbd+++xvbnx+=slid
rapidly ^rb++++=rapidly
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
fir ^nn++++=fir
while ^cs+sub+++=while
the ^ati++++=the
bear ^nn++++=bear
lunged ^vbd+++xvbn+=lunged,
, ^zz++++=EXTRAWORD
big ^jj+atrb+++=big
flat ^nn++++=flat
paws ^nns+++??+=paws
clawing ^jj+atrb+++=clawing,
, ^zz++++=EXTRAWORD
gaping ^jj+atrb+++=gaping
mouth ^nn++++=mouth
showing ^vwbg+++xvbg+=showing
the ^ati++++=the
crimson ^nn+++??+=crimson
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chalk ^nn++++=chalk-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lolling ^nvbg+++xvbg+=lolling,
, ^zz++++=EXTRAWORD
slobbering ^nn++++=slobbering
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
ears ^nns++++=ears
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
narrow ^jj++++=narrow
head ^jjb++++=head
like ^in++++=like
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
snake ^nn++++=snake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
missed ^vbd+++xvbn+=missed
the ^ati++++=the
hillman ^np++++=hillman
by ^in++++=by
half ^nn++++=half
a ^at++++=a
yard ^nn++++=yard
and ^cc++++=and,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
away ^rp+pl+++=away
by ^in++++=by
his ^pp$+pp3+++=his
weight ^nn++++=weight
and ^cc++++=and
impetus ^nn++++=impetus,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
landed ^vbd+++xvbnx+=landed,
, ^zz++++=EXTRAWORD
paws ^nns+++??+=paws
sprawling ^vwbg+++xvbg+=sprawling,
, ^zz++++=EXTRAWORD
head ^jjb++++=head
down ^rp++++=down,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
ochre ^nn+++??+=ochre
moss ^np++++=moss
studded ^vbd+++xvbn+=studded
with ^in++++=with
needle ^nn++++=needle-sharp
- ^zz++++=EXTRAWORD
sharp ^jj+atrb+++=EXTRAWORD
granite ^nn++++=granite
splinters ^nns+nom+++=splinters.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
pointed ^vbd+++xvbn+=pointed
muzzle ^nn++++=muzzle
bumped ^vbd+++xvbn+=bumped
smartly ^rb++++=smartly
against ^in++++=against
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
torn ^vpsv++by+xvbnx+=torn
by ^in++++=by
the ^ati++++=the
ragged ^jj+atrb+++=ragged
stone ^nn++++=stone
edges ^nns++++=edges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plowed ^vbd+++xvbn+=plowed
a ^at++++=a
painful ^jj+atrb+++=painful
furrow ^nn+++??+=furrow
through ^in++++=through
the ^ati++++=the
moss ^np++++=moss
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose
to ^in++++=to
either ^dtx++++=either
side ^nn++++=side
in ^in++++=in
a ^at++++=a
velvety ^jj+atrb+++=velvety
cloud ^nn++++=cloud.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bellowed ^vbd+++xvbnx+=bellowed
her ^pp$+pp3+++=her
disappointment ^nn+nom+++=disappointment
and ^cc++++=and
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
on ^rp++++=on
her ^pp3o+pp3+++=her
hunkers ^nns+nom+++=hunkers,
, ^zz++++=EXTRAWORD
slid ^jj+atrb++xvbn+=slid
back ^jjb+atrb+++=back
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
using ^jj+++xvbg+=using
her ^pp3o+pp3+++=her
fat ^nn++++=fat
hams ^nns++++=hams
with ^in++++=with
the ^ati++++=the
speed ^nn++++=speed
and ^cc++++=and
precision ^nn++++=precision
of ^in++++=of
roller ^nn++++=roller-skates,
- ^zz++++=EXTRAWORD
skates ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
attack ^nn++++=attack,
, ^zz++++=EXTRAWORD
launching ^nvbg+++xvbg+=launching
her ^pp3o+pp3+++=her
blue ^jj++++=blue-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
bulk ^nn++++=bulk
straight ^rb++++=straight
for ^in++++=for
the ^ati++++=the
west ^np+pl+++=west
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
" ^zz++++="Ahi!
ahi ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Parent ^nn++++=Parent
of ^in++++=of
Piglings ^nns+nom++??+=Piglings!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
rapidly ^rb++++=rapidly
made ^vbd+++xvbn+=made
the ^ati++++=the
half ^abn++++=half-circle
- ^zz++++=EXTRAWORD
circle ^nn++++=EXTRAWORD
around ^in++++=around
the ^ati++++=the
tree ^nn++++=tree
to ^in++++=to
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="Waughrrrr-yi-yi!"
waughrrrr ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
yi ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
yi ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
low ^jj++++=low
in ^in++++=in
her ^pp$+pp3+++=her
throat ^nn++++=throat
and ^cc++++=and
with ^in++++=with
a ^at++++=a
certain ^jj+atrb+++=certain
hurt ^nn+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
childish ^jj+atrb+++=childish
intonation ^nn+nom+++=intonation.
. ^zz++++=EXTRAWORD
" ^zz++++="Pig!"
pig ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
hillman ^np++++=hillman,
, ^zz++++=EXTRAWORD
wiping ^vbg+++xvbg+=wiping
the ^ati++++=the
sweat ^nn++++=sweat
from ^in++++=from
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
again ^rb+tm+splt++=again
landed ^vprf+++xvbnx+=landed
head ^jjb++++=head
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
wrinkled ^vwbn+++xvbn+=wrinkled
her ^pp$+pp3+++=her
ugly ^jj++++=ugly,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin-skinned
- ^zz++++=EXTRAWORD
skinned ^jj+atrb++xvbn+=EXTRAWORD
nose ^nn++++=nose
where ^wrb+who+++=where
the ^ati++++=the
warm ^jj+atrb+++=warm
blood ^nn++++=blood
was ^vbd+bedz+aux++=was
trickling ^nvbg+++xvbg+=trickling
down ^rp++++=down
into ^in++++=into
her ^pp$+pp3+++=her
open ^jj+atrb+++=open
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
watched ^vbd+++xvbn+=watched
carefully ^rb++++=carefully.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
tree ^nn++++=tree
between ^in++++=between
himself ^ppl+pp3+++=himself
and ^cc++++=and
the ^ati++++=the
brute ^jjb++++=brute,
, ^zz++++=EXTRAWORD
knew ^j+++xvbn+=knew,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
more ^rbr++++=more
agile ^jj++++=agile
of ^in++++=of
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
the ^ati++++=the
bear ^nn++++=bear
was ^vbd+bedz+vrb++=was
slow ^jj+pred+++=slow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
body ^nn++++=body
was ^vbd+bedz+vrb++=was
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
bulk ^nn++++=bulk
larger ^jjr++++=larger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
make ^vb++++=make
short ^jj++++=short
turns ^vbz++++=turns
in ^rb+phrv+++=in
a ^at++++=a
whizzing ^nvbg+++xvbg+=whizzing,
, ^zz++++=EXTRAWORD
flying ^vbg+++xvbg+=flying
half ^abn++++=half-circle
- ^zz++++=EXTRAWORD
circle ^nn++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
hillman ^np++++=hillman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
charge ^vb+vpub+++=charge
with ^in++++=with
a ^at++++=a
thousand ^cd++++=thousand
pounds ^nns++++=pounds
of ^in++++=of
bunched ^vbd+++xvbn+=bunched
muscle ^nn++++=muscle
and ^cc++++=and
brutal ^jj+atrb+++=brutal
meat ^nn++++=meat
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
missed ^vbd+++xvbnx+=missed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
best ^jjt++++=best
she ^pp3a+pp3+++=she
could ^md+pos+++=could
do ^vb+do+aux++=do
was ^vbd+bedz+vrb++=was
to ^in++++=to
use ^nn++++=use
her ^pp3o+pp3+++=her
nose ^nn++++=nose
and ^cc++++=and
forepaws ^nns+++??+=forepaws
as ^ql++++=as
brakes ^nns++++=brakes,
, ^zz++++=EXTRAWORD
bump ^nn++++=bump
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
twist ^nn++++=twist
in ^in++++=in
a ^at++++=a
sharp ^jj+atrb+++=sharp
angle ^nn++++=angle
right ^nn++++=right
or ^cc++++=or
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
according ^in++++=according
to ^to++++=to
what ^wdt+who+++=what
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
had ^vbd+hvd+aux++=had
slid ^vprf+++xvbnx+=slid
and ^cc++++=and
return ^nn++++=return
to ^in++++=to
the ^ati++++=the
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
always ^rb++++=always
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
tight ^jj++++=tight
to ^in++++=to
the ^ati++++=the
fir ^nn++++=fir,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
ahead ^rb+pl+++=ahead
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
squealing ^nn+nom+++=squealing
like ^in++++=like
an ^at++++=an
angry ^jj+atrb+++=angry
boar ^nn++++=boar,
, ^zz++++=EXTRAWORD
landed ^j+++xvbn+=landed
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
hurting ^vbg+++xvbg+=hurting
her ^pp$+pp3+++=her
delicate ^jj+atrb+++=delicate
nose ^nn++++=nose
and ^cc++++=and
clawing ^jj++++=clawing
with ^in++++=with
her ^pp$+pp3+++=her
paws ^vbz+++??+=paws
till ^cs+sub+++=till
the ^ati++++=the
moss ^np++++=moss
was ^vbd+bedz+vrb++=was
shredded ^jj+pred+++=shredded
to ^in++++=to
rags ^nns++++=rags
and ^cc++++=and
the ^ati++++=the
sand ^nn++++=sand
beneath ^in+pl+++=beneath
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
look ^vbi++++=look
up ^rb+phrv+++=up
with ^in+ppvb+++=with
scared ^vbd+++xvbn+=scared,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
stones ^nns++++=stones
clattered ^vbd+++xvbn+=clattered
mockingly ^rb++++=mockingly.
. ^zz++++=EXTRAWORD
Twigs ^nns++++=Twigs
crackled ^vbd+++xvbn+=crackled
and ^cc+phrs+++=and
whined ^vbd+++xvbn+=whined.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
from ^in++++=from
the ^ati++++=the
higher ^jjr+atrb+++=higher
branches ^nns++++=branches
a ^at++++=a
noise ^nn++++=noise
trembled ^vbd+++xvbn+=trembled
a ^at++++=a
gurgling ^nn+nom+++=gurgling,
, ^zz++++=EXTRAWORD
throaty ^nn+++??+=throaty
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
the ^ati++++=the
cry ^nn++++=cry
of ^in++++=of
a ^at++++=a
buvra ^nn+++??+=buvra
kurra ^nn+++??+=kurra,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
tree ^nn++++=tree
grouse ^nns++++=grouse,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
the ^ati++++=the
hillman ^np++++=hillman,
, ^zz++++=EXTRAWORD
cursing ^vbg+++xvbg+=cursing
the ^ati++++=the
bird ^nn++++=bird
because ^cs+cos+++=because
of ^in"++++=of
its ^pp$+it+++=its
place ^nn++++=place
of ^in++++=of
security ^nn+nom+++=security,
, ^zz++++=EXTRAWORD
cursing ^vbg+++xvbg+=cursing
the ^ati++++=the
bear ^nn++++=bear
because ^cs+cos+++=because
of ^in"++++=of
her ^pp$+pp3+++=her
wickedness ^nns+nom+++=wickedness.
. ^zz++++=EXTRAWORD
" ^zz++++="Dog!
dog ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Jew ^nn++++=Jew!
! ^zz++++=EXTRAWORD
Drunkard ^np+++??+=Drunkard!
! ^zz++++=EXTRAWORD
Illegitimate ^jj+atrb+++=Illegitimate
cow ^nn++++=cow!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
yelled ^vbd+++xvbnx+=yelled
as ^ql++++=as
he ^pp3a+pp3+++=he
danced ^vbd+++xvbnx+=danced
around ^rp++++=around
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
and ^cc++++=and
right ^nn++++=right
and ^cc++++=and
left ^nn+++xvbn+=left
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
scraping ^nn++++=scraping
the ^ati++++=the
bark ^nn++++=bark
and ^cc++++=and
the ^ati++++=the
bark ^nn++++=bark
scraping ^nn++++=scraping
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
" ^zz++++="Away!
away ^rp+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bibi ^np+++??+=Bibi
Bear ^vb+vprv+++=Bear
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
roaring ^nvbg+++xvbg+=roaring,
, ^zz++++=EXTRAWORD
fuming ^vbg+++xvbg+=fuming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
missing ^jj+++xvbg+=missing
her ^pp3o+pp3+++=her
aim ^nn++++=aim.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
little ^rb+cnj+++=little,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow-lidded
- ^zz++++=EXTRAWORD
lidded ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes
glowed ^vbd+++xvbn+=glowed
like ^in++++=like
charcoal ^nn+nom+++=charcoal
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hair ^nn++++=hair
along ^rp++++=along
her ^pp3o+pp3+++=her
back ^jjb++++=back
was ^vbd+bedz+vrb++=was
thick ^jj+pred+++=thick
and ^cc+phrs+++=and
taut ^jj++++=taut,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ears ^nns++++=ears
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
ludicrous ^jj++++=ludicrous
in ^in++++=in
her ^pp$+pp3+++=her
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
too ^ql++++=too
something ^pn++++=something
which ^whp+who+++=which
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
sinister ^jj+atrb+++=sinister
resolution ^nn+nom+++=resolution.
. ^zz++++=EXTRAWORD
Plump ^jj++++=Plump!
! ^zz++++=EXTRAWORD
Down ^rp++++=Down
on ^in++++=on
her ^pp$+pp3+++=her
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
paws ^nns+++??+=paws
furrowing ^vwbg+++xvbg+=furrowing
the ^ati++++=the
ground ^nn++++=ground!
! ^zz++++=EXTRAWORD
Twist ^nn++++=Twist
and ^cc++++=and
squat ^jj++++=squat
and ^cc++++=and
twist ^nn++++=twist.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
learn ^vbi+vprv+++=learn
from ^in++++=from
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
whiz ^vbi++++=whiz
her ^pp$+pp3+++=her
bulk ^nn++++=bulk
in ^in++++=in
shorter ^jjr+atrb+++=shorter
circles ^nns++++=circles,
, ^zz++++=EXTRAWORD
to ^in++++=to
charge ^nn++++=charge
straight ^jj++++=straight
at ^rb++++=at
her ^pp3o+pp3+++=her
foe ^nn++++=foe.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
always ^rb++++=always
she ^pp3a+pp3+++=she
missed ^vbd+++xvbnx+=missed.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
to ^in++++=to
brake ^nn++++=brake
with ^in++++=with
head ^jjb++++=head
and ^cc++++=and
paws ^nns+++??+=paws
and ^cc++++=and
make ^vb++++=make
sharp ^jj+atrb+++=sharp
angles ^nns++++=angles
while ^cs+sub+++=while
the ^ati++++=the
man ^nn++++=man
danced ^vbd+++xvbn+=danced
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Infidel!
infidel ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Parent ^nn++++=Parent
of ^in++++=of
naughty ^jj+atrb+++=naughty
daughters ^nns+nom+++=daughters!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
as ^in++++=as
the ^ati++++=the
bear ^nn++++=bear
missed ^vbd+++xvbn+=missed
him ^pp3o+pp3+++=him
by ^in++++=by
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
hot ^jj+pred+++=hot
and ^cc+phrs+++=and
raw ^jj++++=raw.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold
with ^in++++=with
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
For ^in++++=For
back ^nn++++=back
across ^in+pl+++=across
the ^ati++++=the
hills ^nns++++=hills
was ^vbd+bedz+vrb++=was
the ^ati++++=the
mother ^nn++++=mother
of ^in++++=of
his ^pp$+pp3+++=his
sons ^nns++++=sons
and ^cc++++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
cursed ^vbd+++xvbnx+=cursed
again ^rb+tm+++=again
the ^ati++++=the
little ^jj+atrb+++=little
bird ^nn++++=bird
which ^whp+rel+subj++=which
gurgled ^vbd+++xvbn+=gurgled
in ^in++++=in
the ^ati++++=the
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
gurgle ^vb++++=gurgle
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
insistent ^jj++++=insistent,
, ^zz++++=EXTRAWORD
blending ^vbg+++xvbg+=blending
curiously ^rb++++=curiously
and ^cc++++=and
malignantly ^jj++++=malignantly
with ^in++++=with
the ^ati++++=the
bear ^nn++++=bear's
's ^vbz+bez+vrb++0=EXTRAWORD
wicked ^jj+atrb+++=wicked
bellow ^nn+++??+=bellow.
. ^zz++++=EXTRAWORD
Underneath ^in+pl+++=Underneath
his ^pp$+pp3+++=his
duffle ^nn++++=duffle
shirt ^nn++++=shirt
sweat ^nn++++=sweat
rolled ^vbd+++xvbn+=rolled
in ^in++++=in
little ^jj+atrb+++=little
icy ^jj+atrb+++=icy
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feet ^nns++++=feet
hurt ^vbd+++xvbn+=hurt.
. ^zz++++=EXTRAWORD
Moss ^np++++=Moss
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
around ^rp++++=around
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
great ^np++++=great
holes ^nns++++=holes
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
i ^pp1a+pp1+++=i
long ^rb++++=long
furrows ^nns+++??+=furrows
and ^cc++++=and
grooves ^nns++++=grooves.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
whole ^jj+atrb+++=whole
cover ^nn++++=cover
of ^in++++=of
moss ^np++++=moss
was ^vbd+bedz+aux++=was
trampled ^vpsv++agls+xvbnx+=trampled
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
dancing ^vbg+++xvbgx+=dancing
on ^in++++=on
the ^ati++++=the
naked ^jj+atrb+++=naked
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
his ^pp$+pp3+++=his
sandals ^nns+nom+++=sandals
had ^vbd+hvd+aux++=had
split ^vprf+++xvbnx+=split
the ^ati++++=the
heel ^nn++++=heel-rope
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
and ^cc++++=and
had ^vbd+hvd+aux++=had
flown ^vprf+++xvbnx+=flown
away ^rp+pl+++=away
and ^cc+phrs+++=and
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
