Hark ^np+++??+=Hark,
from ^in++++=from
the ^ati++++=the
rich ^jj++++=rich
we ^pp1a+pp1+++=we
take ^vb++++=take
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
poor ^jj++++=poor
very ^ql+amp+++=very
little ^ap++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
from ^in++++=from
the ^ati++++=the
poor ^jj+atrb+++=poor
man ^nn++++=man
may ^md+pos+++=may
distress ^nns+nom+++=distress
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
rich ^jj+atrb+++=rich
subject ^nn++++=subject
would ^md+prd+++=would
never ^rb++splt++=never
feel ^vb+vprv+++=feel
the ^ati++++=the
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+vrb++=do
we ^pp1a+pp1+++=we
tax ^nn++++=tax
the ^ati++++=the
poor ^jj++++=poor
at ^rb++++=at
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because,
because ^cs+cos+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
we ^pp1a+pp1+++=we
declare ^vb+vpub+++=declare
the ^ati++++=the
poor ^jj++++=poor
free ^jj++++=free
from ^in++++=from
taxation ^nn+nom+++=taxation
all ^rb++++=all
your ^pp$+pp2+++=your
subjects ^nns++++=subjects
would ^md+prd+++=would
at ^rb++splt++=at
once ^rb"+tm+++=once
claim ^vb++++=claim
to ^to+vcmp+++=to
be ^vbi++vrb++=be
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
royal ^jj+atrb+++=royal
treasury ^np++++=treasury
would ^md+prd+++=would
remain ^vb++++=remain
empty ^jj++++=empty.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
none ^pn++++=none
are ^vb+ber+vrb++=are
so ^ql++++=so
rich ^np++++=rich
but ^cc++++=but
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
those ^dt+dem+++=those
richer ^jjr++++=richer,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
should ^md+nec+++=should
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
in ^in++++=in
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
determine ^vb++++=determine
which ^wdt+who+whq++=which
are ^vb+ber+aux++=are
the ^ati++++=the
rich ^jj++++=rich
and ^cc++++=and
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
the ^ati++++=the
poor ^jj++++=poor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
the ^ati++++=the
King ^nn++++=King
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
pondered ^vbd+++xvbnx+=pondered
upon ^in++++=upon
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
the ^ati++++=the
Royal ^jj+atrb+++=Royal
Treasurer ^nn+nom+++=Treasurer.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
wave ^nn++++=wave
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dismissed ^vbd+++xvbnx+=dismissed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vpsv++agls+xvbn+=turned
to ^in++++=to
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
wise ^jj+atrb+++=wise
words ^nns++++=words
of ^in++++=of
my ^pp$+pp1+++=my
councilors ^nns++++=councilors,
, ^zz++++=EXTRAWORD
Prince ^npt++++=Prince.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
to ^to++++=to
say ^vbi+vpub+++=say
in ^in++++=in
reply ^nn++++=reply?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
pardon ^vb++++=pardon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
leave ^vbi++++=leave
the ^ati++++=the
affairs ^nns++++=affairs
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
to ^in++++=to
others ^aps++++=others
to ^to++++=to
direct ^vbi+vpub+++=direct.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
them ^pp3o+pp3+++=them
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
distrust ^vb++++=distrust
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
your ^pp$+pp2+++=your
councilors ^nns++++=councilors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
naturally ^rb++++=naturally
fear ^vb++++=fear
your ^pp$+pp2+++=your
anger ^nn++++=anger
more ^ql++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do
that ^dt+dem+++=that
of ^in++++=of
your ^pp$+pp2+++=your
subjects ^nns++++=subjects."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
they ^pp3a+pp3+++=they
fear ^vb++++=fear
my ^pp$+pp1+++=my
anger ^nn++++=anger
they ^pp3a+pp3+++=they
will ^md+prd+++=will
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful
to ^to+jcmp+++=to
do ^vbi++++=do
no ^at++++=no
injustice ^nn++++=injustice
to ^in++++=to
my ^pp$+pp1+++=my
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
expect ^vb+vprv+++=expect
me ^pp1o+pp1+++=me
to ^to++++=to
attend ^vbi++++=attend
to ^to++++=to
levying ^vbg+++xvbg+=levying
the ^ati++++=the
taxes ^nns++++=taxes
myself ^ppl+pp1+++=myself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
with ^in++++=with
growing ^xvbg+++xvbg+=growing
annoyance ^nn+nom+++=annoyance.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
my ^pp$+pp1+++=my
officers ^nns+nom+++=officers
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
serve ^vbi++++=serve
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
serve ^vb++++=serve
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
thoughtfully ^rb+cnj+++=thoughtfully,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
they ^pp3a+pp3+++=they
should ^md+nec+++=should
serve ^vb++++=serve
the ^ati++++=the
people ^nns++++=people
as ^rb++++=as
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense!"
nonsense ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
King ^nn++++=King;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
too ^ql++++=too
young ^jj++++=young
as ^ql++++=as
yet ^rb++++=yet
to ^to++++=to
properly ^rb++splt++=properly
understand ^vbi+vprv+++=understand
such ^abl++++=such
matters ^nns+nom+++=matters.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
way ^nn++++=way
youth ^nn++++=youth
has ^md"++pmd"++=has
to ^md+nec+++=to
imagine ^vb+vprv+tht0++=imagine
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
wiser ^jjr+pred+++=wiser
than ^in++++=than
age ^nn++++=age
and ^cc++++=and
experience ^nn+nom+++=experience
combined ^vbd+++xvbn+=combined.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
investigate ^nn+nom+++=investigate
the ^ati++++=the
subject ^nn++++=subject
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
justice ^nn++++=justice
is ^vbz+bez+aux++=is
done ^vpsv++agls+xvbnx+=done
the ^ati++++=the
poor ^nn++++=poor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
meantime ^nn++++=meantime,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="many
many ^ap++++=EXTRAWORD
will ^md+prd+++=will
starve ^vb++++=starve
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
not ^xnot++not++=not
assist ^vb++++=assist
these ^dt+dem+++=these
poor ^jj+atrb+++=poor
beggars ^nns++++=beggars
at ^rb++++=at
once ^rb"+tm+++=once?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
what ^wdt+who+++=what
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
giving ^xvbg+++xvbg+=giving
them ^pp3o+pp3+++=them
money ^nn++++=money
from ^in++++=from
your ^pp$+pp2+++=your
full ^jj+atrb+++=full
coffers ^nns+nom+++=coffers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense!"
nonsense ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
again ^rb+tm+++=again
cried ^vbd+++xvbn+=cried
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
with ^in++++=with
real ^jj+atrb+++=real
anger ^nn++++=anger;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
what ^wdt+who+whcl++=what
the ^ati++++=the
Chamberlain ^npt++++=Chamberlain
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
always ^rb++++=always
have ^vb+hv+vrb++=have
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb+cnj+++=none,
, ^zz++++=EXTRAWORD
as ^ql++++=as
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
starved ^vprf+++xvbn+=starved
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
use ^vb++++=use
the ^ati++++=the
money ^nn++++=money
for ^in++++=for
the ^ati++++=the
grand ^jj+atrb+++=grand
ball ^nn++++=ball
and ^cc++++=and
tourney ^nn+++??+=tourney
next ^ap++++=next
month ^nn++++=month,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
promised ^vprf+++xvbnx+=promised
the ^ati++++=the
ladies ^nns++++=ladies
of ^in++++=of
the ^ati++++=the
court ^nn++++=court
a ^at++++=a
carnival ^nn+nom+++=carnival
of ^in++++=of
unusual ^jj+atrb+++=unusual
magnificence ^nn+nom+++=magnificence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Prince ^nn++++=Prince
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
reply ^nn++++=reply
to ^in++++=to
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
remained ^vpsv++agls+xvbn+=remained
in ^in++++=in
silent ^jj+atrb+++=silent
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
might ^md+pos+++=might
do ^vb+do+vrb++=do
to ^in++++=to
ease ^nn++++=ease
the ^ati++++=the
suffering ^jj+++xvbg+=suffering
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
existed ^vprf+++xvbn+=existed
on ^in++++=on
every ^at++++=every
hand ^nn++++=hand
amongst ^in++++=amongst
the ^ati++++=the
poor ^nn++++=poor
of ^in++++=of
the ^ati++++=the
kingdom ^nn+nom+++=kingdom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
hoped ^vprf+++xvbnx+=hoped
to ^to+vcmp+++=to
persuade ^vbi++++=persuade
the ^ati++++=the
King ^nn++++=King
to ^to++++=to
assist ^vbi++++=assist
these ^dt+dem+++=these
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
since ^in++++=since
the ^ati++++=the
interview ^nn++++=interview
with ^in++++=with
the ^ati++++=the
officers ^nns+nom+++=officers
of ^in++++=of
the ^ati++++=the
court ^nn++++=court
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
heart ^nn++++=heart
and ^cc++++=and
despaired ^vpsv++agls+xvbn+=despaired
of ^in++++=of
influencing ^xvbg+++xvbg+=influencing
his ^pp$+pp3+++=his
royal ^jj+atrb+++=royal
father ^nn++++=father
in ^in++++=in
any ^dti++++=any
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
King ^nn++++=King
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
dismiss ^vb++++=dismiss
this ^dt+dem+++=this
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
Lilimond ^np+++??+=Lilimond,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
only ^rb+down+++=only
serves ^vbz++++=serves
to ^in++++=to
distress ^nns+nom+++=distress
us ^pp1o+pp1+++=us
both ^abx++++=both,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
good ^nn++++=good
can ^md+pos+++=can
come ^vb++++=come
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
nearly ^rb+down+splt++=nearly
made ^vprf+++xvbnx+=made
me ^pp1o+pp1+++=me
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
birthday ^nn++++=birthday.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
son ^nn++++=son:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
much ^ap++++=much
pleased ^jj+++xvbn+=pleased
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thank ^vb++++=thank
God ^np++++=God
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
such ^abl++++=such
a ^at++++=a
successor ^nn++++=successor
for ^in++++=for
my ^pp$+pp1+++=my
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
perceive ^vb+vprv+tht0++=perceive
your ^pp$+pp2+++=your
mind ^nn++++=mind
is ^vbz+bez+vrb++=is
as ^ql++++=as
beautiful ^jj++++=beautiful
as ^ql++++=as
your ^pp$+pp2+++=your
person ^nn++++=person,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
will ^md+prd+++=will
in ^in++++=in
time ^nn++++=time
be ^vb+be+aux++=be
fitted ^vpsv++agls+xvbnx+=fitted
to ^in++++=to
rule ^nn++++=rule
the ^ati++++=the
land ^nn++++=land
with ^in++++=with
wisdom ^nn++++=wisdom
and ^cc++++=and
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
I ^pp1a+pp1+++=I
promise ^nn++++=promise,
, ^zz++++=EXTRAWORD
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
your ^pp$+pp2+++=your
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
to ^to++++=to
grant ^vbi+vsua+++=grant
any ^dti++++=any
desire ^nn++++=desire
you ^pp2+pp2+++=you
may ^md+pos+++=may
express ^jjb++++=express,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
it ^pp3+it+++=it
lies ^vbz++++=lies
within ^in++++=within
my ^pp$+pp1+++=my
power ^nn++++=power.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
will ^md+prd+++=will
I ^pp1a+pp1+++=I
make ^vb++++=make
any ^dti++++=any
further ^jjb+atrb+++=further
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
rely ^vb++++=rely
upon ^in++++=upon
your ^pp$+pp2+++=your
judgment ^nn+nom+++=judgment
to ^to+vcmp+++=to
select ^vbi++++=select
some ^dti++++=some
gift ^nn++++=gift
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
bestow ^vbi++++=bestow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
King ^nn++++=King
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
Lilimond ^np+++??+=Lilimond
suddenly ^rb++++=suddenly
became ^vbd+++xvbn+=became
impressed ^vbd+++xvbn+=impressed
with ^in++++=with
an ^at++++=an
idea ^nn++++=idea
through ^in++++=through
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
might ^md+pos+++=might
succor ^vb++++=succor
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="Call
call ^vb++++=EXTRAWORD
in ^rb+phrv+++=in
the ^ati++++=the
ladies ^nns++++=ladies
and ^cc++++=and
gentlemen ^nns++++=gentlemen
of ^in++++=of
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
them ^pp3o+pp3+++=them
all ^rb++++=all
will ^md+prd+++=will
I ^pp1a+pp1+++=I
claim ^vb++++=claim
your ^pp$+pp2+++=your
promise ^nn++++=promise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good!"
good ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
for ^in++++=for
some ^dti++++=some
amusement ^nn+nom+++=amusement
in ^in++++=in
his ^pp$+pp3+++=his
son ^nn++++=son's
's ^$++++=EXTRAWORD
request ^nn++++=request;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
once ^rb"+tm+++=once
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
court ^nn++++=court
to ^to++++=to
assemble ^vbi++++=assemble.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ladies ^nns++++=ladies
and ^cc++++=and
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
filed ^vbd+++xvbnx+=filed
into ^in++++=into
the ^ati++++=the
audience ^nn+nom+++=audience
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
astonished ^jj++agls+xvbnx+=astonished
to ^to+jcmp+++=to
see ^vbi+vprv+tht0++=see
the ^ati++++=the
Prince ^npt++++=Prince
seated ^vbd+++xvbn+=seated
upon ^in++++=upon
the ^ati++++=the
throne ^nn++++=throne
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
sire ^nn++++=sire,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
being ^vbg+beg++xvbg+=being
too ^ql++++=too
well ^rb++++=well
bred ^vwbn+++xvbn+=bred
to ^to++++=to
betray ^vbi++++=betray
their ^pp$+pp3+++=their
surprise ^nn++++=surprise
they ^pp3a+pp3+++=they
only ^ap+down+++=only
wondered ^jj+++xvbn+=wondered
what ^wdt+who+++=what
amusement ^nn+nom+++=amusement
His ^pp$+pp3+++=His
Majesty ^nn++++=Majesty
had ^vb+hv+vrb++=had
in ^in++++=in
store ^nn++++=store
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
all ^rb++++=all
were ^vbd+bed+aux++=were
assembled ^vpsv++agls+xvbnx+=assembled,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Prince ^npt++++=Prince
rose ^vbd+++xvbn+=rose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
addressed ^vwbn+++xvbn+=addressed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
Majesty ^nn++++=Majesty
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
kindness ^nns+nom+++=kindness
of ^in++++=of
heart ^nn++++=heart
and ^cc++++=and
royal ^jj+atrb+++=royal
condescension ^nn++++=condescension
is ^vbz+bez+aux++=is
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
you ^pp2+pp2+++=you
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
hath ^vbz+hvz+aux++=hath
but ^cc++++=but
now ^rn+tm+++=now
promised ^vbd+vpub++xvbn+=promised
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
to ^to++++=to
grant ^vbi+vsua+++=grant
any ^dti++++=any
one ^cd1++++=one
request ^nn++++=request
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
prefer ^vb+vprv+++=prefer.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
not ^xnot++not++=not
true ^jj++++=true,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
upon ^in++++=upon
his ^pp$+pp3+++=his
son ^nn++++=son,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pleased ^jj+++xvbn+=pleased
to ^to+jcmp+++=to
see ^vbi+vprv+tht0++=see
him ^pp3o+pp3+++=him
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
court ^npl++++=court
so ^ql++++=so
gravely ^np++++=gravely
and ^cc++++=and
with ^in++++=with
so ^rb+emph+++=so
manly ^jj++++=manly
an ^at++++=an
air ^nn++++=air;
; ^zz++++=EXTRAWORD
" ^zz++++="whatsoever
whatsoever ^nn+nom+++=EXTRAWORD
the ^ati++++=the
Prince ^npt++++=Prince
may ^md+pos+++=may
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
will ^md+prd+++=will
I ^pp1a+pp1+++=I
freely ^rb++++=freely
grant ^nn++++=grant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then,
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
oh ^uh++++=oh
sire ^nn++++=sire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
kneeling ^vbg+nom++xvbg+=kneeling
before ^in++++=before
the ^ati++++=the
throne ^nn++++=throne,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ask ^vb++++=ask
that ^tht+vcmp+++=that
for ^in++++=for
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
one ^cd1++++=one
day ^nn++++=day
I ^pp1a+pp1+++=I
may ^md+pos+++=may
reign ^vb++++=reign
as ^ql++++=as
King ^npt++++=King
in ^in++++=in
your ^pp$+pp2+++=your
stead ^nn++++=stead,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
at ^in++++=at
my ^pp$+pp1+++=my
command ^nn++++=command
