Parable ^nn++++=PARABLE
a ^at++++=a
different ^jj+atrb+++=different
method ^nn++++=method,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="
We ^pp1a+pp1+++=We
will ^md+prd+++=will
not ^xnot++not++=not
listen ^vb++++=listen
to ^in++++=to
this ^dt+dem+++=this
man ^nn++++=man,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
fool ^jjb++++=fool
; ^zz++++=;
he ^pp3a+pp3+++=he
forbids ^nns+++??+=forbids
us ^pp1o+pp1+++=us
to ^in++++=to
mow ^nn+++??+=mow
down ^rp++++=down
the ^ati++++=the
weeds ^nns++++=weeds
and ^cc++++=and
tells ^vbz++++=tells
us ^pp1o+pp1+++=us
to ^to++++=to
pull ^vbi++++=pull
them ^pp3o+pp3+++=them
up ^rp++++=up
" ^zz++++="
so ^ql++++=so
in ^in++++=in
reply ^nn++++=reply
to ^in++++=to
my ^pp$+pp1+++=my
reminder ^nn+nom+++=reminder
that ^tht+vcmp+++=that
according ^in+cmpx+++=according
to ^in++++=to
Christ ^np++++=Christ's
's ^vbz+bez+aux++0=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
annihilate ^nn+nom+++=annihilate
evil ^nn++++=evil
we ^pp1a+pp1+++=we
must ^md+nec+++=must
not ^xnot++not++=not
employ ^vb++++=employ
violence ^nn+nom+++=violence
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
must ^md+nec+++=must
destroy ^vb++++=destroy
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
root ^nn++++=root
with ^in++++=with
love ^nn++++=love,
, ^zz++++=EXTRAWORD
men ^nns++++=men
said ^vbd+vpub++xvbn+=said
: ^zz++++=:
" ^zz++++="
We ^pp1a+pp1+++=We
will ^md+prd+++=will
not ^xnot++not++=not
listen ^vb++++=listen
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
fool ^jjb++++=fool
; ^zz++++=;
he ^pp3a+pp3+++=he
advises ^vbz++++=advises
not ^xnot++not++=not
to ^to++++=to
oppose ^vbi++++=oppose
evil ^nn++++=evil
to ^in++++=to
evil ^nn++++=evil
so ^ql++++=so
that ^dt+dem+++=that
evil ^nn++++=evil
may ^md+pos+++=may
overwhelm ^vb++++=overwhelm
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Christ ^np++++=Christ's
's ^vbz+bez+aux++0=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
evil ^nn++++=evil
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
eradicated ^vpsv++by+xvbnx+=eradicated
by ^in++++=by
evil ^nn++++=evil
; ^zz++++=;
that ^dt+dem+++=that
all ^abn++++=all
resistance ^nn+nom+++=resistance
of ^in++++=of
evil ^nn++++=evil
by ^in++++=by
violence ^nn+nom+++=violence
only ^rb+down+++=only
intensifies ^vbz++++=intensifies
the ^ati++++=the
evil ^nn++++=evil,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
according ^in+cmpx+++=according
to ^in++++=to
Christ ^np++++=Christ's
's ^vbz+bez+aux++0=EXTRAWORD
teaching ^vbg+vsua+tht0+xvbg+=teaching
evil ^nn++++=evil
is ^vbz+bez+aux++=is
eradicated ^vpsv++by+xvbnx+=eradicated
by ^in++++=by
good ^nn++++=good.
. ^zz++++=EXTRAWORD
Bless ^vb++++=Bless
them ^pp3o+pp3+++=them
that ^dt+dem+++=that
curse ^nn++++=curse
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
pray ^vb+vsua+++=pray
for ^in++++=for
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
abuse ^nn++++=abuse
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
good ^jj++++=good
to ^to+jcmp+++=to
them ^pp3o+pp3+++=them
that ^dt+dem+++=that
hate ^nn++++=hate
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
love ^nn++++=love
your ^pp$+pp2+++=your
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
no ^at++++=no
enemies ^nns++++=enemies!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Christ ^np++++=Christ's
's ^vbz+bez+aux++0=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
life ^nn++++=life
of ^in++++=of
man ^nn++++=man
is ^vbz+bez+vrb++=is
a ^at++++=a
battle ^nn++++=battle
with ^in++++=with
evil ^nn++++=evil,
, ^zz++++=EXTRAWORD
a ^at++++=a
resistance ^nn+nom+++=resistance
of ^in++++=of
evil ^nn++++=evil
by ^in++++=by
reason ^nn++++=reason
and ^cc++++=and
love ^nn++++=love,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
out ^rp+pl+++=out
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
methods ^nns++++=methods
of ^in++++=of
resisting ^xvbg+++xvbg+=resisting
evil ^jj+atrb+++=evil
Christ ^np++++=Christ
excepted ^vbd+++xvbn+=excepted
only ^rb+down+++=only
the ^ati++++=the
one ^cd1++++=one
unreasonable ^jj+atrb+++=unreasonable
method ^nn++++=method
of ^in++++=of
resisting ^xvbg+++xvbg+=resisting
evil ^nn++++=evil
with ^in++++=with
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
equivalent ^jj+pred+++=equivalent
to ^to++++=to
fighting ^vbg+++xvbg+=fighting
evil ^nn++++=evil
with ^in++++=with
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
misunderstood ^vprf+++xvbn+=misunderstood
as ^ql++++=as
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
Christ ^np++++=Christ
taught ^vwbn+vsua++xvbn+=taught
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
must ^md+nec+++=must
not ^xnot++not++=not
resist ^vb++++=resist
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
lives ^nns++++=lives
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
whom ^whp+wpor+++=whom
in ^in++++=in
consequence ^jj+atrb+++=consequence
violence ^nn+nom+++=violence
was ^vbd+bedz+vrb++=was
dear ^jj+pred+++=dear,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
take ^vbi++++=take
such ^abl++++=such
a ^at++++=a
misconstruction ^nn+nom+++=misconstruction
of ^in++++=of
my ^pp$+pp1+++=my
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
of ^in++++=of
Christ ^np++++=Christ's
's ^$++++=EXTRAWORD
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
avowed ^jj+pred+++=avowed
that ^cs+sub+++=that
the ^ati++++=the
teaching ^jj+++xvbg+=teaching
of ^in++++=of
non ^&fw++++=non-resistance
- ^zz++++=EXTRAWORD
resistance ^nn+nom+++=EXTRAWORD
of ^in++++=of
evil ^nn++++=evil
was ^vbd+bedz+vrb++=was
incredible ^jj+pred+++=incredible,
, ^zz++++=EXTRAWORD
stupid ^jj++++=stupid,
, ^zz++++=EXTRAWORD
godless ^jj++++=godless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dangerous ^jj++++=dangerous.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
men ^nns++++=men
calmly ^rb++++=calmly
continue ^vb++++=continue
under ^in++++=under
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
destroying ^xvbg+++xvbg+=destroying
evil ^nn++++=evil
to ^to++++=to
make ^vbi++++=make
it ^pp3+it+++=it
more ^rbr++++=more
widely ^rb++++=widely
spread ^nn+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Parable ^nn++++=PARABLE
The ^ati++++=THE
Second ^od++++=SECOND
Men ^nns++++=MEN
were ^vbd+bed+aux++=were
trafficking ^vbg+++xvbgx+=trafficking
in ^in++++=in
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
food ^nn++++=food-stuffs.
- ^zz++++=EXTRAWORD
stuffs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
each ^dt++++=each
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
desirous ^jj+pred+++=desirous
of ^in++++=of
receiving ^xvbg+++xvbg+=receiving
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
profit ^nn++++=profit
and ^cc++++=and
becoming ^vbg+++xvbg+=becoming
rich ^jj++++=rich
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
all ^abn++++=all
these ^dt+dem+++=these
men ^nns++++=men
got ^vbd+++xvbn+=got
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
into ^in++++=into
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
adulterating ^xvbg+++xvbg+=adulterating
their ^pp$+pp3+++=their
goods ^nns++++=goods
with ^in++++=with
cheap ^jj+atrb+++=cheap
and ^cc+phrs+++=and
injurious ^jj+atrb+++=injurious
mixtures ^nns++++=mixtures
: ^zz++++=:
with ^in++++=with
the ^ati++++=the
flour ^nn++++=flour
they ^pp3a+pp3+++=they
mixed ^vbd+++xvbnx+=mixed
bran ^jj++++=bran
and ^cc++++=and
lime ^nn++++=lime,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
oleomargarin ^nn+++??+=oleomargarin
into ^in++++=into
their ^pp$+pp3+++=their
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
water ^nn++++=water
and ^cc++++=and
chalk ^nn++++=chalk
into ^in++++=into
their ^pp$+pp3+++=their
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
until ^cs+sub+++=until
these ^dt+dem+++=these
goods ^nns++++=goods
reached ^vbd+++xvbn+=reached
the ^ati++++=the
consumers ^nns+nom+++=consumers
all ^rb++++=all
went ^vbd+++xvbn+=went
well ^jj+pred+++=well
: ^zz++++=:
the ^ati++++=the
wholesale ^jjb+atrb+++=wholesale
traders ^nns+nom+++=traders
sold ^vwbn+++xvbn+=sold
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
retailers ^nns+nom+++=retailers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
retailers ^nns+nom+++=retailers
distributed ^vwbn+++xvbn+=distributed
them ^pp3o+pp3+++=them
in ^in++++=in
small ^jj+atrb+++=small
quantities ^nns+nom+++=quantities.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
many ^ap++++=many
stores ^nns++++=stores
and ^cc++++=and
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wares ^nns++++=wares,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
off ^in+pl+++=off
very ^ql+amp+++=very
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
tradesmen ^nns++++=tradesmen
were ^vbd+bed+aux++=were
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
city ^nn++++=city
consumers ^nns+nom+++=consumers,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
that ^dt+pdem+++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
raise ^vb++++=raise
their ^pp$+pp3+++=their
own ^ap++++=own
produce ^nn++++=produce
and ^cc++++=and
were ^vbd+bed+aux++=were
therefore ^rb+cnj+splt++=therefore
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
buy ^vbi++++=buy
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
it ^pp3+it+++=it
very ^ql+amp+++=very
harmful ^jj++++=harmful
and ^cc+phrs+++=and
disagreeable ^jj++++=disagreeable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flour ^nn++++=flour
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
the ^ati++++=the
butter ^nn++++=butter
and ^cc++++=and
milk ^nn++++=milk
were ^vbd+bed+vrb++=were
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
other ^ap++++=other
wares ^nns++++=wares
except ^in++++=except
those ^dt+dem+++=those
adulterated ^jj+++xvbn+=adulterated
to ^to++++=to
be ^vbi+vbi+aux++=be
had ^vb+hv+vrb++=had
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
consumers ^nns+nom+++=consumers
continued ^vbd+++xvbn+=continued
to ^to++++=to
buy ^vbi++++=buy
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
complained ^vbd+vpub++xvbnx+=complained
because ^cs+cos+++=because
the ^ati++++=the
food ^nn++++=food
tasted ^vprf+++xvbn+=tasted
bad ^jj++++=bad
and ^cc++++=and
was ^vbd+bedz+vrb++=was
unwholesome ^nn+++??+=unwholesome
; ^zz++++=;
they ^pp3a+pp3+++=they
blamed ^vbd+++xvbnx+=blamed
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ascribed ^vbd+++xvbn+=ascribed
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
wretched ^jj+atrb+++=wretched
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
food ^nn++++=food
was ^vbd+bedz+aux++=was
prepared ^vpsv++agls+xvbnx+=prepared.
. ^zz++++=EXTRAWORD
Meantime ^nn++++=Meantime
the ^ati++++=the
tradespeople ^nn++++=tradespeople
continued ^vbd+++xvbn+=continued
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
flagrantly ^jj++++=flagrantly
to ^to++++=to
adulterate ^nn+nom+++=adulterate
their ^pp$+pp3+++=their
food ^nn++++=food-stuffs
- ^zz++++=EXTRAWORD
stuffs ^nns++++=EXTRAWORD
with ^in++++=with
cheap ^jj+atrb+++=cheap
foreign ^jj+atrb+++=foreign
ingredients ^nns++++=ingredients.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
passed ^vbd+++xvbn+=passed
a ^at++++=a
sufficiently ^rb++++=sufficiently
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
people ^nns++++=people
were ^vbd+bed+vrb++=were
all ^abn++++=all
suffering ^nvbg+++xvbg+=suffering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
had ^vb+hv+vrb++=had
the ^ati++++=the
resolution ^nn+nom+++=resolution
to ^to++++=to
express ^nns+nom+++=express
his ^pp$+pp3+++=his
dissatisfaction ^nn+nom+++=dissatisfaction.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
a ^at++++=a
housekeeper ^nn+nom+++=housekeeper
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
always ^rb++splt++=always
given ^vprf+++xvbnx+=given
her ^pp3o+pp3+++=her
family ^nn++++=family
food ^nn++++=food
and ^cc++++=and
drink ^nn++++=drink
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
make ^vb++++=make
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
her ^pp$+pp3+++=her
whole ^jj+atrb+++=whole
life ^nn++++=life
in ^in++++=in
the ^ati++++=the
preparation ^nn+nom+++=preparation
of ^in++++=of
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
famous ^jj+atrb+++=famous
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
still ^rb++++=still
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
very ^ql+amp+++=very
well ^rb++++=well
how ^wrb+who+++=how
to ^to++++=to
bake ^vbi++++=bake
bread ^nn++++=bread
and ^cc++++=and
to ^to++++=to
cook ^vbi++++=cook
good ^jj+atrb+++=good
dinners ^nns+nom+++=dinners.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
woman ^nn++++=woman
bought ^vbd+++xvbn+=bought
various ^jj+atrb+++=various
articles ^nns++++=articles
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
bake ^vbi++++=bake
and ^cc++++=and
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
loaves ^nns++++=loaves
did ^vbd+dod+aux++=did
not ^xnot++not++=not
rise ^vb++++=rise,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fell ^nn+++xvbn+=fell.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cakes ^nns++++=cakes,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
oleomargarin ^nn+++??+=oleomargarin
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
tasteless ^jj++++=tasteless.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
her ^pp3o+pp3+++=her
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
cream ^nn++++=cream.
. ^zz++++=EXTRAWORD
The ^ati++++=The
housekeeper ^nn+nom+++=housekeeper
instantly ^rb+tm+++=instantly
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
her ^pp3o+pp3+++=her
purchases ^nns++++=purchases
were ^vbd+bed+vrb++=were
poor ^jj+pred+++=poor.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
examined ^vbd+++xvbnx+=examined
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
surmises ^vbz++++=surmises
were ^vbd+bed+aux++=were
confirmed ^vpsv++agls+xvbnx+=confirmed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv++xvbnx+=found
lime ^nn++++=lime
in ^in++++=in
the ^ati++++=the
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
oleomargarin ^nn+++??+=oleomargarin
in ^in++++=in
the ^ati++++=the
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
chalk ^nn++++=chalk
in ^in++++=in
the ^ati++++=the
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
Finding ^vbg+++xvbg+=Finding
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
materials ^nns+nom+++=materials
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
were ^vbd+bed+aux++=were
adulterated ^vpsv++agls+xvbnx+=adulterated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
housekeeper ^nn+nom+++=housekeeper
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
bazaars ^nns++++=bazaars
and ^cc++++=and
began ^vpsv++agls+xvbn+=began
in ^in++++=in
a ^at++++=a
loud ^jj+atrb+++=loud
voice ^nn++++=voice
to ^to++++=to
accuse ^vbi++++=accuse
the ^ati++++=the
tradesmen ^nns++++=tradesmen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
demand ^nn++++=demand
that ^tht+ncmp+obj++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
either ^dtx++++=either
stock ^nn++++=stock
their ^pp$+pp3+++=their
shops ^nns++++=shops
with ^in++++=with
good ^jj++++=good,
, ^zz++++=EXTRAWORD
nutritious ^jj+atrb+++=nutritious,
, ^zz++++=EXTRAWORD
unadulterated ^jj+atrb++xvbn+=unadulterated
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
cease ^vb++++=cease
to ^in++++=to
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shut ^vb+++xvbn+=shut
up ^rp++++=up
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
tradesmen ^nns++++=tradesmen
paid ^vbd+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
that ^cs+sub+++=that
their ^pp$+pp3+++=their
goods ^nns++++=goods
were ^vbd+bed+vrb++=were
first ^rb++++=first
class ^nn++++=class,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
whole ^jj+atrb+++=whole
city ^nn++++=city
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
buying ^vbg+++xvbgx+=buying
of ^in++++=of
them ^pp3o+pp3+++=them
for ^in++++=for
so ^ql++++=so
many ^ap++++=many
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
even ^rb++++=even
had ^vb+hv+vrb++=had
medals ^nns++++=medals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
showed ^vbd+vprv+tht0+xvbnx+=showed
her ^pp$+pp3+++=her
their ^pp$+pp3+++=their
medals ^nns++++=medals
on ^in++++=on
their ^pp$+pp3+++=their
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
housekeeper ^nn+nom+++=housekeeper
did ^vbd+dod+aux++=did
not ^xnot++not++=not
give ^vb++++=give
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
any ^dti++++=any
medals ^nns++++=medals,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
wholesome ^jj+atrb+++=wholesome
food ^nn++++=food,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
and ^cc++++=and
my ^pp$+pp1+++=my
children ^nns++++=children
may ^md+pos+++=may
not ^xnot++not++=not
have ^vb+hv+vrb++=have
stomach ^nn++++=stomach
troubles ^nns++++=troubles
from ^in++++=from
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Apparently,
apparently ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
genuine ^jj+atrb+++=genuine
flour ^nn++++=flour
and ^cc++++=and
butter ^nn++++=butter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
tradesmen ^nns++++=tradesmen,
, ^zz++++=EXTRAWORD
showing ^nvbg+++xvbg+=showing
her ^pp3o+pp3+++=her
the ^ati++++=the
white ^jj++++=white,
, ^zz++++=EXTRAWORD
pure ^jj++++=pure-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
flour ^nn++++=flour
in ^in++++=in
varnished ^jj+atrb++xvbn+=varnished
bins ^nns++++=bins,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wretched ^jj+atrb+++=wretched
imitation ^nn+nom+++=imitation
of ^in++++=of
butter ^nn++++=butter
lying ^vwbg+++xvbg+=lying
in ^in++++=in
neat ^jj+atrb+++=neat
dishes ^nns++++=dishes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
white ^jj+atrb+++=white
fluid ^nn++++=fluid
in ^in++++=in
glittering ^jj+atrb+++=glittering
transparent ^jj+atrb+++=transparent
jars ^nns++++=jars.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
" ^zz++++="
because ^cs+cos+++=because
all ^abn++++=all
my ^pp$+pp1+++=my
life ^nn++++=life
long ^rb++++=long
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
