Mr ^npt++++=Mr.
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
this ^dt+dem+++=this
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
should ^md+nec+++=should
apply ^vb++++=apply
to ^in++++=to
a ^at++++=a
gunsmith ^nn+++??+=gunsmith
for ^in++++=for
a ^at++++=a
revolver ^nn+nom+++=revolver
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
refused ^vpsv++agls+xvbnx+=refused,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
for ^in+ppvb+++=for
some ^dti++++=some
time ^nn++++=time
before ^cs+sub+++=before
the ^ati++++=the
mirror ^nn++++=mirror
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
restore ^vbi++++=restore
the ^ati++++=the
natural ^jj+atrb+++=natural
expression ^nn++++=expression
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kneaded ^vbd+++xvbnx+=kneaded
his ^pp$+pp3+++=his
lips ^nns++++=lips
to ^to++++=to
remove ^vbi++++=remove
their ^pp$+pp3+++=their
stiffness ^nns+nom+++=stiffness,
, ^zz++++=EXTRAWORD
pinched ^j+++xvbn+=pinched
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks
to ^to++++=to
bring ^vbi++++=bring
back ^rb+phrv+++=back
their ^pp$+pp3+++=their
color ^nn++++=color,
, ^zz++++=EXTRAWORD
rubbed ^j+++xvbn+=rubbed
down ^in++++=down
the ^ati++++=the
ridged ^jj+atrb+++=ridged
veins ^nns++++=veins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scraped ^vbd+++xvbn+=scraped
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
the ^ati++++=the
white ^jj+atrb+++=white
plaster ^nn+nom+++=plaster
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
with ^in++++=with
it ^pp3+it+++=it
concealed ^vbd+++xvbn+=concealed
the ^ati++++=the
dark ^jj+atrb+++=dark
color ^nn++++=color
under ^in++++=under
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
forth ^rp++++=forth
with ^in++++=with
a ^at++++=a
firm ^nn++++=firm
step ^vb++++=step,
, ^zz++++=EXTRAWORD
bought ^j+++xvbn+=bought
the ^ati++++=the
revolver ^nn+nom+++=revolver
without ^in++++=without
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
tried ^j+++xvbn+=tried
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
satisfied ^j+++xvbn+=satisfied
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
reliable ^jj+pred+++=reliable,
, ^zz++++=EXTRAWORD
loaded ^j+++xvbn+=loaded
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
it ^pp3+it+++=it
into ^in++++=into
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
office ^nn++++=office.
. ^zz++++=EXTRAWORD
For ^in++++=For
there ^rn+pl+++=there
were ^vbd+bed+vrb++=were
certain ^jj+atrb+++=certain
matters ^nns+nom+++=matters
of ^in++++=of
property ^nn++++=property
to ^to++++=to
be ^vbi+vbi+aux++=be
attended ^vpsv++agls+xvbnx+=attended
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
considerable ^jj+atrb+++=considerable
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
all ^abn++++=all
his ^pp$+pp3+++=his
separate ^jj+atrb+++=separate
possession ^nn++++=possession;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
him ^pp3o+pp3+++=him
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
now ^rn+tm+++=now
felt ^vbd+vprv++xvbn+=felt
sufficiently ^rb++++=sufficiently
clear ^jj++++=clear-minded
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
to ^to++++=to
dispose ^vbi++++=dispose
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
estate ^nn++++=estate
intelligently ^rb++++=intelligently.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drew ^vbd+++xvbnx+=drew
his ^pp$+pp3+++=his
will ^md+prd+++=will--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
holographic ^jj+atrb+++=holographic
instrument ^nn+nom+++=instrument--devising
-- ^--+clp+++=EXTRAWORD
devising ^vbg+++xvbg+=EXTRAWORD
his ^pp$+pp3+++=his
wealth ^nn++++=wealth
to ^in++++=to
various ^jj+atrb+++=various
persons ^nns++++=persons
and ^cc++++=and
benevolent ^jj+atrb+++=benevolent
societies ^nns++++=societies.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
his ^pp$+pp3+++=his
office ^nn++++=office-clock.
- ^zz++++=EXTRAWORD
clock ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
four ^cd++++=four
long ^jj+atrb+++=long
hours ^nns++++=hours
yet ^rb++++=yet
before ^in++++=before
the ^ati++++=the
time ^nn++++=time
for ^in++++=for
going ^xvbg+++xvbg+=going
home ^nr++++=home
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Fortunately ^rb++++=Fortunately
for ^in++++=for
his ^pp$+pp3+++=his
plans ^nns++++=plans,
, ^zz++++=EXTRAWORD
Stockton ^np+++??+=Stockton
was ^vbd+bedz+aux++=was
to ^to++++=to
dine ^vbi++++=dine
with ^in++++=with
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neither ^dt++neg++=neither
of ^in++++=of
the ^ati++++=the
guilty ^jj+atrb+++=guilty
ones ^cd1s++++=ones
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
discovered ^vpsv++agls+xvbnx+=discovered.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
should ^md+nec+++=should
Randolph ^vb++++=Randolph
employ ^vb++++=employ
these ^dt+dem+++=these
weary ^jj+atrb+++=weary
hours ^nns++++=hours?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
even ^rb++++=even
to ^to++++=to
think ^vbi+vprv+++=think
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
failed ^vbd+++xvbn+=failed;
; ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
crowds ^nns++++=crowds
which ^whp+rel+subj++=which
thronged ^vprf+++xvbn+=thronged
the ^ati++++=the
street ^nn++++=street;
; ^zz++++=EXTRAWORD
counted ^j+++xvbn+=counted
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
cars ^nns++++=cars
awhile ^rb++++=awhile;
; ^zz++++=EXTRAWORD
tried ^j+++xvbn+=tried
other ^ap++++=other
things ^nns++++=things,
, ^zz++++=EXTRAWORD
failed ^j+++xvbn+=failed
at ^rb++++=at
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^in++++=to
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
wretched ^jj+atrb+++=wretched
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
see ^vb+vprv+++=see:
: ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
pretending ^vbg+++xvbg+=pretending
the ^ati++++=the
warmest ^jjt+atrb+++=warmest
affection ^nn+nom+++=affection
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
receiving ^vbg+++xvbgx+=receiving
the ^ati++++=the
guilty ^jj+atrb+++=guilty
attentions ^nns+nom+++=attentions
of ^in++++=of
a ^at++++=a
traitor ^nn++++=traitor
in ^in++++=in
the ^ati++++=the
house ^nn++++=house;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
wrecked ^vprf+++xvbnx+=wrecked
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
swept ^vprf+++xvbnx+=swept
aside ^rp++++=aside
all ^rb++++=all
the ^ati++++=the
obligations ^nns+nom+++=obligations
which ^whp+rel+obj++=which
the ^ati++++=the
marriage ^nn+nom+++=marriage
relation ^nn+nom+++=relation
imposed ^vbd+++xvbn+=imposed.
. ^zz++++=EXTRAWORD
In ^in++++=In
essence ^nn+nom+++=essence
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
criminal ^jj+atrb+++=criminal
enemy ^nn++++=enemy
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
with ^in++++=with
deliberate ^jj+atrb+++=deliberate
and ^cc+phrs+++=and
abounding ^jj+atrb+++=abounding
malice ^nn++++=malice,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
destroyed ^vprf+++xvbnx+=destroyed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
grave ^nn++++=grave
with ^in++++=with
a ^at++++=a
willing ^jj+atrb+++=willing
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
permit ^nn++++=permit
her ^pp3o+pp3+++=her
to ^to++++=to
live ^vbi++++=live
and ^cc+phrs+++=and
enjoy ^vb++++=enjoy
his ^pp$+pp3+++=his
downfall ^nn++++=downfall
and ^cc++++=and
gloat ^vb++++=gloat
over ^in++++=over
his ^pp$+pp3+++=his
destruction ^nn+nom+++=destruction.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
would ^md+prd+++=would
she ^pp3a+pp3+++=she
really ^rb+emph+++=really
do ^vb+do+vrb++=do
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
then, ^nn+++??+=then,--God!--she
-- ^--+clp+++=EXTRAWORD
god! ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
A ^at++++=A
strong ^jj+atrb+++=strong
man ^nn++++=man,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
strength ^nn++++=strength
reinforced ^vwbn+++xvbn+=reinforced
by ^in++++=by
a ^at++++=a
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
employs ^vbz++++=employs
deception ^nn+nom+++=deception
to ^to++++=to
bring ^vbi++++=bring
a ^at++++=a
woman ^nn++++=woman
into ^in++++=into
a ^at++++=a
room ^nn++++=room,
, ^zz++++=EXTRAWORD
locks ^npl++++=locks
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
insults ^nns+++??+=insults,
, ^zz++++=EXTRAWORD
humiliates ^nns+nom+++=humiliates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terrifies ^vbz++++=terrifies
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
brandishes ^nns+++??+=brandishes
a ^at++++=a
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
kills ^vbz++++=kills
her ^pp$+pp3+++=her
like ^in++++=like
a ^at++++=a
rat ^nn++++=rat
in ^in++++=in
its ^pp$+it+++=its
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
a ^at++++=a
brave ^jj+atrb+++=brave
man ^nn++++=man,
, ^zz++++=EXTRAWORD
of ^in++++=of
mature ^jj+atrb+++=mature
judgment ^nn+nom+++=judgment
and ^cc++++=and
in ^in++++=in
possession ^nn++++=possession
of ^in++++=of
his ^pp$+pp3+++=his
faculties ^nns++++=faculties,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
not ^xnot++not++=not
only ^rb+down+++=only
murder ^vb++++=murder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cowardice ^nn++++=cowardice
as ^rb++++=as
well ^rb++++=well!
! ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
still ^rb++++=still
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
frailty ^nn++++=frailty
which ^whp+rel+obj++=which
her ^pp$+pp3+++=her
sex ^nn++++=sex
imposed ^vbd+++xvbn+=imposed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
far ^rb+pl+++=far
sweeter ^jjr+atrb+++=sweeter
revenge ^nn++++=revenge
to ^to++++=to
let ^vbi++++=let
her ^pp$+pp3+++=her
live ^vb++++=live,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
through ^in++++=through
life ^nn++++=life
a ^at++++=a
brand ^nn++++=brand
of ^in++++=of
infamy ^nn++++=infamy.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+vrb++=be
much ^ap++++=much
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
lose ^vb++++=lose
her ^pp$+pp3+++=her
high ^jj+atrb+++=high
position ^nn+nom+++=position
and ^cc++++=and
the ^ati++++=the
respect ^nn++++=respect
of ^in++++=of
her ^pp$+pp3+++=her
friends ^nns++++=friends;
; ^zz++++=EXTRAWORD
the ^ati++++=the
newspapers ^nns+nom+++=newspapers
would ^md+prd+++=would
publish ^vb++++=publish
her ^pp$+pp3+++=her
shame ^vb++++=shame
to ^in++++=to
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
her ^pp$+pp3+++=her
out ^rp+pl+++=out
by ^in++++=by
name ^nn++++=name
as ^in++++=as
the ^ati++++=the
depraved ^jj+atrb+++=depraved
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed
her ^pp$+pp3+++=her
husband ^nn++++=husband
and ^cc++++=and
driven ^jj+++xvbn+=driven
him ^pp3o+pp3+++=him
to ^in++++=to
murder ^nn++++=murder
and ^cc++++=and
suicide ^nn++++=suicide;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+vrb++=have
her ^pp$+pp3+++=her
portrait ^nn++++=portrait
in ^in++++=in
their ^pp$+pp3+++=their
columns ^nns++++=columns;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
name ^nn++++=name
and ^cc++++=and
crime ^nn++++=crime
would ^md+prd+++=would
be ^vb+be+aux++=be
hawked ^vpsv++agls+xvbnx+=hawked
upon ^in++++=upon
the ^ati++++=the
street ^nn++++=street
by ^in++++=by
loud ^jj++++=loud-crying
- ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=EXTRAWORD
news ^nn++++=news-boys;
- ^zz++++=EXTRAWORD
boys ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
sermons ^nns++++=sermons
denouncing ^vwbg+++xvbg+=denouncing
her ^pp$+pp3+++=her
would ^md+prd+++=would
be ^vb+be+aux++=be
preached ^vpsv++agls+xvbnx+=preached
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
churches ^nns++++=churches;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
shame ^vb++++=shame
would ^md+prd+++=would
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed
everywhere ^rb++++=everywhere--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
homes ^nrs++++=homes,
, ^zz++++=EXTRAWORD
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bar ^nn++++=bar-rooms
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
in ^in++++=in
many ^ap++++=many
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+aux++=be
stripped ^vpsv++agls+xvbnx+=stripped
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
property ^nn++++=property
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
enjoyed ^vprf+++xvbnx+=enjoyed
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
be ^vb+be+aux++=be
turned ^vpsv++agls+xvbnx+=turned
adrift ^rb++++=adrift
upon ^in++++=upon
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
help ^vb++++=help
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
none ^pn++++=none
have ^vb+hv+vrb++=have
a ^at++++=a
kind ^nn++++=kind
word ^nn++++=word
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
none ^pn++++=none
give ^vb++++=give
her ^pp$+pp3+++=her
even ^cs+sub+++=even
the ^ati++++=the
respect ^nn++++=respect
which ^whp+rel+obj++=which
money ^nn++++=money
might ^md+pos+++=might
command ^vb++++=command.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
thus ^rb+cnj+++=thus
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
upon ^in++++=upon
the ^ati++++=the
world ^nn++++=world
all ^rb++++=all
friendless ^jj++++=friendless
and ^cc+phrs+++=and
alone ^jj++++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
being ^vbg+beg++xvbg+=being
naturally ^rb++++=naturally
depraved ^jj++++=depraved,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
seek ^vb++++=seek
the ^ati++++=the
protection ^nn+nom+++=protection
of ^in++++=of
fast ^jj+atrb+++=fast
and ^cc+phrs+++=and
shady ^jj+atrb+++=shady
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
taking ^vb+++xvbg+=taking
to ^to+vcmp+++=to
drink ^vbi++++=drink,
, ^zz++++=EXTRAWORD
as ^ql++++=as
such ^abl++++=such
women ^nns++++=women
always ^rb++++=always
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
down ^rp++++=down
she ^pp3a+pp3+++=she
would ^md+prd+++=would
plunge ^vb++++=plunge
into ^in++++=into
a ^at++++=a
reckless ^jj+atrb+++=reckless
and ^cc+phrs+++=and
shameless ^jj+atrb+++=shameless
career ^nn++++=career,
, ^zz++++=EXTRAWORD
sinking ^nvbg+++xvbg+=sinking
lower ^jjr++++=lower
and ^cc+phrs+++=and
lower ^jjr++++=lower,
, ^zz++++=EXTRAWORD
losing ^jj+++xvbg+=losing
her ^pp3o+pp3+++=her
beauty ^nn++++=beauty;
; ^zz++++=EXTRAWORD
becoming ^vbg+++xvbg+=becoming
coarse ^jj++++=coarse,
, ^zz++++=EXTRAWORD
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vulgar ^jj++++=vulgar;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
arriving ^vbg+++xvbg+=arriving
at ^rb++++=at
that ^dt+dem+++=that
stage ^nn++++=stage
when ^wrb+who+++=when
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
no ^at++++=no
longer ^rbr++++=longer
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
source ^nn++++=source
of ^in++++=of
revenue ^nn++++=revenue,
, ^zz++++=EXTRAWORD
drifting ^jj+++xvbg+=drifting
into ^in++++=into
vile ^jj+atrb+++=vile
dens ^nns++++=dens,
, ^zz++++=EXTRAWORD
consorting ^jj+++xvbg+=consorting
with ^in++++=with
the ^ati++++=the
lowest ^jjt++++=lowest
and ^cc++++=and
most ^ql+emph+++=most
brutal ^jj+atrb+++=brutal
blackguards ^nns+++??+=blackguards,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
herself ^ppl+pp3+++=herself
dragged ^vbd+++xvbn+=dragged
often ^rb++++=often
before ^in++++=before
police ^nns++++=police-magistrates,
- ^zz++++=EXTRAWORD
magistrates ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
first ^rb++++=first
for ^in++++=for
drunkenness ^nns+nom+++=drunkenness
and ^cc++++=and
then ^rn+tm+++=then
for ^in++++=for
theft ^nn++++=theft,
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving
short ^jj+atrb+++=short
terms ^nns++++=terms
in ^in++++=in
prison ^nn++++=prison
with ^in++++=with
others ^aps++++=others
as ^in++++=as
low ^jj++++=low;
; ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night
brought ^vbd+++xvbn+=brought
shrieking ^vbg+++xvbg+=shrieking
with ^in++++=with
delirium ^nn+++??+=delirium
tremens ^nns+++??+=tremens
to ^in++++=to
the ^ati++++=the
police ^nns++++=police-station,
- ^zz++++=EXTRAWORD
station ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
bundled ^j+++xvbn+=bundled
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
hospital ^nn+nom+++=hospital,
, ^zz++++=EXTRAWORD
strapped ^j+++xvbn+=strapped
firmly ^rb++++=firmly
to ^in++++=to
an ^at++++=an
iron ^nn++++=iron
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
dying ^nvbg+++xvbg+=dying
with ^in++++=with
foul ^jj+atrb+++=foul
oaths ^nns++++=oaths
on ^rp++++=on
her ^pp3o+pp3+++=her
lips ^nns++++=lips--such
-- ^--+clp+++=EXTRAWORD
such ^abl++++=EXTRAWORD
a ^at++++=a
life ^nn++++=life
would ^md+prd+++=would
be ^vb+be+vrb++=be
infinitely ^rb++++=infinitely
worse ^jjr+pred+++=worse
than ^in++++=than
death ^nn++++=death;
; ^zz++++=EXTRAWORD
such ^abl++++=such
revenge ^nn++++=revenge
immeasurably ^rb++++=immeasurably
vaster ^nn++++=vaster
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
pistol ^nn++++=pistol.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
finally ^rb++splt++=finally
decided ^vpsv++agls+xvbnx+=decided
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
must ^md+nec+++=must
live ^vb++++=live
and ^cc+phrs+++=and
suffer ^vb++++=suffer.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
the ^ati++++=the
friend ^nn++++=friend--as
-- ^--+clp+++=EXTRAWORD
as ^in++++=EXTRAWORD
to ^in++++=to
Stockton ^np+++??+=Stockton,
, ^zz++++=EXTRAWORD
the ^ati++++=the
betrayer ^jjr++++=betrayer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sneak ^vb++++=sneak,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coward ^np++++=coward--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
die ^vb++++=die
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
