Hit ^vbd+++xvbn+=Hit
, ^zz++++=EXTRAWORD
fwhat ^nn+++??+=fwhat
are ^vb+ber+vrb++=are
ye ^pp2+pp2+++=ye
sniggerin ^nn+++??+=sniggerin'
' ^zz++++=EXTRAWORD
at ^rb++++=at?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
you ^pp2+pp2+++=you
misdoubt ^nn+++??+=misdoubt
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Devil
devil ^nn++++=EXTRAWORD
a ^at++++=a
doubt ^nn++++=doubt!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
' ^zz++++='eard
eard ^nn+++??+=EXTRAWORD
summat ^pn++++=summat
like ^in++++=like
that ^dt+dem+++=that
before ^in+strn+++=before!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney
dismissed ^vbd+++xvbn+=dismissed
the ^ati++++=the
impertinence ^nn+nom+++=impertinence
with ^in++++=with
a ^at++++=a
lofty ^np++++=lofty
wave ^nn++++=wave
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand
and ^cc++++=and
continued ^vbd+++xvbn+=continued-"An'
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++0=EXTRAWORD
the ^ati++++=the
orf ^nn+++??+=orf'cers
'cers ^nn+++??+=EXTRAWORD
av ^nn++++=av
the ^ati++++=the
rig ^nn++++=rig'mint
'mint ^vbd++be+xvbn+0=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
in ^in++++=in
thim ^nn+++??+=thim
days ^nns++++=days
_was_ ^jj+atrb++??+=_was_
orfcers ^nns+nom+++=orfcers--gran'
-- ^--+clp+++=EXTRAWORD
gran ^np++++=EXTRAWORD
' ^zz++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
a ^at++++=a
manner ^nn++++=manner
on ^in++++=on
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
way ^nn++++=way
wid ^in++++=wid
them ^pp3o+pp3+++0='em
such ^abl++++=such
as ^ql++++=as
is ^vbz+bez+aux++=is
not ^xnot++not++=not
made ^vbd+++xvbn+=made
these ^dt+dem+++=these
days ^nns++++=days--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
but ^cc++++=but
wan ^jj++++=wan--wan
-- ^--+clp+++=EXTRAWORD
wan ^jj++++=EXTRAWORD
of ^in++++0=o'
the ^ati++++=the
capt ^npt++++=capt'ns.
'ns. ^nn+++??+=EXTRAWORD
A ^at++++=A
bad ^jj+atrb+++=bad
dhrill ^nn+++??+=dhrill,
, ^zz++++=EXTRAWORD
a ^at++++=a
wake ^nn++++=wake
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
limp ^jj+atrb+++=limp
leg ^nn++++=leg--thim
-- ^--+clp+++=EXTRAWORD
thim ^nn+++??+=EXTRAWORD
three ^cd++++=three
things ^nns++++=things
are ^vb+ber+vrb++=are
the ^ati++++=the
signs ^nns++++=signs
av ^nn++++=av
a ^at++++=a
bad ^jj+atrb+++=bad
man ^nn++++=man.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
bear ^vb+vprv+++=bear
that ^tht+vcmp+++=that
in ^in++++=in
your ^pp$+pp2+++=your
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
Orth ^np+++??+=Orth'ris,
'ris, ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me
son ^nn++++=son.
. ^zz++++=EXTRAWORD
" ^zz++++="An'
and ^cc++++0=EXTRAWORD
the ^ati++++=the
Colonel ^nn++++=Colonel
av ^nn++++=av
the ^ati++++=the
rig ^nn++++=rig'mint
'mint ^vbd++be+xvbn+0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
daughter ^nn+nom+++=daughter--wan
-- ^--+clp+++=EXTRAWORD
wan ^jj+atrb+++=EXTRAWORD
av ^nn++++=av
thim ^nn+++??+=thim
lamblike ^jj++++=lamblike,
, ^zz++++=EXTRAWORD
bleatin ^nn+++??+=bleatin',
', ^nn+++??+=EXTRAWORD
pick-me-up-an ^jj+atrb+++=pick-me-up-an'-carry-me-or-I'llgurls
'-carry-me-or-i'llg ^nn+++??+=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
the ^ati++++=the
natural ^jj+atrb+++=natural
prey ^nn++++=prey
av ^nn++++=av
men ^nns++++=men
like ^in++++=like
the ^ati++++=the
Capt ^npt++++=Capt'n,
'n, ^nn+++??+=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
iverlastin ^nn+++??+=iverlastin'
' ^zz++++=EXTRAWORD
payin ^nn+++??+=payin'
' ^zz++++=EXTRAWORD
coort ^nn+++??+=coort
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
Colonel ^nn++++=Colonel
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
time ^nn++++=time
and ^cc++++0=an'
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
' ^zz++++='Kape
kape ^nn+++??+=EXTRAWORD
out ^rp+pl+++=out
av ^nn++++=av
the ^ati++++=the
brute ^jjb+atrb+++=brute's
's ^vbz+bez+vrb++0=EXTRAWORD
way ^nn++++=way,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
he ^pp3a+pp3+++=he
niver ^jjr++++=niver
had ^vb+hv+vrb++=had
the ^ati++++=the
heart ^nn++++=heart
for ^in++++=for
to ^to++++=to
send ^vbi++++=send
her ^pp$+pp3+++=her
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
throuble ^jj++++=throuble,
, ^zz++++=EXTRAWORD
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
widower ^nn++++=widower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
their ^pp$+pp3+++=their
wan ^jj+atrb+++=wan
child ^nn++++=child."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stop
stop ^vb++++=EXTRAWORD
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
know ^vbi+vprv+++=know
these ^dt+dem+++=these
things ^nns++++=things?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mulvaney ^np+++??+=Mulvaney,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
scornful ^jj++++=scornful
grunt ^jj+++xvbn+=grunt;
; ^zz++++=EXTRAWORD
" ^zz++++="bekaze
bekaze ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
turned ^vpsv++agls+xvbnx+=turned
durin ^nn+++??+=durin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
Quane ^np++++=Quane's
's ^$++++=EXTRAWORD
pleasure ^nn++++=pleasure
to ^in++++=to
a ^at++++=a
lump ^nn++++=lump
av ^nn++++=av
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
straight ^rb++++=straight
forninst ^nn+++??+=forninst
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
a ^at++++=a--a--candelabbrum
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
candelabbrum ^nn+++??+=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
pick ^vbi++++=pick
your ^pp$+pp2+++=your
cards ^nns++++=cards
out ^rp+pl+++=out
av ^nn++++=av,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
I ^pp1a+pp1+++=I
not ^xnot++not++=not
see ^vb+vprv+++=see
nor ^cc+phrs+neg++=nor
feel ^vb+vprv+++=feel?
? ^zz++++=EXTRAWORD
Av ^nn++++=Av
coorse ^nn+++??+=coorse
I ^pp1a+pp1+++=I
du ^&fw++++=du!
! ^zz++++=EXTRAWORD
Up ^rp++++=Up
my ^pp$+pp1+++=my
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
in ^in++++=in
my ^pp$+pp1+++=my
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
in ^in++++=in
the ^ati++++=the
short ^jj+atrb+++=short
hair ^nn++++=hair
av ^nn++++=av
the ^ati++++=the
neck--that ^nn+++??+=neck--that's
's ^$++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
kape ^nn+++??+=kape
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
whim ^nn+++??+=whim
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
on ^in++++=on
duty ^nn++++=duty
and ^cc++++0=an'
the ^ati++++=the
reg ^np++++=reg'lar
'lar ^nn+++??+=EXTRAWORD
wans ^nn++++=wans
are ^vb+ber+aux++=are
fixed ^vpsv++agls+xvbnx+=fixed.
. ^zz++++=EXTRAWORD
Know ^vb+vprv+++=Know!
! ^zz++++=EXTRAWORD
Take ^vb++++=Take
my ^pp$+pp1+++=my
word ^nn++++=word
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
sorr ^nn+++??+=sorr,
, ^zz++++=EXTRAWORD
ivrything ^jj+++xvbg+=ivrything
and ^cc++++0=an'
a ^at++++=a
great ^jj+atrb+++=great
dale ^nn++++=dale
more ^ql++++=more
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
in ^in++++=in
a ^at++++=a
rig ^nn++++=rig'mint;
'mint; ^nn++be+??+0=EXTRAWORD
or ^cc++++=or
fwhat ^nn+++??+=fwhat
wud ^nn+++??+=wud
be ^vb+be+vrb++=be
the ^ati++++=the
use ^nn++++=use
av ^nn++++=av
a ^at++++=a
Mess ^nn++++=Mess
Sargint ^np+++??+=Sargint,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
Sargint ^np++++=Sargint's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
wet ^jj++++=wet-nurse
- ^zz++++=EXTRAWORD
nurse ^vb++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Major ^np++++=Major's
's ^$++++=EXTRAWORD
baby ^nn++++=baby?
? ^zz++++=EXTRAWORD
To ^in++++=To
reshume ^nn+++??+=reshume.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
bad ^jj+atrb+++=bad
dhrill ^nn+++??+=dhrill
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
Capt ^npt++++=Capt'n--a
'n--a ^nn+++??+=EXTRAWORD
rotten ^jj+atrb+++=rotten
bad ^jj+atrb+++=bad
dhrill ^nn+++??+=dhrill--an'
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++0=EXTRAWORD
whin ^nn+++??+=whin
first ^rb++++=first
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
me ^pp1o+pp1+++=me
eye ^nn++++=eye
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sez ^nn+++??+=sez
to ^in++++=to
myself ^ppl+pp1+++=myself:
: ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
Militia ^np+++??+=Militia
bantam ^nn++++=bantam!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sez ^nn+++??+=sez,
, ^zz++++=EXTRAWORD
' ^zz++++='My
my ^pp$+pp1+++=EXTRAWORD
cock ^nn++++=cock
av ^nn++++=av
a ^at++++=a
Gosport ^np+++??+=Gosport
dunghill ^vb+++??+=dunghill'--'twas
'--'twas ^vbd+++xvbn+0=EXTRAWORD
from ^in++++=from
Portsmouth ^np++++=Portsmouth
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
us-- ^nn+++??+=us--'there's
'there's ^vbd+++xvbn+0=EXTRAWORD
combs ^nns+++??+=combs
to ^to++++=to
be ^vbi+vbi+aux++=be
cut ^vpsv++agls+xvbnx+=cut,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
by ^in++++=by
the ^ati++++=the
grace ^nn++++=grace
av ^nn++++=av
God ^nn++++=God,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
Terence ^np+nom+++=Terence
Mulvaney ^np+++??+=Mulvaney
will ^md+prd+++=will
cut ^vb+++xvbn+=cut
thim ^nn+++??+=thim.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
wint ^vbd+++xvbnx+=wint
menowderin ^nn+++??+=menowderin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
minanderin ^nn+++??+=minanderin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
blandandhering ^jj+atrb++xvbg+=blandandhering
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
about ^in++++=about
the ^ati++++=the
Colonel ^np++++=Colonel's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
poor ^jj++++=poor
innocint ^jj+++xvbn+=innocint,
, ^zz++++=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
Comm ^np+++??+=Comm'ssariat
'ssariat ^nn+++??+=EXTRAWORD
bullock ^nn++++=bullock
looks ^nns++++=looks
at ^rb++++=at
the ^ati++++=the
Comp ^np+++??+=Comp'ny
'ny ^nn+++??+=EXTRAWORD
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
a ^at++++=a
dhirty ^nn+++??+=dhirty
little ^ap++++=little
scrub ^nn++++=scrub
av ^nn++++=av
a ^at++++=a
black ^jj+atrb+++=black
moustache ^nn++++=moustache,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
twisted ^vbd+++xvbnx+=twisted
and ^cc+phrs+++0=an'
turned ^vbd+++xvbn+=turned
ivry ^nn++++=ivry
wurrd ^nn+++??+=wurrd
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used
as ^ql++++=as
av ^nn++++=av
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
ut ^&fw++++=ut
too ^ql++++=too
sweet ^jj++++=sweet
for ^in++++=for
to ^in++++=to
spit ^nn++++=spit
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="Eyah!
eyah ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tricky ^jj+atrb+++=tricky
man ^nn++++=man
and ^cc++++0=an'
a ^at++++=a
liar ^nn++++=liar
by ^in++++=by
natur ^&fw++++=natur'.
'. ^nn+++??+=EXTRAWORD
Some ^dti++++=Some
are ^vb+ber+aux++=are
born ^vpsv++agls+xvbnx+=born
so ^pn++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
wan ^jj+pred+++=wan.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
over ^in++++=over
his ^pp$+pp3+++=his
belt ^nn++++=belt
in ^in++++=in
money ^nn++++=money
borrowed ^vbd+++xvbn+=borrowed
from ^in++++=from
natives ^nns++++=natives;
; ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
a ^at++++=a
lot ^nn++++=lot
av ^nn++++=av
other ^ap++++=other
matthers ^nns+nom+++=matthers
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
regard ^nn++++=regard
for ^in++++=for
your ^pp$+pp2+++=your
presince ^nn+++??+=presince,
, ^zz++++=EXTRAWORD
sorr ^nn+++??+=sorr,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
oblitherate ^nn+nom+++=oblitherate.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
av ^nn++++=av
fwhat ^nn+++??+=fwhat
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Colonel ^nn++++=Colonel
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
wud ^nn+++??+=wud
have ^vb+hv+vrb++=have
none ^rb++++=none
av ^nn++++=av
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
thinkin ^nn+++??+=thinkin',
', ^nn+++??+=EXTRAWORD
by ^in++++=by
fwhat ^nn+++??+=fwhat
happened ^vbd+++xvbn+=happened
aftherward ^rb+cnj+++=aftherward,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Capt ^npt++++=Capt'in
'in ^nn+++??+=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
" ^zz++++="Wan
wan ^jj+atrb+++=EXTRAWORD
day ^nn++++=day,
, ^zz++++=EXTRAWORD
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
mortial ^jj++++=mortial
idle ^jj++++=idle,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
they ^pp3a+pp3+++=they
wud ^vb+++??+=wud
never ^rb++++=never
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
thried ^jj+++xvbn+=thried
ut ^&fw++++=ut,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rig ^nn++++=rig'mint
'mint ^vbd++be+xvbn+0=EXTRAWORD
gave ^vbd+++xvbn+=gave
amsure ^nn+++??+=amsure
theatricals--orf ^nn+++??+=theatricals--orf'cers
'cers ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
orfcers ^nns+nom+++=orfcers'
' ^zz++++=EXTRAWORD
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
likes ^nns++++=likes
time ^nn++++=time
and ^cc++++0=an'
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
sorr ^nn+++??+=sorr,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
poor ^jj+atrb+++=poor
fun ^nn++++=fun
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
for ^in++++=for
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
row ^nn++++=row
and ^cc++++0=an'
stamp ^nn++++=stamp
wid ^in++++=wid
their ^pp$+pp3+++=their
boots ^nns++++=boots
for ^in++++=for
the ^ati++++=the
honor ^nn++++=honor
av ^nn++++=av
the ^ati++++=the
rig ^nn++++=rig'mint.
'mint. ^nn++be+??+0=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
off ^in+pl+++=off
for ^in++++=for
to ^in++++=to
shif ^nn+++??+=shif'
' ^zz++++=EXTRAWORD
the ^ati++++=the
scenes ^nns++++=scenes,
, ^zz++++=EXTRAWORD
haulin ^nn+++??+=haulin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
this ^dt+pdem+++=this
and ^cc++++0=an'
draggin ^nn+++??+=draggin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Light ^jj+atrb+++=Light
work ^nn++++=work
ut ^&fw++++=ut
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
lashins ^nns+++??+=lashins
av ^nn++++=av
beer ^nn++++=beer
and ^cc++++=and
the ^ati++++=the
gurl ^nn+++??+=gurl
that ^tht+rel+++=that
dhressed ^jj+++xvbn+=dhressed
the ^ati++++=the
orf ^nn+++??+=orf'cers'
'cers' ^nn+++??+=EXTRAWORD
ladies ^nns++++=ladies--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died
in ^in++++=in
Aggra ^np+++??+=Aggra
twelve ^cd++++=twelve
years ^nns++++=years
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
my ^pp$+pp1+++=my
tongue ^nn++++=tongue's
's ^$++++=EXTRAWORD
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
betther ^jjr+atrb+++=betther
av ^nn++++=av
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+vrb++=was
actin ^nn+++??+=actin'
' ^zz++++=EXTRAWORD
a ^at++++=a
play ^nn++++=play
thing ^nn++++=thing
called ^vbd+++xvbn+=called
_sweethearts_ ^nn+++??+=_Sweethearts_,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
heard ^vbd+vprv++xvbn+=heard
av ^nn++++=av,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
Colonel ^np++++=Colonel's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
maid ^nn++++=maid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Capt ^npt++++=Capt'n
'n ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy
called ^vbd+++xvbn+=called
Broom ^np+++??+=Broom--Spread
-- ^--+clp+++=EXTRAWORD
spread ^j+++xvbn+=EXTRAWORD
Broom ^np+++??+=Broom
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
name ^nn++++=name
in ^in++++=in
the ^ati++++=the
play ^nn++++=play.
. ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw--ut
-- ^--+clp+++=EXTRAWORD
ut ^&fw++++=EXTRAWORD
come ^vprf+++xvbn+=come
out ^rb+phrv+++=out
in ^in+ppvb+++=in
the ^ati++++=the
actin ^nn+++??+=actin'--fwhat
'--fwhat ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
niver ^jjr++++=niver
saw ^vbd+vprv++xvbn+=saw
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
thim ^nn+++??+=thim
two ^cd++++=two,
, ^zz++++=EXTRAWORD
a ^at++++=a-whishperin'
- ^zz++++=EXTRAWORD
whishperin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
scenes ^nns++++=scenes
I ^pp1a+pp1+++=I
shifted ^vbd+++xvbnx+=shifted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
some ^dti++++=some
av ^nn++++=av
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
death ^nn++++=death--blue
-- ^--+clp+++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
death ^nn++++=death
and ^cc++++0=an'
ivy ^np++++=ivy--on
-- ^--+clp+++=EXTRAWORD
on ^in++++=EXTRAWORD
the ^ati++++=the
comb-cuttin ^nn+++??+=comb-cuttin'.
'. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
iverlastin ^nn+++??+=iverlastin'ly
'ly ^jj++++0=EXTRAWORD
oppressing ^jj+++xvbg+=oppressing
her ^pp3o+pp3+++=her
to ^to++++=to
fall ^vbi++++=fall
in ^in++++=in
wid ^in++++=wid
some ^dti++++=some
sneakin ^nn+++??+=sneakin'
' ^zz++++=EXTRAWORD
schame ^nn+++??+=schame
av ^nn++++=av
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
thryin ^nn+++??+=thryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
stand ^vbi++++=stand
out ^rp+pl+++=out
against ^in++++=against
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
