( ^zz++++=(1854)SKETCH
these ^dt+pdem+++=these
last ^rb+cnj+++=last,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
conflicting ^jj+atrb+++=conflicting
currents ^nns++++=currents
which ^whp+rel+obj++=which
eddythroughout ^nn+++??+=eddythroughout
nearly ^rb+down+++=nearly
all ^rb++++=all
the ^ati++++=the
wide ^jj+atrb+++=wide
channels ^nns++++=channels
of ^in++++=of
the ^ati++++=the
entire ^jjb+atrb+++=entire
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Thecapriciousness ^nns+nom++??+=Thecapriciousness
of ^in++++=of
the ^ati++++=the
tides ^nns++++=tides
of ^in++++=of
air ^nn++++=air
sympathizes ^vbz++++=sympathizes
with ^in++++=with
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
sea.nowhere ^nn+++??+=sea.Nowhere
is ^vbz+bez+vrb++=is
the ^ati++++=the
wind ^nn++++=wind
so ^ql+emph+++=so
light ^jj++++=light,
, ^zz++++=EXTRAWORD
baffling ^jj++++=baffling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
way ^nn++++=way
unreliable ^jj++++=unreliable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sogiven ^vb+++xvbn+=sogiven
to ^in++++=to
perplexing ^jj+atrb+++=perplexing
calms ^nns++++=calms,
, ^zz++++=EXTRAWORD
as ^ql++++=as
at ^rb++++=at
the ^ati++++=the
Encantadas ^np+++??+=Encantadas.
. ^zz++++=EXTRAWORD
Nigh ^rb++++=Nigh
a ^at++++=a
month ^nn++++=month
has ^vbz+hvz+vrb++=has
beenspent ^jj++++=beenspent
by ^in++++=by
a ^at++++=a
ship ^nn++++=ship
going ^vwbg+++xvbg+=going
from ^in++++=from
one ^cd1++++=one
isle ^nn++++=isle
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
but ^cc++++=but
ninety ^cd++++=ninety
milesbetween ^jj+++xvbn+=milesbetween;
; ^zz++++=EXTRAWORD
for ^in++++=for
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
force ^nn++++=force
of ^in++++=of
the ^ati++++=the
current ^nn++++=current,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boats ^nns++++=boats
employed ^vbd+++xvbn+=employed
totow ^nn+++??+=totow
barely ^rb+down+++=barely
suffice ^vb++++=suffice
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
craft ^nn++++=craft
from ^in++++=from
sweeping ^nn++++=sweeping
upon ^in++++=upon
the ^ati++++=the
cliffs ^nns++++=cliffs,
, ^zz++++=EXTRAWORD
butdo ^nn+++??+=butdo
nothing ^pn++++=nothing
towards ^in++++=towards
accelerating ^xvbg+++xvbg+=accelerating
her ^pp$+pp3+++=her
voyage ^nn++++=voyage.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossiblefor ^nn++++=impossiblefor
a ^at++++=a
vessel ^nn++++=vessel
from ^in++++=from
afar ^rb++++=afar
to ^to++++=to
fetch ^vbi++++=fetch
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
group ^nn++++=group
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
largeallowances ^nns+nom++??+=largeallowances
for ^in++++=for
prospective ^jj+atrb+++=prospective
lee ^np++++=lee-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
ere ^nn+++??+=ere
its ^pp$+it+++=its
coming ^jj+atrb++xvbg+=coming
insight ^nn++++=insight.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
at ^rb++++=at
other ^ap++++=other
times ^nns++++=times,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
mysterious ^jj+atrb+++=mysterious
indraft ^nn+++??+=indraft,
, ^zz++++=EXTRAWORD
whichirresistibly ^jj++++=whichirresistibly
draws ^vbz++++=draws
a ^at++++=a
passing ^jj+atrb++xvbg+=passing
vessel ^nn++++=vessel
among ^in++++=among
the ^ati++++=the
isles ^npls++++=isles,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
bound ^vbd+++xvbn+=bound
tothem ^nn+++??+=tothem.
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
period ^nn++++=period,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
some ^dti++++=some
extent ^nn++++=extent
at ^in++++=at
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day,
, ^zz++++=EXTRAWORD
large ^jj++++=large
fleetsof ^jj+++??+=fleetsof
whalemen ^jj+++xvbn+=whalemen
cruised ^jj+++xvbn+=cruised
for ^in++++=for
spermaceti ^nn+++??+=spermaceti
upon ^in++++=upon
what ^wdt+who+++=what
some ^dti++++=some
seamen ^nns++++=seamen
call ^vb++++=call
theenchanted ^vbd+++xvbn+=theEnchanted
Ground ^nn++++=Ground.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
due ^jj+atrb+++=due
place ^nn++++=place
will ^md+prd+++=will
be ^vb+be+aux++=be
described ^vpsv++agls+xvbnx+=described,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
offthe ^nn+++??+=offthe
great ^jj+atrb+++=great
outer ^jjb++++=outer
isle ^npl++++=isle
of ^in++++=of
Albemarle ^np+++??+=Albemarle,
, ^zz++++=EXTRAWORD
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
intricacies ^nns+nom+++=intricacies
of ^in++++=of
thesmaller ^jjr++++=thesmaller
isles ^npls++++=isles,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
plenty ^nn++++=plenty
of ^in++++=of
sea ^nn++++=sea-room;
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hence ^rb+cnj+++=hence,
, ^zz++++=EXTRAWORD
to ^in++++=to
thatvicinity ^nn+nom+++=thatvicinity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
above ^in+pl+++=above
remarks ^vbz+vpub+++=remarks
do ^vb+do+aux++=do
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
apply ^vb++++=apply;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
even ^rb++++=even
therethe ^nn+++??+=therethe
current ^jj++++=current
runs ^vbz++++=runs
at ^rb++++=at
times ^nns++++=times
with ^in++++=with
singular ^jj+atrb+++=singular
force ^nn++++=force,
, ^zz++++=EXTRAWORD
shifting ^jj+++xvbg+=shifting,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
with ^in++++=with
assingular ^nn+++??+=assingular
a ^at++++=a
caprice ^nn+++??+=caprice.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
seasons ^nns++++=seasons
when ^wrb+who+++=when
currents ^nns++++=currents
quite ^rb++++=quite
unaccountable ^jj++++=unaccountable
prevail ^vb++++=prevail
fora ^nn+++??+=fora
great ^jj+atrb+++=great
distance ^nn+nom+++=distance
round ^in++++=round
about ^in++++=about
the ^ati++++=the
total ^jj+atrb+++=total
group ^nn++++=group,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
strong ^jj+atrb+++=strong
andirregular ^nn+++??+=andirregular
as ^in++++=as
to ^in++++=to
change ^nn++++=change
a ^at++++=a
vessel ^nn++++=vessel's
's ^$++++=EXTRAWORD
course ^nn++++=course
against ^in++++=against
the ^ati++++=the
helm ^np++++=helm,
, ^zz++++=EXTRAWORD
thoughsailing ^nn+nom+++=thoughsailing
at ^in++++=at
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
miles ^nns++++=miles
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn+nom+++=difference
inthe ^nn+++??+=inthe
reckonings ^nns+++??+=reckonings
of ^in++++=of
navigators ^nns++++=navigators,
, ^zz++++=EXTRAWORD
produced ^xvbn+++xvbn+=produced
by ^in++++=by
these ^dt+dem+++=these
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
thelight ^nn+++??+=thelight
and ^cc++++=and
variable ^jj+atrb+++=variable
winds ^nns++++=winds,
, ^zz++++=EXTRAWORD
long ^rb++++=long
nourished ^vprf+++xvbn+=nourished
a ^at++++=a
persuasion ^nn++++=persuasion,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
thereexisted ^vprf+++xvbn+=thereexisted
two ^cd++++=two
distinct ^jj+atrb+++=distinct
clusters ^nns+nom+++=clusters
of ^in++++=of
isles ^npls++++=isles
in ^in++++=in
the ^ati++++=the
parallel ^nn++++=parallel
of ^in++++=of
theencantadas ^nns+++??+=theEncantadas,
, ^zz++++=EXTRAWORD
about ^in++++=about
a ^at++++=a
hundred ^cd++++=hundred
leagues ^nns++++=leagues
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
theirearlier ^jjr+atrb+++=theirearlier
visitors ^nns++++=visitors,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Buccaneers ^nns+nom++??+=Buccaneers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
late ^jj++++=late
as ^ql++++=as
1750 ^cd+date+++=1750,
, ^zz++++=EXTRAWORD
the ^ati++++=the
charts ^nns++++=charts
ofthat ^jj+atrb++??+=ofthat
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Pacific ^nn++++=Pacific
accorded ^vbd+++xvbn+=accorded
with ^in++++=with
the ^ati++++=the
strange ^jj+atrb+++=strange
delusion ^nn++++=delusion.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thisapparent ^jj+atrb+++=thisapparent
fleetingness ^nns+nom+++=fleetingness
and ^cc++++=and
unreality ^nn+nom+++=unreality
of ^in++++=of
the ^ati++++=the
locality ^nn+nom+++=locality
of ^in++++=of
the ^ati++++=the
isles ^npls++++=isles
wasmost ^nn+++??+=wasmost
probably ^rb++++=probably
one ^cd1++++=one
reason ^nn++++=reason
for ^in++++=for
the ^ati++++=the
Spaniards ^nn++++=Spaniards
calling ^vwbg+++xvbg+=calling
them ^pp3o+pp3+++=them
the ^ati++++=the
Encantada,or ^np+++??+=Encantada,or
Enchanted ^vbd+++xvbn+=Enchanted
Group ^nn++++=Group.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
not ^xnot++not++=not
uninfluenced ^vpsv++by+xvbn+=uninfluenced
by ^in++++=by
their ^pp$+pp3+++=their
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
now ^rn+tm+++=now
confessedly ^jj+atrb+++=confessedly
exist,the ^nn+++??+=exist,the
modern ^jj++++=modern
voyager ^jjr++++=voyager
will ^md+prd+++=will
be ^vb+be+aux++=be
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
fancy ^vbi+vprv+++=fancy
that ^tht+vcmp+++=that
the ^ati++++=the
bestowal ^nn+nom+++=bestowal
of ^in++++=of
thisname ^nn+++??+=thisname
might ^md+pos+++=might
have ^vb+hv+vrb++=have
in ^in++++=in
part ^nn++++=part
originated ^vbd+++xvbn+=originated
in ^cs+sub+++=in
that ^cs"++++=that
air ^nn++++=air
of ^in++++=of
spell ^nn++++=spell-bound
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
desertnesswhich ^nn+++??+=desertnesswhich
so ^ql++++=so
significantly ^rb++++=significantly
invests ^vbz+++??+=invests
the ^ati++++=the
isles ^npls++++=isles.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
can ^md+pos+++=can
better ^jjr++++=better
suggest ^vb+vpub+++=suggest
theaspect ^nn+++??+=theaspect
of ^in++++=of
once ^rb+tm+++=once
living ^jj+atrb++xvbg+=living
things ^nns++++=things
malignly ^rb++++=malignly
crumbled ^jj++++=crumbled
from ^in++++=from
ruddiness ^nns+nom+++=ruddiness
intoashes ^nns+++??+=intoashes.
. ^zz++++=EXTRAWORD
Apples ^nns++++=Apples
of ^in++++=of
Sodom ^np++++=Sodom,
, ^zz++++=EXTRAWORD
after ^in++++=after
touching ^xvbg+++xvbg+=touching,
, ^zz++++=EXTRAWORD
seem ^vb+seem+++=seem
these ^dt+dem+++=these
isles ^npls++++=isles.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
wavering ^jj++++=wavering
their ^pp$+pp3+++=their
place ^nn++++=place
may ^md+pos+++=may
seem ^vb+seem+++=seem
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
the ^ati++++=the
currents ^nns++++=currents,
, ^zz++++=EXTRAWORD
theythemselves ^nns+++??+=theythemselves,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
to ^to++++=to
one ^pn++++=one
upon ^in++++=upon
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
appear ^vb+seem+++=appear
invariably ^rb++++=invariably
the ^ati++++=the
same:fixed ^jj+++xvbn+=same:fixed,
, ^zz++++=EXTRAWORD
cast ^j+++xvbn+=cast,
, ^zz++++=EXTRAWORD
glued ^xvbn+++xvbn+=glued
into ^in++++=into
the ^ati++++=the
very ^ap+amp+++=very
body ^nn++++=body
of ^in++++=of
cadaverous ^jj+atrb+++=cadaverous
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
would ^md+prd+++=would
the ^ati++++=the
appellation ^nn+nom+++=appellation,
, ^zz++++=EXTRAWORD
enchanted ^j+++xvbn+=enchanted,
, ^zz++++=EXTRAWORD
seem ^vb+seem+++=seem
misapplied ^vbd+++xvbn+=misapplied
in ^in++++=in
still ^rb+atrb+++=still
anothersense ^nn+++??+=anothersense.
. ^zz++++=EXTRAWORD
For ^in++++=For
concerning ^in++++=concerning
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
reptile ^nn+++??+=reptile
inhabitant ^nn+nom+++=inhabitant
of ^in++++=of
thesewilds ^nns+++??+=thesewilds--whose
-- ^--+clp+++=EXTRAWORD
whose ^whp+who+++=EXTRAWORD
presence ^nn+nom+++=presence
gives ^vbz++++=gives
the ^ati++++=the
group ^nn++++=group
its ^pp$+it+++=its
second ^od++++=second
Spanish ^jj+atrb+++=Spanish
name,gallipagos ^nns+++??+=name,Gallipagos--concerning
-- ^--+clp+++=EXTRAWORD
concerning ^in++++=EXTRAWORD
the ^ati++++=the
tortoises ^nn++++=tortoises
found ^vbd+vprv++xvbn+=found
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
mariners ^nns+nom+++=mariners
have ^vb+hv+aux++=have
longcherished ^vprf+++xvbnx+=longcherished
a ^at++++=a
superstition ^nn+nom+++=superstition,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
more ^rbr++++=more
frightful ^jj++++=frightful
than ^in++++=than
grotesque ^nn++++=grotesque.
. ^zz++++=EXTRAWORD
Theyearnestly ^np+++??+=Theyearnestly
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
all ^abn++++=all
wicked ^jj+atrb+++=wicked
sea ^nn++++=sea-officers,
- ^zz++++=EXTRAWORD
officers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
more ^ql++++=more
especiallycommodores ^nns+++??+=especiallycommodores
and ^cc++++=and
captains ^nns++++=captains,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
at ^in++++=at
death ^nn++++=death
( ^zz++++=(and,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
death)transformed ^nn++++=death)transformed
into ^in++++=into
tortoises ^vbz++++=tortoises;
; ^zz++++=EXTRAWORD
thenceforth ^nn+++??+=thenceforth
dwelling ^vwbg+++xvbg+=dwelling
upon ^in++++=upon
these ^dt+dem+++=these
hotaridities ^nns+nom+++=hotaridities,
, ^zz++++=EXTRAWORD
sole ^jjb+atrb+++=sole
solitary ^jj+atrb+++=solitary
lords ^npt++++=lords
of ^in++++=of
Asphaltum ^np+++??+=Asphaltum.
. ^zz++++=EXTRAWORD
Doubtless ^rb+cnj+++=Doubtless,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
quaintly ^jj++++=quaintly
dolorous ^jj++++=dolorous
a ^at++++=a
thought ^nn+++xvbn+=thought
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
inspired ^vpsv++by+xvbnx+=inspired
by ^in++++=by
thewoe ^nn+++??+=thewoe-begone
- ^zz++++=EXTRAWORD
begone ^nn+++??+=EXTRAWORD
landscape ^nn++++=landscape
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
particularly ^rb+cnj+++=particularly,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
by ^in++++=by
thetortoises ^nn++++=thetortoises.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
apart ^in++++=apart
from ^in"++++=from
their ^pp$+pp3+++=their
strictly ^rb++++=strictly
physical ^jj+atrb+++=physical
features ^nns++++=features,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
issomething ^nvbg+++xvbg+=issomething
strangely ^rb++++=strangely
self ^nn++++=self-condemned
- ^zz++++=EXTRAWORD
condemned ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
these ^dt+dem+++=these
creatures.lasting ^jj+atrb++xvbg+=creatures.Lasting
sorrow ^nn++++=sorrow
and ^cc++++=and
penal ^jj+atrb+++=penal
hopelessness ^nns+nom+++=hopelessness
are ^vb+ber+vrb++=are
in ^in++++=in
no ^at++++=no
animal ^nn++++=animal
form ^nn++++=form
sosuppliantly ^jj++++=sosuppliantly
expressed ^jj+++xvbn+=expressed
as ^in++++=as
in ^in"++++=in
theirs ^pp$$++++=theirs;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
their ^pp$+pp3+++=their
wonderfullongevity ^nn+nom+++=wonderfullongevity
does ^vbz+doz+aux++=does
not ^xnot++not++=not
fail ^vb++++=fail
to ^to+vcmp+++=to
enhance ^nn+nom+++=enhance
the ^ati++++=the
impression ^nn++++=impression.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
even ^rb++++=even
at ^rb++++=at
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
meriting ^xvbg+++xvbg+=meriting
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
absurdly ^rb++++=absurdly
believing ^vbg+vprv++xvbg+=believing
inenchantments ^nns+nom+++=inenchantments,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
I ^pp1a+pp1+++=I
restrain ^vb++++=restrain
the ^ati++++=the
admission ^nn++++=admission
that ^tht+rel+++=that
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
even ^rb++++=even
now,when ^vwbn+++xvbn+=now,when
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
crowded ^jj+++xvbn+=crowded
city ^npl++++=city
to ^to++++=to
wander ^vbi++++=wander
out ^rp+pl+++=out
July ^nr++++=July
and ^cc++++=and
August ^nr++++=August
among ^in++++=among
theadirondack ^nn+++??+=theAdirondack
Mountains ^npl++++=Mountains,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
influences ^nns+nom+++=influences
of ^in++++=of
towns ^nns++++=towns
andproportionally ^rb++++=andproportionally
nigh ^rb++++=nigh
to ^in++++=to
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
ones ^pn++++=ones
of ^in++++=of
nature ^nn++++=nature;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
at ^rb++++=at
such ^abl++++=such
timesi ^nn+++??+=timesI
sit ^vb++++=sit
me ^pp1o+pp1+++=me
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
mossy ^jj+atrb+++=mossy
head ^nn++++=head
of ^in++++=of
some ^dti++++=some
deep ^jj++++=deep-wooded
- ^zz++++=EXTRAWORD
wooded ^jj+atrb+++=EXTRAWORD
gorge ^nn+++??+=gorge,
, ^zz++++=EXTRAWORD
surrounded ^jj+atrb++xvbn+=surrounded
byprostrate ^nn+nom+++=byprostrate
trunks ^nns++++=trunks
of ^in++++=of
blasted ^vbd+++xvbn+=blasted
pines ^nns++++=pines
and ^cc++++=and
recall ^vb+vprv+++=recall,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
otherand ^nn+++??+=otherand
far ^rb+pl+++=far-distant
- ^zz++++=EXTRAWORD
distant ^jj+atrb+++=EXTRAWORD
rovings ^nns+++??+=rovings
in ^in++++=in
the ^ati++++=the
baked ^jj+atrb++xvbn+=baked
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
charmed ^jj+++xvbn+=charmed
isles ^npls++++=isles;
; ^zz++++=EXTRAWORD
andremember ^jjr++++=andremember
the ^ati++++=the
sudden ^jj+atrb+++=sudden
glimpses ^nns++++=glimpses
of ^in++++=of
dusky ^nn+++??+=dusky
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^jj++++=long
languid ^jj++++=languid
necksprotruded ^jj+++xvbn+=necksprotruded
from ^in++++=from
the ^ati++++=the
leafless ^jj+atrb+++=leafless
thickets ^nns+++??+=thickets;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
again ^rb+tm+++=again
have ^vb+hv+vrb++=have
beheld ^jj+atrb++??+=beheld
thevitreous ^jj+atrb+++=thevitreous
inland ^jjb+atrb+++=inland
rocks ^nns++++=rocks
worn ^vbd+++xvbn+=worn
down ^rb+phrv+++=down
and ^cc++++=and
grooved ^vpsv++agls+xvbn+=grooved
into ^in++++=into
deep ^jj+atrb+++=deep
ruts ^nns++++=ruts
by ^in++++=by
ages ^nns++++=ages
andages ^nns+nom+++=andages
of ^in++++=of
the ^ati++++=the
slow ^jj+atrb+++=slow
draggings ^nns+++??+=draggings
of ^in++++=of
tortoises ^nn++++=tortoises
in ^in++++=in
quest ^in"++++=quest
of ^in"++++=of
pools ^nns++++=pools
of ^in++++=of
scantywater ^jjr++++=scantywater;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
hardly ^rb+down+splt++=hardly
resist ^vb++++=resist
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
in ^in++++=in
my ^pp$+pp1+++=my
time ^nn++++=time
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
indeedslept ^vprf+++xvbnx+=indeedslept
upon ^in++++=upon
evilly ^nn++++=evilly
enchanted ^vbd+++xvbn+=enchanted
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
such ^abl++++=such
is ^vbz+bez+vrb++=is
the ^ati++++=the
vividness ^nns+nom+++=vividness
of ^in++++=of
my ^pp$+pp1+++=my
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
magic ^nn++++=magic
of ^in++++=of
my ^pp$+pp1+++=my
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
thati ^nn+++??+=thatI
know ^vb+vprv+++=know
not ^xnot++not++=not
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
the ^ati++++=the
occasional ^jj+atrb+++=occasional
victim ^nn++++=victim
of ^in++++=of
optical ^jj++++=optical
delusionconcerning ^jj+++xvbg+=delusionconcerning
the ^ati++++=the
Gallipagos ^np+++??+=Gallipagos.
. ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
often ^rb++++=often
in ^in++++=in
scenes ^nns++++=scenes
of ^in++++=of
social ^jj+atrb+++=social
merriment ^nn+nom+++=merriment,
, ^zz++++=EXTRAWORD
andespecially ^rb++++=andespecially
at ^rb++++=at
revels ^nns++++=revels
held ^vwbn+vprv++xvbn+=held
by ^in++++=by
candle ^nn++++=candle-light
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
in ^in++++=in
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
mansions ^nns++++=mansions,
, ^zz++++=EXTRAWORD
sothat ^nn+++??+=sothat
shadows ^nps++++=shadows
are ^vb+ber+aux++=are
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
the ^ati++++=the
further ^jjb+atrb+++=further
recesses ^nns+nom+++=recesses
of ^in++++=of
an ^at++++=an
angular ^jj+atrb+++=angular
andspacious ^jj+atrb+++=andspacious
room ^nn++++=room,
, ^zz++++=EXTRAWORD
making ^jj+++xvbg+=making
them ^pp3o+pp3+++=them
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
a ^at++++=a
look ^nn++++=look
of ^in++++=of
haunted ^jj+atrb++xvbn+=haunted
undergrowth ^nn++++=undergrowth
oflonely ^jj+atrb+++=oflonely
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
drawn ^vprf+++xvbnx+=drawn
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
my ^pp$+pp1+++=my
comrades ^nns++++=comrades
by ^in++++=by
my ^pp$+pp1+++=my
fixed ^vbd+++xvbn+=fixed
gazeand ^nn+++??+=gazeand
sudden ^jj+atrb+++=sudden
change ^nn++++=change
of ^in++++=of
air ^nn++++=air,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
see ^vbi+vprv+++=see,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
emerging ^vbg+++xvbg+=emerging
fromthose ^jj+atrb++??+=fromthose
imagined ^jj+atrb++xvbn+=imagined
solitudes ^nns+++??+=solitudes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heavily ^rb++++=heavily
crawling ^jj+++xvbg+=crawling
along ^in++++=along
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
theghost ^nn+++??+=theghost
of ^in++++=of
a ^at++++=a
gigantic ^nn++++=gigantic
tortoise ^vb++++=tortoise,
, ^zz++++=EXTRAWORD
with ^in++++=with
" ^zz++++="Memento
