One ^pn++++=One
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Capt ^npt++++=Capt.
. ^zz++++=EXTRAWORD
Kidd ^np+++??+=Kidd,
, ^zz++++=EXTRAWORD
Sam ^nn++++=Sam?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
officer ^nn++++=officer
in ^in++++=in
the ^ati++++=the
British ^jj+atrb+++=British
navy ^nn++++=navy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
bein ^vb+++??+=bein'
' ^zz++++=EXTRAWORD
a ^at++++=a
pirate ^nn++++=pirate:
: ^zz++++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
take ^vb++++=take
ships ^nns++++=ships
and ^cc++++=and
sink ^nn++++=sink
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
murder ^nn++++=murder
the ^ati++++=the
folks ^nns++++=folks;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
they ^pp3a+pp3+++=they
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
no ^at++++=no
end ^nn++++=end
of ^in++++0=o'
money, ^nn+++??+=money,--gold
-- ^--+clp+++=EXTRAWORD
gold ^nn++++=EXTRAWORD
and ^cc++++=and
silver ^nn++++=silver
and ^cc++++=and
precious ^jj+atrb+++=precious
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
as ^ql++++=as
many ^ap++++=many
as ^in++++=as
the ^ati++++=the
wise ^jj+atrb+++=wise
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
East ^np+pl+++=East.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
good ^jj++++=good
did ^vbd+dod+aux++=did
it ^pp3+it+++=it
all ^rb++++=all
do ^vb+do+vrb++=do
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
use ^vb++++=use
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dar's ^nns+++??+=dar'sn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
bury ^vb++++=bury
it ^pp3+it+++=it
in ^in++++=in
spots ^nn++++=spots
round ^in++++=round
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
awfullest ^jjt+atrb+++=awfullest
heathen ^jj+atrb+++=heathen
way ^nn++++=way
ye ^pp2+pp2+++=ye
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
allers ^nn++++=allers
used ^md"++pmd"++=used
to ^to++++=to
kill ^vb++++=kill
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
men ^nns++++=men
or ^cc++++=or
women ^nns++++=women
or ^cc++++=or
children ^nns++++=children
of ^in++++=of
his ^pp$+pp3+++=his
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bury ^vb++++=bury
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
their ^pp$+pp3+++=their
sperits ^nns+++??+=sperits
might ^md+pos+++=might
keep ^vb++++=keep
watch ^vb++++=watch
on ^in++++=on
it ^pp3+it+++=it
ef ^nn+++??+=ef
anybody ^pn++++=anybody
was ^vbd+bedz+aux++=was
to ^to++++=to
dig ^vbi++++=dig
arter ^jjr++++=arter
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
' ^zz++++='are
are ^vb+ber+aux++=EXTRAWORD
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
tried ^vpsv++agls+xvbnx+=tried
and ^cc+phrs+++=and
tried ^vbd+++xvbn+=tried
and ^cc+phrs+++=and
tried ^vbd+++xvbn+=tried,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
man ^nn++++=man
nor ^cc++neg++=nor
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
son ^nn++++=son
on ^in++++=on
them ^pp3o+pp3+++0='em
ever ^rb++++=ever
got ^vbd+++xvbn+=got
a ^at++++=a
cent ^nnu"++++=cent
that ^tht+rel+subj++=that
dug ^vbd+++xvbn+=dug.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twas
was ^vbd+bedz+aux++=EXTRAWORD
tried ^vpsv++agls+xvbnx+=tried
here ^rn+pl+++=here'n
'n ^jj+++??+0=EXTRAWORD
Oldtown ^np+++??+=Oldtown;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
come ^vprf+++xvbn+=come
pretty ^rb++++=pretty
nigh ^rb++++=nigh
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
gin ^nn++++=gin
them ^pp3o+pp3+++0='em
the ^ati++++=the
slip ^nn++++=slip.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
_it ^nn+++??+=_it's
's ^$++++=EXTRAWORD
the ^ati++++=the
Devil ^np++++=Devil's
's ^$++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
holds ^vbz+vprv+++=holds
a ^at++++=a
pretty ^rb++++=pretty
tight ^jj+atrb+++=tight
grip ^nn++++=grip
o ^zz++++=on't_."
n't_ ^vbd+++xvbn+0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
about ^in++++=about
digging ^nn++++=digging
for ^in++++=for
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
_you_ ^nn+++??+=_you_
do ^vb+do+vrb++=do
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
_you_ ^nn+++??+=_you_
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+whq++=why
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
get ^vb++++=get
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
both ^abx++++=both
asked ^jj+++xvbn+=asked
eagerly ^rb++++=eagerly
and ^cc++++=and
in ^in++++=in
one ^cd1++++=one
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
questions ^nns+nom+++=questions
tumbles ^nns+++??+=tumbles
over ^in++++=over
each ^dt++++=each
other ^ap++++=other
thick ^jj++++=thick
as ^ql++++=as
martins ^np++++=martins
out ^rp+pl+++=out
of ^in++++0=o'
a ^at++++=a
martin ^np++++=martin-box.
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
jest ^rb++++=jest
be ^vb+be+vrb++=be
moderate ^jj+pred+++=moderate
and ^cc++++=and
let ^vb+++xvbn+=let
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
beginnin ^nn+++??+=beginnin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
railly ^rb++++=railly
have ^vb+hv+vrb++=have
no ^at++++=no
hand ^nn++++=hand
i ^pp1a+pp1+++=in't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
know ^vb+vprv+++=know-in'
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
' ^zz++++='t,
t ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
to ^to++++=to
most ^ql+emph+++=most
things ^nns++++=things
that ^tht+rel+subj++=that
goes ^vbz++++=goes
on ^in++++=on
round ^in++++=round
here ^rn+pl+++=here;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
conscience ^nn+nom+++=conscience
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
railly ^rb++++=railly
a ^at++++=a
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
start ^vb++++=start
on ^in++++=on
no ^at++++=no
sich ^&fw++++=sich
undertakin ^nn+++??+=undertakin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
that ^dt+dem+++=that
fust ^nn+++??+=fust
sot ^nn+++??+=sot
the ^ati++++=the
thing ^nn++++=thing
a ^at++++=a
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
old ^jj+atrb+++=old
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
used ^md"++pmd"++=used
to ^to++++=to
live ^vb++++=live
up ^rp++++=up
in ^cs+sub+++=in
that ^cs"++++=that
little ^jj+atrb+++=little
tumble ^nn++++=tumble-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
shed ^vpsv++by+xvbn+=shed
by ^in++++=by
the ^ati++++=the
cranberry ^nn++++=cranberry-pond
- ^zz++++=EXTRAWORD
pond ^nn++++=EXTRAWORD
up ^rp++++=up
beyond ^in++++=beyond
the ^ati++++=the
spring ^vb++++=spring
pastur ^nn+++??+=pastur'.
'. ^nn+++??+=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^at++++=a
putty ^nn++++=putty
bad ^jj+atrb+++=bad
name ^nn++++=name,
, ^zz++++=EXTRAWORD
them ^pp3o+pp3+++=them
Hokums ^np+++??+=Hokums.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
a ^at++++=a
livin ^nn+++??+=livin'
' ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
knew ^vbd+vprv++xvbn+=knew;
; ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
pay ^vbi++++=pay
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
raisin ^nn+++??+=raisin'
' ^zz++++=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
but ^cc++++=but
childun ^nn+++??+=childun,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
duce ^nn+++??+=duce
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
plenty ^nn++++=plenty
of ^in++++0=o'
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
old ^jj+atrb+++=old
hut ^nn++++=hut
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
rabbit ^nn++++=rabbit-pen:
- ^zz++++=EXTRAWORD
pen ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
tow ^nn++++=tow-head
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
to ^in++++=to
every ^at++++=every
crack ^jjb++++=crack
and ^cc++++=and
cranny ^nn+++??+=cranny.
. ^zz++++=EXTRAWORD
' ^zz++++='Member
member ^nn++++=EXTRAWORD
what ^wdt+who+++=what
old ^jj+atrb+++=old
Caesar ^np++++=Caesar
said ^vbd+vpub++xvbn+=said
once ^rb+tm+++=once
when ^wrb+who+++=when
the ^ati++++=the
word ^nn++++=word
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
store ^nn++++=store
that ^tht+rel+++=that
old ^jj+atrb+++=old
Hokum ^np+++??+=Hokum
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
twins ^nns++++=twins.
. ^zz++++=EXTRAWORD
' ^zz++++='S'pose
s ^zz++++=EXTRAWORD
'pose ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Lord ^npt++++=Lord
knows ^vbz+vprv+++=knows
best ^jjt++++=best,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Caesar ^np++++=Caesar,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
dere ^nns++++=dere
was ^vbd+bedz+vrb++=was
Hokums ^np+++??+=Hokums
enough ^qlp++++=enough
afore ^in+strn+++=afore.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
even ^rb++++=even
poor ^jj+atrb+++=poor
workin ^nn+++??+=workin'
' ^zz++++=EXTRAWORD
industrious ^jj+atrb+++=industrious
folks ^nns++++=folks
like ^in++++=like
me ^pp1o+pp1+++=me
finds ^vbz+vprv+tht0++=finds
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
hard ^jj+atrb+++=hard
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
along ^in++++=along
when ^wrb+who+++=when
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
so ^pn++++=so
many ^ap++++=many
mouths ^nns++++=mouths
to ^to++++=to
feed ^vbi++++=feed.
. ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
there ^rn+pl+++=there
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
no ^at++++=no
end ^nn++++=end
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
wonderful ^jj++++=wonderful,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^to++++=to
think ^vbi+vprv+++=think
o ^zz++++=on't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
folks ^nns++++=folks
like ^in++++=like
them ^pp3o+pp3+++=them
Hokums ^np+++??+=Hokums
gets ^vbz++++=gets
tempted ^vbd+++xvbn+=tempted
to ^to+vcmp+++=to
help ^vbi++++=help
along ^rb+phrv+++=along
in ^in++++=in
ways ^nns++++=ways
that ^tht+rel+subj++=that
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
quite ^rb+cnj+++=quite,
, ^zz++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
folks ^nns++++=folks
did ^vbd+dod+aux++=did
use ^vb++++=use
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
old ^jj+atrb+++=old
Hokum ^np+++??+=Hokum
was ^vbd+bedz+vrb++=was
too ^rb++++=too
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
familiar ^nn++++=familiar
with ^in++++=with
their ^pp$+pp3+++=their
wood ^nn++++=wood-piles
- ^zz++++=EXTRAWORD
piles ^nns++++=EXTRAWORD
' ^zz++++='long
long ^rb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
prove ^vb+vprv+++=prove
it ^pp3+it+++=it
on ^rp++++=on
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum
come ^vb++++=come
to ^in++++=to
houses ^nns++++=houses
round ^nn++++=round
to ^to++++=to
wash ^vbi++++=wash,
, ^zz++++=EXTRAWORD
folks ^nns++++=folks
use ^nn++++=use
sometimes ^rb++++=sometimes
to ^in++++=to
miss ^npt++++=miss
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
never ^rb++++=never
could ^md+pos+++=could
find ^vb+vprv+++=find
them ^pp3o+pp3+++0='em
on ^in++++=on
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
allers ^nn++++=allers
a ^at++++=a
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
in ^in++++=in
debt ^nn++++=debt
here ^rn+pl+++=here
and ^cc++++=and
a ^at++++=a
gottin ^nn+++??+=gottin'
' ^zz++++=EXTRAWORD
in ^in++++=in
debt ^nn++++=debt
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
owin ^vb+++??+=owin'
' ^zz++++=EXTRAWORD
two ^cd++++=two
dollars ^nns++++=dollars
to ^in++++=to
Joe ^np++++=Joe
Gidger ^np+++??+=Gidger
for ^in++++=for
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
meat ^nn++++=meat.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
was ^vbd+bedz+vrb++=was
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj++++=EXTRAWORD
and ^cc++++=and
let ^vb+++xvbn+=let
them ^pp3o+pp3+++0='em
have ^vb+hv+vrb++=have
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
Hokum ^np+++??+=Hokum
he ^pp3a+pp3+++=he
promised ^vbd+vpub+tht0+xvbnx+=promised
so ^pn+emph+++=so
fair ^jj++++=fair
to ^to++++=to
pay ^vbi++++=pay;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
get ^vb++++=get
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++0=o'
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
' ^zz++++='Member
member ^nn++++=EXTRAWORD
once ^cs+tm+++=once
Joe ^np++++=Joe
walked ^vbd+++xvbn+=walked
clear ^jj++++=clear
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
cranberry ^nn++++=cranberry-pond
- ^zz++++=EXTRAWORD
pond ^nn++++=EXTRAWORD
artor ^nn++++=artor
that ^tht+rel+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
two ^cd++++=two
dollars ^nns++++=dollars;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum
she ^pp3a+pp3+++=she
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
a ^at++++=a
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
jest ^rb++++=jest
as ^ql++++=as
he ^pp3a+pp3+++=he
come ^vb++++=come
past ^jjb++++=past
the ^ati++++=the
juniper ^jjr++++=juniper-bush
- ^zz++++=EXTRAWORD
bush ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
Hokum ^vb+++??+=Hokum,
, ^zz++++=EXTRAWORD
' ^zz++++='Get
get ^vb++++=EXTRAWORD
into ^in+ppvb+++=into
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
tell ^vb++++=tell
the ^ati++++=the
story ^nn++++=story,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
covered ^vbd+++xvbnx+=covered
him ^pp3o+pp3+++=him
up ^rp++++=up;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Gidger ^np+++??+=Gidger
come ^vb++++=come
in ^in++++=in
she ^pp3a+pp3+++=she
come ^vb++++=come
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gidger ^np++++=Gidger,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
jest ^rb++++=jest
ashamed ^jj+pred+++=ashamed
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
yo ^nn+++??+=yo:
: ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hokum ^np++++=Hokum
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
a ^at++++=a
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
to ^to++++=to
pay ^vbi++++=pay
yo ^nn+++??+=yo
that ^tht+rel+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
money ^nn++++=money
last ^jj+atrb+++=last
week ^nn++++=week,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ye ^pp2+pp2+++=ye
see ^vb+vprv+tht0++=see
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
took ^vpsv++agls+xvbnx+=took
down ^rb+phrv+++=down
with ^in++++=with
the ^ati++++=the
small-pox ^nn+++??+=small-pox'--Joe
'--joe ^nn+++??+=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
hear ^vb+vprv+++=hear
no ^at++++=no
mow ^nn+++??+=mow:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
turned ^vbd+++xvbn+=turned
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
streaked ^vbd+++xvbnx+=streaked
it ^pp3+it+++=it
out ^rp+pl+++=out
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
door ^nn++++=door
with ^in++++=with
his ^pp$+pp3+++=his
coat ^nn++++=coat-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
flyin ^nn+++??+=flyin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
straight ^rb++++=straight
ahind ^nn+++??+=ahind
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Mother ^nn++++=Mother
Hokum ^np+++??+=Hokum
she ^pp3a+pp3+++=she
jest ^rb++++=jest
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
window ^nn++++=window
holdin ^nn+++??+=holdin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
sides ^nns++++=sides
and ^cc++++=and
laughin ^nn+++??+=laughin'
' ^zz++++=EXTRAWORD
fit ^jj++++=fit
to ^to+jcmp+++=to
split ^vbi++++=split,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+tht0++=see
him ^pp3o+pp3+++=him
run ^vbd+++xvbn+=run.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
' ^zz++++='are's
are ^vb+ber+vrb++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
jest ^nn++++=jest
a ^at++++=a
sample ^nn++++=sample
of ^in++++0=o'
the ^ati++++=the
ways ^nns++++=ways
them ^pp3o+pp3+++=them
Hokums ^np+++??+=Hokums
cut ^vbd+++xvbn+=cut
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
queer ^jj++++=queer
kind ^rb++++=kind
