Slowly ^rb+cnj+++=Slowly,
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
deprecating ^jj+atrb++xvbg+=deprecating
shrug ^nn++++=shrug
from ^in++++=from
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
foi ^nn+++??+=foi,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
monsieur ^npt++++=monsieur
must ^md+nec+++=must
know ^vb+vprv+++=know
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
sho ^nn+++??+=sho',
', ^nn+++??+=EXTRAWORD
dat ^nn+++??+=dat
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
too ^ql++++=too
old ^jj++++=old
for ^in++++=for
love ^nn++++=love
songs ^nns++++=songs!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
save ^cs+sub+++=save
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
want ^vb++++=want
that ^dt+dem+++=that
violin ^nn++++=violin
of ^in++++=of
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nevare,
nevare ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
nevare ^nn+++??+=nevare!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
My ^pp$+pp1+++0=M'sieu,
sieu ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
gripping ^vbg+++xvbg+=gripping
on ^in++++=on
as ^ql++++=as
tightly ^rb++++=tightly
to ^in++++=to
the ^ati++++=the
case ^nn++++=case
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
feared ^vbd+vprv+tht0+xvbnx+=feared
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
wrenched ^vpsv++agls+xvbnx+=wrenched
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Me
me ^pp1o+pp1+++=EXTRAWORD
a ^at++++=a
lovere ^nn+++??+=lovere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
sell ^vbi++++=sell
mon ^&fw++++=mon
violon ^nn+++??+=violon!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
ver ^jjr++++=ver'
' ^zz++++=EXTRAWORD
foolish ^jj++++=foolish!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Martel,"
martel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
first ^rb++++=first
speaker ^npt++++=speaker
to ^in++++=to
his ^pp$+pp3+++=his
companion ^nn++++=companion
as ^ql++++=as
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved
on ^in++++=on
up ^rp++++=up
town ^nn++++=town,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
little ^ap++++=little
Frenchman ^nn+nom+++=Frenchman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
unique ^jj+atrb+++=unique
specimen ^nn++++=specimen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
the ^ati++++=the
most ^ql+emph+++=most
exquisite ^nn++++=exquisite
violin ^nn++++=violin
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
in ^in++++=in
years ^nns++++=years;
; ^zz++++=EXTRAWORD
beautiful ^jj++++=beautiful
and ^cc+phrs+++=and
mellow ^jj++++=mellow
as ^in++++=as
a ^at++++=a
genuine ^jj+atrb+++=genuine
Cremona ^np+++??+=Cremona,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
can ^md+pos+++=can
make ^vb++++=make
the ^ati++++=the
music ^nn++++=music
leap ^nn++++=leap,
, ^zz++++=EXTRAWORD
sing ^vb++++=sing,
, ^zz++++=EXTRAWORD
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
sob ^nn++++=sob,
, ^zz++++=EXTRAWORD
skip ^vb++++=skip,
, ^zz++++=EXTRAWORD
wail ^nn++++=wail,
, ^zz++++=EXTRAWORD
anything ^pn++++=anything
you ^pp2+pp2+++=you
like ^vb++++=like
from ^in++++=from
under ^in++++=under
his ^pp$+pp3+++=his
bow ^nn++++=bow
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
wishes ^nns++++=wishes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
something ^pn++++=something
wonderful ^jj++++=wonderful.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
good ^jj+atrb+++=good
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Picked ^j+++xvbn+=Picked
him ^pp3o+pp3+++=him
up ^rp++++=up
in ^in++++=in
my ^pp$+pp1+++=my
French ^jj++++=French-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
rambles ^vbz++++=rambles.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
buy ^vbi++++=buy
that ^dt+dem+++=that
instrument ^nn+nom+++=instrument
since ^in++++=since--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
throw ^vbi++++=throw
it ^pp3+it+++=it
aside ^rp++++=aside
a ^at++++=a
week ^nn++++=week
later ^rbr+tm+++=later?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
lazily ^rb++++=lazily
inquired ^vbd+++xvbn+=inquired
Martel ^np+++??+=Martel.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
these ^dt+dem+++=these
nineteenth ^od++++=nineteenth-century
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
vandals ^nns+nom+++=vandals,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
nothing ^pn++++=nothing
picturesque ^jj++++=picturesque
that ^cs+sub+++=that
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
deface ^vb+++??+=deface
for ^in++++=for
a ^at++++=a
souvenir ^nn+++??+=souvenir;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
even ^rb++splt++=even
let ^vb+++xvbn+=let
simple ^jj+atrb+++=simple
happiness ^nns+nom+++=happiness
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
must ^md+nec+++=must
needs ^vb++++=needs
destroy ^vb++++=destroy
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
vain ^jj+atrb+++=vain
attempt ^nn++++=attempt
to ^to+ncmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it
your ^pp$+pp2+++=your
own ^ap++++=own
or ^cc++++=or
parade ^nn++++=parade
it ^pp3+it+++=it
as ^in++++=as
an ^at++++=an
advertisement ^nn+nom+++=advertisement."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
right ^jj++++=right
on ^in++++=on
with ^in++++=with
his ^pp$+pp3+++=his
song ^nn++++=song
and ^cc++++=and
turned ^vpsv++agls+xvbn+=turned
into ^in++++=into
Bayou ^np+++??+=Bayou
Road ^nn++++=Road,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
still ^rb++++=still
shrugged ^vbd+++xvbn+=shrugged
high ^jj++++=high
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
into ^in++++=into
the ^ati++++=the
quaint ^jj++++=quaint
little ^ap++++=little
house ^npl++++=house,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Ma ^npt++++=Ma'am
'am ^nn+++??+=EXTRAWORD
Jeanne ^np++++=Jeanne
and ^cc++++=and
the ^ati++++=the
white ^jj+atrb+++=white
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
always ^rb++++=always
waited ^vbd+++xvbn+=waited
up ^rp++++=up
for ^in++++=for
him ^pp3o+pp3+++=him
at ^in++++=at
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
both ^abx++++=both
nodding ^jj+++xvbg+=nodding
over ^in++++=over
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
after ^cs+sub+++=after
this ^dt+dem+++=this
that ^cs+sub+++=that
the ^ati++++=the
opera ^nn++++=opera
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
old ^jj++++=old
out ^rp+pl+++=out-of-season
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
season ^nn++++=EXTRAWORD
job ^nn++++=job.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
somehow ^rb++++=somehow
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do
as ^rb++++=as
well ^rb++++=well
this ^dt+dem+++=this
spring ^nn++++=spring
and ^cc++++=and
summer ^nn++++=summer
as ^in++++=as
always ^rb++++=always.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
certain ^jj+atrb+++=certain
amount ^nn++++=amount
of ^in++++=of
cunning ^nn++++=cunning
and ^cc++++=and
finesse ^nn+nom+++=finesse
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
roll ^vb++++=roll
a ^at++++=a
cigar ^nn++++=cigar
just ^rb+emph+++=just
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
losing ^vbg+++xvbgx+=losing,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
from ^in++++=from
age ^nn++++=age
or ^cc++++=or
deterioration ^nn+nom+++=deterioration
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
tell ^vbi++++=tell.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
about ^in++++=about
half ^abn++++=half
as ^ql++++=as
much ^ap++++=much
money ^nn++++=money
coming ^vwbg+++xvbg+=coming
in ^in++++=in
as ^in++++=as
formerly ^rb+cnj+++=formerly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
quaint ^jj+atrb+++=quaint
little ^jj+atrb+++=little
pucker ^nn++++=pucker
between ^in++++=between
My ^pp$+pp1+++0=M'sieu's
sieu ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
eyebrows ^nns++++=eyebrows
which ^whp+rel+subj++=which
served ^vbd+++xvbn+=served
for ^in++++=for
a ^at++++=a
frown ^nn++++=frown
came ^vbd+++xvbn+=came
oftener ^rbr++++=oftener
and ^cc++++=and
stayed ^vbd+++xvbn+=stayed
longer ^rbr++++=longer
than ^in++++=than
ever ^rb++++=ever
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="Minesse,"
minesse ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
one ^cd1++++=one
day ^nn++++=day
to ^in++++=to
the ^ati++++=the
white ^jj+atrb+++=white
cat, ^nn+++??+=cat,--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
all ^abn++++=all
his ^pp$+pp3+++=his
troubles ^nns++++=troubles
to ^in++++=to
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
of ^in++++=of
no ^at++++=no
use ^nn++++=use
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
Ma ^npt++++=Ma'am
'am ^nn+++??+=EXTRAWORD
Jeanne ^np++++=Jeanne,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
too ^ql++++=too
deaf ^jj++++=deaf
to ^in++++=to
understand, ^nn+++??+=understand,--"Minesse,
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
minesse ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
po ^np++++=po'.
'. ^nn+++??+=EXTRAWORD
You ^pp2+pp2+++=You'
' ^zz++++=EXTRAWORD
pere ^nn+++??+=pere
git ^np++++=git
h ^zz++++=h'old,
'old, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
hees ^nn++++=hees
han ^np++++=han's
's ^$++++=EXTRAWORD
dey ^nn+++??+=dey
go ^vb++++=go
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
rapidement ^nn+nom+++=rapidement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dere ^nns++++=dere
be ^vb+be+vrb++=be
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
soirees ^nns+nom+++=soirees
dese ^nn++++=dese
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Minesse ^np+nom++??+=Minesse,
, ^zz++++=EXTRAWORD
eef ^nn+++??+=eef
la ^&fw++++=la
saison ^nn+++??+=saison
don ^npt++++=don'
' ^zz++++=EXTRAWORD
hurry ^np++++=hurry
up ^rp++++=up,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
eat ^vb++++=eat
ver ^jjr++++=ver'
' ^zz++++=EXTRAWORD
lil ^nn+++??+=lil'
' ^zz++++=EXTRAWORD
meat ^nn++++=meat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Minesse ^np+nom++??+=Minesse
curled ^vbd+++xvbn+=curled
her ^pp3o+pp3+++=her
tail ^nn++++=tail
and ^cc++++=and
purred ^vbd+++xvbn+=purred.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
summer ^nn++++=summer
had ^vb+hv+aux++=had
fairly ^rb++splt++=fairly
begun ^vprf+++xvbnx+=begun,
, ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange
rumours ^nns++++=rumours
began ^vbd+++xvbn+=began
to ^to++++=to
float ^vbi++++=float
about ^in++++=about
in ^in++++=in
musical ^jj+atrb+++=musical
circles ^nns++++=circles.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Mauge ^np+++??+=Mauge
would ^md+prd+++=would
no ^at++++=no
longer ^rbr++++=longer
manage ^vb++++=manage
the ^ati++++=the
opera ^nn++++=opera,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+aux++=be
turned ^vpsv++agls+xvbnx+=turned
into ^in++++=into
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
Americans ^nns+nom+++=Americans,
, ^zz++++=EXTRAWORD
a ^at++++=a
syndicate ^nn+nom+++=syndicate.
. ^zz++++=EXTRAWORD
Bah ^np+++??+=Bah!
! ^zz++++=EXTRAWORD
These ^dt+dem+++=These
English ^jj++++=English-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
people ^nns++++=people
could ^md+pos+++=could
do ^vb+do+vrb++=do
nothing ^pn++++=nothing
unless ^cs+cnd+++=unless
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
trust ^nn++++=trust,
, ^zz++++=EXTRAWORD
a ^at++++=a
syndicate ^nn+nom+++=syndicate,
, ^zz++++=EXTRAWORD
a ^at++++=a
company ^nn++++=company
immense ^jj++++=immense
and ^cc+phrs+++=and
dishonest ^jj++++=dishonest.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
guarantee ^nn+nom+++=guarantee
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strictly ^rb++++=strictly
financial ^jj+atrb+++=financial
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
worse ^jjr++++=worse
than ^in++++=than
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
new ^jj+atrb+++=new
manager ^nn++++=manager,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
in ^in++++=in
France ^np++++=France,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
only ^rb+down+++=only
procure ^vb++++=procure
the ^ati++++=the
artists ^nns+nom+++=artists,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
new ^jj+atrb+++=new
orchestra ^nn++++=orchestra,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
leader ^nn++++=leader.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
grew ^vbd+++xvbn+=grew
apprehensive ^jj++++=apprehensive
at ^in++++=at
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
his ^pp$+pp3+++=his
place ^nn++++=place
would ^md+prd+++=would
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
September ^nr+nom+++=September
and ^cc++++=and
October ^nr++++=October
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
papers ^nns++++=papers
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
accounts ^nns++++=accounts
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
artists ^nns+nom+++=artists
from ^in++++=from
France ^np++++=France
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
orchestra ^nn++++=orchestra
leader ^nn++++=leader
too ^rb++++=too.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
most ^ql+emph+++=most
talented ^jj++++=talented,
, ^zz++++=EXTRAWORD
progressive ^jj++++=progressive,
, ^zz++++=EXTRAWORD
energetic ^jj+atrb+++=energetic
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np++++=Fortier's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank
at ^in++++=at
the ^ati++++=the
word ^nn++++=word
" ^zz++++="progressive."
progressive ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
anything ^rb++++=anything
but ^rb"++++=but
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
The ^ati++++=The
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans
Creole ^np+++??+=Creole
blood ^nn++++=blood
flowed ^vbd+++xvbn+=flowed
too ^ql++++=too
sluggishly ^jj++++=sluggishly
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
veins ^nns++++=veins.
. ^zz++++=EXTRAWORD
November ^nr+nom+++=November
came ^vbd+++xvbn+=came;
; ^zz++++=EXTRAWORD
the ^ati++++=the
opera ^nn++++=opera
reopened ^vwbn+++xvbn+=reopened.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
re ^in++++=re-engaged.
- ^zz++++=EXTRAWORD
engaged ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Minesse,"
minesse ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
with ^in++++=with
a ^at++++=a
catch ^nn++++=catch
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice
that ^tht+rel+subj++=that
strongly ^rb+amp+++=strongly
resembled ^vbd+++xvbn+=resembled
a ^at++++=a
sob ^nn++++=sob,
, ^zz++++=EXTRAWORD
" ^zz++++="Minesse,
minesse ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
mus ^nns+++??+=mus'
' ^zz++++=EXTRAWORD
go ^vb++++=go
hongry ^nn++++=hongry
sometime ^rb++++=sometime.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
pauvre ^nn+++??+=pauvre
violon ^nn+++??+=violon!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
Dieu ^np+++??+=Dieu,
, ^zz++++=EXTRAWORD
dey ^vb+++??+=dey
put ^vbd+++xvbn+=put
us ^pp1o+pp1+++=us
h ^zz++++=h'out,
'out, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
dey ^nn+++??+=dey
will ^md+prd+++=will
not ^xnot++not++=not
have ^vb+hv+vrb++=have
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Nev ^np+++??+=Nev'
' ^zz++++=EXTRAWORD
min ^nnu++++=min',
', ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
sing ^vb++++=sing
anyhow ^rb++++=anyhow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
drawing ^nvbg+++xvbg+=drawing
his ^pp$+pp3+++=his
bow ^nn++++=bow
across ^in+pl+++=across
the ^ati++++=the
strings ^nns++++=strings,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
in ^in++++=in
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
quavering ^jj+atrb++xvbg+=quavering
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="Salut
salut ^nn+++??+=EXTRAWORD
demeure ^nn+++??+=demeure,
, ^zz++++=EXTRAWORD
chaste ^jj++++=chaste
et ^&fw++++=et
pure ^jj++++=pure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
strange ^jj+pred+++=strange
what ^wdt+who+++=what
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
power ^nn++++=power
of ^in++++=of
fascination ^nn+nom+++=fascination
former ^ap++++=former
haunts ^nns++++=haunts
have ^vb+hv+vrb++=have
for ^in++++=for
the ^ati++++=the
human ^jj+atrb+++=human
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
criminal ^nn+nom+++=criminal,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
fled ^vprf+++xvbnx+=fled
from ^in++++=from
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
steals ^vbz++++=steals
back ^jjb++++=back
and ^cc++++=and
skulks ^nns+++??+=skulks
about ^in++++=about
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
his ^pp$+pp3+++=his
crime ^nn++++=crime;
; ^zz++++=EXTRAWORD
the ^ati++++=the
employee ^nn+nom+++=employee
thrown ^vwbn+++xvbn+=thrown
from ^in++++=from
work ^nn++++=work
hangs ^vbz++++=hangs
about ^in++++=about
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
his ^pp$+pp3+++=his
former ^ap++++=former
industry ^nn++++=industry;
; ^zz++++=EXTRAWORD
the ^ati++++=the
schoolboy ^nn++++=schoolboy,
, ^zz++++=EXTRAWORD
truant ^nn++++=truant
or ^cc++++=or
expelled ^vbd+++xvbn+=expelled,
, ^zz++++=EXTRAWORD
peeps ^nns+++??+=peeps
in ^in++++=in
at ^in++++=at
the ^ati++++=the
school ^nn++++=school-gate
- ^zz++++=EXTRAWORD
gate ^nn++++=EXTRAWORD
and ^cc++++=and
taunts ^nns++++=taunts
the ^ati++++=the
good ^jj+atrb+++=good
boys ^nns++++=boys
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
was ^vbd+bedz+vrb++=was
no ^at++++=no
exception ^nn+nom+++=exception.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
after ^cs+sub+++=after
night ^nn++++=night
of ^in++++=of
the ^ati++++=the
