Repeated ^jj+atrb++xvbn+=REPEATED
dis ^np++++=EXTRAWORD
one ^cd1++++=one
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='mount
mount ^nn++++=EXTRAWORD
to ^in++++=to
much ^ap++++=much.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++0=An'
dey ^nn+++??+=dey
sole ^jjb++++=sole
my ^pp$+pp1+++=my
ole ^jj+atrb+++=ole
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dey ^nn+++??+=dey
begin ^vb++++=begin
to ^to++++=to
sell ^vbi++++=sell
my ^pp$+pp1+++=my
chil ^jj+++??+=chil'en
'en ^jj+++xvbn+0=EXTRAWORD
and ^cc++++0=an'
take ^vb++++=take
dem ^&fw++++=dem
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
begin ^vb++++=begin
to ^to++++=to
cry ^vbi++++=cry;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
man ^nn++++=man
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Shet
shet ^nn+++??+=EXTRAWORD
up ^rp++++=up
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
damn ^vb++++=damn
blubberin ^nn+++??+=blubberin','
',' ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
hit ^nn+++xvbn+=hit
me ^pp1o+pp1+++=me
on ^in++++=on
de ^&fw++++=de
mouf ^nn+++??+=mouf
wid ^in++++=wid
his ^pp$+pp3+++=his
han ^np++++=han'.
'. ^nn+++??+=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
de ^&fw++++=de
las ^np++++=las'
' ^zz++++=EXTRAWORD
one ^cd1++++=one
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone
but ^cc++++=but
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Henry ^np++++=Henry,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
grab ^vb++++=grab'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
clost ^nn+++??+=clost
up ^in+cmpx+++=up
to ^in"++++=to
my ^pp$+pp1+++=my
breas ^nns+++??+=breas'
' ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
ris ^vbz+++??+=ris
up ^rp++++=up
and ^cc++++0=an'
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
sha ^jj+++??+=sha'nt
'nt ^vwbn+++xvbn+0=EXTRAWORD
take ^vb++++=take
him ^pp3o+pp3+++=him
away ^rp+pl+++=away,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
' ^zz++++='I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
kill ^vb++++=kill
de ^&fw++++=de
man ^nn++++=man
dat ^nn+++??+=dat
tetch ^nn+++??+=tetch
him ^pp3o+pp3+++=him!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Henry ^np++++=Henry
whisper ^nn++++=whisper
and ^cc++++0=an'
say ^vb+vpub+++=say
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
gwyne ^nn+++??+=gwyne
to ^to++++=to
run ^vbi++++=run
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
den ^&fw++++=den
I ^pp1a+pp1+++=I
work ^nn++++=work
and ^cc++++0=an'
buy ^vb++++=buy
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
freedom ^nn+nom+++=freedom'
' ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
bless ^vb++++=bless
de ^&fw++++=de
chile ^np++++=chile,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
always ^rb++++=always
so ^rb+emph+++=so
good ^jj++++=good!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
dey ^nn+++??+=dey
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him--dey
-- ^--+clp+++=EXTRAWORD
dey ^nn+++??+=EXTRAWORD
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
de ^&fw++++=de
men ^nns++++=men
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
and ^cc++++=and
tear ^nn++++=tear
de ^&fw++++=de
clo ^nn+++??+=clo'es
'es ^nns+++??+0=EXTRAWORD
mos ^nps++++=mos'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
of ^in++++=of
them ^pp3o+pp3+++0='em
and ^cc++++0=an'
beat ^nn+++xvbn+=beat
them ^pp3o+pp3+++0='em
over ^in++++=over
de ^&fw++++=de
head ^nn++++=head
wid ^in++++=wid
my ^pp$+pp1+++=my
chain ^nn++++=chain;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dey ^nn+++??+=dey
give ^vb++++=give
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
mine ^pp$$++++=mine
dat ^vb+++??+=dat.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dah ^nn+++??+=dah
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
ole ^jj+atrb+++=ole
man ^nn++++=man
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^rb++++=all
my ^pp$+pp1+++=my
chil ^nn+++??+=chil'en,
'en, ^nn+++??+=EXTRAWORD
all ^abn++++=all
my ^pp$+pp1+++=my
seven ^cd++++=seven
chil ^nn+++??+=chil'en
'en ^vbd+++xvbn+0=EXTRAWORD
-- ^--+clp+++=--an'
and ^cc+cls+++0=EXTRAWORD
six ^cd++++=six
of ^in++++=of
them ^pp3o+pp3+++0='em
I ^pp1a+pp1+++=I
hai ^nn+++??+=hain't
n't ^xnot++not++0=EXTRAWORD
set ^xvbn+++xvbn+=set
eyes ^nns++++=eyes
on ^in++++=on
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
to ^in++++=to
dis ^np++++=dis
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dat ^nn+++??+=dat's
's ^$++++=EXTRAWORD
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
year ^nn++++=year
ago ^rb++++=ago
las ^np++++=las'
' ^zz++++=EXTRAWORD
Easter ^np++++=Easter.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
man ^nn++++=man
dat ^nn+++??+=dat
bought ^vbd+++xvbn+=bought
me ^pp1o+pp1+++=me
b ^zz++++=b'long'
'long' ^nn+++??+=EXTRAWORD
in ^in++++=in
Newbern ^np+++??+=Newbern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
me ^pp1o+pp1+++=me
dah ^nn+++??+=dah.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
bymeby ^nn+++??+=bymeby
de ^&fw++++=de
years ^nns++++=years
roll ^nn++++=roll
on ^in++++=on
and ^cc++++0=an'
de ^&fw++++=de
waw ^nn+++??+=waw
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
marster ^nn+nom+++=marster
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
Confedrit ^np+++??+=Confedrit
colonel ^nn++++=colonel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
family ^nn++++=family's
's ^$++++=EXTRAWORD
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
de ^&fw++++=de
Unions ^nns++++=Unions
took ^vbd+++xvbn+=took
dat ^jj+atrb++??+=dat
town ^nn++++=town
dey ^nn+++??+=dey
all ^abn++++=all
run ^vwbn+++xvbn+=run
away ^rp+pl+++=away
and ^cc++++0=an'
lef ^nn+++??+=lef'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
all ^abn++++=all
by ^in++++=by
myse ^nn+++??+=myse'f
'f ^nn+++??+=EXTRAWORD
wid ^in++++=wid
de ^&fw++++=de
other ^ap++++=other
niggers ^nns+nom+++=niggers
in ^in++++=in
dat ^nn+++??+=dat
mons ^npt++++=mons'us
'us ^nns+++??+0=EXTRAWORD
big ^jj+atrb+++=big
house ^nn++++=house.
. ^zz++++=EXTRAWORD
So ^ql++++=So
de ^&fw++++=de
big ^jj+atrb+++=big
Union ^nn++++=Union
officers ^nns+nom+++=officers
move ^vb++++=move
in ^in++++=in
dah ^nn+++??+=dah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dey ^nn+++??+=dey
ask ^vb++++=ask
me ^pp1o+pp1+++=me
would ^md+prd+++=would
I ^pp1a+pp1+++=I
cook ^nn++++=cook
for ^in++++=for
dem ^&fw++++=dem.
. ^zz++++=EXTRAWORD
' ^zz++++='Lord
lord ^npt++++=EXTRAWORD
bless ^vb++++=bless
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='dat
dat ^nn+++??+=EXTRAWORD
what ^wdt+who+++=what
I ^np++++=I's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in+strn+++=for.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Dey
dey ^nn+++??+=EXTRAWORD
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
small ^jj++++=small-fry
- ^zz++++=EXTRAWORD
fry ^nns++++=EXTRAWORD
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
mine ^pp$$++++=mine
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
de ^&fw++++=de
was ^vbd+bedz+vrb++=was
de ^&fw++++=de
biggest ^jjt+atrb+++=biggest
dey ^nn+++??+=dey
is ^vbz+bez+vrb++=is;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
way ^nn++++=way
dey ^jj+++??+=dey
made ^vwbn+++xvbn+=made
dem ^&fw++++=dem
sojers ^nn++++=sojers
mosey ^nn+++??+=mosey
roun ^nn+++??+=roun'!
'! ^nn+++??+=EXTRAWORD
De ^&fw++++=De
Gen ^npt++++=Gen'l
'l ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
tole ^nn+++??+=tole
me ^pp1o+pp1+++=me
to ^in++++=to
boss ^nn++++=boss
dat ^nn+++??+=dat
kitchen ^nn++++=kitchen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='If
if ^cs+cnd+++=EXTRAWORD
anybody ^pn++++=anybody
come ^vb++++=come
meddlin ^nn+++??+=meddlin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
jist ^nn++++=jist
make ^vb++++=make
them ^pp3o+pp3+++0='em
walk ^nn++++=walk
chalk ^np++++=chalk;
; ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+aux++=be
afeared ^vpsv++agls+xvbnx+=afeared,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
' ^zz++++='you's
you ^pp2+pp2+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
' ^zz++++='mong
mong ^nn+++??+=EXTRAWORD
frens ^nns+++??+=frens
now ^rn+tm+++=now.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thinks ^vbz+vprv+++=thinks
to ^in++++=to
myse ^nn+++??+=myse'f,
'f, ^nn+++??+=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Henry ^np++++=Henry
ever ^rb++++=ever
got ^vbd+++xvbn+=got
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
run ^vbi++++=run
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
make ^vb++++=make
to ^to++++=to
de ^&fw++++=de
Norf ^np+++??+=Norf,
, ^zz++++=EXTRAWORD
of ^in+emph+++0=o'
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
So ^ql++++=So
one ^cd1++++=one
day ^nn++++=day
I ^pp1a+pp1+++=I
comes ^vbz++++=comes
in ^in++++=in
dah ^nn+++??+=dah
whar ^nn+++??+=whar
de ^&fw++++=de
big ^jj+atrb+++=big
officers ^nns+nom+++=officers
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
de ^&fw++++=de
parlor ^nn++++=parlor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
drops ^vbz++++=drops
a ^at++++=a
kurtchy ^nn+++??+=kurtchy,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
up ^rp++++=up
and ^cc++++0=an'
tole ^nn+++??+=tole
them ^pp3o+pp3+++0='em
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
my ^pp$+pp1+++=my
Henry ^np++++=Henry,
, ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
a ^at++++=a-listenin'
- ^zz++++=EXTRAWORD
listenin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
troubles ^nns++++=troubles
jist ^nn++++=jist
de ^&fw++++=de
same ^ap++++=same
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
white ^jj+atrb+++=white
folks ^nns++++=folks;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
come ^vb++++=come
for ^in+ppvb+++=for
is ^vbz+bez+vrb++=is
beca ^nn+++??+=beca'se
'se ^nn+++??+=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
away ^rb+phrv+++=away
and ^cc++++=and
got ^vbd+++xvbn+=got
up ^rp++++=up
Norf ^np+++??+=Norf
whar ^nn+++??+=whar
you ^pp2+pp2+++=you
gemmen ^vbd+++xvbn+=gemmen
comes ^vbz++++=comes
from ^in+ppvb+++=from,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
seen ^vprf+++xvbn+=seen
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
maybe ^rb+cnj+++=maybe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
could ^md+pos+++=could
tell ^vb++++=tell
me ^pp1o+pp1+++=me
so ^ql++++=so
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
fine ^jj++++=fine
him ^pp3o+pp3+++=him
ag ^nn++++=ag'in;
'in; ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
little ^ap++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
sk ^nn+++??+=sk-yar
- ^zz++++=EXTRAWORD
yar ^nn+++??+=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
lef ^nn+++??+=lef'
' ^zz++++=EXTRAWORD
wris ^nns+++??+=wris'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
at ^in++++=at
de ^&fw++++=de
top ^jjb++++=top
of ^in++++=of
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Den ^&fw++++=Den
dey ^nn+++??+=dey
look ^vb++++=look
mournful ^jj++++=mournful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
Gen ^npt++++=Gen'l
'l ^nn+++??+=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+++=EXTRAWORD
long ^jj+atrb+++=long
sence ^nn++++=sence
you ^pp2+pp2+++=you
los ^&fw++++=los'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Thirteen
thirteen ^cd++++=EXTRAWORD
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Den ^&fw++++=Den
de ^&fw++++=de
Gen ^npt++++=Gen'l
'l ^nn+++??+=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
little ^ap++++=little
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
now--he ^nn+++??+=now--he's
's ^$++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
thought ^nn+++xvbn+=thought
of ^in++++0=o'
dat ^nn+++??+=dat
befo ^nn+++??+=befo'!
'! ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
dat ^nn+++??+=dat
little ^ap++++=little
feller ^nn++++=feller
to ^in++++=to
me ^pp1o+pp1+++=me
yit ^nn+++??+=yit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
thought ^nn+++xvbn+=thought
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him
growin ^nn+++??+=growin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
and ^cc++++0=an'
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
big ^jj++++=big.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
den ^&fw++++=den.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++0=o'
de ^&fw++++=de
gemmen ^vb+++xvbn+=gemmen
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
acrost ^nn+++??+=acrost
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
so ^ql++++=so
dey ^vb+++??+=dey
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^abn++++=all
dat ^nn+++??+=dat
time ^nn++++=time,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
Henry ^np++++=Henry
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
off ^rb+phrv+++=off
to ^to++++=to
de ^&fw++++=de
Norf ^np+++??+=Norf,
, ^zz++++=EXTRAWORD
years ^nns++++=years
and ^cc++++0=an'
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
barber ^nn++++=barber,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
worked ^vpsv++agls+xvbn+=worked
for ^in++++=for
hisse ^nn+++??+=hisse'f.
'f. ^nn+++??+=EXTRAWORD
And ^cc++++0=An'
bymeby ^nn+++??+=bymeby,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
de ^&fw++++=de
waw ^nn+++??+=waw
come ^vprf+++xvbn+=come
he ^pp3a+pp3+++=he
ups ^nns"++++=ups
and ^cc++++0=an'
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
' ^zz++++='I's
i ^pp1a+pp1+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
done ^vwbn+++xvbn+=done
barberin ^nn+++??+=barberin','
',' ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='I's
i ^pp1a+pp1+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
gwyne ^nn+++??+=gwyne
to ^in++++=to
fine ^jj++++=fine
my ^pp$+pp1+++=my
ole ^np++++=ole
mammy ^nn+++??+=mammy,
, ^zz++++=EXTRAWORD
less ^rbr++++=less'n
'n ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj++++=dead.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
sole ^jjb++++=sole
out ^rp+pl+++=out
and ^cc++++0=an'
went ^vbd+++xvbn+=went
to ^in++++=to
whar ^nn+++??+=whar
dey ^nn+++??+=dey
was ^vbd+bedz+vrb++=was
recruitin ^nn+++??+=recruitin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
hired ^vbd+++xvbn+=hired
hisse ^nn+++??+=hisse'f
'f ^nn+++??+=EXTRAWORD
out ^rp+pl+++=out
to ^to++++=to
de ^&fw++++=de
colonel ^npt++++=colonel
for ^in++++=for
his ^pp$+pp3+++=his
servant ^nn+nom+++=servant
and ^cc++++0=an'
den ^&fw++++=den
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
all ^abn++++=all
froo ^nn+++??+=froo
de ^&fw++++=de
battles ^nns++++=battles
everywhah ^nn+++??+=everywhah,
, ^zz++++=EXTRAWORD
huntin ^nn+++??+=huntin'
' ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
ole ^np++++=ole
mammy ^nn+++??+=mammy;
; ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
indeedy ^nn+++??+=indeedy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
hire ^vb++++=hire
to ^in++++=to
fust ^nn+++??+=fust
one ^cd1++++=one
officer ^nn++++=officer
and ^cc++++0=an'
den ^&fw++++=den
another ^dt++++=another,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
ransacked ^vprf+++xvbnx+=ransacked
de ^&fw++++=de
whole ^jj+atrb+++=whole
Souf ^np+++??+=Souf;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
nuffin ^nn+++??+=nuffin
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
dis ^np++++=dis.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
gwyne ^nn+++??+=gwyne
to ^to++++=to
know ^vbi+vprv+tht0++=know
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
big ^jj+atrb+++=big
sojer ^jjr+atrb+++=sojer
ball ^nn++++=ball;
; ^zz++++=EXTRAWORD
de ^&fw++++=de
sojers ^nn++++=sojers
dah ^nn+++??+=dah
at ^rb++++=at
Newbern ^np+++??+=Newbern
was ^vbd+bedz+vrb++=was
always ^rb++++=always
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
balls ^nns++++=balls
and ^cc++++0=an'
carryin ^nn+++??+=carryin'
' ^zz++++=EXTRAWORD
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Dey ^np+++??+=Dey
had ^vb+hv+vrb++=had
them ^pp3o+pp3+++0='em
in ^in++++=in
my ^pp$+pp1+++=my
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
heaps ^nns++++=heaps
of ^in++++0=o'
times ^nns++++=times,
, ^zz++++=EXTRAWORD
' ^zz++++='ca'se
ca ^np++++=EXTRAWORD
'se ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
big ^jj++++=big.
. ^zz++++=EXTRAWORD
Mine ^pp$$++++=Mine
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
down ^rp++++=down
on ^in++++=on
sich ^&fw++++=sich
doin ^nn+++??+=doin's;
's; ^nn+++??+=EXTRAWORD
beca ^nn+++??+=beca'se
'se ^nn+++??+=EXTRAWORD
my ^pp$+pp1+++=my
place ^nn++++=place
was ^vbd+bedz+vrb++=was
wid ^in++++=wid
de ^&fw++++=de
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
it ^pp3+it+++=it
