Sometimes ^rb+cnj+++=Sometimes,
had ^vb+hv+vrb++=had
rehearsed ^jj++++=rehearsed
it ^pp3+it+++=it
all ^rb++++=all
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times,
, ^zz++++=EXTRAWORD
as ^ql++++=as
certain ^jj+atrb+++=certain
feeble ^jj+atrb+++=feeble
temperaments ^nns+nom+++=temperaments
do ^vb+do+aux++=do
rehearse ^vb++++=rehearse
such ^abl++++=such
scenes ^nns++++=scenes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
rather ^rb++++=rather
well ^rb++++=well
out ^rp+pl+++=out
of ^in++++=of
that ^dt+dem+++=that
rehearsal ^nn+nom+++=rehearsal,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
always ^rb++++=always
with ^in++++=with
an ^at++++=an
aching ^jj+atrb++xvbg+=aching
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
great ^jj+atrb+++=great
yearnings ^nns+++??+=yearnings
unfulfilled ^jj++++=unfulfilled.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
way ^nn++++=way
across ^in+pl+++=across
the ^ati++++=the
Atlantic ^np++++=Atlantic
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
with ^in++++=with
lessening ^xvbg+++xvbg+=lessening
confidence ^nn+nom+++=confidence
as ^in++++=as
the ^ati++++=the
time ^nn++++=time
drew ^vbd+++xvbn+=drew
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
night ^nn++++=night
of ^in++++=of
his ^pp$+pp3+++=his
arrival ^nn++++=arrival
in ^in++++=in
London ^np++++=London
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
tearing ^vbg+++xvbg+=tearing
up ^rb+phrv+++=up
the ^ati++++=the
letter ^nn++++=letter
( ^zz++++=(after
after ^in++++=EXTRAWORD
sleeping ^xvbg+++xvbg+=sleeping
over ^in++++=over
it ^pp3+it+++=it),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
telegraphed ^vprf+++xvbnx+=telegraphed
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
signed ^vbd+++xvbnx+=signed
his ^pp$+pp3+++=his
surname ^nn++++=surname
such ^abl++++=such
a ^at++++=a
very ^ql+amp+++=very
common ^jj+atrb+++=common
name ^nn++++=name,
, ^zz++++=EXTRAWORD
alas ^uh++++=alas!
! ^zz++++=EXTRAWORD
but ^cc+cls+++=but
surely ^rb++++=surely
she ^pp3a+pp3+++=she
would ^md+prd+++=would
know ^vb+vprv+++=know
and ^cc++++=and
her ^pp$+pp3+++=her
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
call ^vb++++=call
4:30 ^cd++++=4:30,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
struck ^vprf+++xvbn+=struck
him ^pp3o+pp3+++=him
as ^in++++=as
rather ^rb++++=rather
oddly ^rb++++=oddly
worded ^jj++++=worded.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
here ^rn+pl+++=here
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
rattle ^nn++++=rattle
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
door ^nn++++=door
knob ^nn++++=knob,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
aggressive ^jj+atrb+++=aggressive,
, ^zz++++=EXTRAWORD
hostile ^jj+atrb+++=hostile
knob ^nn++++=knob
that ^tht+rel+subj++=that
thrust ^vwbn+++xvbn+=thrust
out ^rp+pl+++=out
at ^in++++=at
him ^pp3o+pp3+++=him
insolently ^rb++++=insolently
like ^in++++=like
a ^at++++=a
fist ^nn++++=fist
of ^in++++=of
bronze ^nn++++=bronze.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started,
, ^zz++++=EXTRAWORD
angry ^jj++++=angry
with ^in++++=with
himself ^ppl+pp3+++=himself
for ^in++++=for
doing ^xvbg+++xvbg+=doing
so ^ql++++=so.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
door ^nn++++=door
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
open ^jj++++=open.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
suddenly ^rb++++=suddenly
conscious ^jj++++=conscious
of ^in++++=of
the ^ati++++=the
wilds ^nns+++??+=wilds
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
for ^in++++=for
so ^ql++++=so
long ^rb++++=long;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
were ^vbd+bed+vrb++=were
hardly ^rb+down+++=hardly
fashionable ^jj+pred+++=fashionable;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
probably ^rb++++=probably
had ^vb+hv+vrb++=had
a ^at++++=a
twang ^nn++++=twang
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used
tricks ^nns++++=tricks
of ^in++++=of
speech ^nn++++=speech
that ^tht+rel+subj++=that
must ^md+nec+++=must
betray ^vb++++=betray
the ^ati++++=the
rough ^jj+atrb+++=rough
life ^nn++++=life
so ^rb++++=so
recently ^rb+tm+++=recently
left ^jj+++xvbn+=left.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
much ^ap++++=much
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
how ^wrb+who+++=how
brusque ^jj++++=brusque
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi+vbi+aux++=have
telegraphed ^vprf+++xvbnx+=telegraphed
like ^in++++=like
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
awkward ^jj++++=awkward,
, ^zz++++=EXTRAWORD
gauche ^jj++++=gauche,
, ^zz++++=EXTRAWORD
tongue ^nn++++=tongue-tied,
- ^zz++++=EXTRAWORD
tied ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
hot ^jj++++=hot
and ^cc++++=and
cold ^nn++++=cold
by ^in++++=by
turns ^nns++++=turns.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentences ^nns+nom+++=sentences,
, ^zz++++=EXTRAWORD
so ^ql++++=so
carefully ^rb++++=carefully
rehearsed ^jj++++=rehearsed,
, ^zz++++=EXTRAWORD
fled ^j+++xvbn+=fled
beyond ^in++++=beyond
recovery ^nn+nom+++=recovery.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
heavens ^nns++++=heavens
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
open ^jj++++=open
for ^in++++=for
some ^dti++++=some
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
moved ^vbd+++xvbn+=moved
noiselessly ^rb++++=noiselessly
on ^in++++=on
big ^jj+atrb+++=big
hinges ^nns++++=hinges.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
acted ^vbd+++xvbnx+=acted
automatically ^rb++++=automatically;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
himself ^ppl+pp3+++=himself
asking ^vbg+vsua++xvbg+=asking
if ^cs+cnd+++=if
her ^pp3o+pp3+++=her
ladyship ^nn+nom+++=ladyship
was ^vbd+bedz+vrb++=was
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
inaudible ^jj+pred+++=inaudible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
moment ^nn++++=moment
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
dim ^jj+atrb+++=dim
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
so ^ql++++=so
poignantly ^rb++++=poignantly
familiar ^jj++++=familiar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
remembered ^jj+atrb++xvbn+=remembered
perfume ^nn++++=perfume
almost ^rb+hdg+++=almost
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
sway ^nn++++=sway.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear
the ^ati++++=the
door ^nn++++=door
close ^nn++++=close,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
caught ^vpsv++agls+xvbnx+=caught.
. ^zz++++=EXTRAWORD
The ^ati++++=The
butler ^np++++=butler
betrayed ^vbd+++xvbn+=betrayed
an ^at++++=an
instant ^jj+atrb+++=instant's
's ^vbz+bez+vrb++0=EXTRAWORD
surprise ^nn++++=surprise
or ^cc++++=or
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
over ^in++++=over-wrought
- ^zz++++=EXTRAWORD
wrought ^jj+atrb++xvbn+=EXTRAWORD
imagination ^nn+nom+++=imagination
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
though ^rb+cnj+++=though
only ^rb+down+++=only
later ^rbr+tm+++=later
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
grasp ^nn++++=grasp
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
that ^dt+dem+++=that
curious ^jj+atrb+++=curious
intuition ^nn+nom+++=intuition
that ^tht+rel+obj++=that
the ^ati++++=the
man ^nn++++=man
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
another ^dt++++=another
caller ^nn++++=caller
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
card ^nn++++=card
respectfully ^rb++++=respectfully
and ^cc++++=and
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
flunkeys ^nns+++??+=flunkeys
were ^vbd+bed+vrb++=were
so ^ql++++=so
marvellously ^rb++++=marvellously
trained ^jj+++xvbn+=trained.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
too ^ql++++=too
long ^rb++++=long
accustomed ^xvbn+++xvbn+=accustomed
to ^in++++=to
straight ^jj+atrb+++=straight
question ^nn+nom+++=question
and ^cc++++=and
straight ^jj+atrb+++=straight
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Old ^jj+atrb+++=Old
Country ^nn++++=Country,
, ^zz++++=EXTRAWORD
privacy ^nn+nom+++=privacy
was ^vbd+bedz+aux++=was
jealously ^rb++splt++=jealously
guarded ^vpsv++agls+xvbnx+=guarded
with ^in++++=with
such ^abl++++=such
careful ^jj++++=careful
ritual ^jjb++++=ritual.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
almost ^rb+hdg+++=almost
immediately ^rb+tm+++=immediately
the ^ati++++=the
butler ^np++++=butler
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
expressionless ^jj++++=expressionless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
large ^jj++++=large
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
so ^ql++++=so
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Tea ^nn++++=Tea
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
tea ^nn++++=tea
for ^in++++=for
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
puzzled ^jj+++xvbn+=puzzled.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
tea ^nn++++=tea
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ladyship ^nn+nom+++=ladyship
will ^md+prd+++=will
see ^vb+vprv+++=see
you ^pp2+pp2+++=you
afterwards ^rb+cnj+++=afterwards,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
though ^cs+sub+++=though
his ^pp$+pp3+++=his
breath ^nn++++=breath
came ^vbd+++xvbn+=came
thickly ^rb+cnj+++=thickly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
the ^ati++++=the
question ^nn+nom+++=question
that ^tht+rel+subj++=that
forced ^vprf+++xvbn+=forced
itself ^ppl++++=itself
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
ill ^rb++++=ill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ladyship ^nn+nom+++=ladyship
is ^vbz+bez+vrb++=is
quite ^abl++++=quite
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
tea ^nn++++=tea
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ladyship ^nn+nom+++=ladyship
will ^md+prd+++=will
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
afterwards ^rb+tm+++=afterwards."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
horrid ^jj+atrb+++=horrid
formula ^nn++++=formula
was ^vbd+bedz+aux++=was
repeated ^vpsv++agls+xvbnx+=repeated,
, ^zz++++=EXTRAWORD
word ^nn++++=word
for ^in++++=for
word ^nn++++=word.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sank ^vbd+++xvbnx+=sank
into ^in++++=into
an ^at++++=an
armchair ^nn++++=armchair
and ^cc++++=and
mechanically ^rb++++=mechanically
poured ^vbd+++xvbn+=poured
out ^rp+pl+++=out
his ^pp$+pp3+++=his
own ^ap++++=own
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
exactly ^rb++++=exactly
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
so ^ql+emph+++=so
unusual ^jj++++=unusual,
, ^zz++++=EXTRAWORD
so ^ql++++=so
utterly ^rb+amp+++=utterly
unexpected ^jj++++=unexpected,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
unnecessary ^jj++++=unnecessary,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
a ^at++++=a
special ^jj+atrb+++=special
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
merely ^rb+down+++=merely
casual ^jj++++=casual?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
it ^pp3+it+++=it
could ^md+pos+++=could
mean ^vb+vprv+++=mean
anything ^pn++++=anything
else ^rb+cnj+++=else
did ^vbd+dod+aux++=did
not ^xnot++not++=not
occur ^vb++++=occur
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she
busy ^jj++++=busy,
, ^zz++++=EXTRAWORD
occupied ^j+++xvbn+=occupied
not ^xnot++not++=not
here ^rn+pl+++=here
to ^to++++=to
give ^vbi++++=give
him ^pp3o+pp3+++=him
tea ^nn++++=tea?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
such ^abl++++=such
a ^at++++=a
farce ^nn++++=farce
having ^vwbg+hvg++xvbg+=having
tea ^nn++++=tea
alone ^rb++++=alone
like ^in++++=like
this ^dt+dem+++=this
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
waiting ^nn++++=waiting
for ^in++++=for
an ^at++++=an
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
or ^cc++++=or
a ^at++++=a
dentist ^nn+nom+++=dentist's
's ^$++++=EXTRAWORD
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
bewildered ^vbd+++xvbn+=bewildered,
, ^zz++++=EXTRAWORD
ill ^jj++++=ill
at ^rb++++=at
ease ^nn++++=ease,
, ^zz++++=EXTRAWORD
cheap.. ^nn+++??+=cheap....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^in++++=after
ten ^cd++++=ten
years ^nns++++=years
in ^in++++=in
primitive ^jj+atrb+++=primitive
lands ^nns++++=lands
perhaps ^rb++++=perhaps
London ^np++++=London
usages ^nns++++=usages
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
in ^in++++=in
some ^dti++++=some
extraordinary ^jj+atrb+++=extraordinary
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
recalled ^vbd+vprv+tht0+xvbnx+=recalled
his ^pp$+pp3+++=his
first ^od++++=first
amazement ^nn+nom+++=amazement
at ^in++++=at
the ^ati++++=the
motor ^nn++++=motor-omnibuses,
- ^zz++++=EXTRAWORD
omnibuses ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
taxicabs ^nns+++??+=taxicabs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
electric ^jj+atrb+++=electric
tubes ^nns++++=tubes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
were ^vbd+bed+vrb++=were
new ^jj+pred+++=new.
. ^zz++++=EXTRAWORD
London ^np++++=London
was ^vbd+bedz+vrb++=was
otherwise ^rb+cnj+++=otherwise
than ^in++++=than
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Piccadilly ^np++++=Piccadilly
and ^cc++++=and
the ^ati++++=the
Marble ^nn++++=Marble
Arch ^jjb++++=Arch
themselves ^ppls+pp3+++=themselves
had ^vbd+hvd+aux++=had
altered ^vprf+++xvbnx+=altered.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
a ^at++++=a
shade ^nn++++=shade
more ^rbr++++=more
confidence ^nn+nom+++=confidence
stole ^vbd+++xvbn+=stole
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
and ^cc++++=and
presently ^rb+tm+++=presently
she ^pp3a+pp3+++=she
would ^md+prd+++=would
come ^vb++++=come
in ^in++++=in
and ^cc++++=and
speak ^vb++++=speak
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
explaining ^vbg+vpub++xvbg+=explaining
everything ^pn++++=everything
by ^in++++=by
the ^ati++++=the
mere ^jjb+atrb+++=mere
fact ^nn++++=fact
of ^in++++=of
her ^pp$+pp3+++=her
delicious ^jj+atrb+++=delicious
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
the ^ati++++=the
ordeal ^nn++++=ordeal,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
see ^vb+vprv+++=see
her ^pp3o+pp3+++=her
and ^cc++++=and
drop ^vb++++=drop
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
all ^abn++++=all
manner ^nn++++=manner
of ^in++++=of
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
even ^rb++++=even
of ^in++++=of
mortification ^nn+nom+++=mortification.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
her ^pp3o+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
drinking ^nvbg+++xvbg+=drinking
her ^pp3o+pp3+++=her
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair
she ^pp3a+pp3+++=she
used ^vbd+++xvbnx+=used
herself ^ppl+pp3+++=herself
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++splt++=never
dare ^vb++++=dare
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
a ^at++++=a
word ^nn++++=word
or ^cc++++=or
make ^vb++++=make
a ^at++++=a
sign ^nn++++=sign
that ^tht+ncmp+++=that
might ^md+pos+++=might
betray ^vb++++=betray
his ^pp$+pp3+++=his
changeless ^jj+atrb+++=changeless
secret ^nn++++=secret.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
boyish ^jj++++=boyish
worshipper ^jjr++++=worshipper,
, ^zz++++=EXTRAWORD
worshipping ^jj+++xvbg+=worshipping
in ^in++++=in
dumbness ^nns+nom+++=dumbness
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
a ^at++++=a
group ^nn++++=group
of ^in++++=of
many ^ap++++=many
others ^aps++++=others
like ^in++++=like
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
dreams ^nps++++=dreams
had ^vbd+hvd+aux++=had
faded ^vprf+++xvbnx+=faded,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
had ^vbd+hvd+aux++=had
continued ^vprf+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
Memories ^nns++++=Memories
tore ^vbd+++xvbn+=tore
and ^cc+phrs+++=and
raced ^vbd+++xvbn+=raced
and ^cc+phrs+++=and
poured ^vbd+++xvbn+=poured
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
sweet ^jj++++=sweet
and ^cc+phrs+++=and
gentle ^jj++++=gentle
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
wonder ^vb++++=wonder
sometimes.. ^nn+++??+=sometimes....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered,
