Early ^jj++++=Early
- ^zz++++=EXTRAWORD
hills ^nns++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
right ^jj++++=right
as ^ql++++=as
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
Cimarron ^np+++??+=Cimarron
bottoms ^nns++++=bottoms
yesterday ^nr+tm+++=yesterday?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+vrb++=did?
? ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
tenants ^nns+nom+++=tenants
were ^vbd+bed+aux++=were
killed ^vpsv++agls+xvbnx+=killed
over ^in++++=over
that ^dt+dem+++=that
trail ^nn++++=trail;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
now ^rn+tm+++=now
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
refer ^vbi++++=refer
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
Texas ^np++++=Texas
for ^in++++=for
three ^cd++++=three
years ^nns++++=years
afterward ^rb++++=afterward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
tell ^vb++++=tell
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
knelt ^vbd+++xvbnx+=knelt
down ^rp++++=down
to ^to++++=to
put ^vbi++++=put
a ^at++++=a
hobble ^nn+++??+=hobble
on ^in++++=on
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
injure ^vb++++=injure
my ^pp$+pp1+++=my
reputation ^nn+nom+++=reputation
as ^in++++=as
a ^at++++=a
peaceable ^jj+atrb+++=peaceable
citizen ^nn++++=citizen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
telling ^vwbg+++xvbg+=telling
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
marry ^vbi++++=marry
soon ^rb+tm+++=soon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
worked ^vprf+++xvbn+=worked
up ^rp++++=up
the ^ati++++=the
proper ^jj+atrb+++=proper
interest ^nn++++=interest
in ^in++++=in
his ^pp$+pp3+++=his
listener ^nn+nom+++=listener,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
exacting ^jj++++=exacting
a ^at++++=a
promise ^nn++++=promise
that ^tht+ncmp+obj++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
repeat ^vb++++=repeat
the ^ati++++=the
story ^nn++++=story
where ^wrb+who+++=where
it ^pp3+it+++=it
might ^md+pos+++=might
do ^vb+do+vrb++=do
injury ^nn++++=injury
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dragged ^vbd+++xvbnx+=dragged
his ^pp$+pp3+++=his
saddle ^nn++++=saddle
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
camp ^nn++++=camp-fire.
- ^zz++++=EXTRAWORD
fire ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Making ^vbg+++xvbg+=Making
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
seat ^nn++++=seat
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
riveted ^vbd+++xvbnx+=riveted
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
on ^in++++=on
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
splendid ^nn++++=splendid
sang ^vbd+++xvbn+=sang-froid
- ^zz++++=EXTRAWORD
froid ^nn+++??+=EXTRAWORD
reluctantly ^rb++++=reluctantly
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
double ^jj+atrb+++=double
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
Chisholm ^np+++??+=Chisholm
route ^nn++++=route
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
for ^in++++=for
ten ^cd++++=ten
years ^nns++++=years.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
trail ^nn++++=trail
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
' ^zz++++='73.
73 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bossed ^vbd+++xvbnx+=bossed
that ^cs+sub+++=that
year ^nn++++=year
from ^in++++=from
Van ^&fw++++=Van
Zandt ^np+++??+=Zandt
County ^nn++++=County,
, ^zz++++=EXTRAWORD
for ^in++++=for
old ^jj+atrb+++=old
Andy ^np+++??+=Andy
Erath ^np+++??+=Erath,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
dead ^jj+atrb+++=dead
square ^nn++++=square
cowman ^nn++++=cowman
with ^in++++=with
not ^xnot++not++=not
a ^at++++=a
hide ^vb++++=hide-bound
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
idea ^nn++++=idea
in ^in++++=in
his ^pp$+pp3+++=his
make ^vb++++=make-up.
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Son ^nn++++=Son,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
pleasure ^nn++++=pleasure
to ^to++++=to
know ^vbi+vprv+++=know
old ^jj+atrb+++=old
Andy ^np+++??+=Andy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
tell ^vb++++=tell
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man,
, ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
ever ^rb++++=ever
got ^vbd+++xvbn+=got
a ^at++++=a
drink ^vb++++=drink
too ^ql++++=too
much ^ap++++=much,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++++=never
mention ^nn+nom+++=mention
her ^pp3o+pp3+++=her
otherwise ^rb+cnj+++=otherwise,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
always ^rb++++=always
praised ^vbd+++xvbn+=praised
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
him ^pp3o+pp3+++=him
up ^rp++++=up
beyond ^in++++=beyond
the ^ati++++=the
Yellowstone ^np+++??+=Yellowstone,
, ^zz++++=EXTRAWORD
two ^cd++++=two
thousand ^cd++++=thousand
miles ^nns++++=miles
from ^in++++=from
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
always ^rb++++=always
knew ^vbd+vprv++xvbn+=knew
when ^wrb+who+whcl++=when
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
was ^vbd+bedz+aux++=was
primed ^vpsv++agls+xvbnx+=primed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
praise ^vb++++=praise
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
call ^vb++++=call
on ^in+ppvb+++=on
us ^pp1o+pp1+++=us
boys ^nns++++=boys
to ^to++++=to
confirm ^vbi+vpub+++=confirm
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
year ^nn++++=year
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
the ^ati++++=the
better ^nn++++=better
of ^in++++=of
twenty ^cd++++=twenty-nine
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
hundred ^cd++++=hundred
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
all ^abn++++=all
steer ^vb++++=steer
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
threes ^cds++++=threes
and ^cc++++=and
up ^rp++++=up,
, ^zz++++=EXTRAWORD
a ^at++++=a
likely ^jj+atrb+++=likely
bunch ^nn++++=bunch,
, ^zz++++=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
these ^dt+dem+++=these
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
shadowing ^vbg+++xvbgx+=shadowing
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
people ^nns++++=people
are ^vb+ber+aux++=are
not ^xnot++not++=not
driving ^vbg+++xvbg+=driving
this ^dt+dem+++=this
year ^nn++++=year,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
reason ^nn++++=reason
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
making ^vbg+++xvbgx+=making
a ^at++++=a
common ^jj+atrb+++=common
hand ^nn++++=hand
with ^in++++=with
Inks ^np+++??+=Inks.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
lay ^vbi++++=lay
off ^in+pl+++=off
a ^at++++=a
season ^nn++++=season,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
seacoast ^nn+++??+=seacoast,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
forget ^vb+vprv+++=forget
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
I ^pp1a+pp1+++=I
always ^rb++++=always
hired ^vbd+++xvbn+=hired
my ^pp$+pp1+++=my
own ^ap++++=own
men ^nns++++=men.
. ^zz++++=EXTRAWORD
The ^ati++++=The
year ^nn++++=year
that ^tht+rel+obj++=that
this ^dt+dem+++=this
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
trail ^nn++++=trail
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
an ^at++++=an
outfit ^nn++++=outfit
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
would ^md+prd+++=would
rather ^rb++++=rather
fight ^nn++++=fight
than ^in++++=than
eat ^vb++++=eat;
; ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
selected ^vbd+++xvbnx+=selected
them ^pp3o+pp3+++=them
on ^in++++=on
account ^nn++++=account
of ^in++++=of
their ^pp$+pp3+++=their
special ^jj+atrb+++=special
fitness ^nns+nom+++=fitness
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
firearms ^nns++++=firearms.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
Inks ^np+++??+=Inks
here ^rn+pl+++=here
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
cooked ^vprf+++xvbnx+=cooked
for ^in++++=for
my ^pp$+pp1+++=my
outfit ^nn++++=outfit
that ^tht+rel+++=that
season ^nn++++=season,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
alone ^rb++++=alone
rode ^vbd+++xvbn+=rode.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
particular ^jj+atrb+++=particular
incident ^nn++++=incident
worth ^in++++=worth
mentioning ^xvbg+++xvbg+=mentioning
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
struck ^vbd+++xvbn+=struck
Red ^jj+atrb+++=Red
River ^nn++++=River,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
overtook ^vbd+++xvbn+=overtook
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
herds ^nns++++=herds
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
laying ^vbg+++xvbgx+=laying
over ^in++++=over
on ^in++++=on
account ^nn++++=account
of ^in++++=of
a ^at++++=a
freshet ^nn+++??+=freshet
in ^in++++=in
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
man ^nn++++=man
those ^dt+dem+++=those
days ^nns++++=days
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
as ^in++++=as
good ^nn++++=good
in ^in++++=in
the ^ati++++=the
water ^nn++++=water
as ^in++++=as
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
of ^in++++=of
my ^pp$+pp1+++=my
men ^nns++++=men
were ^vbd+bed+vrb++=were
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looked ^vbd+++xvbn+=looked
red ^jj++++=red
and ^cc+phrs+++=and
muddy ^jj++++=muddy
and ^cc+phrs+++=and
rolled ^jj+++xvbn+=rolled
just ^rb+emph+++=just
a ^at++++=a
trifle ^nn++++=trifle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
ordered ^vbd+vsua+tht0+xvbnx+=ordered
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
to ^to++++=to
hit ^vbi++++=hit
it ^pp3+it+++=it
on ^in++++=on
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
wet ^jj++++=wet
the ^ati++++=the
seat ^nn++++=seat
of ^in++++=of
his ^pp$+pp3+++=his
saddle ^nn++++=saddle
going ^vwbg+++xvbg+=going
or ^cc++++=or
coming ^vwbg+++xvbg+=coming,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
horse ^nn++++=horse
was ^vbd+bedz+vrb++=was
in ^in++++=in
swimming ^xvbg+++xvbg+=swimming
water ^nn++++=water
good ^jj++++=good
sixty ^cd++++=sixty
yards ^nns++++=yards.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
other ^ap++++=other
bosses ^nns++++=bosses
rode ^vbd+++xvbn+=rode
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
one ^cd1++++=one
examined ^vbd+++xvbn+=examined
his ^pp$+pp3+++=his
peg ^nn++++=peg
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
the ^ati++++=the
rise ^nn++++=rise
was ^vbd+bedz+aux++=was
falling ^nvbg+++xvbg+=falling.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
fellow ^jjb+atrb+++=fellow
named ^jj+++xvbn+=named
Bob ^np++++=Bob
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
boss ^nn++++=boss-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
for ^in++++=for
John ^np++++=John
Blocker ^np+++??+=Blocker,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
about ^in++++=about
the ^ati++++=the
crossing ^nvbg+++xvbg+=crossing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
' ^zz++++='If
if ^cs+cnd+++=EXTRAWORD
this ^dt+dem+++=this
ferryman ^nn+nom+++=ferryman
can ^md+pos+++=can
cross ^vb++++=cross
our ^pp$+pp1+++=our
wagon ^nn++++=wagon
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
fellows ^nns++++=fellows
will ^md+prd+++=will
open ^vb++++=open
out ^rp+pl+++=out
a ^rb++++=a
little ^rb"++++=little
and ^cc++++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
all ^rb++++=all
a ^at++++=a
crossing ^nvbg+++xvbg+=crossing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
no ^at++++=no
miracle ^nn++++=miracle
either ^dtx++++=either.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
ferryman ^nn++++=ferryman
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
set ^vprf+++xvbnx+=set
the ^ati++++=the
wagon ^nn++++=wagon
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
men ^nns++++=men
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^to++++=to
bring ^vbi++++=bring
up ^rb+phrv+++=up
the ^ati++++=the
herd ^nn++++=herd.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
delayed ^vpsv++agls+xvbnx+=delayed
some ^dti++++=some
little ^jj+atrb+++=little
time ^nn++++=time,
, ^zz++++=EXTRAWORD
changing ^jj+++xvbg+=changing
to ^in++++=to
their ^pp$+pp3+++=their
swimming ^nvbg+++xvbg+=swimming
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
an ^at++++=an
hour ^nn++++=hour
before ^cs+sub+++=before
the ^ati++++=the
herd ^nn++++=herd
came ^vbd+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
others ^aps++++=others
opening ^jj+++xvbg+=opening
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
give ^vb++++=give
us ^pp1o+pp1+++=us
a ^at++++=a
clear ^jj+atrb+++=clear
field ^nn++++=field,
, ^zz++++=EXTRAWORD
in ^in++++=in
case ^in"++++=case
of ^in"++++=of
a ^at++++=a
mill ^nn++++=mill
or ^cc++++=or
balk ^nn+++??+=balk.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
had ^md"++pmd"++=had
to ^md+nec+++=to
give ^vb++++=give
an ^at++++=an
order ^to++++=order;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boys ^nns++++=boys
knew ^vbd+vprv++xvbn+=knew
just ^rb+emph+++=just
what ^wdt+who+++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
men ^nns++++=men
in ^in++++=in
this ^dt+dem+++=this
outfit ^nn++++=outfit
right ^nn++++=right
now ^rn+tm+++=now
that ^dt+pdem+++=that
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
greased ^vprf+++xvbnx+=greased
my ^pp$+pp1+++=my
wagon ^nn++++=wagon
that ^tht+rel+++=that
year ^nn++++=year.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
on ^in++++=on
the ^ati++++=the
points ^nn++++=points
brought ^vbd+++xvbn+=brought
the ^ati++++=the
herd ^nn++++=herd
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
with ^in++++=with
a ^at++++=a
good ^jj++++=good
head ^jjb++++=head
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
the ^ati++++=the
leaders ^nns+nom+++=leaders
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
halfway ^rb++++=halfway
across ^in+pl+++=across
the ^ati++++=the
channel ^nn++++=channel,
, ^zz++++=EXTRAWORD
swimming ^nvbg+++xvbg+=swimming
like ^in++++=like
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
swing ^nn++++=swing-men
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
fed ^vbd+++xvbn+=fed
them ^pp3o+pp3+++=them
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
free ^jj++++=free
and ^cc++++=and
plenty ^nn++++=plenty.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
my ^pp$+pp1+++=my
outfit ^nn++++=outfit
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
the ^ati++++=the
cattle ^nns++++=cattle
from ^in++++=from
drifting ^xvbg+++xvbg+=drifting
downstream ^rb+pl+++=downstream.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
herds ^nns++++=herds--good
-- ^--+clp+++=EXTRAWORD
good ^jj+atrb+++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
too ^ql++++=too--kept
-- ^--+clp+++=EXTRAWORD
kept ^j+++xvbn+=EXTRAWORD
shooting ^jj+++xvbg+=shooting
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inside ^jjb++++=inside
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes'
' ^zz++++=EXTRAWORD
time ^nn++++=time
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
Injun ^nn++++=Injun
Territory ^nn++++=Territory.
. ^zz++++=EXTRAWORD
After ^in++++=After
crossing ^xvbg+++xvbg+=crossing
the ^ati++++=the
saddle ^nn++++=saddle
stock ^nn++++=stock
and ^cc++++=and
the ^ati++++=the
wagon ^nn++++=wagon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swam ^vbd+++xvbnx+=swam
my ^pp$+pp1+++=my
horse ^nn++++=horse
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Texas ^np++++=Texas
side ^nn++++=side.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
eat ^vbi++++=eat
dinner ^nn++++=dinner
with ^in++++=with
Blocker ^np++++=Blocker's
's ^$++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
fed ^vbd+++xvbnx+=fed.
. ^zz++++=EXTRAWORD
Might ^md+pos+++=Might
want ^vb++++=want
to ^to+vcmp+++=to
work ^vbi++++=work
for ^in++++=for
him ^pp3o+pp3+++=him
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pretended ^vbd+vprv++xvbnx+=pretended
that ^tht+vcmp+++=that
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
help ^nn++++=help
him ^pp3o+pp3+++=him
over ^in++++=over
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
cross ^vbi++++=cross,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
his ^pp$+pp3+++=his
dogies ^nns+++??+=dogies
could ^md+pos+++=could
never ^rb++++=never
