Yas ^np+++??+=Yas,
was ^vbd+bedz+vrb++=was
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
months ^nns++++=months
ago ^rb++++=ago
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
time ^nn++++=time
the ^ati++++=the
wind ^nn++++=wind
blows ^nns++++=blows
from ^in++++=from
you ^pp2+pp2+++=you'west
'west ^jjt++++0=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
oneasy ^nn+++??+=oneasy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
try ^vb++++=try
to ^to+vcmp+++=to
entice ^vbi++++=entice
Sonny ^nn++++=Sonny
to ^to++++=to
play ^vbi++++=play
on ^in+ppvb+++=on
the ^ati++++=the
far ^rb+pl+++=far
side ^nn++++=side
of ^in++++0=o'
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
in ^in++++=in
about ^in++++=about
ten ^cd++++=ten
days ^nns++++=days
after ^cs+sub+++=after
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
the ^ati++++=the
down ^rp++++=down-in-themouthest
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
themouthest ^jjt+atrb+++=EXTRAWORD
crowd ^nn++++=crowd
on ^in++++=on
that ^dt+dem+++=that
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
man ^nn++++=man
and ^cc++++0=an'
beast ^nn++++=beast,
, ^zz++++=EXTRAWORD
thet ^nn+++??+=thet
you ^pp2+pp2+++=you
ever ^rb++++=ever
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Ever ^rb++++=Ever'
' ^zz++++=EXTRAWORD
last ^rb++++=last
one ^pn++++=one
of ^in++++0=o'
them ^pp3o+pp3+++=them
vaccinations ^nns+nom+++=vaccinations
took ^vbd+++xvbn+=took,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
took ^vbd+++xvbn+=took
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
cat ^nn++++=cat
up ^rp++++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
safe ^jj++++=safe-t
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
guarded ^vbd+++xvbn+=guarded
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
place ^nn++++=place
thet ^nn+++??+=thet
can ^md+pos+++=can
fetch ^vb++++=fetch
it ^pp3+it+++=it
to ^in++++=to
Sonny ^nn++++=Sonny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
with ^in++++=with
care ^nn++++=care,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
never ^rb++++=never
be ^vb+be+aux++=be
exposed ^vpsv++agls+xvbnx+=exposed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
diristenin ^nn+++??+=diristenin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
us ^pp1o+pp1+++=us
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
' ^zz++++='Piscopal.
piscopal ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ez ^np+++??+=Ez
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
want ^vbi++++=want
baptism ^nn+nom+++=baptism,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
us ^pp1o+pp1+++=us
discuss ^vb++++=discuss
all ^abn++++=all
his ^pp$+pp3+++=his
life ^nn++++=life
both ^abx++++=both
it ^pp3+it+++=it
and ^cc++++0=an'
vaccination ^nn+nom+++=vaccination
ez ^nn+++??+=ez
the ^ati++++=the
two ^cd++++=two
ordeels ^nns+++??+=ordeels
to ^to++++=to
be ^vbi+vbi+aux++=be
gone ^vpsv++agls+xvbnx+=gone
thoo ^nn+++??+=thoo
with ^in++++=with
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
speculate ^nn+nom+++=speculate
ez ^nn+++??+=ez
to ^to++++=to
whether ^cs+who+++=whether
vaccination ^nn+nom+++=vaccination
would ^md+prd+++=would
take ^vb++++=take
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
all ^abn++++=all
sech ^&fo++++=sech
ez ^nn+++??+=ez
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
ez ^nn+++??+=ez
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
the ^ati++++=the
vaccination ^nn+nom+++=vaccination
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
even ^rb++++=even
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
prejudyced ^jj+atrb++xvbn+=prejudyced
agin ^nn+++??+=agin'
' ^zz++++=EXTRAWORD
baptism ^nn+nom+++=baptism
' ^zz++++='n
n ^zz++++=EXTRAWORD
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we
' ^zz++++='lowed
lowed ^jj+++xvbn+=EXTRAWORD
to ^to++++=to
let ^vbi++++=let
it ^pp3+it+++=it
run ^vbd+++xvbn+=run
on ^in++++=on
tell ^vb++++=tell
sech ^&fo++++=sech
a ^at++++=a
time ^nn++++=time
ez ^nn+++??+=ez
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
decide ^vb+vprv+++=decide
what ^wdt+who+whcl++=what
name ^nn++++=name
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
take ^vbi++++=take
and ^cc+cls+++0=an'
what ^wdt+who+++=what
denomination ^nn+nom+++=denomination
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
bestow ^vbi++++=bestow
it ^pp3+it+++=it
on ^rp++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Wife ^nn++++=Wife,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
some ^dti++++=some
' ^zz++++='Piscopal
piscopal ^jj+atrb+++=EXTRAWORD
relations ^nns+nom+++=relations
thet ^nn+++??+=thet
she ^pp3a+pp3+++=she
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
looks ^nns++++=looks
up ^in+cmpx+++=up
to ^in"++++=to,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
own ^ap++++=own
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
Methodist ^jj++++=Methodist
and ^cc++++0=an'
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
a ^at++++=a
true ^jj++++=true-blue
- ^zz++++=EXTRAWORD
blue ^jj++++=EXTRAWORD
Presbyterian ^jj++++=Presbyterian.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
professed ^vbd+++xvbn+=professed
after ^cs+sub+++=after
Sonny ^nn++++=Sonny
come ^vprf+++xvbn+=come
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
up ^rp++++=up
together ^nn+nom+++=together
at ^in++++=at
Methodist ^jj+atrb+++=Methodist
meetin ^nn+++??+=meetin'.
'. ^nn+++??+=EXTRAWORD
What ^wdt+who+++=What
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
after ^cs+sub+++=after
was ^vbd+bedz+vrb++=was
righteous ^jj+atrb+++=righteous
livin ^nn+++??+=livin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
keer ^nn++++=keer
much ^rb++++=much
which ^whp+who+++=which
denomination ^nn+nom+++=denomination
helped ^vbd+++xvbn+=helped
us ^pp1o+pp1+++=us
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
feelin ^nn+++??+=feelin'
' ^zz++++=EXTRAWORD
friendly ^jj++++=friendly
all ^abn++++=all
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
that ^cs+sub+++=that-a-way,
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
we ^pp1a+pp1+++=we'd
'd ^md+prd+aux++0=EXTRAWORD
leave ^vb++++=leave
Sonny ^nn++++=Sonny
to ^to++++=to
pick ^vbi++++=pick
his ^pp$+pp3+++=his
church ^nn++++=church
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
ready ^jj++++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
to ^to++++=to
undo ^vbi++++=undo
or ^cc++++=or
do ^vb+do+vrb++=do
over ^rb++++=over
in ^in++++=in
case ^nn++++=case
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
' ^zz++++='Piscopals,
piscopals ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
revisin ^nn+++??+=revisin'
' ^zz++++=EXTRAWORD
over ^in++++=over
any ^dti++++=any
other ^ap++++=other
church ^nn++++=church'
' ^zz++++=EXTRAWORD
performances ^nns+nom+++=performances
though ^cs+sub+++=though
sence ^nn++++=sence
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
turned ^vprf+++xvbnx+=turned
' ^zz++++='Piscopals
piscopals ^nns+nom+++=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
found ^vprf+++xvbnx+=found
out ^rp+pl+++=out
that ^dt+dem+++=that
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
co ^nn++++=co'se
'se ^nn+++??+=EXTRAWORD
the ^ati++++=the
preachers ^nns+nom+++=preachers,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
used ^md"++pmd"++=used
to ^to++++=to
talk ^vb++++=talk
to ^in++++=to
us ^pp1o+pp1+++=us
about ^in++++=about
it ^pp3+it+++=it
once ^rb+tm+++=once-t
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
' ^zz++++='ceptin',
ceptin ^nn+++??+=EXTRAWORD
', ^nn+++??+=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
the ^ati++++=the
Baptists ^nns+nom++??+=Baptists.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
along ^in++++=along
so ^ql++++=so
till ^cs+sub+++=till
last ^rb++++=last
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
but ^cc++++=but,
, ^zz++++=EXTRAWORD
ez ^nn+++??+=ez
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
thess ^nn++++=thess
not ^xnot++not++=not
quite ^abl++++=quite
six ^cd++++=six
year ^nn++++=year
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
ther ^jjr++++=ther
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
time ^nn++++=time
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
last ^jj+atrb+++=last
week ^nn++++=week
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
playin ^nn+++??+=playin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++0=o'
doors ^nns++++=doors
barefeeted ^vbd+++xvbn+=barefeeted,
, ^zz++++=EXTRAWORD
thess ^nn++++=thess
same ^ap++++=same
ez ^nn+++??+=ez
he ^pp3a+pp3+++=he
always ^rb++++=always
does ^vbz+doz+vrb++=does,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
tramped ^vbd+++xvbnx+=tramped
on ^in++++=on
a ^at++++=a
pine ^nn++++=pine
splinter ^nn+nom+++=splinter
some ^dti++++=some
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
pine ^nn++++=pine,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
safe ^jj++++=safe-t-est
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
est ^&fw++++=EXTRAWORD
splinter ^nn+nom+++=splinter
a ^at++++=a
person ^nn++++=person
can ^md+pos+++=can
run ^vb+++xvbn+=run
into ^in+ppvb+++=into
a ^at++++=a
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
on ^in++++=on
account ^nn++++=account
of ^in++++=of
its ^pp$+it+++=its
carryin ^nn+++??+=carryin'
' ^zz++++=EXTRAWORD
its ^pp$+it+++=its
own ^ap++++=own
turpentine ^nn++++=turpentine
in ^in++++=in
with ^in++++=with
it ^pp3+it+++=it
to ^in++++=to
heal ^nn++++=heal
up ^rp++++=up
things ^nns++++=things;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
any ^dti++++=any
splinter ^nn+nom+++=splinter
thet ^nn+++??+=thet
dast ^nn+++??+=dast
to ^to++++=to
push ^vbi++++=push
itself ^ppl++++=itself
up ^rp++++=up
into ^in++++=into
a ^rb++++=a
little ^rb"++++=little
pink ^jj+atrb+++=pink
foot ^nn++++=foot
is ^vbz+bez+vrb++=is
a ^at++++=a
messenger ^nn+nom+++=messenger
of ^in++++=of
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
this ^dt+dem+++=this
one ^pn++++=one,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tried ^vbd+++xvbn+=tried
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
way ^nn++++=way
to ^to++++=to
coax ^vbi++++=coax
him ^pp3o+pp3+++=him
to ^to++++=to
let ^vbi++++=let
us ^pp1o+pp1+++=us
take ^vb++++=take
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se.
'se. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
somehow ^rb++++=somehow
the ^ati++++=the
Lord ^npt++++=Lord
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
give ^vbi++++=give
them ^pp3o+pp3+++0='em
ambition ^nn+nom+++=ambition
to ^in++++=to
work ^nn++++=work
their ^pp$+pp3+++=their
own ^ap++++=own
way ^nn++++=way
out ^rp+pl+++=out
mos ^nps++++=mos'
' ^zz++++=EXTRAWORD
gen ^npt++++=gen'ally.
'ally. ^nn+++??+=EXTRAWORD
But ^cc++++=But,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
splinter ^nn+nom+++=splinter
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
no ^at++++=no
energy ^nn++++=energy
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
thess ^nn++++=thess
lodged ^vbd+++xvbn+=lodged
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
foot ^nn++++=foot
it ^pp3+it+++=it
commenced ^vbd+++xvbn+=commenced
to ^to++++=to
swell ^vbi++++=swell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
it ^pp3+it+++=it
swole ^jj+++??+=swole
and ^cc++++0=an'
swole ^nn+++??+=swole
tell ^vb++++=tell
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
toes ^nns++++=toes
stuck ^vbd+++xvbn+=stuck
out ^rp+pl+++=out
so ^ql++++=so
thet ^vb+++??+=thet
the ^ati++++=the
little ^jj+atrb+++=little
pig ^nn++++=pig
thet ^nn+++??+=thet
went ^vbd+++xvbn+=went
to ^in++++=to
market ^nn++++=market
looked ^vbd+++xvbn+=looked
like ^in++++=like
ez ^nn+++??+=ez
ef ^nn+++??+=ef
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
on ^in++++=on
speakin ^nn+++??+=speakin'
' ^zz++++=EXTRAWORD
terms ^nns++++=terms
with ^in++++=with
the ^ati++++=the
little ^jj+atrb+++=little
pig ^nn++++=pig
thet ^nn+++??+=thet
stayed ^vbd+++xvbn+=stayed
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wife ^nn++++=wife
and ^cc++++0=an'
me ^pp1o+pp1+++=me
we ^pp1a+pp1+++=we
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
she ^pp3a+pp3+++=she
prayed ^vbd+vsua++xvbnx+=prayed
over ^in++++=over
it ^pp3+it+++=it
consider ^nn+nom+++=consider'ble,
'ble, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
a ^at++++=a
extry ^nn++++=extry
psalm ^nn++++=psalm
at ^in++++=at
night ^nn++++=night
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
all ^abn++++=all
on ^in++++=on
account ^nn++++=account
of ^in++++0=o'
that ^dt+dem+++=that
little ^ap++++=little
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
night ^nn++++=night
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
las ^np++++=las'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
mighty ^jj++++=mighty
angry ^jj++++=angry
and ^cc++++0=an'
swole ^nn+++??+=swole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
limped ^vprf+++xvbnx+=limped
and ^cc++++0=an'
" ^zz++++="ouched!"
ouched ^vwbn+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
consider ^nn+nom+++=consider'ble
'ble ^nn+++??+=EXTRAWORD
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
mighty ^jj+atrb+++=mighty
fretful ^jj+atrb+++=fretful
bed ^nn++++=bed-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^to++++=to
sleep ^vbi++++=sleep,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
she ^pp3a+pp3+++=she
come ^vb++++=come
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
po ^np++++=po'ch
'ch ^nn+++??+=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
settin ^nn+++??+=settin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
face ^nn++++=face
all ^abn++++=all
drawed ^jj+++xvbn+=drawed
up ^rp++++=up
and ^cc++++0=an'
workin ^nn+++??+=workin',
', ^nn+++??+=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she:
: ^zz++++=EXTRAWORD
" ^zz++++="Honey,"
honey ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckon ^vb+vprv+tht0++=reckon
we ^pp1a+pp1+++=we
better ^jjr++++=better
sen ^jj+++xvbn+=sen'
' ^zz++++=EXTRAWORD
for ^in++++=for
him ^pp3o+pp3+++=him
and ^cc++++0=an'
have ^vb+hv+aux++=have
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thess ^np+++??+=Thess
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Sen'
sen ^vb+++xvbn+=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
who ^whp+rel+pied++=who,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="an'
and ^cc++++0=EXTRAWORD
have ^vb+hv+aux++=have
what ^wdt+who+++=what
did ^vbd+dod+vrb++=did?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sen ^j+++xvbn+=sen'
' ^zz++++=EXTRAWORD
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
' ^zz++++='Piscopal
piscopal ^jj+atrb+++=EXTRAWORD
preacher ^nn+nom+++=preacher,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="an'
and ^cc++++0=EXTRAWORD
have ^vb+hv+aux++=have
Sonny ^nn++++=Sonny
christened ^vwbn+++xvbn+=christened.
. ^zz++++=EXTRAWORD
Them ^pp3o+pp3+++=Them
little ^jj+atrb+++=little
toes ^nns++++=toes
of ^in++++0=o'
hisn ^nn+++??+=hisn
is ^vbz+bez+vrb++=is
ez ^nn+++??+=ez
red ^jj+atrb+++=red
ez ^nn+++??+=ez
cherry ^np++++=cherry
tomatoes ^nns++++=tomatoes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
burnt ^vbd+++xvbnx+=burnt
my ^pp$+pp1+++=my
lips ^nns++++=lips
thess ^nn++++=thess
now ^rn+tm+++=now
like ^in++++=like
a ^at++++=a
coal ^nn++++=coal
of ^in++++0=o'
fire ^nn++++=fire
and ^cc++++0=an'
and ^cc++++0=an'
lockjaw ^nn+++??+=lockjaw
is ^vbz+bez+vrb++=is
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
roun ^nn+++??+=roun'
' ^zz++++=EXTRAWORD
tur ^nn+++??+=tur'ble.
'ble. ^nn+++??+=EXTRAWORD
" ^zz++++="Seems
seems ^vbz+seem+++=EXTRAWORD
to ^to+vcmp+++=to
me ^vbi++++=me,"
, ^zz++++=EXTRAWORD
