B.c ^rb++++=B.C.
thick ^jj++++=thick
on ^in++++=on
the ^ati++++=the
wild ^jj+atrb+++=wild
waste ^nn++++=waste
of ^in++++=of
the ^ati++++=the
Cebenna ^np+++??+=Cebenna,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
Arverni ^np+++??+=Arverni
had ^vb+hv+aux++=had
always ^rb++splt++=always
considered ^vprf+++xvbnx+=considered
as ^ql++++=as
their ^pp$+pp3+++=their
impenetrable ^jj+atrb+++=impenetrable
barrier ^nn++++=barrier
throughout ^in++++=throughout
the ^ati++++=the
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
towns ^nns++++=towns
quickly ^rb++++=quickly
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
rapidly ^rb++splt++=rapidly
recovering ^vbg+++xvbgx+=recovering
all ^rb++++=all
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Vercingetorix ^np+++??+=Vercingetorix,
, ^zz++++=EXTRAWORD
collecting ^nvbg+++xvbg+=collecting
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
supporters ^nns+nom+++=supporters,
, ^zz++++=EXTRAWORD
represented ^j+++xvbn+=represented
to ^in++++=to
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
their ^pp$+pp3+++=their
best ^jjt+atrb+++=best
hope ^nn++++=hope
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
burning ^xvbg+++xvbg+=burning
all ^abn++++=all
the ^ati++++=the
inhabited ^nn++++=inhabited
places ^vbz++++=places
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
driving ^nvbg+++xvbg+=driving
off ^in+pl+++=off
all ^abn++++=all
the ^ati++++=the
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
lying ^vbg+++xvbg+=lying
in ^in++++=in
wait ^vb++++=wait
to ^to+vcmp+++=to
cut ^vbi++++=cut
off ^rb+phrv+++=off
all ^abn++++=all
the ^ati++++=the
convoys ^nns++++=convoys
of ^in++++=of
provisions ^nns++++=provisions
that ^tht+rel+subj++=that
should ^md+nec+++=should
be ^vb+be+aux++=be
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
starving ^jj+++xvbg+=starving
them ^pp3o+pp3+++=them
into ^in++++=into
a ^at++++=a
retreat ^nn++++=retreat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
burning ^vbg+++xvbg+=burning
houses ^nns++++=houses
were ^vbd+bed+vrb++=were
indeed ^rb++++=indeed
a ^at++++=a
grievous ^jj+atrb+++=grievous
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
grievous ^jj+pred+++=grievous
to ^to++++=to
see ^vbi+vprv+++=see
their ^pp$+pp3+++=their
wives ^nns++++=wives
and ^cc++++=and
children ^nns++++=children
dragged ^vbd+++xvbn+=dragged
into ^in++++=into
captivity ^nn+nom+++=captivity.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
all ^abn++++=all
the ^ati++++=the
allies ^nn++++=allies
agreed ^vbd+vpub++xvbn+=agreed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twenty ^cd++++=twenty
towns ^nns++++=towns
in ^in++++=in
one ^cd1++++=one
district ^nn++++=district
were ^vbd+bed+aux++=were
burnt ^vpsv++agls+xvbnx+=burnt
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
day ^nn++++=day;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Avaricum ^np+++??+=Avaricum,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
called ^xvbn+++xvbn+=called
Bourges ^np+++??+=Bourges,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tribe ^nn++++=tribe
of ^in++++=of
Bituriges ^np+++??+=Bituriges,
, ^zz++++=EXTRAWORD
to ^to++++=to
whom ^whp+wpor+++=whom
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged,
, ^zz++++=EXTRAWORD
entreated ^j+++xvbn+=entreated
on ^in++++=on
their ^pp$+pp3+++=their
knees ^nns++++=knees
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
destroy ^vbi++++=destroy
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj+atrb+++=beautiful
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
a ^at++++=a
river ^nn++++=river
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
morass ^nn++++=morass
everywhere ^rb++++=everywhere
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
except ^in++++=except
at ^rb++++=at
a ^at++++=a
very ^ql+amp+++=very
narrow ^vb++++=narrow
entrance ^nn+nom+++=entrance,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
easily ^rb++splt++=easily
held ^vpsv++agls+xvbnx+=held
out ^rp+pl+++=out
against ^in++++=against
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
their ^pp$+pp3+++=their
entreaties ^nns+++??+=entreaties
Vercingetorix ^np+++??+=Vercingetorix
yielded ^vbd+++xvbn+=yielded,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
much ^ap++++=much
against ^in++++=against
his ^pp$+pp3+++=his
own ^ap++++=own
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
Caesar ^np++++=Caesar
laid ^vbd+++xvbn+=laid
siege ^nn++++=siege
to ^in++++=to
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
army ^nn++++=army
suffered ^vbd+++xvbn+=suffered
severely ^rb++++=severely
from ^in++++=from
cold ^nn++++=cold
and ^cc++++=and
hunger ^nn++++=hunger;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
bread ^nn++++=bread
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vbd+++xvbn+=lived
only ^rb+down+++=only
on ^in++++=on
the ^ati++++=the
cattle ^nns++++=cattle
driven ^vwbn+++xvbn+=driven
in ^in++++=in
from ^in++++=from
distant ^jj+atrb+++=distant
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Vercingetorix ^np+++??+=Vercingetorix
hovered ^vbd+++xvbn+=hovered
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
off ^in+pl+++=off
their ^pp$+pp3+++=their
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
however ^rb+cnj+++=however
labored ^vwbn+++xvbn+=labored
diligently ^rb++++=diligently
to ^to++++=to
raise ^vbi++++=raise
a ^at++++=a
mount ^nn++++=mount
against ^in++++=against
a ^at++++=a
wall ^nn++++=wall
of ^in++++=of
the ^ati++++=the
town ^nn++++=town;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
they ^pp3a+pp3+++=they
worked ^vbd+++xvbnx+=worked,
, ^zz++++=EXTRAWORD
the ^ati++++=the
higher ^jjr++++=higher
did ^vbd+dod+vrb++=did
the ^ati++++=the
Gauls ^np+++??+=Gauls
within ^in++++=within
raise ^vb++++=raise
the ^ati++++=the
stages ^nns++++=stages
of ^in++++=of
their ^pp$+pp3+++=their
rampart ^nn+++??+=rampart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
twentyfive ^jj+atrb+++=twentyfive
days ^nns++++=days
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
most ^ql+emph+++=most
brave ^vb++++=brave
defense ^nn+++??+=defense;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last
the ^ati++++=the
Romans ^nn++++=Romans
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
entrance ^nn+nom+++=entrance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slaughtered ^vbd+++xvbn+=slaughtered
all ^rb++++=all
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
except ^in++++=except
800 ^cd++++=800,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
escaped ^vbd+++xvbn+=escaped
to ^in++++=to
the ^ati++++=the
camp ^nn++++=camp
of ^in++++=of
Vercingetorix ^np+++??+=Vercingetorix.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
disconcerted ^vpsv++by+xvbn+=disconcerted
by ^in++++=by
this ^dt+dem+++=this
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
always ^rb++splt++=always
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sheltered ^jj+++xvbn+=sheltered
and ^cc+phrs+++=and
clothed ^jj+++xvbn+=clothed
the ^ati++++=the
fugitives ^nns++++=fugitives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
raised ^vbd+++xvbn+=raised
a ^at++++=a
great ^jj+atrb+++=great
body ^nn++++=body
of ^in++++=of
archers ^nns+nom+++=archers
and ^cc++++=and
of ^in++++=of
horsemen ^nns++++=horsemen,
, ^zz++++=EXTRAWORD
with ^in++++=with
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
territory ^nn++++=territory
in ^in++++=in
Auvergne ^np+++??+=Auvergne.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
much ^ap++++=much
fighting ^jj+++xvbg+=fighting
around ^rp++++=around
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Gergovia ^np+++??+=Gergovia;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
revolt ^nn++++=revolt
of ^in++++=of
the ^ati++++=the
Aedui ^np+++??+=Aedui,
, ^zz++++=EXTRAWORD
another ^ppls++++=another
Gallic ^np+++??+=Gallic
tribe ^nn++++=tribe,
, ^zz++++=EXTRAWORD
Caesar ^np++++=Caesar
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
retreat ^vb++++=retreat
over ^in++++=over
the ^ati++++=the
Loire ^np+++??+=Loire;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wild ^jj+atrb+++=wild
peaks ^nns++++=peaks
of ^in++++=of
volcanic ^jj+atrb+++=volcanic
Auvergne ^np+++??+=Auvergne
were ^vbd+bed+vrb++=were
free ^jj+pred+++=free
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
gallant ^jj+atrb+++=gallant
resolution ^nn+nom+++=resolution
could ^md+pos+++=could
long ^rb++splt++=long
prevail ^vb++++=prevail
against ^in++++=against
the ^ati++++=the
ever ^rb++++=ever-advancing
- ^zz++++=EXTRAWORD
advancing ^vbg+++xvbg+=EXTRAWORD
power ^nn++++=power
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
the ^ati++++=the
Gauls ^np+++??+=Gauls
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
into ^in++++=into
their ^pp$+pp3+++=their
fortified ^xvbn+++xvbn+=fortified
camp ^np++++=camp
at ^rb++++=at
Alesia ^np+++??+=Alesia,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
called ^xvbn+++xvbn+=called
Alise ^np+++??+=Alise
[ ^zz++++=[footnote:
footnote ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
In ^in++++=In
Burgundy ^np++++=Burgundy,
, ^zz++++=EXTRAWORD
between ^in++++=between
Semur ^np+++??+=Semur
and ^cc++++=and
Dijon. ^np+++??+=Dijon.],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
city ^nn++++=city
standing ^vwbg+++xvbg+=standing
on ^in++++=on
a ^at++++=a
high ^jj+atrb+++=high
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
rivers ^nns++++=rivers
flowing ^vwbg+++xvbg+=flowing
round ^in++++=round
its ^pp$+it+++=its
base ^nn++++=base,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
plain ^nn++++=plain
in ^in++++=in
front ^nn++++=front
about ^in++++=about
three ^cd++++=three
miles ^nns++++=miles
wide ^jj++++=wide.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
else ^rb+cnj+++=else
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
circled ^vpsv++agls+xvbnx+=circled
in ^in++++=in
by ^in++++=by
high ^jj+atrb+++=high
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
Caesar ^np++++=Caesar
resolved ^vwbn+vsua++xvbn+=resolved
to ^to+vcmp+++=to
shut ^vbi++++=shut
these ^dt+dem+++=these
brave ^jj+atrb+++=brave
men ^nns++++=men
in ^in++++=in
and ^cc++++=and
bring ^vb++++=bring
them ^pp3o+pp3+++=them
to ^in++++=to
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caused ^vbd+++xvbnx+=caused
his ^pp$+pp3+++=his
men ^nns++++=men
to ^to++++=to
begin ^vbi++++=begin
that ^dt+dem+++=that
mighty ^jj+atrb+++=mighty
system ^nn++++=system
of ^in++++=of
earthworks ^nns+++??+=earthworks
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
Romans ^nn++++=Romans
carried ^vbd+++xvbn+=carried
on ^in++++=on
their ^pp$+pp3+++=their
attacks ^nns++++=attacks,
, ^zz++++=EXTRAWORD
compassing ^jj+++xvbg+=compassing
their ^pp$+pp3+++=their
victim ^nn++++=victim
round ^in++++=round
on ^in++++=on
every ^at++++=every
side ^nn++++=side
with ^in++++=with
a ^at++++=a
deadly ^jj+atrb+++=deadly
slowness ^nns+nom+++=slowness
and ^cc++++=and
sureness ^nns+nom+++=sureness,
, ^zz++++=EXTRAWORD
by ^in++++=by
those ^dt+dem+++=those
broad ^jj+atrb+++=broad
ditches ^nns++++=ditches
and ^cc++++=and
terraced ^jj+atrb+++=terraced
ramparts ^nns++++=ramparts
that ^tht+rel+subj++=that
everywhere ^rb++++=everywhere
mark ^vb++++=mark
where ^wrb+who+++=where
their ^pp$+pp3+++=their
foot ^nn++++=foot
of ^in++++=of
iron ^nn++++=iron
was ^vbd+bedz+aux++=was
trod ^vpsv++agls+xvbnx+=trod.
. ^zz++++=EXTRAWORD
Eleven ^cd++++=Eleven
miles ^nns++++=miles
round ^rp++++=round
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
huge ^jj+atrb+++=huge
rampart ^nn+++??+=rampart
extend ^vb++++=extend,
, ^zz++++=EXTRAWORD
strengthened ^xvbn+++xvbn+=strengthened
by ^in++++=by
three ^cd++++=three-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
redoubts ^nns+++??+=redoubts,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
places ^nns++++=places
of ^in++++=of
defense ^nn+++??+=defense,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
watch ^nn++++=watch
was ^vbd+bedz+aux++=was
continually ^rb++splt++=continually
kept ^vpsv++agls+xvbnx+=kept.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
lines ^nns++++=lines
were ^vbd+bed+vrb++=were
complete ^jj+pred+++=complete,
, ^zz++++=EXTRAWORD
Vercingetorix ^np+++??+=Vercingetorix
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
cavalry ^nn++++=cavalry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
battle ^nn++++=battle,
, ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
time ^nn++++=time
with ^in++++=with
a ^at++++=a
hope ^nn++++=hope
of ^in++++=of
success ^nns+nom+++=success;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
enemy ^nn++++=enemy
were ^vbd+bed+vrb++=were
too ^ql++++=too
strong ^jj++++=strong
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
horsemen ^nns++++=horsemen
were ^vbd+bed+aux++=were
driven ^vpsv++agls+xvbnx+=driven
into ^in++++=into
the ^ati++++=the
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
resolved ^vbd+vsua++xvbn+=resolved
to ^to+vcmp+++=to
send ^vbi++++=send
home ^nr++++=home
all ^abn++++=all
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
could ^md+pos+++=could
be ^vb+be+vrb++=be
of ^in++++=of
no ^at++++=no
use ^nn++++=use
in ^in++++=in
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
better ^jjr++++=better
escape ^vb++++=escape
before ^cs+sub+++=before
the ^ati++++=the
ditch ^nn++++=ditch
should ^md+nec+++=should
have ^vb+hv+aux++=have
shut ^vprf+++xvbnx+=shut
them ^pp3o+pp3+++=them
in ^in++++=in
on ^in++++=on
every ^at++++=every
side ^nn++++=side.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
charged ^vbd+vpub++xvbnx+=charged
them ^pp3o+pp3+++=them
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
their ^pp$+pp3+++=their
several ^ap++++=several
tribes ^nns++++=tribes
and ^cc++++=and
endeavor ^vb++++=endeavor
to ^to+vcmp+++=to
assemble ^vbi++++=assemble
all ^abn++++=all
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
men ^nns++++=men
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
his ^pp$+pp3+++=his
rescue ^nn++++=rescue;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
speedily ^rb++++=speedily
succored ^jj+++xvbn+=succored,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
80,000 ^cd++++=80,000
of ^in++++=of
the ^ati++++=the
bravest ^nn++++=bravest
of ^in++++=of
the ^ati++++=the
Gauls ^np+++??+=Gauls
must ^md+nec+++=must
fall ^vb++++=fall
into ^in+ppvb+++=into
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
Romans ^nn++++=Romans,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
only ^rb+down+++=only
corn ^nn++++=corn
for ^in++++=for
thirty ^cd++++=thirty
days ^nns++++=days,
, ^zz++++=EXTRAWORD
even ^rb++++=even
with ^in++++=with
the ^ati++++=the
utmost ^jjb+atrb+++=utmost
saving ^nvbg+++xvbg+=saving.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
thus ^rb+cnj+++=thus
exhorted ^vbd+++xvbn+=exhorted
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
leave ^nn++++=leave
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
away ^rp+pl+++=away
at ^in++++=at
nine ^cd++++=nine
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
might ^md+pos+++=might
escape ^vb++++=escape
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark
where ^wrb+who+++=where
the ^ati++++=the
Roman ^jj+atrb+++=Roman
trench ^nn++++=trench
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
extended ^vbd+++xvbn+=extended.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
distributed ^vbd+++xvbnx+=distributed
the ^ati++++=the
cattle ^nns++++=cattle
among ^in++++=among
his ^pp$+pp3+++=his
men ^nns++++=men,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
retained ^vbd+++xvbn+=retained
the ^ati++++=the
corn ^nn++++=corn
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving
it ^pp3+it+++=it
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
utmost ^jjb+atrb+++=utmost
caution ^nn+nom+++=caution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Romans ^nn++++=Romans
outside ^jjb++++=outside
fortified ^jj+++xvbn+=fortified
their ^pp$+pp3+++=their
camp ^nn++++=camp
with ^in++++=with
a ^at++++=a
double ^jj+atrb+++=double
ditch ^nn++++=ditch,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
full ^jj++++=full
of ^in++++=of
water ^nn++++=water,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
a ^at++++=a
bank ^nn++++=bank
twelve ^cd++++=twelve
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
with ^in++++=with
stakes ^nns++++=stakes
forked ^jj++++=forked
like ^in++++=like
the ^ati++++=the
horns ^nns++++=horns
of ^in++++=of
a ^at++++=a
stag ^nn++++=stag.
. ^zz++++=EXTRAWORD
The ^ati++++=The
space ^nn++++=space
between ^in++++=between
the ^ati++++=the
ditches ^nns++++=ditches
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
pits ^nns++++=pits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scattered ^vpsv++agls+xvbn+=scattered
with ^in++++=with
iron ^nn++++=iron
caltrops ^nns+++??+=caltrops
or ^cc++++=or
hooked ^vbd+++xvbn+=hooked
spikes ^nns+++??+=spikes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
against ^in++++=against
the ^ati++++=the
garrison ^nn++++=garrison,
, ^zz++++=EXTRAWORD
to ^to++++=to
prevent ^vbi++++=prevent
them ^pp3o+pp3+++=them
from ^in++++=from
breaking ^xvbg+++xvbg+=breaking
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outside ^jjb++++=outside
the ^ati++++=the
camp ^nn++++=camp
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
another ^dt++++=another
line ^nn++++=line
of ^in++++=of
ditches ^nns++++=ditches
and ^cc++++=and
ramparts ^nns++++=ramparts
against ^in++++=against
the ^ati++++=the
Gauls ^np+++??+=Gauls
who ^whp+rel+subj++=who
might ^md+pos+++=might
be ^vb+be+aux++=be
coming ^vbg+++xvbgx+=coming
to ^in++++=to
the ^ati++++=the
rescue ^nn++++=rescue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
tribes ^nns++++=tribes
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
deaf ^jj++++=deaf
to ^in++++=to
the ^ati++++=the
summons ^nn++++=summons
of ^in++++=of
their ^pp$+pp3+++=their
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
assembled ^vpsv++agls+xvbn+=assembled
in ^in++++=in
large ^jj+atrb+++=large
numbers ^nns+nom+++=numbers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
as ^in++++=as
the ^ati++++=the
besieged ^jj+++xvbn+=besieged
had ^vbd+hvd+aux++=had
exhausted ^vprf+++xvbnx+=exhausted
their ^pp$+pp3+++=their
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
an ^at++++=an
army ^nn++++=army
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
on ^in++++=on
the ^ati++++=the
hills ^nns++++=hills
beyond ^in++++=beyond
the ^ati++++=the
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
commander ^nn+nom+++=commander
was ^vbd+bedz+vrb++=was
Vergosillaunus ^np+++??+=Vergosillaunus
( ^zz++++=(most
most ^ql+emph+++=EXTRAWORD
probably ^rb++++=probably
Fearsaighan ^np+nom++??+=Fearsaighan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Man ^nn++++=Man
of ^in++++=of
the ^ati++++=the
Standard ^nn++++=Standard),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
near ^jj+atrb+++=near
kinsman ^nn++++=kinsman
of ^in++++=of
Vercingetorix ^np+++??+=Vercingetorix;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
that ^dt+dem+++=that
bravery ^nn+nom+++=bravery
could ^md+pos+++=could
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
to ^to++++=to
break ^vbi++++=break
through ^in++++=through
the ^ati++++=the
defenses ^nns+++??+=defenses
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp
from ^in++++=from
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
Vercingetorix ^np+++??+=Vercingetorix
