Running ^jj+atrb++xvbg+=Running
Britomartis ^np+++??+=Britomartis
or ^cc++++=or
of ^in++++=of
Chastity ^nn+nom+++=Chastity
A ^at++++=A
sudden ^jj+atrb+++=sudden
rush ^nn++++=rush
of ^in++++=of
feet ^nns++++=feet
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
rusty ^np++++=rusty
swing ^nn++++=swing-open
- ^zz++++=EXTRAWORD
open ^jj++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
thin ^jj+atrb+++=thin
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
thrust ^vbd+++xvbn+=thrust
himself ^ppl+pp3+++=himself
into ^in++++=into
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
without ^in++++=without
a ^at++++=a
jerkin ^nn++++=jerkin,
, ^zz++++=EXTRAWORD
panting ^vbg+++xvbg+=panting,
, ^zz++++=EXTRAWORD
sobbing ^vbg+++xvbg+=sobbing,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
verge ^nn++++=verge
of ^in++++=of
collapse ^nn++++=collapse.
. ^zz++++=EXTRAWORD
" ^zz++++="Wessel,"
wessel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
words ^nns++++=words
choked ^vbd+++xvbn+=choked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="stick
stick ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
away ^rp+pl+++=away
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
love ^nn++++=love
of ^in++++=of
Our ^pp$+pp1+++=Our
Lady ^nn++++=Lady!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Caxter ^np+++??+=Caxter
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
carefully ^rb++++=carefully
closing ^vbg+++xvbg+=closing
his ^pp$+pp3+++=his
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bolted ^vbd+++xvbn+=bolted
the ^ati++++=the
door ^nn++++=door
in ^in++++=in
some ^dti++++=some
concern ^nn++++=concern.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
pursued ^vpsv++agls+xvbnx+=pursued,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
vow ^nn++++=vow
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
two ^cd++++=two
short ^jj++++=short-witted
- ^zz++++=EXTRAWORD
witted ^jj+atrb++xvbn+=EXTRAWORD
blades ^nns++++=blades
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
make ^vbi++++=make
me ^pp1o+pp1+++=me
into ^in++++=into
mincemeat ^nn++++=mincemeat
and ^cc++++=and
near ^in+pl+++=near
succeeding ^nn++++=succeeding.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me
hop ^nn++++=hop
the ^ati++++=the
back ^jjb+atrb+++=back
wall ^nn++++=wall!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
need ^vb++++=need,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wessel ^np+++??+=Wessel,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him
curiously ^rb+cnj+++=curiously,
, ^zz++++=EXTRAWORD
" ^zz++++="several
several ^ap++++=EXTRAWORD
battalions ^nns++++=battalions
armed ^vbd+++xvbn+=armed
with ^in++++=with
blunderbusses ^nns+++??+=blunderbusses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
Armadas ^np+++??+=Armadas,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
you ^pp2+pp2+++=you
reasonably ^rb++++=reasonably
secure ^vb++++=secure
from ^in++++=from
the ^ati++++=the
revenges ^nns+++??+=revenges
of ^in++++=of
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
smiled ^vbd+++xvbn+=smiled
with ^in++++=with
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sobbing ^vbg+++xvbg+=sobbing
gasps ^nns++++=gasps
were ^vbd+bed+aux++=were
giving ^vbg+++xvbgx+=giving
way ^nn++++=way
to ^in++++=to
quick ^jj+atrb+++=quick,
, ^zz++++=EXTRAWORD
precise ^jj+atrb+++=precise
breathing ^nvbg+++xvbg+=breathing;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hunted ^jj+atrb++xvbn+=hunted
air ^nn++++=air
had ^vbd+hvd+aux++=had
faded ^vprf+++xvbnx+=faded
to ^in++++=to
a ^at++++=a
faintly ^rb++++=faintly
perturbed ^xvbn+++xvbn+=perturbed
irony ^nn++++=irony.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+++=feel
little ^ap++++=little
surprise ^nn++++=surprise,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Wessel ^np+++??+=Wessel.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
were ^vbd+bed+vrb++=were
two ^cd++++=two
such ^abl++++=such
dreary ^jj+atrb+++=dreary
apes ^nns+++??+=apes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Making
making ^vbg+++xvbg+=EXTRAWORD
a ^at++++=a
total ^nn++++=total
of ^in++++=of
three ^cd++++=three."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
two ^cd++++=two
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
stick ^nn++++=stick
me ^pp1o+pp1+++=me
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs
in ^in++++=in
a ^at++++=a
spark ^nn++++=spark's
's ^$++++=EXTRAWORD
age ^nn++++=age."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
took ^vbd+++xvbn+=took
a ^at++++=a
dismantled ^jj+atrb++xvbn+=dismantled
pike ^nn++++=pike-staff
- ^zz++++=EXTRAWORD
staff ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
raising ^nvbg+++xvbg+=raising
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
high ^jj+atrb+++=high
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
dislodged ^jj++++=dislodged
a ^at++++=a
rough ^jj+atrb+++=rough
trap ^nn++++=trap-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
opening ^vwbg+++xvbg+=opening
into ^in++++=into
a ^at++++=a
garret ^nn+++??+=garret
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
ladder ^nn++++=ladder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
moved ^vbd+++xvbnx+=moved
a ^at++++=a
bench ^nn++++=bench
under ^in++++=under
the ^ati++++=the
trap ^nn++++=trap,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
which ^whp+rel+pied++=which
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
mounted ^vbd+++xvbn+=mounted,
, ^zz++++=EXTRAWORD
crouched ^j+++xvbn+=crouched,
, ^zz++++=EXTRAWORD
hesitated ^j+++xvbn+=hesitated,
, ^zz++++=EXTRAWORD
crouched ^j+++xvbn+=crouched
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
leaped ^vbd+++xvbn+=leaped
amazingly ^rb++++=amazingly
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
aperture ^nn++++=aperture
and ^cc++++=and
swung ^vbd+++xvbn+=swung
back ^jjb++++=back
and ^cc++++=and
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
shifting ^jj+++xvbg+=shifting
his ^pp$+pp3+++=his
hold ^nn++++=hold;
; ^zz++++=EXTRAWORD
finally ^rb++++=finally
doubled ^vbd+++xvbn+=doubled
up ^rp++++=up
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
a ^at++++=a
scurry ^vb++++=scurry,
, ^zz++++=EXTRAWORD
a ^at++++=a
migration ^nn+nom+++=migration
of ^in++++=of
rats ^nns++++=rats,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
trap ^nn++++=trap-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced;
; ^zz++++=EXTRAWORD
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
reading ^nvbg+++xvbg+=reading-table,
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
to ^in++++=to
the ^ati++++=the
Legend ^nn++++=Legend
of ^in++++=of
Britomartis ^np+++??+=Britomartis
or ^cc++++=or
of ^in++++=of
Chastity ^nn+nom+++=Chastity
and ^cc++++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
a ^at++++=a
minute ^nn++++=minute
later ^rbr+tm+++=later
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
scramble ^nn++++=scramble
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs
and ^cc++++=and
an ^at++++=an
intolerable ^jj++++=intolerable
hammering ^jj+++xvbg+=hammering
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
sighed ^vbd+++xvbn+=sighed
and ^cc++++=and,
, ^zz++++=EXTRAWORD
picking ^vbg+++xvbg+=picking
up ^rp++++=up
his ^pp$+pp3+++=his
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="Who's
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Open
open ^jj++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who's
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An
aching ^jj+atrb++xvbg+=aching
blow ^nn++++=blow
frightened ^vbd+++xvbn+=frightened
the ^ati++++=the
frail ^jj+atrb+++=frail
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
splintered ^j+++xvbn+=splintered
it ^pp3+it+++=it
around ^in++++=around
the ^ati++++=the
edge ^nn++++=edge.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
opened ^vbd+++xvbn+=opened
it ^pp3+it+++=it
a ^at++++=a
scarce ^jj++++=scarce
three ^cd++++=three
inches ^nns++++=inches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
candle ^nn++++=candle
high ^jj++++=high.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
was ^vbd+bedz+aux++=was
to ^to++++=to
play ^vb++++=play
the ^ati++++=the
timorous ^jj++++=timorous,
, ^zz++++=EXTRAWORD
the ^ati++++=the
super ^jj++++=super-respectable
- ^zz++++=EXTRAWORD
respectable ^jj+atrb+++=EXTRAWORD
citizen ^nn++++=citizen,
, ^zz++++=EXTRAWORD
disgracefully ^jj++++=disgracefully
disturbed ^jj+++xvbn+=disturbed.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
small ^jj+atrb+++=small
hour ^nn++++=hour
of ^in++++=of
the ^ati++++=the
night ^nn++++=night
for ^in++++=for
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^dt+dem+++=that
too ^ql++++=too
much ^ap++++=much
to ^to++++=to
ask ^vbi++++=ask
from ^in++++=from
every ^at++++=every
brawler ^jjr++++=brawler
and ^cc++++=and
" ^zz++++="
" ^zz++++="Quiet,
quiet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gossip ^nn++++=gossip!
! ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
a ^at++++=a
perspiring ^jj+++xvbg+=perspiring
fellow ^jjb++++=fellow?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shadows ^nps++++=shadows
of ^in++++=of
two ^cd++++=two
gallants ^nns+nom+++=gallants
fell ^vbd+++xvbn+=fell
in ^in++++=in
immense ^jj+atrb+++=immense
wavering ^jj+atrb+++=wavering
outlines ^nns++++=outlines
over ^in++++=over
the ^ati++++=the
narrow ^jj+atrb+++=narrow
stairs ^nns++++=stairs;
; ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
light ^nn++++=light
Wessel ^np+++??+=Wessel
scrutinized ^vwbn+++xvbn+=scrutinized
them ^pp3o+pp3+++=them
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
Gentlemen ^nns++++=Gentlemen,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
hastily ^rb++++=hastily
but ^cc+phrs+++=but
richly ^rb++++=richly
dressed ^vbd+++xvbn+=dressed
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
wounded ^vbd+++xvbn+=wounded
severely ^rb++++=severely
in ^in++++=in
the ^ati++++=the
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
both ^abx++++=both
radiating ^jj+++xvbg+=radiating
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
furious ^jj+atrb+++=furious
horror ^nn++++=horror.
. ^zz++++=EXTRAWORD
Waving ^vbg+++xvbg+=Waving
aside ^rp++++=aside
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
ready ^jj+atrb+++=ready
miscomprehension ^nn+++??+=miscomprehension,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
pushed ^vbd+++xvbnx+=pushed
by ^in++++=by
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
with ^in++++=with
their ^pp$+pp3+++=their
swords ^nns++++=swords
went ^vbd+++xvbn+=went
through ^in++++=through
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
poking ^xvbg+++xvbg+=poking
carefully ^rb++++=carefully
into ^in++++=into
all ^abn++++=all
suspected ^jj+++xvbn+=suspected
dark ^jj++++=dark
spots ^vbz++++=spots
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
further ^jjb++++=further
extending ^jj+++xvbg+=extending
their ^pp$+pp3+++=their
search ^nn++++=search
to ^in++++=to
Wessel ^np++++=Wessel's
's ^$++++=EXTRAWORD
bedchamber ^jjr++++=bedchamber.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
hid ^vbd+++xvbnx+=hid
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
the ^ati++++=the
wounded ^jj+atrb++xvbn+=wounded
man ^nn++++=man
fiercely ^rb++++=fiercely.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
who ^whp+who+++=who
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
man ^nn++++=man
but ^cc++++=but
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
two ^cd++++=two
others ^aps++++=others
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
of ^in+strn+++=of."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
second ^od++++=second
Wessel ^np+++??+=Wessel
feared ^vbd+vprv++xvbn+=feared
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
damned ^jj+++xvbn+=damned
funny ^jj++++=funny,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
gallants ^nns+nom+++=gallants
made ^vbd+++xvbn+=made
as ^cs+sub+++=as
though ^cs+sub+++=though
to ^in++++=to
prick ^nn+++??+=prick
him ^pp3o+pp3+++=him
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
hastily ^rb+cnj+++=hastily,
, ^zz++++=EXTRAWORD
" ^zz++++="full
full ^jj++++=EXTRAWORD
five ^cd++++=five
minutes ^nns++++=minutes
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
most ^ql+emph+++=most
certainly ^rb++++=certainly
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
come ^vbi++++=come
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
on ^in++++=on
to ^to++++=to
explain ^vbi+vpub+tht0++=explain
his ^pp$+pp3+++=his
absorption ^nn+nom+++=absorption
in ^in++++=in
" ^zz++++="The
the ^ati++++=EXTRAWORD
Faerie ^np+++??+=Faerie
Queene ^np+++??+=Queene"
" ^zz++++=EXTRAWORD
but ^cc++++=but,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
visitors ^nns++++=visitors,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
great ^jj+atrb+++=great
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
anaesthetic ^nn++++=anaesthetic
to ^in++++=to
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+whq++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Wessel ^np+++??+=Wessel.
. ^zz++++=EXTRAWORD
" ^zz++++="Violence!"
violence ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
wounded ^jj+atrb++xvbn+=wounded
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
noticed ^vbd+vprv++xvbn+=noticed
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
quite ^rb++++=quite
wild ^jj+pred+++=wild.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
own ^ap++++=own
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Christ ^np++++=Christ
in ^in++++=in
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
this ^dt+dem+++=this
man ^nn++++=man!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wessel ^np+++??+=Wessel
winced ^vbd+++xvbn+=winced.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="God's
god ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
word ^nn++++=word!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+++=know
not ^xnot++not++=not
even ^rb++++=even
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^tht+vcmp+++=that
trap ^nn++++=trap
up ^rp++++=up
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
nailed ^vpsv++agls+xvbnx+=nailed
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
pole ^nn++++=pole
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner
and ^cc++++=and
quailed ^vpsv++agls+xvbn+=quailed
in ^in++++=in
his ^pp$+pp3+++=his
belly ^nn++++=belly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
utter ^jjb+atrb+++=utter
despair ^nn++++=despair
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
men ^nns++++=men
dulled ^vwbn+++xvbn+=dulled
their ^pp$+pp3+++=their
astuteness ^nns+nom+++=astuteness.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
take ^vb++++=take
a ^at++++=a
ladder ^nn++++=ladder
for ^in++++=for
any ^dti++++=any
one ^cd1++++=one
not ^xnot++not++=not
a ^at++++=a
tumbler ^nn++++=tumbler,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
wounded ^jj+atrb++xvbn+=wounded
man ^nn++++=man
listlessly ^rb++++=listlessly.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
companion ^nn++++=companion
broke ^vbd+++xvbn+=broke
into ^in+ppvb+++=into
hysterical ^jj+atrb+++=hysterical
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
tumbler ^nn++++=tumbler.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
a ^at++++=a
tumbler ^nn++++=tumbler.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
" ^zz++++="
Wessel ^np+++??+=Wessel
stared ^vbd+++xvbn+=stared
at ^rb++++=at
them ^pp3o+pp3+++=them
in ^in++++=in
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
appeals ^nns+nom+++=appeals
to ^in++++=to
my ^pp$+pp1+++=my
most ^ap+emph+++=most
tragic ^jj+atrb+++=tragic
humor ^nn++++=humor,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
get ^vb++++=get
up ^rp++++=up
there ^rn+pl+++=there
but ^cc++++=but
a ^at++++=a
tumbler ^nn++++=tumbler."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
gallant ^nn++++=gallant
with ^in++++=with
the ^ati++++=the
wounded ^jj+atrb++xvbn+=wounded
hand ^nn++++=hand
snapped ^vbd+++xvbn+=snapped
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
fingers ^nns+nom+++=fingers
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
next ^ap++++=next
door ^nn++++=door
and ^cc++++=and
then ^rn+tm+++=then
on ^in++++=on
" ^zz++++="
Helplessly ^rb++++=Helplessly
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
as ^ql++++=as
two ^cd++++=two
walking ^nvbg+++xvbg+=walking
under ^in++++=under
a ^at++++=a
dark ^jj++++=dark
and ^cc++++=and
