Coming ^vbg+++xvbg+=Coming
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
crazy ^jj++++=crazy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bunch ^nn++++=bunch
would ^md+prd+++=would
bust ^vb++++=bust
anybody ^pn++++=anybody's
's ^vbz+bez+vrb++0=EXTRAWORD
mental ^jj+atrb+++=mental
tugs ^nns+++??+=tugs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
they ^pp3a+pp3+++=they
make ^vb++++=make
a ^at++++=a
mistake ^nn++++=mistake
drivin ^nn+++??+=drivin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
gums ^nns+++??+=gums
look ^vb++++=look
tonight ^nr+tm+++=tonight?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
stretched ^vwbn+++xvbn+=stretched
his ^pp$+pp3+++=his
lips ^nns++++=lips
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Captain ^npt++++=Captain
made ^vbd+++xvbn+=made
careful ^jj+atrb+++=careful
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
are ^vb+ber+aux++=are
mine ^nn++++=mine?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Red
red ^jj++++=EXTRAWORD
as ^ql++++=as
a ^at++++=a
berry ^nn++++=berry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Every ^at++++=Every
day ^nn++++=day
they ^pp3a+pp3+++=they
searched ^vbd+++xvbnx+=searched
thus ^rb+cnj+++=thus
for ^in++++=for
the ^ati++++=the
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
for ^in++++=for
discolouration ^nn+nom+++=discolouration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anxiously ^rb++++=anxiously
watching ^jj+atrb++xvbg+=watching
bruises ^nns++++=bruises
on ^in++++=on
limb ^nn++++=limb
or ^cc++++=or
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
live ^vb++++=live
in ^in++++=in
fear ^nn++++=fear
when ^wrb+who+++=when
their ^pp$+pp3+++=their
comrades ^nns++++=comrades
vanish ^vb++++=vanish
silently ^rb++++=silently
from ^in++++=from
their ^pp$+pp3+++=their
midst ^nn++++=midst.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
night ^nn++++=night
upon ^in++++=upon
retiring ^xvbg+++xvbg+=retiring
they ^pp3a+pp3+++=they
felt ^vbd+vprv++xvbnx+=felt
legs ^nns++++=legs
nervously ^rb+cnj+++=nervously,
, ^zz++++=EXTRAWORD
punching ^vbg+++xvbg+=punching
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
flesh ^nn++++=flesh
retained ^vbd+++xvbn+=retained
its ^pp$+it+++=its
resiliency ^nn+++??+=resiliency.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
insidious ^jj++++=insidious
is ^vbz+bez+vrb++=is
the ^ati++++=the
malady ^nn++++=malady's
's ^$++++=EXTRAWORD
approach ^nn++++=approach
that ^tht+rel+obj++=that
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
detected ^vpsv++agls+xvbnx+=detected
only ^rb+down+++=only
thus ^rb+cnj+++=thus.
. ^zz++++=EXTRAWORD
A ^at++++=A
lassitude ^nn++++=lassitude
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
a ^at++++=a
rheumatic ^jj+atrb+++=rheumatic
laziness ^nns+nom+++=laziness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pains ^nns++++=pains
and ^cc++++=and
swelling ^nn+nom+++=swelling
at ^in++++=at
the ^ati++++=the
joints ^nns++++=joints.
. ^zz++++=EXTRAWORD
Mayhap ^np+++??+=Mayhap
one ^cd1++++=one
notes ^nns++++=notes
a ^at++++=a
putty ^nn++++=putty-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
softness ^nns+nom+++=softness
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
limbs ^nns++++=limbs.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
he ^pp3a+pp3+++=he
presses ^nns+nom++??+=presses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
finger ^nn++++=finger
mark ^vb++++=mark
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
filling ^vbg+nom++xvbg+=filling
up ^rp++++=up
sluggishly ^rb++++=sluggishly.
. ^zz++++=EXTRAWORD
No ^at++++=No
mental ^jj+atrb+++=mental
depression ^nn++++=depression
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
drooping ^jj+atrb+++=drooping
ambition ^nn+nom+++=ambition,
, ^zz++++=EXTRAWORD
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
enlarging ^vbg+++xvbg+=enlarging
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
gradual ^jj++++=gradual,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
sudden ^jj++++=sudden.
. ^zz++++=EXTRAWORD
The ^ati++++=The
grim ^jj+atrb+++=grim
humour ^nn++++=humour
of ^in++++=of
seeing ^nn++++=seeing
grown ^vbd+++xvbn+=grown
men ^nns++++=men
gravely ^rb++++=gravely
poking ^jj+++xvbg+=poking
their ^pp$+pp3+++=their
legs ^nns++++=legs
with ^in++++=with
rigid ^jj+atrb+++=rigid
digits ^nns++++=digits,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
grinning ^jj+++xvbg+=grinning
anxiously ^rb++++=anxiously
into ^in++++=into
hand ^nn++++=hand-mirrors
- ^zz++++=EXTRAWORD
mirrors ^nns++++=EXTRAWORD
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
tenderfeet ^nn+++??+=tenderfeet
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
implacable ^jj+atrb+++=implacable
progress ^nns+nom+++=progress
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
black ^nn++++=black,
, ^zz++++=EXTRAWORD
merciless ^jj+atrb+++=merciless
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing
destructively ^rb++++=destructively
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
terrorized ^vprf+++xvbnx+=terrorized
them ^pp3o+pp3+++=them
into ^in++++=into
a ^at++++=a
hopeless ^jj+atrb+++=hopeless
fatalism ^nn+nom+++=fatalism
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
cowered ^vbd+++xvbnx+=cowered
helplessly ^rb+cnj+++=helplessly,
, ^zz++++=EXTRAWORD
awaiting ^vbg+++xvbg+=awaiting
its ^pp$+it+++=its
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
Captain ^npt++++=Captain
announced ^vbd+vpub++xvbn+=announced
to ^in++++=to
his ^pp$+pp3+++=his
partner ^nn++++=partner.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
Frenchmen ^np+++??+=Frenchmen's,
's, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+tht0++=hear
Menard ^np+++??+=Menard
is ^vbz+bez+vrb++=is
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
buttin ^nn+++??+=buttin'
' ^zz++++=EXTRAWORD
in ^in++++=in
where ^wrb+who+++=where
ye ^pp2+pp2+++=ye
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
wanted ^vprf+++xvbn+=wanted?
? ^zz++++=EXTRAWORD
As ^in++++=As
fer ^&fw++++=fer
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
them ^pp3o+pp3+++=them
frogeaters ^nns+nom+++=frogeaters
can ^md+pos+++=can
all ^rb++splt++=all
die ^vb++++=die
like ^in++++=like
salmon ^nn++++=salmon;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
nigh ^rb++++=nigh
them ^pp3o+pp3+++0='em
and ^cc++++0=an'
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
told ^vprf+++xvbnx+=told
them ^pp3o+pp3+++0='em
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
them ^pp3o+pp3+++0='em
good ^jj+atrb+++=good
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
what ^wdt+who+whq++0=what'd
'd ^md+prd+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++0=What'd
'd ^md+prd+aux++=EXTRAWORD
that ^dt+pdem+++=that
daffy ^vb++++=daffy
doctor ^nn++++=doctor
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
Pooh ^np+++??+=Pooh-poohed
- ^zz++++=EXTRAWORD
poohed ^jj+++xvbn+=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me
and ^cc++++0=an'
physiced ^jj+++xvbn+=physiced
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Lord ^npt++++=Lord!
! ^zz++++=EXTRAWORD
Physic ^np+++??+=Physic
a ^at++++=a
man ^nn++++=man
with ^in++++=with
scurvy ^nn+++??+=scurvy--might
-- ^--+clp+++=EXTRAWORD
might ^md+pos+++=EXTRAWORD
as ^rb++splt++=as
well ^rb++++=well
bleed ^vb++++=bleed
a ^at++++=a
patient ^nn++++=patient
fer ^&fw++++=fer
amputation ^nn+nom+++=amputation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
spoke ^vbd+++xvbn+=spoke
with ^in++++=with
considerable ^jj+atrb+++=considerable
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
pulled ^vbd+++xvbn+=pulled
his ^pp$+pp3+++=his
parka ^nn+++??+=parka
hood ^nn++++=hood
well ^rb++++=well
down ^rp++++=down
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
fox ^nn++++=fox-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
around ^rp++++=around
the ^ati++++=the
edge ^nn++++=edge
protected ^vwbn+++xvbn+=protected
his ^pp$+pp3+++=his
features ^nns++++=features,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stepped ^vbd+++xvbn+=stepped
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
several ^ap++++=several
such ^abl++++=such
trips ^nns++++=trips
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past
few ^ap++++=few
months ^nns++++=months
to ^to++++=to
call ^vbi++++=call
on ^in+ppvb+++=on
men ^nns++++=men
smitten ^vprf+++xvbn+=smitten
with ^in++++=with
the ^ati++++=the
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
to ^in++++=to
no ^ati++neg++=no
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
" ^zz++++="chechakos"
chechakos ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
supreme ^jj+pred+++=supreme
in ^in++++=in
their ^pp$+pp3+++=their
conceit ^nn++++=conceit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refused ^vpsv++agls+xvbn+=refused
to ^to+vcmp+++=to
heed ^vb++++=heed
his ^pp$+pp3+++=his
advice ^nn++++=advice.
. ^zz++++=EXTRAWORD
Returning ^vbg+++xvbg+=Returning
at ^rb++++=at
bed ^nn++++=bed
time ^nn++++=time
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
his ^pp$+pp3+++=his
partner ^nn++++=partner
webbing ^vwbg+++xvbg+=webbing
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
snow ^np++++=snow-shoes
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
a ^at++++=a
stinking ^jj+++xvbg+=stinking
" ^zz++++="go-devil,"
go ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
devil ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
string ^nn++++=string
suspended ^vwbn+++xvbn+=suspended
in ^in++++=in
a ^at++++=a
can ^nn++++=can
of ^in++++=of
molten ^jj+atrb+++=molten
grease ^nn++++=grease.
. ^zz++++=EXTRAWORD
The ^ati++++=The
camp ^nn++++=camp
had ^vbd+hvd+aux++=had
sold ^vprf+++xvbnx+=sold
them ^pp3o+pp3+++=them
grub ^nn++++=grub,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
refused ^vbd+++xvbn+=refused
the ^ati++++=the
luxury ^nn++++=luxury
of ^in++++=of
candles ^nns++++=candles.
. ^zz++++=EXTRAWORD
Noting ^vbg+vprv++xvbg+=Noting
his ^pp$+pp3+++=his
gravity ^nn+nom+++=gravity,
, ^zz++++=EXTRAWORD
George ^np++++=George
questioned ^vbd+vpub++xvbn+=questioned:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how's
's ^vbz+bez+vrb++0=EXTRAWORD
Menard ^np+++??+=Menard?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dead!"
dead ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
shook ^vbd+++xvbn+=shook
himself ^ppl+pp3+++=himself
as ^cs+sub+++=as
though ^cs+sub+++=though
at ^in++++=at
the ^ati++++=the
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
awful ^jj+pred+++=awful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
to ^in++++=to
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
found ^vbd+vprv+tht0+xvbnx+=found
him ^pp3o+pp3+++=him
propped ^vbd+++xvbn+=propped
up ^rp++++=up
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
feeling ^nvbg+++xvbg+=feeling
fine ^jj++++=fine--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
they ^pp3a+pp3+++=they
go ^vb++++=go.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it
many ^ap++++=many
a ^at++++=a
time ^nn++++=time--feelin'
-- ^--+clp+++=EXTRAWORD
feelin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
fine ^jj+atrb+++=fine
plumb ^nn+++??+=plumb
to ^in++++=to
the ^ati++++=the
last ^ap++++=last."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He'd
he ^pp3a+pp3+++0=EXTRAWORD
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
telling ^nvbg+++xvbg+=telling
me ^pp1o+pp1+++=me
about ^in++++=about
a ^at++++=a
bet ^nn+++xvbn+=bet
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
with ^in++++=with
Promont ^np+++??+=Promont.
. ^zz++++=EXTRAWORD
Promont ^np+++??+=Promont
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
last ^rb++++=last
week ^nn++++=week,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
same ^ap++++=same
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Menard ^np+++??+=Menard
bet ^vbd+++xvbn+=bet
him ^pp3o+pp3+++=him
twenty ^cd++++=twenty
dollars ^nns++++=dollars
that ^tht+rel+obj++=that
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
outlast ^nn+++??+=outlast
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'I'm
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
all ^abn++++=all
right ^jj++++=right,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
poor ^jj+atrb+++=poor
Promont ^np++++=Promont's
's ^$++++=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
his ^pp$+pp3+++=his
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
to ^in++++=to
josh ^nn+++??+=josh
with ^in++++=with
the ^ati++++=the
boy ^nn++++=boy
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
Menard ^np+++??+=Menard
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
jaw ^nn++++=jaw
had ^vbd+hvd+aux++=had
sagged ^vprf+++xvbnx+=sagged
and ^cc++++=and
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
settled ^vprf+++xvbnx+=settled
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
Promont ^np+++??+=Promont
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cackled ^jj+++xvbn+=cackled.
. ^zz++++=EXTRAWORD
' ^zz++++='H'I
h ^zz++++=EXTRAWORD
'i ^nn+++??+=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
win ^vb++++=win
de ^&fw++++=de
bet ^vbd+vpub++xvbn+=bet!
! ^zz++++=EXTRAWORD
H ^zz++++=H'I
'i ^nn+++??+=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
win ^vb++++=win
de ^&fw++++=de
bet ^vbd+vpub++xvbn+=bet!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
just ^rb+emph+++=just
slid ^vbd+++xvbn+=slid
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Gee ^np++++=Gee!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
horrible ^jj+pred+++=horrible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
put ^vwbn+++xvbn+=put
by ^in++++=by
his ^pp$+pp3+++=his
work ^nn++++=work
and ^cc++++=and
swore ^vbd+vpub++xvbn+=swore,
, ^zz++++=EXTRAWORD
pacing ^vbg+++xvbg+=pacing
the ^ati++++=the
rough ^jj+atrb+++=rough
pole ^nn++++=pole
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
cussed ^jj+atrb++xvbn+=cussed
fools ^nns++++=fools!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
makes ^vbz++++=makes
six ^cd++++=six
dead ^jj++++=dead
from ^in++++=from
the ^ati++++=the
one ^cd1++++=one
cabin ^nn++++=cabin--six
-- ^--+clp+++=EXTRAWORD
six ^cd++++=EXTRAWORD
from ^in++++=from
eighteen ^cd++++=eighteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Promont ^np+++??+=Promont'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
seven ^cd++++=seven
to ^to++++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
ye ^pp2+pp2+++=ye
mind ^vb+++??+=mind
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
begged ^vbd+++xvbn+=begged
them ^pp3o+pp3+++0='em
to ^to++++=to
quit ^vbi++++=quit
that ^dt+pdem+++=that
dug ^vbd+++xvbn+=dug-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
and ^cc++++0=an'
build ^vb++++=build
a ^at++++=a
white ^jj+atrb+++=white
man ^nn++++=man's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
drink ^vb++++=drink
spruce ^jj+atrb+++=spruce
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
work ^nn++++=work!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
too ^ql++++=too
-- ^--+clp+++=---lazy.
- ^zz++++=EXTRAWORD
lazy ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lie ^vb++++=lie
around ^rp++++=around
in ^cs+sub+++=in
that ^cs"++++=that
hole ^nn++++=hole,
, ^zz++++=EXTRAWORD
breath ^nn++++=breath
bad ^jj+atrb+++=bad
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
rot ^nn++++=rot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
think ^vbi+vprv+++=think,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
only ^rb+down+++=only
had ^vb+hv+vrb++=had
a ^at++++=a
crate ^nn++++=crate
of ^in++++=of
potatoes ^nns++++=potatoes
in ^in++++=in
camp ^nn++++=camp
we ^pp1a+pp1+++=we
could ^md+pos+++=could
save ^vb++++=save
every ^at++++=every
man ^nn++++=man
jack ^np++++=jack
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Lord ^npt++++=Lord!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
never ^rb++++=never
even ^rb++++=even
brought ^vwbn+++xvbn+=brought
no ^at++++=no
citric ^jj++++=citric
acid ^jj++++=acid
nor ^cc++neg++=nor
lime ^nn++++=lime
juice--nothin ^nn+++??+=juice--nothin'!
'! ^nn+++??+=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
lost ^vprf+++xvbn+=lost
our ^pp$+pp1+++=our
grub ^nn++++=grub
when ^wrb+who+++=when
the ^ati++++=the
whale ^nn++++=whale-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
upset ^vbd+++xvbn+=upset,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
ten ^cd++++=ten-gallon
- ^zz++++=EXTRAWORD
gallon ^nn++++=EXTRAWORD
keg ^nn+++??+=keg
of ^in++++=of
booze ^nn++++=booze
would ^md+prd+++=would
help ^vb++++=help
some ^dti++++=some.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
such ^abl++++=such
a ^at++++=a
thirst ^nn++++=thirst
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
