Mamma ^npt++++=Mamma
opened ^vbd+++xvbnx+=opened
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
curiously ^rb+cnj+++=curiously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her
name ^nn++++=name
written ^vbd+++xvbn+=written
in ^in++++=in
black ^jj+atrb+++=black
letters ^nns+nom+++=letters
upon ^in++++=upon
the ^ati++++=the
first ^rb++++=first
white ^jj+atrb+++=white
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
funny ^jj+atrb+++=funny
little ^jj+atrb+++=little
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
next ^ap++++=next
leaf ^nn++++=leaf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
big ^jj+atrb+++=big
picture ^nn++++=picture
of ^in++++=of
a ^at++++=a
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
green ^nn++++=green
and ^cc++++=and
red ^jj++++=red
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^vbg+hvg++xvbg+=having
a ^at++++=a
very ^ql+amp+++=very
white ^np++++=white
face ^nn++++=face
with ^in++++=with
three ^cd++++=three-cornered
- ^zz++++=EXTRAWORD
cornered ^vbd+++xvbn+=EXTRAWORD
spots ^nns++++=spots
of ^in++++=of
red ^nn++++=red
on ^in++++=on
each ^dt++++=each
cheek ^nn++++=cheek
and ^cc++++=and
over ^in++++=over
the ^ati++++=the
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
this ^dt+dem+++=this
the ^ati++++=the
book ^nn++++=book
trembled ^vbd+++xvbn+=trembled
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leaf ^nn++++=leaf
crackled ^vbd+++xvbn+=crackled
and ^cc+phrs+++=and
creaked ^vbd+++xvbn+=creaked
and ^cc++++=and
suddenly ^rb++++=suddenly
the ^ati++++=the
clown ^nn++++=clown
jumped ^vbd+++xvbn+=jumped
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
beside ^in+pl+++=beside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
becoming ^vbg+++xvbg+=becoming
instantly ^rb+tm+++=instantly
as ^in++++=as
big ^jj++++=big
as ^ql++++=as
any ^dti++++=any
ordinary ^jj++++=ordinary
clown ^jj+++xvbn+=clown.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
stretching ^xvbg+++xvbg+=stretching
his ^pp$+pp3+++=his
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs
and ^cc++++=and
yawning ^vbg+++xvbg+=yawning
in ^in++++=in
a ^at++++=a
rather ^rb++++=rather
impolite ^nn++++=impolite
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
silly ^jj+atrb+++=silly
chuckle ^nn++++=chuckle
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
cramped ^jj+atrb++xvbn+=cramped
one ^cd1++++=one
gets ^vbz++++=gets,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
so ^ql++++=so
long ^rb++++=long
upon ^in++++=upon
a ^at++++=a
page ^nn++++=page
of ^in++++=of
flat ^jj+atrb+++=flat
paper ^nn++++=paper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
you ^pp2+pp2+++=you
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
how ^wrb+who+whcl++=how
startled ^jj+++xvbn+=startled
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
the ^ati++++=the
clown ^vprf+++xvbn+=clown
who ^whp+who+++=who
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
leaped ^vprf+++xvbnx+=leaped
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+++=expect
anything ^pn++++=anything
of ^in++++=of
this ^dt+dem+++=this
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
leering ^jj++++=leering
at ^in++++=at
her ^pp$+pp3+++=her
in ^in++++=in
clown ^jj+atrb++xvbn+=clown
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
around ^rp++++=around
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
laughed ^vbd+++xvbn+=laughed
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
her ^pp$+pp3+++=her
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
amuses ^nns+++??+=amuses
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
the ^ati++++=the
clown ^nn++++=clown.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
all ^abn++++=all
white ^jj++++=white!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
clown ^nn++++=clown
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quite
quite ^rb++++=EXTRAWORD
likely ^jj++++=likely,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
annoyed ^jj+atrb+++=annoyed
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
artist ^nn++++=artist
made ^vbd+++xvbn+=made
a ^at++++=a
front ^jjb+atrb+++=front
view ^nn++++=view
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
expected ^vbd+vprv++xvbn+=expected
to ^to+vcmp+++=to
make ^vbi++++=make
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
against ^in++++=against
the ^ati++++=the
page ^nn++++=page
of ^in++++=of
the ^ati++++=the
book ^nn++++=book."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
makes ^vbz++++=makes
you ^pp2+pp2+++=you
look ^vb++++=look
so ^ql+emph+++=so
funny ^jj++++=funny!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
until ^cs+sub+++=until
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
moist ^jj+pred+++=moist
with ^in++++=with
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clown ^nn++++=clown
looked ^vbd+++xvbn+=looked
sulky ^jj++++=sulky
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
upon ^in++++=upon
a ^at++++=a
chair ^nn++++=chair
so ^ql++++=so
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
book ^nn++++=book,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked,
, ^zz++++=EXTRAWORD
crossly ^rb++++=crossly.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reminded ^jj+++xvbn+=reminded
her ^pp$+pp3+++=her
to ^to++++=to
turn ^vbi++++=turn
another ^dt++++=another
page ^nn++++=page,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
noted ^vprf+++xvbnx+=noted
that ^tht+vcmp+++=that
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
a ^at++++=a
monkey ^nn++++=monkey
when ^wrb+who+++=when
the ^ati++++=the
animal ^nn++++=animal
sprang ^vbd+++xvbn+=sprang
from ^in++++=from
the ^ati++++=the
book ^nn++++=book
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
crumpling ^nn+nom+++=crumpling
of ^in++++=of
paper ^nn++++=paper
and ^cc++++=and
landed ^vpsv++agls+xvbn+=landed
upon ^in++++=upon
the ^ati++++=the
window ^nn++++=window
seat ^nn++++=seat
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="He-he-he-he-he!"
he ^pp3a+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
chattered ^vbd+++xvbn+=chattered
the ^ati++++=the
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
springing ^vbg+++xvbg+=springing
to ^in++++=to
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
center ^jjr+atrb+++=center
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
great ^jj+atrb+++=great
fun ^nn++++=fun!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
can ^md+pos+++=can
be ^vb+be+vrb++=be
a ^at++++=a
real ^jj+atrb+++=real
monkey ^nn++++=monkey
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Real
real ^jj+atrb+++=EXTRAWORD
monkeys ^nns++++=monkeys
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
talk ^vb++++=talk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
reprovingly ^rb++++=reprovingly.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
ever ^rb++++=ever
been ^vprf+ben+vrb+xvbn+=been
one ^cd1++++=one
yourself ^ppl+pp2+++=yourself?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
the ^ati++++=the
animal ^nn++++=animal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
clown ^nn++++=clown
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
enjoyed ^vbd+++xvbnx+=enjoyed
the ^ati++++=the
remark ^nn++++=remark.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
was ^vbd+bedz+aux++=was
quite ^abl++++=quite
bewildered ^vpsv++by+xvbn+=bewildered
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thoughtlessly ^jj++++=thoughtlessly
turned ^jj+++xvbn+=turned
another ^dt++++=another
leaf ^nn++++=leaf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
look ^vbi++++=look
twice ^rb++++=twice
a ^at++++=a
gray ^np++++=gray
donkey ^nn++++=donkey
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
the ^ati++++=the
book ^nn++++=book
and ^cc++++=and
stumbled ^vpsv++agls+xvbn+=stumbled
from ^in++++=from
the ^ati++++=the
window ^nn++++=window
seat ^nn++++=seat
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
clatter ^nn++++=clatter.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
clumsy ^jj+pred+++=clumsy
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
indignantly ^rb+cnj+++=indignantly,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
beast ^nn++++=beast
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
upset ^vprf+++xvbnx+=upset
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Clumsy!
clumsy ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+++=why
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
the ^ati++++=the
donkey ^nn++++=donkey,
, ^zz++++=EXTRAWORD
with ^in++++=with
angry ^jj+atrb+++=angry
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
the ^ati++++=the
fool ^jjb+atrb+++=fool
artist ^nn++++=artist
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
you ^pp2+pp2+++=you
out ^rp+pl+++=out
of ^in++++=of
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
be ^vb+be+vrb++=be
clumsy ^jj+pred+++=clumsy
yourself ^ppl+pp2+++=yourself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong
with ^in++++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
front ^jjb+atrb+++=front
and ^cc+phrs+++=and
rear ^jjb+atrb+++=rear
legs ^nns++++=legs
on ^in++++=on
the ^ati++++=the
left ^jj+atrb++xvbn+=left
side ^nn++++=side
are ^vb+ber+vrb++=are
nearly ^rb+down+++=nearly
six ^cd++++=six
inches ^nns++++=inches
too ^ql++++=too
short ^jj++++=short,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
that ^dt+dem+++=that
artist ^nn++++=artist
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
draw ^vbi++++=draw
properly ^rb++++=properly
why ^wrb+who+++=why
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
try ^vb++++=try
to ^to+vcmp+++=to
make ^vbi++++=make
a ^at++++=a
donkey ^nn++++=donkey
at ^rb++++=at
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv+tht0+xvbg+=seeing
an ^at++++=an
answer ^nn++++=answer
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
hardly ^rb+down+splt++=hardly
stand ^vb++++=stand
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
grumbled ^vbd+++xvbn+=grumbled
the ^ati++++=the
donkey ^nn++++=donkey;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
the ^ati++++=the
least ^rbt++++=least
little ^jj+atrb+++=little
thing ^nn++++=thing
will ^md+prd+++=will
topple ^vb++++=topple
me ^pp1o+pp1+++=me
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
mind ^vb++++=mind
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
monkey ^nn++++=monkey,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
a ^at++++=a
spring ^vb++++=spring
at ^rb++++=at
the ^ati++++=the
chandelier ^nn+nom+++=chandelier
and ^cc++++=and
swinging ^jj+++xvbg+=swinging
from ^in++++=from
it ^pp3+it+++=it
by ^in++++=by
his ^pp$+pp3+++=his
tail ^nn++++=tail
until ^cs+sub+++=until
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
feared ^vbd+vprv+tht0+xvbn+=feared
he ^pp3a+pp3+++=he
would ^md+prd+++=would
knock ^vb++++=knock
all ^abn++++=all
the ^ati++++=the
globes ^nns++++=globes
off ^in+strn+++=off;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
same ^ap++++=same
artist ^nn++++=artist
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
my ^pp$+pp1+++=my
ears ^nns++++=ears
as ^in++++=as
big ^jj++++=big
as ^ql++++=as
that ^cs+sub+++=that
clown ^vprf+++xvbn+=clown's
's ^vbz+bez+vrb++0=EXTRAWORD
and ^cc++++=and
everyone ^pn++++=everyone
knows ^vbz+vprv+tht0++=knows
a ^at++++=a
monkey ^nn++++=monkey
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
ears ^nns++++=ears
to ^to++++=to
speak ^vbi++++=speak
of ^in+strn+++=of--much
-- ^--+clp+++=EXTRAWORD
much ^ap++++=EXTRAWORD
less ^rbr++++=less
to ^to++++=to
draw ^vbi++++=draw."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
prosecuted ^vpsv++agls+xvbnx+=prosecuted,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
gloomily ^rb++++=gloomily.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
looked ^vbd+++xvbn+=looked
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
with ^in++++=with
a ^at++++=a
puzzled ^jj+atrb++xvbn+=puzzled
expression ^nn++++=expression
upon ^in++++=upon
her ^pp$+pp3+++=her
sweet ^jj+atrb+++=sweet
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
another ^dt++++=another
page ^nn++++=page
of ^in++++=of
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Swift ^np++++=Swift
as ^ql++++=as
a ^at++++=a
flash ^nn++++=flash
there ^ex+pex+++=there
sprang ^vbd+++xvbn+=sprang
over ^rp++++=over
her ^pp3o+pp3+++=her
shoulder ^nn+nom+++=shoulder
a ^at++++=a
tawney ^nn+++??+=tawney,
, ^zz++++=EXTRAWORD
spotted ^jj+atrb++xvbn+=spotted
leopard ^nn++++=leopard,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
landed ^vbd+++xvbn+=landed
upon ^in++++=upon
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
big ^jj+atrb+++=big
leather ^nn++++=leather
armchair ^nn++++=armchair
and ^cc++++=and
turned ^vpsv++agls+xvbn+=turned
upon ^in++++=upon
the ^ati++++=the
others ^aps++++=others
with ^in++++=with
a ^at++++=a
fierce ^jj+atrb+++=fierce
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
monkey ^nn++++=monkey
climbed ^vbd+++xvbn+=climbed
to ^in++++=to
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
chandelier ^nn+nom+++=chandelier
and ^cc++++=and
chattered ^vpsv++agls+xvbn+=chattered
with ^in++++=with
fright ^nn++++=fright.
. ^zz++++=EXTRAWORD
The ^ati++++=The
donkey ^nn++++=donkey
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
run ^vbi++++=run
and ^cc++++=and
straightway ^rb++++=straightway
tipped ^vbd+++xvbn+=tipped
over ^in++++=over
on ^in++++=on
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
side ^nn++++=side.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clown ^nn++++=clown
grew ^vbd+++xvbn+=grew
paler ^jjr++++=paler
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
still ^jj+pred+++=still
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair
and ^cc++++=and
gave ^vbd+++xvbn+=gave
a ^at++++=a
low ^jj+atrb+++=low
whistle ^nn++++=whistle
of ^in++++=of
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leopard ^nn++++=leopard
crouched ^vbd+++xvbn+=crouched
upon ^in++++=upon
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
lashed ^j+++xvbn+=lashed
his ^pp$+pp3+++=his
tail ^nn++++=tail
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side
and ^cc++++=and
glared ^vbd+++xvbn+=glared
at ^rb++++=at
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
by ^in++++=by
turns ^nns++++=turns,
, ^zz++++=EXTRAWORD
including ^in++++=including
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys.
. ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^whp+who+++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
