Her ^pp$+pp3+++=Her
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
night ^nn++++=night
or ^cc++++=or
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kitten ^nn++++=kitten
would ^md+prd+++=would
jump ^vb++++=jump
into ^in++++=into
her ^pp$+pp3+++=her
lap ^nn++++=lap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settle ^vb++++=settle
down ^rp++++=down
to ^in++++=to
slumber ^jjr++++=slumber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
show ^vb+vprv+tht0++=show
its ^pp$+it+++=its
appreciation ^nn+nom+++=appreciation
of ^in++++=of
an ^at++++=an
aid ^nn++++=aid
to ^to++++=to
sleep ^vbi++++=sleep
as ^in++++=as
Subha ^np+++??+=Subha
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
soft ^jj+atrb+++=soft
fingers ^nns+nom+++=fingers
over ^in++++=over
its ^pp$+it+++=its
neck ^nn++++=neck
and ^cc++++=and
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Subha ^np+++??+=Subha
had ^vb+hv+vrb++=had
a ^at++++=a
comrade ^nn++++=comrade
also ^rb++++=also
among ^in++++=among
the ^ati++++=the
higher ^jjr+atrb+++=higher
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
what ^wdt+who+++=what
were ^vbd+bed+vrb++=were
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
relations ^nns+nom+++=relations
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
could ^md+pos+++=could
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
gift ^nn++++=gift
of ^in++++=of
speech ^nn++++=speech
left ^vbd+++xvbn+=left
them ^pp3o+pp3+++=them
without ^in++++=without
any ^dti++++=any
common ^jj+atrb+++=common
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
boy ^nn++++=boy
of ^in++++=of
the ^ati++++=the
Gosains ^np+++??+=Gosains,
, ^zz++++=EXTRAWORD
Pratap ^np+++??+=Pratap
by ^in++++=by
name ^nn++++=name,
, ^zz++++=EXTRAWORD
an ^at++++=an
idle ^jj++++=idle
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
After ^in++++=After
long ^rb++++=long
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
parents ^nns++++=parents
had ^vbd+hvd+aux++=had
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
hope ^vb++++=hope
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
ever ^rb++splt++=ever
make ^vb++++=make
his ^pp$+pp3+++=his
living ^nvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
losels ^nns+++??+=losels
have ^vb+hv+vrb++=have
this ^dt+dem+++=this
advantage ^nn+nom+++=advantage,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
their ^pp$+pp3+++=their
own ^ap++++=own
folk ^jjb++++=folk
disapprove ^vb++++=disapprove
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
popular ^jj+pred+++=popular
with ^in++++=with
every ^at++++=every
one ^cd1++++=one
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Having ^vbg+hvg++xvbg+=Having
no ^at++++=no
work ^nn++++=work
to ^in++++=to
chain ^nn++++=chain
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
become ^vb++++=become
public ^jj+atrb+++=public
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^in++++=as
every ^at++++=every
town ^nn++++=town
needs ^nns++++=needs
an ^at++++=an
open ^jj+atrb+++=open
space ^nn++++=space
where ^wrb+who+++=where
all ^abn++++=all
may ^md+pos+++=may
breathe ^vb++++=breathe,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
a ^at++++=a
village ^nn+nom+++=village
needs ^nns++++=needs
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
gentlemen ^nns++++=gentlemen
of ^in++++=of
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
can ^md+pos+++=can
give ^vb++++=give
time ^nn++++=time
to ^in++++=to
all ^abn++++=all;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
lazy ^jj+pred+++=lazy
and ^cc++++=and
want ^vb++++=want
a ^at++++=a
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
is ^vbz+bez+vrb++=is
to ^in++++=to
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Pratap ^np++++=Pratap's
's ^$++++=EXTRAWORD
chief ^jjb+atrb+++=chief
ambition ^nn+nom+++=ambition
was ^vbd+bedz+aux++=was
to ^to++++=to
catch ^vbi++++=catch
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
waste ^vbi++++=waste
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
time ^nn++++=time
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
almost ^rb+hdg+++=almost
any ^dti++++=any
afternoon ^nn++++=afternoon
so ^ql+emph+++=so
employed ^jj+++xvbn+=employed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
thus ^rb+cnj+++=thus
most ^ql+emph+++=most
often ^rb++++=often
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
Subha ^np+++??+=Subha.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
a ^at++++=a
companion ^nn++++=companion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
is ^vbz+bez+aux++=is
catching ^vbg+++xvbgx+=catching
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
a ^at++++=a
silent ^jj+atrb+++=silent
companion ^nn++++=companion
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Pratap ^np+++??+=Pratap
respected ^vbd+++xvbn+=respected
Subha ^np+++??+=Subha
for ^in++++=for
her ^pp$+pp3+++=her
taciturnity ^nn+nom+++=taciturnity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
one ^cd1++++=one
called ^jj+++xvbn+=called
her ^pp3o+pp3+++=her
Subha ^np+++??+=Subha,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
showed ^vbd+vprv+tht0+xvbnx+=showed
his ^pp$+pp3+++=his
affection ^nn+nom+++=affection
by ^in++++=by
calling ^xvbg+++xvbg+=calling
her ^pp3o+pp3+++=her
Su ^np+++??+=Su.
. ^zz++++=EXTRAWORD
Subha ^np+++??+=Subha
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
beneath ^in+pl+++=beneath
a ^at++++=a
tamarind ^nn+++??+=tamarind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pratap ^np+++??+=Pratap,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
distance ^nn+nom+++=distance
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
cast ^vb+++xvbn+=cast
his ^pp$+pp3+++=his
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Pratap ^np+++??+=Pratap
took ^vbd+++xvbn+=took
with ^in++++=with
him ^pp3o+pp3+++=him
a ^at++++=a
small ^jj+atrb+++=small
allowance ^nn+nom+++=allowance
of ^in++++=of
betel ^nn+++??+=betel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Subha ^np+++??+=Subha
prepared ^vwbn+++xvbn+=prepared
it ^pp3+it+++=it
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
and ^cc+phrs+++=and
gazing ^vbg+++xvbg+=gazing
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
desired ^vbd+vsua++xvbnx+=desired
ardently ^rb++++=ardently
to ^to++++=to
bring ^vbi++++=bring
some ^dti++++=some
great ^jj++++=great
help ^vb++++=help
to ^to+vcmp+++=to
Pratap ^vb+++??+=Pratap,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
of ^in++++=of
real ^jj+atrb+++=real
aid ^nn++++=aid,
, ^zz++++=EXTRAWORD
to ^to++++=to
prove ^vbi+vprv+++=prove
by ^in++++=by
any ^dti++++=any
means ^nns++++=means
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
useless ^jj+atrb+++=useless
burden ^nn++++=burden
to ^in++++=to
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
Creator ^nn++++=Creator
in ^in++++=in
prayer ^nn++++=prayer
for ^in++++=for
some ^dti++++=some
rare ^jj+atrb+++=rare
power ^nn++++=power,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
by ^in++++=by
an ^at++++=an
astonishing ^jj+atrb+++=astonishing
miracle ^nn++++=miracle
she ^pp3a+pp3+++=she
might ^md+pos+++=might
startle ^vb+++??+=startle
Pratap ^np+++??+=Pratap
into ^in++++=into
exclaiming ^xvbg+++xvbg+=exclaiming:
: ^zz++++=EXTRAWORD
" ^zz++++="My!
my ^pp$+pp1+++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
dreamt ^vbd+++xvbn+=dreamt
our ^pp$+pp1+++=our
Su ^np+++??+=Su
could ^md+pos+++=could
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
this ^dt+pdem+++=this!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Subha ^np+++??+=Subha
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
water ^nn++++=water
nymph ^nn++++=nymph,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+aux++=have
risen ^vprf+++xvbn+=risen
slowly ^rb++++=slowly
from ^in++++=from
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
the ^ati++++=the
gem ^nn++++=gem
of ^in++++=of
a ^at++++=a
snake ^nn++++=snake's
's ^$++++=EXTRAWORD
crown ^nn++++=crown
to ^in++++=to
the ^ati++++=the
landing ^jj+++xvbg+=landing-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Pratap ^np+++??+=Pratap,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
his ^pp$+pp3+++=his
paltry ^jj+atrb+++=paltry
fishing ^nvbg+++xvbg+=fishing,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
dive ^vb++++=dive
into ^in++++=into
the ^ati++++=the
lower ^jjr+atrb+++=lower
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
golden ^jj+atrb+++=golden
bed ^nn++++=bed
in ^in++++=in
a ^at++++=a
palace ^nn++++=palace
of ^in++++=of
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
else ^rb+cnj+++=else
but ^cc++++=but
dumb ^jj+atrb+++=dumb
little ^jj+atrb+++=little
Su ^np+++??+=Su,
, ^zz++++=EXTRAWORD
Banikantha ^np++++=Banikantha's
's ^$++++=EXTRAWORD
child ^nn++++=child?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
Su ^np+++??+=Su,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
daughter ^nn+nom+++=daughter
of ^in++++=of
the ^ati++++=the
king ^nn++++=king
of ^in++++=of
that ^dt+dem+++=that
shining ^vbg+++xvbg+=shining
city ^npl++++=city
of ^in++++=of
jewels ^nns++++=jewels!
! ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
anything ^pn++++=anything
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
impossible ^jj+pred+++=impossible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Su ^np+++??+=Su
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
into ^in++++=into
the ^ati++++=the
royal ^jj+atrb+++=royal
house ^nn++++=house
of ^in++++=of
Patalpur ^np+++??+=Patalpur,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
into ^in++++=into
Banikantha ^np++++=Banikantha's
's ^$++++=EXTRAWORD
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
no ^at++++=no
means ^nn++++=means
of ^in++++=of
astonishing ^jj++++=astonishing
the ^ati++++=the
Gosains ^np+++??+=Gosains'
' ^zz++++=EXTRAWORD
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
find ^vbi+vprv+tht0++=find
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
inexpressible ^jj+atrb+++=inexpressible
consciousness ^nns+nom+++=consciousness
like ^in++++=like
a ^at++++=a
tide ^nn++++=tide
from ^in++++=from
the ^ati++++=the
central ^jj+atrb+++=central
places ^nns++++=places
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
moon ^nn++++=moon
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full,
, ^zz++++=EXTRAWORD
swept ^xvbn+++xvbn+=swept
through ^in++++=through
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv+tht0+xvbnx+=saw
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
questioned ^j+++xvbn+=questioned
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
answer ^nn++++=answer
came ^vbd+++xvbn+=came
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
late ^jj++++=late
on ^in++++=on
a ^at++++=a
night ^nn++++=night
of ^in++++=of
full ^jj+atrb+++=full
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
slowly ^rb++++=slowly
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
door ^nn++++=door
and ^cc++++=and
peeped ^vbd+++xvbn+=peeped
out ^rp+pl+++=out
timidly ^rb++++=timidly.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
herself ^ppl+pp3+++=herself
at ^in++++=at
full ^jj+atrb+++=full
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
like ^in++++=like
lonely ^jj+atrb+++=lonely
Subha ^np+++??+=Subha,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
down ^rb+phrv+++=down
on ^in+ppvb+++=on
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
strong ^jj+atrb+++=strong
young ^jj+atrb+++=young
life ^nn++++=life
beat ^vbd+++xvbn+=beat
within ^in++++=within
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
joy ^nn++++=joy
and ^cc++++=and
sadness ^nns+nom+++=sadness
filled ^vbd+++xvbn+=filled
her ^pp$+pp3+++=her
being ^vbg+beg++xvbg+=being
to ^to++++=to
its ^pp$+it+++=its
brim ^nn++++=brim;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
limits ^nns++++=limits
even ^rb++++=even
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
illimitable ^jj+atrb+++=illimitable
loneliness ^nns+nom+++=loneliness,
, ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
beyond ^in++++=beyond
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
skirts ^nns++++=skirts
of ^in++++=of
this ^dt+dem+++=this
silent ^jj+atrb+++=silent
troubled ^jj+atrb++xvbn+=troubled
Mother ^nn++++=Mother
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood
a ^at++++=a
silent ^jj+atrb+++=silent
troubled ^jj+atrb++xvbn+=troubled
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
of ^in++++=of
her ^pp$+pp3+++=her
marriage ^nn+nom+++=marriage
filled ^vbd+++xvbn+=filled
her ^pp$+pp3+++=her
parents ^nns++++=parents
with ^in++++=with
an ^at++++=an
anxious ^jj+atrb+++=anxious
care ^nn++++=care.
. ^zz++++=EXTRAWORD
People ^nns++++=People
blamed ^vwbn+++xvbn+=blamed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^cs+sub+++=even
talked ^vprf+++xvbn+=talked
of ^in++++=of
making ^xvbg+++xvbg+=making
them ^pp3o+pp3+++=them
outcasts ^nns++++=outcasts.
. ^zz++++=EXTRAWORD
Banikantha ^np+++??+=Banikantha
was ^vbd+bedz+vrb++=was
well ^rb++++=well
off ^rp+pl+++=off;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
fish ^nns++++=fish-curry
- ^zz++++=EXTRAWORD
curry ^nn++++=EXTRAWORD
twice ^rb++++=twice
daily ^jj++++=daily;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lack ^vb++++=lack
enemies ^nns++++=enemies.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
women ^nns++++=women
interfered ^vbd+++xvbn+=interfered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bani ^np+++??+=Bani
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
Calcutta ^np++++=Calcutta."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
got ^vbd+++xvbnx+=got
ready ^jj++++=ready
to ^to+jcmp+++=to
go ^vbi++++=go
to ^in++++=to
this ^dt+dem+++=this
strange ^jj+atrb+++=strange
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Subha ^np++++=Subha's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
with ^in++++=with
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
mist ^nn++++=mist-wrapt
- ^zz++++=EXTRAWORD
wrapt ^jj+atrb++xvbn+=EXTRAWORD
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
vague ^nn++++=vague
fear ^vb++++=fear
that ^tht+vcmp+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
gathering ^vbg+++xvbgx+=gathering
for ^in++++=for
days ^nns++++=days,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
dogged ^jj++++=dogged
her ^pp3o+pp3+++=her
father ^npt++++=father
and ^cc++++=and
mother ^nn++++=mother
like ^in++++=like
a ^at++++=a
dumb ^jj+atrb+++=dumb
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
With ^in++++=With
her ^pp$+pp3+++=her
large ^jj+atrb+++=large
eyes ^nns++++=eyes
wide ^jj+atrb+++=wide
open ^nn++++=open,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
scanned ^vbd+++xvbnx+=scanned
their ^pp$+pp3+++=their
faces ^nns++++=faces
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
learn ^vbi+vprv+tht0++=learn
something ^pn++++=something.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
not ^xnot++not++=not
a ^at++++=a
word ^nn++++=word
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
vouchsafe ^vb+++??+=vouchsafe.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Pratap ^np+++??+=Pratap
was ^vbd+bedz+aux++=was
fishing ^vbg+++xvbgx+=fishing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed:
: ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Su ^np+++??+=Su,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
caught ^vprf+++xvbnx+=caught
your ^pp$+pp2+++=your
bridegroom ^nn++++=bridegroom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
married ^vwbn+++xvbn+=married!
! ^zz++++=EXTRAWORD
Mind ^nn++++=Mind
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
me ^pp1o+pp1+++=me
altogether ^nn+nom+++=altogether!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
mind ^nn++++=mind
again ^rb+tm+++=again
to ^in++++=to
his ^pp$+pp3+++=his
fish ^nn++++=fish.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
stricken ^jj+atrb+++=stricken
doe ^np++++=doe
looks ^vbz++++=looks
in ^in++++=in
the ^ati++++=the
hunter ^nn++++=hunter's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
in ^rb+phrv+++=in
silent ^jj+atrb+++=silent
agony ^nn++++=agony:
: ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
so ^ql++++=so
Subha ^np+++??+=Subha
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Pratap ^np+++??+=Pratap.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
day ^nn++++=day
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
no ^at++++=no
longer ^rbr++++=longer
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Banikantha ^np+++??+=Banikantha,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
finished ^vprf+++xvbn+=finished
his ^pp$+pp3+++=his
nap ^nn++++=nap,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
smoking ^vbg+++xvbgx+=smoking
in ^in++++=in
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom
when ^wrb+who+++=when
Subha ^np+++??+=Subha
dropped ^vbd+++xvbn+=dropped
down ^rp++++=down
at ^rb++++=at
