Out ^rp+pl+++=Out
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
marry ^vb++++=marry
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
interrupted ^vbd+++xvbnx+=interrupted,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
literary ^jj+atrb+++=literary
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
literary ^jj+atrb+++=literary
man ^nn++++=man?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tone ^nn++++=tone
was ^vbd+bedz+vrb++=was
aghast ^jj+pred+++=aghast.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
writing ^jj+atrb++xvbg+=writing
fella ^nn++++=fella?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
necessarily ^rb++++=necessarily
a ^at++++=a
writer ^nn++++=writer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
usually ^rb+down+++=usually
live ^vb++++=live
in ^in++++=in
garrets ^nns+++??+=garrets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
read ^vprf+++xvbnx+=read
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
books ^nns++++=books,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
can ^md+pos+++=can
talk ^vb++++=talk
about ^in++++=about
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Blossom"--Mr.
blossom" ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
was ^vbd+bedz+aux++=was
humble--"i ^nn+++??+=humble--"I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
what ^wdt+who+++=what
you ^pp2+pp2+++=you
might ^md+pos+++=might
call ^vb++++=call----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
sound ^nn++++=sound
of ^in++++=of
clumping ^xvbg+++xvbg+=clumping
feet ^nns++++=feet
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup
started ^vbd+++xvbn+=started
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
must ^md+nec+++=must
be ^vb+be+vrb++=be
him ^pp3o+pp3+++=him
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Him?
him ^pp3o+pp3+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who's
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
queried ^vbd+++xvbn+=queried
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
might ^md+pos+++=might
call ^vb++++=call
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
nice ^jj+atrb+++=nice
man ^nn++++=man!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
him ^pp3o+pp3+++=him
over ^in++++=over
in ^in++++=in
Xenia ^np+++??+=Xenia
last ^jj+atrb+++=last
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
conversationalist ^nn+nom+++=conversationalist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
like ^in++++=like
each ^dt++++=each
other ^ap++++=other."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hastened ^vbd+++xvbnx+=hastened
to ^in++++=to
answer ^nn++++=answer
the ^ati++++=the
doorbell ^nn++++=doorbell;
; ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
sat ^vbd+++xvbn+=sat
moodily ^rb++++=moodily
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
sure ^jj++++=sure
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
like ^in++++=like
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brilliant ^jj+atrb+++=brilliant
conversationalist ^nn+nom+++=conversationalist
burst ^vbd+++xvbn+=burst
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room
breezily ^rb+cnj+++=breezily,
, ^zz++++=EXTRAWORD
confidently ^rb++++=confidently.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
slightly ^rb+down+++=slightly
smaller ^jjr+pred+++=smaller
than ^in++++=than
a ^at++++=a
load ^nn++++=load
of ^in++++=of
hay ^nn++++=hay
in ^in++++=in
his ^pp$+pp3+++=his
belted ^vwbn+++xvbn+=belted
suit ^nn++++=suit
of ^in++++=of
ecru ^nn+++??+=ecru
pongee ^nn++++=pongee;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
a ^at++++=a
satisfied ^jj+atrb++xvbn+=satisfied
air ^nn++++=air
and ^cc++++=and
a ^at++++=a
pleased ^jj+atrb++xvbn+=pleased
mustache ^nn+++??+=mustache.
. ^zz++++=EXTRAWORD
" ^zz++++="Meet
meet ^vb++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet
and ^cc+phrs+++=and
loud ^jj++++=loud;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
handshake ^nn++++=handshake
was ^vbd+bedz+vrb++=was
a ^at++++=a
knuckle ^nn+++??+=knuckle
pulverizer ^jjr++++=pulverizer.
. ^zz++++=EXTRAWORD
" ^zz++++="Pottle,"
pottle ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
owner ^nn++++=owner
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
pardon ^nn++++=pardon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
" ^zz++++="Pottle,"
pottle ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
more ^rbr++++=more
loudly ^rb++++=loudly.
. ^zz++++=EXTRAWORD
" ^zz++++="Sorry,"
sorry ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley
affably ^rb+cnj+++=affably,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
sounds ^vbz++++=sounds
just ^rb+emph+++=just
like ^in++++=like
' ^zz++++='Pottle'
pottle ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
with ^in++++=with
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley
laughed ^vbd+++xvbn+=laughed
a ^at++++=a
loud ^jj+atrb+++=loud
tittering ^jj+atrb++xvbg+=tittering
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked
genially ^rb+cnj+++=genially,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+aux++0=EXTRAWORD
born ^vpsv++agls+xvbnx+=born
with ^in++++=with
our ^pp$+pp1+++=our
names ^nns++++=names,
, ^zz++++=EXTRAWORD
but" ^nn+++??+=but"--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
bestowed ^vbd+++xvbnx+=bestowed
a ^at++++=a
dazzling ^jj+atrb++xvbg+=dazzling
smile ^nn++++=smile
on ^in++++=on
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup--"we
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
pick ^vb++++=pick
our ^pp$+pp1+++=our
own ^ap++++=own
teeth ^nns++++=teeth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
say ^vb+vpub+++=say
the ^ati++++=the
most ^ql+emph+++=most
ridiculously ^rb++++=ridiculously
witty ^jj+atrb+++=witty
things ^nns++++=things!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
felt ^vbd+vprv++xvbn+=felt
a ^at++++=a
concrete ^jj+atrb+++=concrete
lump ^nn++++=lump
forming ^vwbg+++xvbg+=forming
in ^in++++=in
his ^pp$+pp3+++=his
bosom ^nn++++=bosom.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley
addressed ^vbd+++xvbn+=addressed
him ^pp3o+pp3+++=him
tolerantly ^rb++++=tolerantly.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
line ^nn++++=line
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bottle ^np++++=Bottle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Barbers'
barbers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
supplies ^nns++++=supplies,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
admitted ^vwbn+vpub++xvbn+=admitted
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Barbers ^nns+nom++??+=Barbers'
' ^zz++++=EXTRAWORD
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
interesting ^jj++++=interesting,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
" ^zz++++="Climbing
climbing ^nvbg+++xvbg+=EXTRAWORD
the ^ati++++=the
lather ^nn++++=lather
of ^in++++=of
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
did ^vbd+dod+aux++=did
not ^xnot++not++=not
join ^vb++++=join
in ^in++++=in
the ^ati++++=the
merriment ^nn+nom+++=merriment.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
line ^nn++++=line
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
in ^in+strn+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
prayed ^vbd+vsua++xvbnx+=prayed
that ^tht+vcmp+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley
would ^md+prd+++=would
say ^vb+vpub+++=say
" ^zz++++="Shoes,"
shoes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
for ^in++++=for
by ^in++++=by
a ^at++++=a
happy ^jj+atrb+++=happy
inspiration ^nn+nom+++=inspiration
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
counter ^vbi++++=counter
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
split ^xvbn+++xvbn+=split
honors ^nns++++=honors
with ^in++++=with
the ^ati++++=the
Xenian ^np+++??+=Xenian.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
" ^zz++++="Shoes."
shoes ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
" ^zz++++="Literature."
literature ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup
beamed ^vbd+++xvbn+=beamed.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
perfectly ^rb+amp+++=perfectly
thrilling ^jj++++=thrilling!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
rapturously ^jj++++=rapturously.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes
indeed ^qlp++++=indeed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
changed ^vbd+++xvbnx+=changed
the ^ati++++=the
subject ^nn++++=subject
by ^in++++=by
turning ^xvbg+++xvbg+=turning
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Poodle ^np++++=Poodle,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
interested ^jj++++=interested
in ^in++++=in
Abyssinia ^np++++=Abyssinia?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
particularly ^rb+cnj+++=particularly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
confessed ^vbd+vpub++xvbn+=confessed
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
toward ^in++++=toward
her ^pp$+pp3+++=her
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
quickened ^vprf+++xvbnx+=quickened
his ^pp$+pp3+++=his
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
fastened ^vpsv++agls+xvbnx+=fastened
on ^in++++=on
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
hear ^vbi+vprv+tht0++=hear
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
most ^ql+emph+++=most
interesting ^jj+atrb+++=interesting
place ^nn++++=place,
, ^zz++++=EXTRAWORD
Abyssinia ^np++++=Abyssinia--rather
-- ^--+clp+++=EXTRAWORD
rather ^rb+cnj+++=EXTRAWORD
a ^at++++=a
specialty ^nn+++??+=specialty
of ^in++++=of
mine ^nn++++=mine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
threw ^vbd+++xvbnx+=threw
one ^cd1++++=one
plump ^jj+atrb+++=plump
leg ^nn++++=leg
over ^in++++=over
the ^ati++++=the
other ^ap++++=other
and ^cc++++=and
leaned ^vbd+++xvbn+=leaned
back ^jjb++++=back
comfortably ^rb++++=comfortably.
. ^zz++++=EXTRAWORD
" ^zz++++="Abyssinia,"
abyssinia ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in++++=on
in ^in++++=in
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
an ^at++++=an
inland ^jjb+atrb+++=inland
country ^nn++++=country
situated ^vwbn+++xvbn+=situated
by ^in++++=by
the ^ati++++=the
Red ^jj+atrb+++=Red
Sea ^nn++++=Sea
between ^in++++=between
5 ^zz++++=5
and ^cc++++=and
15 ^cd++++=15
north ^np+pl+++=north
latitude ^nn++++=latitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
35 ^cd++++=35
and ^cc++++=and
42 ^cd++++=42
east ^np+pl+++=east
longitude ^nn+++??+=longitude.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
area ^nn++++=area
is ^vbz+bez+vrb++=is
351,019 ^cd++++=351,019
square ^jj+atrb+++=square
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
population ^nn+nom+++=population
is ^vbz+bez+vrb++=is
4,501,477 ^cd++++=4,501,477.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
includes ^vb++++=includes
Shoa ^np+++??+=Shoa,
, ^zz++++=EXTRAWORD
Kaffa ^np+++??+=Kaffa,
, ^zz++++=EXTRAWORD
Gallaland ^np+++??+=Gallaland
and ^cc++++=and
Central ^jj+atrb+++=Central
Somaliland ^np+++??+=Somaliland.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
towns ^nns++++=towns
include ^vb++++=include
Adis ^np+++??+=Adis-Ababa,
- ^zz++++=EXTRAWORD
ababa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Adowa ^np+++??+=Adowa,
, ^zz++++=EXTRAWORD
Adigrat ^np+++??+=Adigrat,
, ^zz++++=EXTRAWORD
Aliu ^np+++??+=Aliu-Amber,
- ^zz++++=EXTRAWORD
amber ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Debra ^np+++??+=Debra-Derhan
- ^zz++++=EXTRAWORD
derhan ^jj++++=EXTRAWORD
and ^cc++++=and
Bonger ^np+++??+=Bonger.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
produces ^vbz++++=produces
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
salt ^jj++++=salt
and ^cc++++=and
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inhabitants ^nns+nom+++=inhabitants
are ^vb+ber+vrb++=are
morally ^rb++++=morally
very ^ql+amp+++=very
lax ^jj++++=lax.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
polygamy ^nn+++??+=polygamy
is ^vbz+bez+vrb++=is
a ^at++++=a
common ^jj+atrb+++=common
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Polly
polly ^np++++=EXTRAWORD
Gammy ^np+++??+=Gammy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup
in ^in++++=in
imitation ^nn+nom+++=imitation
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Deeley ^np++++=Deeley's
's ^$++++=EXTRAWORD
pronunciation ^nn+nom+++=pronunciation.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
