Winifred ^np++++=Winifred
Sometimes ^rb++++=Sometimes
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
putting ^vbg+++xvbgx+=putting
the ^ati++++=the
children ^nns++++=children
to ^in++++=to
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
with ^in++++=with
a ^at++++=a
book ^nn++++=book
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
pretending ^vb+++xvbg+=pretending
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
black ^jj+atrb+++=black
woman ^nn++++=woman
came ^vbd+++xvbn+=came
softly ^rb++++=softly
through ^in++++=through
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
toward ^in++++=toward
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
Winifred ^np++++=Winifred,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
Hugh ^np++++=Hugh.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
light ^nn++++=light
in ^in++++=in
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
understand ^vb+vprv+tht0++=understand
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
son ^nn++++=son,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
was ^vbd+bedz+aux++=was
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
life ^nn++++=life
cleaned ^vwbn+++xvbn+=cleaned
up ^rp++++=up
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
manage ^vb++++=manage
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
speaking ^nvbg+++xvbg+=speaking
to ^in++++=to
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
sure ^jj+pred+++=sure
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
third ^nn++++=third
person ^nn++++=person
there ^rn+pl+++=there
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
third ^nn++++=third
person ^nn++++=person
was ^vbd+bedz+vrb++=was
within ^in++++=within
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
inside ^jjb++++=inside
his ^pp$+pp3+++=his
body ^nn++++=body.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
addressed ^vbd+++xvbnx+=addressed
the ^ati++++=the
third ^nn++++=third
person ^nn++++=person.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
person ^nn++++=person
I ^pp1a+pp1+++=I
married ^vbd+++xvbnx+=married,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
something ^pn++++=something
accomplished ^vbd+++xvbn+=accomplished,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
speaking ^nvbg+++xvbg+=speaking
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
almost ^rb+hdg+++=almost
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
aloud ^rb++++=aloud
and ^cc++++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
quickly ^rb++++=quickly
and ^cc+phrs+++=and
sharply ^rb++++=sharply
at ^in++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
continued ^vbd+++xvbnx+=continued
reading ^vbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
in ^in++++=in
her ^pp$+pp3+++=her
book ^nn++++=book.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
these ^dt+dem+++=these
children ^nns++++=children.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
accomplished ^vpsv++agls+xvbnx+=accomplished
facts ^nns++++=facts
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
her ^pp$+pp3+++=her
body ^nn++++=body,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
out ^rp+pl+++=out
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
body ^nn++++=body
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
rests ^vbz++++=rests.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
a ^rb++++=a
little ^rb"++++=little
bag ^nn++++=bag-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
up ^rp++++=up
and ^cc++++=and
making ^nvbg+++xvbg+=making
some ^dti++++=some
trivial ^jj+atrb+++=trivial
excuse ^nn++++=excuse
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
youth ^nn++++=youth
and ^cc++++=and
young ^jj+atrb+++=young
manhood ^nn+nom+++=manhood
the ^ati++++=the
long ^jj+atrb+++=long
periods ^nns++++=periods
of ^in++++=of
walking ^xvbg+++xvbg+=walking
straight ^jj++++=straight
ahead ^rb+pl+++=ahead
through ^in++++=through
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
upon ^in+ppvb+++=upon
him ^pp3o+pp3+++=him
like ^in++++=like
visitations ^nns+nom+++=visitations
of ^in++++=of
some ^dti++++=some
recurring ^jj+atrb+++=recurring
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped.
. ^zz++++=EXTRAWORD
Walking ^xvbg+++xvbg+=Walking
solved ^vprf+++xvbn+=solved
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
only ^rb+down+++=only
tired ^jj+++xvbn+=tired
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
his ^pp$+pp3+++=his
body ^nn++++=body
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
he ^pp3a+pp3+++=he
could ^md+pos+++=could
sleep ^vb++++=sleep.
. ^zz++++=EXTRAWORD
After ^in++++=After
many ^ap++++=many
days ^nns++++=days
of ^in++++=of
walking ^xvbg+++xvbg+=walking
and ^cc++++=and
sleeping ^xvbg+++xvbg+=sleeping
something ^pn++++=something
occurred ^vbd+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reality ^nn+nom+++=reality
of ^in++++=of
life ^nn++++=life
was ^vbd+bedz+vrb++=was
in ^in++++=in
some ^dti++++=some
queer ^jj+atrb+++=queer
way ^nn++++=way
re ^in++++=re-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
little ^jj+atrb+++=little
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
walking ^vwbg+++xvbg+=walking
in ^in++++=in
the ^ati++++=the
road ^nn++++=road
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
threw ^vbd+++xvbn+=threw
a ^at++++=a
stone ^nn++++=stone
at ^rb++++=at
a ^at++++=a
dog ^nn++++=dog
that ^tht+rel+subj++=that
ran ^vbd+++xvbn+=ran
barking ^vbg+++xvbg+=barking
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
farm ^nn++++=farm-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
evening ^nn++++=evening
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
in ^in++++=in
a ^at++++=a
country ^nn++++=country
of ^in++++=of
low ^jj+atrb+++=low
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
him ^pp3o+pp3+++=him
the ^ati++++=the
road ^npl++++=road
dipped ^vbd+++xvbn+=dipped
down ^rp++++=down
into ^in++++=into
darkness ^nns+nom+++=darkness
but ^cc++++=but
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
farm ^nn++++=farm-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
faint ^jj+atrb+++=faint
glow ^nn++++=glow
lit ^vbd+++xvbn+=lit
the ^ati++++=the
western ^jj+atrb+++=western
horizon ^nn++++=horizon.
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
woman ^nn++++=woman
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
farmhouse ^nn++++=farmhouse
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
toward ^in++++=toward
a ^at++++=a
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
her ^pp$+pp3+++=her
figure ^nn++++=figure
distinctly ^rb++++=distinctly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
carrying ^vbg+++xvbgx+=carrying
something ^pn++++=something,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt
a ^at++++=a
milk ^nn++++=milk
pail ^nn++++=pail;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
a ^at++++=a
barn ^nn++++=barn
to ^in++++=to
milk ^nn++++=milk
a ^at++++=a
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
road ^nn++++=road
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
thrown ^vprf+++xvbnx+=thrown
the ^ati++++=the
stone ^nn++++=stone
at ^rb++++=at
the ^ati++++=the
farm ^nn++++=farm
dog ^nn++++=dog
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
and ^cc+phrs+++=and
seen ^vbd+vprv++xvbn+=seen
Hugh ^np++++=Hugh
in ^in++++=in
the ^ati++++=the
road ^nn++++=road
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
ashamed ^jj++++=ashamed
of ^in++++=of
having ^nn+nn+aux++=having
been ^vprf+ben+vrb+xvbn+=been
afraid ^jj++++=afraid
of ^in++++=of
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
about ^md"++pmd"++=about
to ^md+prd+++=to
wait ^vb++++=wait
and ^cc+phrs+++=and
speak ^vb++++=speak
to ^in++++=to
Hugh ^np++++=Hugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
was ^vbd+bedz+aux++=was
overcome ^vpsv++agls+xvbnx+=overcome
with ^in++++=with
confusion ^nn++++=confusion
and ^cc++++=and
hurried ^vbd+++xvbn+=hurried
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
quite ^rb++++=quite
suddenly ^rb++++=suddenly
and ^cc+phrs+++=and
unexpectedly ^rb++++=unexpectedly
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
farm ^nn++++=farm
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
dimly ^rb++++=dimly
seen ^vbd+vprv++xvbn+=seen
going ^vbg+++xvbg+=going
toward ^in++++=toward
a ^at++++=a
distant ^jj+atrb+++=distant
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
also ^rb++++=also
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
she ^pp3a+pp3+++=she
should ^md+nec+++=should
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
white ^jj++++=white
and ^cc++++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
her ^pp3o+pp3+++=her
but ^cc++++=but
dimly ^rb++++=dimly
against ^in++++=against
the ^ati++++=the
blackish ^jj+atrb+++=blackish
green ^nn++++=green
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
of ^in++++=of
an ^at++++=an
orchard ^nn++++=orchard
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
looking ^vbg+++xvbg+=looking
and ^cc+phrs+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
look ^vbi++++=look
directly ^rb++++=directly
into ^in++++=into
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
queer ^jj+atrb+++=queer
sensation ^nn+nom+++=sensation
of ^in++++=of
her ^pp$+pp3+++=her
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
lifted ^vpsv++by+xvbnx+=lifted
by ^in++++=by
an ^at++++=an
unseen ^jj+atrb+++=unseen
hand ^nn++++=hand
and ^cc++++=and
brought ^vpsv++agls+xvbn+=brought
to ^rb+phrv+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
all ^abn++++=all
about ^in++++=about
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
thrown ^vprf+++xvbnx+=thrown
the ^ati++++=the
stone ^nn++++=stone
at ^rb++++=at
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
life ^nn++++=life
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
grasp ^nn++++=grasp,
, ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
until ^cs+sub+++=until
several ^ap++++=several
such ^abl++++=such
things ^nns++++=things
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred
and ^cc++++=and
then ^rn+tm+++=then
suddenly ^rb++++=suddenly
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
all ^abn++++=all
right ^jj++++=right
again ^rb+tm+++=again
and ^cc++++=and
could ^md+pos+++=could
again ^rb+tm+++=again
work ^nn++++=work
and ^cc++++=and
live ^vb++++=live
among ^in++++=among
men ^nns++++=men.
. ^zz++++=EXTRAWORD
After ^in++++=After
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage
and ^cc++++=and
after ^cs+sub+++=after
such ^abl++++=such
an ^at++++=an
evening ^nn++++=evening
at ^in++++=at
home ^nr++++=home
he ^pp3a+pp3+++=he
started ^vbd+++xvbnx+=started
walking ^vbg+++xvbg+=walking
rapidly ^rb++++=rapidly
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
As ^ql++++=As
quickly ^rb++++=quickly
as ^in++++=as
possible ^jj++++=possible
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
of ^in++++=of
town ^nn++++=town
and ^cc++++=and
struck ^vbd+++xvbn+=struck
out ^rp+pl+++=out
along ^in++++=along
a ^at++++=a
road ^npl++++=road
that ^tht+rel+++=that
led ^jj+++xvbn+=led
over ^in++++=over
the ^ati++++=the
rolling ^jj+atrb++xvbg+=rolling
prairie ^nn++++=prairie.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
walk ^vb++++=walk
for ^in++++=for
days ^nns++++=days
and ^cc++++=and
days ^nns++++=days
as ^ql++++=as
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
once ^rb+cnj+++=once,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
certain ^jj+atrb+++=certain
facts ^nns++++=facts
in ^in++++=in
life ^nn++++=life
and ^cc++++=and
I ^pp1a+pp1+++=I
must ^md+nec+++=must
face ^vb++++=face
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
Winifred ^np++++=Winifred,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
children ^nns++++=children
are ^vb+ber+vrb++=are
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
get ^vb++++=get
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
on ^in++++=on
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
live ^vb++++=live
by ^in++++=by
them ^pp3o+pp3+++=them
and ^cc++++=and
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
lives ^nns++++=lives
are ^vb+ber+aux++=are
lived ^vpsv++agls+xvbnx+=lived."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
got ^vbd+++xvbn+=got
out ^rb+phrv+++=out
of ^in++++=of
town ^nn++++=town
and ^cc++++=and
on ^in+cmpx+++=on
to ^in"++++=to
a ^at++++=a
road ^npl++++=road
that ^tht+rel+subj++=that
ran ^vbd+++xvbn+=ran
between ^in++++=between
cornfields ^nns+++??+=cornfields.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
athletic ^nn++++=athletic
looking ^vwbg+++xvbg+=looking
man ^nn++++=man
and ^cc++++=and
wore ^vbd+++xvbn+=wore
loose ^jj+atrb+++=loose
fitting ^jj+atrb++xvbg+=fitting
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
along ^in++++=along
distraught ^vbd+++xvbn+=distraught
and ^cc+phrs+++=and
puzzled ^vbd+++xvbn+=puzzled.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
way ^nn++++=way
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
like ^in++++=like
a ^at++++=a
man ^nn++++=man
capable ^jj++++=capable
of ^in++++=of
taking ^xvbg+++xvbg+=taking
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
place ^nn++++=place
in ^in++++=in
life ^nn++++=life
and ^cc++++=and
in ^in++++=in
another ^dt++++=another
way ^nn++++=way
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
spread ^vbd+++xvbn+=spread
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
always ^rb++++=always
night ^nn++++=night
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
thus ^rb+cnj+++=thus
and ^cc++++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
realization ^nn+nom+++=realization
of ^in++++=of
distances ^nns+nom+++=distances
was ^vbd+bedz+vrb++=was
always ^rb++++=always
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Everything
everything ^pn++++=EXTRAWORD
goes ^vbz++++=goes
on ^in++++=on
and ^cc++++=and
on ^in++++=on
but ^cc++++=but
I ^pp1a+pp1+++=I
stand ^vb++++=stand
still ^jj+pred+++=still,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
professor ^nn++++=professor
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
college ^npl++++=college
for ^in++++=for
six ^cd++++=six
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
a ^at++++=a
room ^nn++++=room
