San ^np++++=San
to ^to++++=to
help ^vbi++++=help
his ^pp$+pp3+++=his
crew ^nn++++=crew
at ^rb++++=at
the ^ati++++=the
hoisting ^nn++++=hoisting
of ^in++++=of
the ^ati++++=the
huge ^jj+atrb+++=huge,
, ^zz++++=EXTRAWORD
outlandish ^jj+atrb+++=outlandish
lug ^nn+++??+=lug-sail.
- ^zz++++=EXTRAWORD
sail ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left
the ^ati++++=the
first ^rb++++=first
heads ^nns++++=heads
were ^vbd+bed+aux++=were
popping ^vbg+++xvbgx+=popping
up ^rp++++=up
from ^in++++=from
below ^rb++++=below
on ^in++++=on
another ^dt++++=another
junk ^nn++++=junk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
rounded ^vbd+++xvbnx+=rounded
up ^rp++++=up
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
alongside ^rb++++=alongside
long ^rb++++=long
enough ^qlp++++=enough
for ^in++++=for
George ^np++++=George
to ^in++++=to
spring ^nn++++=spring
aboard ^in+strn+++=aboard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
fleet ^nn++++=fleet
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
under ^in++++=under
way ^nn++++=way.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
sails ^nns++++=sails
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gotten ^vprf+++xvbnx+=gotten
out ^rb+phrv+++=out
long ^rb++++=long
sweeps ^vbz++++=sweeps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bay ^nn++++=bay
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
ploughed ^vbd+++xvbn+=ploughed
in ^in++++=in
every ^at++++=every
direction ^nn+nom+++=direction
by ^in++++=by
the ^ati++++=the
fleeing ^nn++++=fleeing
junks ^vbz++++=junks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
feverishly ^jj++++=feverishly
to ^to++++=to
capture ^vbi++++=capture
a ^at++++=a
third ^nn++++=third
prize ^nn++++=prize.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
junk ^nn++++=junk
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
after ^cs+sub+++=after
was ^vbd+bedz+vrb++=was
a ^at++++=a
clean ^jj+atrb+++=clean
miss ^npt++++=miss,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
trimmed ^vbd+++xvbn+=trimmed
its ^pp$+it+++=its
sheets ^nns++++=sheets
and ^cc++++=and
shot ^nn+++xvbn+=shot
away ^rp+pl+++=away
surprisingly ^rb++++=surprisingly
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
By ^in++++=By
fully ^rb+amp+++=fully
half ^rb++++=half
a ^at++++=a
point ^nn++++=point
it ^pp3+it+++=it
outpointed ^vbd+++xvbn+=outpointed
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
feel ^vbi+vprv+++=feel
respect ^nn++++=respect
for ^in++++=for
the ^ati++++=the
clumsy ^jj+atrb+++=clumsy
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
Realizing ^vbg+vprv++xvbg+=Realizing
the ^ati++++=the
hopelessness ^nns+nom+++=hopelessness
of ^in++++=of
the ^ati++++=the
pursuit ^nn++++=pursuit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
filled ^vbd+++xvbnx+=filled
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
out ^rp+pl+++=out
the ^ati++++=the
main ^jjb++++=main-sheet,
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
down ^rp++++=down
before ^in++++=before
the ^ati++++=the
wind ^nn++++=wind
upon ^in++++=upon
the ^ati++++=the
junks ^nn++++=junks
to ^in++++=to
leeward ^rb+cnj+++=leeward,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
them ^pp3o+pp3+++=them
at ^in++++=at
a ^at++++=a
disadvantage ^nn+nom+++=disadvantage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
one ^cd1++++=one
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
selected ^vprf+++xvbnx+=selected
wavered ^vbd+++xvbn+=wavered
indecisively ^jj++++=indecisively
before ^in++++=before
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
swung ^vbd+++xvbnx+=swung
wide ^jj++++=wide
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
boarding ^nn++++=boarding
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
suddenly ^rb++++=suddenly
and ^cc++++=and
darted ^vbd+++xvbn+=darted
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smart ^jj+atrb+++=smart
Mongols ^np+++??+=Mongols
shouting ^vwbg+++xvbg+=shouting
a ^at++++=a
wild ^jj+atrb+++=wild
rhythm ^nn++++=rhythm
as ^ql++++=as
they ^pp3a+pp3+++=they
bent ^vbd+++xvbnx+=bent
to ^in++++=to
the ^ati++++=the
sweeps ^nns++++=sweeps.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
ready ^jj++++=ready
for ^in++++=for
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
luffed ^vbd+++xvbnx+=luffed
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
Putting ^vbg+++xvbg+=Putting
the ^ati++++=the
tiller ^nn++++=tiller
hard ^jj++++=hard
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
holding ^nvbg+++xvbg+=holding
it ^pp3+it+++=it
down ^rp++++=down
with ^in++++=with
my ^pp$+pp1+++=my
body ^nn++++=body,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
the ^ati++++=the
main ^jjb++++=main-sheet
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
hand ^nn++++=hand
over ^in++++=over
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
retain ^vb++++=retain
all ^rb++++=all
possible ^jj+atrb+++=possible
striking ^jj+atrb++xvbg+=striking
force ^nn++++=force.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
starboard ^nn++++=starboard
sweeps ^nns++++=sweeps
of ^in++++=of
the ^ati++++=the
junk ^nn++++=junk
were ^vbd+bed+aux++=were
crumpled ^vpsv++agls+xvbnx+=crumpled
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
two ^cd++++=two
boats ^nns++++=boats
came ^vbd+++xvbn+=came
together ^nn+nom+++=together
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Reindeer ^np+nom+++=Reindeer's
's ^$++++=EXTRAWORD
bowsprit ^nn+++??+=bowsprit,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
over ^in++++=over
and ^cc++++=and
ripped ^vbd+++xvbn+=ripped
out ^rp+pl+++=out
the ^ati++++=the
junk ^nn++++=junk's
's ^$++++=EXTRAWORD
chunky ^nn+++??+=chunky
mast ^nn++++=mast
and ^cc++++=and
towering ^xvbg+++xvbg+=towering
sail ^vb++++=sail.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
met ^vpsv++by+xvbnx+=met
by ^in++++=by
a ^at++++=a
curdling ^nn+nom+++=curdling
yell ^vb++++=yell
of ^in++++=of
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
A ^at++++=A
big ^jj+atrb+++=big
Chinaman ^nn+nom+++=Chinaman,
, ^zz++++=EXTRAWORD
remarkably ^rb++++=remarkably
evil ^nn++++=evil-looking,
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
head ^jjb++++=head
swathed ^jj+++xvbn+=swathed
in ^in++++=in
a ^at++++=a
yellow ^jj+atrb+++=yellow
silk ^nn++++=silk
handkerchief ^nn++++=handkerchief
and ^cc++++=and
face ^nn++++=face
badly ^rb++++=badly
pock ^nn+++??+=pock-marked,
- ^zz++++=EXTRAWORD
marked ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
planted ^xvbn+++xvbn+=planted
a ^at++++=a
pike ^nn++++=pike-pole
- ^zz++++=EXTRAWORD
pole ^nn++++=EXTRAWORD
on ^rp++++=on
the ^ati++++=the
Reindeer ^np+nom+++=Reindeer's
's ^$++++=EXTRAWORD
bow ^nn++++=bow
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
shove ^vbi++++=shove
the ^ati++++=the
entangled ^jj+atrb++xvbn+=entangled
boats ^nns++++=boats
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
Pausing ^vbg+++xvbg+=Pausing
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
let ^vbi++++=let
go ^vb++++=go
the ^ati++++=the
jib ^nn++++=jib
halyards ^nns+++??+=halyards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
as ^in++++=as
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
cleared ^vwbn+++xvbn+=cleared
and ^cc+phrs+++=and
began ^vwbn+++xvbn+=began
to ^to++++=to
drift ^vbi++++=drift
astern ^rb+cnj+++=astern,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leaped ^vbd+++xvbnx+=leaped
aboard ^in+pl+++=aboard
the ^ati++++=the
junk ^nn++++=junk
with ^in++++=with
a ^at++++=a
line ^nn++++=line
and ^cc++++=and
made ^vprf+++xvbn+=made
fast ^rb++++=fast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
of ^in++++=of
the ^ati++++=the
yellow ^jj+atrb+++=yellow
handkerchief ^nn++++=handkerchief
and ^cc++++=and
pock ^nn+++??+=pock-marked
- ^zz++++=EXTRAWORD
marked ^vbd+++xvbn+=EXTRAWORD
face ^nn++++=face
came ^vbd+++xvbn+=came
toward ^in++++=toward
me ^pp1o+pp1+++=me
threateningly ^rb+cnj+++=threateningly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
my ^pp$+pp1+++=my
hand ^nn++++=hand
into ^in++++=into
my ^pp$+pp1+++=my
hip ^nn++++=hip
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
hesitated ^vbd+++xvbnx+=hesitated.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
unarmed ^jj+pred+++=unarmed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Chinese ^nn+nom+++=Chinese
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
be ^vbi++vrb++=be
fastidiously ^rb++++=fastidiously
careful ^jj+pred+++=careful
of ^in++++=of
American ^jj+atrb+++=American
hip ^nn++++=hip
pockets ^nns++++=pockets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
upon ^in++++=upon
this ^dt+dem+++=this
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
depended ^vbd+++xvbnx+=depended
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
savage ^jj+atrb+++=savage
crew ^nn++++=crew
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ordered ^vbd+++xvbnx+=ordered
him ^pp3o+pp3+++=him
to ^to++++=to
drop ^vbi++++=drop
the ^ati++++=the
anchor ^nn++++=anchor
at ^rb++++=at
the ^ati++++=the
junk ^nn++++=junk's
's ^$++++=EXTRAWORD
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
sabbe ^nn+++??+=sabbe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
crew ^nn++++=crew
responded ^vbd+++xvbn+=responded
in ^in++++=in
like ^in++++=like
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
my ^pp$+pp1+++=my
meaning ^nvbg+++xvbg+=meaning
plain ^nn++++=plain
by ^in++++=by
signs ^nns++++=signs,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand.
. ^zz++++=EXTRAWORD
Realizing ^vbg+vprv++xvbg+=Realizing
the ^ati++++=the
inexpediency ^nn+++??+=inexpediency
of ^in++++=of
discussing ^xvbg+++xvbg+=discussing
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
forward ^nn++++=forward
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
overran ^jj++++=overran
the ^ati++++=the
line ^nn++++=line,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
the ^ati++++=the
anchor ^nn++++=anchor
go ^vb++++=go.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
get ^vb++++=get
aboard ^in+strn+++=aboard,
, ^zz++++=EXTRAWORD
four ^cd++++=four
of ^in++++=of
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
loud ^jj+atrb+++=loud
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
with ^in++++=with
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers
that ^tht+rel+++=that
four ^cd++++=four
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
to ^to++++=to
go ^vbi++++=go
with ^in++++=with
me ^pp1o+pp1+++=me
and ^cc++++=and
the ^ati++++=the
fifth ^nn++++=fifth
was ^vbd+bedz+aux++=was
to ^to++++=to
remain ^vbi++++=remain
by ^in++++=by
the ^ati++++=the
junk ^nn++++=junk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
hesitated ^vbd+++xvbn+=hesitated;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
order ^nn++++=order
fiercely ^rb++++=fiercely
( ^zz++++=(much
much ^ap++++=EXTRAWORD
more ^rbr++++=more
fiercely ^rb++++=fiercely
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
sending ^vwbg+++xvbg+=sending
my ^pp$+pp1+++=my
hand ^nn++++=hand
to ^in++++=to
my ^pp$+pp1+++=my
hip ^nn++++=hip.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
the ^ati++++=the
Yellow ^jj+atrb+++=Yellow
Handkerchief ^nn++++=Handkerchief
was ^vbd+bedz+aux++=was
overawed ^vpsv++agls+xvbnx+=overawed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
surly ^jj+atrb+++=surly
looks ^nns++++=looks
he ^pp3a+pp3+++=he
led ^vbd+++xvbnx+=led
three ^cd++++=three
of ^in++++=of
his ^pp$+pp3+++=his
men ^nns++++=men
aboard ^in+pl+++=aboard
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cast ^vbd+++xvbnx+=cast
off ^in+pl+++=off
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
jib ^nn++++=jib
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
steered ^j+++xvbn+=steered
a ^at++++=a
course ^nn++++=course
for ^in++++=for
George ^np++++=George's
's ^$++++=EXTRAWORD
junk ^nn++++=junk.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
easier ^jjr+pred+++=easier,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
were ^vbd+bed+vrb++=were
two ^cd++++=two
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
George ^np++++=George
had ^vb+hv+vrb++=had
a ^at++++=a
pistol ^nn++++=pistol
to ^to++++=to
fall ^vbi++++=fall
back ^rb+phrv+++=back
on ^in+ppvb+++=on
if ^cs+cnd+++=if
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
worst ^nn++++=worst.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
as ^in++++=as
with ^in"++++=with
my ^pp$+pp1+++=my
junk ^nn++++=junk,
, ^zz++++=EXTRAWORD
four ^cd++++=four
Chinese ^nn+nom+++=Chinese
were ^vbd+bed+aux++=were
transferred ^vpsv++agls+xvbnx+=transferred
to ^in++++=to
the ^ati++++=the
sloop ^nn+++??+=sloop
and ^cc++++=and
one ^cd1++++=one
left ^jj+++xvbn+=left
behind ^in+pl+++=behind
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++=of
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
more ^ql++++=more
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
our ^pp$+pp1+++=our
passenger ^nn+nom+++=passenger
list ^nn++++=list
from ^in++++=from
the ^ati++++=the
third ^nn++++=third
junk ^nn++++=junk.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
had ^vbd+hvd+aux++=had
collected ^vprf+++xvbnx+=collected
its ^pp$+it+++=its
twelve ^cd++++=twelve
prisoners ^nns+nom+++=prisoners
and ^cc++++=and
came ^vpsv++agls+xvbn+=came
alongside ^in+strn+++=alongside,
, ^zz++++=EXTRAWORD
badly ^rb++++=badly
overloaded ^jj+++xvbn+=overloaded.
. ^zz++++=EXTRAWORD
To ^to++++=To
make ^vbi++++=make
matters ^nns+nom+++=matters
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patrolmen ^nns++++=patrolmen
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
jammed ^jj+++xvbn+=jammed
in ^in++++=in
with ^in++++=with
their ^pp$+pp3+++=their
prisoners ^nns+nom+++=prisoners
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+vrb++=have
little ^jj+atrb+++=little
chance ^nn++++=chance
in ^in++++=in
case ^in"++++=case
of ^in"++++=of
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
help ^vb++++=help
us ^pp1o+pp1+++=us
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Le ^&fw++++=Le
Grant ^vb+vsua+++=Grant.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
over ^in++++=over
my ^pp$+pp1+++=my
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
crowded ^vprf+++xvbnx+=crowded
into ^in++++=into
the ^ati++++=the
cabin ^nn++++=cabin
and ^cc++++=and
on ^in++++=on
top ^nn++++=top
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
take ^vb++++=take
three ^cd++++=three,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
it ^pp3+it+++=it
four ^cd++++=four,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suggested ^vbd+vpub++xvbnx+=suggested,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
Bill ^nn++++=Bill
with ^in++++=with
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(Bill
bill ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
third ^od++++=third
patrolman ^jj++++=patrolman.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
elbow ^nn++++=elbow
room ^nn++++=room
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
case ^in"++++=case
of ^in"++++=of
a ^at++++=a
scuffle ^nn++++=scuffle
one ^cd1++++=one
white ^nn++++=white
to ^in++++=to
every ^at++++=every
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++=them
will ^md+prd+++=will
be ^vb+be+vrb++=be
just ^rb+emph+++=just
about ^in++++=about
the ^ati++++=the
right ^jj+atrb+++=right
proportion ^nn+nom+++=proportion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
exchange ^nn++++=exchange
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
got ^vbd+++xvbn+=got
up ^rp++++=up
its ^pp$+it+++=its
spritsail ^nn+++??+=spritsail
and ^cc++++=and
headed ^vbd+++xvbn+=headed
down ^rp++++=down
the ^ati++++=the
bay ^nn++++=bay
toward ^in++++=toward
the ^ati++++=the
marshes ^nns++++=marshes
off ^in+pl+++=off
San ^np++++=San
Rafael ^np++++=Rafael.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
up ^rp++++=up
the ^ati++++=the
jib ^nn++++=jib
and ^cc++++=and
followed ^vpsv++agls+xvbn+=followed
with ^in++++=with
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer.
. ^zz++++=EXTRAWORD
San ^np++++=San
Rafael ^np++++=Rafael,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
to ^to++++=to
turn ^vb++++=turn
our ^pp$+pp1+++=our
catch ^vb++++=catch
over ^in++++=over
to ^in++++=to
the ^ati++++=the
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
communicated ^j+++xvbn+=communicated
with ^in++++=with
the ^ati++++=the
bay ^nn++++=bay
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
a ^at++++=a
long ^jj+atrb+++=long
and ^cc+phrs+++=and
tortuous ^jj+atrb+++=tortuous
slough ^nn++++=slough,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
marshland ^nn++++=marshland
creek ^nn++++=creek,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
navigated ^vpsv++agls+xvbnx+=navigated
only ^rb+down+++=only
when ^wrb+who+++=when
the ^ati++++=the
tide ^nn++++=tide
was ^vbd+bedz+vrb++=was
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Slack ^jj+atrb+++=Slack
water ^nn++++=water
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
ebb ^nn++++=ebb
was ^vbd+bedz+aux++=was
commencing ^vbg+++xvbgx+=commencing,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
need ^nn++++=need
for ^in++++=for
hurry ^np++++=hurry
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
cared ^vbd+++xvbn+=cared
to ^to+vcmp+++=to
escape ^vbi++++=escape
waiting ^vbg+++xvbg+=waiting
half ^abn++++=half
a ^at++++=a
day ^nn++++=day
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
tide ^vb++++=tide.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
land ^nn++++=land
breeze ^nn++++=breeze
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
die ^vbi++++=die
away ^rp+pl+++=away
with ^in++++=with
the ^ati++++=the
rising ^jj+atrb++xvbg+=rising
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
