Go ^vb++++=Go,
consulted ^xvbn+++xvbn+=consulted
about ^in++++=about
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Indian ^jj+atrb+++=Indian
Pig ^nn++++=Pig
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exactly ^rb++++=exactly
an ^at++++=an
important ^jj+atrb+++=important
factor ^nn++++=factor
in ^in++++=in
agricultural ^jj+atrb+++=agricultural
life ^nn++++=life;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Nafferton ^np+++??+=Nafferton
explained ^vbd+vpub++xvbn+=explained
to ^in++++=to
Pinecoffin ^np+++??+=Pinecoffin
that ^tht+rel+obj++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
room ^nn++++=room
for ^in++++=for
improvement ^nn+nom+++=improvement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
corresponded ^vbd+++xvbn+=corresponded
direct ^jj++++=direct
with ^in++++=with
that ^dt+dem+++=that
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
much ^rb++++=much
to ^to++++=to
be ^vbi+vbi+aux++=be
evolved ^vpsv++agls+xvbnx+=evolved
from ^in++++=from
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
all ^rb++++=all
depends ^vbz++++=depends
how ^wrb+who+++=how
you ^pp2+pp2+++=you
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
work ^vb++++=work.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
being ^vwbg+beg++xvbg+=being
a ^at++++=a
Civilian ^nn++++=Civilian
and ^cc++++=and
wishing ^vbg+++xvbg+=wishing
to ^to+vcmp+++=to
do ^vbi++++=do
things ^nns++++=things
thoroughly ^rb+cnj+++=thoroughly,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
with ^in++++=with
an ^at++++=an
essay ^nn++++=essay
on ^in++++=on
the ^ati++++=the
Primitive ^jj+atrb+++=Primitive
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mythology ^nn++++=Mythology
of ^in++++=of
the ^ati++++=the
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Dravidian ^np+++??+=Dravidian
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
filed ^vbd+++xvbn+=filed
that ^cs+sub+++=that
information ^nn+nom+++=information--twenty-seven
-- ^--+clp+++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
foolscap ^nn++++=foolscap
sheets ^nns++++=sheets--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
about ^in++++=about
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
the ^ati++++=the
Pig ^nn++++=Pig
in ^in++++=in
the ^ati++++=the
Punjab ^np+++??+=Punjab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
the ^ati++++=the
Plains ^np+++??+=Plains
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
point ^nn++++=point
onwards ^rb+cnj+++=onwards,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
giving ^vbg+++xvbgx+=giving
you ^pp2+pp2+++=you
only ^rb+down+++=only
the ^ati++++=the
barest ^jjt+atrb+++=barest
outlines ^nns++++=outlines
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
guy ^np++++=guy-ropes,
- ^zz++++=EXTRAWORD
ropes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
web ^nn++++=web
that ^tht+rel+obj++=that
Nafferton ^np+++??+=Nafferton
spun ^vbd+++xvbn+=spun
round ^rb++++=round
Pinecoffin ^np+++??+=Pinecoffin.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
made ^vbd+++xvbn+=made
a ^at++++=a
colored ^jj+atrb++xvbn+=colored
Pig ^nn++++=Pig-population
- ^zz++++=EXTRAWORD
population ^nn+nom+++=EXTRAWORD
map ^nn++++=map,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collected ^vbd+++xvbn+=collected
observations ^nns+nom+++=observations
on ^in++++=on
the ^ati++++=the
comparative ^jj+atrb+++=comparative
longevity ^nn+nom+++=longevity
of ^in++++=of
the ^ati++++=the
Pig ^nn++++=Pig
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
submontane ^nn+++??+=submontane
tracts ^nns++++=tracts
of ^in++++=of
the ^ati++++=the
Himalayas ^np+++??+=Himalayas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Rechna ^np+++??+=Rechna
Doab ^np+++??+=Doab.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
filed ^vbd+++xvbn+=filed
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
sort ^nn++++=sort
of ^in++++=of
people ^nns++++=people
looked ^vbd+++xvbn+=looked
after ^in+ppvb+++=after
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
started ^jj+++xvbn+=started
an ^at++++=an
ethnological ^jj+atrb+++=ethnological
excursus ^nns+++??+=excursus
on ^in++++=on
swineherds ^nns+++??+=swineherds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drew ^vpsv++agls+xvbn+=drew
from ^in++++=from
Pinecoffin ^np+++??+=Pinecoffin
long ^jj+atrb+++=long
tables ^nns++++=tables
showing ^vwbg+vprv++xvbg+=showing
the ^ati++++=the
proportion ^nn+nom+++=proportion
per ^in++++=per
thousand ^cd++++=thousand
of ^in++++=of
the ^ati++++=the
caste ^nn++++=caste
in ^in++++=in
the ^ati++++=the
Derajat ^np+++??+=Derajat.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
filed ^vbd+++xvbn+=filed
that ^cs+sub+++=that
bundle ^nn++++=bundle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
figures ^nns++++=figures
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
Cissutlej ^np+++??+=CisSutlej
states ^np++++=states,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood
that ^tht+vcmp+++=that
Pigs ^nns++++=Pigs
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
fine ^jj++++=fine
and ^cc+phrs+++=and
large ^jj++++=large,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
proposed ^vbd+vsua++xvbnx+=proposed
to ^to++++=to
start ^vbi++++=start
a ^at++++=a
Piggery ^np+nom++??+=Piggery.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Government ^nn+nom+++=Government
had ^vb+hv+aux++=had
quite ^rb++splt++=quite
forgotten ^vprf+++xvbnx+=forgotten
their ^pp$+pp3+++=their
instructions ^nns+nom+++=instructions
to ^to+vcmp+++=to
Mr ^vb++++=Mr.
. ^zz++++=EXTRAWORD
Pinecoffin ^np++++=Pinecoffin.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
like ^in++++=like
the ^ati++++=the
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
in ^in++++=in
Keats ^np+++??+=Keats'
' ^zz++++=EXTRAWORD
poem ^nn++++=poem,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
turned ^vbd+++xvbn+=turned
well ^jj+pred+++=well-oiled
- ^zz++++=EXTRAWORD
oiled ^jj+atrb++xvbn+=EXTRAWORD
wheels ^nns++++=wheels
to ^in++++=to
skin ^nn++++=skin
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Pinecoffin ^np+++??+=Pinecoffin
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
entering ^vbg+++xvbgx+=entering
into ^in+ppvb+++=into
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
Pig ^nn++++=Pig-hunt,
- ^zz++++=EXTRAWORD
hunt ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
Nafferton ^np+++??+=Nafferton
well ^rb++++=well
knew ^vbd+vprv+tht0+xvbn+=knew
he ^pp3a+pp3+++=he
would ^md+prd+++=would
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
fair ^jj+atrb+++=fair
amount ^nn++++=amount
of ^in++++=of
work ^nn++++=work
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
to ^in++++=to
clear ^jj++++=clear
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
of ^in++++=of
nights ^nns++++=nights
reducing ^vwbg+++xvbg+=reducing
Pig ^nn++++=Pig
to ^to++++=to
five ^cd++++=five
places ^nns++++=places
of ^in++++=of
decimals ^nns+nom+++=decimals
for ^in++++=for
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
his ^pp$+pp3+++=his
Service ^nn++++=Service.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
appear ^vb+seem+++=appear
ignorant ^jj++++=ignorant
of ^in++++=of
so ^rb+emph+++=so
easy ^jj++++=easy
a ^at++++=a
subject ^nn++++=subject
as ^ql++++=as
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Government ^nn+nom+++=Government
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
on ^in++++=on
special ^jj+atrb+++=special
duty ^nn++++=duty
to ^to+ncmp+++=to
Kohat ^vb+++??+=Kohat,
, ^zz++++=EXTRAWORD
to ^to++++=to
" ^zz++++="inquire
inquire ^vb++++=EXTRAWORD
into ^in++++=into"
" ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj++++=big-seven-foot,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
foot ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
iron ^nn++++=iron-shod
- ^zz++++=EXTRAWORD
shod ^vwbn+++xvbn+=EXTRAWORD
spades ^nns++++=spades
of ^in++++=of
that ^dt+dem+++=that
District ^nn++++=District.
. ^zz++++=EXTRAWORD
People ^nns++++=People
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
killing ^nvbg+++xvbg+=killing
each ^dt++++=each
other ^ap++++=other
with ^in++++=with
those ^dt+dem+++=those
peaceful ^jj+atrb+++=peaceful
tools ^nns++++=tools;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Government ^nn+nom+++=Government
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
" ^zz++++="whether
whether ^cs+who+++=EXTRAWORD
a ^at++++=a
modified ^jj+atrb++xvbn+=modified
form ^nn++++=form
of ^in++++=of
agricultural ^nn++++=agricultural
implement ^nn+nom+++=implement
could ^md+pos+++=could
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
tentatively ^rb++++=tentatively
and ^cc++++=and
as ^in++++=as
a ^at++++=a
temporary ^jj+atrb+++=temporary
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
introduced ^vpsv++agls+xvbnx+=introduced
among ^in++++=among
the ^ati++++=the
agricultural ^jj+atrb+++=agricultural
population ^nn+nom+++=population
without ^in++++=without
needlessly ^rb++++=needlessly
or ^cc+phrs+++=or
unduly ^rb++++=unduly
exasperating ^jj++++=exasperating
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
religious ^jj+atrb+++=religious
sentiments ^nns+nom+++=sentiments
of ^in++++=of
the ^ati++++=the
peasantry ^nn++++=peasantry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Between ^in++++=Between
those ^dt+dem+++=those
spades ^nns++++=spades
and ^cc++++=and
Nafferton ^np++++=Nafferton's
's ^$++++=EXTRAWORD
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
heavily ^rb++++=heavily
burdened ^jj+++xvbn+=burdened.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
now ^rn+tm+++=now
began ^vbd+++xvbn+=began
to ^to++++=to
take ^vbi++++=take
up ^rb+phrv+++=up
" ^zz++++="(a)
( ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
The ^ati++++=The
food ^nn++++=food-supply
- ^zz++++=EXTRAWORD
supply ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
view ^nn++++=view
to ^in++++=to
the ^ati++++=the
improvement ^nn+nom+++=improvement
of ^in++++=of
its ^pp$+it+++=its
capacities ^nns+nom+++=capacities
as ^in++++=as
a ^at++++=a
flesh ^nn++++=flesh-former.
- ^zz++++=EXTRAWORD
former ^ap++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
The ^ati++++=The
acclimatization ^nn+nom+++=acclimatization
of ^in++++=of
the ^ati++++=the
exotic ^jj+atrb+++=exotic
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
maintaining ^vbg+++xvbg+=maintaining
its ^pp$+it+++=its
distinctive ^jj+atrb+++=distinctive
peculiarities ^nns+nom+++=peculiarities."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
replied ^vbd+vpub++xvbn+=replied
exhaustively ^jj++++=exhaustively
that ^dt+dem+++=that
the ^ati++++=the
exotic ^jj+atrb+++=exotic
Pig ^nn++++=Pig
would ^md+prd+++=would
become ^vb++++=become
merged ^vbd+++xvbn+=merged
in ^in++++=in
the ^ati++++=the
indigenous ^jj+atrb+++=indigenous
type ^nn++++=type;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quoted ^vbd+++xvbn+=quoted
horse ^nn++++=horse-breeding
- ^zz++++=EXTRAWORD
breeding ^nvbg+++xvbg+=EXTRAWORD
statistics ^nns++++=statistics
to ^to++++=to
prove ^vbi+vprv+tht0++=prove
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
The ^ati++++=The
side ^nn++++=side-issue
- ^zz++++=EXTRAWORD
issue ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
debated ^vpsv++agls+xvbnx+=debated,
, ^zz++++=EXTRAWORD
at ^rb++++=at
great ^jj++++=great
length ^rb++++=length
on ^in++++=on
Pinecoffin ^np++++=Pinecoffin's
's ^$++++=EXTRAWORD
side ^nn++++=side,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
Nafferton ^np+++??+=Nafferton
owned ^vbd+++xvbn+=owned
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
the ^ati++++=the
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vbd+++xvbn+=moved
the ^ati++++=the
previous ^jj+atrb+++=previous
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Pinecoffin ^np+++??+=Pinecoffin
had ^vb+hv+aux++=had
quite ^rb++splt++=quite
written ^vprf+++xvbnx+=written
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
about ^in++++=about
flesh ^nn++++=flesh-formers,
- ^zz++++=EXTRAWORD
formers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fibrins ^nns+++??+=fibrins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glucose ^nn++++=glucose
and ^cc++++=and
the ^ati++++=the
nitrogenous ^jj+atrb+++=nitrogenous
constituents ^nns++++=constituents
of ^in++++=of
maize ^nn++++=maize
and ^cc++++=and
lucerne ^nn+++??+=lucerne,
, ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
raised ^vbd+++xvbn+=raised
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
Pinecoffin ^np+++??+=Pinecoffin,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
transferred ^vpsv++agls+xvbnx+=transferred
from ^in++++=from
Kohat ^np+++??+=Kohat,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
developed ^vprf+++xvbnx+=developed
a ^at++++=a
Pig ^nn++++=Pig
theory ^nn++++=theory
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
stated ^vbd+vpub++xvbnx+=stated
in ^in++++=in
thirty ^cd++++=thirty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
folio ^nn++++=folio
pages ^nns++++=pages--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
carefully ^rb++++=carefully
filed ^vpsv++by+xvbn+=filed
by ^in++++=by
Nafferton ^np+++??+=Nafferton.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
took ^vbd+++xvbn+=took
ten ^cd++++=ten
months ^nns++++=months,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pinecoffin ^np++++=Pinecoffin's
's ^$++++=EXTRAWORD
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
potential ^nn++++=potential
Piggery ^np+nom++??+=Piggery
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
die ^vbi++++=die
down ^rp++++=down
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stated ^vprf++tht0+xvbnx+=stated
his ^pp$+pp3+++=his
own ^ap++++=own
views ^nns++++=views.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Nafferton ^np+++??+=Nafferton
bombarded ^vwbn+++xvbn+=bombarded
him ^pp3o+pp3+++=him
with ^in++++=with
letters ^nns+nom+++=letters
on ^in++++=on
" ^zz++++="the
the ^ati++++=EXTRAWORD
Imperial ^jj+atrb+++=Imperial
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
as ^ql++++=as
tending ^vb+++xvbg+=tending
to ^to+vcmp+++=to
officialize ^vbi++++=officialize
the ^ati++++=the
sale ^nn++++=sale
of ^in++++=of
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thereby ^rb++++=thereby
calculated ^vbd+vprv++xvbn+=calculated
to ^to++++=to
give ^vbi++++=give
offence ^nn+nom+++=offence
to ^in++++=to
the ^ati++++=the
Mahomedan ^np+nom++??+=Mahomedan
population ^nn+nom+++=population
of ^in++++=of
Upper ^jjb++++=Upper
India ^np++++=India."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
guessed ^vbd+vprv++xvbnx+=guessed
that ^tht+vcmp+++=that
Pinecoffin ^np+++??+=Pinecoffin
would ^md+prd+++=would
want ^vb++++=want
some ^dti++++=some
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
free ^jj++++=free-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
work ^nn++++=work
after ^in++++=after
his ^pp$+pp3+++=his
niggling ^nn+nom+++=niggling,
, ^zz++++=EXTRAWORD
stippling ^nn+nom+++=stippling,
, ^zz++++=EXTRAWORD
decimal ^jj+atrb+++=decimal
details ^nns++++=details.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
handled ^vbd+++xvbn+=handled
the ^ati++++=the
latest ^jjt+atrb+++=latest
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
masterly ^jj+atrb+++=masterly
style ^nn++++=style,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proved ^jj+++xvbn+=proved
that ^tht+jcmp+++=that
no ^at++++=no
" ^zz++++="popular
popular ^jj+atrb+++=EXTRAWORD
ebullition ^nn+nom+++=ebullition
of ^in++++=of
excitement ^nn+nom+++=excitement
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
apprehended ^vpsv++agls+xvbnx+=apprehended."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
like ^in++++=like
Civilian ^jj+atrb+++=Civilian
insight ^nn++++=insight
in ^in++++=in
matters ^nns+nom+++=matters
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lured ^xvbn+++xvbn+=lured
him ^pp3o+pp3+++=him
up ^rp++++=up
a ^at++++=a
byepath ^nn+++??+=byepath--"the
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
possible ^jj+atrb+++=possible
profits ^nns++++=profits
to ^to++++=to
accrue ^vbi++++=accrue
to ^in++++=to
the ^ati++++=the
Government ^nn+nom+++=Government
from ^in++++=from
the ^ati++++=the
sale ^nn++++=sale
of ^in++++=of
hog ^nn++++=hog-bristles."
- ^zz++++=EXTRAWORD
bristles ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
an ^at++++=an
extensive ^jj+atrb+++=extensive
literature ^nn++++=literature
of ^in++++=of
hogbristles ^nns+++??+=hogbristles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
brush ^nn++++=brush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
colorman ^jj+atrb+++=colorman's
's ^vbz+bez+aux++0=EXTRAWORD
trades ^nns++++=trades
recognize ^vb+vprv+++=recognize
more ^ql++++=more
varieties ^nns++++=varieties
of ^in++++=of
bristles ^nns++++=bristles
than ^in++++=than
you ^pp2+pp2+++=you
would ^md+prd+++=would
think ^vb+vprv+++=think
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
Pinecoffin ^np+++??+=Pinecoffin
had ^vbd+hvd+aux++=had
wondered ^vprf+++xvbnx+=wondered
a ^rb++++=a
little ^rb"++++=little
at ^in++++=at
Nafferton ^np++++=Nafferton's
's ^$++++=EXTRAWORD
rage ^nn++++=rage
for ^in++++=for
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
back ^jjb++++=back
a ^at++++=a
monograph ^nn++++=monograph,
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
on ^in++++=on
" ^zz++++="Products
products ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Pig ^nn++++=Pig."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
led ^jj+++xvbn+=led
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
under ^in++++=under
Nafferton ^np++++=Nafferton's
's ^$++++=EXTRAWORD
tender ^jj+atrb+++=tender
handling ^nvbg+++xvbg+=handling,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight
to ^in++++=to
the ^ati++++=the
Cawnpore ^np+++??+=Cawnpore
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trade ^nn++++=trade
in ^in++++=in
hog ^nn++++=hog-skin
- ^zz++++=EXTRAWORD
skin ^nn++++=EXTRAWORD
for ^in++++=for
saddles ^nns++++=saddles--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
thence ^rb++++=thence
to ^in++++=to
the ^ati++++=the
tanners ^nns+nom+++=tanners.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
wrote ^vbd+vprv++xvbn+=wrote
that ^tht+vcmp+++=that
pomegranate ^nn+nom+++=pomegranate-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt+atrb+++=best
cure ^nn++++=cure
for ^in++++=for
hog ^nn++++=hog-skin,
- ^zz++++=EXTRAWORD
skin ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suggested ^vbd+vpub++xvbn+=suggested--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
the ^ati++++=the
past ^jjb++++=past
fourteen ^cd++++=fourteen
months ^nns++++=months
had ^vbd+hvd+aux++=had
wearied ^vprf+++xvbn+=wearied
him ^pp3o+pp3+++=him--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
should ^md+nec+++=should
" ^zz++++="raise
raise ^vb++++=EXTRAWORD
his ^pp$+pp3+++=his
pigs ^nns++++=pigs
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
tanned ^vbd+++xvbnx+=tanned
them ^pp3o+pp3+++=them."
