Now ^rn+tm+++=Now
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
to ^to+jcmp+++=to
die ^vbi++++=die
in ^in++++=in
early ^jj+atrb+++=early
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived
out ^rp+pl+++=out
threescore ^jj+atrb++??+=threescore
years ^nns++++=years
and ^cc++++=and
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
half ^nn++++=half
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
spirit ^nn++++=spirit
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^cs+sub+++=so
earth ^nn++++=earth-incrusted,
- ^zz++++=EXTRAWORD
incrusted ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
centuries ^nns++++=centuries
might ^md+pos+++=might
not ^xnot++not++=not
have ^vb+hv+aux++=have
purified ^vprf+++xvbn+=purified
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
better ^jjr+atrb+++=better
home ^nr++++=home
than ^in++++=than
the ^ati++++=the
dark ^jj+atrb+++=dark
precincts ^nns++++=precincts
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Meantime ^nn++++=Meantime,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
good ^jj+atrb+++=good
choice ^nn++++=choice
of ^in++++=of
company ^nn++++=company
amongst ^in++++=amongst
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
From ^in++++=From
twilight ^nn++++=twilight
till ^cs+sub+++=till
near ^in+pl+++=near
sunrise ^nn++++=sunrise,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
gliding ^vbg+++xvbgx+=gliding
to ^to++++=to
and ^cc++++=and
fro ^rb+cnj+++=fro,
, ^zz++++=EXTRAWORD
some ^dti++++=some
in ^in++++=in
the ^ati++++=the
graveyard ^nn+++??+=graveyard,
, ^zz++++=EXTRAWORD
others ^aps++++=others
miles ^nns++++=miles
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
we ^pp1a+pp1+++=we
speak ^vb++++=speak
with ^in++++=with
any ^dti++++=any
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
but ^cc++++=but
knock ^nn++++=knock
against ^in++++=against
his ^pp$+pp3+++=his
tombstone ^nn+++??+=tombstone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pronounce ^vb++++=pronounce
the ^ati++++=the
name ^nn++++=name
engraved ^vbd+++xvbn+=engraved
on ^in++++=on
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
the ^ati++++=the
shadow ^nn++++=shadow
stands ^nns++++=stands!
! ^zz++++=EXTRAWORD
Some ^dti++++=Some
are ^vb+ber+vrb++=are
ghosts ^nns++++=ghosts
of ^in++++=of
considerable ^jj+atrb+++=considerable
antiquity ^nn+nom+++=antiquity.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
hereabout ^nn+++??+=hereabout;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
tombstone ^nn+++??+=tombstone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
often ^rb++splt++=often
puzzled ^jj++agls+xvbnx+=puzzled
to ^to+jcmp+++=to
distinguish ^vbi++++=distinguish
his ^pp$+pp3+++=his
own ^ap++++=own
grave ^nn++++=grave;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hereabouts ^rb+pl+++=hereabouts
he ^pp3a+pp3+++=he
haunts ^nns++++=haunts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^rb++++=long
is ^vbz+bez+aux++=is
doomed ^jj++agls+xvbnx+=doomed
to ^to+jcmp+++=to
haunt ^vb++++=haunt.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
miser ^nn++++=miser
in ^in++++=in
his ^pp$+pp3+++=his
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^jj+++xvbn+=buried
a ^at++++=a
strong ^jj+atrb+++=strong
box ^nn++++=box
of ^in++++=of
ill ^jj++++=ill-gotten
- ^zz++++=EXTRAWORD
gotten ^vb+++xvbn+=EXTRAWORD
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
fresh ^jj++++=fresh
from ^in++++=from
the ^ati++++=the
mint ^nn++++=mint,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
coinage ^nn+nom+++=coinage
of ^in++++=of
William ^np++++=William
and ^cc++++=and
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
Scarcely ^rb+down+++=Scarcely
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
safe ^jj++++=safe,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
sexton ^np++++=sexton
buried ^vwbn+++xvbn+=buried
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
and ^cc++++=and
his ^pp$+pp3+++=his
secret ^nn++++=secret
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
point ^vb++++=point
out ^rp+pl+++=out
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
treasure ^nn++++=treasure
lies ^vbz++++=lies;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
miser ^nn++++=miser's
's ^$++++=EXTRAWORD
garden ^nn++++=garden;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
paved ^jj+atrb++xvbn+=paved
thoroughfare ^nn++++=thoroughfare
now ^rn+tm+++=now
passes ^vbz++++=passes
beside ^in+pl+++=beside
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cornerstone ^nn+++??+=cornerstone
of ^in++++=of
a ^at++++=a
market ^nn++++=market-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
presses ^nns+nom++??+=presses
right ^jj++++=right
down ^rp++++=down
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
the ^ati++++=the
workmen ^nns++++=workmen
dug ^vwbn+++xvbn+=dug
six ^cd++++=six
inches ^nns++++=inches
deeper ^jjr++++=deeper,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
the ^ati++++=the
hoard ^nn+++??+=hoard.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
thither ^rb++++=thither
must ^md+nec+++=must
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
miser ^nn++++=miser
go ^vb++++=go,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
in ^in++++=in
starlight ^nn+++??+=starlight,
, ^zz++++=EXTRAWORD
moonshine ^nn+++??+=moonshine,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pitch ^nn++++=pitch
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brood ^nn++++=brood
above ^rb++++=above
his ^pp$+pp3+++=his
worthless ^jj+atrb+++=worthless
treasure ^nn++++=treasure,
, ^zz++++=EXTRAWORD
recalling ^jj+++xvbg+=recalling
all ^abn++++=all
the ^ati++++=the
petty ^jj+atrb+++=petty
crimes ^nns++++=crimes
by ^in++++=by
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
gained ^vbd+++xvbnx+=gained
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
coin ^nn++++=coin
must ^md+nec+++=must
he ^pp3a+pp3+++=he
fail ^vb++++=fail
to ^to+vcmp+++=to
reckon ^vbi+vprv+++=reckon
in ^in++++=in
his ^pp$+pp3+++=his
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
forget ^vb+vprv+++=forget
a ^at++++=a
pennyworth ^nn+++??+=pennyworth
of ^in++++=of
the ^ati++++=the
sin ^nn++++=sin
that ^tht+rel+subj++=that
made ^vbd+++xvbn+=made
up ^rp++++=up
the ^ati++++=the
sum ^nn++++=sum,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
agony ^nn++++=agony
is ^vbz+bez+vrb++=is
such ^abl++++=such
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
pieces ^nns++++=pieces
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
red ^jj++++=red-hot,
- ^zz++++=EXTRAWORD
hot ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
stamped ^vpsv++agls+xvbnx+=stamped
into ^in++++=into
his ^pp$+pp3+++=his
naked ^jj+atrb+++=naked
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Often ^rb+cnj+++=Often,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
in ^in++++=in
torment ^nn+nom+++=torment
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hears ^vbz+vprv+++=hears
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
living ^xvbg+++xvbg+=living
men ^nns++++=men,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
love ^vb++++=love
the ^ati++++=the
dross ^nns+++??+=dross
of ^in++++=of
earth ^nn++++=earth
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
they ^pp3a+pp3+++=they
never ^rb++++=never
groan ^vb++++=groan
over ^in++++=over
their ^pp$+pp3+++=their
miserable ^jj+atrb+++=miserable
wealth ^nn++++=wealth
like ^in++++=like
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Night ^nn++++=Night
after ^in++++=after
night ^nn++++=night,
, ^zz++++=EXTRAWORD
for ^in++++=for
above ^jjb++++=above
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years,
, ^zz++++=EXTRAWORD
hath ^vbz+hvz+aux++=hath
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
this ^dt+dem+++=this
penance ^nn+nom+++=penance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
must ^md+nec+++=must
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
iron ^nn++++=iron
box ^nn++++=box
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
to ^in+phrv+++=to
light ^jj++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
separate ^nn+nom+++=separate
coin ^nn++++=coin
be ^vb+be+aux++=be
cleansed ^vpsv++by+xvbnx+=cleansed
by ^in++++=by
grateful ^jj+atrb+++=grateful
tears ^nns++++=tears
of ^in++++=of
a ^at++++=a
widow ^nn++++=widow
or ^cc++++=or
an ^at++++=an
orphan ^nn++++=orphan.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
spirit ^nn++++=spirit
sighs ^nns++++=sighs
for ^in++++=for
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
vigil ^nn++++=vigil
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
market ^nn++++=market-house!
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
ghosts ^nns++++=ghosts
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
tremble ^vb++++=tremble
to ^to++++=to
meet ^vbi++++=meet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cannot ^md+pos+not++=cannot
think ^vb+vprv+++=think
of ^in++++=of
without ^in++++=without
a ^at++++=a
shudder ^nn++++=shudder.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
has ^vbz+hvz+vrb++=has
the ^ati++++=the
guilt ^nn++++=guilt
of ^in++++=of
blood ^nn++++=blood
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
soul ^nn++++=soul
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
thrust ^vbd+++xvbnx+=thrust
untimely ^jj+atrb+++=untimely
forth ^np++++=forth
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
since ^cs+sub+++=since
been ^vprf+ben+aux+xvbn+=been
summoned ^vpsv++agls+xvbnx+=summoned
from ^in++++=from
our ^pp$+pp1+++=our
gloomy ^jj+atrb+++=gloomy
graveyard ^nn+++??+=graveyard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwells ^vbz++++=dwells
among ^in++++=among
the ^ati++++=the
stars ^nns++++=stars
of ^in++++=of
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
too ^ql++++=too
far ^rb+pl+++=far
and ^cc++++=and
too ^ql++++=too
high ^np++++=high
for ^in++++=for
even ^rb++++=even
the ^ati++++=the
recollection ^nn+nom+++=recollection
of ^in++++=of
mortal ^jj+atrb+++=mortal
anguish ^nn++++=anguish
to ^in++++=to
ascend ^nn+++??+=ascend
thither ^rb++++=thither.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^rb++++=so
the ^ati++++=the
murderer ^nn+nom+++=murderer's
's ^$++++=EXTRAWORD
ghost ^nn++++=ghost!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
doom ^nn++++=doom
to ^to++++=to
spend ^vbi++++=spend
all ^abn++++=all
the ^ati++++=the
hours ^nns++++=hours
of ^in++++=of
darkness ^nns+nom+++=darkness
in ^in++++=in
the ^ati++++=the
spot ^nn++++=spot
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
stained ^vbd+++xvbnx+=stained
with ^in++++=with
innocent ^jj+atrb+++=innocent
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
feel ^vbi+vprv+++=feel
the ^ati++++=the
hot ^jj+atrb+++=hot
stream ^nn++++=stream
hot ^jj++++=hot
as ^ql++++=as
when ^wrb+who+++=when
it ^pp3+it+++=it
first ^od++++=first
gushed ^vbd+++xvbn+=gushed
upon ^in++++=upon
his ^pp$+pp3+++=his
hand ^nn++++=hand
incorporating ^vwbg+++xvbg+=incorporating
itself ^ppl++++=itself
with ^in++++=with
his ^pp$+pp3+++=his
spiritual ^jj+atrb+++=spiritual
substance ^nn+nom+++=substance.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
his ^pp$+pp3+++=his
horrible ^jj+atrb+++=horrible
crime ^nn++++=crime
is ^vbz+bez+vrb++=is
ever ^rb++++=ever
fresh ^jj+pred+++=fresh
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
other ^ap++++=other
wretches ^nns+++??+=wretches
are ^vb+ber+aux++=are
condemned ^vpsv++agls+xvbnx+=condemned
to ^to++++=to
walk ^vbi++++=walk
arm ^nn++++=arm
in ^in++++=in
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
guilty ^jj+atrb+++=guilty
lovers ^nns++++=lovers
in ^in++++=in
their ^pp$+pp3+++=their
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
in ^in++++=in
death ^nn++++=death,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
wear ^vb++++=wear
the ^ati++++=the
guise ^nn++++=guise
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
hatred ^nn++++=hatred
and ^cc++++=and
loathing ^nn++++=loathing
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
their ^pp$+pp3+++=their
very ^ap+amp+++=very
nature ^nn++++=nature
and ^cc++++=and
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pollution ^nn+nom+++=pollution
of ^in++++=of
their ^pp$+pp3+++=their
mutual ^jj+atrb+++=mutual
sin ^nn++++=sin
remains ^nns++++=remains
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
makes ^vbz++++=makes
their ^pp$+pp3+++=their
souls ^nns++++=souls
sick ^jj++++=sick
continually ^rb++++=continually.
. ^zz++++=EXTRAWORD
O ^zz++++=O,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
forget ^vb+vprv+++=forget
all ^rb++++=all
the ^ati++++=the
dark ^jj+atrb+++=dark
shadows ^nps++++=shadows
which ^whp+rel+obj++=which
haunt ^nn++++=haunt
about ^in++++=about
these ^dt+dem+++=these
graves ^nns++++=graves!
! ^zz++++=EXTRAWORD
This ^dt+dem+++=This
passing ^xvbg+++xvbg+=passing
thought ^vprf+++xvbn+=thought
of ^in++++=of
them ^pp3o+pp3+++=them
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
a ^at++++=a
stain ^nn++++=stain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
weigh ^vb++++=weigh
me ^pp1o+pp1+++=me
down ^rp++++=down
among ^in++++=among
dust ^nn++++=dust
and ^cc++++=and
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
time ^nn++++=time
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
own ^ap++++=own
transgressions ^nns+++??+=transgressions
would ^md+prd+++=would
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
me ^pp1o+pp1+++=me
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
one ^cd1++++=one
shade ^nn++++=shade
among ^in++++=among
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
high ^jj+atrb+++=high
nature ^nn++++=nature
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
to ^to+jcmp+++=to
meditate ^nn+nom+++=meditate
upon ^in+strn+++=upon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
a ^at++++=a
patriot ^nn+++??+=patriot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
patriot ^nn+++??+=patriot
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Posterity ^np+nom++??+=Posterity
has ^vbz+hvz+aux++=has
forgotten ^vprf+++xvbnx+=forgotten
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
simple ^jj+atrb+++=simple
slab ^nn++++=slab,
, ^zz++++=EXTRAWORD
of ^in++++=of
red ^jj+atrb+++=red
freestone ^np++++=freestone,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
bore ^vbd+++xvbn+=bore
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
long ^rb++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
covered ^vpsv++by+xvbnx+=covered
by ^in++++=by
the ^ati++++=the
gradual ^jj+atrb+++=gradual
accumulation ^nn+nom+++=accumulation
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
A ^at++++=A
tuft ^nn+++??+=tuft
of ^in++++=of
thistles ^nns++++=thistles
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
only ^rb+down+++=only
monument ^nn+nom+++=monument.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
upright ^jj+atrb+++=upright
spirit ^nn++++=spirit
came ^vbd+++xvbn+=came
to ^in++++=to
his ^pp$+pp3+++=his
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
lengthened ^jj+atrb++xvbn+=lengthened
life ^nn++++=life,
, ^zz++++=EXTRAWORD
with ^in++++=with
so ^ql++++=so
little ^ap++++=little
stain ^nn++++=stain
of ^in++++=of
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
trodden ^vprf+++xvbn+=trodden
the ^ati++++=the
pathway ^nn++++=pathway
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
strong ^jj+atrb+++=strong
love ^nn++++=love
of ^in++++=of
country ^nn++++=country
chained ^vbd+++xvbn+=chained
him ^pp3o+pp3+++=him
down ^rp++++=down,
, ^zz++++=EXTRAWORD
to ^to++++=to
share ^vbi++++=share
its ^pp$+it+++=its
vicissitudes ^nns++++=vicissitudes
of ^in++++=of
weal ^nn++++=weal
or ^cc++++=or
woe ^np++++=woe.
. ^zz++++=EXTRAWORD
With ^in++++=With
such ^abl++++=such
deep ^jj++++=deep
yearning ^jj+++xvbg+=yearning
in ^in++++=in
his ^pp$+pp3+++=his
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unfit ^jj+pred+++=unfit
for ^in++++=for
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
noblest ^jjt+atrb+++=noblest
virtue ^nn++++=virtue
has ^vbz+hvz+vrb++=has
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keeps ^vbz++++=keeps
his ^pp$+pp3+++=his
pure ^jj++++=pure
and ^cc++++=and
lofty ^np++++=lofty
spirit ^nn++++=spirit
in ^in++++=in
a ^at++++=a
penance ^nn+nom+++=penance,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
not ^xnot++not++=not
terminate ^nn+nom+++=terminate
till ^in++++=till
America ^np++++=America
be ^vb+be+vrb++=be
again ^rb+tm+++=again
a ^at++++=a
wilderness ^nns+nom+++=wilderness.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
joy ^nn++++=joy
for ^in++++=for
the ^ati++++=the
dead ^jj+atrb+++=dead
patriot ^nn+++??+=patriot.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
he ^pp3a+pp3+++=he
fail ^vb++++=fail
to ^to+vcmp+++=to
experience ^nn+nom+++=experience
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
be ^vb+be+vrb++=be
contemplates ^nns+nom+++=contemplates
the ^ati++++=the
mighty ^jj+atrb+++=mighty
and ^cc+phrs+++=and
increasing ^jj+atrb++xvbg+=increasing
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
be ^vb+be+aux++=be
protected ^vpsv++agls+xvbnx+=protected
in ^in++++=in
its ^pp$+it+++=its
infancy ^nn++++=infancy?
? ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
much ^ap++++=much
to ^to++++=to
gladden ^vbi++++=gladden
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
sometimes ^rb++++=sometimes
I ^pp1a+pp1+++=I
dread ^vb++++=dread
to ^to+vcmp+++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
returns ^nns++++=returns
from ^in++++=from
the ^ati++++=the
bedchambers ^nns+nom+++=bedchambers
of ^in++++=of
rulers ^nns++++=rulers
and ^cc++++=and
politicians ^nns++++=politicians,
, ^zz++++=EXTRAWORD
after ^in++++=after
diving ^nn++++=diving
into ^in++++=into
their ^pp$+pp3+++=their
secret ^jj+atrb+++=secret
motives ^nns++++=motives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
searching ^vbg+++xvbg+=searching
out ^rp+pl+++=out
their ^pp$+pp3+++=their
aims ^nns++++=aims.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^vbz++++=looks
round ^rb++++=round
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
stern ^nn++++=stern
and ^cc++++=and
awful ^jj+atrb+++=awful
sadness ^nns+nom+++=sadness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanishes ^vbz++++=vanishes
into ^in++++=into
his ^pp$+pp3+++=his
neglected ^vprf+++xvbn+=neglected
grave ^jj++++=grave.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
nothing ^pn++++=nothing
sordid ^jj++++=sordid
or ^cc+phrs+++=or
selfish ^jj++++=selfish
defile ^vb++++=defile
your ^pp$+pp2+++=your
deeds ^nns++++=deeds
or ^cc++++=or
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
great ^jj+atrb+++=great
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
ye ^pp2+pp2+++=ye
grieve ^np++++=grieve
the ^ati++++=the
noble ^jj++++=noble
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
ghosts ^nns++++=ghosts
take ^vb++++=take
such ^abl++++=such
an ^at++++=an
endearing ^jj+atrb+++=endearing
interest ^nn++++=interest
as ^in++++=as
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
private ^jj+atrb+++=private
affairs ^nns++++=affairs.
