Sir ^npt++++=Sir
nimbly ^rb++++=nimbly
like ^in++++=like
a ^at++++=a
spider ^nn++++=spider,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
click ^nn++++=click
of ^in++++=of
a ^at++++=a
pistol ^nn++++=pistol
lock ^nn++++=lock
as ^ql++++=as
he ^pp3a+pp3+++=he
whipped ^vbd+++xvbnx+=whipped
the ^ati++++=the
weapon ^nn++++=weapon
out ^rp+pl+++=out
of ^in++++=of
an ^at++++=an
open ^jj+atrb+++=open
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
habit ^nn++++=habit
thus ^rb+cnj+++=thus
always ^rb++++=always
to ^to++++=to
keep ^vbi++++=keep
a ^at++++=a
weapon ^nn++++=weapon
at ^in++++=at
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
equal ^jj++++=equal
in ^in++++=in
stature ^nn++++=stature
with ^in++++=with
other ^ap++++=other
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
who ^whp+wpr+whcl++=who
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
and ^cc++++=and
the ^ati++++=the
double ^jj++++=double-barreled
- ^zz++++=EXTRAWORD
barreled ^jj+atrb++xvbn+=EXTRAWORD
pistol ^nn++++=pistol
slipped ^vbd+++xvbn+=slipped
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
startled ^vpsv++agls+xvbnx+=startled
and ^cc++++=and
apprehensive ^jj++++=apprehensive,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
motionless ^jj++++=motionless
behind ^in+pl+++=behind
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
up ^rp++++=up,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
mouth ^nn++++=mouth
closed ^vbd+++xvbn+=closed
like ^in++++=like
a ^at++++=a
trap ^nn++++=trap
and ^cc++++=and
his ^pp$+pp3+++=his
long ^jj++++=long,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
black ^jj+atrb+++=black
hair ^nn++++=hair
hanging ^vwbg+++xvbg+=hanging
on ^in++++=on
each ^dt++++=each
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
lank ^nn+++??+=lank
face ^nn++++=face
over ^in++++=over
the ^ati++++=the
huge ^jj+atrb+++=huge,
, ^zz++++=EXTRAWORD
malformed ^jj+atrb+++=malformed
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
stood ^vbd+++xvbn+=stood
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
unmoving ^jj++++=unmoving,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
twisted ^jj+atrb++xvbn+=twisted
ironical ^jj+atrb+++=ironical
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
my ^pp$+pp1+++=my
father ^npt++++=father
put ^vbd+++xvbn+=put
the ^ati++++=the
girl ^nn++++=girl
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
stood ^vbd+++xvbn+=stood
up ^rp++++=up
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Dillworth,"
dillworth ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
by ^in++++=by
turning ^xvbg+++xvbg+=turning
this ^dt+dem+++=this
child ^nn++++=child
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
looked ^vbd+++xvbn+=looked
steadily ^rb++++=steadily
at ^in++++=at
the ^ati++++=the
two ^cd++++=two
persons ^nns++++=persons
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Pendleton,"
pendleton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
precisely ^rb+cnj+++=precisely,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
recognize ^vb+vprv+++=recognize
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man,
, ^zz++++=EXTRAWORD
to ^to++++=to
call ^vbi++++=call
my ^pp$+pp1+++=my
acts ^nns++++=acts
into ^in++++=into
account ^nn++++=account;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however"
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
curious ^jj+atrb+++=curious
gesture ^nn++++=gesture
with ^in++++=with
his ^pp$+pp3+++=his
extended ^jj+atrb++xvbn+=extended
hands ^nns++++=hands
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
at ^in++++=at
your ^pp$+pp2+++=your
command ^nn++++=command,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
my ^pp$+pp1+++=my
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
young ^jj+atrb+++=young
woman ^nn++++=woman
had ^vb+hv+vrb++=had
some ^dti++++=some
estate ^nn++++=estate
from ^in++++=from
her ^pp3o+pp3+++=her
mother ^npt++++=mother
at ^rb++++=at
that ^dt+dem+++=that
lady ^npt++++=lady's
's ^$++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
As ^ql++++=As
her ^pp$+pp3+++=her
guardian ^nn++++=guardian
I ^pp1a+pp1+++=I
invested ^vbd+++xvbnx+=invested
it ^pp3+it+++=it
by ^in++++=by
permission ^nn++++=permission
of ^in++++=of
the ^ati++++=the
court ^npl++++=court's
's ^$++++=EXTRAWORD
decree ^nn++++=decree."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
Maxwell ^np++++=Maxwell
lands ^nns++++=lands
were ^vbd+bed+aux++=were
sold ^vpsv++agls+xvbnx+=sold
before ^in++++=before
the ^ati++++=the
courthouse ^nn+++??+=courthouse
I ^pp1a+pp1+++=I
bid ^nn++++=bid
them ^pp3o+pp3+++=them
in ^in++++=in
for ^in++++=for
my ^pp$+pp1+++=my
ward ^nn++++=ward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
judge ^nn++++=judge
confirmed ^vwbn+vpub++xvbn+=confirmed
this ^dt+dem+++=this
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
guardian ^nn++++=guardian
funds ^nns++++=funds.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
upon ^in++++=upon
advice ^nn++++=advice
of ^in++++=of
counsel ^nn++++=counsel
and ^cc++++=and
within ^in++++=within
the ^ati++++=the
letter ^nn++++=letter
of ^in++++=of
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
Maxwell ^np++++=Maxwell
had ^vb+hv+vrb++=had
only ^rb+down+++=only
a ^at++++=a
life ^nn++++=life
interest ^nn++++=interest
in ^in++++=in
these ^dt+dem+++=these
lands ^nns++++=lands;
; ^zz++++=EXTRAWORD
Maxwell ^np++++=Maxwell
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
purchased ^vprf+++xvbnx+=purchased
the ^ati++++=the
interest ^nn++++=interest
of ^in++++=of
his ^pp$+pp3+++=his
heirs ^nns++++=heirs
sues ^nns+++??+=sues
in ^in++++=in
the ^ati++++=the
courts ^nns++++=courts
for ^in++++=for
this ^dt+dem+++=this
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
new ^jj+atrb+++=new
claimant ^nn+nom+++=claimant
will ^md+prd+++=will
recover ^vb++++=recover;
; ^zz++++=EXTRAWORD
since ^cs+sub+++=since
one ^cd1++++=one
who ^whp+rel+subj++=who
buys ^vbz++++=buys
at ^in++++=at
a ^at++++=a
judicial ^jj+atrb+++=judicial
sale ^nn++++=sale,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
buys ^vbz++++=buys
under ^in++++=under
the ^ati++++=the
doctrine ^nn++++=doctrine
of ^in++++=of
caveat ^nn++++=caveat
emptor ^nn++++=emptor
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
at ^in++++=at
his ^pp$+pp3+++=his
peril ^nn++++=peril.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
takes ^vbz++++=takes
his ^pp$+pp3+++=his
chance ^nn++++=chance
upon ^in++++=upon
the ^ati++++=the
title ^nn++++=title.
. ^zz++++=EXTRAWORD
The ^ati++++=The
court ^nn++++=court
does ^vbz+doz+aux++=does
not ^xnot++not++=not
insure ^vb+vpub+++=insure
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
defective ^jj+pred+++=defective
he ^pp3a+pp3+++=he
loses ^vbz++++=loses
both ^abx++++=both
the ^ati++++=the
money ^nn++++=money
and ^cc++++=and
the ^ati++++=the
lands ^nns++++=lands.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
ward ^nn++++=ward
will ^md+prd+++=will
have ^vb+hv+vrb++=have
no ^at++++=no
income ^nn++++=income
to ^to++++=to
support ^vbi++++=support
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
decline ^vb++++=decline
to ^to+vcmp+++=to
assume ^vbi+vprv+++=assume
that ^tht+vcmp+++=that
burden ^nn++++=burden."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^npt++++=father
looked ^vbd+++xvbn+=looked
the ^ati++++=the
hunchback ^nn+++??+=hunchback
in ^in++++=in
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
man ^nn++++=man
bringing ^vwbg+++xvbg+=bringing
this ^dt+dem+++=this
suit ^nn++++=suit
at ^rb++++=at
law ^nn++++=law?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Henderson ^np++++=Henderson,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Dillworth ^np+++??+=Dillworth,
, ^zz++++=EXTRAWORD
" ^zz++++="from
from ^in++++=EXTRAWORD
Maryland ^np+++??+=Maryland."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
hunchback ^nn+++??+=hunchback.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
huddled ^j+++xvbn+=huddled
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
interrupted ^j+++xvbn+=interrupted.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
letters ^nns+nom+++=letters,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vprf+++xvbn+=EXTRAWORD
in ^in++++=in
here ^rn+pl+++=here
with ^in++++=with
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
return ^vb++++=return
address ^nns+nom+++=address
at ^rb++++=at
Baltimore ^np+++??+=Baltimore
written ^vbd+++xvbn+=written
on ^in++++=on
the ^ati++++=the
envelope ^nn++++=envelope."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hunchback ^nn++++=hunchback
made ^vbd+++xvbn+=made
an ^at++++=an
irrelevant ^jj+atrb+++=irrelevant
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
man ^nn++++=man
wrote ^vbd+vprv++xvbn+=wrote
to ^to++++=to
inquire ^vbi++++=inquire
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
would ^md+prd+++=would
buy ^vb++++=buy
his ^pp$+pp3+++=his
title ^nn++++=title.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
declined ^vbd+++xvbnx+=declined."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Pendleton,"
pendleton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
about ^in++++=about
this ^dt+dem+++=this
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
every ^at++++=every
step ^nn++++=step
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
was ^vbd+bedz+vrb++=was
legal ^jj+pred+++=legal.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
with ^in++++=with
pains ^nns++++=pains
and ^cc++++=and
care ^nn++++=care
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
an ^at++++=an
order ^to++++=order
out ^rp+pl+++=out
of ^in++++=of
chancery ^nn+nom+++=chancery
to ^to++++=to
make ^vbi++++=make
this ^dt+dem+++=this
purchase ^nn++++=purchase,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
careful ^jj++++=careful
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
have ^vbi++vrb++=have
this ^dt+dem+++=this
guardianship ^nn+nom+++=guardianship
investment ^nn+nom+++=investment
confirmed ^vwbn+vpub++xvbn+=confirmed
by ^in++++=by
the ^ati++++=the
court ^nn++++=court.
. ^zz++++=EXTRAWORD
No ^at++++=No
affair ^nn++++=affair
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
done ^vpsv++agls+xvbnx+=done
so ^pn++++=so
exactly ^rb++++=exactly
within ^in++++=within
the ^ati++++=the
law ^nn++++=law."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you
so ^ql++++=so
extremely ^rb+amp+++=extremely
careful ^jj++++=careful?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
safeguard ^nn++++=safeguard
of ^in++++=of
the ^ati++++=the
law ^nn++++=law
about ^rb++++=about
me ^pp1o+pp1+++=me
at ^in++++=at
every ^at++++=every
step ^nn++++=step,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ask ^vb++++=ask
me ^pp1o+pp1+++=me
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Pendleton? ^np+++??+=Pendleton?"'
" ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
my ^pp$+pp1+++=my
precautions ^nns+nom+++=precautions
evident ^jj++++=evident?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
them ^pp3o+pp3+++=them
to ^to++++=to
prevent ^vbi++++=prevent
this ^dt+dem+++=this
very ^ap+amp+++=very
thing ^nn++++=thing;
; ^zz++++=EXTRAWORD
to ^to++++=to
protect ^vbi++++=protect
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
this ^dt+dem+++=this
thing ^nn++++=thing
should ^md+nec+++=should
happen ^vb+++??+=happen!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then,"
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
happen ^vb+++??+=happen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
slipped ^vbd+++xvbn+=slipped
about ^in++++=about
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
happen ^vb+++??+=happen
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
be ^vb+be+aux++=be
charged ^vpsv++agls+xvbnx+=charged
with ^in++++=with
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
crimes ^nns++++=crimes
and ^cc++++=and
misdemeanors ^nns++++=misdemeanors
if ^cs+cnd+++=if
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
any ^dti++++=any
hooks ^nns++++=hooks
on ^in++++=on
which ^whp+rel+pied++=which
to ^to++++=to
hang ^vbi++++=hang
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
a ^at++++=a
man ^nn++++=man
locks ^npl++++=locks
his ^pp$+pp3+++=his
door ^nn++++=door
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
proof ^nn++++=proof
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
knows ^vbz+vprv+tht0++=knows
a ^at++++=a
robber ^nn++++=robber
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
way ^nn++++=way?
? ^zz++++=EXTRAWORD
Human ^jj+atrb+++=Human
foresight ^nn++++=foresight
and ^cc++++=and
the ^ati++++=the
experience ^nn+nom+++=experience
of ^in++++=of
men ^nns++++=men
move ^vb++++=move
prudent ^jj+atrb+++=prudent
persons ^nns++++=persons
to ^in++++=to
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
precaution ^nn+nom+++=precaution
in ^in++++=in
the ^ati++++=the
conduct ^nn++++=conduct
of ^in++++=of
affairs ^nns++++=affairs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
moves ^vbz++++=moves
them ^pp3o+pp3+++=them
to ^in++++=to
an ^at++++=an
excessive ^jj+atrb+++=excessive
caution ^nn+nom+++=caution?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hunchback ^nn++++=hunchback
snapped ^vbd+++xvbn+=snapped
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
with ^in++++=with
an ^at++++=an
exasperated ^jj+atrb+++=exasperated
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
annoyed ^jj+pred+++=annoyed
by ^in++++=by
your ^pp$+pp2+++=your
big ^jj++++=big,
, ^zz++++=EXTRAWORD
dominating ^vbg+++xvbg+=dominating
manner ^nn++++=manner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
concerned ^vpsv++by+xvbn+=concerned
by ^in++++=by
this ^dt+dem+++=this
defiance ^nn+nom+++=defiance.
. ^zz++++=EXTRAWORD
" ^zz++++="Dillworth,"
dillworth ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
sent ^vbd+++xvbn+=sent
this ^dt+dem+++=this
child ^nn++++=child
out ^rp+pl+++=out
to ^to++++=to
seek ^vbi++++=seek
her ^pp3o+pp3+++=her
father ^npt++++=father.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
right ^jj+atrb+++=right
road ^npl++++=road
to ^to++++=to
find ^vbi+vprv+++=find
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hunchback ^nn+++??+=hunchback
stepped ^vbd+++xvbn+=stepped
back ^jjb++++=back
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^vb++++=face
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
in ^in++++=in
his ^pp$+pp3+++=his
chair ^nn++++=chair
and ^cc++++=and
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
here ^rn+pl+splt++=here
suddenly ^rb++++=suddenly
uncovered ^xvbn+++xvbn+=uncovered
something ^pn++++=something
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
looked ^vbd+++xvbn+=looked
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
to ^to++++=to
gain ^vbi++++=gain
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
cast ^vprf+++xvbnx+=cast
up ^rp++++=up
the ^ati++++=the
accounts ^nns++++=accounts
in ^in++++=in
proper ^jj+atrb+++=proper
form ^nn++++=form,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied
my ^pp$+pp1+++=my
father ^nn++++=father,
