Hands ^nns++++=HANDS,
fence ^nn++++=fence
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
and ^cc++++=and
beating ^nvbg+++xvbg+=beating
like ^in++++=like
a ^at++++=a
giant ^nn++++=giant
woodpecker ^jjr++++=woodpecker
upon ^in++++=upon
the ^ati++++=the
top ^jjb+atrb+++=top
board ^nn++++=board
had ^vbd+hvd+aux++=had
shouted ^vprf+++xvbnx+=shouted
at ^in++++=at
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
condemning ^vbg+++xvbg+=condemning
his ^pp$+pp3+++=his
tendency ^nn++++=tendency
to ^to+ncmp+++=to
be ^vbi++vrb++=be
too ^ql++++=too
much ^ap++++=much
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
the ^ati++++=the
people ^nns++++=people
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
destroying ^vbg+++xvbgx+=destroying
yourself ^ppl+pp2+++=yourself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
inclination ^nn+nom+++=inclination
to ^to+ncmp+++=to
be ^vbi++vrb++=be
alone ^rb++++=alone
and ^cc++++=and
to ^in++++=to
dream ^nn++++=dream
and ^cc++++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
afraid ^jj+pred+++=afraid
of ^in++++=of
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
like ^in++++=like
others ^aps++++=others
in ^in++++=in
town ^nn++++=town
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hear ^vb+vprv+++=hear
them ^pp3o+pp3+++=them
talk ^nn++++=talk
and ^cc++++=and
you ^pp2+pp2+++=you
try ^vb++++=try
to ^to+vcmp+++=to
imitate ^nn+nom+++=imitate
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
again ^rb+tm+++=again
to ^to++++=to
drive ^vbi++++=drive
his ^pp$+pp3+++=his
point ^nn++++=point
home ^nr++++=home.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
became ^vbd+++xvbn+=became
soft ^jj++++=soft
and ^cc+phrs+++=and
reminiscent ^jj++++=reminiscent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh
of ^in++++=of
contentment ^nn+nom+++=contentment
he ^pp3a+pp3+++=he
launched ^vbd+++xvbnx+=launched
into ^in+ppvb+++=into
a ^at++++=a
long ^jj+atrb+++=long
rambling ^jj+atrb+++=rambling
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking
as ^ql++++=as
one ^cd1++++=one
lost ^jj+++xvbn+=lost
in ^in++++=in
a ^at++++=a
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
of ^in++++=of
the ^ati++++=the
dream ^nn++++=dream
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
made ^vbd+++xvbn+=made
a ^at++++=a
picture ^nn++++=picture
for ^in++++=for
George ^np++++=George
Willard ^np+++??+=Willard.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
picture ^nn++++=picture
men ^nns++++=men
lived ^vbd+++xvbn+=lived
again ^rb+tm+++=again
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
pastoral ^jj+atrb+++=pastoral
golden ^jj+atrb+++=golden
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
a ^at++++=a
green ^nn++++=green
open ^jj+atrb+++=open
country ^nn++++=country
came ^vbd+++xvbn+=came
clean ^jj++++=clean-limbed
- ^zz++++=EXTRAWORD
limbed ^jj+atrb++xvbn+=EXTRAWORD
young ^jj+atrb+++=young
men ^nns++++=men,
, ^zz++++=EXTRAWORD
some ^dti++++=some
afoot ^rb+cnj+++=afoot,
, ^zz++++=EXTRAWORD
some ^dti++++=some
mounted ^jj+++xvbn+=mounted
upon ^in++++=upon
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
In ^in++++=In
crowds ^nns++++=crowds
the ^ati++++=the
young ^jj+atrb+++=young
men ^nns++++=men
came ^vbd+++xvbn+=came
to ^to++++=to
gather ^vbi+vprv+++=gather
about ^in++++=about
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
beneath ^in+pl+++=beneath
a ^at++++=a
tree ^nn++++=tree
in ^in++++=in
a ^at++++=a
tiny ^jj+atrb+++=tiny
garden ^nn++++=garden
and ^cc++++=and
who ^whp+rel+subj++=who
talked ^vbd+++xvbn+=talked
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
became ^vbd+++xvbn+=became
wholly ^rb++++=wholly
inspired ^jj+++xvbn+=inspired.
. ^zz++++=EXTRAWORD
For ^rb++++=For
once ^rb"+tm+++=once
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly
they ^pp3a+pp3+++=they
stole ^vbd+++xvbnx+=stole
forth ^rp++++=forth
and ^cc++++=and
lay ^vpsv++agls+xvbn+=lay
upon ^in++++=upon
George ^np++++=George
Willard ^np++++=Willard's
's ^$++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
new ^jj++++=new
and ^cc++++=and
bold ^np++++=bold
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
voice ^nn++++=voice
that ^tht+rel+subj++=that
talked ^vprf+++xvbn+=talked.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
try ^vb++++=try
to ^to+vcmp+++=to
forget ^vbi+vprv+++=forget
all ^abn++++=all
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
begin ^vb++++=begin
to ^to++++=to
dream ^vbi++++=dream.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
time ^nn++++=time
on ^in++++=on
you ^pp2+pp2+++=you
must ^md+nec+++=must
shut ^vb+++xvbn+=shut
your ^pp$+pp2+++=your
ears ^nns++++=ears
to ^in++++=to
the ^ati++++=the
roaring ^jj+++xvbg+=roaring
of ^in++++=of
the ^ati++++=the
voices ^nns++++=voices."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pausing ^vbg+++xvbg+=Pausing
in ^in++++=in
his ^pp$+pp3+++=his
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
looked ^vbd+++xvbn+=looked
long ^rb++++=long
and ^cc+phrs+++=and
earnestly ^rb++++=earnestly
at ^in++++=at
George ^np++++=George
Willard ^np+++??+=Willard.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
glowed ^vbd+++xvbn+=glowed.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
hands ^nns++++=hands
to ^to++++=to
caress ^vbi++++=caress
the ^ati++++=the
boy ^nn++++=boy
and ^cc++++=and
then ^rn+tm+++=then
a ^at++++=a
look ^nn++++=look
of ^in++++=of
horror ^nn++++=horror
swept ^vwbn+++xvbn+=swept
over ^in++++=over
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
convulsive ^jj+atrb+++=convulsive
movement ^nn+nom+++=movement
of ^in++++=of
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
sprang ^vbd+++xvbn+=sprang
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
thrust ^nn+++xvbn+=thrust
his ^pp$+pp3+++=his
hands ^nns++++=hands
deep ^jj++++=deep
into ^in++++=into
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
Tears ^nns++++=Tears
came ^vbd+++xvbn+=came
to ^in++++=to
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
getting ^vbg+++xvbgx+=getting
along ^in++++=along
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
talk ^vb++++=talk
no ^at++++=no
more ^rbr++++=more
with ^in++++=with
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
nervously ^rb++++=nervously.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
looking ^xvbg+++xvbg+=looking
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
had ^vbd+hvd+aux++=had
hurried ^vprf+++xvbnx+=hurried
down ^rp++++=down
the ^ati++++=the
hillside ^nn++++=hillside
and ^cc++++=and
across ^in+pl+++=across
a ^at++++=a
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
George ^np++++=George
Willard ^np+++??+=Willard
perplexed ^vbd+++xvbn+=perplexed
and ^cc+phrs+++=and
frightened ^vbd+++xvbn+=frightened
upon ^in++++=upon
the ^ati++++=the
grassy ^jj+atrb+++=grassy
slope ^nn++++=slope.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
shiver ^nn++++=shiver
of ^in++++=of
dread ^nn++++=dread
the ^ati++++=the
boy ^nn++++=boy
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went
along ^in++++=along
the ^ati++++=the
road ^nn++++=road
toward ^in++++=toward
town ^nn++++=town.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
ask ^vb++++=ask
him ^pp3o+pp3+++=him
about ^in++++=about
his ^pp$+pp3+++=his
hands ^nns++++=hands,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
touched ^xvbn+++xvbn+=touched
by ^in++++=by
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
terror ^nn++++=terror
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
in ^in++++=in
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
something ^pn++++=something
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
have ^vb+hv+vrb++=have
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
his ^pp$+pp3+++=his
fear ^nn++++=fear
of ^in++++=of
me ^pp1o+pp1+++=me
and ^cc++++=and
of ^in++++=of
everyone ^pn++++=everyone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
George ^np++++=George
Willard ^np+++??+=Willard
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
look ^vb++++=look
briefly ^rb++++=briefly
into ^in++++=into
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
our ^pp$+pp1+++=our
talking ^vbg+++xvbg+=talking
of ^in++++=of
them ^pp3o+pp3+++=them
will ^md+prd+++=will
arouse ^vb++++=arouse
the ^ati++++=the
poet ^nn++++=poet
who ^whp+rel+subj++=who
will ^md+prd+++=will
tell ^vb++++=tell
the ^ati++++=the
hidden ^nn++++=hidden
wonder ^vb++++=wonder
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
influence ^nn+nom+++=influence
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
hands ^nns++++=hands
were ^vbd+bed+aux++=were
but ^cc++++=but
fluttering ^vbg+++xvbg+=fluttering
pennants ^nns+nom+++=pennants
of ^in++++=of
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
youth ^nn++++=youth
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
school ^nn++++=school
teacher ^nn++++=teacher
in ^in++++=in
a ^at++++=a
town ^nn++++=town
in ^in++++=in
Pennsylvania ^np+++??+=Pennsylvania.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
then ^rn+tm+++=then
known ^vbn+vprv++xvbn+=known
as ^ql++++=as
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
went ^vpsv++by+xvbn+=went
by ^in++++=by
the ^ati++++=the
less ^rbr++++=less
euphonic ^jj+atrb+++=euphonic
name ^nn++++=name
of ^in++++=of
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
much ^ap++++=much
loved ^vpsv++by+xvbn+=loved
by ^in++++=by
the ^ati++++=the
boys ^nns++++=boys
of ^in++++=of
his ^pp$+pp3+++=his
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
was ^vbd+bedz+aux++=was
meant ^vpsv++by+xvbnx+=meant
by ^in++++=by
nature ^nn++++=nature
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
teacher ^nn++++=teacher
of ^in++++=of
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
rare ^jj++++=rare,
, ^zz++++=EXTRAWORD
little ^ap++++=little-understood
- ^zz++++=EXTRAWORD
understood ^vbd+vprv++xvbn+=EXTRAWORD
men ^nns++++=men
who ^whp+rel+obj++=who
rule ^nn++++=rule
by ^in++++=by
a ^at++++=a
power ^nn++++=power
so ^rb+emph+++=so
gentle ^jj++++=gentle
that ^cs+sub+++=that
it ^pp3+it+++=it
passes ^vbz++++=passes
as ^ql++++=as
a ^at++++=a
lovable ^jj+atrb+++=lovable
weakness ^nns+nom+++=weakness.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
feeling ^nvbg+++xvbg+=feeling
for ^in++++=for
the ^ati++++=the
boys ^nns++++=boys
under ^in++++=under
their ^pp$+pp3+++=their
charge ^nn++++=charge
such ^abl++++=such
men ^nns++++=men
are ^vb+ber+vrb++=are
not ^xnot++not++=not
unlike ^in++++=unlike
the ^ati++++=the
finer ^jjr+atrb+++=finer
sort ^nn++++=sort
of ^in++++=of
women ^nns++++=women
in ^in++++=in
their ^pp$+pp3+++=their
love ^nn++++=love
of ^in++++=of
men ^nns++++=men.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
but ^cc++++=but
crudely ^jj++++=crudely
stated ^jj+++xvbn+=stated.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
needs ^vbz++++=needs
the ^ati++++=the
poet ^nn++++=poet
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
boys ^nns++++=boys
of ^in++++=of
his ^pp$+pp3+++=his
school ^nn++++=school,
, ^zz++++=EXTRAWORD
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
or ^cc++++=or
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
talking ^vbg+++xvbg+=talking
until ^cs+sub+++=until
dusk ^nn++++=dusk
upon ^in++++=upon
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse
steps ^nns++++=steps
lost ^vbd+++xvbn+=lost
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc++++=and
there ^ex+pex+++=there
went ^vbd+++xvbn+=went
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
caressing ^vbg+++xvbg+=caressing
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
about ^in++++=about
the ^ati++++=the
tousled ^jj+atrb+++=tousled
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
his ^pp$+pp3+++=his
voice ^nn++++=voice
became ^vbd+++xvbn+=became
soft ^jj++++=soft
and ^cc+phrs+++=and
musical ^jj++++=musical.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
caress ^nn++++=caress
in ^cs+sub+++=in
that ^cs"++++=that
also ^rb++++=also.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
way ^nn++++=way
the ^ati++++=the
voice ^nn++++=voice
and ^cc++++=and
the ^ati++++=the
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stroking ^nn++++=stroking
of ^in++++=of
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
the ^ati++++=the
touching ^nn++++=touching
of ^in++++=of
the ^ati++++=the
hair ^nn++++=hair
were ^vbd+bed+vrb++=were
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster's
's ^$++++=EXTRAWORD
effort ^nn++++=effort
to ^to+ncmp+++=to
carry ^vbi++++=carry
a ^at++++=a
dream ^nn++++=dream
into ^in++++=into
the ^ati++++=the
young ^jj+atrb+++=young
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
caress ^vb++++=caress
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
he ^pp3a+pp3+++=he
expressed ^vbd+vpub+tht0+xvbnx+=expressed
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
men ^nns++++=men
in ^in++++=in
whom ^whp+rel+pied++=whom
the ^ati++++=the
force ^nn++++=force
that ^tht+rel+subj++=that
creates ^nns+nom+++=creates
life ^nn++++=life
is ^vbz+bez+aux++=is
diffused ^vpsv++agls+xvbnx+=diffused,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
centralized ^jj++++=centralized.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
caress ^nn++++=caress
of ^in++++=of
his ^pp$+pp3+++=his
hands ^nns++++=hands
doubt ^nn++++=doubt
and ^cc++++=and
disbelief ^nn++++=disbelief
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
and ^cc++++=and
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
also ^rb++++=also
to ^in++++=to
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
tragedy ^nn++++=tragedy.
. ^zz++++=EXTRAWORD
A ^at++++=A
half ^abn++++=half-witted
- ^zz++++=EXTRAWORD
witted ^jj+atrb++xvbn+=EXTRAWORD
boy ^nn++++=boy
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
became ^vbd+++xvbn+=became
enamored ^jj+++xvbn+=enamored
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
master ^nn++++=master.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
bed ^nn++++=bed
at ^in++++=at
night ^nn++++=night
he ^pp3a+pp3+++=he
imagined ^vbd+vprv++xvbnx+=imagined
unspeakable ^jj+atrb+++=unspeakable
things ^nns++++=things
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
went ^vbd+++xvbn+=went
forth ^rp++++=forth
to ^to++++=to
tell ^vbi++++=tell
his ^pp$+pp3+++=his
dreams ^nns++++=dreams
as ^ql++++=as
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
Strange ^jj+atrb+++=Strange,
, ^zz++++=EXTRAWORD
hideous ^jj+atrb+++=hideous
accusations ^nns+nom+++=accusations
fell ^vbd+++xvbn+=fell
from ^in++++=from
his ^pp$+pp3+++=his
loose ^jj++++=loose-hung
- ^zz++++=EXTRAWORD
hung ^xvbn+++xvbn+=EXTRAWORD
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
Pennsylvania ^np+++??+=Pennsylvania
town ^nn++++=town
went ^vbd+++xvbn+=went
a ^at++++=a
shiver ^nn++++=shiver.
. ^zz++++=EXTRAWORD
Hidden ^jj+atrb++xvbn+=Hidden,
, ^zz++++=EXTRAWORD
shadowy ^jj+atrb+++=shadowy
doubts ^vb++++=doubts
that ^tht+vcmp+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
men ^nns++++=men's
's ^$++++=EXTRAWORD
minds ^nns++++=minds
concerning ^in++++=concerning
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
were ^vbd+bed+vrb++=were
galvanized ^jj+pred+++=galvanized
into ^in++++=into
beliefs ^nns++++=beliefs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tragedy ^nn++++=tragedy
did ^vbd+dod+aux++=did
not ^xnot++not++=not
linger ^vb++++=linger.
. ^zz++++=EXTRAWORD
Trembling ^jj+atrb++xvbg+=Trembling
lads ^nns++++=lads
were ^vbd+bed+aux++=were
jerked ^vpsv++agls+xvbnx+=jerked
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed
and ^cc++++=and
questioned ^vbd+vpub++xvbn+=questioned.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
arms ^nns++++=arms
about ^rb++++=about
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
fingers ^nns+nom+++=fingers
were ^vbd+bed+aux++=were
always ^rb++splt++=always
playing ^vbg+++xvbgx+=playing
in ^in++++=in
my ^pp$+pp1+++=my
hair ^nn++++=hair,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon
a ^at++++=a
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Bradford ^np++++=Bradford,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
a ^at++++=a
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Calling ^vbg+nom++xvbg+=Calling
Adolph ^np+++??+=Adolph
Myers ^np+++??+=Myers
into ^in++++=into
the ^ati++++=the
school ^nn++++=school
yard ^nn++++=yard
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
beat ^vbi++++=beat
him ^pp3o+pp3+++=him
with ^in++++=with
his ^pp$+pp3+++=his
fists ^nns++++=fists.
. ^zz++++=EXTRAWORD
As ^ql++++=As
his ^pp$+pp3+++=his
hard ^jj+atrb+++=hard
knuckles ^nns++++=knuckles
beat ^vbd+++xvbn+=beat
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
frightened ^jj+atrb++xvbn+=frightened
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wrath ^nn++++=wrath
became ^vbd+++xvbn+=became
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
terrible ^jj++++=terrible.
. ^zz++++=EXTRAWORD
Screaming ^jj+++xvbg+=Screaming
with ^in++++=with
dismay ^nn++++=dismay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
children ^nns++++=children
ran ^vbd+++xvbn+=ran
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
like ^in++++=like
disturbed ^xvbn+++xvbn+=disturbed
insects ^nns++++=insects.
