Eastward ^rb++++=Eastward
road ^nn++++=road,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
her ^pp$+pp3+++=her
two ^cd++++=two
little ^ap++++=little
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
Con ^np++++=Con
and ^cc++++=and
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
her ^pp$+pp3+++=her
little ^ap++++=little
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
Peg ^nn++++=Peg,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
she ^pp3a+pp3+++=she
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
called ^vbd+++xvbnx+=called
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
answer ^nn++++=answer
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
little ^jj++++=little
haggard ^jj++++=haggard,
, ^zz++++=EXTRAWORD
fenced ^xvbn+++xvbn+=fenced
with ^in++++=with
straggling ^jj+atrb+++=straggling
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
listened ^vbd+++xvbnx+=listened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
their ^pp$+pp3+++=their
voices ^nns++++=voices
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
stile ^nn++++=stile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+pl+++=behind
the ^ati++++=the
house ^nn++++=house
she ^pp3a+pp3+++=she
ran ^vbd+++xvbnx+=ran
but ^cc++++=but
there ^ex+pex+++=there
all ^abn++++=all
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
and ^cc+phrs+++=and
deserted ^jj+++xvbn+=deserted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
toward ^in++++=toward
the ^ati++++=the
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
she ^pp3a+pp3+++=she
could ^md+pos+++=could
see ^vb+vprv+++=see;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
she ^pp3a+pp3+++=she
listened ^vbd+++xvbnx+=listened
but ^cc++++=but
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
a ^at++++=a
different ^jj++++=different
feeling ^xvbg+++xvbg+=feeling
overcame ^vbd+++xvbn+=overcame
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
grew ^vbd+++xvbnx+=grew
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
With ^in++++=With
an ^at++++=an
undefined ^jj++++=undefined
boding ^jj++++=boding
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
toward ^in++++=toward
the ^ati++++=the
heathy ^jj+atrb+++=heathy
boss ^nn++++=boss
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
darkening ^nvbg+++xvbg+=darkening
into ^in++++=into
the ^ati++++=the
deepest ^jjt++++=deepest
purple ^jj++++=purple
against ^in++++=against
the ^ati++++=the
flaming ^jj+atrb+++=flaming
sky ^nn++++=sky
of ^in++++=of
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
she ^pp3a+pp3+++=she
listened ^vbd+++xvbnx+=listened
with ^in++++=with
a ^at++++=a
sinking ^jj+atrb++xvbg+=sinking
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbn+vprv+tht0+xvbn+=heard
nothing ^pn++++=nothing
but ^cc++++=but
the ^ati++++=the
farewell ^nn++++=farewell
twitter ^jjr++++=twitter
and ^cc++++=and
whistle ^nn++++=whistle
of ^in++++=of
the ^ati++++=the
birds ^nns++++=birds
in ^in++++=in
the ^ati++++=the
bushes ^nns++++=bushes
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
stories ^nns++++=stories
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
listened ^vbd+++xvbnx+=listened
to ^in++++=to
by ^in++++=by
the ^ati++++=the
winter ^nn++++=winter
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
of ^in++++=of
children ^nns++++=children
stolen ^vwbn+++xvbn+=stolen
by ^in++++=by
the ^ati++++=the
fairies ^nns++++=fairies,
, ^zz++++=EXTRAWORD
at ^rb++++=at
nightfall ^nn+++??+=nightfall,
, ^zz++++=EXTRAWORD
in ^in++++=in
lonely ^jj+atrb+++=lonely
places ^nns++++=places!
! ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
fear ^nn++++=fear
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
her ^pp3o+pp3+++=her
mother ^npt++++=mother
was ^vbd+bedz+aux++=was
haunted ^vpsv++agls+xvbnx+=haunted.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
round ^in++++=round
gathered ^vbd+++xvbn+=gathered
her ^pp$+pp3+++=her
little ^ap++++=little
flock ^nn++++=flock
about ^in++++=about
her ^pp$+pp3+++=her
so ^pn+emph+++=so
early ^jj++++=early
as ^ql++++=as
this ^dt+dem+++=this
frightened ^jj+atrb++xvbn+=frightened
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
door ^nn++++=door
" ^zz++++="in
in ^in++++=EXTRAWORD
the ^ati++++=the
seven ^cd++++=seven
parishes ^nns++++=parishes"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
barred ^vpsv++agls+xvbnx+=barred
so ^pn+emph+++=so
early ^jj++++=early.
. ^zz++++=EXTRAWORD
Sufficiently ^rb++++=Sufficiently
fearful ^jj++++=fearful,
, ^zz++++=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
young ^jj+atrb+++=young
people ^nns++++=people
in ^cs+sub+++=in
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
are ^vb+ber+vrb++=are
of ^in++++=of
such ^abl++++=such
dreaded ^jj+atrb++xvbn+=dreaded
and ^cc+phrs+++=and
subtle ^jj+atrb+++=subtle
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell
was ^vbd+bedz+vrb++=was
even ^rb++++=even
more ^rbr++++=more
than ^in++++=than
usually ^rb+down+++=usually
afraid ^jj++++=afraid
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
her ^pp$+pp3+++=her
terrors ^nns++++=terrors
were ^vbd+bed+aux++=were
infected ^vpsv++agls+xvbnx+=infected
and ^cc+phrs+++=and
redoubled ^vpsv++by+xvbn+=redoubled
by ^in++++=by
her ^pp3o+pp3+++=her
mother ^npt++++=mother's.
's. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
towards ^in++++=towards
Lisnavoura ^np+++??+=Lisnavoura
in ^in++++=in
a ^at++++=a
trance ^nn++++=trance
of ^in++++=of
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crossed ^vbd+++xvbn+=crossed
herself ^ppl+pp3+++=herself
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whispered ^jj+atrb++xvbn+=whispered
prayer ^nn++++=prayer
after ^in++++=after
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
interrupted ^vpsv++by+xvbnx+=interrupted
by ^in++++=by
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
on ^in++++=on
the ^ati++++=the
road ^npl++++=road
calling ^vwbg+++xvbg+=calling
her ^pp$+pp3+++=her
loudly ^rb++++=loudly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
round ^rb++++=round
to ^in++++=to
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
standing ^vbg+++xvbg+=standing.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
where ^wrb+who+++=where
in ^in++++=in
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
the ^ati++++=the
craythurs ^vbz+++??+=craythurs
did ^vbd+dod+aux++=did
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see
sight ^nn++++=sight
of ^in++++0=o'
them ^pp3o+pp3+++=them
anywhere ^rb++++=anywhere?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ryan ^np++++=Ryan,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
girl ^nn++++=girl
came ^vbd+++xvbn+=came
over ^in++++=over
the ^ati++++=the
stile ^nn++++=stile.
. ^zz++++=EXTRAWORD
" ^zz++++="Arrah!
arrah ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
only ^ap+down+++=only
what ^wdt+who+++=what
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
run ^vpsv++agls+xvbnx+=run
down ^rb+phrv+++=down
the ^ati++++=the
road ^nn++++=road
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
this ^dt+dem+++=this
minute ^nn++++=minute
coming ^vwbg+++xvbg+=coming
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
goats ^nns++++=goats
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
climbin ^nn+++??+=climbin'
' ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
them ^pp3o+pp3+++=them
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++=them
a ^at++++=a
hiding ^jj+++xvbg+=hiding
all ^abn++++=all
round ^in+strn+++=round."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="May
may ^md+pos+++=EXTRAWORD
the ^ati++++=the
Lord ^npt++++=Lord
forgive ^vb++++=forgive
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell!
! ^zz++++=EXTRAWORD
the ^ati++++=the
childhers ^nns+nom+++=childhers
gone ^vbd+++xvbn+=gone.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+aux++0=EXTRAWORD
took ^vpsv++agls+xvbnx+=took,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
a ^at++++=a
soul ^nn++++=soul
near ^rb++++=near
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Father ^nn++++=Father
Tom ^np++++=Tom
three ^cd++++=three
miles ^nns++++=miles
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what'll
'll ^md+prd+++0=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
who ^whp+who+++=who's
's ^vbz+bez+aux++0=EXTRAWORD
to ^to++++=to
help ^vbi++++=help
us ^pp1o+pp1+++=us
this ^dt+dem+++=this
night ^nn++++=night?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
wirristhru ^nn+++??+=wirristhru,
, ^zz++++=EXTRAWORD
wirristhru ^nn+++??+=wirristhru!
! ^zz++++=EXTRAWORD
The ^ati++++=The
craythurs ^nns+++??+=craythurs
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Whisht,
whisht ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
aisy ^nn+++??+=aisy:
: ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
up ^rp++++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
shouted ^vbd+vpub++xvbnx+=shouted
in ^in++++=in
menacing ^jj+atrb+++=menacing
accents ^nns++++=accents,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
her ^pp$+pp3+++=her
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beckoning ^vbg+++xvbg+=beckoning
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen
approaching ^jj+++xvbg+=approaching
on ^in++++=on
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
some ^dti++++=some
little ^jj+atrb+++=little
way ^nn++++=way
off ^in+pl+++=off
made ^vbd+++xvbn+=made
a ^at++++=a
slight ^jj+atrb+++=slight
dip ^nn++++=dip,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
concealed ^vprf+++xvbnx+=concealed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
approaching ^vbg+++xvbgx+=approaching
from ^in++++=from
the ^ati++++=the
westward ^nn++++=westward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
dreaded ^jj+++xvbn+=dreaded
hill ^npl++++=hill
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
crying ^vbg+++xvbgx+=crying.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
mother ^nn++++=mother
and ^cc++++=and
sister ^npt++++=sister
hurried ^vbd+++xvbn+=hurried
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
meet ^vbi++++=meet
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
alarmed ^jj+++xvbn+=alarmed
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Billy ^np++++=Billy
where ^wrb+who+++=where
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
breathless ^jj++++=breathless,
, ^zz++++=EXTRAWORD
so ^ql++++=so
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
within ^in++++=within
hearing ^xvbg+++xvbg+=hearing.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
little ^ap++++=little
Con ^np++++=Con,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
dark ^jj+atrb+++=dark
brown ^jj+atrb+++=brown
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
away ^rp+pl+++=away
with ^in++++=with
the ^ati++++=the
grand ^jj+atrb+++=grand
ladies ^nns++++=ladies,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
blubbered ^jj+++xvbn+=blubbered
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
ladies ^nns++++=ladies
where ^wrb+who+++=where?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Leum ^np+++??+=Leum,
, ^zz++++=EXTRAWORD
asthora ^nn+++??+=asthora!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
darlin ^nn+++??+=darlin',
', ^nn+++??+=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
gone ^vbd+++xvbn+=gone
away ^rp+pl+++=away
at ^rb++++=at
last ^rb"++++=last?
? ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
ladies ^nns++++=ladies
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
talkin ^nn+++??+=talkin'
' ^zz++++=EXTRAWORD
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
way ^nn++++=way
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried
in ^in++++=in
distraction ^nn+nom+++=distraction.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
like ^in++++=like
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
Lisnavoura ^np+++??+=Lisnavoura."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
wild ^jj+atrb+++=wild
exclamation ^nn+nom+++=exclamation
the ^ati++++=the
distracted ^jj+atrb++xvbn+=distracted
woman ^nn++++=woman
ran ^vbd+++xvbn+=ran
on ^in++++=on
towards ^in++++=towards
the ^ati++++=the
hill ^nn++++=hill
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
clapping ^vbg+++xvbg+=clapping
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crying ^nvbg+++xvbg+=crying
aloud ^rb++++=aloud
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
her ^pp$+pp3+++=her
lost ^vbd+++xvbn+=lost
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Scared ^j+++xvbn+=Scared
and ^cc+phrs+++=and
horrified ^jj+++xvbn+=horrified,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
daring ^vb+++xvbg+=daring
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow,
, ^zz++++=EXTRAWORD
gazed ^j+++xvbn+=gazed
after ^in++++=after
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burst ^vpsv++agls+xvbn+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
raised ^vbd+++xvbn+=raised
high ^np++++=high
their ^pp$+pp3+++=their
lamentations ^nns+nom+++=lamentations
in ^in++++=in
shrill ^jj+atrb+++=shrill
rivalry ^nn++++=rivalry.
. ^zz++++=EXTRAWORD
Twilight ^nn++++=Twilight
was ^vbd+bedz+vrb++=was
deepening ^nn++++=deepening.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
long ^jj++++=long
past ^jjb++++=past
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
usually ^rb+down+splt++=usually
barred ^vpsv++agls+xvbnx+=barred
securely ^rb++++=securely
within ^in++++=within
their ^pp$+pp3+++=their
habitation ^nn+nom+++=habitation.
. ^zz++++=EXTRAWORD
Nell ^np++++=Nell
led ^vbd+++xvbn+=led
the ^ati++++=the
younger ^jjr+atrb+++=younger
children ^nns++++=children
into ^in++++=into
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
sit ^vb++++=sit
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
turf ^nn++++=turf
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
in ^in++++=in
great ^nn++++=great
fear ^vb++++=fear
for ^in++++=for
the ^ati++++=the
return ^nn++++=return
of ^in++++=of
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
see ^vb+vprv+tht0++=see
their ^pp$+pp3+++=their
mother ^nn++++=mother
return ^vb++++=return.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
in ^in++++=in
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
as ^cs+sub+++=as
if ^cs+cnd+++=if
her ^pp$+pp3+++=her
heart ^nn++++=heart
would ^md+prd+++=would
break ^vb++++=break.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
bar ^nn++++=bar
the ^ati++++=the
doore ^nn+++??+=doore,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Nell ^np++++=Nell.
. ^zz++++=EXTRAWORD
" ^zz++++="Ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
lose ^vb++++=lose
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
night ^nn++++=night,
, ^zz++++=EXTRAWORD
without ^in++++=without
lavin ^nn+++??+=lavin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
doore ^nn+++??+=doore
open ^jj++++=open,
, ^zz++++=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
of ^in++++0=o'
yez ^nn+++??+=yez
to ^to++++=to
go ^vbi++++=go;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
first ^od++++=first
take ^vb++++=take
and ^cc++++0=an'
sprinkle ^nn++++=sprinkle
a ^at++++=a
dust ^nn++++=dust
of ^in++++0=o'
the ^ati++++=the
holy ^jj+atrb+++=holy
waters ^nns++++=waters
over ^in++++=over
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
acuishla ^nn+++??+=acuishla,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
it ^pp3+it+++=it
here ^rn+pl+++=here
till ^cs+sub+++=till
