Certainly ^rb++++=CERTAINLY
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished,
, ^zz++++=EXTRAWORD
the ^ati++++=the
porch ^nn++++=porch
and ^cc++++=and
the ^ati++++=the
eastern ^jj+atrb+++=eastern
wing ^nn++++=wing
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
west ^np+pl+++=west
wing ^nn++++=wing;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
there ^rn+pl+++=there
ever ^rb++++=ever
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
grass ^nn++++=grass
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
schoolmaster ^nn+nom+++=schoolmaster
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
perspective ^nn++++=perspective;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
when ^wrb+who+++=when
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ditton ^np++++=Ditton,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
review ^nn++++=review
the ^ati++++=the
case ^nn++++=case;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
western ^jj+atrb+++=western
wing ^nn++++=wing
to ^in++++=to
that ^dt+dem+++=that
strange ^jj+atrb+++=strange
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
The ^ati++++=The
automobile ^nn+++??+=automobile
was ^vbd+bedz+aux++=was
raised ^vpsv++by+xvbnx+=raised
by ^in++++=by
some ^dti++++=some
friendly ^jj+atrb+++=friendly
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
cleansed ^j+++xvbn+=cleansed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taken ^vbd+++xvbn+=taken
up ^rb+phrv+++=up
Great ^jj+atrb+++=Great
Hill ^nn++++=Hill
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
years ^nns++++=years
the ^ati++++=the
good ^jj+atrb+++=good
people ^nns++++=people
of ^in++++=of
Godsdale ^np+++??+=Godsdale
talked ^vbd+++xvbn+=talked
of ^in++++=of
the ^ati++++=the
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marvelled ^vbd+++xvbn+=marvelled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
borrowed ^vbd+++xvbn+=borrowed
the ^ati++++=the
school-master ^nn+nom+++=school-master's
's ^$++++=EXTRAWORD
spy ^nn++++=spy-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^in++++=as
an ^at++++=an
old ^jj+atrb+++=old
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
half ^abn++++=half
forgotten ^jj+++xvbn+=forgotten
at ^in++++=at
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
one ^cd1++++=one
and ^cc++++=and
another ^dt++++=another
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
came ^vbd+++xvbn+=came
to ^to++++=to
claim ^vbi++++=claim
the ^ati++++=the
place ^nn++++=place;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
things ^nns++++=things
filled ^vbd+++xvbn+=filled
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
so ^ql+emph+++=so
chanced ^jj+++xvbn+=chanced
that ^cs+sub+++=that
Mary ^np++++=Mary
Solewise ^np+++??+=Solewise,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
afternoon ^nn++++=afternoon
in ^in++++=in
her ^pp$+pp3+++=her
rambles ^vbz++++=rambles
with ^in++++=with
her ^pp$+pp3+++=her
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
half ^abn++++=half-forgotten
- ^zz++++=EXTRAWORD
forgotten ^vbd+vprv++xvbn+=EXTRAWORD
house ^npl++++=house
and ^cc++++=and,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
across ^in+pl+++=across
the ^ati++++=the
terrace ^nn++++=terrace,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
in ^in++++=in
at ^in++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
endows ^nns+++??+=endows
that ^tht+rel+++=that
at ^rb++++=at
a ^rb++++=a
little ^rb"++++=little
distance ^nn+nom+++=distance
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
stare ^vbi++++=stare
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lover ^nn++++=lover
was ^vbd+bedz+vrb++=was
the ^ati++++=the
young ^jj+atrb+++=young
poet ^nn++++=poet
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
Godsdale ^np+++??+=Godsdale
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
its ^pp$+it+++=its
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
finish ^vb++++=finish
his ^pp$+pp3+++=his
epic ^nn++++=epic
to ^in++++=to
the ^ati++++=the
resonance ^nn+nom+++=resonance
of ^in++++=of
no ^at++++=no
other ^ap++++=other
noise ^nn++++=noise
than ^in++++=than
the ^ati++++=the
tune ^nn++++=tune
in ^in++++=in
his ^pp$+pp3+++=his
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
epic ^nn++++=epic
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
unknown ^jj+pred+++=unknown
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
all ^rb++++=all
know ^vb+vprv+++=know
and ^cc+phrs+++=and
sing ^vb++++=sing
his ^pp$+pp3+++=his
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
pieces ^nns++++=pieces
of ^in++++=of
perfection ^nn+nom+++=perfection.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
said ^vbd+vpub++xvbn+=said
Mary ^np++++=Mary
Solewise ^np+++??+=Solewise
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt+atrb+++=best
poem ^nn++++=poem
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^rb++++=a
little ^rb"++++=little
money ^nn++++=money,
, ^zz++++=EXTRAWORD
some ^dti++++=some
talent ^nn++++=talent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plenty ^nn++++=plenty
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
content ^nn++++=content
till ^cs+sub+++=till
this ^dt+dem+++=this
song ^nn++++=song
of ^in++++=of
Mary ^np++++=Mary
began ^vbd+++xvbn+=began
to ^to++++=to
sing ^vbi++++=sing
in ^in++++=in
his ^pp$+pp3+++=his
heart ^nn++++=heart;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
for ^in++++=for
this ^dt+dem+++=this
life ^nn++++=life
and ^cc++++=and
all ^rb++++=all
life ^nn++++=life
to ^to++++=to
come ^vbi++++=come,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
also ^rb++++=also
that ^cs+sub+++=that
his ^pp$+pp3+++=his
small ^jj+atrb+++=small
income ^nn++++=income
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
trebled ^vpsv++agls+xvbnx+=trebled;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
too ^ql++++=too
narrow ^vb++++=narrow
a ^at++++=a
mantle ^nn++++=mantle
to ^to++++=to
stretch ^vbi++++=stretch
over ^in++++=over
himself ^ppl+pp3+++=himself
and ^cc++++=and
Mary ^np++++=Mary
too ^rb++++=too.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
make ^vb++++=make
the ^ati++++=the
little ^jj+atrb+++=little
money ^nn++++=money
sufficient ^jj++++=sufficient,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
his ^pp$+pp3+++=his
verses ^nns++++=verses
would ^md+prd+++=would
bring ^vb++++=bring
in ^rb+phrv+++=in
something ^pn++++=something
verse ^nn++++=verse
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
more ^ql++++=more
poets ^nns++++=poets
than ^in++++=than
Tennyson ^np+++??+=Tennyson
rich ^jj++++=rich
but ^cc++++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
roof ^nn++++=roof
to ^in++++=to
shelter ^nn++++=shelter
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
his ^pp$+pp3+++=his
happiness ^nns+nom+++=happiness
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wretched ^jj+pred+++=wretched.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
enjoy ^vb++++=enjoy
the ^ati++++=the
sunshine ^nn++++=sunshine
for ^in++++=for
fear ^nn++++=fear
of ^in++++=of
a ^at++++=a
weather ^nn++++=weather-breeder.
- ^zz++++=EXTRAWORD
breeder ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
chose ^vbd+++xvbnx+=chose
to ^to++++=to
submit ^vbi+vpub+++=submit
but ^cs+sub+++=but
that ^cs"++++=that
sacrifice ^nn++++=sacrifice
of ^in++++=of
honor ^nn++++=honor
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
dreamed ^vpsv++agls+xvbnx+=dreamed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
in ^in++++=in
the ^ati++++=the
hope ^vb++++=hope
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
epic ^nn++++=epic
would ^md+prd+++=would
bring ^vb++++=bring
immediate ^jj+atrb+++=immediate
fame ^nn++++=fame
and ^cc++++=and
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
alas ^uh++++=alas,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
life ^nn++++=life
and ^cc++++=and
thought ^nn+++xvbn+=thought
were ^vbd+bed+aux++=were
so ^cs+sub+++=so
taken ^vprf+++xvbn+=taken
up ^rb+phrv+++=up
by ^in++++=by
Mary ^np++++=Mary
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
work ^nn++++=work
on ^in++++=on
the ^ati++++=the
epic ^nn++++=epic
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
off ^rp+pl+++=off
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
terrace ^nn++++=terrace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
house ^npl++++=house,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
flickering ^jj+atrb+++=flickering
afternoon ^nn++++=afternoon
sunshine ^nn++++=sunshine
through ^in++++=through
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
tremble ^vbi++++=tremble.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
felt ^vbd+vprv+tht0+xvbn+=felt
it ^pp3+it+++=it
might ^md+pos+++=might
melt ^vb++++=melt
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
to ^in++++=to
the ^ati++++=the
poet ^nn++++=poet
something ^pn++++=something
really ^rb+emph+++=really
appealing ^vbg+nom++xvbg+=appealing
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
forsaken ^jj+atrb+++=forsaken
place ^nn++++=place
has ^vbz+hvz+vrb++=has
a ^at++++=a
personality ^nn+nom+++=personality,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
asking ^vbg+vsua++xvbgx+=asking
some ^dti++++=some
one ^cd1++++=one
to ^to++++=to
come ^vbi++++=come
and ^cc++++=and
companion ^nn++++=companion
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^to++++=to
save ^vbi++++=save
it ^pp3+it+++=it
from ^in++++=from
itself ^ppl++++=itself
and ^cc++++=and
the ^ati++++=the
doom ^nn++++=doom
of ^in++++=of
forsaken ^jj+atrb+++=forsaken
things ^nns++++=things."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
evidently ^rb+cnj+++=evidently,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
falling ^nvbg+++xvbg+=falling
to ^in++++=to
pieces ^nns++++=pieces:
: ^zz++++=EXTRAWORD
bricks ^nns++++=bricks
had ^vbd+hvd+aux++=had
toppled ^vprf+++xvbnx+=toppled
from ^in++++=from
the ^ati++++=the
chimney ^nn++++=chimney-stacks,
- ^zz++++=EXTRAWORD
stacks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
spiders ^nns+nom+++=spiders
had ^vbd+hvd+aux++=had
spun ^vprf+++xvbnx+=spun
their ^pp$+pp3+++=their
webs ^nns++++=webs
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
might ^md+pos+++=might
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
brother ^nn++++=brother
to ^in++++=to
dragons ^nns++++=dragons
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
halls ^nns++++=halls.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
live ^vbi++++=live
in ^in++++=in
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
thing ^nn++++=thing!
! ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
creepers ^nns+nom+++=creepers
cover ^nn++++=cover
all ^abn++++=all
the ^ati++++=the
main ^jjb+atrb+++=main
part ^nn++++=part
and ^cc++++=and
hold ^vb+vprv+++=hold
it ^pp3+it+++=it
up ^rb+phrv+++=up
with ^in+ppvb+++=with
their ^pp$+pp3+++=their
strong ^jj+atrb+++=strong
ropes ^nns++++=ropes
if ^cs+cnd+++=if
need ^nn++++=need
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
east ^np+pl+++=east
wing ^nn++++=wing
the ^ati++++=the
rooms ^nns++++=rooms
are ^vb+ber+vrb++=are
reasonable ^jj+pred+++=reasonable.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
such ^abl++++=such
a ^at++++=a
knack ^nn++++=knack
with ^in++++=with
carpentry ^nn++++=carpentry
and ^cc++++=and
machines ^nns++++=machines
and ^cc++++=and
things ^nns++++=things,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
turn ^vb++++=turn
that ^tht+rel+++=that
long ^rb++++=long
window ^nn++++=window
into ^in++++=into
a ^at++++=a
door ^nn++++=door,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
bolt ^vb++++=bolt
off ^in+pl+++=off
the ^ati++++=the
main ^jjb+atrb+++=main
part ^nn++++=part
and ^cc++++=and
and ^cc++++=and
there ^ex+pex+++=there
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
God ^np++++=God-given!"
- ^zz++++=EXTRAWORD
given ^vwbn+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lover ^nn++++=lover.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you
not ^xnot++not++=not
be ^vb+be+vrb++=be
afraid ^jj+pred+++=afraid
of ^in++++=of
ghosts ^nns++++=ghosts?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
place ^nn++++=place
to ^to++++=to
be ^vbi+vbi+aux++=be
known ^vpsv++agls+xvbnx+=known
of ^in++++=of
these ^dt+dem+++=these
shadowy ^jj+atrb+++=shadowy
people ^nns++++=people."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
give ^vb++++=give
anything ^pn++++=anything
to ^to++++=to
see ^vbi+vprv+tht0++=see
one ^pn++++=one!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
began ^vbd+++xvbn+=began
to ^to++++=to
shiver ^vbi++++=shiver
as ^cs+sub+++=as
if ^cs+cnd+++=if
fearing ^vbg+vprv++xvbg+=fearing
to ^to++++=to
be ^vbi+vbi+aux++=be
taken ^vpsv++agls+xvbnx+=taken
at ^rb++++=at
her ^pp3o+pp3+++=her
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
down ^rp++++=down
in ^in++++=in
her ^pp$+pp3+++=her
struggles ^vbz++++=struggles
with ^in++++=with
bushes ^nns++++=bushes
and ^cc++++=and
boughs ^nns++++=boughs
and ^cc++++=and
briers ^nn++++=briers
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
up ^rp++++=up;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
braiding ^vbg+++xvbgx+=braiding
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
shining ^jj+atrb++xvbg+=shining
rope ^nn++++=rope
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
grow ^vb++++=grow
and ^cc++++=and
shroud ^nn++++=shroud
you ^pp2+pp2+++=you
in ^in++++=in
gold ^nn++++=gold
in ^in++++=in
your ^pp$+pp2+++=your
grave ^nn++++=grave,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
a ^at++++=a
tress ^nn++++=tress
of ^in++++=of
it ^pp3+it+++=it
across ^in+pl+++=across
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
The ^ati++++=The
color ^nn++++=color
mounted ^vbd+++xvbn+=mounted
in ^in++++=in
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
exquisite ^nn++++=exquisite
as ^ql++++=as
that ^dt+dem+++=that
on ^rp++++=on
a ^at++++=a
rose ^vbd+++xvbn+=rose-petal;
- ^zz++++=EXTRAWORD
petal ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
could ^md+pos+++=could
be ^vb+be+vrb++=be
more ^rbr++++=more
the ^ati++++=the
opposite ^nn++++=opposite
of ^in++++=of
ghostliness ^nns+nom+++=ghostliness
than ^cs+sub+++=than
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
picture ^nn++++=picture
of ^in++++=of
vital ^jj+atrb+++=vital
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
All ^abn++++=All
at ^rb++++=at
once ^rb"+tm+++=once
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
the ^ati++++=the
poet ^nn++++=poet
that ^tht+rel+subj++=that
here ^rn+pl+++=here
was ^vbd+bedz+vrb++=was
a ^at++++=a
way ^nn++++=way
to ^to++++=to
put ^vbi++++=put
fresh ^jj++++=fresh
being ^jj+++xvbg+=being
into ^in++++=into
this ^dt+dem+++=this
dead ^jj+atrb+++=dead
place ^nn++++=place,
, ^zz++++=EXTRAWORD
to ^to++++=to
suspend ^vbi++++=suspend
its ^pp$+it+++=its
decay ^nn++++=decay,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
it ^pp3+it+++=it
gathered ^vbd+++xvbn+=gathered
force ^nn++++=force
and ^cc++++=and
new ^jj++++=new
meaning ^jj+++xvbg+=meaning
and ^cc++++=and
became ^vbd+++xvbn+=became
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
suspected ^jj+atrb++xvbn+=suspected
apparition ^nn+nom+++=apparition
a ^at++++=a
thing ^nn++++=thing
glowing ^vwbg+++xvbg+=glowing
with ^in++++=with
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
way ^nn++++=way
under ^in++++=under
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stepped ^vbd+++xvbnx+=stepped
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
door ^nn++++=door,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
this ^dt+dem+++=this
the ^ati++++=the
living ^jj+++xvbg+=living-room,"
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
wing ^nn++++=wing.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
ample ^jj+pred+++=ample
enough ^dt++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed.
. ^zz++++=EXTRAWORD
" ^zz++++="More
more ^ql++++=EXTRAWORD
than ^cs+sub+++=than
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
