When ^wrb+who+++=WHEN,
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
incredibly ^rb++++=incredibly
beautiful ^jj++++=beautiful
rather ^rb++++=rather
pale ^jj++++=pale
and ^cc++++=and
virginal ^nn+nom+++=virginal
and ^cc++++=and
slim ^jj++++=slim,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
very ^ql+amp+++=very
stately ^jj++++=stately.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
describe ^vb++++=describe
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
perfect ^jj+pred+++=perfect
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
more ^ql++++=more
to ^to++++=to
be ^vbi+vbi+aux++=be
said ^vpsv++agls+xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perfect,"
perfect ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
so ^ql++++=so
were ^vbd+bed+vrb++=were
all ^abn++++=all
the ^ati++++=the
rest ^nn++++=rest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fool!"
fool ^jjb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
answered ^vbd+vpub++xvbn+=answered
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
were ^vbd+bed+aux++=were
just ^rb+emph+splt++=just
damned ^vpsv++agls+xvbnx+=damned
women ^nns++++=women.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
interrupt ^vb++++=interrupt
me ^pp1o+pp1+++=me
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
with ^in++++=with
astonishment ^nn+nom+++=astonishment
at ^rb++++=at
her ^pp3o+pp3+++=her
profile ^nn++++=profile,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
squarely ^rb++++=squarely
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
anything ^pn++++=anything
so ^rb+emph+++=so
lovely ^jj++++=lovely;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
swooned ^vbd+++xvbn+=swooned
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
eyes ^nns++++=eyes
met ^vbd+++xvbn+=met
" ^zz++++="
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
an ^at++++=an
awful ^jj+atrb+++=awful
novelist ^nn+nom+++=novelist's
's ^$++++=EXTRAWORD
expression ^nn++++=expression!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expostulated ^vbd+++xvbnx+=expostulated.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
other ^ap++++=other
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
eyes ^nns++++=eyes
did ^vbd+dod+aux++=did
meet ^vb++++=meet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
both ^abx++++=both
fell ^nn+++xvbn+=fell
simultaneously ^rb+tm+++=simultaneously
in ^in++++=in
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Speak
speak ^vb++++=EXTRAWORD
for ^in++++=for
yourself ^ppl+pp2+++=yourself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
looked ^vbd+++xvbn+=looked
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another
several ^ap++++=several
times ^nns++++=times
during ^in++++=during
that ^cs+sub+++=that
first ^od++++=first
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
second ^od++++=second
act ^nn++++=act
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
act ^nn++++=act,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
accidentally ^rb+cnj+++=accidentally,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knocked ^vbd+++xvbnx+=knocked
my ^pp$+pp1+++=my
programme ^nn++++=programme
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reaching ^vbg+++xvbg+=reaching
down ^rp++++=down
to ^to++++=to
get ^vbi++++=get
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
touched ^vbd+++xvbnx+=touched
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
obviously ^rb+amp+++=obviously
nothing ^pn++++=nothing
else ^rb+cnj+++=else
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
take ^vbi++++=take
hold ^nn++++=hold
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing.
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sat ^vbd+++xvbn+=sat
like ^in++++=like
that ^dt+dem+++=that
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
act ^nn++++=act,
, ^zz++++=EXTRAWORD
rapturously ^jj++++=rapturously
happy ^jj++++=happy
and ^cc++++=and
" ^zz++++="
" ^zz++++="And
and ^cc++++=EXTRAWORD
quietly ^rb++++=quietly
perspiring ^vbg+++xvbg+=perspiring
palm ^np++++=palm
to ^in++++=to
palm ^np++++=palm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
can ^md+pos+++=can
pass ^vb++++=pass
over ^rb+phrv+++=over
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Proceed ^vb++++=Proceed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
in ^in++++=in
the ^ati++++=the
least ^ql++++=least;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
held ^vprf+++xvbnx+=held
a ^at++++=a
goddess ^nns+nom+++=goddess's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
lights ^nns++++=lights
went ^vbd+++xvbn+=went
up ^rp++++=up
again ^rb+tm+++=again
I ^pp1a+pp1+++=I
reluctantly ^rb++++=reluctantly
dropped ^vbd+++xvbn+=dropped
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
liking ^vbg+++xvbg+=liking
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
profane ^jj+atrb+++=profane
crowd ^nn++++=crowd
seeing ^vwbg+++xvbg+=seeing
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
want ^in"++++=want
of ^in"++++=of
anything ^pn++++=anything
better ^jjr++++=better
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
actually ^rb+amp+++=actually
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
curious ^jj+atrb+++=curious
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
wondering ^vbg+++xvbgx+=wondering
what ^wdt+who+++=what
god ^nn++++=god
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
incredible ^jj++++=incredible:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
god ^nn++++=god,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
some ^dti++++=some
chocolates ^nns+nom+++=chocolates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
third ^od++++=third
act ^vb+vpub+++=act
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
being ^vbg+beg++xvbg+=being
a ^at++++=a
melodrama ^nn++++=melodrama,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
of ^in+emph+++=of
course ^nn+emph"+++=course
in ^in++++=in
the ^ati++++=the
third ^od++++=third
act ^vb+vpub+++=act
a ^at++++=a
murder ^nn++++=murder
and ^cc++++=and
burglary ^nn+nom+++=burglary
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
all ^rb++++=all
the ^ati++++=the
lights ^nns++++=lights
were ^vbd+bed+aux++=were
turned ^vpsv++agls+xvbnx+=turned
out ^rb+phrv+++=out.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
thrilling ^jj+atrb+++=thrilling
moment ^nn++++=moment
of ^in++++=of
total ^jj+atrb+++=total
blackness ^nns+nom+++=blackness
I ^pp1a+pp1+++=I
suddenly ^rb++++=suddenly
felt ^vbd+vprv+tht0+xvbn+=felt
her ^pp$+pp3+++=her
kiss ^vb++++=kiss
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
cheek ^nn++++=cheek."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
virginal ^jj+pred+++=virginal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
absolutely ^rb+cnj+++=absolutely,
, ^zz++++=EXTRAWORD
frozenly ^jj++++=frozenly
virginal ^jj++++=virginal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
burning ^xvbg+++xvbg+=burning
ice ^nn++++=ice,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
virginally ^rb++++=virginally
passionate ^jj+pred+++=passionate
just ^rb+emph+++=just
the ^ati++++=the
combination ^nn+nom+++=combination
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
in ^in++++=in
a ^at++++=a
goddess ^nns+nom+++=goddess.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
admit ^vb+vpub+tht0++=admit
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
startled ^vpsv++agls+xvbnx+=startled
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
kissed ^vbd+++xvbnx+=kissed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
infinite ^jj+atrb+++=infinite
presence ^nn+nom+++=presence
of ^in++++=of
mind ^nn++++=mind
I ^pp1a+pp1+++=I
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
murder ^nn++++=murder
was ^vbd+bedz+aux++=was
finished ^vpsv++agls+xvbnx+=finished
and ^cc++++=and
the ^ati++++=the
lights ^nns++++=lights
went ^vbd+++xvbn+=went
on ^in++++=on
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
much ^ap++++=much
more ^rbr++++=more
happened ^vbd+++xvbn+=happened
till ^cs+sub+++=till
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
show ^nn++++=show,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
helped ^vbd+++xvbnx+=helped
her ^pp$+pp3+++=her
on ^rp++++=on
with ^in++++=with
her ^pp$+pp3+++=her
coat ^nn++++=coat
and ^cc++++=and
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
the ^ati++++=the
most ^ql+emph+++=most
obvious ^jj+atrb+++=obvious
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vpsv++agls+xvbn+=got
into ^in+ppvb+++=into
a ^at++++=a
taxi ^nn++++=taxi.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
drive ^vbi++++=drive
somewhere ^rb++++=somewhere
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
could ^md+pos+++=could
get ^vb++++=get
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
without ^in++++=without
embracements ^nns+nom+++=embracements
by ^in++++=by
the ^ati++++=the
way ^nn++++=way?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
without ^in++++=without
certain ^jj+atrb+++=certain
embracements ^nns+nom+++=embracements."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Always
always ^rb++++=EXTRAWORD
passionately ^rb++++=passionately
virginal ^jj++++=virginal?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Always
always ^rb++++=EXTRAWORD
virginally ^rb++++=virginally
passionate ^jj++++=passionate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Proceed."
proceed ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
supper ^nn++++=supper
a ^at++++=a
positively ^rb++++=positively
Olympian ^np+++??+=Olympian
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
nectar ^nn+++??+=nectar
and ^cc++++=and
ambrosia ^nn+++??+=ambrosia
and ^cc++++=and
stolen ^jj+atrb++xvbn+=stolen
hand ^nn++++=hand-pressures.
- ^zz++++=EXTRAWORD
pressures ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
became ^vbd+++xvbnx+=became
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
wonderful ^jj++++=wonderful
every ^at++++=every
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
God ^nn++++=God,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
eyes ^nns++++=eyes!
! ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
soul ^nn++++=soul
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
burn ^vbi++++=burn
in ^in++++=in
their ^pp$+pp3+++=their
depths ^nns++++=depths,
, ^zz++++=EXTRAWORD
like ^in++++=like
fire ^nn++++=fire
under ^in++++=under
the ^ati++++=the
sea ^nn++++=sea
" ^zz++++="
" ^zz++++="For
for ^in++++=EXTRAWORD
narrative ^nn++++=narrative,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
interrupted ^vbd+++xvbnx+=interrupted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
epic ^nn++++=epic
or ^cc++++=or
heroic ^jj+atrb+++=heroic
style ^nn++++=style
is ^vbz+bez+vrb++=is
altogether ^nn+nom+++=altogether
more ^rbr++++=more
suitable ^jj++++=suitable
than ^in++++=than
the ^ati++++=the
lyrical ^nn++++=lyrical."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
that ^dt+dem+++=that
my ^pp$+pp1+++=my
memory ^nn++++=memory
becomes ^vbz++++=becomes
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
burning ^xvbg+++xvbg+=burning
mist ^nn++++=mist."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
make ^vb++++=make
haste ^nn++++=haste
to ^to++++=to
draw ^vbi++++=draw
the ^ati++++=the
inevitable ^jj+atrb+++=inevitable
veil ^nn++++=veil.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
her ^pp$+pp3+++=her
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
confessed ^vbd+vpub++xvbn+=confessed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
matter ^vbi++++=matter
what ^wdt+who+++=what
her ^pp$+pp3+++=her
earthly ^jj+atrb+++=earthly
name ^nn++++=name
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
find ^vbi+vprv+tht0++=find
her ^pp$+pp3+++=her
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
thought ^nn+++xvbn+=thought
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
knew ^vbd+vprv+tht0+xvbn+=knew
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
turn ^nn++++=turn
up ^rp++++=up
somehow ^rb++++=somehow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^nn++++=fool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vprf+++xvbn+=asked
which ^wdt+who+whcl++=which
particular ^jj+atrb+++=particular
goddess ^nns+nom+++=goddess
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
and ^cc++++=and
which ^whp+rel+obj++=which
particular ^jj+atrb+++=particular
god ^np++++=god
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
discussed ^vbd+++xvbn+=discussed
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
first ^od++++=first
thought ^vprf+++xvbn+=thought
Ares ^np+++??+=Ares
and ^cc++++=and
Aphrodite ^np+++??+=Aphrodite;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
my ^pp$+pp1+++=my
idea ^nn++++=idea
of ^in++++=of
Aphrodite ^np+++??+=Aphrodite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
very ^ql+amp+++=very
much ^ap++++=much
like ^in++++=like
Ares ^np+++??+=Ares."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
pensively ^jj++++=pensively
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
Venetian ^np+++??+=Venetian
mirror ^nn++++=mirror
which ^whp+rel+subj++=which
hung ^vbd+++xvbn+=hung
over ^in++++=over
the ^ati++++=the
fireplace ^nn++++=fireplace.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
complacent ^jj+atrb+++=complacent
look ^nn++++=look,
, ^zz++++=EXTRAWORD
for ^in++++=for
Lykeham ^np+++??+=Lykeham
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
vain ^jj+pred+++=vain
about ^in++++=about
his ^pp$+pp3+++=his
personal ^jj+atrb+++=personal
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
repulsive ^jj++++=repulsive
at ^rb++++=at
first ^rb"++++=first
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
a ^at++++=a
certain ^jj++++=certain
strange ^jj++++=strange
and ^cc+phrs+++=and
fascinating ^jj+atrb+++=fascinating
ugly ^jj+atrb+++=ugly
