Perhaps ^rb++++=PERHAPS
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
buried ^xvbn+++xvbn+=buried
Troy ^np+++??+=Troy
three ^cd++++=three
times ^nns++++=times
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
fragments ^nns+nom+++=fragments
of ^in++++=of
pots ^nns++++=pots
utterly ^rb+amp+++=utterly
refusing ^vbg+++xvbg+=refusing
annihilation ^nn+nom+++=annihilation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
can ^md+pos+++=can
believe ^vb+vprv+++=believe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
outside ^jjb++++=outside
the ^ati++++=the
window ^nn++++=window
taps ^vbz++++=taps
very ^ql+amp+++=very
gently ^rb++++=gently
on ^in++++=on
the ^ati++++=the
pane.. ^nn+++??+=pane....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
calmly ^rb+cnj+++=calmly,
, ^zz++++=EXTRAWORD
spaciously ^jj++++=spaciously,
, ^zz++++=EXTRAWORD
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
interrupted ^vpsv++agls+xvbnx+=interrupted,
, ^zz++++=EXTRAWORD
never ^rb++++=never
to ^in++++=to
have ^vbi++pmd"++=have
to ^md+nec+++=to
rise ^vb++++=rise
from ^in++++=from
my ^pp$+pp1+++=my
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
to ^to++++=to
slip ^vbi++++=slip
easily ^rb++++=easily
from ^in++++=from
one ^cd1++++=one
thing ^nn++++=thing
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
sense ^nn++++=sense
of ^in++++=of
hostility ^nn+nom+++=hostility,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
obstacle ^nn++++=obstacle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
sink ^vbi++++=sink
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
deeper ^jjr++++=deeper,
, ^zz++++=EXTRAWORD
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
hard ^jj++++=hard
separate ^nn+nom+++=separate
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
To ^in++++=To
steady ^jj++++=steady
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
catch ^vb++++=catch
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
first ^od++++=first
idea ^nn++++=idea
that ^tht+ncmp+++=that
passes.. ^nn+++??+=passes....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Shakespeare.. ^np+++??+=Shakespeare....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
do ^vb+do+vrb++=do
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
another ^dt++++=another.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
himself ^ppl+pp3+++=himself
solidly ^rb++++=solidly
in ^in++++=in
an ^at++++=an
arm ^nn++++=arm-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
into ^in+ppvb+++=into
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
soa ^nn+++??+=soA
shower ^nn++++=shower
of ^in++++=of
ideas ^nns++++=ideas
fell ^vbd+++xvbn+=fell
perpetually ^rb++++=perpetually
from ^in++++=from
some ^dti++++=some
very ^ql+amp+++=very
high ^np++++=high
Heaven ^nn++++=Heaven
down ^rp++++=down
through ^in++++=through
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leant ^vbd+++xvbnx+=leant
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
on ^in++++=on
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
in ^in++++=in
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
door,for ^nn++++=door,for
this ^dt+dem+++=this
scene ^nn++++=scene
is ^vbz+bez+aux++=is
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
take ^vb++++=take
place ^nn++++=place
on ^in++++=on
a ^at++++=a
summer ^nn++++=summer's
's ^$++++=EXTRAWORD
eveningbut ^nn+++??+=eveningBut
how ^wrb+who+++=how
dull ^jj++++=dull
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
historical ^jj+atrb+++=historical
fiction ^nn+nom+++=fiction!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
interest ^nn++++=interest
me ^pp1o+pp1+++=me
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hit ^vbd+++xvbn+=hit
upon ^in++++=upon
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
track ^nn++++=track
of ^in++++=of
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
a ^at++++=a
track ^nn++++=track
indirectly ^rb++++=indirectly
reflecting ^vbg+vprv++xvbg+=reflecting
credit ^nn++++=credit
upon ^in++++=upon
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
for ^in++++=for
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
the ^ati++++=the
pleasantest ^jjt+atrb+++=pleasantest
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
frequent ^jj++++=frequent
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
modest ^jj+atrb+++=modest
mouse ^nn++++=mouse-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
believe ^vb+vprv+++=believe
genuinely ^rb++++=genuinely
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
dislike ^vb++++=dislike
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
their ^pp$+pp3+++=their
own ^ap++++=own
praises ^nns++++=praises.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
not ^xnot++not++=not
thoughts ^nns++++=thoughts
directly ^rb++++=directly
praising ^nvbg+++xvbg+=praising
oneself ^ppl++++=oneself;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
thoughts ^nns++++=thoughts
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
botany ^nn++++=botany.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
how ^wrb+who+whcl++=how
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
seen ^vprf+++xvbnx+=seen
a ^at++++=a
flower ^nn++++=flower
growing ^vwbg+++xvbg+=growing
on ^in++++=on
a ^at++++=a
dust ^nn++++=dust
heap ^nn++++=heap
on ^in++++=on
the ^ati++++=the
site ^nn++++=site
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
house ^nn++++=house
in ^in++++=in
Kingsway ^np++++=Kingsway.
. ^zz++++=EXTRAWORD
The ^ati++++=The
seed ^nn++++=seed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
sown ^vpsv++agls+xvbnx+=sown
in ^in++++=in
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
Charles ^np++++=Charles
the ^ati++++=the
First ^rb++++=First.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
flowers ^nns+nom+++=flowers
grew ^vbd+++xvbn+=grew
in ^in++++=in
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
Charles ^np++++=Charles
the ^ati++++=the
First ^rb++++=First?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked(but ^nn+++??+=asked(but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
the ^ati++++=the
answer ^nn++++=answer).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tall ^jj+atrb+++=Tall
flowers ^nns+nom+++=flowers
with ^in++++=with
purple ^jj+atrb+++=purple
tassels ^nns+++??+=tassels
to ^in++++=to
them ^pp3o+pp3+++=them
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
goes ^vbz++++=goes
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
dressing ^vbg+++xvbgx+=dressing
up ^rp++++=up
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
myself ^ppl+pp1+++=myself
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
lovingly ^rb+cnj+++=lovingly,
, ^zz++++=EXTRAWORD
stealthily ^rb+cnj+++=stealthily,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
openly ^rb++++=openly
adoring ^jj++++=adoring
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
catch ^vb++++=catch
myself ^ppl+pp1+++=myself
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretch ^nn++++=stretch
my ^pp$+pp1+++=my
hand ^nn++++=hand
at ^rb++++=at
once ^rb"+tm+++=once
for ^in++++=for
a ^at++++=a
book ^nn++++=book
in ^in++++=in
self ^nn++++=self-protection.
- ^zz++++=EXTRAWORD
protection ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
curious ^jj+pred+++=curious
how ^wrb+who+++=how
instinctively ^rb++++=instinctively
one ^cd1++++=one
protects ^vbz++++=protects
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
oneself ^ppl++++=oneself
from ^in++++=from
idolatry ^nn++++=idolatry
or ^cc++++=or
any ^dti++++=any
other ^ap++++=other
handling ^jj+++xvbg+=handling
that ^dt+pdem+++=that
could ^md+pos+++=could
make ^vb++++=make
it ^pp3+it+++=it
ridiculous ^jj++++=ridiculous,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
too ^rb++++=too
unlike ^in++++=unlike
the ^ati++++=the
original ^jj++++=original
to ^to++++=to
be ^vbi+vbi+aux++=be
believed ^vpsv++agls+xvbnx+=believed
in ^in++++=in
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
not ^xnot++not++=not
so ^ql++++=so
very ^ql+amp+++=very
curious ^jj++++=curious
after ^in++++=after
all ^abn++++=all?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
great ^jj+atrb+++=great
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+++=Suppose
the ^ati++++=the
looking ^jj+atrb++xvbg+=looking
glass ^nn++++=glass
smashes ^nns+++??+=smashes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
image ^nn++++=image
disappears ^vbz+seem+++=disappears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
romantic ^jj+atrb+++=romantic
figure ^nn++++=figure
with ^in++++=with
the ^ati++++=the
green ^nn++++=green
of ^in++++=of
forest ^nn++++=forest
depths ^nns++++=depths
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
no ^at++++=no
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
that ^dt+dem+++=that
shell ^nn++++=shell
of ^in++++=of
a ^at++++=a
person ^nn++++=person
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
other ^ap++++=other
peoplewhat ^nn+++??+=peoplewhat
an ^at++++=an
airless ^jj++++=airless,
, ^zz++++=EXTRAWORD
shallow ^jj++++=shallow,
, ^zz++++=EXTRAWORD
bald ^jj+atrb+++=bald,
, ^zz++++=EXTRAWORD
prominent ^jj+atrb+++=prominent
world ^nn++++=world
it ^pp3+it+++=it
becomes ^vbz++++=becomes!
! ^zz++++=EXTRAWORD
A ^at++++=A
world ^nn++++=world
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
lived ^vpsv++agls+xvbnx+=lived
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
face ^nn++++=face
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
omnibuses ^nns+++??+=omnibuses
and ^cc++++=and
underground ^jjb+atrb+++=underground
railways ^nns++++=railways
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
into ^in+ppvb+++=into
the ^ati++++=the
mirror ^nn++++=mirror;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
accounts ^nns++++=accounts
for ^in++++=for
the ^ati++++=the
vagueness ^nns+nom+++=vagueness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gleam ^nn++++=gleam
of ^in++++=of
glassiness ^nns+nom+++=glassiness,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
novelists ^nns+nom+++=novelists
in ^in++++=in
future ^nn++++=future
will ^md+prd+++=will
realize ^vb+vprv+++=realize
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
these ^dt+dem+++=these
reflections ^nns+nom+++=reflections,
, ^zz++++=EXTRAWORD
for ^in++++=for
of ^in+emph+++=of
course ^nn+emph"+++=course
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
one ^cd1++++=one
reflection ^nn+nom+++=reflection
but ^cc++++=but
an ^at++++=an
almost ^rb+hdg+++=almost
infinite ^jj+atrb+++=infinite
number ^nn++++=number;
; ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
the ^ati++++=the
depths ^nns++++=depths
they ^pp3a+pp3+++=they
will ^md+prd+++=will
explore ^vb++++=explore,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
the ^ati++++=the
phantoms ^nns++++=phantoms
they ^pp3a+pp3+++=they
will ^md+prd+++=will
pursue ^vb++++=pursue,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
description ^nn+nom+++=description
of ^in++++=of
reality ^nn+nom+++=reality
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
it ^pp3+it+++=it
for ^in++++=for
granted ^vbd+vsua++xvbn+=granted,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Greeks ^nn++++=Greeks
did ^vbd+dod+vrb++=did
and ^cc++++=and
Shakespeare ^np++++=Shakespeare
perhapsbut ^nn+++??+=perhapsbut
these ^dt+dem+++=these
generalizations ^nns+nom+++=generalizations
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
worthless ^jj++++=worthless.
. ^zz++++=EXTRAWORD
The ^ati++++=The
military ^jj+atrb+++=military
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
word ^nn++++=word
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
recalls ^vbz++++=recalls
leading ^jj+atrb++xvbg+=leading
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
cabinet ^nn++++=cabinet
ministersa ^nn+++??+=ministersa
whole ^jj+atrb+++=whole
class ^nn++++=class
of ^in++++=of
things ^nns++++=things
indeed ^qlp++++=indeed
which ^whp+who+++=which
as ^in++++=as
a ^at++++=a
child ^nn++++=child
one ^cd1++++=one
thought ^nn+++xvbn+=thought
the ^ati++++=the
thing ^nn++++=thing
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
standard ^jj+atrb+++=standard
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
real ^jj+atrb+++=real
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
one ^cd1++++=one
could ^md+pos+++=could
not ^xnot++not++=not
depart ^vb++++=depart
save ^vb++++=save
at ^rb++++=at
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
nameless ^jj+atrb+++=nameless
damnation ^nn+nom+++=damnation.
. ^zz++++=EXTRAWORD
Generalizations ^nns+nom+++=Generalizations
bring ^vb++++=bring
back ^rb+phrv+++=back
somehow ^rb++++=somehow
Sunday ^nr++++=Sunday
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
afternoon ^nn++++=afternoon
walks ^nns++++=walks,
, ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
luncheons ^nns+++??+=luncheons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
ways ^nns++++=ways
of ^in++++=of
speaking ^xvbg+++xvbg+=speaking
of ^in++++=of
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
habitslike ^jj++++=habitslike
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
sitting ^xvbg+++xvbg+=sitting
all ^abn++++=all
together ^nn+nom+++=together
in ^in++++=in
one ^cd1++++=one
room ^nn++++=room
until ^in++++=until
a ^at++++=a
certain ^jj+atrb+++=certain
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
nobody ^pn++++=nobody
liked ^vbd+++xvbn+=liked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
rule ^nn++++=rule
for ^in++++=for
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rule ^nn++++=rule
for ^in++++=for
tablecloths ^nns++++=tablecloths
at ^rb++++=at
that ^dt+dem+++=that
particular ^jj+atrb+++=particular
period ^nn++++=period
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
tapestry ^nn++++=tapestry
with ^in++++=with
little ^ap++++=little
yellow ^jj+atrb+++=yellow
compartments ^nns+nom+++=compartments
marked ^vbd+++xvbn+=marked
upon ^in++++=upon
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
you ^pp2+pp2+++=you
may ^md+pos+++=may
see ^vb+vprv+++=see
in ^in++++=in
photographs ^nns++++=photographs
of ^in++++=of
the ^ati++++=the
carpets ^nns++++=carpets
in ^in++++=in
the ^ati++++=the
corridors ^nns++++=corridors
of ^in++++=of
the ^ati++++=the
royal ^jj+atrb+++=royal
palaces ^nns++++=palaces.
. ^zz++++=EXTRAWORD
Tablecloths ^nns++++=Tablecloths
of ^in++++=of
a ^at++++=a
different ^jj+atrb+++=different
kind ^nn++++=kind
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
real ^jj+atrb+++=real
tablecloths ^nns++++=tablecloths.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
shocking ^jj+++xvbg+=shocking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
how ^wrb+who+++=how
wonderful ^jj++++=wonderful
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
these ^dt+dem+++=these
real ^jj+atrb+++=real
things ^nns++++=things,
, ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
luncheons ^nns+++??+=luncheons,
, ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
walks ^nns++++=walks,
, ^zz++++=EXTRAWORD
country ^nn++++=country
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tablecloths ^nns++++=tablecloths
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
entirely ^rb+amp+++=entirely
real ^jj++++=real,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
indeed ^qlp++++=indeed
half ^abn++++=half
phantoms ^nns++++=phantoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
damnation ^nn+nom+++=damnation
which ^whp+rel+subj++=which
visited ^vbd+++xvbn+=visited
the ^ati++++=the
disbeliever ^nn++++=disbeliever
in ^in++++=in
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
illegitimate ^jj+atrb+++=illegitimate
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
now ^rn+tm+++=now
takes ^vbz++++=takes
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
those ^dt+dem+++=those
things ^nns++++=things
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
real ^jj+atrb+++=real
standard ^nn++++=standard
things ^nns++++=things?
? ^zz++++=EXTRAWORD
Men ^nns++++=Men
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be
a ^at++++=a
woman ^nn++++=woman;
; ^zz++++=EXTRAWORD
the ^ati++++=the
masculine ^jj+atrb+++=masculine
point ^nn++++=point
of ^in++++=of
view ^nn++++=view
which ^whp+rel+subj++=which
governs ^vbz++++=governs
our ^pp$+pp1+++=our
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sets ^vbz++++=sets
the ^ati++++=the
standard ^nn++++=standard,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
establishes ^vbz+vprv+++=establishes
Whitaker ^np+nom+++=Whitaker's
's ^$++++=EXTRAWORD
Table ^nn++++=Table
of ^in++++=of
Precedency ^np+++??+=Precedency,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
war ^nn++++=war
half ^nn++++=half
a ^at++++=a
phantom ^nn++++=phantom
to ^in++++=to
many ^ap++++=many
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
may ^md+pos+++=may
hope ^vb++++=hope,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
laughed ^vpsv++agls+xvbnx+=laughed
into ^in++++=into
the ^ati++++=the
dustbin ^nn++++=dustbin
where ^wrb+who+++=where
the ^ati++++=the
phantoms ^nns++++=phantoms
go ^vb++++=go,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mahogany ^nn++++=mahogany
sideboards ^nns++++=sideboards
and ^cc++++=and
the ^ati++++=the
Landseer ^np+nom++??+=Landseer
prints ^nns++++=prints,
, ^zz++++=EXTRAWORD
Gods ^nns++++=Gods
and ^cc++++=and
Devils ^nns++++=Devils,
, ^zz++++=EXTRAWORD
Hell ^nn++++=Hell
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth,
, ^zz++++=EXTRAWORD
leaving ^jj+++xvbg+=leaving
us ^pp1o+pp1+++=us
all ^rb++++=all
with ^in++++=with
an ^at++++=an
intoxicating ^jj+atrb+++=intoxicating
sense ^nn++++=sense
of ^in++++=of
illegitimate ^jj+atrb+++=illegitimate
freedomif ^nn+++??+=freedomif
freedom ^nn+nom+++=freedom
exists.. ^nn+++??+=exists....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
certain ^jj+atrb+++=certain
lights ^nns++++=lights
that ^tht+rel+subj++=that
mark ^vb++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
seems ^vbz+seem+++=seems
actually ^rb+amp+++=actually
to ^in++++=to
project ^nn++++=project
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
entirely ^rb+amp+++=entirely
circular ^jj++++=circular.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
