Blood ^nn++++=Blood
much ^ap++++=much
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grown ^vbd+++xvbn+=grown
wise ^jj++++=wise,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
me ^pp1o+pp1+++=me
of ^in++++=of
his ^pp$+pp3+++=his
wisdom ^nn++++=wisdom.
. ^zz++++=EXTRAWORD
" ^zz++++="'It
' ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
be ^vb+be+vrb++=be
good ^jj+pred+++=good
to ^to+jcmp+++=to
fight ^vbi++++=fight,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Palitlum ^np+++??+=Palitlum,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
unknown ^jj+pred+++=unknown
as ^ql++++=as
Palitlum ^np+++??+=Palitlum
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
called ^xvbn+++xvbn+=called
Olo ^np+++??+=Olo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ever ^rb++++=Ever-Hungry.
- ^zz++++=EXTRAWORD
hungry ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
drink ^nn++++=drink
was ^vbd+bedz+aux++=was
to ^to++++=to
come ^vbi++++=come
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
be ^vb+be+vrb++=be
good ^jj+pred+++=good
to ^to+jcmp+++=to
fight ^vbi++++=fight,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
spoke ^vbd+++xvbn+=spoke
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be
foolish ^jj+pred+++=foolish.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Boston ^np++++=Boston
Man ^nn++++=Man
Country ^nn++++=Country,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
with ^in++++=with
mine ^nn++++=mine
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
not ^xnot++not++=not
given ^vbd+++xvbn+=given
to ^to++++=to
fighting ^vbg+++xvbg+=fighting
one ^pn++++=one
with ^in++++=with
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
be ^vb+be+vrb++=be
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
Wherefore ^np+++??+=Wherefore,
, ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
come ^vb++++=come
against ^in++++=against
us ^pp1o+pp1+++=us
of ^in++++=of
the ^ati++++=the
Islands ^nns++++=Islands
and ^cc++++=and
Passes ^nns++++=Passes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
as ^ql++++=as
camp ^np++++=camp
smoke ^nn++++=smoke
and ^cc++++=and
sea ^nn++++=sea
mist ^nn++++=mist
before ^in++++=before
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Wherefore ^np+++??+=Wherefore
I ^pp1a+pp1+++=I
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
be ^vb+be+vrb++=be
good ^jj+pred+++=good
to ^to+jcmp+++=to
fight ^vbi++++=fight,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
good ^jj++++=good,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
be ^vb+be+vrb++=be
likewise ^rb+cnj+++=likewise
foolish ^jj+pred+++=foolish.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
because ^cs+cos+++=because
of ^in"++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
first ^od++++=first
always ^rb++++=always
of ^in++++=of
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
men ^nns++++=men,
, ^zz++++=EXTRAWORD
Ligoun ^np++++=Ligoun's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
loudest ^jjt+pred+++=loudest,
, ^zz++++=EXTRAWORD
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
for ^in++++=for
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
old ^jj++++=old,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
greatest ^jjt++++=greatest
of ^in++++=of
chiefs ^nns++++=chiefs
and ^cc++++=and
richest ^jjt++++=richest
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
potlatch ^nn+++??+=potlatch.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
such ^abl++++=such
a ^at++++=a
potlatch ^nn+++??+=potlatch.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
hundred ^cd++++=hundred
canoes ^nns++++=canoes
were ^vbd+bed+aux++=were
lined ^vpsv++agls+xvbnx+=lined
against ^in++++=against
the ^ati++++=the
river ^nn++++=river
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
each ^dt++++=each
canoe ^nn+++??+=canoe
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
not ^xnot++not++=not
less ^rbr++++=less
than ^in++++=than
ten ^cd++++=ten
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
tribes ^nns++++=tribes
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
oldest ^jjt+atrb+++=oldest
man ^nn++++=man
to ^in++++=to
the ^ati++++=the
last ^ap++++=last
and ^cc++++=and
youngest ^jjt+atrb+++=youngest
babe ^nn++++=babe
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
men ^nns++++=men
from ^in++++=from
far ^rb+pl+++=far-distant
- ^zz++++=EXTRAWORD
distant ^jj+atrb+++=EXTRAWORD
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
travellers ^nns+nom+++=travellers
and ^cc++++=and
seekers ^nns+nom+++=seekers
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
potlatch ^nn+++??+=potlatch
of ^in++++=of
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
for ^in++++=for
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
seven ^cd++++=seven
days ^nns++++=days
they ^pp3a+pp3+++=they
filled ^vbd+++xvbnx+=filled
their ^pp$+pp3+++=their
bellies ^nns++++=bellies
with ^in++++=with
his ^pp$+pp3+++=his
meat ^nn++++=meat
and ^cc++++=and
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
thousand ^cd++++=thousand
blankets ^nns++++=blankets
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
give ^vb++++=give
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
well ^rb++++=well
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
for ^in++++=for
who ^whp+rel+pied++=who
but ^cc++++=but
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
tally ^nn++++=tally
and ^cc++++=and
apportioned ^vpsv++agls+xvbn+=apportioned
according ^in+cmpx+++=according
to ^in++++=to
degree ^nn++++=degree
and ^cc++++=and
rank ^nn++++=rank?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
Ligoun ^np+++??+=Ligoun
was ^vbd+bedz+vrb++=was
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
on ^in++++=on
all ^abn++++=all
men ^nns++++=men's
's ^$++++=EXTRAWORD
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
chiefs ^nns++++=chiefs
gritted ^vbd+++xvbn+=gritted
their ^pp$+pp3+++=their
teeth ^nns++++=teeth
in ^in++++=in
envy ^nn++++=envy
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+vrb++=be
so ^ql++++=so
great ^np++++=great.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
weight ^nn++++=weight
to ^in++++=to
his ^pp$+pp3+++=his
words ^nns++++=words,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
counselled ^vbd+++xvbnx+=counselled
peace ^nn++++=peace;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
journeyed ^vbd+++xvbnx+=journeyed
to ^in++++=to
every ^at++++=every
potlatch ^nn+++??+=potlatch
and ^cc++++=and
feast ^nn++++=feast
and ^cc++++=and
tribal ^jj++++=tribal
gathering ^vb+++xvbg+=gathering
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
counsel ^vb++++=counsel
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
journeyed ^vbd+++xvbn+=journeyed
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
Ligoun ^np+++??+=Ligoun
and ^cc++++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
feast ^nn++++=feast
given ^vwbn+++xvbn+=given
by ^in++++=by
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
chief ^jjb+pred+++=chief
over ^in++++=over
the ^ati++++=the
river ^nn++++=river
Indians ^nn++++=Indians
of ^in++++=of
the ^ati++++=the
Skoot ^np+++??+=Skoot,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
Stickeen ^np+++??+=Stickeen.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ligoun ^np+++??+=Ligoun
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
old ^jj++++=old
and ^cc++++=and
very ^ql+amp+++=very
close ^in+cmpx+++=close
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
coughed ^vbd+++xvbnx+=coughed
of ^in++++=of
cold ^jj+atrb+++=cold
weather ^nn++++=weather
and ^cc++++=and
camp ^nn++++=camp
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
the ^ati++++=the
red ^jj+atrb+++=red
blood ^nn++++=blood
ran ^vbd+++xvbn+=ran
from ^in++++=from
out ^rp+pl+++=out
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
looked ^vbd+++xvbn+=looked
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
" ^zz++++="'Nay,'
' ^zz++++=EXTRAWORD
nay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
once ^rb+tm+++=once
at ^rb++++=at
such ^abl++++=such
time ^nn++++=time;
; ^zz++++=EXTRAWORD
' ^zz++++='it
it ^pp3+it+++=EXTRAWORD
were ^vbd+bed+vrb++=were
better ^jjr+pred+++=better
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
die ^vb++++=die
when ^wrb+who+++=when
the ^ati++++=the
blood ^nn++++=blood
leaps ^nns++++=leaps
to ^in++++=to
the ^ati++++=the
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
clash ^nn++++=clash
of ^in++++=of
steel ^nn++++=steel
and ^cc++++=and
smell ^nn++++=smell
of ^in++++=of
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
crying ^vwbg+++xvbg+=crying
aloud ^rb++++=aloud
what ^wdt+who+++=what
of ^in++++=of
the ^ati++++=the
cold ^jj+atrb+++=cold
iron ^nn++++=iron
and ^cc++++=and
quick ^jj+atrb+++=quick
lead ^nn++++=lead.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
yet ^rb++++=yet
strong ^jj+pred+++=strong
for ^in++++=for
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
Chilcat ^np+++??+=Chilcat
to ^in++++=to
the ^ati++++=the
Skoot ^np+++??+=Skoot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
many ^ap++++=many
days ^nns++++=days
in ^in++++=in
the ^ati++++=the
canoes ^nns++++=canoes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
while ^cs+sub+++=while
the ^ati++++=the
men ^nns++++=men
bent ^vbd+++xvbn+=bent
to ^in++++=to
the ^ati++++=the
paddles ^nns++++=paddles,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
Ligoun ^np+++??+=Ligoun
and ^cc++++=and
received ^vbd+++xvbn+=received
the ^ati++++=the
Law ^nn++++=Law.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
small ^jj+atrb+++=small
need ^nn++++=need
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
be ^vb+be+aux++=be
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
in ^in++++=in
this ^dt+dem+++=this
thou ^pp2+pp2+++=thou
art ^nn++++=art
well ^rb++++=well
skilled ^jj++++=skilled.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
speak ^vb++++=speak
of ^in++++=of
the ^ati++++=the
Law ^nn++++=Law
of ^in++++=of
blood ^nn++++=blood
for ^in++++=for
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rank ^nn++++=rank
for ^in++++=for
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
did ^vbd+dod+aux++=did
Ligoun ^np+++??+=Ligoun
go ^vb++++=go
deeper ^jjr++++=deeper
into ^in++++=into
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
saying:-" ^nn+++??+=saying:-"'But
'but ^nn+++??+=EXTRAWORD
know ^vb+vprv+tht0++=know
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Olo ^np+++??+=Olo,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
be ^vb+be+vrb++=be
little ^ap++++=little
honor ^nn++++=honor
in ^in++++=in
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
a ^at++++=a
man ^nn++++=man
less ^ql++++=less
than ^cs+sub+++=than
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
Kill ^vb++++=Kill
always ^rb++++=always
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thy ^pp$+pp2+++=thy
honor ^nn++++=honor
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
according ^in+cmpx+++=according
to ^in"++++=to
his ^pp$+pp3+++=his
greatness ^nns+nom+++=greatness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
of ^in++++=of
two ^cd++++=two
men ^nns++++=men,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
killest ^jjt++++=killest
the ^ati++++=the
lesser ^jjr++++=lesser,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
is ^vbz+bez+aux++=is
shame ^vb++++=shame
thine ^pp$+pp2+++=thine,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
very ^ql+amp+++=very
squaws ^nns+++??+=squaws
will ^md+prd+++=will
lift ^vb++++=lift
their ^pp$+pp3+++=their
lips ^nns++++=lips
at ^in++++=at
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
peace ^nn++++=peace
be ^vb+be+vrb++=be
good ^jj+pred+++=good;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Olo ^np+++??+=Olo,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
kill ^vb++++=kill
thou ^pp2+pp2+++=thou
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
thou ^pp2+pp2+++=thou
killest ^jjt++++=killest
by ^in++++=by
the ^ati++++=the
Law ^nn++++=Law.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
way ^nn++++=way
of ^in++++=of
the ^ati++++=the
Thlinket ^np+++??+=Thlinket-folk,"
- ^zz++++=EXTRAWORD
folk ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
vouchsafed ^vwbn+++xvbn+=vouchsafed
half ^rb++++=half
apologetically ^rb++++=apologetically.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
gun ^nn++++=gun-fighters
- ^zz++++=EXTRAWORD
fighters ^nns+nom+++=EXTRAWORD
and ^cc++++=and
bad ^jj+atrb+++=bad
men ^nns++++=men
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
Western ^jj+atrb+++=Western
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
perplexed ^vbd+++xvbn+=perplexed
at ^rb++++=at
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
the ^ati++++=the
Thlinket ^np+++??+=Thlinket-folk.
- ^zz++++=EXTRAWORD
folk ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbn+=came
to ^in++++=to
Chief ^jjb++++=Chief
Niblack ^np+++??+=Niblack
and ^cc++++=and
the ^ati++++=the
Skoots ^np+++??+=Skoots.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
feast ^nn++++=feast
great ^jj++++=great
almost ^rb+hdg+++=almost
as ^in++++=as
the ^ati++++=the
potlatch ^nn+++??+=potlatch
of ^in++++=of
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
we ^pp1a+pp1+++=we
of ^in++++=of
the ^ati++++=the
Chilcat ^np+++??+=Chilcat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Sitkas ^np+++??+=Sitkas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Stickeens ^np+++??+=Stickeens
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
neighbors ^nns++++=neighbors
to ^in++++=to
the ^ati++++=the
Skoots ^np+++??+=Skoots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Wrangels ^np+++??+=Wrangels
and ^cc++++=and
the ^ati++++=the
Hoonahs ^np+++??+=Hoonahs.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
Sundowns ^np+++??+=Sundowns
and ^cc++++=and
Tahkos ^np+++??+=Tahkos
from ^in++++=from
Port ^nn++++=Port
Houghton ^np+++??+=Houghton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
neighbors ^nns++++=neighbors
the ^ati++++=the
Awks ^np+++??+=Awks
from ^in++++=from
Douglass ^np+++??+=Douglass
Channel ^nn++++=Channel;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Naass ^np+++??+=Naass
River ^nn++++=River
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Tongas ^np+++??+=Tongas
from ^in++++=from
north ^np+pl+++=north
of ^in++++=of
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Kakes ^np+++??+=Kakes
who ^whp+rel+subj++=who
come ^vb++++=come
from ^in+ppvb+++=from
the ^ati++++=the
island ^nn++++=island
called ^vbd+++xvbn+=called
Kupreanoff ^np+++??+=Kupreanoff.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
Siwashes ^np+++??+=Siwashes
from ^in++++=from
Vancouver ^np+nom++??+=Vancouver,
, ^zz++++=EXTRAWORD
Cassiars ^np+++??+=Cassiars
from ^in++++=from
the ^ati++++=the
Gold ^nn++++=Gold
Mountains ^nns++++=Mountains,
, ^zz++++=EXTRAWORD
Teslin ^np+++??+=Teslin
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
Sticks ^nns++++=Sticks
from ^in++++=from
the ^ati++++=the
Yukon ^np+++??+=Yukon
Country ^nn++++=Country.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^ql++++=mighty
gathering ^nvbg+++xvbg+=gathering.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
first ^rb++++=first
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
meeting ^jj+++xvbg+=meeting
of ^in++++=of
the ^ati++++=the
chiefs ^nns++++=chiefs
with ^in++++=with
Niblack ^np+++??+=Niblack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
drowning ^jj+++xvbg+=drowning
of ^in++++=of
all ^abn++++=all
enmities ^nns+nom+++=enmities
in ^in++++=in
quass ^nns+++??+=quass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Russians ^nn++++=Russians
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
who ^whp+who+++=who
showed ^vbd+vprv++xvbn+=showed
us ^pp1o+pp1+++=us
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
making ^xvbg+++xvbg+=making
quass ^nns+++??+=quass,
, ^zz++++=EXTRAWORD
for ^in++++=for
so ^ql++++=so
my ^pp$+pp1+++=my
father ^npt++++=father
told ^vbd+vpub++xvbn+=told
me, ^nn+++??+=me,--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
who ^whp+who+++=who
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
from ^in++++=from
his ^pp$+pp3+++=his
father ^nn++++=father
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
this ^dt+pdem+++=this
quass ^vbz+++??+=quass
had ^vb+hv+aux++=had
Niblack ^np+++??+=Niblack
added ^vbd+vpub++xvbn+=added
many ^ap++++=many
things ^nns++++=things,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
dried ^jj+atrb++xvbn+=dried
apples ^nns++++=apples,
