After ^cs+sub+++=AFTER
a ^at++++=a
commercial ^jj+atrb+++=commercial
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Meantime ^nn++++=Meantime,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
suite ^nn++++=suite
of ^in++++=of
three ^cd++++=three
rooms ^nns++++=rooms
on ^in++++=on
West ^np+pl+++=West
Madison ^np+++??+=Madison
Street ^nn++++=Street
with ^in++++=with
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lived ^vbd+++xvbn+=lived
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
be ^vb+be+vrb++=be
near ^rb++++=near
her ^pp$+pp3+++=her
favorite ^jj++++=favorite
meeting ^jj+++xvbg+=meeting-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
prayed ^vbd+vsua++xvbnx+=prayed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cooked ^vbd+++xvbn+=cooked
bad ^jj+atrb+++=bad
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
principally ^rb+down+++=principally
composed ^vbd+++xvbn+=composed
of ^in++++=of
dispiriting ^xvbg+++xvbg+=dispiriting
pastry ^nn++++=pastry.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
idea ^nn++++=idea
of ^in++++=of
house ^nn++++=house-keeping
- ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
shades ^nns++++=shades
down ^rp++++=down,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
happened ^vbd+++xvbn+=happened;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
David ^np++++=David
left ^vbd+++xvbn+=left
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
for ^in++++=for
any ^dti++++=any
purpose ^nn++++=purpose
of ^in++++=of
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wept ^vbd+++xvbnx+=wept.
. ^zz++++=EXTRAWORD
David ^np++++=David
persuaded ^vwbn+vsua+tht0+xvbn+=persuaded
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
despised ^vbd+++xvbnx+=despised
amusement ^nn+nom+++=amusement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
to ^in++++=to
bed ^nn++++=bed
each ^dt++++=each
night ^nn++++=night
at ^in++++=at
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
nine ^cd++++=nine
in ^in++++=in
a ^at++++=a
folding ^jj+atrb+++=folding
bedstead ^nn++++=bedstead
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
becoming ^xvbg+++xvbg+=becoming
absolutely ^rb+amp+++=absolutely
stolid ^jj++++=stolid
from ^in++++=from
mere ^jjb+atrb+++=mere
vegetation ^nn+nom+++=vegetation,
, ^zz++++=EXTRAWORD
imagined ^vb+++xvbn+=imagined
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
fit ^jj+pred+++=fit
to ^to+jcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
Head ^jjb+atrb+++=Head
Clerk ^nn++++=Clerk.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
down ^rp++++=down
the ^ati++++=the
street ^nn++++=street
now ^rn+tm+++=now
after ^in++++=after
the ^ati++++=the
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
these ^dt+dem+++=these
dead ^jj+atrb+++=dead
but ^cc+phrs+++=but
innocent ^jj+atrb+++=innocent
days ^nns++++=days,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
picture ^nn++++=picture
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
reflected ^vbd+vprv++xvbnx+=reflected
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
despoiled ^jj+atrb++xvbn+=despoiled
and ^cc+phrs+++=and
desolate ^jj+atrb+++=desolate
years ^nns++++=years
just ^rb+emph+++=just
passed ^vbd+++xvbn+=passed
seemed ^vbd+seem++xvbn+=seemed
richer ^jjr++++=richer
by ^in++++=by
contrast ^nn++++=contrast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
station ^nn+nom+++=station
thus ^rb+cnj+++=thus
dreaming ^vbg+++xvbg+=dreaming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
when ^wrb+who+whcl++=when
the ^ati++++=the
warden ^nn++++=warden
bade ^vbd+++xvbn+=bade
him ^pp3o+pp3+++=him
good ^jj++++=good-by,
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
train ^nn++++=train
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
at ^in++++=at
hand ^nn++++=hand
directly ^rb++++=directly
bound ^jj+++xvbn+=bound
to ^to+jcmp+++=to
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
moments ^nns+nom+++=moments
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
on ^in++++=on
that ^dt+dem+++=that
train ^nn++++=train.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
back ^jjb++++=back
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
passengers ^nns+nom+++=passengers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
himself ^ppl+pp3+++=himself
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
enjoyment ^nn+nom+++=enjoyment
of ^in++++=of
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable
cushion ^nn++++=cushion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
willingly ^rb++++=willingly
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
from ^in++++=from
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
- ^zz++++=-green
green ^nn++++=EXTRAWORD
fields ^nns++++=fields
were ^vbd+bed+vrb++=were
new ^jj+pred+++=new
and ^cc+phrs+++=and
wonderful ^jj++++=wonderful;
; ^zz++++=EXTRAWORD
drifting ^jj+atrb++xvbg+=drifting
clouds ^nns++++=clouds
a ^at++++=a
marvel ^vb++++=marvel;
; ^zz++++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
all ^abn++++=all
a ^at++++=a
revelation ^nn+nom+++=revelation,
, ^zz++++=EXTRAWORD
- ^zz++++=-but
but ^cc++++=EXTRAWORD
those ^dt+dem+++=those
haunting ^jj+atrb+++=haunting
visions ^nns++++=visions
were ^vbd+bed+vrb++=were
at ^rb++++=at
him ^pp3o+pp3+++=him
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
leave ^vb++++=leave
brain ^nn++++=brain
or ^cc++++=or
eye ^nn++++=eye
free ^jj++++=free
for ^in++++=for
other ^ap++++=other
things ^nns++++=things.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
next ^ap++++=next
scene ^nn++++=scene
had ^vb+hv+vrb++=had
warmer ^jjr+atrb+++=warmer
tints ^nns++++=tints.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
interior ^nn++++=interior
of ^in++++=of
a ^at++++=a
rich ^jj+atrb+++=rich
room ^nn++++=room,
, ^zz++++=EXTRAWORD
- ^zz++++=-crimson
crimson ^nn+++??+=EXTRAWORD
and ^cc++++=and
amber ^jj+atrb+++=amber
fabrics ^nns++++=fabrics,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gleam ^nn++++=gleam
of ^in++++=of
a ^at++++=a
statue ^nn++++=statue
beyond ^in++++=beyond
the ^ati++++=the
drapings ^nns+++??+=drapings;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
a ^at++++=a
tender ^jj+atrb+++=tender
piano ^nn++++=piano
unflinging ^vwbg+++xvbg+=unflinging
a ^at++++=a
familiar ^jj+atrb+++=familiar
melody ^nn++++=melody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
a ^at++++=a
part ^nn++++=part
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
luxury ^nn++++=luxury.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
timid ^jj++++=timid
and ^cc+phrs+++=and
conscious ^jj++++=conscious
of ^in++++=of
his ^pp$+pp3+++=his
awkwardness ^nns+nom+++=awkwardness,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
barrenly ^jj++++=barrenly
to ^to++++=to
get ^vbi++++=get
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
brain ^nn++++=brain
on ^in+cmpx+++=on
to ^in"++++=to
his ^pp$+pp3+++=his
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
" ^zz++++="Strange,
strange ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
broke ^vbd+++xvbn+=broke
in ^rb+phrv+++=in
on ^rp++++=on
her ^pp3o+pp3+++=her
own ^ap++++=own
music ^nn++++=music,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
each ^ppls++++=each
other ^ap++++=other
so ^ql++++=so
very ^ql+amp+++=very
often ^rb++++=often
and ^cc+phrs+++=and
never ^rb++++=never
spoken ^jj+++xvbn+=spoken?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
often ^rb++splt++=often
thought ^vprf+++xvbnx+=thought
introductions ^nns+nom+++=introductions
were ^vbd+bed+vrb++=were
ridiculous ^jj+pred+++=ridiculous.
. ^zz++++=EXTRAWORD
Fancy ^jj++++=Fancy
seeing ^jj+++xvbg+=seeing
a ^at++++=a
person ^nn++++=person
year ^nn++++=year
in ^in++++=in
and ^cc++++=and
year ^nn++++=year
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
really ^rb+emph+++=really
knowing ^vbg+vprv++xvbg+=knowing
all ^abn++++=all
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
being ^vbg+beg++xvbg+=being
perfectly ^rb+amp+++=perfectly
acquainted ^vpsv++agls+xvbn+=acquainted
with ^in++++=with
his ^pp$+pp3+++=his
name ^nn++++=name
- ^zz++++=-at
at ^rb++++=EXTRAWORD
least ^rb"++++=least
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
- ^zz++++=-and
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
never ^rb++++=never
speaking ^jj+++xvbg+=speaking!
! ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
comes ^vbz++++=comes
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Miss
miss ^npt++++=EXTRAWORD
Le ^np++++=Le
Baron ^nn++++=Baron,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Culross ^np++++=Culross,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^cs+sub+++=as
if ^cs+cnd+++=if
one ^cd1++++=one
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
dumb ^jj+atrb+++=dumb
folks ^nns++++=folks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
to ^to++++=to
talking ^vbi++++=talking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
things ^nns++++=things
neither ^rb++neg++=neither
of ^in++++=of
you ^pp2+pp2+++=you
care ^nn++++=care
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
weeks ^nns++++=weeks
of ^in++++=of
time ^nn++++=time
and ^cc++++=and
sundry ^jj+atrb+++=sundry
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
get ^vb++++=get
down ^rp++++=down
to ^to++++=to
honestly ^rb++splt++=honestly
saying ^vbg+++xvbg+=saying
what ^wdt+who+++=what
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql+emph+++=so
glad ^jj++++=glad
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
through ^in++++=through
with ^in++++=with
that ^cs+sub+++=that
first ^od++++=first
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
say ^vb+vpub+++=say
what ^wdt+who+whcl++=what
we ^pp1a+pp1+++=we
think ^vb+vprv+++=think
and ^cc+phrs+++=and
tell ^vb++++=tell
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
really ^rb+emph+++=really
like ^in+strn+++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
playing ^xvbg+++xvbg+=playing
began ^vbd+++xvbn+=began
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
- ^zz++++=-a
a ^at++++=EXTRAWORD
harplike ^jj+atrb+++=harplike
intermingling ^nn+nom+++=intermingling
of ^in++++=of
soft ^jj+atrb+++=soft
sounds ^nns++++=sounds.
. ^zz++++=EXTRAWORD
Zoe ^np++++=Zoe
Le ^&fw++++=Le
Baron ^np++++=Baron's
's ^$++++=EXTRAWORD
hands ^nns++++=hands
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
girlish ^jj++++=girlish.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
about ^rb++++=about
her ^pp3o+pp3+++=her
was ^vbd+bedz+aux++=was
unformed ^vpsv++agls+xvbnx+=unformed.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
her ^pp3o+pp3+++=her
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
so ^rb++++=so.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^abn++++=all
promised ^jj+++xvbn+=promised
a ^at++++=a
full ^jj+atrb+++=full
completion ^nn+nom+++=completion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
the ^ati++++=the
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
mind ^nn++++=mind
and ^cc++++=and
body ^nn++++=body,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
rounding ^vbg+++xvbgx+=rounding
to ^in++++=to
maturity ^nn+nom+++=maturity.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
never ^rb++++=never
come ^vprf+++xvbn+=come
to ^in++++=to
church ^npl++++=church
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
Miss ^npt++++=Miss
Le ^np++++=Le
Baron ^nn++++=Baron,
, ^zz++++=EXTRAWORD
wheeling ^vbg+nom++xvbg+=wheeling
around ^rp++++=around
on ^in++++=on
her ^pp$+pp3+++=her
piano ^nn++++=piano-stool
- ^zz++++=EXTRAWORD
stool ^nn++++=EXTRAWORD
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
only ^rb+down+++=only
there ^rn+pl+++=there
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
with ^in++++=with
your ^pp$+pp2+++=your
mother ^nn++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go
only ^rb+down+++=only
on ^in++++=on
her ^pp$+pp3+++=her
account ^nn++++=account,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replies ^vbz+vpub+++=replies
David ^np++++=David,
, ^zz++++=EXTRAWORD
truthfully ^rb++++=truthfully.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
morning ^nn++++=morning
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
tired ^jj+++xvbn+=tired
with ^in++++=with
the ^ati++++=the
week ^nn++++=week's
's ^$++++=EXTRAWORD
work ^nn++++=work
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
rest ^nn++++=rest
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
ought ^md+nec+++=ought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returns ^nns++++=returns
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
gravely ^rb++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
rest ^nn++++=rest
one ^cd1++++=one
to ^to++++=to
lie ^vbi++++=lie
in ^in++++=in
bed ^nn++++=bed
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
tried ^vprf+++xvbnx+=tried
it ^pp3+it+++=it
at ^in++++=at
boarding ^nn++++=boarding-school.
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
good ^jj++++=good
whatever ^nn+nom+++=whatever."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Should
should ^md+nec+++=EXTRAWORD
you ^pp2+pp2+++=you
advise ^vb+vpub+++=advise
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
David ^np++++=David,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
confiding ^nn++++=confiding
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
arise ^vbi++++=arise
early ^jj++++=early
on ^in++++=on
Sunday ^nr++++=Sunday?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
blushes ^nns++++=blushes
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
all ^abn++++=all
means ^in+strn+++=means!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cries ^nns++++=cries,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
twinkling ^vwbg+++xvbg+=twinkling,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
- ^zz++++=-and
and ^cc++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
church ^npl++++=church.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
morning ^nn++++=morning
sermons ^nns++++=sermons
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
very ^ql+amp+++=very
much ^ap++++=much
better ^jjr++++=better
than ^in++++=than
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
plays ^nns++++=plays
a ^at++++=a
waltz ^nn++++=waltz,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
with ^in++++=with
the ^ati++++=the
music ^nn++++=music
and ^cc++++=and
the ^ati++++=the
warmth ^nn++++=warmth
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
the ^ati++++=the
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
a ^at++++=a
something ^pn++++=something
nameless ^jj++++=nameless
and ^cc+phrs+++=and
mystical ^jj++++=mystical
steals ^vbz++++=steals
over ^in++++=over
the ^ati++++=the
poor ^jj+atrb+++=poor
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swathes ^nns++++=swathes
him ^pp3o+pp3+++=him
about ^in++++=about
like ^in++++=like
the ^ati++++=the
fumes ^nns++++=fumes
of ^in++++=of
opium ^nn++++=opium.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
silence ^nn+nom+++=silence
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
deeper ^jjr++++=deeper
by ^in++++=by
that ^dt+dem+++=that
rhythmic ^jj+atrb+++=rhythmic
unswelling ^nn+nom+++=unswelling
of ^in++++=of
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
painter ^nn++++=painter
flushes ^nns+++??+=flushes
the ^ati++++=the
bare ^jj+atrb+++=bare
wall ^nn++++=wall
into ^in++++=into
splendor ^nn++++=splendor,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
emotions ^nns+nom+++=emotions
illuminated ^vbd+++xvbn+=illuminated
his ^pp$+pp3+++=his
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vpsv++agls+xvbn+=gave
to ^in++++=to
it ^pp3+it+++=it
that ^dt+dem+++=that
high ^jj+atrb+++=high
courage ^nn+nom+++=courage
that ^tht+rel+subj++=that
comes ^vbz++++=comes
when ^wrb+who+++=when
men ^nns++++=men
or ^cc++++=or
women ^nns++++=women
suddenly ^rb++++=suddenly
realize ^vb+vprv+++=realize
that ^tht+vcmp+++=that
each ^dt++++=each
life ^nn++++=life
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
significance ^nn+nom+++=significance,
, ^zz++++=EXTRAWORD
- ^zz++++=-their
their ^pp$+pp3+++=EXTRAWORD
own ^ap++++=own
lives ^nns++++=lives
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
the ^ati++++=the
lives ^nns++++=lives
of ^in++++=of
others ^aps++++=others.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
sitting ^vwbg+++xvbg+=sitting
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow
in ^cs+sub+++=in
that ^cs"++++=that
noisy ^jj+atrb+++=noisy
train ^nn++++=train
saw ^vbd+vprv++xvbn+=saw
in ^in++++=in
his ^pp$+pp3+++=his
vision ^nn++++=vision
how ^wrb+who+++=how
the ^ati++++=the
lad ^nn++++=lad
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
moved ^vbd+++xvbn+=moved,
, ^zz++++=EXTRAWORD
like ^in++++=like
one ^pn++++=one
under ^in++++=under
a ^at++++=a
spell ^nn++++=spell,
